Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
3(369)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network,  31,  7,  9,  137, 1, 3, 492452, 14505.53, 0, 0.00, 1: 73; 2: 26; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 603, 10,  6,  142, 1, 3, 473411, 14505.53, 112, 0.00, 1: 68; 2: 31; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 146,  8,  7,  142, 1, 3, 443520, 14505.53, 124, 0.00, 1: 67; 2: 33; 3: 3; 
MAPK_Cancer_Cell_Fate_Network,  89,  7,  8,  142, 1, 3, 443520, 14505.53, 92, 0.00, 1: 69; 2: 29; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 545,  7,  9,  142, 1, 3, 492665, 14505.53, 0, 0.00, 1: 69; 2: 29; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 872,  7,  9,  142, 1, 3, 492768, 14505.53, 32, 0.00, 1: 70; 2: 27; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 846,  7,  8,  142, 1, 3, 443520, 14505.53, 0, 0.00, 1: 68; 2: 31; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 347,  8,  7,  142, 1, 3, 443520, 14505.53, 112, 0.00, 1: 70; 2: 27; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 560,  7,  9,  142, 1, 3, 493233, 14505.53, 17, 0.00, 1: 68; 2: 31; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 339,  7,  9,  142, 1, 3, 492852, 14505.53, 111, 0.00, 1: 68; 2: 31; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 326, 10,  6,  142, 1, 3, 473359, 14505.53, 0, 0.00, 1: 68; 2: 31; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 140,  8,  7,  142, 1, 3, 443520, 14505.53, 225, 0.00, 1: 66; 2: 35; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 319,  7,  8,  142, 1, 3, 443520, 14505.53, 0, 0.00, 1: 72; 2: 23; 3: 8; 
MAPK_Cancer_Cell_Fate_Network, 946,  7,  9,  142, 1, 3, 493117, 14505.53, 0, 0.00, 1: 66; 2: 35; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 154,  7,  9,  142, 1, 3, 492666, 14505.53, 80, 0.00, 1: 70; 2: 27; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 800,  7,  9,  142, 1, 3, 492724, 14505.53, 5, 0.00, 1: 67; 2: 33; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 967, 10,  6,  142, 1, 3, 473660, 14505.53, 0, 0.00, 1: 68; 2: 31; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 161,  7,  8,  142, 1, 3, 443520, 14505.53, 0, 0.00, 1: 67; 2: 33; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 789, 10,  6,  142, 1, 3, 473472, 14505.53, 85, 0.00, 1: 68; 2: 31; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 777,  7,  8,  142, 1, 3, 443520, 14505.53, 13, 0.00, 1: 67; 2: 33; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 631,  6, 10,  142, 1, 3, 473231, 14505.53, 255, 0.00, 1: 70; 2: 27; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 287,  7,  8,  142, 1, 3, 443520, 14505.53, 0, 0.00, 1: 69; 2: 29; 3: 5; 
MAPK_Cancer_Cell_Fate_Network,   5,  7,  9,  142, 1, 3, 492808, 14505.53, 127, 0.00, 1: 69; 2: 29; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 275,  7,  9,  142, 1, 3, 492578, 14505.53, 0, 0.00, 1: 69; 2: 29; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 273,  5, 13,  142, 1, 3, 503965, 14505.53, 0, 0.00, 1: 69; 2: 29; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 208,  7,  8,  142, 1, 3, 443520, 14505.53, 144, 0.00, 1: 67; 2: 33; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 230,  7,  9,  142, 1, 3, 492904, 14505.53, 0, 0.00, 1: 68; 2: 31; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 231,  8,  7,  142, 1, 3, 443520, 14505.53, 0, 0.00, 1: 66; 2: 35; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 234,  7,  8,  142, 1, 3, 443520, 14505.53, 84, 0.00, 1: 67; 2: 33; 3: 3; 
MAPK_Cancer_Cell_Fate_Network,  46,  7,  9,  142, 1, 3, 492963, 14505.53, 0, 0.00, 1: 67; 2: 33; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 501,  7,  8,  142, 1, 3, 443520, 14505.53, 0, 0.00, 1: 68; 2: 31; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 514,  7,  8,  142, 1, 3, 443520, 14505.53, 0, 0.00, 1: 69; 2: 29; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 928,  7,  8,  142, 1, 3, 443520, 14505.53, 16, 0.00, 1: 66; 2: 35; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 515,  7,  9,  142, 1, 3, 492040, 14505.53, 0, 0.00, 1: 68; 2: 31; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 906,  7,  8,  142, 1, 3, 443520, 14505.53, 80, 0.00, 1: 69; 2: 29; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 639, 10,  6,  143, 1, 3, 473591, 14505.53, 0, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 760,  7,  8,  143, 1, 3, 443520, 14505.53, 0, 0.00, 1: 65; 2: 36; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 392,  7,  8,  143, 1, 3, 443520, 14505.53, 192, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 918,  7,  9,  143, 1, 3, 492882, 14505.53, 0, 0.00, 1: 71; 2: 24; 3: 8; 
MAPK_Cancer_Cell_Fate_Network,  39,  8,  7,  143, 1, 3, 443520, 14505.53, 0, 0.00, 1: 64; 2: 38; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 624, 10,  6,  143, 1, 3, 473350, 14505.53, 255, 0.00, 1: 65; 2: 36; 3: 2; 
MAPK_Cancer_Cell_Fate_Network,   3,  7,  8,  143, 1, 3, 443520, 14505.53, 97, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 782,  7,  8,  143, 1, 3, 443520, 14505.53, 0, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 490,  7,  8,  143, 1, 3, 443520, 14505.53, 78, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 159, 10,  6,  143, 1, 3, 473693, 14505.53, 0, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 803,  7,  9,  143, 1, 3, 491886, 14505.53, 0, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 309,  6, 10,  143, 1, 3, 473747, 14505.53, 0, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 596,  8,  7,  143, 1, 3, 443520, 14505.53, 225, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 477,  7,  8,  143, 1, 3, 443520, 14505.53, 85, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 136,  8,  7,  143, 1, 3, 443520, 14505.53, 80, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 903,  7,  9,  143, 1, 3, 493311, 14505.53, 0, 0.00, 1: 69; 2: 28; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 827, 10,  6,  143, 1, 3, 473431, 14505.53, 0, 0.00, 1: 65; 2: 36; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 126,  8,  7,  143, 1, 3, 443520, 14505.53, 0, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 476,  8,  7,  143, 1, 3, 443520, 14505.53, 225, 0.00, 1: 69; 2: 28; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 931,  7,  8,  143, 1, 3, 443520, 14505.53, 0, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 687,  6, 10,  143, 1, 3, 473393, 14505.53, 116, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 933,  5, 12,  143, 1, 3, 473741, 14505.53, 0, 0.00, 1: 70; 2: 26; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 694,  7,  8,  143, 1, 3, 443520, 14505.53, 32, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 680,  8,  7,  143, 1, 3, 443520, 14505.53, 32, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 679,  7,  8,  143, 1, 3, 443520, 14505.53, 0, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 698,  6, 10,  143, 1, 3, 473562, 14505.53, 0, 0.00, 1: 70; 2: 26; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 969,  7,  8,  143, 1, 3, 443520, 14505.53, 85, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 485,  6, 10,  143, 1, 3, 473328, 14505.53, 0, 0.00, 1: 70; 2: 26; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 720,  7,  8,  143, 1, 3, 443520, 14505.53, 0, 0.00, 1: 69; 2: 28; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 262, 10,  6,  143, 1, 3, 473732, 14505.53, 0, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 644, 10,  6,  143, 1, 3, 473542, 14505.53, 225, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 731,  5, 12,  143, 1, 3, 473332, 14505.53, 112, 0.00, 1: 70; 2: 26; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 203,  8,  7,  143, 1, 3, 443520, 14505.53, 111, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network,  21,  6, 10,  143, 1, 3, 473160, 14505.53, 85, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 741,  6, 10,  143, 1, 3, 473303, 14505.53, 0, 0.00, 1: 65; 2: 36; 3: 2; 
MAPK_Cancer_Cell_Fate_Network,   8,  8,  7,  143, 1, 3, 443520, 14505.53, 0, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 743, 10,  6,  143, 1, 3, 473451, 14505.53, 0, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 648,  7,  8,  143, 1, 3, 443520, 14505.53, 192, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 747,  7,  9,  143, 1, 3, 492400, 14505.53, 75, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 645,  7,  9,  143, 1, 3, 492692, 14505.53, 85, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 376,  8,  7,  143, 1, 3, 443520, 14505.53, 0, 0.00, 1: 65; 2: 36; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 972,  6, 10,  143, 1, 3, 473369, 14505.53, 225, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 850, 10,  6,  143, 1, 3, 473527, 14505.53, 79, 0.00, 1: 69; 2: 28; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 975,  8,  7,  143, 1, 3, 443520, 14505.53, 0, 0.00, 1: 69; 2: 28; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 475,  6, 10,  143, 1, 3, 473612, 14505.53, 112, 0.00, 1: 69; 2: 28; 3: 6; 
MAPK_Cancer_Cell_Fate_Network,  92, 10,  6,  143, 1, 3, 473320, 14505.53, 225, 0.00, 1: 70; 2: 26; 3: 7; 
MAPK_Cancer_Cell_Fate_Network,  91,  6, 10,  143, 1, 3, 473504, 14505.53, 112, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 539,  8,  7,  143, 1, 3, 443520, 14505.53, 112, 0.00, 1: 65; 2: 36; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 854,  8,  7,  143, 1, 3, 443520, 14505.53, 0, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 116,  7,  8,  143, 1, 3, 443520, 14505.53, 29, 0.00, 1: 69; 2: 28; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 117, 10,  6,  143, 1, 3, 473225, 14505.53, 0, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 535, 10,  6,  143, 1, 3, 472995, 14505.53, 0, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 378,  7,  9,  143, 1, 3, 492187, 14505.53, 0, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 886,  6, 10,  143, 1, 3, 473461, 14505.53, 0, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 974, 10,  6,  143, 1, 3, 473526, 14505.53, 0, 0.00, 1: 70; 2: 26; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 355,  8,  7,  143, 1, 3, 443520, 14505.53, 0, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 756,  6, 10,  144, 1, 3, 473660, 14505.53, 0, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 272,  8,  7,  144, 1, 3, 443520, 14505.53, 0, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 621,  7,  8,  144, 1, 3, 443520, 14505.53, 32, 0.00, 1: 66; 2: 33; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 862,  8,  7,  144, 1, 3, 443520, 14505.53, 0, 0.00, 1: 66; 2: 33; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 358,  6, 10,  144, 1, 3, 473743, 14505.53, 0, 0.00, 1: 65; 2: 35; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 749,  6, 10,  144, 1, 3, 473257, 14505.53, 32, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 920,  8,  7,  144, 1, 3, 443520, 14505.53, 144, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network,  38,  7,  8,  144, 1, 3, 443520, 14505.53, 0, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 839,  6, 10,  144, 1, 3, 473711, 14505.53, 0, 0.00, 1: 64; 2: 37; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 871,  7,  9,  144, 1, 3, 493077, 14505.53, 0, 0.00, 1: 65; 2: 35; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 643,  6, 10,  144, 1, 3, 473230, 14505.53, 112, 0.00, 1: 65; 2: 35; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 865,  8,  7,  144, 1, 3, 443520, 14505.53, 0, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 179,  8,  7,  144, 1, 3, 443520, 14505.53, 255, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 661,  8,  7,  144, 1, 3, 443520, 14505.53, 85, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 482,  7,  9,  144, 1, 3, 492354, 14505.53, 0, 0.00, 1: 66; 2: 33; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 686,  7,  9,  144, 1, 3, 492662, 14505.53, 115, 0.00, 1: 64; 2: 37; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 699,  6, 10,  144, 1, 3, 473516, 14505.53, 0, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 479,  7,  9,  144, 1, 3, 492679, 14505.53, 0, 0.00, 1: 65; 2: 35; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 233,  8,  7,  144, 1, 3, 443520, 14505.53, 65, 0.00, 1: 66; 2: 33; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 397, 10,  6,  144, 1, 3, 473625, 14505.53, 85, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 710,  8,  7,  144, 1, 3, 443520, 14505.53, 0, 0.00, 1: 69; 2: 27; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 458,  5, 13,  144, 1, 3, 504370, 14505.53, 79, 0.00, 1: 65; 2: 35; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 427,  7,  8,  144, 1, 3, 443520, 14505.53, 69, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 715,  7,  8,  144, 1, 3, 443520, 14505.53, 112, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 716,  7,  8,  144, 1, 3, 443520, 14505.53, 225, 0.00, 1: 64; 2: 37; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 368,  5, 12,  144, 1, 3, 473219, 14505.53, 0, 0.00, 1: 69; 2: 27; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 265, 10,  6,  144, 1, 3, 473497, 14505.53, 0, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 209,  7,  9,  144, 1, 3, 493027, 14505.53, 196, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 976,  6, 10,  144, 1, 3, 473535, 14505.53, 192, 0.00, 1: 66; 2: 33; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 900,  7,  8,  144, 1, 3, 443520, 14505.53, 225, 0.00, 1: 69; 2: 27; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 338,  7,  8,  144, 1, 3, 443520, 14505.53, 124, 0.00, 1: 70; 2: 25; 3: 8; 
MAPK_Cancer_Cell_Fate_Network, 904, 10,  6,  144, 1, 3, 473181, 14505.53, 128, 0.00, 1: 65; 2: 35; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 821,  8,  7,  144, 1, 3, 443520, 14505.53, 0, 0.00, 1: 66; 2: 33; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 585,  7,  8,  144, 1, 3, 443520, 14505.53, 128, 0.00, 1: 65; 2: 35; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 137,  7,  8,  144, 1, 3, 443520, 14505.53, 196, 0.00, 1: 65; 2: 35; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 328,  8,  7,  144, 1, 3, 443520, 14505.53, 16, 0.00, 1: 70; 2: 25; 3: 8; 
MAPK_Cancer_Cell_Fate_Network,  19,  5, 12,  144, 1, 3, 473450, 14505.53, 112, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 150,  7,  9,  144, 1, 3, 493248, 14505.53, 0, 0.00, 1: 66; 2: 33; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 982,  6, 10,  144, 1, 3, 473612, 14505.53, 0, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 824,  7,  8,  144, 1, 3, 443520, 14505.53, 0, 0.00, 1: 65; 2: 35; 3: 3; 
