Seed 1656949570
ARCH 0|F_ID 2|LIMIT 3
before: 
3(864)
Melhor resultado nxn: Differentiation_of_T_lymphocytes, 574,  7,  8,  130, 0, 3, 439154, 12113.99, 0, 0.00, 0: 8; 1: 55; 2: 27; 3: 7; 
Differentiation_of_T_lymphocytes, 782,  7,  8,  137, 0, 3, 439277, 12113.99, 0, 0.00, 0: 8; 1: 50; 2: 30; 3: 9; 
Differentiation_of_T_lymphocytes, 832,  7,  8,  137, 0, 3, 439252, 12113.99, 48, 0.00, 0: 8; 1: 53; 2: 24; 3: 12; 
Differentiation_of_T_lymphocytes, 802,  8,  7,  138, 0, 3, 439150, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 27; 3: 11; 
Differentiation_of_T_lymphocytes, 854,  8,  7,  138, 0, 3, 439137, 12113.99, 0, 0.00, 0: 8; 1: 49; 2: 31; 3: 9; 
Differentiation_of_T_lymphocytes, 932,  9,  6,  138, 0, 3, 426100, 12113.99, 0, 0.00, 0: 8; 1: 47; 2: 35; 3: 7; 
Differentiation_of_T_lymphocytes, 918,  6,  9,  138, 0, 3, 426020, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 27; 3: 11; 
Differentiation_of_T_lymphocytes, 883,  8,  7,  138, 0, 3, 439169, 12113.99, 0, 0.00, 0: 8; 1: 50; 2: 29; 3: 10; 
Differentiation_of_T_lymphocytes, 202,  9,  6,  138, 0, 3, 426104, 12113.99, 181, 0.00, 0: 8; 1: 50; 2: 29; 3: 10; 
Differentiation_of_T_lymphocytes, 705,  8,  7,  138, 0, 3, 439184, 12113.99, 175, 0.00, 0: 8; 1: 53; 2: 23; 3: 13; 
Differentiation_of_T_lymphocytes, 203,  8,  7,  138, 0, 3, 439172, 12113.99, 172, 0.00, 0: 8; 1: 46; 2: 37; 3: 6; 
Differentiation_of_T_lymphocytes, 427,  7,  8,  138, 0, 3, 439224, 12113.99, 109, 0.00, 0: 8; 1: 51; 2: 27; 3: 11; 
Differentiation_of_T_lymphocytes, 287,  7,  8,  138, 0, 3, 439150, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 27; 3: 11; 
Differentiation_of_T_lymphocytes, 229,  7,  8,  138, 0, 3, 439151, 12113.99, 0, 0.00, 0: 8; 1: 52; 2: 25; 3: 12; 
Differentiation_of_T_lymphocytes, 121,  7,  8,  138, 0, 3, 439191, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 27; 3: 11; 
Differentiation_of_T_lymphocytes, 114,  6,  9,  138, 0, 3, 426043, 12113.99, 0, 0.00, 0: 8; 1: 50; 2: 29; 3: 10; 
Differentiation_of_T_lymphocytes,  45,  8,  7,  138, 0, 3, 439168, 12113.99, 0, 0.00, 0: 8; 1: 52; 2: 25; 3: 12; 
Differentiation_of_T_lymphocytes, 329,  6,  9,  138, 0, 3, 426076, 12113.99, 174, 0.00, 0: 8; 1: 51; 2: 27; 3: 11; 
Differentiation_of_T_lymphocytes, 119,  5, 10,  138, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 49; 2: 31; 3: 9; 
Differentiation_of_T_lymphocytes, 137,  7,  8,  138, 0, 3, 439175, 12113.99, 120, 0.00, 0: 8; 1: 50; 2: 29; 3: 10; 
Differentiation_of_T_lymphocytes, 366,  9,  6,  138, 0, 3, 426061, 12113.99, 32, 0.00, 0: 8; 1: 52; 2: 25; 3: 12; 
Differentiation_of_T_lymphocytes, 233,  8,  7,  138, 0, 3, 439139, 12113.99, 69, 0.00, 0: 8; 1: 50; 2: 29; 3: 10; 
Differentiation_of_T_lymphocytes, 842,  7,  8,  138, 0, 3, 439175, 12113.99, 124, 0.00, 0: 8; 1: 48; 2: 33; 3: 8; 
Differentiation_of_T_lymphocytes, 534,  6,  9,  138, 0, 3, 426082, 12113.99, 0, 0.00, 0: 8; 1: 50; 2: 29; 3: 10; 
Differentiation_of_T_lymphocytes, 388,  8,  7,  138, 0, 3, 439109, 12113.99, 0, 0.00, 0: 8; 1: 50; 2: 29; 3: 10; 
Differentiation_of_T_lymphocytes, 758,  8,  7,  138, 0, 3, 439172, 12113.99, 0, 0.00, 0: 8; 1: 49; 2: 31; 3: 9; 
Differentiation_of_T_lymphocytes, 542,  9,  6,  138, 0, 3, 426070, 12113.99, 0, 0.00, 0: 8; 1: 53; 2: 23; 3: 13; 
Differentiation_of_T_lymphocytes, 543,  7,  8,  138, 0, 3, 439163, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 27; 3: 11; 
Differentiation_of_T_lymphocytes, 663,  7,  8,  138, 0, 3, 439206, 12113.99, 0, 0.00, 0: 8; 1: 48; 2: 33; 3: 8; 
Differentiation_of_T_lymphocytes,  90,  8,  7,  138, 0, 3, 439195, 12113.99, 124, 0.00, 0: 8; 1: 50; 2: 29; 3: 10; 
Differentiation_of_T_lymphocytes, 659,  9,  6,  138, 0, 3, 426096, 12113.99, 173, 0.00, 0: 8; 1: 53; 2: 23; 3: 13; 
Differentiation_of_T_lymphocytes, 135,  6,  9,  138, 0, 3, 426048, 12113.99, 0, 0.00, 0: 8; 1: 49; 2: 31; 3: 9; 
Differentiation_of_T_lymphocytes, 974,  9,  6,  138, 0, 3, 426097, 12113.99, 0, 0.00, 0: 8; 1: 50; 2: 29; 3: 10; 
Differentiation_of_T_lymphocytes, 361,  7,  8,  138, 0, 3, 439200, 12113.99, 71, 0.00, 0: 8; 1: 49; 2: 31; 3: 9; 
Differentiation_of_T_lymphocytes, 585,  7,  8,  138, 0, 3, 439153, 12113.99, 175, 0.00, 0: 8; 1: 48; 2: 33; 3: 8; 
Differentiation_of_T_lymphocytes, 234,  7,  8,  138, 0, 3, 439196, 12113.99, 111, 0.00, 0: 8; 1: 49; 2: 31; 3: 9; 
Differentiation_of_T_lymphocytes, 456,  8,  7,  139, 0, 3, 439128, 12113.99, 192, 0.00, 0: 8; 1: 49; 2: 30; 3: 10; 
Differentiation_of_T_lymphocytes, 987,  9,  6,  139, 0, 3, 426074, 12113.99, 173, 0.00, 0: 8; 1: 49; 2: 30; 3: 10; 
Differentiation_of_T_lymphocytes, 880,  9,  6,  139, 0, 3, 426051, 12113.99, 8, 0.00, 0: 8; 1: 50; 2: 28; 3: 11; 
Differentiation_of_T_lymphocytes, 805,  7,  8,  139, 0, 3, 439141, 12113.99, 0, 0.00, 0: 8; 1: 50; 2: 28; 3: 11; 
Differentiation_of_T_lymphocytes, 206,  7,  8,  139, 0, 3, 439152, 12113.99, 0, 0.00, 0: 8; 1: 53; 2: 22; 3: 14; 
Differentiation_of_T_lymphocytes, 334,  7,  8,  139, 0, 3, 439160, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 26; 3: 12; 
Differentiation_of_T_lymphocytes, 302,  6,  9,  139, 0, 3, 426065, 12113.99, 32, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 355,  8,  7,  139, 0, 3, 439199, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 26; 3: 12; 
Differentiation_of_T_lymphocytes, 862,  8,  7,  139, 0, 3, 439158, 12113.99, 0, 0.00, 0: 8; 1: 49; 2: 30; 3: 10; 
Differentiation_of_T_lymphocytes, 166,  9,  6,  139, 0, 3, 426002, 12113.99, 0, 0.00, 0: 8; 1: 49; 2: 30; 3: 10; 
Differentiation_of_T_lymphocytes, 214,  7,  8,  139, 0, 3, 439229, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 26; 3: 12; 
Differentiation_of_T_lymphocytes, 173,  8,  7,  139, 0, 3, 438998, 12113.99, 32, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 986,  9,  6,  139, 0, 3, 426105, 12113.99, 124, 0.00, 0: 8; 1: 52; 2: 24; 3: 13; 
Differentiation_of_T_lymphocytes, 754,  7,  8,  139, 0, 3, 439201, 12113.99, 0, 0.00, 0: 8; 1: 50; 2: 28; 3: 11; 
Differentiation_of_T_lymphocytes, 558,  8,  7,  139, 0, 3, 439145, 12113.99, 32, 0.00, 0: 8; 1: 50; 2: 28; 3: 11; 
Differentiation_of_T_lymphocytes, 560,  6,  9,  139, 0, 3, 426051, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 26; 3: 12; 
Differentiation_of_T_lymphocytes, 526,  8,  7,  139, 0, 3, 439182, 12113.99, 0, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 527,  9,  6,  139, 0, 3, 426081, 12113.99, 0, 0.00, 0: 8; 1: 46; 2: 36; 3: 7; 
Differentiation_of_T_lymphocytes, 109,  9,  6,  139, 0, 3, 426082, 12113.99, 0, 0.00, 0: 8; 1: 50; 2: 28; 3: 11; 
Differentiation_of_T_lymphocytes, 110,  8,  7,  139, 0, 3, 439193, 12113.99, 0, 0.00, 0: 8; 1: 50; 2: 28; 3: 11; 
Differentiation_of_T_lymphocytes, 611,  7,  8,  139, 0, 3, 439169, 12113.99, 0, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 928,  7,  8,  139, 0, 3, 439070, 12113.99, 7, 0.00, 0: 8; 1: 51; 2: 26; 3: 12; 
Differentiation_of_T_lymphocytes, 471,  9,  6,  139, 0, 3, 426074, 12113.99, 0, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 539,  8,  7,  139, 0, 3, 439196, 12113.99, 173, 0.00, 0: 8; 1: 49; 2: 30; 3: 10; 
Differentiation_of_T_lymphocytes, 547,  6,  9,  139, 0, 3, 426069, 12113.99, 0, 0.00, 0: 8; 1: 49; 2: 30; 3: 10; 
Differentiation_of_T_lymphocytes, 246,  8,  7,  139, 0, 3, 439162, 12113.99, 0, 0.00, 0: 8; 1: 49; 2: 30; 3: 10; 
Differentiation_of_T_lymphocytes,  46,  6,  9,  139, 0, 3, 426064, 12113.99, 0, 0.00, 0: 8; 1: 49; 2: 30; 3: 10; 
Differentiation_of_T_lymphocytes, 906,  7,  8,  139, 0, 3, 439165, 12113.99, 124, 0.00, 0: 8; 1: 50; 2: 28; 3: 11; 
Differentiation_of_T_lymphocytes, 124,  6,  9,  139, 0, 3, 426065, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 26; 3: 12; 
Differentiation_of_T_lymphocytes, 654,  7,  8,  139, 0, 3, 439277, 12113.99, 0, 0.00, 0: 8; 1: 50; 2: 28; 3: 11; 
Differentiation_of_T_lymphocytes, 494,  7,  8,  140, 0, 3, 439224, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 25; 3: 13; 
Differentiation_of_T_lymphocytes, 390,  9,  6,  140, 0, 3, 426089, 12113.99, 0, 0.00, 0: 8; 1: 48; 2: 31; 3: 10; 
Differentiation_of_T_lymphocytes, 167,  5, 11,  140, 0, 3, 432156, 12113.99, 0, 0.00, 0: 8; 1: 50; 2: 27; 3: 12; 
Differentiation_of_T_lymphocytes, 730,  7,  8,  140, 0, 3, 439215, 12113.99, 124, 0.00, 0: 8; 1: 49; 2: 29; 3: 11; 
Differentiation_of_T_lymphocytes, 655,  5, 11,  140, 0, 3, 432043, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 25; 3: 13; 
Differentiation_of_T_lymphocytes,   8,  8,  7,  140, 0, 3, 439198, 12113.99, 0, 0.00, 0: 8; 1: 48; 2: 31; 3: 10; 
Differentiation_of_T_lymphocytes,  31,  6,  9,  140, 0, 3, 426096, 12113.99, 0, 0.00, 0: 8; 1: 49; 2: 29; 3: 11; 
Differentiation_of_T_lymphocytes, 930,  9,  6,  140, 0, 3, 426092, 12113.99, 0, 0.00, 0: 8; 1: 52; 2: 23; 3: 14; 
Differentiation_of_T_lymphocytes, 522,  5, 12,  140, 0, 3, 463974, 12113.99, 124, 0.00, 0: 8; 1: 51; 2: 25; 3: 13; 
Differentiation_of_T_lymphocytes, 178,  9,  6,  140, 0, 3, 426029, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 25; 3: 13; 
Differentiation_of_T_lymphocytes, 813,  7,  8,  140, 0, 3, 439128, 12113.99, 82, 0.00, 0: 8; 1: 49; 2: 29; 3: 11; 
Differentiation_of_T_lymphocytes, 277,  6,  9,  140, 0, 3, 426087, 12113.99, 86, 0.00, 0: 8; 1: 48; 2: 31; 3: 10; 
Differentiation_of_T_lymphocytes, 271,  7,  8,  140, 0, 3, 439220, 12113.99, 0, 0.00, 0: 8; 1: 46; 2: 35; 3: 8; 
Differentiation_of_T_lymphocytes, 624,  9,  6,  140, 0, 3, 426036, 12113.99, 1, 0.00, 0: 8; 1: 48; 2: 31; 3: 10; 
Differentiation_of_T_lymphocytes, 356,  6,  9,  140, 0, 3, 426077, 12113.99, 0, 0.00, 0: 8; 1: 49; 2: 29; 3: 11; 
Differentiation_of_T_lymphocytes, 191,  9,  6,  140, 0, 3, 426073, 12113.99, 0, 0.00, 0: 8; 1: 48; 2: 31; 3: 10; 
Differentiation_of_T_lymphocytes, 325,  6,  9,  140, 0, 3, 426079, 12113.99, 86, 0.00, 0: 8; 1: 52; 2: 23; 3: 14; 
Differentiation_of_T_lymphocytes, 116,  7,  8,  140, 0, 3, 439153, 12113.99, 29, 0.00, 0: 8; 1: 46; 2: 35; 3: 8; 
Differentiation_of_T_lymphocytes, 450,  7,  8,  140, 0, 3, 439149, 12113.99, 124, 0.00, 0: 8; 1: 48; 2: 31; 3: 10; 
Differentiation_of_T_lymphocytes, 440,  6,  9,  140, 0, 3, 426103, 12113.99, 0, 0.00, 0: 8; 1: 46; 2: 35; 3: 8; 
Differentiation_of_T_lymphocytes, 672,  6,  9,  140, 0, 3, 426060, 12113.99, 7, 0.00, 0: 8; 1: 47; 2: 33; 3: 9; 
Differentiation_of_T_lymphocytes, 991,  9,  6,  140, 0, 3, 426075, 12113.99, 0, 0.00, 0: 8; 1: 48; 2: 31; 3: 10; 
Differentiation_of_T_lymphocytes, 150,  6,  9,  140, 0, 3, 426084, 12113.99, 0, 0.00, 0: 8; 1: 49; 2: 29; 3: 11; 
Differentiation_of_T_lymphocytes, 107,  8,  7,  140, 0, 3, 439133, 12113.99, 56, 0.00, 0: 8; 1: 50; 2: 27; 3: 12; 
Differentiation_of_T_lymphocytes, 117,  9,  6,  140, 0, 3, 426114, 12113.99, 0, 0.00, 0: 8; 1: 52; 2: 23; 3: 14; 
Differentiation_of_T_lymphocytes, 597,  8,  7,  140, 0, 3, 439205, 12113.99, 86, 0.00, 0: 8; 1: 51; 2: 25; 3: 13; 
Differentiation_of_T_lymphocytes, 710,  8,  7,  140, 0, 3, 439153, 12113.99, 0, 0.00, 0: 8; 1: 50; 2: 27; 3: 12; 
