Seed 1656949570
ARCH 0|F_ID 2|LIMIT 3
before: 
03(801)
Melhor resultado nxn: Guard_Cell_Abscisic_Acid_Signaling, 336,  7,  7,  125, 1, 3, 383569, 12185.27, 176, 0.00, 1: 43; 2: 23; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling,   0,  6,  8,  131, 1, 3, 376995, 12185.27, 0, 0.00, 1: 38; 2: 27; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 665,  8,  6,  131, 1, 3, 377001, 12185.27, 177, 0.00, 1: 40; 2: 23; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 751,  6,  8,  131, 1, 3, 376959, 12185.27, 0, 0.00, 1: 40; 2: 23; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 668,  5, 10,  131, 1, 3, 390759, 12185.27, 53, 0.00, 1: 39; 2: 25; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 847,  6,  8,  131, 1, 3, 376982, 12185.27, 0, 0.00, 1: 39; 2: 25; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 613,  6,  8,  131, 1, 3, 376991, 12185.27, 0, 0.00, 1: 40; 2: 23; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 400,  9,  5,  131, 1, 3, 355410, 12185.27, 96, 0.00, 1: 40; 2: 23; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 483,  8,  6,  131, 1, 3, 376984, 12185.27, 0, 0.00, 1: 36; 2: 31; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 347,  8,  6,  131, 1, 3, 376948, 12185.27, 14, 0.00, 1: 39; 2: 25; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 242,  8,  6,  131, 1, 3, 376938, 12185.27, 0, 0.00, 1: 42; 2: 19; 3: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 710,  7,  7,  131, 1, 3, 383643, 12185.27, 0, 0.00, 1: 40; 2: 23; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 313,  7,  7,  131, 1, 3, 383577, 12185.27, 0, 0.00, 1: 39; 2: 25; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling,   6,  5,  9,  131, 1, 3, 355410, 12185.27, 0, 0.00, 1: 39; 2: 25; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 961,  7,  7,  131, 1, 3, 383600, 12185.27, 171, 0.00, 1: 38; 2: 27; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 996,  8,  6,  131, 1, 3, 376983, 12185.27, 0, 0.00, 1: 40; 2: 23; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 863,  8,  6,  132, 1, 3, 376966, 12185.27, 0, 0.00, 1: 39; 2: 24; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 800,  7,  7,  132, 1, 3, 383633, 12185.27, 9, 0.00, 1: 36; 2: 30; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling,  97,  6,  8,  132, 1, 3, 377009, 12185.27, 0, 0.00, 1: 41; 2: 20; 3: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 132,  5,  9,  132, 1, 3, 355410, 12185.27, 53, 0.00, 1: 38; 2: 26; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 991,  5,  9,  132, 1, 3, 355410, 12185.27, 0, 0.00, 1: 39; 2: 24; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 466,  7,  7,  132, 1, 3, 383558, 12185.27, 185, 0.00, 1: 40; 2: 22; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 344,  8,  6,  132, 1, 3, 376973, 12185.27, 24, 0.00, 1: 36; 2: 30; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 583,  9,  5,  132, 1, 3, 355410, 12185.27, 0, 0.00, 1: 37; 2: 28; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 397,  5, 10,  132, 1, 3, 391050, 12185.27, 86, 0.00, 1: 39; 2: 24; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 574,  7,  7,  132, 1, 3, 383627, 12185.27, 0, 0.00, 1: 41; 2: 20; 3: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 539,  5,  9,  132, 1, 3, 355410, 12185.27, 14, 0.00, 1: 41; 2: 20; 3: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 883,  6,  8,  132, 1, 3, 377044, 12185.27, 255, 0.00, 1: 39; 2: 24; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 589,  6,  8,  132, 1, 3, 376999, 12185.27, 86, 0.00, 1: 40; 2: 22; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling,  23,  7,  7,  132, 1, 3, 383606, 12185.27, 0, 0.00, 1: 40; 2: 22; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 579,  6,  8,  132, 1, 3, 376999, 12185.27, 14, 0.00, 1: 39; 2: 24; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 415,  5, 10,  132, 1, 3, 390833, 12185.27, 0, 0.00, 1: 35; 2: 32; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 700,  7,  7,  132, 1, 3, 383583, 12185.27, 1, 0.00, 1: 40; 2: 22; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 160,  5, 10,  132, 1, 3, 390830, 12185.27, 6, 0.00, 1: 38; 2: 26; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling,  70,  6,  8,  132, 1, 3, 376994, 12185.27, 0, 0.00, 1: 38; 2: 26; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 752,  9,  5,  132, 1, 3, 355410, 12185.27, 64, 0.00, 1: 38; 2: 26; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 618,  7,  7,  133, 1, 3, 383565, 12185.27, 97, 0.00, 1: 38; 2: 25; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 708,  6,  8,  133, 1, 3, 376956, 12185.27, 53, 0.00, 1: 37; 2: 27; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 349,  7,  7,  133, 1, 3, 383588, 12185.27, 86, 0.00, 1: 38; 2: 25; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 343,  7,  7,  133, 1, 3, 383582, 12185.27, 0, 0.00, 1: 35; 2: 31; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling,  69,  6,  8,  133, 1, 3, 376958, 12185.27, 86, 0.00, 1: 36; 2: 29; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 125,  5,  9,  133, 1, 3, 355410, 12185.27, 0, 0.00, 1: 38; 2: 25; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 485,  5, 10,  133, 1, 3, 390950, 12185.27, 0, 0.00, 1: 39; 2: 23; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 331,  8,  6,  133, 1, 3, 377026, 12185.27, 14, 0.00, 1: 38; 2: 25; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling,   5,  7,  7,  133, 1, 3, 383610, 12185.27, 127, 0.00, 1: 36; 2: 29; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 736,  8,  6,  133, 1, 3, 376987, 12185.27, 6, 0.00, 1: 37; 2: 27; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 308,  8,  6,  133, 1, 3, 376970, 12185.27, 16, 0.00, 1: 41; 2: 19; 3: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 146,  8,  6,  133, 1, 3, 376989, 12185.27, 185, 0.00, 1: 37; 2: 27; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 299,  8,  6,  133, 1, 3, 376963, 12185.27, 66, 0.00, 1: 37; 2: 27; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 152,  7,  7,  133, 1, 3, 383597, 12185.27, 88, 0.00, 1: 35; 2: 31; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 291,  7,  7,  133, 1, 3, 383595, 12185.27, 0, 0.00, 1: 37; 2: 27; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 158,  5, 10,  133, 1, 3, 390821, 12185.27, 0, 0.00, 1: 40; 2: 21; 3: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 287,  9,  5,  133, 1, 3, 355410, 12185.27, 0, 0.00, 1: 37; 2: 27; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling,  16,  9,  5,  133, 1, 3, 355410, 12185.27, 160, 0.00, 1: 37; 2: 27; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 381,  8,  6,  133, 1, 3, 376957, 12185.27, 0, 0.00, 1: 35; 2: 31; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 832,  8,  6,  133, 1, 3, 377028, 12185.27, 144, 0.00, 1: 41; 2: 19; 3: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 799,  8,  6,  133, 1, 3, 376971, 12185.27, 0, 0.00, 1: 36; 2: 29; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 656,  6,  8,  133, 1, 3, 376985, 12185.27, 48, 0.00, 1: 39; 2: 23; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling,   3,  9,  5,  133, 1, 3, 355410, 12185.27, 194, 0.00, 1: 39; 2: 23; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 646,  6,  8,  133, 1, 3, 376969, 12185.27, 0, 0.00, 1: 39; 2: 23; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 366,  5,  9,  133, 1, 3, 355410, 12185.27, 32, 0.00, 1: 36; 2: 29; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 477,  6,  8,  133, 1, 3, 376974, 12185.27, 86, 0.00, 1: 41; 2: 19; 3: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 537,  6,  8,  134, 1, 3, 377024, 12185.27, 176, 0.00, 1: 39; 2: 22; 3: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 963,  5,  9,  134, 1, 3, 355410, 12185.27, 14, 0.00, 1: 37; 2: 26; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 594,  6,  8,  134, 1, 3, 376984, 12185.27, 185, 0.00, 1: 40; 2: 20; 3: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 155,  8,  6,  134, 1, 3, 376980, 12185.27, 14, 0.00, 1: 36; 2: 28; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 667,  6,  8,  134, 1, 3, 376994, 12185.27, 14, 0.00, 1: 38; 2: 24; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 862,  6,  8,  134, 1, 3, 376993, 12185.27, 0, 0.00, 1: 36; 2: 28; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 681,  5,  9,  134, 1, 3, 355410, 12185.27, 67, 0.00, 1: 36; 2: 28; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 983,  8,  6,  134, 1, 3, 376983, 12185.27, 0, 0.00, 1: 34; 2: 32; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 666,  5, 10,  134, 1, 3, 390883, 12185.27, 185, 0.00, 1: 37; 2: 26; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 938,  7,  7,  134, 1, 3, 383608, 12185.27, 82, 0.00, 1: 37; 2: 26; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 293,  6,  8,  134, 1, 3, 377068, 12185.27, 0, 0.00, 1: 40; 2: 20; 3: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 153,  6,  8,  134, 1, 3, 376969, 12185.27, 175, 0.00, 1: 39; 2: 22; 3: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 824,  5, 10,  134, 1, 3, 390797, 12185.27, 0, 0.00, 1: 41; 2: 18; 3: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 213,  7,  7,  134, 1, 3, 383603, 12185.27, 86, 0.00, 1: 39; 2: 22; 3: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 826,  7,  7,  134, 1, 3, 383620, 12185.27, 0, 0.00, 1: 38; 2: 24; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 831,  7,  7,  134, 1, 3, 383620, 12185.27, 0, 0.00, 1: 37; 2: 26; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 108,  7,  7,  134, 1, 3, 383599, 12185.27, 49, 0.00, 1: 39; 2: 22; 3: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 585,  7,  7,  134, 1, 3, 383528, 12185.27, 169, 0.00, 1: 35; 2: 30; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 183,  8,  6,  134, 1, 3, 376981, 12185.27, 0, 0.00, 1: 37; 2: 26; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 607,  6,  8,  134, 1, 3, 377087, 12185.27, 0, 0.00, 1: 37; 2: 26; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 559,  7,  7,  134, 1, 3, 383627, 12185.27, 0, 0.00, 1: 41; 2: 18; 3: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 457,  6,  8,  134, 1, 3, 376966, 12185.27, 168, 0.00, 1: 38; 2: 24; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 922,  7,  7,  134, 1, 3, 383635, 12185.27, 185, 0.00, 1: 40; 2: 20; 3: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 976,  5, 10,  134, 1, 3, 390851, 12185.27, 176, 0.00, 1: 35; 2: 30; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 286,  7,  7,  134, 1, 3, 383604, 12185.27, 0, 0.00, 1: 39; 2: 22; 3: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 376,  5,  9,  134, 1, 3, 355410, 12185.27, 0, 0.00, 1: 38; 2: 24; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 712,  7,  7,  134, 1, 3, 383709, 12185.27, 208, 0.00, 1: 37; 2: 26; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 717,  5, 10,  134, 1, 3, 390892, 12185.27, 86, 0.00, 1: 39; 2: 22; 3: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 988,  8,  6,  134, 1, 3, 376961, 12185.27, 53, 0.00, 1: 37; 2: 26; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 797,  6,  8,  134, 1, 3, 376954, 12185.27, 86, 0.00, 1: 38; 2: 24; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 945,  8,  6,  134, 1, 3, 376973, 12185.27, 0, 0.00, 1: 38; 2: 24; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 129,  5, 10,  134, 1, 3, 390812, 12185.27, 35, 0.00, 1: 37; 2: 26; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling,  93,  6,  8,  134, 1, 3, 376962, 12185.27, 86, 0.00, 1: 38; 2: 24; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 163,  8,  6,  135, 1, 3, 377022, 12185.27, 0, 0.00, 1: 35; 2: 29; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 514,  6,  8,  135, 1, 3, 376981, 12185.27, 185, 0.00, 1: 36; 2: 27; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 282,  6,  8,  135, 1, 3, 376968, 12185.27, 185, 0.00, 1: 35; 2: 29; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 586,  7,  7,  135, 1, 3, 383616, 12185.27, 185, 0.00, 1: 33; 2: 33; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 227,  7,  7,  135, 1, 3, 383589, 12185.27, 0, 0.00, 1: 38; 2: 23; 3: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 859,  9,  5,  135, 1, 3, 355410, 12185.27, 14, 0.00, 1: 40; 2: 19; 3: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 853,  6,  8,  135, 1, 3, 377036, 12185.27, 86, 0.00, 1: 35; 2: 29; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 192,  7,  7,  135, 1, 3, 383588, 12185.27, 32, 0.00, 1: 38; 2: 23; 3: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 812,  5, 10,  135, 1, 3, 390782, 12185.27, 115, 0.00, 1: 33; 2: 33; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 564,  6,  8,  135, 1, 3, 376997, 12185.27, 255, 0.00, 1: 37; 2: 25; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 263,  5, 10,  135, 1, 3, 390841, 12185.27, 0, 0.00, 1: 39; 2: 21; 3: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 505,  6,  8,  135, 1, 3, 376988, 12185.27, 0, 0.00, 1: 36; 2: 27; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 784,  8,  6,  135, 1, 3, 377004, 12185.27, 0, 0.00, 1: 37; 2: 25; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 451,  9,  5,  135, 1, 3, 355410, 12185.27, 14, 0.00, 1: 37; 2: 25; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling,  12,  8,  6,  135, 1, 3, 377012, 12185.27, 10, 0.00, 1: 39; 2: 21; 3: 18; 
Guard_Cell_Abscisic_Acid_Signaling,  15,  9,  5,  135, 1, 3, 355410, 12185.27, 0, 0.00, 1: 38; 2: 23; 3: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 531,  7,  7,  135, 1, 3, 383571, 12185.27, 14, 0.00, 1: 36; 2: 27; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling,  82,  7,  7,  135, 1, 3, 383638, 12185.27, 185, 0.00, 1: 42; 2: 15; 3: 21; 
Guard_Cell_Abscisic_Acid_Signaling,  17,  7,  7,  135, 1, 3, 383590, 12185.27, 174, 0.00, 1: 36; 2: 27; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 380,  5,  9,  135, 1, 3, 355410, 12185.27, 2, 0.00, 1: 42; 2: 15; 3: 21; 
Guard_Cell_Abscisic_Acid_Signaling,  22,  7,  7,  135, 1, 3, 383604, 12185.27, 0, 0.00, 1: 36; 2: 27; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling,  96,  5, 10,  135, 1, 3, 390854, 12185.27, 6, 0.00, 1: 37; 2: 25; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 688,  9,  5,  135, 1, 3, 355410, 12185.27, 0, 0.00, 1: 36; 2: 27; 3: 15; 
