Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
4(832)
Melhor resultado nxn: Bortezomib_Responses_in_U266_Human_Myelo, 610,  9,  8,  232, 0, 4, 570326, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 56; 3: 19; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 284, 10,  7,  239, 0, 4, 557172, 42936.14, 6, 0.00, 0: 1; 1: 57; 2: 38; 3: 30; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 418, 10,  7,  239, 0, 4, 557192, 42936.14, 0, 0.00, 0: 1; 1: 47; 2: 58; 3: 20; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 425,  9,  8,  239, 0, 4, 570342, 42936.14, 0, 0.00, 0: 1; 1: 52; 2: 48; 3: 25; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 126,  7, 11,  239, 0, 4, 604901, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 52; 3: 20; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 368,  8,  9,  239, 0, 4, 570367, 42936.14, 24, 0.00, 0: 1; 1: 53; 2: 45; 3: 28; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo,   8, 10,  7,  239, 0, 4, 557186, 42936.14, 208, 0.00, 0: 1; 1: 53; 2: 46; 3: 26; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 456,  7, 11,  240, 0, 4, 604986, 42936.14, 30, 0.00, 0: 1; 1: 48; 2: 55; 3: 22; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 328, 10,  7,  240, 0, 4, 557169, 42936.14, 21, 0.00, 0: 1; 1: 49; 2: 55; 3: 19; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo,  49,  7, 10,  240, 0, 4, 557189, 42936.14, 0, 0.00, 0: 1; 1: 53; 2: 48; 3: 21; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 321,  9,  8,  240, 0, 4, 570281, 42936.14, 0, 0.00, 0: 1; 1: 46; 2: 58; 3: 22; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 797,  9,  8,  240, 0, 4, 570317, 42936.14, 0, 0.00, 0: 1; 1: 48; 2: 53; 3: 26; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 204,  9,  8,  240, 0, 4, 570298, 42936.14, 55, 0.00, 0: 1; 1: 52; 2: 49; 3: 22; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 326,  9,  8,  240, 0, 4, 570310, 42936.14, 0, 0.00, 0: 1; 1: 52; 2: 47; 3: 26; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo,  63, 10,  7,  240, 0, 4, 557182, 42936.14, 0, 0.00, 0: 1; 1: 52; 2: 49; 3: 22; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 947,  7, 11,  240, 0, 4, 605140, 42936.14, 0, 0.00, 0: 1; 1: 49; 2: 53; 3: 23; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 941,  7, 10,  240, 0, 4, 557170, 42936.14, 0, 0.00, 0: 1; 1: 52; 2: 47; 3: 26; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo,  14,  7, 11,  240, 0, 4, 604927, 42936.14, 0, 0.00, 0: 1; 1: 49; 2: 54; 3: 21; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 864, 10,  7,  240, 0, 4, 557150, 42936.14, 61, 0.00, 0: 1; 1: 54; 2: 44; 3: 26; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,  21,  9,  8,  240, 0, 4, 570277, 42936.14, 85, 0.00, 0: 1; 1: 53; 2: 48; 3: 21; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 858,  7, 11,  240, 0, 4, 605028, 42936.14, 0, 0.00, 0: 1; 1: 53; 2: 45; 3: 27; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 340, 10,  7,  240, 0, 4, 557161, 42936.14, 13, 0.00, 0: 1; 1: 53; 2: 44; 3: 29; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 353,  7, 11,  240, 0, 4, 605189, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 48; 3: 27; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo,  27,  8,  9,  240, 0, 4, 570278, 42936.14, 186, 0.00, 0: 1; 1: 48; 2: 54; 3: 24; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 374,  7, 11,  240, 0, 4, 604853, 42936.14, 0, 0.00, 0: 1; 1: 50; 2: 49; 3: 28; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 209,  7, 11,  240, 0, 4, 605051, 42936.14, 0, 0.00, 0: 1; 1: 49; 2: 51; 3: 27; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 816,  9,  8,  240, 0, 4, 570348, 42936.14, 59, 0.00, 0: 1; 1: 47; 2: 58; 3: 19; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 724, 10,  7,  240, 0, 4, 557175, 42936.14, 21, 0.00, 0: 1; 1: 48; 2: 55; 3: 22; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo,   5,  7, 11,  240, 0, 4, 605089, 42936.14, 127, 0.00, 0: 1; 1: 55; 2: 42; 3: 27; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 627,  7, 10,  240, 0, 4, 557164, 42936.14, 0, 0.00, 0: 1; 1: 50; 2: 50; 3: 26; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 223,  7, 11,  241, 0, 4, 605138, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 49; 3: 24; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 309,  7, 11,  241, 0, 4, 604874, 42936.14, 0, 0.00, 0: 1; 1: 49; 2: 50; 3: 28; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 830,  7, 11,  241, 0, 4, 605146, 42936.14, 0, 0.00, 0: 1; 1: 49; 2: 53; 3: 22; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 106, 10,  7,  241, 0, 4, 557163, 42936.14, 0, 0.00, 0: 1; 1: 46; 2: 59; 3: 19; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,  94,  8,  9,  241, 0, 4, 570337, 42936.14, 0, 0.00, 0: 1; 1: 47; 2: 58; 3: 18; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 800,  8,  9,  241, 0, 4, 570268, 42936.14, 57, 0.00, 0: 1; 1: 54; 2: 43; 3: 27; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 603,  9,  8,  241, 0, 4, 570355, 42936.14, 0, 0.00, 0: 1; 1: 47; 2: 56; 3: 22; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 235,  9,  8,  241, 0, 4, 570333, 42936.14, 0, 0.00, 0: 1; 1: 52; 2: 47; 3: 25; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 266,  7, 11,  241, 0, 4, 604981, 42936.14, 0, 0.00, 0: 1; 1: 48; 2: 55; 3: 21; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,  18,  8,  9,  241, 0, 4, 570307, 42936.14, 200, 0.00, 0: 1; 1: 49; 2: 51; 3: 26; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo,  16, 10,  7,  241, 0, 4, 557187, 42936.14, 160, 0.00, 0: 1; 1: 53; 2: 46; 3: 24; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 566,  7, 11,  241, 0, 4, 605096, 42936.14, 0, 0.00, 0: 1; 1: 50; 2: 51; 3: 23; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 533,  7, 10,  241, 0, 4, 557189, 42936.14, 0, 0.00, 0: 1; 1: 48; 2: 54; 3: 23; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 510, 10,  7,  241, 0, 4, 557113, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 48; 3: 26; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 279,  9,  8,  241, 0, 4, 570217, 42936.14, 0, 0.00, 0: 1; 1: 50; 2: 49; 3: 27; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo,  45,  9,  8,  241, 0, 4, 570313, 42936.14, 0, 0.00, 0: 1; 1: 52; 2: 46; 3: 27; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 924,  9,  8,  241, 0, 4, 570340, 42936.14, 7, 0.00, 0: 1; 1: 53; 2: 43; 3: 30; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo,   6,  8,  9,  241, 0, 4, 570271, 42936.14, 0, 0.00, 0: 1; 1: 46; 2: 59; 3: 19; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 753,  8,  9,  241, 0, 4, 570370, 42936.14, 0, 0.00, 0: 1; 1: 53; 2: 44; 3: 28; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 922,  7, 11,  241, 0, 4, 605118, 42936.14, 0, 0.00, 0: 1; 1: 53; 2: 45; 3: 26; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 648,  8,  9,  241, 0, 4, 570270, 42936.14, 44, 0.00, 0: 1; 1: 52; 2: 45; 3: 29; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 998, 10,  7,  241, 0, 4, 557198, 42936.14, 0, 0.00, 0: 1; 1: 53; 2: 45; 3: 26; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 653,  8,  9,  242, 0, 4, 570320, 42936.14, 0, 0.00, 0: 1; 1: 45; 2: 59; 3: 21; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 600,  8,  9,  242, 0, 4, 570357, 42936.14, 40, 0.00, 0: 1; 1: 50; 2: 49; 3: 26; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 663,  8,  9,  242, 0, 4, 570287, 42936.14, 0, 0.00, 0: 1; 1: 46; 2: 54; 3: 28; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 842, 10,  7,  242, 0, 4, 557119, 42936.14, 0, 0.00, 0: 1; 1: 49; 2: 49; 3: 29; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 548,  7, 11,  242, 0, 4, 604997, 42936.14, 19, 0.00, 0: 1; 1: 53; 2: 44; 3: 27; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 508, 10,  7,  242, 0, 4, 557197, 42936.14, 62, 0.00, 0: 1; 1: 51; 2: 47; 3: 27; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 193, 10,  7,  242, 0, 4, 557143, 42936.14, 0, 0.00, 0: 1; 1: 53; 2: 43; 3: 29; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 166,  8,  9,  242, 0, 4, 570265, 42936.14, 0, 0.00, 0: 1; 1: 50; 2: 52; 3: 20; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 161,  7, 10,  242, 0, 4, 557168, 42936.14, 0, 0.00, 0: 1; 1: 48; 2: 52; 3: 26; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 301, 10,  7,  242, 0, 4, 557167, 42936.14, 0, 0.00, 0: 1; 1: 47; 2: 56; 3: 21; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 486,  9,  8,  242, 0, 4, 570287, 42936.14, 0, 0.00, 0: 1; 1: 53; 2: 45; 3: 25; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 621,  7, 10,  242, 0, 4, 557221, 42936.14, 0, 0.00, 0: 1; 1: 49; 2: 51; 3: 25; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 120,  7, 11,  242, 0, 4, 604940, 42936.14, 6, 0.00, 0: 1; 1: 49; 2: 50; 3: 27; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 538,  9,  8,  242, 0, 4, 570280, 42936.14, 0, 0.00, 0: 1; 1: 53; 2: 43; 3: 29; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 478, 10,  7,  242, 0, 4, 557155, 42936.14, 0, 0.00, 0: 1; 1: 53; 2: 45; 3: 25; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 605,  7, 11,  242, 0, 4, 604866, 42936.14, 0, 0.00, 0: 1; 1: 50; 2: 46; 3: 32; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 545,  8,  9,  242, 0, 4, 570303, 42936.14, 0, 0.00, 0: 1; 1: 45; 2: 56; 3: 27; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 975,  6, 13,  242, 0, 4, 610187, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 53; 3: 15; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 885,  6, 13,  242, 0, 4, 610254, 42936.14, 0, 0.00, 0: 1; 1: 49; 2: 53; 3: 21; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 313,  8,  9,  242, 0, 4, 570252, 42936.14, 0, 0.00, 0: 1; 1: 49; 2: 51; 3: 25; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 375,  8,  9,  242, 0, 4, 570322, 42936.14, 0, 0.00, 0: 1; 1: 54; 2: 42; 3: 28; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 356,  9,  8,  242, 0, 4, 570308, 42936.14, 16, 0.00, 0: 1; 1: 47; 2: 55; 3: 23; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo,  19,  7, 11,  242, 0, 4, 605033, 42936.14, 186, 0.00, 0: 1; 1: 50; 2: 51; 3: 22; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 215,  9,  8,  242, 0, 4, 570252, 42936.14, 0, 0.00, 0: 1; 1: 53; 2: 42; 3: 31; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 899,  7, 11,  242, 0, 4, 605176, 42936.14, 0, 0.00, 0: 1; 1: 47; 2: 53; 3: 27; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 893,  8,  9,  242, 0, 4, 570309, 42936.14, 0, 0.00, 0: 1; 1: 50; 2: 47; 3: 30; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 424,  7, 11,  242, 0, 4, 604955, 42936.14, 28, 0.00, 0: 1; 1: 54; 2: 43; 3: 26; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo,  44,  8,  9,  242, 0, 4, 570315, 42936.14, 61, 0.00, 0: 1; 1: 48; 2: 53; 3: 24; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 638,  8,  9,  243, 0, 4, 570327, 42936.14, 0, 0.00, 0: 1; 1: 50; 2: 50; 3: 23; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 759, 10,  7,  243, 0, 4, 557125, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 51; 3: 18; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo,  28,  6, 12,  243, 0, 4, 570319, 42936.14, 211, 0.00, 0: 1; 1: 50; 2: 51; 3: 21; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 792,  9,  8,  243, 0, 4, 570326, 42936.14, 57, 0.00, 0: 1; 1: 48; 2: 52; 3: 25; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 777,  7, 10,  243, 0, 4, 557168, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 48; 3: 24; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo,  59,  9,  8,  243, 0, 4, 570319, 42936.14, 0, 0.00, 0: 1; 1: 48; 2: 55; 3: 19; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 323,  6, 13,  243, 0, 4, 610158, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 46; 3: 28; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 767,  7, 10,  243, 0, 4, 557168, 42936.14, 0, 0.00, 0: 1; 1: 47; 2: 53; 3: 26; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 574,  8,  9,  243, 0, 4, 570238, 42936.14, 0, 0.00, 0: 1; 1: 47; 2: 53; 3: 26; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 894,  9,  8,  243, 0, 4, 570261, 42936.14, 0, 0.00, 0: 1; 1: 44; 2: 61; 3: 19; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 633,  7, 10,  243, 0, 4, 557191, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 49; 3: 22; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 534,  7, 11,  243, 0, 4, 605131, 42936.14, 0, 0.00, 0: 1; 1: 47; 2: 56; 3: 20; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 381,  9,  8,  243, 0, 4, 570207, 42936.14, 0, 0.00, 0: 1; 1: 46; 2: 53; 3: 29; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 254,  7, 11,  243, 0, 4, 605026, 42936.14, 0, 0.00, 0: 1; 1: 50; 2: 49; 3: 25; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 929,  8,  9,  243, 0, 4, 570306, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 46; 3: 28; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo,  47,  7, 11,  243, 0, 4, 604914, 42936.14, 0, 0.00, 0: 1; 1: 48; 2: 49; 3: 31; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 931,  9,  8,  243, 0, 4, 570282, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 48; 3: 24; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 741,  8,  9,  243, 0, 4, 570313, 42936.14, 0, 0.00, 0: 1; 1: 46; 2: 56; 3: 23; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo,  37,  7, 10,  243, 0, 4, 557153, 42936.14, 0, 0.00, 0: 1; 1: 50; 2: 48; 3: 27; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 347,  9,  8,  243, 0, 4, 570321, 42936.14, 0, 0.00, 0: 1; 1: 48; 2: 52; 3: 25; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 265,  8,  9,  243, 0, 4, 570204, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 48; 3: 24; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 660,  7, 10,  243, 0, 4, 557177, 42936.14, 31, 0.00, 0: 1; 1: 48; 2: 51; 3: 27; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 820,  7, 11,  243, 0, 4, 604961, 42936.14, 41, 0.00, 0: 1; 1: 53; 2: 42; 3: 30; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 857, 10,  7,  243, 0, 4, 557188, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 45; 3: 30; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 343,  8,  9,  243, 0, 4, 570351, 42936.14, 0, 0.00, 0: 1; 1: 50; 2: 48; 3: 27; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 514,  9,  8,  243, 0, 4, 570266, 42936.14, 0, 0.00, 0: 1; 1: 53; 2: 42; 3: 30; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 556,  7, 11,  243, 0, 4, 604783, 42936.14, 52, 0.00, 0: 1; 1: 48; 2: 52; 3: 25; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 103,  9,  8,  243, 0, 4, 570364, 42936.14, 0, 0.00, 0: 1; 1: 53; 2: 42; 3: 30; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 673,  7, 10,  243, 0, 4, 557159, 42936.14, 0, 0.00, 0: 1; 1: 49; 2: 51; 3: 24; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,  74,  7, 10,  243, 0, 4, 557176, 42936.14, 0, 0.00, 0: 1; 1: 47; 2: 58; 3: 16; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 838,  8,  9,  243, 0, 4, 570361, 42936.14, 0, 0.00, 0: 1; 1: 45; 2: 58; 3: 22; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 993,  7, 11,  243, 0, 4, 604983, 42936.14, 0, 0.00, 0: 1; 1: 50; 2: 50; 3: 23; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 162,  7, 10,  244, 0, 4, 557122, 42936.14, 0, 0.00, 0: 1; 1: 47; 2: 54; 3: 23; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 282,  9,  8,  244, 0, 4, 570400, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 46; 3: 27; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 183,  7, 10,  244, 0, 4, 557175, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 45; 3: 29; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 184,  7, 11,  244, 0, 4, 605108, 42936.14, 10, 0.00, 0: 1; 1: 50; 2: 50; 3: 22; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 718,  7, 10,  244, 0, 4, 557141, 42936.14, 0, 0.00, 0: 1; 1: 47; 2: 51; 3: 29; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 264,  9,  8,  244, 0, 4, 570292, 42936.14, 15, 0.00, 0: 1; 1: 47; 2: 53; 3: 25; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 978,  8,  9,  244, 0, 4, 570274, 42936.14, 0, 0.00, 0: 1; 1: 50; 2: 46; 3: 30; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo,  31,  8,  9,  244, 0, 4, 570390, 42936.14, 0, 0.00, 0: 1; 1: 50; 2: 49; 3: 24; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 697,  8,  9,  244, 0, 4, 570291, 42936.14, 0, 0.00, 0: 1; 1: 48; 2: 52; 3: 24; 4: 5; 
