Seed 1656949570
ARCH 1|F_ID 1|LIMIT 3
before: 
12(775)
Melhor resultado nxn: Treatment_of_Castration-Resistant_Prostate_Ca, 428,  7,  7,   75, 1, 2, 382260, 9553.27, 114, 0.00, 1: 55; 2: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 102,  7,  7,   77, 1, 2, 381991, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 743,  8,  6,   77, 1, 2, 375800, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 927,  7,  7,   77, 1, 2, 381959, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 483,  8,  6,   77, 1, 2, 375706, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 181,  8,  6,   77, 1, 2, 375847, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 558,  8,  6,   77, 1, 2, 375572, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 965,  5,  9,   77, 1, 2, 355034, 9553.27, 85, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 649,  5, 10,   77, 1, 2, 388862, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 217,  5,  9,   77, 1, 2, 355104, 9553.27, 98, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca,   7,  7,  7,   77, 1, 2, 382012, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 527,  9,  5,   77, 1, 2, 355043, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 490,  7,  7,   77, 1, 2, 381884, 9553.27, 65, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 254,  7,  7,   77, 1, 2, 382110, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 889,  8,  6,   77, 1, 2, 375479, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca,  38,  5, 10,   77, 1, 2, 389115, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 378,  6,  8,   77, 1, 2, 375565, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 884,  8,  6,   77, 1, 2, 375667, 9553.27, 29, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 237,  8,  6,   77, 1, 2, 375338, 9553.27, 83, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 794,  8,  6,   77, 1, 2, 375551, 9553.27, 88, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 231,  5, 10,   77, 1, 2, 388931, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 537,  6,  8,   77, 1, 2, 375403, 9553.27, 99, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca,  29,  6,  8,   77, 1, 2, 375458, 9553.27, 85, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 903,  8,  6,   77, 1, 2, 375569, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca,  13,  8,  6,   77, 1, 2, 375727, 9553.27, 127, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 996,  8,  6,   77, 1, 2, 375496, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 503,  7,  7,   77, 1, 2, 381814, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca,  56,  7,  7,   77, 1, 2, 381975, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 793,  5, 10,   77, 1, 2, 388489, 9553.27, 100, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca,  22,  7,  7,   77, 1, 2, 382137, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 393,  6,  8,   77, 1, 2, 375488, 9553.27, 90, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 215,  5, 10,   77, 1, 2, 388587, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 781,  6,  8,   77, 1, 2, 376008, 9553.27, 85, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 262,  5,  9,   77, 1, 2, 355095, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 840,  6,  8,   77, 1, 2, 375572, 9553.27, 144, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 832,  8,  6,   77, 1, 2, 375834, 9553.27, 112, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 394,  8,  6,   77, 1, 2, 375583, 9553.27, 88, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 369,  6,  8,   77, 1, 2, 375734, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 633,  8,  6,   77, 1, 2, 375562, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 255,  5, 10,   77, 1, 2, 388985, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 876,  7,  7,   78, 1, 2, 382012, 9553.27, 32, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 165,  9,  5,   78, 1, 2, 355120, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 161,  6,  8,   78, 1, 2, 375600, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 931,  6,  8,   78, 1, 2, 375763, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 504,  8,  6,   78, 1, 2, 375681, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 564,  6,  8,   78, 1, 2, 375409, 9553.27, 1, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 250,  6,  8,   78, 1, 2, 375613, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 505,  6,  8,   78, 1, 2, 375646, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 932,  8,  6,   78, 1, 2, 375875, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 822,  6,  8,   78, 1, 2, 375837, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 313,  7,  7,   78, 1, 2, 381687, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 314,  7,  7,   78, 1, 2, 381808, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 148,  9,  5,   78, 1, 2, 355082, 9553.27, 211, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 147,  5,  9,   78, 1, 2, 355060, 9553.27, 62, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 938,  7,  7,   78, 1, 2, 381760, 9553.27, 71, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 456,  9,  5,   78, 1, 2, 355098, 9553.27, 16, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 319,  5,  9,   78, 1, 2, 355095, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 140,  4, 11,   78, 1, 2, 347182, 9553.27, 211, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 890,  8,  6,   78, 1, 2, 375607, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 192,  7,  7,   78, 1, 2, 381882, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 282,  6,  8,   78, 1, 2, 375682, 9553.27, 88, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 539,  5,  9,   78, 1, 2, 355086, 9553.27, 63, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 208,  8,  6,   78, 1, 2, 375482, 9553.27, 16, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 283,  5,  9,   78, 1, 2, 355015, 9553.27, 63, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 284,  9,  5,   78, 1, 2, 355051, 9553.27, 211, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 751,  6,  8,   78, 1, 2, 375859, 9553.27, 109, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 203,  8,  6,   78, 1, 2, 375414, 9553.27, 63, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 481,  5,  9,   78, 1, 2, 355029, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 287,  9,  5,   78, 1, 2, 355101, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 200,  5, 10,   78, 1, 2, 388787, 9553.27, 16, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 773,  8,  6,   78, 1, 2, 375735, 9553.27, 85, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 224,  5, 10,   78, 1, 2, 388706, 9553.27, 8, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 916,  7,  7,   78, 1, 2, 381686, 9553.27, 211, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 227,  7,  7,   78, 1, 2, 381941, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 167,  5,  9,   78, 1, 2, 354957, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 800,  7,  7,   78, 1, 2, 381798, 9553.27, 6, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 766,  7,  7,   78, 1, 2, 382032, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 879,  6,  8,   78, 1, 2, 375606, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 557,  5,  9,   78, 1, 2, 355059, 9553.27, 32, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 799,  8,  6,   78, 1, 2, 375576, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 559,  7,  7,   78, 1, 2, 381797, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 236,  9,  5,   78, 1, 2, 355104, 9553.27, 72, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 809,  7,  7,   78, 1, 2, 381964, 9553.27, 69, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 239,  8,  6,   78, 1, 2, 375759, 9553.27, 32, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 687,  5, 10,   78, 1, 2, 388890, 9553.27, 121, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 898,  6,  8,   78, 1, 2, 375584, 9553.27, 88, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 470,  6,  8,   78, 1, 2, 375585, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 511,  7,  7,   78, 1, 2, 381856, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 734,  6,  8,   78, 1, 2, 375707, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 690,  8,  6,   78, 1, 2, 375814, 9553.27, 105, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 729,  8,  6,   78, 1, 2, 375525, 9553.27, 100, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 635,  5, 10,   78, 1, 2, 389212, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 421,  5,  9,   78, 1, 2, 354965, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 424,  9,  5,   78, 1, 2, 354986, 9553.27, 32, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca,  54,  4, 12,   78, 1, 2, 375514, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 365,  8,  6,   78, 1, 2, 375611, 9553.27, 50, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca,  61,  8,  6,   78, 1, 2, 375723, 9553.27, 85, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 974,  9,  5,   78, 1, 2, 355079, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 627,  5, 10,   78, 1, 2, 388803, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca,  43,  5, 10,   78, 1, 2, 388933, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 622,  8,  6,   78, 1, 2, 375723, 9553.27, 48, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 356,  8,  6,   78, 1, 2, 375642, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 851,  6,  8,   78, 1, 2, 375942, 9553.27, 62, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 971,  7,  7,   78, 1, 2, 381978, 9553.27, 62, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca,  82,  7,  7,   78, 1, 2, 381847, 9553.27, 87, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca,  83,  9,  5,   78, 1, 2, 355076, 9553.27, 63, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 829,  5,  9,   78, 1, 2, 355091, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca,  85,  7,  7,   78, 1, 2, 382135, 9553.27, 85, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 436,  5, 10,   78, 1, 2, 388673, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca,  92,  5, 10,   78, 1, 2, 388882, 9553.27, 211, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 418,  5,  9,   78, 1, 2, 355010, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 401,  9,  5,   78, 1, 2, 355056, 9553.27, 90, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 408,  7,  7,   78, 1, 2, 381740, 9553.27, 120, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 669,  5, 10,   78, 1, 2, 389035, 9553.27, 85, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 410,  8,  6,   78, 1, 2, 375726, 9553.27, 88, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 665,  8,  6,   78, 1, 2, 375432, 9553.27, 100, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 661,  6,  8,   78, 1, 2, 375602, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca,  23,  7,  7,   78, 1, 2, 382144, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca,  24,  9,  5,   78, 1, 2, 355087, 9553.27, 192, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 416,  5, 10,   78, 1, 2, 388966, 9553.27, 11, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 382,  6,  8,   78, 1, 2, 375512, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 323,  9,  5,   78, 1, 2, 355103, 9553.27, 63, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 420,  9,  5,   78, 1, 2, 354948, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 843,  9,  5,   78, 1, 2, 354952, 9553.27, 62, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 990,  5, 10,   78, 1, 2, 389218, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 650,  5,  9,   78, 1, 2, 355106, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca,  33,  5, 10,   78, 1, 2, 389028, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca,  35,  7,  7,   78, 1, 2, 381856, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 726,  6,  8,   78, 1, 2, 375858, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca,  39,  5,  9,   78, 1, 2, 355100, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 377,  7,  7,   78, 1, 2, 381878, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 612,  7,  7,   78, 1, 2, 382008, 9553.27, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 120,  9,  5,   78, 1, 2, 355153, 9553.27, 0, 0.00, 1: 52; 2: 13; 
