Seed 1656949570
ARCH 2|F_ID 1|LIMIT 3
before: 
02(559)
Melhor resultado nxn: Treatment_of_Castration-Resistant_Prostate_Ca, 466,  7,  7,   79, 1, 2, 381568, 10202.19, 84, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 887,  8,  6,   82, 1, 2, 375604, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 782,  6,  8,   82, 1, 2, 375596, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 762,  7,  7,   82, 1, 2, 382079, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 839,  8,  6,   82, 1, 2, 375605, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 393,  6,  8,   82, 1, 2, 375594, 10202.19, 26, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 956,  5, 10,   82, 1, 2, 388573, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 758,  7,  7,   82, 1, 2, 382074, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 980,  7,  7,   82, 1, 2, 381032, 10202.19, 89, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 912,  8,  6,   82, 1, 2, 375625, 10202.19, 80, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 913,  7,  7,   82, 1, 2, 382224, 10202.19, 28, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 879,  6,  8,   82, 1, 2, 375540, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 342,  8,  6,   82, 1, 2, 375696, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 848,  8,  6,   82, 1, 2, 375492, 10202.19, 144, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 699,  6,  8,   82, 1, 2, 375448, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 533,  6,  8,   82, 1, 2, 375651, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca,  23,  7,  7,   82, 1, 2, 381903, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca,  19,  7,  7,   82, 1, 2, 381795, 10202.19, 116, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 863,  8,  6,   82, 1, 2, 375561, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 176,  6,  8,   82, 1, 2, 375210, 10202.19, 10, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 537,  6,  8,   82, 1, 2, 375784, 10202.19, 35, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 179,  6,  8,   82, 1, 2, 375529, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 770,  6,  8,   82, 1, 2, 375637, 10202.19, 84, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 186,  7,  7,   82, 1, 2, 382099, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 377,  7,  7,   82, 1, 2, 382078, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 820,  7,  7,   82, 1, 2, 381926, 10202.19, 7, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 297,  6,  8,   82, 1, 2, 375751, 10202.19, 65, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 291,  7,  7,   82, 1, 2, 382135, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 564,  6,  8,   82, 1, 2, 375597, 10202.19, 1, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 822,  6,  8,   82, 1, 2, 375824, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 212,  8,  6,   82, 1, 2, 375704, 10202.19, 89, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 643,  9,  5,   82, 1, 2, 355350, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 931,  6,  8,   82, 1, 2, 375586, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca,  62,  6,  8,   82, 1, 2, 375530, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 398,  7,  7,   82, 1, 2, 382311, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca,  82,  7,  7,   82, 1, 2, 381971, 10202.19, 83, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 314,  7,  7,   82, 1, 2, 382017, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca,  56,  7,  7,   82, 1, 2, 382014, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 682,  6,  8,   82, 1, 2, 375758, 10202.19, 68, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 637,  5,  9,   82, 1, 2, 355077, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 208,  8,  6,   82, 1, 2, 375626, 10202.19, 16, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 226,  5,  9,   83, 1, 2, 355070, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 452,  5, 10,   83, 1, 2, 388864, 10202.19, 89, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 190,  8,  6,   83, 1, 2, 375692, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 455,  5, 10,   83, 1, 2, 388913, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 187,  6,  8,   83, 1, 2, 375524, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 185,  7,  7,   83, 1, 2, 382022, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 748,  7,  7,   83, 1, 2, 382135, 10202.19, 117, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 188,  7,  7,   83, 1, 2, 381995, 10202.19, 89, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 983,  8,  6,   83, 1, 2, 375639, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 463,  7,  7,   83, 1, 2, 382226, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 976,  5, 10,   83, 1, 2, 389099, 10202.19, 64, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 743,  8,  6,   83, 1, 2, 375817, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 197,  8,  6,   83, 1, 2, 375681, 10202.19, 85, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 766,  7,  7,   83, 1, 2, 381990, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 203,  8,  6,   83, 1, 2, 375596, 10202.19, 116, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 448,  9,  5,   83, 1, 2, 354989, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 459,  7,  7,   83, 1, 2, 382211, 10202.19, 116, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 207,  7,  7,   83, 1, 2, 381803, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 449,  8,  6,   83, 1, 2, 375529, 10202.19, 27, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 353,  5,  9,   83, 1, 2, 354960, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 646,  6,  8,   83, 1, 2, 375366, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 680,  5, 10,   83, 1, 2, 388887, 10202.19, 32, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 954,  5, 10,   83, 1, 2, 388496, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 649,  5, 10,   83, 1, 2, 388737, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 652,  9,  5,   83, 1, 2, 355057, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 345,  5,  9,   83, 1, 2, 355053, 10202.19, 35, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 346,  7,  7,   83, 1, 2, 381922, 10202.19, 84, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 347,  8,  6,   83, 1, 2, 375698, 10202.19, 116, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 914,  6,  8,   83, 1, 2, 375678, 10202.19, 84, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 350,  5, 10,   83, 1, 2, 389052, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 317,  5,  9,   83, 1, 2, 355081, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 669,  5, 10,   83, 1, 2, 388921, 10202.19, 85, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 357,  8,  6,   83, 1, 2, 375832, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 666,  5, 10,   83, 1, 2, 389052, 10202.19, 84, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 656,  6,  8,   83, 1, 2, 375369, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 364,  8,  6,   83, 1, 2, 375772, 10202.19, 54, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 365,  8,  6,   83, 1, 2, 375583, 10202.19, 50, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 382,  6,  8,   83, 1, 2, 375696, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 658,  5, 10,   83, 1, 2, 388976, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 375,  7,  7,   83, 1, 2, 382047, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 705,  6,  8,   83, 1, 2, 375690, 10202.19, 27, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 617,  7,  7,   83, 1, 2, 382142, 10202.19, 66, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 971,  7,  7,   83, 1, 2, 382297, 10202.19, 115, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 618,  7,  7,   83, 1, 2, 381782, 10202.19, 75, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 245,  6,  8,   83, 1, 2, 375440, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 726,  6,  8,   83, 1, 2, 375736, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 721,  7,  7,   83, 1, 2, 381895, 10202.19, 27, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 267,  8,  6,   83, 1, 2, 375776, 10202.19, 116, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 268,  6,  8,   83, 1, 2, 375510, 10202.19, 89, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 269,  5, 10,   83, 1, 2, 389153, 10202.19, 85, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 270,  7,  7,   83, 1, 2, 382098, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 616,  5, 10,   83, 1, 2, 389008, 10202.19, 32, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 283,  5,  9,   83, 1, 2, 355025, 10202.19, 116, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 416,  5, 10,   83, 1, 2, 388590, 10202.19, 11, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 287,  9,  5,   83, 1, 2, 355009, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 700,  7,  7,   83, 1, 2, 382101, 10202.19, 1, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 410,  8,  6,   83, 1, 2, 375601, 10202.19, 84, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 695,  6,  8,   83, 1, 2, 375523, 10202.19, 0, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 404,  9,  5,   83, 1, 2, 355089, 10202.19, 89, 0.00, 1: 47; 2: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 690,  8,  6,   83, 1, 2, 376080, 10202.19, 105, 0.00, 1: 47; 2: 18; 
