Seed 1656949570
ARCH 0|F_ID 1|LIMIT 3
before: 
03(276)
Melhor resultado nxn: Treatment_of_Castration-Resistant_Prostate_Ca, 102,  7,  7,  102, 1, 3, 382042, 9216.06, 0, 0.00, 1: 35; 2: 23; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 849,  7,  7,  105, 1, 3, 381918, 9216.06, 70, 0.00, 1: 29; 2: 32; 3: 4; 
Treatment_of_Castration-Resistant_Prostate_Ca, 618,  7,  7,  105, 1, 3, 382081, 9216.06, 75, 0.00, 1: 31; 2: 28; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 214,  7,  7,  105, 1, 3, 381822, 9216.06, 0, 0.00, 1: 33; 2: 24; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 343,  7,  7,  105, 1, 3, 381971, 9216.06, 0, 0.00, 1: 33; 2: 24; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 710,  7,  7,  105, 1, 3, 382156, 9216.06, 0, 0.00, 1: 31; 2: 28; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 734,  6,  8,  106, 1, 3, 375659, 9216.06, 0, 0.00, 1: 31; 2: 27; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 695,  6,  8,  106, 1, 3, 375646, 9216.06, 0, 0.00, 1: 30; 2: 29; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 428,  7,  7,  106, 1, 3, 382050, 9216.06, 114, 0.00, 1: 33; 2: 23; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 163,  8,  6,  106, 1, 3, 375535, 9216.06, 0, 0.00, 1: 29; 2: 31; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 721,  7,  7,  106, 1, 3, 381897, 9216.06, 219, 0.00, 1: 31; 2: 27; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 720,  8,  6,  106, 1, 3, 375705, 9216.06, 144, 0.00, 1: 31; 2: 27; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 937,  8,  6,  106, 1, 3, 375656, 9216.06, 69, 0.00, 1: 33; 2: 23; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 700,  7,  7,  106, 1, 3, 381944, 9216.06, 1, 0.00, 1: 32; 2: 25; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 168,  7,  7,  106, 1, 3, 381877, 9216.06, 32, 0.00, 1: 31; 2: 27; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 567,  7,  7,  106, 1, 3, 382021, 9216.06, 0, 0.00, 1: 32; 2: 25; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 389,  6,  8,  106, 1, 3, 375503, 9216.06, 85, 0.00, 1: 32; 2: 25; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 854,  7,  7,  106, 1, 3, 381926, 9216.06, 0, 0.00, 1: 30; 2: 29; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca,   2,  8,  6,  106, 1, 3, 375533, 9216.06, 38, 0.00, 1: 30; 2: 29; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 901,  8,  6,  106, 1, 3, 375705, 9216.06, 85, 0.00, 1: 29; 2: 31; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 949,  7,  7,  106, 1, 3, 381872, 9216.06, 0, 0.00, 1: 30; 2: 29; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 463,  7,  7,  106, 1, 3, 381725, 9216.06, 0, 0.00, 1: 30; 2: 29; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 344,  8,  6,  106, 1, 3, 375674, 9216.06, 56, 0.00, 1: 30; 2: 29; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 521,  7,  7,  106, 1, 3, 382035, 9216.06, 0, 0.00, 1: 28; 2: 33; 3: 4; 
Treatment_of_Castration-Resistant_Prostate_Ca, 208,  8,  6,  106, 1, 3, 375650, 9216.06, 16, 0.00, 1: 32; 2: 25; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 612,  7,  7,  106, 1, 3, 381859, 9216.06, 0, 0.00, 1: 31; 2: 27; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 967,  8,  6,  106, 1, 3, 375602, 9216.06, 0, 0.00, 1: 32; 2: 25; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca,  32,  6,  8,  106, 1, 3, 375470, 9216.06, 3, 0.00, 1: 31; 2: 27; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 960,  6,  8,  106, 1, 3, 375523, 9216.06, 32, 0.00, 1: 32; 2: 25; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 150,  6,  8,  106, 1, 3, 375664, 9216.06, 0, 0.00, 1: 32; 2: 25; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 190,  8,  6,  106, 1, 3, 375687, 9216.06, 0, 0.00, 1: 31; 2: 27; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 152,  7,  7,  106, 1, 3, 381975, 9216.06, 120, 0.00, 1: 28; 2: 33; 3: 4; 
Treatment_of_Castration-Resistant_Prostate_Ca, 982,  7,  7,  107, 1, 3, 381815, 9216.06, 0, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 558,  8,  6,  107, 1, 3, 375775, 9216.06, 0, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 265,  7,  7,  107, 1, 3, 381665, 9216.06, 218, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 845,  6,  8,  107, 1, 3, 375685, 9216.06, 85, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 980,  7,  7,  107, 1, 3, 381720, 9216.06, 92, 0.00, 1: 30; 2: 28; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca,  99,  7,  7,  107, 1, 3, 382067, 9216.06, 0, 0.00, 1: 30; 2: 28; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 590,  8,  6,  107, 1, 3, 375660, 9216.06, 0, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 831,  7,  7,  107, 1, 3, 381855, 9216.06, 0, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca,  93,  6,  8,  107, 1, 3, 375755, 9216.06, 85, 0.00, 1: 34; 2: 20; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 153,  6,  8,  107, 1, 3, 375486, 9216.06, 226, 0.00, 1: 30; 2: 28; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 192,  7,  7,  107, 1, 3, 381920, 9216.06, 0, 0.00, 1: 30; 2: 28; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 227,  7,  7,  107, 1, 3, 382081, 9216.06, 0, 0.00, 1: 29; 2: 30; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 519,  6,  8,  107, 1, 3, 375608, 9216.06, 0, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 773,  8,  6,  107, 1, 3, 375661, 9216.06, 85, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 531,  7,  7,  107, 1, 3, 381995, 9216.06, 0, 0.00, 1: 29; 2: 30; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 931,  6,  8,  107, 1, 3, 375611, 9216.06, 0, 0.00, 1: 33; 2: 22; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 357,  8,  6,  107, 1, 3, 375643, 9216.06, 0, 0.00, 1: 32; 2: 24; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 460,  7,  7,  107, 1, 3, 382038, 9216.06, 92, 0.00, 1: 30; 2: 28; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 457,  6,  8,  107, 1, 3, 375660, 9216.06, 219, 0.00, 1: 28; 2: 32; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 186,  7,  7,  107, 1, 3, 381956, 9216.06, 0, 0.00, 1: 29; 2: 30; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 453,  6,  8,  107, 1, 3, 375739, 9216.06, 85, 0.00, 1: 32; 2: 24; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 181,  8,  6,  107, 1, 3, 375760, 9216.06, 0, 0.00, 1: 30; 2: 28; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 826,  7,  7,  107, 1, 3, 382014, 9216.06, 0, 0.00, 1: 30; 2: 28; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 989,  6,  8,  107, 1, 3, 375574, 9216.06, 85, 0.00, 1: 30; 2: 28; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 718,  8,  6,  107, 1, 3, 375543, 9216.06, 0, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 535,  7,  7,  108, 1, 3, 382125, 9216.06, 0, 0.00, 1: 29; 2: 29; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 726,  6,  8,  108, 1, 3, 375808, 9216.06, 0, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 237,  8,  6,  108, 1, 3, 375616, 9216.06, 83, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 108,  7,  7,  108, 1, 3, 382040, 9216.06, 32, 0.00, 1: 31; 2: 25; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 766,  7,  7,  108, 1, 3, 382055, 9216.06, 0, 0.00, 1: 29; 2: 29; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 662,  6,  8,  108, 1, 3, 375573, 9216.06, 0, 0.00, 1: 31; 2: 25; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 661,  6,  8,  108, 1, 3, 375654, 9216.06, 0, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 810,  6,  8,  108, 1, 3, 375615, 9216.06, 70, 0.00, 1: 31; 2: 25; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 206,  7,  7,  108, 1, 3, 382004, 9216.06, 0, 0.00, 1: 31; 2: 25; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 708,  6,  8,  108, 1, 3, 375624, 9216.06, 92, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 517,  7,  7,  108, 1, 3, 381972, 9216.06, 0, 0.00, 1: 28; 2: 31; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 809,  7,  7,  108, 1, 3, 382029, 9216.06, 69, 0.00, 1: 31; 2: 25; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 651,  5, 10,  108, 1, 3, 388944, 9216.06, 0, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 622,  8,  6,  108, 1, 3, 375662, 9216.06, 48, 0.00, 1: 31; 2: 25; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 269,  5, 10,  108, 1, 3, 388841, 9216.06, 85, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 888,  5,  9,  108, 1, 3, 355092, 9216.06, 0, 0.00, 1: 29; 2: 29; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 470,  6,  8,  108, 1, 3, 375794, 9216.06, 0, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 918,  6,  8,  108, 1, 3, 375661, 9216.06, 0, 0.00, 1: 27; 2: 33; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 727,  6,  8,  108, 1, 3, 375661, 9216.06, 0, 0.00, 1: 29; 2: 29; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 847,  6,  8,  108, 1, 3, 375597, 9216.06, 0, 0.00, 1: 32; 2: 23; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 367,  6,  8,  108, 1, 3, 375637, 9216.06, 52, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 291,  7,  7,  108, 1, 3, 381994, 9216.06, 0, 0.00, 1: 31; 2: 25; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 381,  8,  6,  108, 1, 3, 375681, 9216.06, 0, 0.00, 1: 29; 2: 29; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 598,  8,  6,  108, 1, 3, 375619, 9216.06, 0, 0.00, 1: 29; 2: 29; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca,  60,  8,  6,  108, 1, 3, 375739, 9216.06, 92, 0.00, 1: 28; 2: 31; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 840,  6,  8,  108, 1, 3, 375650, 9216.06, 144, 0.00, 1: 29; 2: 29; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 945,  8,  6,  108, 1, 3, 375619, 9216.06, 66, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 555,  8,  6,  109, 1, 3, 375646, 9216.06, 76, 0.00, 1: 31; 2: 24; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 270,  7,  7,  109, 1, 3, 382067, 9216.06, 0, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 586,  7,  7,  109, 1, 3, 381965, 9216.06, 36, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 137,  7,  7,  109, 1, 3, 381917, 9216.06, 52, 0.00, 1: 30; 2: 26; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 589,  6,  8,  109, 1, 3, 375680, 9216.06, 85, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 615,  6,  8,  109, 1, 3, 375629, 9216.06, 0, 0.00, 1: 30; 2: 26; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 239,  8,  6,  109, 1, 3, 375735, 9216.06, 32, 0.00, 1: 25; 2: 36; 3: 4; 
Treatment_of_Castration-Resistant_Prostate_Ca, 456,  9,  5,  109, 1, 3, 355083, 9216.06, 16, 0.00, 1: 30; 2: 26; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 185,  7,  7,  109, 1, 3, 381885, 9216.06, 0, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 907,  8,  6,  109, 1, 3, 375752, 9216.06, 98, 0.00, 1: 30; 2: 26; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 179,  6,  8,  109, 1, 3, 375696, 9216.06, 0, 0.00, 1: 27; 2: 32; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 434,  6,  8,  109, 1, 3, 375757, 9216.06, 32, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 876,  7,  7,  109, 1, 3, 382291, 9216.06, 32, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 579,  6,  8,  109, 1, 3, 375700, 9216.06, 98, 0.00, 1: 27; 2: 32; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 848,  8,  6,  109, 1, 3, 375642, 9216.06, 144, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 125,  5,  9,  109, 1, 3, 354980, 9216.06, 0, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 835,  9,  5,  109, 1, 3, 355006, 9216.06, 97, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 696,  5, 10,  109, 1, 3, 388638, 9216.06, 0, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 705,  6,  8,  109, 1, 3, 375685, 9216.06, 219, 0.00, 1: 31; 2: 24; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca,  70,  6,  8,  109, 1, 3, 375615, 9216.06, 0, 0.00, 1: 30; 2: 26; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca,  62,  6,  8,  109, 1, 3, 375564, 9216.06, 0, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca,  61,  8,  6,  109, 1, 3, 375666, 9216.06, 85, 0.00, 1: 27; 2: 32; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 932,  8,  6,  109, 1, 3, 375675, 9216.06, 0, 0.00, 1: 33; 2: 20; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 304,  8,  6,  109, 1, 3, 375732, 9216.06, 32, 0.00, 1: 31; 2: 24; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 388,  6,  8,  109, 1, 3, 375591, 9216.06, 92, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 748,  7,  7,  109, 1, 3, 381944, 9216.06, 117, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca,  98,  6,  8,  109, 1, 3, 375791, 9216.06, 0, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 751,  6,  8,  109, 1, 3, 375763, 9216.06, 109, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 109,  6,  8,  109, 1, 3, 375633, 9216.06, 0, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 916,  7,  7,  109, 1, 3, 382084, 9216.06, 92, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 797,  6,  8,  109, 1, 3, 375597, 9216.06, 85, 0.00, 1: 25; 2: 36; 3: 4; 
Treatment_of_Castration-Resistant_Prostate_Ca, 796,  7,  7,  109, 1, 3, 381926, 9216.06, 92, 0.00, 1: 30; 2: 26; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 875,  6,  8,  110, 1, 3, 375632, 9216.06, 70, 0.00, 1: 28; 2: 29; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 297,  6,  8,  110, 1, 3, 375613, 9216.06, 65, 0.00, 1: 29; 2: 27; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 292,  7,  7,  110, 1, 3, 382013, 9216.06, 0, 0.00, 1: 29; 2: 27; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 431,  7,  7,  110, 1, 3, 381911, 9216.06, 101, 0.00, 1: 28; 2: 29; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 489,  8,  6,  110, 1, 3, 375593, 9216.06, 66, 0.00, 1: 26; 2: 33; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 829,  5,  9,  110, 1, 3, 355023, 9216.06, 0, 0.00, 1: 31; 2: 23; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 795,  6,  8,  110, 1, 3, 375606, 9216.06, 98, 0.00, 1: 28; 2: 29; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 887,  8,  6,  110, 1, 3, 375589, 9216.06, 0, 0.00, 1: 28; 2: 29; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 731,  5,  9,  110, 1, 3, 355065, 9216.06, 98, 0.00, 1: 27; 2: 31; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 339,  6,  8,  110, 1, 3, 375785, 9216.06, 98, 0.00, 1: 30; 2: 25; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 996,  8,  6,  110, 1, 3, 375694, 9216.06, 0, 0.00, 1: 26; 2: 33; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 903,  8,  6,  110, 1, 3, 375565, 9216.06, 0, 0.00, 1: 29; 2: 27; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 353,  5,  9,  110, 1, 3, 355072, 9216.06, 0, 0.00, 1: 27; 2: 31; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca,  19,  7,  7,  110, 1, 3, 381861, 9216.06, 98, 0.00, 1: 29; 2: 27; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 355,  6,  8,  110, 1, 3, 375712, 9216.06, 0, 0.00, 1: 26; 2: 33; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 820,  7,  7,  110, 1, 3, 381936, 9216.06, 7, 0.00, 1: 28; 2: 29; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca,  40,  6,  8,  110, 1, 3, 375531, 9216.06, 32, 0.00, 1: 28; 2: 29; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 930,  9,  5,  110, 1, 3, 355073, 9216.06, 0, 0.00, 1: 28; 2: 29; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 538,  8,  6,  110, 1, 3, 375652, 9216.06, 36, 0.00, 1: 28; 2: 29; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 356,  8,  6,  110, 1, 3, 375647, 9216.06, 0, 0.00, 1: 29; 2: 27; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 814,  6,  8,  110, 1, 3, 375734, 9216.06, 0, 0.00, 1: 24; 2: 37; 3: 4; 
Treatment_of_Castration-Resistant_Prostate_Ca, 309,  9,  5,  110, 1, 3, 355070, 9216.06, 0, 0.00, 1: 28; 2: 29; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 910,  5,  9,  110, 1, 3, 355043, 9216.06, 0, 0.00, 1: 28; 2: 29; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 865,  5,  9,  110, 1, 3, 355027, 9216.06, 0, 0.00, 1: 30; 2: 25; 3: 10; 
