Seed 1656949570
ARCH 2|F_ID 1|LIMIT 3
before: 
62(348)
Melhor resultado nxn: Guard_Cell_Abscisic_Acid_Signaling, 710,  7,  7,  100, 1, 2, 383575, 11290.84, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 729,  8,  6,  100, 1, 2, 376639, 11290.84, 17, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 796,  7,  7,  100, 1, 2, 383644, 11290.84, 126, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling,  60,  8,  6,  100, 1, 2, 377108, 11290.84, 126, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 980,  7,  7,  100, 1, 2, 383566, 11290.84, 126, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 203,  8,  6,  100, 1, 2, 376925, 11290.84, 167, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 207,  7,  7,  100, 1, 2, 383980, 11290.84, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling,  99,  7,  7,  100, 1, 2, 383703, 11290.84, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 831,  7,  7,  100, 1, 2, 383792, 11290.84, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 245,  6,  8,  100, 1, 2, 376929, 11290.84, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 308,  8,  6,  100, 1, 2, 377007, 11290.84, 16, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 922,  7,  7,  100, 1, 2, 383571, 11290.84, 62, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 559,  7,  7,  101, 1, 2, 383712, 11290.84, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 592,  6,  8,  101, 1, 2, 377042, 11290.84, 32, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 748,  7,  7,  101, 1, 2, 383485, 11290.84, 77, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 822,  6,  8,  101, 1, 2, 377142, 11290.84, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 463,  7,  7,  101, 1, 2, 383815, 11290.84, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 644,  7,  7,  101, 1, 2, 383589, 11290.84, 126, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 131,  5, 10,  101, 1, 2, 391154, 11290.84, 167, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 460,  7,  7,  101, 1, 2, 383507, 11290.84, 126, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 125,  5,  9,  101, 1, 2, 355410, 11290.84, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 459,  7,  7,  101, 1, 2, 383422, 11290.84, 167, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 309,  9,  5,  101, 1, 2, 355410, 11290.84, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 564,  6,  8,  101, 1, 2, 376772, 11290.84, 255, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 386,  9,  5,  101, 1, 2, 355410, 11290.84, 62, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 114,  5, 10,  101, 1, 2, 390824, 11290.84, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 377,  7,  7,  101, 1, 2, 383660, 11290.84, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 457,  6,  8,  101, 1, 2, 377025, 11290.84, 8, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 533,  6,  8,  101, 1, 2, 377233, 11290.84, 85, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 598,  8,  6,  101, 1, 2, 376936, 11290.84, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 304,  8,  6,  101, 1, 2, 376641, 11290.84, 4, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 758,  7,  7,  101, 1, 2, 383740, 11290.84, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 676,  5, 10,  101, 1, 2, 390993, 11290.84, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 374,  9,  5,  101, 1, 2, 355410, 11290.84, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 862,  6,  8,  101, 1, 2, 377076, 11290.84, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 527,  9,  5,  101, 1, 2, 355410, 11290.84, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 834,  8,  6,  101, 1, 2, 376800, 11290.84, 62, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 623,  8,  6,  101, 1, 2, 376912, 11290.84, 80, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 485,  5, 10,  101, 1, 2, 390906, 11290.84, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 782,  6,  8,  101, 1, 2, 377159, 11290.84, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling,  48,  8,  6,  101, 1, 2, 376847, 11290.84, 32, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling,  22,  7,  7,  101, 1, 2, 383556, 11290.84, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling,  23,  7,  7,  101, 1, 2, 383406, 11290.84, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 182,  5,  9,  102, 1, 2, 355410, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 505,  6,  8,  102, 1, 2, 377100, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 286,  7,  7,  102, 1, 2, 383591, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 957,  7,  7,  102, 1, 2, 383515, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 751,  6,  8,  102, 1, 2, 376799, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 346,  7,  7,  102, 1, 2, 383725, 11290.84, 62, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 442,  4, 12,  102, 1, 2, 377002, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 553,  8,  6,  102, 1, 2, 377172, 11290.84, 67, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 252,  9,  5,  102, 1, 2, 355410, 11290.84, 254, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 539,  5,  9,  102, 1, 2, 355410, 11290.84, 167, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 786,  7,  7,  102, 1, 2, 383610, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 711,  8,  6,  102, 1, 2, 376966, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  19,  7,  7,  102, 1, 2, 383661, 11290.84, 167, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 111,  5,  9,  102, 1, 2, 355410, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 158,  5, 10,  102, 1, 2, 390319, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 720,  8,  6,  102, 1, 2, 377150, 11290.84, 208, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 236,  9,  5,  102, 1, 2, 355410, 11290.84, 82, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 697,  5,  9,  102, 1, 2, 355410, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 949,  7,  7,  102, 1, 2, 383309, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 818,  5,  9,  102, 1, 2, 355410, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 242,  8,  6,  102, 1, 2, 377182, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 567,  7,  7,  102, 1, 2, 383561, 11290.84, 255, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 313,  7,  7,  102, 1, 2, 383700, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 863,  8,  6,  102, 1, 2, 376840, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 126,  7,  7,  102, 1, 2, 383721, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 545,  7,  7,  102, 1, 2, 383537, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 606,  5, 10,  102, 1, 2, 390924, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 544,  5,  9,  102, 1, 2, 355410, 11290.84, 5, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 756,  5,  9,  102, 1, 2, 355410, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 733,  5, 10,  102, 1, 2, 390908, 11290.84, 85, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 901,  8,  6,  102, 1, 2, 376975, 11290.84, 85, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 684,  7,  7,  102, 1, 2, 383784, 11290.84, 95, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  46,  5, 10,  102, 1, 2, 390818, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 201,  8,  6,  102, 1, 2, 377051, 11290.84, 7, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 466,  7,  7,  102, 1, 2, 383677, 11290.84, 62, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 268,  6,  8,  102, 1, 2, 377104, 11290.84, 126, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 685,  8,  6,  102, 1, 2, 376963, 11290.84, 99, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 744,  6,  8,  102, 1, 2, 376847, 11290.84, 32, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  58,  5, 10,  102, 1, 2, 390791, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 557,  5,  9,  102, 1, 2, 355410, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 914,  6,  8,  102, 1, 2, 376972, 11290.84, 156, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 915,  7,  7,  102, 1, 2, 383583, 11290.84, 166, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 937,  8,  6,  102, 1, 2, 376886, 11290.84, 69, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 211,  9,  5,  102, 1, 2, 355410, 11290.84, 167, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 399,  8,  6,  102, 1, 2, 377037, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 452,  5, 10,  102, 1, 2, 391087, 11290.84, 126, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 155,  8,  6,  102, 1, 2, 377079, 11290.84, 167, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  82,  7,  7,  102, 1, 2, 383745, 11290.84, 61, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 973,  5,  9,  102, 1, 2, 355410, 11290.84, 85, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,   3,  9,  5,  102, 1, 2, 355410, 11290.84, 51, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 314,  7,  7,  102, 1, 2, 383602, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 367,  6,  8,  102, 1, 2, 376907, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 903,  8,  6,  102, 1, 2, 376819, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 967,  8,  6,  102, 1, 2, 376959, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 918,  6,  8,  102, 1, 2, 376977, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 966,  5, 10,  102, 1, 2, 390790, 11290.84, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 713,  5, 10,  102, 1, 2, 390829, 11290.84, 10, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 318,  9,  5,  103, 1, 2, 355410, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 317,  5,  9,  103, 1, 2, 355410, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 237,  8,  6,  103, 1, 2, 377020, 11290.84, 99, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 892,  9,  5,  103, 1, 2, 355410, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 400,  9,  5,  103, 1, 2, 355410, 11290.84, 96, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 563,  4, 11,  103, 1, 2, 347182, 11290.84, 255, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 712,  7,  7,  103, 1, 2, 383729, 11290.84, 208, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 396,  5, 10,  103, 1, 2, 390844, 11290.84, 126, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 365,  8,  6,  103, 1, 2, 376980, 11290.84, 110, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 359,  7,  7,  103, 1, 2, 383548, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 198,  7,  7,  103, 1, 2, 383655, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 912,  8,  6,  103, 1, 2, 377061, 11290.84, 112, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 361,  6,  8,  103, 1, 2, 376865, 11290.84, 65, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 210,  4, 11,  103, 1, 2, 347182, 11290.84, 62, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 326,  6,  8,  103, 1, 2, 377026, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 589,  6,  8,  103, 1, 2, 377070, 11290.84, 85, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 624,  9,  5,  103, 1, 2, 355410, 11290.84, 97, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 632,  9,  5,  103, 1, 2, 355410, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 188,  7,  7,  103, 1, 2, 383809, 11290.84, 126, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 911,  9,  5,  103, 1, 2, 355410, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 849,  7,  7,  103, 1, 2, 383636, 11290.84, 9, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 251,  5,  9,  103, 1, 2, 355410, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 369,  6,  8,  103, 1, 2, 377020, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 568,  6,  8,  103, 1, 2, 376924, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 635,  5, 10,  103, 1, 2, 390993, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 726,  6,  8,  103, 1, 2, 377064, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 176,  6,  8,  103, 1, 2, 376939, 11290.84, 10, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 345,  5,  9,  103, 1, 2, 355410, 11290.84, 16, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 330,  9,  5,  103, 1, 2, 355410, 11290.84, 62, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 231,  5, 10,  103, 1, 2, 390579, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 842,  9,  5,  103, 1, 2, 355410, 11290.84, 62, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 389,  6,  8,  103, 1, 2, 376853, 11290.84, 85, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 444,  8,  6,  103, 1, 2, 377082, 11290.84, 2, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 994,  8,  6,  103, 1, 2, 377164, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 603,  4, 12,  103, 1, 2, 377150, 11290.84, 167, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling,  62,  6,  8,  103, 1, 2, 376990, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 113,  5, 10,  103, 1, 2, 390757, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 112,  8,  6,  103, 1, 2, 376792, 11290.84, 28, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 431,  7,  7,  103, 1, 2, 383381, 11290.84, 77, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 671,  5,  9,  103, 1, 2, 355410, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 439,  9,  5,  103, 1, 2, 355410, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 955,  9,  5,  103, 1, 2, 355410, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling,  98,  6,  8,  103, 1, 2, 376920, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling,  28,  6,  8,  103, 1, 2, 376756, 11290.84, 126, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 291,  7,  7,  103, 1, 2, 383637, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling,  63,  5,  9,  103, 1, 2, 355410, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 735,  9,  5,  103, 1, 2, 355410, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 958,  7,  7,  103, 1, 2, 383746, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling,  78,  5, 10,  103, 1, 2, 390618, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 267,  8,  6,  103, 1, 2, 377140, 11290.84, 167, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 978,  5,  9,  103, 1, 2, 355410, 11290.84, 62, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 680,  5, 10,  103, 1, 2, 390947, 11290.84, 32, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 986,  8,  6,  103, 1, 2, 377073, 11290.84, 62, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 461,  9,  5,  103, 1, 2, 355410, 11290.84, 85, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 824,  5, 10,  103, 1, 2, 391021, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 303,  5, 10,  103, 1, 2, 390987, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 982,  7,  7,  103, 1, 2, 383938, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 555,  8,  6,  103, 1, 2, 377031, 11290.84, 83, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling,   9,  9,  5,  103, 1, 2, 355410, 11290.84, 2, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 656,  6,  8,  103, 1, 2, 377086, 11290.84, 48, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 136,  9,  5,  103, 1, 2, 355410, 11290.84, 128, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 498,  6,  8,  103, 1, 2, 377147, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling,  61,  8,  6,  103, 1, 2, 377092, 11290.84, 85, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling,  59,  5, 10,  103, 1, 2, 390844, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 428,  7,  7,  103, 1, 2, 383632, 11290.84, 111, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 665,  8,  6,  103, 1, 2, 376958, 11290.84, 17, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 772,  5, 10,  103, 1, 2, 390478, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 488,  8,  6,  103, 1, 2, 377058, 11290.84, 32, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling,  20,  5,  9,  103, 1, 2, 355410, 11290.84, 126, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 693,  5,  9,  103, 1, 2, 355410, 11290.84, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling,  43,  5, 10,  104, 1, 2, 391153, 11290.84, 65, 0.00, 1: 52; 2: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 731,  5,  9,  104, 1, 2, 355410, 11290.84, 167, 0.00, 1: 52; 2: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 845,  6,  8,  104, 1, 2, 376941, 11290.84, 85, 0.00, 1: 52; 2: 26; 
Guard_Cell_Abscisic_Acid_Signaling,  40,  6,  8,  104, 1, 2, 376964, 11290.84, 32, 0.00, 1: 52; 2: 26; 
