Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
2(182)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network, 871,  7,  9,  137, 1, 2, 492709, 44429.70, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 686,  7,  9,  145, 1, 2, 492891, 44429.70, 115, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network, 832,  7,  8,  145, 1, 2, 443520, 44429.70, 16, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network, 802,  8,  7,  145, 1, 2, 443520, 44429.70, 0, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network,  54,  7,  9,  145, 1, 2, 492649, 44429.70, 0, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network, 356,  7,  9,  145, 1, 2, 493060, 44429.70, 0, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network, 411,  7,  9,  145, 1, 2, 492898, 44429.70, 99, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network, 820,  7,  8,  145, 1, 2, 443520, 44429.70, 0, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network, 152,  6, 10,  145, 1, 2, 473640, 44429.70, 104, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network, 128,  6, 10,  145, 1, 2, 473432, 44429.70, 64, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network, 890,  5, 13,  145, 1, 2, 504555, 44429.70, 0, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network, 849,  7,  9,  145, 1, 2, 492513, 44429.70, 24, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network, 129, 10,  6,  145, 1, 2, 473479, 44429.70, 20, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network, 737,  7,  9,  145, 1, 2, 492926, 44429.70, 0, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network, 256,  6, 10,  145, 1, 2, 473488, 44429.70, 0, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network, 545,  7,  9,  145, 1, 2, 492863, 44429.70, 0, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network, 165,  6, 10,  145, 1, 2, 473507, 44429.70, 0, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network, 320,  7,  9,  145, 1, 2, 492979, 44429.70, 0, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network, 639, 10,  6,  145, 1, 2, 473488, 44429.70, 0, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network, 816,  6, 10,  146, 1, 2, 473532, 44429.70, 0, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 663,  7,  8,  146, 1, 2, 443520, 44429.70, 0, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 986, 10,  6,  146, 1, 2, 473451, 44429.70, 150, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 228,  7,  9,  146, 1, 2, 492758, 44429.70, 0, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 486, 10,  6,  146, 1, 2, 473322, 44429.70, 0, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 645,  7,  9,  146, 1, 2, 492570, 44429.70, 86, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 117, 10,  6,  146, 1, 2, 473462, 44429.70, 0, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 779,  7,  8,  146, 1, 2, 443520, 44429.70, 98, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 728,  7,  9,  146, 1, 2, 492749, 44429.70, 168, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 776,  7,  9,  146, 1, 2, 492456, 44429.70, 32, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 771,  7,  9,  146, 1, 2, 492675, 44429.70, 98, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 375,  6, 10,  146, 1, 2, 473511, 44429.70, 0, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 617,  8,  7,  146, 1, 2, 443520, 44429.70, 69, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 836,  7,  8,  146, 1, 2, 443520, 44429.70, 4, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 997,  7,  9,  146, 1, 2, 492705, 44429.70, 0, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 699,  6, 10,  146, 1, 2, 473475, 44429.70, 0, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 659, 10,  6,  146, 1, 2, 473350, 44429.70, 99, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network,  46,  7,  9,  146, 1, 2, 492833, 44429.70, 0, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 321,  6, 10,  146, 1, 2, 473173, 44429.70, 245, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 430,  7,  9,  146, 1, 2, 493150, 44429.70, 0, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 309,  6, 10,  146, 1, 2, 473434, 44429.70, 0, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 654,  7,  8,  146, 1, 2, 443520, 44429.70, 0, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 404,  5, 13,  146, 1, 2, 504549, 44429.70, 4, 0.00, 1: 60; 2: 43; 
MAPK_Cancer_Cell_Fate_Network, 201,  8,  7,  147, 1, 2, 443520, 44429.70, 20, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network, 539,  8,  7,  147, 1, 2, 443520, 44429.70, 99, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network,  94,  8,  7,  147, 1, 2, 443520, 44429.70, 0, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network, 842,  7,  8,  147, 1, 2, 443520, 44429.70, 150, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network, 442,  8,  7,  147, 1, 2, 443520, 44429.70, 0, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network, 433,  7,  9,  147, 1, 2, 492474, 44429.70, 0, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network, 527, 10,  6,  147, 1, 2, 473490, 44429.70, 0, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network, 121,  7,  8,  147, 1, 2, 443520, 44429.70, 0, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network,  50,  8,  7,  147, 1, 2, 443520, 44429.70, 0, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network, 366, 10,  6,  147, 1, 2, 473555, 44429.70, 0, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network, 302,  7,  9,  147, 1, 2, 492809, 44429.70, 111, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network, 562,  7,  8,  147, 1, 2, 443520, 44429.70, 0, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network, 177,  7,  8,  147, 1, 2, 443520, 44429.70, 255, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network,  93,  8,  7,  147, 1, 2, 443520, 44429.70, 86, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network, 925, 10,  6,  147, 1, 2, 473374, 44429.70, 86, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network, 188,  5, 13,  147, 1, 2, 505131, 44429.70, 144, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network, 299,  8,  7,  147, 1, 2, 443520, 44429.70, 111, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network, 795, 10,  6,  147, 1, 2, 473263, 44429.70, 99, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network, 958,  5, 12,  147, 1, 2, 473392, 44429.70, 0, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network, 515,  7,  9,  147, 1, 2, 492266, 44429.70, 0, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network, 524,  7,  8,  147, 1, 2, 443520, 44429.70, 0, 0.00, 1: 59; 2: 44; 
MAPK_Cancer_Cell_Fate_Network, 985,  5, 13,  148, 1, 2, 504265, 44429.70, 175, 0.00, 1: 58; 2: 45; 
MAPK_Cancer_Cell_Fate_Network, 566, 10,  6,  148, 1, 2, 473503, 44429.70, 0, 0.00, 1: 58; 2: 45; 
MAPK_Cancer_Cell_Fate_Network, 350,  7,  9,  148, 1, 2, 492667, 44429.70, 0, 0.00, 1: 58; 2: 45; 
MAPK_Cancer_Cell_Fate_Network, 722,  6, 10,  148, 1, 2, 473252, 44429.70, 150, 0.00, 1: 58; 2: 45; 
MAPK_Cancer_Cell_Fate_Network, 866,  8,  7,  148, 1, 2, 443520, 44429.70, 0, 0.00, 1: 58; 2: 45; 
MAPK_Cancer_Cell_Fate_Network, 707, 10,  6,  148, 1, 2, 473445, 44429.70, 99, 0.00, 1: 58; 2: 45; 
MAPK_Cancer_Cell_Fate_Network,  55,  8,  7,  148, 1, 2, 443520, 44429.70, 0, 0.00, 1: 58; 2: 45; 
MAPK_Cancer_Cell_Fate_Network, 974, 10,  6,  148, 1, 2, 473305, 44429.70, 0, 0.00, 1: 58; 2: 45; 
MAPK_Cancer_Cell_Fate_Network, 233,  8,  7,  148, 1, 2, 443520, 44429.70, 65, 0.00, 1: 58; 2: 45; 
MAPK_Cancer_Cell_Fate_Network, 823,  7,  8,  148, 1, 2, 443520, 44429.70, 0, 0.00, 1: 58; 2: 45; 
MAPK_Cancer_Cell_Fate_Network, 827, 10,  6,  148, 1, 2, 473401, 44429.70, 0, 0.00, 1: 58; 2: 45; 
MAPK_Cancer_Cell_Fate_Network, 808,  6, 10,  148, 1, 2, 473342, 44429.70, 32, 0.00, 1: 58; 2: 45; 
MAPK_Cancer_Cell_Fate_Network, 957,  6, 10,  148, 1, 2, 473640, 44429.70, 0, 0.00, 1: 58; 2: 45; 
MAPK_Cancer_Cell_Fate_Network, 844,  5, 13,  148, 1, 2, 504260, 44429.70, 4, 0.00, 1: 58; 2: 45; 
MAPK_Cancer_Cell_Fate_Network, 905,  7,  8,  148, 1, 2, 443520, 44429.70, 165, 0.00, 1: 58; 2: 45; 
MAPK_Cancer_Cell_Fate_Network, 169,  7,  8,  148, 1, 2, 443520, 44429.70, 65, 0.00, 1: 58; 2: 45; 
MAPK_Cancer_Cell_Fate_Network, 124,  7,  9,  148, 1, 2, 492672, 44429.70, 32, 0.00, 1: 58; 2: 45; 
MAPK_Cancer_Cell_Fate_Network, 533,  6, 10,  148, 1, 2, 473663, 44429.70, 0, 0.00, 1: 58; 2: 45; 
MAPK_Cancer_Cell_Fate_Network, 649,  5, 11,  148, 1, 2, 435105, 44429.70, 163, 0.00, 1: 58; 2: 45; 
MAPK_Cancer_Cell_Fate_Network, 993, 10,  6,  149, 1, 2, 473276, 44429.70, 0, 0.00, 1: 57; 2: 46; 
MAPK_Cancer_Cell_Fate_Network, 183,  5, 12,  149, 1, 2, 473430, 44429.70, 255, 0.00, 1: 57; 2: 46; 
MAPK_Cancer_Cell_Fate_Network, 705,  8,  7,  149, 1, 2, 443520, 44429.70, 163, 0.00, 1: 57; 2: 46; 
MAPK_Cancer_Cell_Fate_Network, 961,  6, 10,  149, 1, 2, 473488, 44429.70, 165, 0.00, 1: 57; 2: 46; 
MAPK_Cancer_Cell_Fate_Network, 777,  7,  8,  149, 1, 2, 443520, 44429.70, 93, 0.00, 1: 57; 2: 46; 
MAPK_Cancer_Cell_Fate_Network, 784,  5, 13,  149, 1, 2, 504655, 44429.70, 32, 0.00, 1: 57; 2: 46; 
MAPK_Cancer_Cell_Fate_Network, 112,  7,  9,  149, 1, 2, 492260, 44429.70, 28, 0.00, 1: 57; 2: 46; 
MAPK_Cancer_Cell_Fate_Network, 812,  6, 10,  149, 1, 2, 473646, 44429.70, 32, 0.00, 1: 57; 2: 46; 
MAPK_Cancer_Cell_Fate_Network,  24, 10,  6,  149, 1, 2, 473624, 44429.70, 176, 0.00, 1: 57; 2: 46; 
MAPK_Cancer_Cell_Fate_Network, 941,  6, 10,  149, 1, 2, 473220, 44429.70, 0, 0.00, 1: 57; 2: 46; 
MAPK_Cancer_Cell_Fate_Network, 337, 10,  6,  149, 1, 2, 473586, 44429.70, 245, 0.00, 1: 57; 2: 46; 
MAPK_Cancer_Cell_Fate_Network, 171,  5, 11,  149, 1, 2, 435105, 44429.70, 70, 0.00, 1: 57; 2: 46; 
MAPK_Cancer_Cell_Fate_Network, 662,  7,  8,  149, 1, 2, 443520, 44429.70, 0, 0.00, 1: 57; 2: 46; 
MAPK_Cancer_Cell_Fate_Network,  41,  5, 13,  149, 1, 2, 504542, 44429.70, 65, 0.00, 1: 57; 2: 46; 
MAPK_Cancer_Cell_Fate_Network,  64,  6, 10,  149, 1, 2, 473630, 44429.70, 0, 0.00, 1: 57; 2: 46; 
MAPK_Cancer_Cell_Fate_Network, 674,  5, 11,  150, 1, 2, 435105, 44429.70, 0, 0.00, 1: 56; 2: 47; 
MAPK_Cancer_Cell_Fate_Network, 625,  7,  8,  150, 1, 2, 443520, 44429.70, 255, 0.00, 1: 56; 2: 47; 
MAPK_Cancer_Cell_Fate_Network, 361,  7,  8,  150, 1, 2, 443520, 44429.70, 66, 0.00, 1: 56; 2: 47; 
MAPK_Cancer_Cell_Fate_Network, 598,  7,  8,  150, 1, 2, 443520, 44429.70, 0, 0.00, 1: 56; 2: 47; 
MAPK_Cancer_Cell_Fate_Network, 988,  7,  8,  150, 1, 2, 443520, 44429.70, 4, 0.00, 1: 56; 2: 47; 
MAPK_Cancer_Cell_Fate_Network, 557,  5, 11,  150, 1, 2, 435105, 44429.70, 49, 0.00, 1: 56; 2: 47; 
MAPK_Cancer_Cell_Fate_Network, 551,  7,  8,  150, 1, 2, 443520, 44429.70, 0, 0.00, 1: 56; 2: 47; 
MAPK_Cancer_Cell_Fate_Network,  19,  5, 12,  150, 1, 2, 473321, 44429.70, 99, 0.00, 1: 56; 2: 47; 
MAPK_Cancer_Cell_Fate_Network, 270,  7,  8,  150, 1, 2, 443520, 44429.70, 0, 0.00, 1: 56; 2: 47; 
MAPK_Cancer_Cell_Fate_Network, 793,  7,  8,  150, 1, 2, 443520, 44429.70, 174, 0.00, 1: 56; 2: 47; 
MAPK_Cancer_Cell_Fate_Network, 376,  8,  7,  150, 1, 2, 443520, 44429.70, 0, 0.00, 1: 56; 2: 47; 
MAPK_Cancer_Cell_Fate_Network, 347,  8,  7,  150, 1, 2, 443520, 44429.70, 99, 0.00, 1: 56; 2: 47; 
MAPK_Cancer_Cell_Fate_Network,  76,  7,  8,  150, 1, 2, 443520, 44429.70, 4, 0.00, 1: 56; 2: 47; 
MAPK_Cancer_Cell_Fate_Network,  35,  8,  7,  150, 1, 2, 443520, 44429.70, 0, 0.00, 1: 56; 2: 47; 
MAPK_Cancer_Cell_Fate_Network, 291,  5, 11,  151, 1, 2, 435105, 44429.70, 0, 0.00, 1: 55; 2: 48; 
MAPK_Cancer_Cell_Fate_Network, 198,  5, 11,  151, 1, 2, 435105, 44429.70, 0, 0.00, 1: 55; 2: 48; 
MAPK_Cancer_Cell_Fate_Network, 711,  6, 10,  152, 1, 2, 473460, 44429.70, 0, 0.00, 1: 54; 2: 49; 
MAPK_Cancer_Cell_Fate_Network, 448,  6, 10,  152, 1, 2, 473285, 44429.70, 160, 0.00, 1: 54; 2: 49; 
MAPK_Cancer_Cell_Fate_Network, 202, 10,  6,  152, 1, 2, 473414, 44429.70, 195, 0.00, 1: 54; 2: 49; 
MAPK_Cancer_Cell_Fate_Network,  42,  5, 13,  153, 1, 2, 504744, 44429.70, 75, 0.00, 1: 53; 2: 50; 
MAPK_Cancer_Cell_Fate_Network, 278,  5, 12,  153, 1, 2, 473689, 44429.70, 0, 0.00, 1: 53; 2: 50; 
MAPK_Cancer_Cell_Fate_Network, 582,  5, 13,  153, 1, 2, 504485, 44429.70, 0, 0.00, 1: 53; 2: 50; 
MAPK_Cancer_Cell_Fate_Network, 856,  5, 11,  156, 1, 2, 435105, 44429.70, 40, 0.00, 1: 50; 2: 53; 
MAPK_Cancer_Cell_Fate_Network,  53,  8,  7,  137, 1, 3, 443520, 44429.70, 0, 0.00, 1: 70; 2: 32; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 782,  7,  8,  137, 1, 3, 443520, 44429.70, 0, 0.00, 1: 70; 2: 32; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 619,  7,  9,  139, 1, 3, 492555, 44429.70, 70, 0.00, 1: 68; 2: 34; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 688,  7,  9,  139, 1, 3, 493130, 44429.70, 105, 0.00, 1: 68; 2: 34; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 936, 10,  6,  139, 1, 3, 473561, 44429.70, 30, 0.00, 1: 68; 2: 34; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 675,  7,  9,  140, 1, 3, 493068, 44429.70, 0, 0.00, 1: 67; 2: 35; 3: 1; 
MAPK_Cancer_Cell_Fate_Network,  73,  7,  9,  140, 1, 3, 492531, 44429.70, 98, 0.00, 1: 68; 2: 33; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 586,  8,  7,  140, 1, 3, 443520, 44429.70, 194, 0.00, 1: 67; 2: 35; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 903,  7,  9,  140, 1, 3, 492972, 44429.70, 0, 0.00, 1: 68; 2: 33; 3: 2; 
MAPK_Cancer_Cell_Fate_Network,  72,  7,  9,  141, 1, 3, 492816, 44429.70, 16, 0.00, 1: 66; 2: 36; 3: 1; 
