Seed 1656949570
ARCH 0|F_ID 1|LIMIT 3
before: 
3(298)
Melhor resultado nxn: Differentiation_of_T_lymphocytes, 876,  7,  8,  130, 0, 3, 439272, 9033.49, 50, 0.00, 0: 8; 1: 53; 2: 31; 3: 5; 
Differentiation_of_T_lymphocytes, 782,  7,  8,  135, 0, 3, 439131, 9033.49, 0, 0.00, 0: 8; 1: 51; 2: 30; 3: 8; 
Differentiation_of_T_lymphocytes, 596,  8,  7,  135, 0, 3, 439110, 9033.49, 86, 0.00, 0: 8; 1: 49; 2: 34; 3: 6; 
Differentiation_of_T_lymphocytes, 771,  6,  9,  135, 0, 3, 426064, 9033.49, 196, 0.00, 0: 8; 1: 49; 2: 34; 3: 6; 
Differentiation_of_T_lymphocytes, 526,  8,  7,  135, 0, 3, 439283, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 38; 3: 4; 
Differentiation_of_T_lymphocytes, 538,  8,  7,  135, 0, 3, 439242, 9033.49, 15, 0.00, 0: 8; 1: 50; 2: 32; 3: 7; 
Differentiation_of_T_lymphocytes, 241,  6,  9,  135, 0, 3, 426118, 9033.49, 0, 0.00, 0: 8; 1: 49; 2: 34; 3: 6; 
Differentiation_of_T_lymphocytes, 751,  8,  7,  135, 0, 3, 439282, 9033.49, 0, 0.00, 0: 8; 1: 51; 2: 30; 3: 8; 
Differentiation_of_T_lymphocytes, 774,  8,  7,  136, 0, 3, 439221, 9033.49, 0, 0.00, 0: 8; 1: 44; 2: 43; 3: 2; 
Differentiation_of_T_lymphocytes, 931,  7,  8,  136, 0, 3, 438900, 9033.49, 0, 0.00, 0: 8; 1: 49; 2: 33; 3: 7; 
Differentiation_of_T_lymphocytes, 569,  7,  8,  136, 0, 3, 439186, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 35; 3: 6; 
Differentiation_of_T_lymphocytes, 842,  7,  8,  136, 0, 3, 439231, 9033.49, 15, 0.00, 0: 8; 1: 49; 2: 33; 3: 7; 
Differentiation_of_T_lymphocytes, 403,  8,  7,  136, 0, 3, 439270, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 35; 3: 6; 
Differentiation_of_T_lymphocytes, 894,  7,  8,  136, 0, 3, 439202, 9033.49, 255, 0.00, 0: 8; 1: 50; 2: 31; 3: 8; 
Differentiation_of_T_lymphocytes, 891,  9,  6,  136, 0, 3, 426059, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 35; 3: 6; 
Differentiation_of_T_lymphocytes, 776,  6,  9,  136, 0, 3, 425978, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 35; 3: 6; 
Differentiation_of_T_lymphocytes, 810,  9,  6,  136, 0, 3, 426023, 9033.49, 76, 0.00, 0: 8; 1: 48; 2: 35; 3: 6; 
Differentiation_of_T_lymphocytes, 686,  6,  9,  136, 0, 3, 426048, 9033.49, 32, 0.00, 0: 8; 1: 48; 2: 35; 3: 6; 
Differentiation_of_T_lymphocytes, 603,  9,  6,  136, 0, 3, 426039, 9033.49, 196, 0.00, 0: 8; 1: 49; 2: 33; 3: 7; 
Differentiation_of_T_lymphocytes,  36,  7,  8,  136, 0, 3, 439274, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 35; 3: 6; 
Differentiation_of_T_lymphocytes, 826,  9,  6,  136, 0, 3, 425947, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 37; 3: 5; 
Differentiation_of_T_lymphocytes, 825,  7,  8,  136, 0, 3, 439078, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 37; 3: 5; 
Differentiation_of_T_lymphocytes, 792,  7,  8,  137, 0, 3, 439276, 9033.49, 24, 0.00, 0: 8; 1: 49; 2: 32; 3: 8; 
Differentiation_of_T_lymphocytes, 107,  8,  7,  137, 0, 3, 439159, 9033.49, 56, 0.00, 0: 8; 1: 52; 2: 26; 3: 11; 
Differentiation_of_T_lymphocytes, 266,  7,  8,  137, 0, 3, 439285, 9033.49, 72, 0.00, 0: 8; 1: 48; 2: 34; 3: 7; 
Differentiation_of_T_lymphocytes, 716,  7,  8,  137, 0, 3, 439265, 9033.49, 86, 0.00, 0: 8; 1: 46; 2: 38; 3: 5; 
Differentiation_of_T_lymphocytes, 691,  9,  6,  137, 0, 3, 425976, 9033.49, 0, 0.00, 0: 8; 1: 49; 2: 32; 3: 8; 
Differentiation_of_T_lymphocytes, 744,  9,  6,  137, 0, 3, 426058, 9033.49, 32, 0.00, 0: 8; 1: 46; 2: 38; 3: 5; 
Differentiation_of_T_lymphocytes, 500,  8,  7,  137, 0, 3, 439267, 9033.49, 36, 0.00, 0: 8; 1: 49; 2: 32; 3: 8; 
Differentiation_of_T_lymphocytes, 298,  6,  9,  137, 0, 3, 425992, 9033.49, 111, 0.00, 0: 8; 1: 51; 2: 28; 3: 10; 
Differentiation_of_T_lymphocytes, 758,  8,  7,  137, 0, 3, 439276, 9033.49, 0, 0.00, 0: 8; 1: 49; 2: 32; 3: 8; 
Differentiation_of_T_lymphocytes, 707,  9,  6,  137, 0, 3, 426053, 9033.49, 196, 0.00, 0: 8; 1: 48; 2: 34; 3: 7; 
Differentiation_of_T_lymphocytes, 984,  8,  7,  137, 0, 3, 439177, 9033.49, 216, 0.00, 0: 8; 1: 48; 2: 34; 3: 7; 
Differentiation_of_T_lymphocytes, 328,  8,  7,  137, 0, 3, 439078, 9033.49, 32, 0.00, 0: 8; 1: 47; 2: 36; 3: 6; 
Differentiation_of_T_lymphocytes, 832,  7,  8,  137, 0, 3, 439118, 9033.49, 48, 0.00, 0: 8; 1: 47; 2: 36; 3: 6; 
Differentiation_of_T_lymphocytes, 916,  8,  7,  137, 0, 3, 439352, 9033.49, 86, 0.00, 0: 8; 1: 48; 2: 34; 3: 7; 
Differentiation_of_T_lymphocytes, 645,  6,  9,  137, 0, 3, 425931, 9033.49, 85, 0.00, 0: 8; 1: 50; 2: 30; 3: 9; 
Differentiation_of_T_lymphocytes, 235,  7,  8,  137, 0, 3, 439199, 9033.49, 109, 0.00, 0: 8; 1: 45; 2: 40; 3: 4; 
Differentiation_of_T_lymphocytes,  39,  8,  7,  137, 0, 3, 439180, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 36; 3: 6; 
Differentiation_of_T_lymphocytes, 854,  8,  7,  137, 0, 3, 439328, 9033.49, 0, 0.00, 0: 8; 1: 51; 2: 28; 3: 10; 
Differentiation_of_T_lymphocytes, 905,  7,  8,  137, 0, 3, 439352, 9033.49, 80, 0.00, 0: 8; 1: 46; 2: 38; 3: 5; 
Differentiation_of_T_lymphocytes, 585,  7,  8,  137, 0, 3, 439199, 9033.49, 79, 0.00, 0: 8; 1: 48; 2: 34; 3: 7; 
Differentiation_of_T_lymphocytes,  31,  6,  9,  138, 0, 3, 425992, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 35; 3: 7; 
Differentiation_of_T_lymphocytes,  87,  6,  9,  138, 0, 3, 426107, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 37; 3: 6; 
Differentiation_of_T_lymphocytes, 554,  5, 12,  138, 0, 3, 463744, 9033.49, 70, 0.00, 0: 8; 1: 49; 2: 31; 3: 9; 
Differentiation_of_T_lymphocytes,  35,  8,  7,  138, 0, 3, 439259, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 37; 3: 6; 
Differentiation_of_T_lymphocytes, 654,  7,  8,  138, 0, 3, 439001, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 35; 3: 7; 
Differentiation_of_T_lymphocytes, 232,  8,  7,  138, 0, 3, 439224, 9033.49, 32, 0.00, 0: 8; 1: 46; 2: 37; 3: 6; 
Differentiation_of_T_lymphocytes,  94,  8,  7,  138, 0, 3, 439100, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 35; 3: 7; 
Differentiation_of_T_lymphocytes, 217,  7,  8,  138, 0, 3, 439195, 9033.49, 85, 0.00, 0: 8; 1: 46; 2: 37; 3: 6; 
Differentiation_of_T_lymphocytes, 752,  8,  7,  138, 0, 3, 439210, 9033.49, 8, 0.00, 0: 8; 1: 47; 2: 35; 3: 7; 
Differentiation_of_T_lymphocytes, 346,  7,  8,  138, 0, 3, 439153, 9033.49, 15, 0.00, 0: 8; 1: 48; 2: 33; 3: 8; 
Differentiation_of_T_lymphocytes, 272,  8,  7,  138, 0, 3, 439249, 9033.49, 96, 0.00, 0: 8; 1: 48; 2: 33; 3: 8; 
Differentiation_of_T_lymphocytes, 712,  5, 12,  138, 0, 3, 464081, 9033.49, 192, 0.00, 0: 8; 1: 46; 2: 37; 3: 6; 
Differentiation_of_T_lymphocytes, 991,  9,  6,  138, 0, 3, 426114, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 37; 3: 6; 
Differentiation_of_T_lymphocytes, 720,  7,  8,  138, 0, 3, 439112, 9033.49, 192, 0.00, 0: 8; 1: 48; 2: 33; 3: 8; 
Differentiation_of_T_lymphocytes,  22,  7,  8,  138, 0, 3, 439252, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 39; 3: 5; 
Differentiation_of_T_lymphocytes, 308,  9,  6,  138, 0, 3, 426114, 9033.49, 43, 0.00, 0: 8; 1: 47; 2: 35; 3: 7; 
Differentiation_of_T_lymphocytes,  58,  5, 11,  138, 0, 3, 432164, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 35; 3: 7; 
Differentiation_of_T_lymphocytes, 442,  8,  7,  138, 0, 3, 438908, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 35; 3: 7; 
Differentiation_of_T_lymphocytes,  55,  8,  7,  138, 0, 3, 439201, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 33; 3: 8; 
Differentiation_of_T_lymphocytes, 818,  6,  9,  138, 0, 3, 426151, 9033.49, 0, 0.00, 0: 8; 1: 49; 2: 31; 3: 9; 
Differentiation_of_T_lymphocytes, 118,  7,  8,  138, 0, 3, 439217, 9033.49, 0, 0.00, 0: 8; 1: 49; 2: 31; 3: 9; 
Differentiation_of_T_lymphocytes, 432,  5, 11,  138, 0, 3, 432193, 9033.49, 26, 0.00, 0: 8; 1: 50; 2: 29; 3: 10; 
Differentiation_of_T_lymphocytes, 836,  7,  8,  138, 0, 3, 439235, 9033.49, 86, 0.00, 0: 8; 1: 48; 2: 33; 3: 8; 
Differentiation_of_T_lymphocytes, 494,  7,  8,  138, 0, 3, 439312, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 35; 3: 7; 
Differentiation_of_T_lymphocytes, 942,  5, 10,  138, 0, 3, 395675, 9033.49, 32, 0.00, 0: 8; 1: 48; 2: 33; 3: 8; 
Differentiation_of_T_lymphocytes, 304,  8,  7,  138, 0, 3, 439034, 9033.49, 18, 0.00, 0: 8; 1: 48; 2: 33; 3: 8; 
Differentiation_of_T_lymphocytes, 847,  9,  6,  138, 0, 3, 426102, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 35; 3: 7; 
Differentiation_of_T_lymphocytes, 299,  8,  7,  138, 0, 3, 439126, 9033.49, 120, 0.00, 0: 8; 1: 49; 2: 31; 3: 9; 
Differentiation_of_T_lymphocytes, 783,  5, 12,  138, 0, 3, 464230, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 37; 3: 6; 
Differentiation_of_T_lymphocytes, 693,  5, 10,  138, 0, 3, 395675, 9033.49, 0, 0.00, 0: 8; 1: 49; 2: 31; 3: 9; 
Differentiation_of_T_lymphocytes, 334,  7,  8,  138, 0, 3, 439166, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 35; 3: 7; 
Differentiation_of_T_lymphocytes, 710,  8,  7,  139, 0, 3, 439295, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 136,  8,  7,  139, 0, 3, 439237, 9033.49, 192, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 139,  7,  8,  139, 0, 3, 439221, 9033.49, 195, 0.00, 0: 8; 1: 46; 2: 36; 3: 7; 
Differentiation_of_T_lymphocytes, 598,  7,  8,  139, 0, 3, 439104, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 161,  7,  8,  139, 0, 3, 439161, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 36; 3: 7; 
Differentiation_of_T_lymphocytes, 149,  7,  8,  139, 0, 3, 439239, 9033.49, 85, 0.00, 0: 8; 1: 45; 2: 38; 3: 6; 
Differentiation_of_T_lymphocytes, 605,  9,  6,  139, 0, 3, 426086, 9033.49, 85, 0.00, 0: 8; 1: 44; 2: 40; 3: 5; 
Differentiation_of_T_lymphocytes, 541,  5, 12,  139, 0, 3, 463947, 9033.49, 85, 0.00, 0: 8; 1: 46; 2: 36; 3: 7; 
Differentiation_of_T_lymphocytes, 946,  6,  9,  139, 0, 3, 426126, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 904,  9,  6,  139, 0, 3, 426102, 9033.49, 128, 0.00, 0: 8; 1: 45; 2: 38; 3: 6; 
Differentiation_of_T_lymphocytes, 340,  7,  8,  139, 0, 3, 439111, 9033.49, 86, 0.00, 0: 8; 1: 47; 2: 34; 3: 8; 
Differentiation_of_T_lymphocytes, 866,  8,  7,  139, 0, 3, 439198, 9033.49, 0, 0.00, 0: 8; 1: 49; 2: 30; 3: 10; 
Differentiation_of_T_lymphocytes, 359,  6,  9,  139, 0, 3, 425944, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 34; 3: 8; 
Differentiation_of_T_lymphocytes, 861,  9,  6,  139, 0, 3, 426075, 9033.49, 85, 0.00, 0: 8; 1: 44; 2: 40; 3: 5; 
Differentiation_of_T_lymphocytes, 394,  9,  6,  139, 0, 3, 426125, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 395,  8,  7,  139, 0, 3, 439437, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 36; 3: 7; 
Differentiation_of_T_lymphocytes, 427,  7,  8,  139, 0, 3, 439180, 9033.49, 109, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 440,  6,  9,  139, 0, 3, 426044, 9033.49, 0, 0.00, 0: 8; 1: 49; 2: 30; 3: 10; 
Differentiation_of_T_lymphocytes, 824,  7,  8,  139, 0, 3, 439184, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 34; 3: 8; 
Differentiation_of_T_lymphocytes, 460,  8,  7,  139, 0, 3, 439153, 9033.49, 86, 0.00, 0: 8; 1: 46; 2: 36; 3: 7; 
Differentiation_of_T_lymphocytes, 806,  6,  9,  139, 0, 3, 425957, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 195,  7,  8,  139, 0, 3, 439336, 9033.49, 195, 0.00, 0: 8; 1: 46; 2: 36; 3: 7; 
Differentiation_of_T_lymphocytes,  62,  8,  7,  139, 0, 3, 439195, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 34; 3: 8; 
Differentiation_of_T_lymphocytes, 183,  5, 12,  139, 0, 3, 464101, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 36; 3: 7; 
Differentiation_of_T_lymphocytes, 178,  9,  6,  139, 0, 3, 425952, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 534,  6,  9,  139, 0, 3, 426013, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 537,  5, 10,  139, 0, 3, 395675, 9033.49, 87, 0.00, 0: 8; 1: 49; 2: 30; 3: 10; 
Differentiation_of_T_lymphocytes,   0,  5, 10,  140, 0, 3, 395675, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 37; 3: 7; 
Differentiation_of_T_lymphocytes, 547,  6,  9,  140, 0, 3, 426051, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 33; 3: 9; 
Differentiation_of_T_lymphocytes, 309,  5, 10,  140, 0, 3, 395675, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 37; 3: 7; 
Differentiation_of_T_lymphocytes, 141,  6,  9,  140, 0, 3, 426059, 9033.49, 85, 0.00, 0: 8; 1: 46; 2: 35; 3: 8; 
Differentiation_of_T_lymphocytes, 624,  9,  6,  140, 0, 3, 426073, 9033.49, 1, 0.00, 0: 8; 1: 45; 2: 37; 3: 7; 
Differentiation_of_T_lymphocytes, 318,  5, 11,  140, 0, 3, 432223, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 35; 3: 8; 
Differentiation_of_T_lymphocytes, 236,  6,  9,  140, 0, 3, 426126, 9033.49, 101, 0.00, 0: 8; 1: 44; 2: 39; 3: 6; 
Differentiation_of_T_lymphocytes, 347,  8,  7,  140, 0, 3, 439203, 9033.49, 196, 0.00, 0: 8; 1: 48; 2: 31; 3: 10; 
Differentiation_of_T_lymphocytes, 164,  6,  9,  140, 0, 3, 425985, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 37; 3: 7; 
Differentiation_of_T_lymphocytes, 507,  8,  7,  140, 0, 3, 439162, 9033.49, 0, 0.00, 0: 8; 1: 49; 2: 29; 3: 11; 
Differentiation_of_T_lymphocytes, 492,  5, 11,  140, 0, 3, 432168, 9033.49, 66, 0.00, 0: 8; 1: 47; 2: 33; 3: 9; 
Differentiation_of_T_lymphocytes, 644,  9,  6,  140, 0, 3, 425949, 9033.49, 86, 0.00, 0: 8; 1: 45; 2: 37; 3: 7; 
Differentiation_of_T_lymphocytes, 711,  5, 10,  140, 0, 3, 395675, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 33; 3: 9; 
Differentiation_of_T_lymphocytes, 117,  9,  6,  140, 0, 3, 426038, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 35; 3: 8; 
Differentiation_of_T_lymphocytes, 883,  8,  7,  140, 0, 3, 439349, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 37; 3: 7; 
Differentiation_of_T_lymphocytes, 863,  5, 10,  140, 0, 3, 395675, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 33; 3: 9; 
Differentiation_of_T_lymphocytes,  93,  8,  7,  140, 0, 3, 439170, 9033.49, 85, 0.00, 0: 8; 1: 44; 2: 39; 3: 6; 
Differentiation_of_T_lymphocytes, 932,  9,  6,  140, 0, 3, 426124, 9033.49, 0, 0.00, 0: 8; 1: 43; 2: 41; 3: 5; 
Differentiation_of_T_lymphocytes, 637,  7,  8,  140, 0, 3, 438996, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 35; 3: 8; 
Differentiation_of_T_lymphocytes,  65,  5, 11,  140, 0, 3, 432230, 9033.49, 253, 0.00, 0: 8; 1: 46; 2: 35; 3: 8; 
Differentiation_of_T_lymphocytes, 870,  7,  8,  140, 0, 3, 439222, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 35; 3: 8; 
Differentiation_of_T_lymphocytes, 920,  8,  7,  140, 0, 3, 439171, 9033.49, 152, 0.00, 0: 8; 1: 45; 2: 37; 3: 7; 
Differentiation_of_T_lymphocytes, 852,  6,  9,  140, 0, 3, 426110, 9033.49, 86, 0.00, 0: 8; 1: 44; 2: 39; 3: 6; 
Differentiation_of_T_lymphocytes, 778,  6,  9,  141, 0, 3, 426080, 9033.49, 15, 0.00, 0: 8; 1: 45; 2: 36; 3: 8; 
Differentiation_of_T_lymphocytes, 846,  7,  8,  141, 0, 3, 439217, 9033.49, 0, 0.00, 0: 8; 1: 43; 2: 40; 3: 6; 
Differentiation_of_T_lymphocytes, 928,  7,  8,  141, 0, 3, 439213, 9033.49, 7, 0.00, 0: 8; 1: 42; 2: 42; 3: 5; 
Differentiation_of_T_lymphocytes, 456,  8,  7,  141, 0, 3, 439133, 9033.49, 192, 0.00, 0: 8; 1: 45; 2: 36; 3: 8; 
Differentiation_of_T_lymphocytes, 757,  5, 10,  141, 0, 3, 395675, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 34; 3: 9; 
Differentiation_of_T_lymphocytes, 388,  8,  7,  141, 0, 3, 439055, 9033.49, 0, 0.00, 0: 8; 1: 44; 2: 38; 3: 7; 
Differentiation_of_T_lymphocytes, 389,  9,  6,  141, 0, 3, 426112, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 34; 3: 9; 
Differentiation_of_T_lymphocytes, 303,  5, 11,  141, 0, 3, 432214, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 30; 3: 11; 
Differentiation_of_T_lymphocytes, 175,  8,  7,  141, 0, 3, 439234, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 36; 3: 8; 
Differentiation_of_T_lymphocytes, 464,  6,  9,  141, 0, 3, 426090, 9033.49, 192, 0.00, 0: 8; 1: 44; 2: 38; 3: 7; 
Differentiation_of_T_lymphocytes, 727,  9,  6,  141, 0, 3, 426087, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 32; 3: 10; 
Differentiation_of_T_lymphocytes, 169,  7,  8,  141, 0, 3, 439295, 9033.49, 68, 0.00, 0: 8; 1: 44; 2: 38; 3: 7; 
Differentiation_of_T_lymphocytes, 191,  9,  6,  141, 0, 3, 426087, 9033.49, 0, 0.00, 0: 8; 1: 43; 2: 40; 3: 6; 
Differentiation_of_T_lymphocytes, 548,  5, 11,  141, 0, 3, 432199, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 30; 3: 11; 
Differentiation_of_T_lymphocytes,  73,  6,  9,  141, 0, 3, 426007, 9033.49, 253, 0.00, 0: 8; 1: 44; 2: 38; 3: 7; 
Differentiation_of_T_lymphocytes, 230,  6,  9,  141, 0, 3, 426085, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 34; 3: 9; 
Differentiation_of_T_lymphocytes, 355,  8,  7,  141, 0, 3, 439187, 9033.49, 0, 0.00, 0: 8; 1: 43; 2: 40; 3: 6; 
Differentiation_of_T_lymphocytes, 659,  9,  6,  141, 0, 3, 426122, 9033.49, 196, 0.00, 0: 8; 1: 46; 2: 34; 3: 9; 
Differentiation_of_T_lymphocytes, 560,  6,  9,  141, 0, 3, 426112, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 36; 3: 8; 
Differentiation_of_T_lymphocytes, 231,  8,  7,  141, 0, 3, 439250, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 34; 3: 9; 
Differentiation_of_T_lymphocytes, 620,  8,  7,  141, 0, 3, 439160, 9033.49, 103, 0.00, 0: 8; 1: 43; 2: 40; 3: 6; 
Differentiation_of_T_lymphocytes, 675,  6,  9,  141, 0, 3, 426012, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 34; 3: 9; 
Differentiation_of_T_lymphocytes, 146,  8,  7,  141, 0, 3, 439042, 9033.49, 72, 0.00, 0: 8; 1: 45; 2: 36; 3: 8; 
