Seed 1656949570
ARCH 2|F_ID 1|LIMIT 3
before: 
2(436)
Melhor resultado nxn: Differentiation_of_T_lymphocytes, 500,  8,  7,  117, 1, 2, 439055, 9903.41, 36, 0.00, 1: 77; 2: 20; 
Differentiation_of_T_lymphocytes,  30,  7,  8,  120, 1, 2, 439285, 9903.41, 0, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 589,  7,  8,  120, 1, 2, 439403, 9903.41, 85, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 464,  6,  9,  120, 1, 2, 425950, 9903.41, 192, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 363,  6,  9,  120, 1, 2, 426185, 9903.41, 84, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 462,  9,  6,  120, 1, 2, 426103, 9903.41, 0, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 331,  5, 12,  120, 1, 2, 464196, 9903.41, 242, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 787,  7,  8,  121, 1, 2, 439336, 9903.41, 242, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 452,  9,  6,  121, 1, 2, 426035, 9903.41, 143, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 490,  7,  8,  121, 1, 2, 439326, 9903.41, 70, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 654,  7,  8,  121, 1, 2, 439382, 9903.41, 0, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 661,  8,  7,  121, 1, 2, 439156, 9903.41, 85, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 328,  8,  7,  121, 1, 2, 439173, 9903.41, 32, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 719,  6,  9,  121, 1, 2, 426003, 9903.41, 0, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 427,  7,  8,  121, 1, 2, 439421, 9903.41, 109, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 453,  5, 12,  121, 1, 2, 464022, 9903.41, 85, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 339,  6,  9,  121, 1, 2, 426145, 9903.41, 242, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 161,  7,  8,  121, 1, 2, 439347, 9903.41, 0, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 496,  9,  6,  121, 1, 2, 425747, 9903.41, 4, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 714,  7,  8,  121, 1, 2, 439160, 9903.41, 77, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 556,  7,  8,  121, 1, 2, 439448, 9903.41, 66, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes,  16,  9,  6,  121, 1, 2, 426148, 9903.41, 224, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 149,  7,  8,  121, 1, 2, 439047, 9903.41, 85, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 738,  6,  9,  121, 1, 2, 426153, 9903.41, 0, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 870,  7,  8,  121, 1, 2, 439306, 9903.41, 0, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 136,  8,  7,  121, 1, 2, 439181, 9903.41, 192, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes,  35,  8,  7,  121, 1, 2, 439456, 9903.41, 0, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 607,  6,  9,  121, 1, 2, 426049, 9903.41, 0, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 648,  7,  8,  121, 1, 2, 439190, 9903.41, 128, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 834,  7,  8,  121, 1, 2, 439138, 9903.41, 77, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 986,  9,  6,  121, 1, 2, 426093, 9903.41, 77, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 576,  8,  7,  121, 1, 2, 439428, 9903.41, 48, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 575,  8,  7,  121, 1, 2, 439061, 9903.41, 0, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 574,  7,  8,  121, 1, 2, 439166, 9903.41, 0, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes,  50,  8,  7,  121, 1, 2, 439227, 9903.41, 0, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 436,  7,  8,  121, 1, 2, 439154, 9903.41, 4, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 191,  9,  6,  121, 1, 2, 425863, 9903.41, 0, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 761,  6,  9,  121, 1, 2, 426138, 9903.41, 0, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 739,  9,  6,  121, 1, 2, 426141, 9903.41, 0, 0.00, 1: 73; 2: 24; 
Differentiation_of_T_lymphocytes, 399,  6,  9,  122, 1, 2, 426103, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 800,  6,  9,  122, 1, 2, 426111, 9903.41, 7, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 804,  5, 11,  122, 1, 2, 432317, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 802,  8,  7,  122, 1, 2, 439513, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 710,  8,  7,  122, 1, 2, 439355, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes,   7,  7,  8,  122, 1, 2, 439286, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 634,  7,  8,  122, 1, 2, 439348, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 278,  5, 12,  122, 1, 2, 464285, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 320,  6,  9,  122, 1, 2, 426268, 9903.41, 160, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 793,  7,  8,  122, 1, 2, 439285, 9903.41, 216, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 900,  7,  8,  122, 1, 2, 439297, 9903.41, 143, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 381,  5, 11,  122, 1, 2, 432108, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 705,  8,  7,  122, 1, 2, 439203, 9903.41, 207, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 596,  8,  7,  122, 1, 2, 439184, 9903.41, 143, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 506,  8,  7,  122, 1, 2, 439155, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes,   3,  7,  8,  122, 1, 2, 439278, 9903.41, 48, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 799,  9,  6,  122, 1, 2, 426093, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 704,  9,  6,  122, 1, 2, 426073, 9903.41, 176, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 807,  9,  6,  122, 1, 2, 425965, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 967,  9,  6,  122, 1, 2, 426164, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 340,  7,  8,  122, 1, 2, 438566, 9903.41, 143, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 566,  9,  6,  122, 1, 2, 426002, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 205,  8,  7,  122, 1, 2, 438948, 9903.41, 85, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 815,  9,  6,  122, 1, 2, 425987, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 347,  8,  7,  122, 1, 2, 439222, 9903.41, 242, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 569,  7,  8,  122, 1, 2, 439225, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 760,  7,  8,  122, 1, 2, 439210, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 484,  5, 12,  122, 1, 2, 464203, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 562,  7,  8,  122, 1, 2, 438806, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 241,  6,  9,  122, 1, 2, 426051, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 353,  9,  6,  122, 1, 2, 425939, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 843,  7,  8,  122, 1, 2, 439122, 9903.41, 242, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 236,  6,  9,  122, 1, 2, 426144, 9903.41, 101, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 235,  7,  8,  122, 1, 2, 439385, 9903.41, 109, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 233,  8,  7,  122, 1, 2, 439303, 9903.41, 69, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 377,  9,  6,  122, 1, 2, 426245, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 840,  9,  6,  122, 1, 2, 425763, 9903.41, 64, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 988,  7,  8,  122, 1, 2, 439412, 9903.41, 143, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 544,  6,  9,  122, 1, 2, 426088, 9903.41, 7, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 325,  6,  9,  122, 1, 2, 426086, 9903.41, 85, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes,  93,  8,  7,  122, 1, 2, 439300, 9903.41, 85, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 174,  8,  7,  122, 1, 2, 439335, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 550,  9,  6,  122, 1, 2, 426003, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 501,  7,  8,  122, 1, 2, 439093, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 772,  7,  8,  122, 1, 2, 439455, 9903.41, 143, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 470,  8,  7,  122, 1, 2, 438989, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 824,  7,  8,  122, 1, 2, 439006, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 925,  9,  6,  122, 1, 2, 425869, 9903.41, 85, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 372,  8,  7,  122, 1, 2, 439288, 9903.41, 9, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 206,  7,  8,  122, 1, 2, 439232, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes,  78,  6,  9,  122, 1, 2, 425991, 9903.41, 0, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 624,  9,  6,  122, 1, 2, 426405, 9903.41, 1, 0.00, 1: 72; 2: 25; 
Differentiation_of_T_lymphocytes, 473,  7,  8,  123, 1, 2, 439164, 9903.41, 214, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 244,  7,  8,  123, 1, 2, 439270, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 823,  7,  8,  123, 1, 2, 439297, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 230,  6,  9,  123, 1, 2, 426151, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 271,  7,  8,  123, 1, 2, 439192, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 862,  8,  7,  123, 1, 2, 439157, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 852,  6,  9,  123, 1, 2, 426168, 9903.41, 143, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 454,  8,  7,  123, 1, 2, 438998, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 218,  5, 11,  123, 1, 2, 432156, 9903.41, 77, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 811,  9,  6,  123, 1, 2, 425837, 9903.41, 49, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 250,  5, 12,  123, 1, 2, 463810, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 219,  7,  8,  123, 1, 2, 439489, 9903.41, 242, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 936,  9,  6,  123, 1, 2, 426166, 9903.41, 32, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 779,  7,  8,  123, 1, 2, 439464, 9903.41, 242, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 549,  7,  8,  123, 1, 2, 439283, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 327,  5, 11,  123, 1, 2, 432213, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes,  89,  7,  8,  123, 1, 2, 439250, 9903.41, 213, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 723,  9,  6,  123, 1, 2, 425991, 9903.41, 242, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 920,  8,  7,  123, 1, 2, 439511, 9903.41, 152, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 922,  5, 12,  123, 1, 2, 463926, 9903.41, 77, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 727,  9,  6,  123, 1, 2, 426300, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 966,  5, 10,  123, 1, 2, 395675, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 874,  5, 11,  123, 1, 2, 432214, 9903.41, 76, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 560,  6,  9,  123, 1, 2, 426241, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 770,  5, 11,  123, 1, 2, 432198, 9903.41, 77, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 105,  9,  6,  123, 1, 2, 426005, 9903.41, 67, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes,  65,  5, 11,  123, 1, 2, 432386, 9903.41, 125, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 728,  6,  9,  123, 1, 2, 426058, 9903.41, 216, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 766,  6,  9,  123, 1, 2, 426297, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 346,  7,  8,  123, 1, 2, 438727, 9903.41, 77, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes,  37,  8,  7,  123, 1, 2, 439245, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 350,  6,  9,  123, 1, 2, 426008, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 571,  7,  8,  123, 1, 2, 439220, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes,  38,  7,  8,  123, 1, 2, 439274, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 758,  8,  7,  123, 1, 2, 439158, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 356,  6,  9,  123, 1, 2, 426135, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 407,  5, 12,  123, 1, 2, 464217, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 121,  7,  8,  123, 1, 2, 439258, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 642,  8,  7,  123, 1, 2, 439365, 9903.41, 77, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 392,  7,  8,  123, 1, 2, 439089, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 133,  6,  9,  123, 1, 2, 425940, 9903.41, 85, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 742,  5, 10,  123, 1, 2, 395675, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 644,  9,  6,  123, 1, 2, 426243, 9903.41, 143, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 287,  7,  8,  123, 1, 2, 439125, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 992,  5, 12,  123, 1, 2, 464527, 9903.41, 6, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 743,  9,  6,  123, 1, 2, 426186, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 435,  7,  8,  123, 1, 2, 438943, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes,   5,  6,  9,  123, 1, 2, 426079, 9903.41, 127, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 303,  5, 11,  123, 1, 2, 432251, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 606,  8,  7,  123, 1, 2, 439127, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 397,  9,  6,  123, 1, 2, 426178, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 895,  5, 11,  123, 1, 2, 432294, 9903.41, 255, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 429,  5, 12,  123, 1, 2, 463977, 9903.41, 32, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 110,  8,  7,  123, 1, 2, 439010, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 803,  6,  9,  123, 1, 2, 426053, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 279,  6,  9,  123, 1, 2, 425900, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 402,  7,  8,  123, 1, 2, 439117, 9903.41, 0, 0.00, 1: 71; 2: 26; 
Differentiation_of_T_lymphocytes, 481,  9,  6,  124, 1, 2, 426129, 9903.41, 0, 0.00, 1: 70; 2: 27; 
Differentiation_of_T_lymphocytes, 360,  5, 12,  124, 1, 2, 463675, 9903.41, 32, 0.00, 1: 70; 2: 27; 
Differentiation_of_T_lymphocytes, 753,  8,  7,  124, 1, 2, 438955, 9903.41, 0, 0.00, 1: 70; 2: 27; 
Differentiation_of_T_lymphocytes, 686,  6,  9,  124, 1, 2, 426156, 9903.41, 32, 0.00, 1: 70; 2: 27; 
Differentiation_of_T_lymphocytes, 746,  9,  6,  124, 1, 2, 425915, 9903.41, 76, 0.00, 1: 70; 2: 27; 
Differentiation_of_T_lymphocytes, 692,  9,  6,  124, 1, 2, 425915, 9903.41, 31, 0.00, 1: 70; 2: 27; 
Differentiation_of_T_lymphocytes, 368,  5, 12,  124, 1, 2, 464042, 9903.41, 17, 0.00, 1: 70; 2: 27; 
Differentiation_of_T_lymphocytes, 337,  9,  6,  124, 1, 2, 426277, 9903.41, 206, 0.00, 1: 70; 2: 27; 
Differentiation_of_T_lymphocytes, 315,  5, 11,  124, 1, 2, 432250, 9903.41, 0, 0.00, 1: 70; 2: 27; 
Differentiation_of_T_lymphocytes, 440,  6,  9,  124, 1, 2, 426178, 9903.41, 0, 0.00, 1: 70; 2: 27; 
Differentiation_of_T_lymphocytes, 283,  5, 12,  124, 1, 2, 464044, 9903.41, 242, 0.00, 1: 70; 2: 27; 
Differentiation_of_T_lymphocytes, 286,  6,  9,  124, 1, 2, 425996, 9903.41, 0, 0.00, 1: 70; 2: 27; 
Differentiation_of_T_lymphocytes, 806,  6,  9,  124, 1, 2, 426168, 9903.41, 0, 0.00, 1: 70; 2: 27; 
Differentiation_of_T_lymphocytes, 809,  5, 11,  124, 1, 2, 432549, 9903.41, 73, 0.00, 1: 70; 2: 27; 
Differentiation_of_T_lymphocytes, 798,  5, 11,  124, 1, 2, 432037, 9903.41, 0, 0.00, 1: 70; 2: 27; 
