Seed 1656949570
ARCH 1|F_ID 1|LIMIT 3
before: 
2(655)
Melhor resultado nxn: Differentiation_of_T_lymphocytes, 617,  8,  7,  108, 1, 2, 438950, 8992.16, 73, 0.00, 1: 86; 2: 11; 
Differentiation_of_T_lymphocytes,  50,  8,  7,  112, 1, 2, 438839, 8992.16, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 142,  5, 11,  112, 1, 2, 432304, 8992.16, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 621,  7,  8,  112, 1, 2, 439350, 8992.16, 32, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 168,  5, 10,  112, 1, 2, 395675, 8992.16, 32, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 644,  9,  6,  112, 1, 2, 426143, 8992.16, 246, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 648,  7,  8,  112, 1, 2, 439238, 8992.16, 128, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 136,  8,  7,  112, 1, 2, 439085, 8992.16, 192, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 785,  7,  8,  112, 1, 2, 439133, 8992.16, 80, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 264,  9,  6,  112, 1, 2, 425929, 8992.16, 64, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 234,  7,  8,  112, 1, 2, 439251, 8992.16, 111, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 720,  7,  8,  112, 1, 2, 439309, 8992.16, 192, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes,  94,  8,  7,  112, 1, 2, 439268, 8992.16, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 815,  9,  6,  112, 1, 2, 426053, 8992.16, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 737,  6,  9,  112, 1, 2, 426056, 8992.16, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 852,  6,  9,  112, 1, 2, 426135, 8992.16, 246, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 849,  6,  9,  112, 1, 2, 425880, 8992.16, 80, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 740,  6,  9,  112, 1, 2, 426079, 8992.16, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 766,  6,  9,  112, 1, 2, 425858, 8992.16, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 118,  7,  8,  112, 1, 2, 439229, 8992.16, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 540,  6,  9,  112, 1, 2, 425989, 8992.16, 246, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 504,  7,  8,  112, 1, 2, 439062, 8992.16, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 562,  7,  8,  112, 1, 2, 439357, 8992.16, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 221,  5, 10,  113, 1, 2, 395675, 8992.16, 85, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 203,  8,  7,  113, 1, 2, 439184, 8992.16, 201, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 204,  9,  6,  113, 1, 2, 426051, 8992.16, 246, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 747,  6,  9,  113, 1, 2, 426225, 8992.16, 49, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes,  15,  9,  6,  113, 1, 2, 426162, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 514,  7,  8,  113, 1, 2, 438963, 8992.16, 231, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 854,  8,  7,  113, 1, 2, 438905, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 857,  8,  7,  113, 1, 2, 439104, 8992.16, 88, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 973,  7,  8,  113, 1, 2, 439130, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 834,  7,  8,  113, 1, 2, 439254, 8992.16, 231, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 521,  8,  7,  113, 1, 2, 439066, 8992.16, 79, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 230,  6,  9,  113, 1, 2, 426061, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes,  89,  7,  8,  113, 1, 2, 439026, 8992.16, 85, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 870,  7,  8,  113, 1, 2, 439344, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 233,  8,  7,  113, 1, 2, 439167, 8992.16, 69, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 241,  6,  9,  113, 1, 2, 426002, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 691,  9,  6,  113, 1, 2, 425959, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes,  24,  9,  6,  113, 1, 2, 426197, 8992.16, 224, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 127,  9,  6,  113, 1, 2, 426146, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 146,  8,  7,  113, 1, 2, 439084, 8992.16, 32, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 807,  9,  6,  113, 1, 2, 426053, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 811,  9,  6,  113, 1, 2, 426126, 8992.16, 49, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 150,  6,  9,  113, 1, 2, 426074, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 788,  5, 12,  113, 1, 2, 463996, 8992.16, 246, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 436,  7,  8,  113, 1, 2, 439240, 8992.16, 4, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 174,  8,  7,  113, 1, 2, 439146, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 782,  7,  8,  113, 1, 2, 439301, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 433,  6,  9,  113, 1, 2, 426172, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 977,  8,  7,  113, 1, 2, 439237, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 829,  6,  9,  113, 1, 2, 426045, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 832,  7,  8,  113, 1, 2, 439328, 8992.16, 48, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 122,  5, 12,  113, 1, 2, 464052, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 121,  7,  8,  113, 1, 2, 438995, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 771,  6,  9,  113, 1, 2, 426062, 8992.16, 201, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 980,  5, 12,  113, 1, 2, 463990, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 116,  7,  8,  113, 1, 2, 439089, 8992.16, 29, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 866,  8,  7,  113, 1, 2, 439145, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 603,  9,  6,  113, 1, 2, 426179, 8992.16, 201, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 622,  8,  7,  113, 1, 2, 439301, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 304,  8,  7,  113, 1, 2, 439251, 8992.16, 18, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 299,  8,  7,  113, 1, 2, 439007, 8992.16, 120, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 296,  5, 12,  113, 1, 2, 463903, 8992.16, 32, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes,  60,  6,  9,  113, 1, 2, 426101, 8992.16, 246, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 637,  7,  8,  113, 1, 2, 439324, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 900,  7,  8,  113, 1, 2, 439351, 8992.16, 246, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 574,  7,  8,  113, 1, 2, 439241, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 642,  8,  7,  113, 1, 2, 439391, 8992.16, 231, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 898,  6,  9,  113, 1, 2, 426124, 8992.16, 231, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 550,  9,  6,  113, 1, 2, 426064, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 962,  6,  9,  113, 1, 2, 426103, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 928,  7,  8,  113, 1, 2, 439323, 8992.16, 7, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 944,  5, 12,  113, 1, 2, 463919, 8992.16, 2, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 587,  7,  8,  113, 1, 2, 439140, 8992.16, 201, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 346,  7,  8,  113, 1, 2, 439300, 8992.16, 231, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 671,  6,  9,  113, 1, 2, 426119, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 964,  9,  6,  113, 1, 2, 426029, 8992.16, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 791,  5, 12,  114, 1, 2, 463951, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 266,  7,  8,  114, 1, 2, 439145, 8992.16, 32, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 558,  8,  7,  114, 1, 2, 439278, 8992.16, 32, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 620,  8,  7,  114, 1, 2, 439132, 8992.16, 103, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 566,  9,  6,  114, 1, 2, 426094, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 614,  7,  8,  114, 1, 2, 439461, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 450,  7,  8,  114, 1, 2, 439265, 8992.16, 231, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 368,  5, 12,  114, 1, 2, 464108, 8992.16, 17, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 153,  8,  7,  114, 1, 2, 439200, 8992.16, 85, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 500,  8,  7,  114, 1, 2, 439123, 8992.16, 36, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 799,  9,  6,  114, 1, 2, 426006, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 164,  6,  9,  114, 1, 2, 426052, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 179,  8,  7,  114, 1, 2, 439084, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 489,  5, 11,  114, 1, 2, 432169, 8992.16, 73, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 325,  6,  9,  114, 1, 2, 426022, 8992.16, 85, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 177,  7,  8,  114, 1, 2, 439250, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 585,  7,  8,  114, 1, 2, 439533, 8992.16, 79, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 176,  5, 12,  114, 1, 2, 464207, 8992.16, 48, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 442,  8,  7,  114, 1, 2, 438616, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 329,  6,  9,  114, 1, 2, 425993, 8992.16, 78, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 496,  9,  6,  114, 1, 2, 425925, 8992.16, 4, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 339,  6,  9,  114, 1, 2, 426139, 8992.16, 201, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 589,  7,  8,  114, 1, 2, 439171, 8992.16, 85, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 411,  6,  9,  114, 1, 2, 426251, 8992.16, 201, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 258,  5, 10,  114, 1, 2, 395675, 8992.16, 32, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 679,  7,  8,  114, 1, 2, 439229, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 694,  7,  8,  114, 1, 2, 439458, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 706,  9,  6,  114, 1, 2, 426049, 8992.16, 231, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 246,  8,  7,  114, 1, 2, 439235, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 467,  6,  9,  114, 1, 2, 425888, 8992.16, 201, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 715,  7,  8,  114, 1, 2, 439375, 8992.16, 201, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 235,  7,  8,  114, 1, 2, 439165, 8992.16, 109, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 397,  9,  6,  114, 1, 2, 425877, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 677,  5, 11,  114, 1, 2, 432301, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 719,  6,  9,  114, 1, 2, 426154, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 276,  5, 10,  114, 1, 2, 395675, 8992.16, 246, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 352,  7,  8,  114, 1, 2, 439167, 8992.16, 7, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 229,  7,  8,  114, 1, 2, 439242, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 191,  9,  6,  114, 1, 2, 426113, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 662,  7,  8,  114, 1, 2, 439382, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 728,  6,  9,  114, 1, 2, 426126, 8992.16, 216, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 218,  5, 11,  114, 1, 2, 432339, 8992.16, 231, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 217,  7,  8,  114, 1, 2, 439032, 8992.16, 85, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 214,  7,  8,  114, 1, 2, 439321, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 415,  8,  7,  114, 1, 2, 438939, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 517,  7,  8,  114, 1, 2, 439371, 8992.16, 85, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 211,  5, 10,  114, 1, 2, 395675, 8992.16, 201, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 742,  5, 10,  114, 1, 2, 395675, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 629,  5, 11,  114, 1, 2, 432043, 8992.16, 255, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 202,  9,  6,  114, 1, 2, 426134, 8992.16, 31, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 758,  8,  7,  114, 1, 2, 439068, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 384,  5, 11,  114, 1, 2, 432228, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 871,  6,  9,  114, 1, 2, 426194, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 133,  6,  9,  114, 1, 2, 426016, 8992.16, 85, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 948,  5, 12,  114, 1, 2, 463595, 8992.16, 26, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 117,  9,  6,  114, 1, 2, 426075, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 114,  6,  9,  114, 1, 2, 425915, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes,  92,  9,  6,  114, 1, 2, 426218, 8992.16, 246, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes,  52,  8,  7,  114, 1, 2, 439226, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 967,  9,  6,  114, 1, 2, 426180, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes,  22,  7,  8,  114, 1, 2, 439464, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes,  30,  7,  8,  114, 1, 2, 439139, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 934,  5, 12,  114, 1, 2, 464221, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 139,  7,  8,  114, 1, 2, 439043, 8992.16, 201, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes,  86,  5, 12,  114, 1, 2, 464356, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes,  84,  5, 10,  114, 1, 2, 395675, 8992.16, 246, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes,  76,  7,  8,  114, 1, 2, 439213, 8992.16, 246, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 826,  9,  6,  114, 1, 2, 425989, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 905,  7,  8,  114, 1, 2, 439353, 8992.16, 80, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 140,  8,  7,  114, 1, 2, 439178, 8992.16, 246, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 975,  8,  7,  114, 1, 2, 439175, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 872,  6,  9,  114, 1, 2, 426022, 8992.16, 32, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 865,  8,  7,  114, 1, 2, 439081, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 120,  9,  6,  114, 1, 2, 426045, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 124,  6,  9,  114, 1, 2, 426124, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes,  46,  6,  9,  114, 1, 2, 426119, 8992.16, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 628,  8,  7,  115, 1, 2, 439327, 8992.16, 255, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes,  57,  5, 11,  115, 1, 2, 431854, 8992.16, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 300,  5, 12,  115, 1, 2, 463585, 8992.16, 112, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 651,  6,  9,  115, 1, 2, 426077, 8992.16, 201, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes,  54,  6,  9,  115, 1, 2, 426135, 8992.16, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 618,  5, 12,  115, 1, 2, 464237, 8992.16, 70, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes,  51,  5, 11,  115, 1, 2, 432354, 8992.16, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 616,  5, 12,  115, 1, 2, 464071, 8992.16, 32, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes,  49,  5, 12,  115, 1, 2, 463898, 8992.16, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 314,  6,  9,  115, 1, 2, 426055, 8992.16, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 315,  5, 11,  115, 1, 2, 432390, 8992.16, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 611,  7,  8,  115, 1, 2, 438984, 8992.16, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 606,  8,  7,  115, 1, 2, 439191, 8992.16, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 270,  7,  8,  115, 1, 2, 439295, 8992.16, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 876,  7,  8,  115, 1, 2, 439326, 8992.16, 50, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 710,  8,  7,  115, 1, 2, 439147, 8992.16, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 707,  9,  6,  115, 1, 2, 426038, 8992.16, 201, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 455,  5, 11,  115, 1, 2, 432232, 8992.16, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 878,  4, 14,  115, 1, 2, 439197, 8992.16, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 692,  9,  6,  115, 1, 2, 426151, 8992.16, 31, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 482,  6,  9,  115, 1, 2, 426206, 8992.16, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 688,  6,  9,  115, 1, 2, 426189, 8992.16, 13, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 884,  8,  7,  115, 1, 2, 439075, 8992.16, 35, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 903,  6,  9,  115, 1, 2, 426507, 8992.16, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 885,  5, 12,  115, 1, 2, 464088, 8992.16, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 663,  7,  8,  115, 1, 2, 439331, 8992.16, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes,  68,  5, 12,  115, 1, 2, 463898, 8992.16, 246, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes,  67,  5, 12,  115, 1, 2, 464185, 8992.16, 201, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 659,  9,  6,  115, 1, 2, 426007, 8992.16, 201, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 931,  7,  8,  115, 1, 2, 439284, 8992.16, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 283,  5, 12,  115, 1, 2, 464443, 8992.16, 201, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 486,  9,  6,  115, 1, 2, 426172, 8992.16, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 293,  5, 12,  115, 1, 2, 464369, 8992.16, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 526,  8,  7,  115, 1, 2, 439192, 8992.16, 0, 0.00, 1: 79; 2: 18; 
