Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
3(242)
Melhor resultado nxn: Bortezomib_Responses_in_U266_Human_Myelo, 208,  9,  8,  174, 1, 3, 570556, 13022.43, 13, 0.00, 1: 95; 2: 26; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 716, 10,  7,  180, 1, 3, 557178, 13022.43, 66, 0.00, 1: 86; 2: 38; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 337,  7, 11,  180, 1, 3, 604534, 13022.43, 0, 0.00, 1: 87; 2: 36; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 706, 10,  7,  180, 1, 3, 556937, 13022.43, 0, 0.00, 1: 86; 2: 38; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 350,  7, 10,  180, 1, 3, 557297, 13022.43, 0, 0.00, 1: 86; 2: 38; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 227, 10,  7,  180, 1, 3, 557254, 13022.43, 0, 0.00, 1: 86; 2: 38; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 417,  9,  8,  180, 1, 3, 570398, 13022.43, 0, 0.00, 1: 86; 2: 38; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 486,  9,  8,  180, 1, 3, 570503, 13022.43, 0, 0.00, 1: 87; 2: 36; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo,   5,  7, 11,  180, 1, 3, 605633, 13022.43, 127, 0.00, 1: 87; 2: 36; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 500, 10,  7,  180, 1, 3, 556985, 13022.43, 60, 0.00, 1: 87; 2: 36; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 623,  9,  8,  180, 1, 3, 570647, 13022.43, 0, 0.00, 1: 85; 2: 40; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 441,  7, 10,  180, 1, 3, 556725, 13022.43, 0, 0.00, 1: 84; 2: 42; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 582,  7, 11,  180, 1, 3, 605336, 13022.43, 0, 0.00, 1: 85; 2: 40; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 614,  6, 13,  180, 1, 3, 610102, 13022.43, 0, 0.00, 1: 87; 2: 36; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 538,  9,  8,  181, 1, 3, 570275, 13022.43, 0, 0.00, 1: 87; 2: 35; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 381,  9,  8,  181, 1, 3, 570488, 13022.43, 0, 0.00, 1: 84; 2: 41; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 287,  6, 13,  181, 1, 3, 610216, 13022.43, 0, 0.00, 1: 89; 2: 31; 3: 10; 
Bortezomib_Responses_in_U266_Human_Myelo,  14,  7, 11,  181, 1, 3, 604081, 13022.43, 0, 0.00, 1: 84; 2: 41; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 635,  9,  8,  181, 1, 3, 570247, 13022.43, 0, 0.00, 1: 85; 2: 39; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 751,  9,  8,  181, 1, 3, 569802, 13022.43, 0, 0.00, 1: 84; 2: 41; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 499, 10,  7,  181, 1, 3, 557245, 13022.43, 0, 0.00, 1: 86; 2: 37; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 971,  6, 13,  181, 1, 3, 610950, 13022.43, 0, 0.00, 1: 86; 2: 37; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 347,  9,  8,  181, 1, 3, 570639, 13022.43, 0, 0.00, 1: 85; 2: 39; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 279,  9,  8,  181, 1, 3, 570150, 13022.43, 0, 0.00, 1: 85; 2: 39; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo,  64,  9,  8,  181, 1, 3, 570448, 13022.43, 1, 0.00, 1: 88; 2: 33; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 496,  7, 10,  181, 1, 3, 557235, 13022.43, 33, 0.00, 1: 87; 2: 35; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo,   6,  8,  9,  181, 1, 3, 570034, 13022.43, 0, 0.00, 1: 86; 2: 37; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 371,  8,  9,  181, 1, 3, 570465, 13022.43, 0, 0.00, 1: 86; 2: 37; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 276,  9,  8,  181, 1, 3, 570482, 13022.43, 15, 0.00, 1: 85; 2: 39; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo,  52,  7, 11,  181, 1, 3, 605087, 13022.43, 33, 0.00, 1: 82; 2: 45; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 797,  9,  8,  181, 1, 3, 570412, 13022.43, 0, 0.00, 1: 86; 2: 37; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 342,  7, 10,  181, 1, 3, 556991, 13022.43, 0, 0.00, 1: 86; 2: 37; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 775, 10,  7,  181, 1, 3, 557282, 13022.43, 0, 0.00, 1: 86; 2: 37; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 947,  7, 11,  181, 1, 3, 605501, 13022.43, 0, 0.00, 1: 85; 2: 39; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 857, 10,  7,  181, 1, 3, 557220, 13022.43, 0, 0.00, 1: 86; 2: 37; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 424,  7, 11,  181, 1, 3, 605151, 13022.43, 28, 0.00, 1: 84; 2: 41; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 858,  7, 11,  181, 1, 3, 605477, 13022.43, 0, 0.00, 1: 81; 2: 47; 3: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 382,  7, 10,  181, 1, 3, 557110, 13022.43, 0, 0.00, 1: 85; 2: 39; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 883,  9,  8,  181, 1, 3, 570262, 13022.43, 0, 0.00, 1: 85; 2: 39; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 922,  7, 11,  181, 1, 3, 605391, 13022.43, 0, 0.00, 1: 86; 2: 37; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 429,  7, 10,  181, 1, 3, 557250, 13022.43, 0, 0.00, 1: 84; 2: 41; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 201,  9,  8,  182, 1, 3, 569340, 13022.43, 0, 0.00, 1: 83; 2: 42; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 683,  6, 13,  182, 1, 3, 610733, 13022.43, 0, 0.00, 1: 84; 2: 40; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 542, 10,  7,  182, 1, 3, 557058, 13022.43, 0, 0.00, 1: 83; 2: 42; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,  99,  7, 11,  182, 1, 3, 605378, 13022.43, 0, 0.00, 1: 85; 2: 38; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 100,  7, 11,  182, 1, 3, 605336, 13022.43, 7, 0.00, 1: 85; 2: 38; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 595,  9,  8,  182, 1, 3, 570698, 13022.43, 0, 0.00, 1: 85; 2: 38; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 155,  6, 12,  182, 1, 3, 570260, 13022.43, 0, 0.00, 1: 85; 2: 38; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 697,  8,  9,  182, 1, 3, 570285, 13022.43, 0, 0.00, 1: 83; 2: 42; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 115,  6, 13,  182, 1, 3, 610077, 13022.43, 0, 0.00, 1: 83; 2: 42; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 470,  7, 10,  182, 1, 3, 557193, 13022.43, 0, 0.00, 1: 84; 2: 40; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 605,  7, 11,  182, 1, 3, 604725, 13022.43, 0, 0.00, 1: 86; 2: 36; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 141,  9,  8,  182, 1, 3, 570623, 13022.43, 0, 0.00, 1: 86; 2: 36; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 122,  6, 12,  182, 1, 3, 570503, 13022.43, 0, 0.00, 1: 85; 2: 38; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 127,  7, 11,  182, 1, 3, 605720, 13022.43, 0, 0.00, 1: 85; 2: 38; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 219,  6, 13,  182, 1, 3, 610263, 13022.43, 0, 0.00, 1: 86; 2: 36; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 498,  7, 10,  182, 1, 3, 557268, 13022.43, 0, 0.00, 1: 86; 2: 36; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 290,  9,  8,  182, 1, 3, 570892, 13022.43, 0, 0.00, 1: 86; 2: 36; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 838,  8,  9,  182, 1, 3, 570424, 13022.43, 0, 0.00, 1: 86; 2: 36; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 840,  9,  8,  182, 1, 3, 569970, 13022.43, 59, 0.00, 1: 86; 2: 36; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 377, 10,  7,  182, 1, 3, 557258, 13022.43, 0, 0.00, 1: 85; 2: 38; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 942,  9,  8,  182, 1, 3, 570273, 13022.43, 0, 0.00, 1: 83; 2: 42; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 315,  8,  9,  182, 1, 3, 569911, 13022.43, 0, 0.00, 1: 83; 2: 42; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 480, 10,  7,  182, 1, 3, 557253, 13022.43, 31, 0.00, 1: 83; 2: 42; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 184,  7, 11,  182, 1, 3, 604617, 13022.43, 10, 0.00, 1: 84; 2: 40; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 253,  7, 10,  182, 1, 3, 557144, 13022.43, 0, 0.00, 1: 83; 2: 42; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 319,  8,  9,  183, 1, 3, 570121, 13022.43, 0, 0.00, 1: 85; 2: 37; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 418, 10,  7,  183, 1, 3, 557211, 13022.43, 0, 0.00, 1: 86; 2: 35; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 837,  6, 12,  183, 1, 3, 570068, 13022.43, 0, 0.00, 1: 84; 2: 39; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 161,  7, 10,  183, 1, 3, 557097, 13022.43, 0, 0.00, 1: 84; 2: 39; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 264,  9,  8,  183, 1, 3, 570292, 13022.43, 15, 0.00, 1: 84; 2: 39; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 642,  7, 11,  183, 1, 3, 605741, 13022.43, 0, 0.00, 1: 80; 2: 47; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 895,  6, 13,  183, 1, 3, 609120, 13022.43, 0, 0.00, 1: 85; 2: 37; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 639,  8,  9,  183, 1, 3, 570028, 13022.43, 0, 0.00, 1: 83; 2: 41; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 320,  7, 11,  183, 1, 3, 605199, 13022.43, 21, 0.00, 1: 83; 2: 41; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 423, 10,  7,  183, 1, 3, 557206, 13022.43, 0, 0.00, 1: 84; 2: 39; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo,  27,  8,  9,  183, 1, 3, 570596, 13022.43, 226, 0.00, 1: 85; 2: 37; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 487, 10,  7,  183, 1, 3, 557221, 13022.43, 0, 0.00, 1: 86; 2: 35; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo,  19,  7, 11,  183, 1, 3, 603622, 13022.43, 226, 0.00, 1: 86; 2: 35; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 292,  8,  9,  183, 1, 3, 570493, 13022.43, 15, 0.00, 1: 83; 2: 41; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 568,  6, 12,  183, 1, 3, 570471, 13022.43, 39, 0.00, 1: 83; 2: 41; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo,  83,  8,  9,  183, 1, 3, 570590, 13022.43, 0, 0.00, 1: 85; 2: 37; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 231,  9,  8,  183, 1, 3, 570698, 13022.43, 0, 0.00, 1: 82; 2: 43; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 719, 10,  7,  183, 1, 3, 557240, 13022.43, 0, 0.00, 1: 84; 2: 39; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 816,  9,  8,  183, 1, 3, 570457, 13022.43, 59, 0.00, 1: 82; 2: 43; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 728,  7, 11,  183, 1, 3, 605621, 13022.43, 51, 0.00, 1: 85; 2: 37; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 788,  6, 13,  183, 1, 3, 610294, 13022.43, 64, 0.00, 1: 87; 2: 33; 3: 10; 
Bortezomib_Responses_in_U266_Human_Myelo,  72,  7, 11,  183, 1, 3, 604646, 13022.43, 3, 0.00, 1: 86; 2: 35; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 203,  6, 12,  183, 1, 3, 570135, 13022.43, 0, 0.00, 1: 84; 2: 39; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 515,  7, 10,  184, 1, 3, 557085, 13022.43, 0, 0.00, 1: 83; 2: 40; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 511,  8,  9,  184, 1, 3, 570090, 13022.43, 0, 0.00, 1: 86; 2: 34; 3: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 407, 10,  7,  184, 1, 3, 557196, 13022.43, 0, 0.00, 1: 84; 2: 38; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 398,  8,  9,  184, 1, 3, 570164, 13022.43, 0, 0.00, 1: 82; 2: 42; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 316, 10,  7,  184, 1, 3, 557276, 13022.43, 62, 0.00, 1: 80; 2: 46; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo,  24,  8,  9,  184, 1, 3, 570499, 13022.43, 160, 0.00, 1: 81; 2: 44; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 756,  6, 13,  184, 1, 3, 610661, 13022.43, 48, 0.00, 1: 81; 2: 44; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 157, 10,  7,  184, 1, 3, 556898, 13022.43, 0, 0.00, 1: 84; 2: 38; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 789,  8,  9,  184, 1, 3, 570452, 13022.43, 0, 0.00, 1: 86; 2: 34; 3: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 776,  9,  8,  184, 1, 3, 570038, 13022.43, 55, 0.00, 1: 83; 2: 40; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo,   8, 10,  7,  184, 1, 3, 557180, 13022.43, 208, 0.00, 1: 81; 2: 44; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 567,  7, 11,  184, 1, 3, 604207, 13022.43, 0, 0.00, 1: 82; 2: 42; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 460, 10,  7,  184, 1, 3, 557269, 13022.43, 66, 0.00, 1: 85; 2: 36; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 569,  6, 13,  184, 1, 3, 609325, 13022.43, 0, 0.00, 1: 81; 2: 44; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 151,  8,  9,  184, 1, 3, 570393, 13022.43, 0, 0.00, 1: 84; 2: 38; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 323,  6, 13,  184, 1, 3, 610608, 13022.43, 0, 0.00, 1: 84; 2: 38; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo,  58,  9,  8,  184, 1, 3, 570429, 13022.43, 0, 0.00, 1: 83; 2: 40; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 689,  8,  9,  184, 1, 3, 570204, 13022.43, 0, 0.00, 1: 83; 2: 40; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 545,  8,  9,  184, 1, 3, 570448, 13022.43, 0, 0.00, 1: 79; 2: 48; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 836,  8,  9,  184, 1, 3, 570348, 13022.43, 30, 0.00, 1: 82; 2: 42; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 205,  9,  8,  184, 1, 3, 570393, 13022.43, 0, 0.00, 1: 85; 2: 36; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 415,  9,  8,  184, 1, 3, 570288, 13022.43, 0, 0.00, 1: 83; 2: 40; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 414,  7, 11,  184, 1, 3, 605381, 13022.43, 0, 0.00, 1: 83; 2: 40; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 784,  7, 10,  184, 1, 3, 557214, 13022.43, 56, 0.00, 1: 85; 2: 36; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 842, 10,  7,  184, 1, 3, 557236, 13022.43, 0, 0.00, 1: 82; 2: 42; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 119,  7, 10,  184, 1, 3, 557104, 13022.43, 0, 0.00, 1: 81; 2: 44; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,  45,  9,  8,  184, 1, 3, 570379, 13022.43, 0, 0.00, 1: 85; 2: 36; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 859,  6, 13,  184, 1, 3, 610529, 13022.43, 0, 0.00, 1: 84; 2: 38; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 824,  9,  8,  184, 1, 3, 570253, 13022.43, 59, 0.00, 1: 86; 2: 34; 3: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 880,  6, 12,  184, 1, 3, 570173, 13022.43, 62, 0.00, 1: 85; 2: 36; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 891,  7, 11,  184, 1, 3, 604644, 13022.43, 0, 0.00, 1: 85; 2: 36; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 356,  9,  8,  184, 1, 3, 570249, 13022.43, 16, 0.00, 1: 83; 2: 40; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 367,  9,  8,  184, 1, 3, 570001, 13022.43, 0, 0.00, 1: 85; 2: 36; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 994,  7, 10,  185, 1, 3, 557479, 13022.43, 0, 0.00, 1: 82; 2: 41; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 541,  9,  8,  185, 1, 3, 570609, 13022.43, 0, 0.00, 1: 84; 2: 37; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 158,  9,  8,  185, 1, 3, 569247, 13022.43, 0, 0.00, 1: 84; 2: 37; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 481,  8,  9,  185, 1, 3, 570233, 13022.43, 0, 0.00, 1: 81; 2: 43; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 196, 10,  7,  185, 1, 3, 557301, 13022.43, 65, 0.00, 1: 82; 2: 41; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 291,  6, 13,  185, 1, 3, 610428, 13022.43, 0, 0.00, 1: 85; 2: 35; 3: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 772,  9,  8,  185, 1, 3, 570482, 13022.43, 12, 0.00, 1: 82; 2: 41; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 412,  6, 13,  185, 1, 3, 609950, 13022.43, 63, 0.00, 1: 82; 2: 41; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 686,  8,  9,  185, 1, 3, 569908, 13022.43, 0, 0.00, 1: 85; 2: 35; 3: 10; 
Bortezomib_Responses_in_U266_Human_Myelo,  87,  7, 11,  185, 1, 3, 605127, 13022.43, 0, 0.00, 1: 81; 2: 43; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 681,  8,  9,  185, 1, 3, 570276, 13022.43, 0, 0.00, 1: 81; 2: 43; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 800,  8,  9,  185, 1, 3, 570518, 13022.43, 57, 0.00, 1: 86; 2: 33; 3: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 422, 10,  7,  185, 1, 3, 557195, 13022.43, 0, 0.00, 1: 82; 2: 41; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 297,  7, 10,  185, 1, 3, 557108, 13022.43, 0, 0.00, 1: 87; 2: 31; 3: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 655,  6, 13,  185, 1, 3, 609752, 13022.43, 0, 0.00, 1: 85; 2: 35; 3: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 648,  8,  9,  185, 1, 3, 570214, 13022.43, 44, 0.00, 1: 82; 2: 41; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 627,  7, 10,  185, 1, 3, 557183, 13022.43, 0, 0.00, 1: 81; 2: 43; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 218, 10,  7,  185, 1, 3, 556847, 13022.43, 0, 0.00, 1: 80; 2: 45; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,  51,  7, 10,  185, 1, 3, 557343, 13022.43, 0, 0.00, 1: 82; 2: 41; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 829,  6, 13,  185, 1, 3, 610504, 13022.43, 0, 0.00, 1: 82; 2: 41; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 288,  8,  9,  185, 1, 3, 569788, 13022.43, 17, 0.00, 1: 82; 2: 41; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo,  30,  7, 11,  186, 1, 3, 604824, 13022.43, 0, 0.00, 1: 81; 2: 42; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 256,  7, 10,  186, 1, 3, 557316, 13022.43, 15, 0.00, 1: 82; 2: 40; 3: 8; 
