Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
3(417)
Melhor resultado nxn: Bortezomib_Responses_in_U266_Human_Myelo, 429,  7, 10,  165, 1, 3, 557233, 11999.60, 0, 0.00, 1: 98; 2: 29; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 492,  7, 11,  169, 1, 3, 605182, 11999.60, 22, 0.00, 1: 95; 2: 31; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo,  27,  8,  9,  169, 1, 3, 570326, 11999.60, 171, 0.00, 1: 94; 2: 33; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 657,  8,  9,  169, 1, 3, 570446, 11999.60, 0, 0.00, 1: 95; 2: 31; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 215,  9,  8,  170, 1, 3, 570216, 11999.60, 0, 0.00, 1: 95; 2: 30; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 354,  7, 11,  170, 1, 3, 605094, 11999.60, 0, 0.00, 1: 96; 2: 28; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 286,  6, 13,  170, 1, 3, 610782, 11999.60, 0, 0.00, 1: 94; 2: 32; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 854, 10,  7,  170, 1, 3, 557272, 11999.60, 0, 0.00, 1: 93; 2: 34; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 282,  9,  8,  170, 1, 3, 570433, 11999.60, 0, 0.00, 1: 94; 2: 32; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 677,  7, 11,  170, 1, 3, 605246, 11999.60, 0, 0.00, 1: 95; 2: 30; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 265,  8,  9,  170, 1, 3, 570096, 11999.60, 0, 0.00, 1: 96; 2: 28; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 635,  9,  8,  170, 1, 3, 570038, 11999.60, 0, 0.00, 1: 94; 2: 32; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 134,  7, 11,  170, 1, 3, 604983, 11999.60, 0, 0.00, 1: 91; 2: 38; 3: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 313,  8,  9,  170, 1, 3, 570661, 11999.60, 0, 0.00, 1: 96; 2: 28; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 605,  7, 11,  170, 1, 3, 604592, 11999.60, 0, 0.00, 1: 95; 2: 30; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,  94,  8,  9,  170, 1, 3, 569527, 11999.60, 0, 0.00, 1: 94; 2: 32; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 896,  9,  8,  170, 1, 3, 569439, 11999.60, 62, 0.00, 1: 93; 2: 34; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 737,  9,  8,  170, 1, 3, 570456, 11999.60, 0, 0.00, 1: 93; 2: 34; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 820,  7, 11,  170, 1, 3, 605692, 11999.60, 41, 0.00, 1: 95; 2: 30; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 506,  7, 10,  170, 1, 3, 557215, 11999.60, 0, 0.00, 1: 95; 2: 30; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 419,  6, 13,  170, 1, 3, 610864, 11999.60, 0, 0.00, 1: 94; 2: 32; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 473,  6, 13,  170, 1, 3, 609826, 11999.60, 0, 0.00, 1: 95; 2: 30; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 376, 10,  7,  170, 1, 3, 557159, 11999.60, 24, 0.00, 1: 97; 2: 26; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo,  22,  7, 11,  170, 1, 3, 604493, 11999.60, 0, 0.00, 1: 92; 2: 36; 3: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 931,  9,  8,  170, 1, 3, 569925, 11999.60, 0, 0.00, 1: 95; 2: 30; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 950,  7, 11,  170, 1, 3, 605297, 11999.60, 0, 0.00, 1: 96; 2: 28; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 373,  7, 11,  170, 1, 3, 605361, 11999.60, 0, 0.00, 1: 97; 2: 26; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 196, 10,  7,  170, 1, 3, 557226, 11999.60, 65, 0.00, 1: 93; 2: 34; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 371,  8,  9,  170, 1, 3, 570316, 11999.60, 0, 0.00, 1: 95; 2: 30; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 431,  7, 11,  170, 1, 3, 605230, 11999.60, 0, 0.00, 1: 96; 2: 28; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 370, 10,  7,  170, 1, 3, 557119, 11999.60, 0, 0.00, 1: 96; 2: 28; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 171,  7, 11,  170, 1, 3, 604823, 11999.60, 0, 0.00, 1: 93; 2: 34; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 789,  8,  9,  171, 1, 3, 570270, 11999.60, 0, 0.00, 1: 94; 2: 31; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 409,  6, 12,  171, 1, 3, 570183, 11999.60, 0, 0.00, 1: 94; 2: 31; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 401,  7, 11,  171, 1, 3, 605046, 11999.60, 0, 0.00, 1: 94; 2: 31; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 482,  9,  8,  171, 1, 3, 570098, 11999.60, 0, 0.00, 1: 93; 2: 33; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 292,  8,  9,  171, 1, 3, 570194, 11999.60, 15, 0.00, 1: 92; 2: 35; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 687,  6, 12,  171, 1, 3, 570509, 11999.60, 0, 0.00, 1: 92; 2: 35; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 301, 10,  7,  171, 1, 3, 557147, 11999.60, 0, 0.00, 1: 93; 2: 33; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 883,  9,  8,  171, 1, 3, 570309, 11999.60, 0, 0.00, 1: 96; 2: 27; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 107,  6, 13,  171, 1, 3, 610543, 11999.60, 0, 0.00, 1: 94; 2: 31; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 882,  7, 11,  171, 1, 3, 605550, 11999.60, 0, 0.00, 1: 93; 2: 33; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 263,  7, 10,  171, 1, 3, 557091, 11999.60, 0, 0.00, 1: 95; 2: 29; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 600,  8,  9,  171, 1, 3, 570433, 11999.60, 40, 0.00, 1: 93; 2: 33; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 470,  7, 10,  171, 1, 3, 557239, 11999.60, 0, 0.00, 1: 95; 2: 29; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 463, 10,  7,  171, 1, 3, 557180, 11999.60, 0, 0.00, 1: 93; 2: 33; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 639,  8,  9,  171, 1, 3, 570025, 11999.60, 0, 0.00, 1: 95; 2: 29; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 859,  6, 13,  171, 1, 3, 610460, 11999.60, 0, 0.00, 1: 92; 2: 35; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 182, 10,  7,  171, 1, 3, 556975, 11999.60, 0, 0.00, 1: 94; 2: 31; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 179,  6, 12,  171, 1, 3, 569936, 11999.60, 0, 0.00, 1: 95; 2: 29; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 436,  6, 12,  171, 1, 3, 570254, 11999.60, 30, 0.00, 1: 93; 2: 33; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 437,  7, 10,  171, 1, 3, 556837, 11999.60, 0, 0.00, 1: 94; 2: 31; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 925,  6, 13,  171, 1, 3, 610684, 11999.60, 0, 0.00, 1: 95; 2: 29; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 368,  8,  9,  171, 1, 3, 570436, 11999.60, 24, 0.00, 1: 90; 2: 39; 3: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 923,  9,  8,  171, 1, 3, 570218, 11999.60, 0, 0.00, 1: 95; 2: 29; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo,  66,  8,  9,  171, 1, 3, 570349, 11999.60, 0, 0.00, 1: 97; 2: 25; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 218, 10,  7,  171, 1, 3, 557202, 11999.60, 0, 0.00, 1: 94; 2: 31; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 565,  6, 13,  171, 1, 3, 610358, 11999.60, 0, 0.00, 1: 95; 2: 29; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 731,  6, 13,  171, 1, 3, 609500, 11999.60, 0, 0.00, 1: 96; 2: 27; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 336,  7, 11,  171, 1, 3, 605245, 11999.60, 22, 0.00, 1: 95; 2: 29; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 713,  7, 10,  171, 1, 3, 557296, 11999.60, 0, 0.00, 1: 94; 2: 31; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 940, 10,  7,  171, 1, 3, 557311, 11999.60, 33, 0.00, 1: 90; 2: 39; 3: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 230,  6, 12,  171, 1, 3, 569952, 11999.60, 0, 0.00, 1: 96; 2: 27; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 166,  8,  9,  171, 1, 3, 569880, 11999.60, 0, 0.00, 1: 91; 2: 37; 3: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 953,  9,  8,  171, 1, 3, 570467, 11999.60, 0, 0.00, 1: 95; 2: 29; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 193, 10,  7,  171, 1, 3, 557168, 11999.60, 0, 0.00, 1: 96; 2: 27; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 795,  9,  8,  171, 1, 3, 570146, 11999.60, 0, 0.00, 1: 93; 2: 33; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 692,  6, 12,  172, 1, 3, 569835, 11999.60, 27, 0.00, 1: 93; 2: 32; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 783,  7, 11,  172, 1, 3, 605430, 11999.60, 0, 0.00, 1: 94; 2: 30; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 214,  8,  9,  172, 1, 3, 570457, 11999.60, 0, 0.00, 1: 92; 2: 34; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 840,  9,  8,  172, 1, 3, 570337, 11999.60, 59, 0.00, 1: 95; 2: 28; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 141,  9,  8,  172, 1, 3, 570444, 11999.60, 0, 0.00, 1: 91; 2: 36; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 792,  9,  8,  172, 1, 3, 569501, 11999.60, 57, 0.00, 1: 94; 2: 30; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 741,  8,  9,  172, 1, 3, 570436, 11999.60, 0, 0.00, 1: 92; 2: 34; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 668,  7, 10,  172, 1, 3, 557325, 11999.60, 36, 0.00, 1: 92; 2: 34; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 751,  9,  8,  172, 1, 3, 570047, 11999.60, 0, 0.00, 1: 93; 2: 32; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 725,  9,  8,  172, 1, 3, 570304, 11999.60, 0, 0.00, 1: 97; 2: 24; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 719, 10,  7,  172, 1, 3, 557101, 11999.60, 0, 0.00, 1: 92; 2: 34; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 239,  9,  8,  172, 1, 3, 570504, 11999.60, 0, 0.00, 1: 92; 2: 34; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 712, 10,  7,  172, 1, 3, 557169, 11999.60, 50, 0.00, 1: 92; 2: 34; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 192,  6, 13,  172, 1, 3, 610438, 11999.60, 11, 0.00, 1: 95; 2: 28; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 786,  7, 11,  172, 1, 3, 604931, 11999.60, 0, 0.00, 1: 92; 2: 34; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 591,  6, 12,  172, 1, 3, 570025, 11999.60, 0, 0.00, 1: 91; 2: 36; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 533,  7, 10,  172, 1, 3, 557187, 11999.60, 0, 0.00, 1: 95; 2: 28; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 536,  6, 13,  172, 1, 3, 610061, 11999.60, 36, 0.00, 1: 93; 2: 32; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 548,  7, 11,  172, 1, 3, 604983, 11999.60, 19, 0.00, 1: 92; 2: 34; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 553,  6, 12,  172, 1, 3, 570479, 11999.60, 0, 0.00, 1: 93; 2: 32; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,  45,  9,  8,  172, 1, 3, 570300, 11999.60, 0, 0.00, 1: 93; 2: 32; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 337,  7, 11,  172, 1, 3, 604697, 11999.60, 0, 0.00, 1: 94; 2: 30; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 911, 10,  7,  172, 1, 3, 557208, 11999.60, 0, 0.00, 1: 95; 2: 28; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 579,  9,  8,  172, 1, 3, 570539, 11999.60, 0, 0.00, 1: 92; 2: 34; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo,  81,  8,  9,  172, 1, 3, 570208, 11999.60, 0, 0.00, 1: 93; 2: 32; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 586,  8,  9,  172, 1, 3, 570199, 11999.60, 0, 0.00, 1: 92; 2: 34; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 945,  7, 10,  172, 1, 3, 557175, 11999.60, 0, 0.00, 1: 94; 2: 30; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 588,  9,  8,  172, 1, 3, 570192, 11999.60, 61, 0.00, 1: 93; 2: 32; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 906,  8,  9,  172, 1, 3, 569801, 11999.60, 0, 0.00, 1: 95; 2: 28; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 394,  9,  8,  172, 1, 3, 570498, 11999.60, 0, 0.00, 1: 91; 2: 36; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 267,  9,  8,  172, 1, 3, 570464, 11999.60, 0, 0.00, 1: 91; 2: 36; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 446,  9,  8,  172, 1, 3, 570052, 11999.60, 0, 0.00, 1: 93; 2: 32; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 290,  9,  8,  172, 1, 3, 570186, 11999.60, 0, 0.00, 1: 93; 2: 32; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 957,  8,  9,  172, 1, 3, 570368, 11999.60, 0, 0.00, 1: 93; 2: 32; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 459,  8,  9,  172, 1, 3, 569696, 11999.60, 0, 0.00, 1: 91; 2: 36; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 303,  6, 12,  172, 1, 3, 570317, 11999.60, 0, 0.00, 1: 92; 2: 34; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 616,  6, 12,  172, 1, 3, 570222, 11999.60, 42, 0.00, 1: 91; 2: 36; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 890,  9,  8,  172, 1, 3, 569943, 11999.60, 0, 0.00, 1: 93; 2: 32; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 310,  9,  8,  172, 1, 3, 570246, 11999.60, 0, 0.00, 1: 92; 2: 34; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 772,  9,  8,  173, 1, 3, 570259, 11999.60, 12, 0.00, 1: 90; 2: 37; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 205,  9,  8,  173, 1, 3, 570310, 11999.60, 0, 0.00, 1: 92; 2: 33; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 379,  7, 11,  173, 1, 3, 604185, 11999.60, 0, 0.00, 1: 92; 2: 33; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 779,  7, 10,  173, 1, 3, 557183, 11999.60, 0, 0.00, 1: 91; 2: 35; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 418, 10,  7,  173, 1, 3, 557223, 11999.60, 0, 0.00, 1: 91; 2: 35; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 753,  8,  9,  173, 1, 3, 570410, 11999.60, 0, 0.00, 1: 92; 2: 33; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 526,  6, 13,  173, 1, 3, 610818, 11999.60, 0, 0.00, 1: 92; 2: 33; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 415,  9,  8,  173, 1, 3, 570028, 11999.60, 0, 0.00, 1: 93; 2: 31; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 414,  7, 11,  173, 1, 3, 605544, 11999.60, 0, 0.00, 1: 92; 2: 33; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 517,  8,  9,  173, 1, 3, 570015, 11999.60, 0, 0.00, 1: 90; 2: 37; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 442,  7, 10,  173, 1, 3, 557135, 11999.60, 0, 0.00, 1: 90; 2: 37; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 511,  8,  9,  173, 1, 3, 570466, 11999.60, 0, 0.00, 1: 93; 2: 31; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 489,  7, 10,  173, 1, 3, 557284, 11999.60, 0, 0.00, 1: 89; 2: 39; 3: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 318, 10,  7,  173, 1, 3, 557113, 11999.60, 0, 0.00, 1: 93; 2: 31; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 659,  8,  9,  173, 1, 3, 570576, 11999.60, 0, 0.00, 1: 92; 2: 33; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 653,  8,  9,  173, 1, 3, 570162, 11999.60, 0, 0.00, 1: 93; 2: 31; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 297,  7, 10,  173, 1, 3, 557022, 11999.60, 0, 0.00, 1: 92; 2: 33; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 676,  6, 12,  173, 1, 3, 570481, 11999.60, 34, 0.00, 1: 92; 2: 33; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 620,  6, 12,  173, 1, 3, 570444, 11999.60, 42, 0.00, 1: 94; 2: 29; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 682,  6, 12,  173, 1, 3, 569478, 11999.60, 0, 0.00, 1: 93; 2: 31; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 308,  7, 10,  173, 1, 3, 557167, 11999.60, 17, 0.00, 1: 93; 2: 31; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 248, 10,  7,  173, 1, 3, 557296, 11999.60, 15, 0.00, 1: 92; 2: 33; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 247,  7, 10,  173, 1, 3, 557274, 11999.60, 0, 0.00, 1: 91; 2: 35; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 691,  7, 10,  173, 1, 3, 557234, 11999.60, 0, 0.00, 1: 95; 2: 27; 3: 8; 
