Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
4(993)
Melhor resultado nxn: Bortezomib_Responses_in_U266_Human_Myelo, 326,  9,  8,  225, 0, 4, 570202, 16660.03, 0, 0.00, 0: 1; 1: 67; 2: 35; 3: 20; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 486,  9,  8,  233, 0, 4, 570301, 16660.03, 0, 0.00, 0: 1; 1: 64; 2: 36; 3: 19; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 789,  8,  9,  234, 0, 4, 570289, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 39; 3: 18; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 763, 10,  7,  234, 0, 4, 557179, 16660.03, 0, 0.00, 0: 1; 1: 60; 2: 42; 3: 18; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 401,  7, 11,  234, 0, 4, 604924, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 41; 3: 14; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 570,  8,  9,  234, 0, 4, 570288, 16660.03, 0, 0.00, 0: 1; 1: 64; 2: 33; 3: 24; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 861,  9,  8,  234, 0, 4, 570279, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 43; 3: 22; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 314, 10,  7,  234, 0, 4, 557150, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 43; 3: 10; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo,   9,  7, 11,  234, 0, 4, 605060, 16660.03, 191, 0.00, 0: 1; 1: 64; 2: 33; 3: 24; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo,  83,  8,  9,  235, 0, 4, 570308, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 39; 3: 17; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo,  87,  7, 11,  235, 0, 4, 604922, 16660.03, 0, 0.00, 0: 1; 1: 65; 2: 35; 3: 16; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo,  66,  8,  9,  235, 0, 4, 570257, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 38; 3: 19; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 790,  9,  8,  235, 0, 4, 570332, 16660.03, 0, 0.00, 0: 1; 1: 63; 2: 36; 3: 20; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 639,  8,  9,  235, 0, 4, 570335, 16660.03, 0, 0.00, 0: 1; 1: 65; 2: 33; 3: 20; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 157, 10,  7,  235, 0, 4, 557236, 16660.03, 0, 0.00, 0: 1; 1: 64; 2: 38; 3: 13; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 118, 10,  7,  235, 0, 4, 557182, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 42; 3: 23; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 927,  8,  9,  235, 0, 4, 570264, 16660.03, 0, 0.00, 0: 1; 1: 61; 2: 41; 3: 16; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 586,  8,  9,  235, 0, 4, 570313, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 35; 3: 25; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 313,  8,  9,  235, 0, 4, 570296, 16660.03, 0, 0.00, 0: 1; 1: 68; 2: 30; 3: 17; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 466, 10,  7,  236, 0, 4, 557140, 16660.03, 0, 0.00, 0: 1; 1: 65; 2: 33; 3: 19; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 849, 10,  7,  236, 0, 4, 557156, 16660.03, 0, 0.00, 0: 1; 1: 61; 2: 39; 3: 19; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 270,  7, 11,  236, 0, 4, 604919, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 37; 3: 20; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 288,  8,  9,  236, 0, 4, 570309, 16660.03, 17, 0.00, 0: 1; 1: 65; 2: 33; 3: 19; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 959,  7, 11,  236, 0, 4, 605010, 16660.03, 0, 0.00, 0: 1; 1: 64; 2: 32; 3: 24; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 998, 10,  7,  236, 0, 4, 557156, 16660.03, 0, 0.00, 0: 1; 1: 64; 2: 33; 3: 22; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 836,  8,  9,  236, 0, 4, 570294, 16660.03, 30, 0.00, 0: 1; 1: 58; 2: 40; 3: 26; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 103,  9,  8,  236, 0, 4, 570313, 16660.03, 0, 0.00, 0: 1; 1: 65; 2: 31; 3: 23; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 929,  8,  9,  236, 0, 4, 570246, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 44; 3: 21; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 117, 10,  7,  236, 0, 4, 557153, 16660.03, 0, 0.00, 0: 1; 1: 63; 2: 36; 3: 19; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 375,  8,  9,  236, 0, 4, 570306, 16660.03, 0, 0.00, 0: 1; 1: 56; 2: 48; 3: 16; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 767,  7, 10,  236, 0, 4, 557194, 16660.03, 0, 0.00, 0: 1; 1: 68; 2: 27; 3: 22; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo,  58,  9,  8,  236, 0, 4, 570282, 16660.03, 0, 0.00, 0: 1; 1: 63; 2: 34; 3: 23; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 681,  8,  9,  236, 0, 4, 570352, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 42; 3: 22; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo,  17,  8,  9,  236, 0, 4, 570215, 16660.03, 248, 0.00, 0: 1; 1: 62; 2: 36; 3: 22; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 600,  8,  9,  236, 0, 4, 570257, 16660.03, 40, 0.00, 0: 1; 1: 62; 2: 38; 3: 18; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 543,  9,  8,  236, 0, 4, 570274, 16660.03, 0, 0.00, 0: 1; 1: 61; 2: 42; 3: 13; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 594,  9,  8,  236, 0, 4, 570316, 16660.03, 0, 0.00, 0: 1; 1: 64; 2: 35; 3: 18; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 490,  8,  9,  236, 0, 4, 570276, 16660.03, 0, 0.00, 0: 1; 1: 65; 2: 31; 3: 23; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 303,  6, 12,  237, 0, 4, 570256, 16660.03, 0, 0.00, 0: 1; 1: 63; 2: 37; 3: 16; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 158,  9,  8,  237, 0, 4, 570274, 16660.03, 0, 0.00, 0: 1; 1: 65; 2: 35; 3: 14; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 604,  8,  9,  237, 0, 4, 570319, 16660.03, 27, 0.00, 0: 1; 1: 65; 2: 33; 3: 18; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 914,  9,  8,  237, 0, 4, 570287, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 38; 3: 17; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 745,  7, 11,  237, 0, 4, 605084, 16660.03, 0, 0.00, 0: 1; 1: 61; 2: 38; 3: 20; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 845,  6, 12,  237, 0, 4, 570294, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 33; 3: 27; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 282,  9,  8,  237, 0, 4, 570301, 16660.03, 0, 0.00, 0: 1; 1: 56; 2: 47; 3: 17; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 947,  7, 11,  237, 0, 4, 604989, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 41; 3: 23; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 563,  7, 11,  237, 0, 4, 604968, 16660.03, 0, 0.00, 0: 1; 1: 63; 2: 34; 3: 22; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo,  99,  7, 11,  237, 0, 4, 604983, 16660.03, 0, 0.00, 0: 1; 1: 63; 2: 34; 3: 22; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 805,  8,  9,  237, 0, 4, 570214, 16660.03, 0, 0.00, 0: 1; 1: 66; 2: 31; 3: 19; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 542, 10,  7,  237, 0, 4, 557180, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 35; 3: 23; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 343,  8,  9,  237, 0, 4, 570291, 16660.03, 0, 0.00, 0: 1; 1: 66; 2: 29; 3: 23; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 552,  8,  9,  237, 0, 4, 570364, 16660.03, 37, 0.00, 0: 1; 1: 63; 2: 36; 3: 18; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 549,  8,  9,  237, 0, 4, 570317, 16660.03, 0, 0.00, 0: 1; 1: 59; 2: 40; 3: 22; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 818, 10,  7,  237, 0, 4, 557165, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 45; 3: 15; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 381,  9,  8,  237, 0, 4, 570319, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 36; 3: 21; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 130, 10,  7,  237, 0, 4, 557187, 16660.03, 0, 0.00, 0: 1; 1: 66; 2: 27; 3: 27; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 660,  7, 10,  237, 0, 4, 557190, 16660.03, 31, 0.00, 0: 1; 1: 64; 2: 34; 3: 19; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 367,  9,  8,  237, 0, 4, 570299, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 36; 3: 21; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 331,  9,  8,  237, 0, 4, 570239, 16660.03, 0, 0.00, 0: 1; 1: 63; 2: 33; 3: 24; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 166,  8,  9,  237, 0, 4, 570276, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 46; 3: 16; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 238,  9,  8,  237, 0, 4, 570320, 16660.03, 0, 0.00, 0: 1; 1: 67; 2: 30; 3: 18; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 503,  7, 11,  237, 0, 4, 605027, 16660.03, 0, 0.00, 0: 1; 1: 63; 2: 37; 3: 16; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 638,  8,  9,  237, 0, 4, 570269, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 44; 3: 17; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 181,  9,  8,  237, 0, 4, 570316, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 37; 3: 19; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 170,  7, 10,  237, 0, 4, 557152, 16660.03, 0, 0.00, 0: 1; 1: 60; 2: 37; 3: 25; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 500, 10,  7,  237, 0, 4, 557160, 16660.03, 60, 0.00, 0: 1; 1: 60; 2: 38; 3: 23; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 474,  7, 11,  237, 0, 4, 605028, 16660.03, 0, 0.00, 0: 1; 1: 60; 2: 41; 3: 17; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 196, 10,  7,  237, 0, 4, 557165, 16660.03, 65, 0.00, 0: 1; 1: 63; 2: 35; 3: 20; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 899,  7, 11,  237, 0, 4, 605060, 16660.03, 0, 0.00, 0: 1; 1: 66; 2: 30; 3: 21; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 480, 10,  7,  237, 0, 4, 557170, 16660.03, 31, 0.00, 0: 1; 1: 62; 2: 36; 3: 21; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 893,  8,  9,  237, 0, 4, 570297, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 34; 3: 25; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 906,  8,  9,  237, 0, 4, 570129, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 36; 3: 21; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 205,  9,  8,  237, 0, 4, 570305, 16660.03, 0, 0.00, 0: 1; 1: 64; 2: 31; 3: 25; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 222,  9,  8,  237, 0, 4, 570245, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 44; 3: 20; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 702,  9,  8,  237, 0, 4, 570280, 16660.03, 0, 0.00, 0: 1; 1: 67; 2: 29; 3: 20; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 208,  9,  8,  238, 0, 4, 570277, 16660.03, 13, 0.00, 0: 1; 1: 60; 2: 40; 3: 18; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 223,  7, 11,  238, 0, 4, 604912, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 45; 3: 17; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 801,  9,  8,  238, 0, 4, 570260, 16660.03, 0, 0.00, 0: 1; 1: 60; 2: 40; 3: 18; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 653,  8,  9,  238, 0, 4, 570312, 16660.03, 0, 0.00, 0: 1; 1: 63; 2: 33; 3: 23; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 345,  7, 11,  238, 0, 4, 605041, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 34; 3: 24; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 589,  7, 10,  238, 0, 4, 557157, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 45; 3: 17; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 171,  7, 11,  238, 0, 4, 604954, 16660.03, 0, 0.00, 0: 1; 1: 61; 2: 40; 3: 15; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 297,  7, 10,  238, 0, 4, 557174, 16660.03, 0, 0.00, 0: 1; 1: 64; 2: 30; 3: 26; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 168,  7, 11,  238, 0, 4, 605009, 16660.03, 10, 0.00, 0: 1; 1: 58; 2: 40; 3: 24; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 167,  7, 11,  238, 0, 4, 604980, 16660.03, 0, 0.00, 0: 1; 1: 60; 2: 41; 3: 16; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 292,  8,  9,  238, 0, 4, 570290, 16660.03, 15, 0.00, 0: 1; 1: 63; 2: 34; 3: 21; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 242,  9,  8,  238, 0, 4, 570329, 16660.03, 0, 0.00, 0: 1; 1: 66; 2: 29; 3: 22; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 648,  8,  9,  238, 0, 4, 570350, 16660.03, 44, 0.00, 0: 1; 1: 62; 2: 35; 3: 22; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 917, 10,  7,  238, 0, 4, 557157, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 38; 3: 16; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 628,  7, 10,  238, 0, 4, 557301, 16660.03, 42, 0.00, 0: 1; 1: 62; 2: 37; 3: 18; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo,   4,  9,  8,  238, 0, 4, 570264, 16660.03, 209, 0.00, 0: 1; 1: 62; 2: 36; 3: 20; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 908,  8,  9,  238, 0, 4, 570288, 16660.03, 57, 0.00, 0: 1; 1: 68; 2: 25; 3: 24; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 615,  9,  8,  238, 0, 4, 570338, 16660.03, 0, 0.00, 0: 1; 1: 63; 2: 35; 3: 19; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 391,  7, 10,  238, 0, 4, 557161, 16660.03, 0, 0.00, 0: 1; 1: 60; 2: 36; 3: 26; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 524,  9,  8,  238, 0, 4, 570250, 16660.03, 32, 0.00, 0: 1; 1: 63; 2: 34; 3: 21; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 724, 10,  7,  238, 0, 4, 557152, 16660.03, 21, 0.00, 0: 1; 1: 62; 2: 34; 3: 24; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 689,  8,  9,  238, 0, 4, 570278, 16660.03, 0, 0.00, 0: 1; 1: 65; 2: 30; 3: 23; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 746,  6, 12,  238, 0, 4, 570306, 16660.03, 0, 0.00, 0: 1; 1: 63; 2: 37; 3: 15; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 417,  9,  8,  238, 0, 4, 570346, 16660.03, 0, 0.00, 0: 1; 1: 59; 2: 42; 3: 17; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 455,  9,  8,  238, 0, 4, 570300, 16660.03, 0, 0.00, 0: 1; 1: 66; 2: 29; 3: 22; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 514,  9,  8,  238, 0, 4, 570224, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 35; 3: 22; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 532, 10,  7,  238, 0, 4, 557164, 16660.03, 39, 0.00, 0: 1; 1: 62; 2: 38; 3: 16; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 941,  7, 10,  238, 0, 4, 557192, 16660.03, 0, 0.00, 0: 1; 1: 64; 2: 31; 3: 24; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo,  38,  7, 10,  238, 0, 4, 557156, 16660.03, 0, 0.00, 0: 1; 1: 64; 2: 31; 3: 24; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 940, 10,  7,  238, 0, 4, 557168, 16660.03, 33, 0.00, 0: 1; 1: 68; 2: 24; 3: 26; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 890,  9,  8,  238, 0, 4, 570235, 16660.03, 0, 0.00, 0: 1; 1: 68; 2: 29; 3: 16; 4: 16; 
Bortezomib_Responses_in_U266_Human_Myelo, 374,  7, 11,  238, 0, 4, 604946, 16660.03, 0, 0.00, 0: 1; 1: 59; 2: 41; 3: 19; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 366,  7, 11,  238, 0, 4, 604965, 16660.03, 0, 0.00, 0: 1; 1: 60; 2: 40; 3: 18; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo,  86,  9,  8,  238, 0, 4, 570322, 16660.03, 0, 0.00, 0: 1; 1: 59; 2: 45; 3: 11; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 997,  8,  9,  238, 0, 4, 570276, 16660.03, 0, 0.00, 0: 1; 1: 67; 2: 29; 3: 19; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 957,  8,  9,  238, 0, 4, 570321, 16660.03, 0, 0.00, 0: 1; 1: 61; 2: 34; 3: 27; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 630,  7, 10,  238, 0, 4, 557181, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 41; 3: 22; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo,  62,  7, 10,  238, 0, 4, 557143, 16660.03, 0, 0.00, 0: 1; 1: 59; 2: 42; 3: 17; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 950,  7, 11,  239, 0, 4, 605013, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 31; 3: 29; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 156,  9,  8,  239, 0, 4, 570263, 16660.03, 44, 0.00, 0: 1; 1: 62; 2: 37; 3: 17; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 444,  7, 10,  239, 0, 4, 557167, 16660.03, 47, 0.00, 0: 1; 1: 60; 2: 40; 3: 17; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 253,  7, 10,  239, 0, 4, 557204, 16660.03, 0, 0.00, 0: 1; 1: 63; 2: 30; 3: 28; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 529,  9,  8,  239, 0, 4, 570293, 16660.03, 0, 0.00, 0: 1; 1: 60; 2: 37; 3: 23; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 446,  9,  8,  239, 0, 4, 570216, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 41; 3: 21; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 347,  9,  8,  239, 0, 4, 570247, 16660.03, 0, 0.00, 0: 1; 1: 63; 2: 36; 3: 16; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 449,  7, 10,  239, 0, 4, 557137, 16660.03, 0, 0.00, 0: 1; 1: 64; 2: 31; 3: 23; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 453,  9,  8,  239, 0, 4, 570235, 16660.03, 0, 0.00, 0: 1; 1: 63; 2: 33; 3: 22; 4: 11; 
