Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
3(324)
Melhor resultado nxn: Bortezomib_Responses_in_U266_Human_Myelo, 820,  7, 11,  175, 1, 3, 605299, 16942.19, 41, 0.00, 1: 90; 2: 35; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 984,  8,  9,  179, 1, 3, 570429, 16942.19, 64, 0.00, 1: 89; 2: 33; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 772,  9,  8,  180, 1, 3, 570120, 16942.19, 12, 0.00, 1: 86; 2: 38; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 371,  8,  9,  180, 1, 3, 570293, 16942.19, 0, 0.00, 1: 84; 2: 42; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 588,  9,  8,  180, 1, 3, 570283, 16942.19, 61, 0.00, 1: 84; 2: 42; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 657,  8,  9,  180, 1, 3, 570291, 16942.19, 0, 0.00, 1: 86; 2: 38; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 578,  9,  8,  180, 1, 3, 570226, 16942.19, 0, 0.00, 1: 86; 2: 38; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 267,  9,  8,  180, 1, 3, 570292, 16942.19, 0, 0.00, 1: 85; 2: 40; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 623,  9,  8,  180, 1, 3, 570392, 16942.19, 0, 0.00, 1: 90; 2: 30; 3: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 398,  8,  9,  180, 1, 3, 570151, 16942.19, 0, 0.00, 1: 85; 2: 40; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 142,  6, 12,  180, 1, 3, 570356, 16942.19, 0, 0.00, 1: 88; 2: 34; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 153,  9,  8,  180, 1, 3, 570272, 16942.19, 0, 0.00, 1: 83; 2: 44; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 737,  9,  8,  180, 1, 3, 570233, 16942.19, 0, 0.00, 1: 87; 2: 36; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 681,  8,  9,  180, 1, 3, 570325, 16942.19, 0, 0.00, 1: 84; 2: 42; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 481,  8,  9,  180, 1, 3, 570370, 16942.19, 0, 0.00, 1: 83; 2: 44; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 924,  9,  8,  180, 1, 3, 570358, 16942.19, 7, 0.00, 1: 85; 2: 40; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 925,  6, 13,  180, 1, 3, 610285, 16942.19, 0, 0.00, 1: 87; 2: 36; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 993,  7, 11,  180, 1, 3, 604779, 16942.19, 0, 0.00, 1: 87; 2: 36; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo,  99,  7, 11,  180, 1, 3, 604907, 16942.19, 0, 0.00, 1: 85; 2: 40; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,  27,  8,  9,  180, 1, 3, 570291, 16942.19, 25, 0.00, 1: 90; 2: 30; 3: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 439,  6, 13,  181, 1, 3, 610371, 16942.19, 0, 0.00, 1: 85; 2: 39; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 550,  6, 13,  181, 1, 3, 610041, 16942.19, 0, 0.00, 1: 85; 2: 39; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo,  53,  7, 11,  181, 1, 3, 605223, 16942.19, 0, 0.00, 1: 87; 2: 35; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 426,  9,  8,  181, 1, 3, 570200, 16942.19, 0, 0.00, 1: 86; 2: 37; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 931,  9,  8,  181, 1, 3, 570377, 16942.19, 0, 0.00, 1: 86; 2: 37; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 513,  9,  8,  181, 1, 3, 570421, 16942.19, 0, 0.00, 1: 86; 2: 37; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 713,  7, 10,  181, 1, 3, 557182, 16942.19, 0, 0.00, 1: 87; 2: 35; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 982,  8,  9,  181, 1, 3, 570303, 16942.19, 0, 0.00, 1: 85; 2: 39; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 110,  7, 10,  181, 1, 3, 557206, 16942.19, 0, 0.00, 1: 84; 2: 41; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 586,  8,  9,  181, 1, 3, 570476, 16942.19, 0, 0.00, 1: 84; 2: 41; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 292,  8,  9,  181, 1, 3, 570223, 16942.19, 15, 0.00, 1: 87; 2: 35; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 337,  7, 11,  181, 1, 3, 604831, 16942.19, 0, 0.00, 1: 88; 2: 33; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 484,  7, 10,  181, 1, 3, 557125, 16942.19, 58, 0.00, 1: 86; 2: 37; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 595,  9,  8,  181, 1, 3, 570420, 16942.19, 0, 0.00, 1: 86; 2: 37; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 638,  8,  9,  181, 1, 3, 570277, 16942.19, 0, 0.00, 1: 86; 2: 37; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 777,  7, 10,  181, 1, 3, 557235, 16942.19, 0, 0.00, 1: 85; 2: 39; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 103,  9,  8,  181, 1, 3, 570224, 16942.19, 0, 0.00, 1: 86; 2: 37; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 863,  6, 12,  181, 1, 3, 570377, 16942.19, 0, 0.00, 1: 85; 2: 39; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 851,  7, 10,  181, 1, 3, 557158, 16942.19, 0, 0.00, 1: 85; 2: 39; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 914,  9,  8,  181, 1, 3, 570284, 16942.19, 0, 0.00, 1: 85; 2: 39; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 883,  9,  8,  181, 1, 3, 570177, 16942.19, 0, 0.00, 1: 86; 2: 37; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 821,  9,  8,  181, 1, 3, 570304, 16942.19, 0, 0.00, 1: 85; 2: 39; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 890,  9,  8,  181, 1, 3, 570350, 16942.19, 0, 0.00, 1: 84; 2: 41; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 222,  9,  8,  181, 1, 3, 570232, 16942.19, 0, 0.00, 1: 86; 2: 37; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 471,  6, 13,  182, 1, 3, 610195, 16942.19, 0, 0.00, 1: 85; 2: 38; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 548,  7, 11,  182, 1, 3, 605027, 16942.19, 19, 0.00, 1: 89; 2: 30; 3: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 421,  8,  9,  182, 1, 3, 570176, 16942.19, 0, 0.00, 1: 82; 2: 44; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 593,  6, 12,  182, 1, 3, 570356, 16942.19, 0, 0.00, 1: 83; 2: 42; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,  80,  6, 13,  182, 1, 3, 610200, 16942.19, 3, 0.00, 1: 87; 2: 34; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 555,  7, 10,  182, 1, 3, 557249, 16942.19, 0, 0.00, 1: 86; 2: 36; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 558,  9,  8,  182, 1, 3, 570362, 16942.19, 0, 0.00, 1: 83; 2: 42; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 524,  9,  8,  182, 1, 3, 570271, 16942.19, 32, 0.00, 1: 84; 2: 40; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 493,  9,  8,  182, 1, 3, 570329, 16942.19, 0, 0.00, 1: 83; 2: 42; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 424,  7, 11,  182, 1, 3, 604454, 16942.19, 28, 0.00, 1: 84; 2: 40; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 514,  9,  8,  182, 1, 3, 570274, 16942.19, 0, 0.00, 1: 84; 2: 40; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 392,  8,  9,  182, 1, 3, 570329, 16942.19, 25, 0.00, 1: 84; 2: 40; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 568,  6, 12,  182, 1, 3, 570384, 16942.19, 39, 0.00, 1: 87; 2: 34; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 570,  8,  9,  182, 1, 3, 570302, 16942.19, 0, 0.00, 1: 86; 2: 36; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 377, 10,  7,  182, 1, 3, 557201, 16942.19, 0, 0.00, 1: 84; 2: 40; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 824,  9,  8,  182, 1, 3, 570350, 16942.19, 59, 0.00, 1: 85; 2: 38; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 161,  7, 10,  182, 1, 3, 557093, 16942.19, 0, 0.00, 1: 86; 2: 36; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo,  15,  8,  9,  182, 1, 3, 570251, 16942.19, 0, 0.00, 1: 85; 2: 38; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 916,  8,  9,  182, 1, 3, 570309, 16942.19, 43, 0.00, 1: 84; 2: 40; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo,  23,  8,  9,  182, 1, 3, 570294, 16942.19, 0, 0.00, 1: 87; 2: 34; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 894,  9,  8,  182, 1, 3, 570315, 16942.19, 0, 0.00, 1: 85; 2: 38; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 968,  7, 11,  182, 1, 3, 605232, 16942.19, 64, 0.00, 1: 85; 2: 38; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 157, 10,  7,  182, 1, 3, 557149, 16942.19, 0, 0.00, 1: 83; 2: 42; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 208,  9,  8,  182, 1, 3, 570316, 16942.19, 13, 0.00, 1: 84; 2: 40; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo,  31,  8,  9,  182, 1, 3, 570305, 16942.19, 0, 0.00, 1: 84; 2: 40; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 154,  6, 13,  182, 1, 3, 610073, 16942.19, 0, 0.00, 1: 87; 2: 34; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo,  35, 10,  7,  182, 1, 3, 557187, 16942.19, 0, 0.00, 1: 85; 2: 38; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 168,  7, 11,  182, 1, 3, 605151, 16942.19, 10, 0.00, 1: 87; 2: 34; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo,  39, 10,  7,  182, 1, 3, 557261, 16942.19, 0, 0.00, 1: 86; 2: 36; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 836,  8,  9,  182, 1, 3, 570258, 16942.19, 30, 0.00, 1: 84; 2: 40; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 239,  9,  8,  182, 1, 3, 570253, 16942.19, 0, 0.00, 1: 85; 2: 38; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 257,  6, 12,  182, 1, 3, 570183, 16942.19, 0, 0.00, 1: 87; 2: 34; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 795,  9,  8,  182, 1, 3, 570218, 16942.19, 0, 0.00, 1: 83; 2: 42; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,   4,  9,  8,  182, 1, 3, 570377, 16942.19, 74, 0.00, 1: 87; 2: 34; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 789,  8,  9,  182, 1, 3, 570450, 16942.19, 0, 0.00, 1: 84; 2: 40; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo,  62,  7, 10,  182, 1, 3, 557198, 16942.19, 0, 0.00, 1: 83; 2: 42; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 675,  6, 12,  182, 1, 3, 570331, 16942.19, 0, 0.00, 1: 84; 2: 40; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo,  64,  9,  8,  182, 1, 3, 570428, 16942.19, 1, 0.00, 1: 85; 2: 38; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 166,  8,  9,  182, 1, 3, 570162, 16942.19, 0, 0.00, 1: 88; 2: 32; 3: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 135, 10,  7,  182, 1, 3, 557164, 16942.19, 0, 0.00, 1: 85; 2: 38; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 650,  6, 13,  182, 1, 3, 610486, 16942.19, 0, 0.00, 1: 85; 2: 38; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 579,  9,  8,  183, 1, 3, 570384, 16942.19, 0, 0.00, 1: 86; 2: 35; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 167,  7, 11,  183, 1, 3, 604991, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 434,  9,  8,  183, 1, 3, 570397, 16942.19, 0, 0.00, 1: 83; 2: 41; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 116,  7, 10,  183, 1, 3, 557237, 16942.19, 6, 0.00, 1: 86; 2: 35; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 335,  6, 13,  183, 1, 3, 610465, 16942.19, 0, 0.00, 1: 86; 2: 35; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 169, 10,  7,  183, 1, 3, 557163, 16942.19, 0, 0.00, 1: 83; 2: 41; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 160,  6, 12,  183, 1, 3, 570299, 16942.19, 9, 0.00, 1: 83; 2: 41; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 159, 10,  7,  183, 1, 3, 557152, 16942.19, 0, 0.00, 1: 82; 2: 43; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 218, 10,  7,  183, 1, 3, 557176, 16942.19, 0, 0.00, 1: 86; 2: 35; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 386,  7, 11,  183, 1, 3, 604944, 16942.19, 0, 0.00, 1: 84; 2: 39; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 295,  7, 10,  183, 1, 3, 557201, 16942.19, 0, 0.00, 1: 84; 2: 39; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 136,  5, 15,  183, 1, 3, 590484, 16942.19, 7, 0.00, 1: 86; 2: 35; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 369,  9,  8,  183, 1, 3, 570389, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 319,  8,  9,  183, 1, 3, 570396, 16942.19, 0, 0.00, 1: 84; 2: 39; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 473,  6, 13,  183, 1, 3, 609952, 16942.19, 0, 0.00, 1: 84; 2: 39; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 800,  8,  9,  183, 1, 3, 570209, 16942.19, 57, 0.00, 1: 83; 2: 41; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 815, 10,  7,  183, 1, 3, 557181, 16942.19, 0, 0.00, 1: 87; 2: 33; 3: 10; 
Bortezomib_Responses_in_U266_Human_Myelo,  37,  7, 10,  183, 1, 3, 557229, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 666,  6, 12,  183, 1, 3, 570543, 16942.19, 0, 0.00, 1: 83; 2: 41; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 664,  6, 13,  183, 1, 3, 609775, 16942.19, 45, 0.00, 1: 86; 2: 35; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 870,  6, 13,  183, 1, 3, 610128, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 615,  9,  8,  183, 1, 3, 570241, 16942.19, 0, 0.00, 1: 84; 2: 39; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 876,  8,  9,  183, 1, 3, 570479, 16942.19, 24, 0.00, 1: 81; 2: 45; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 942,  9,  8,  183, 1, 3, 570283, 16942.19, 0, 0.00, 1: 84; 2: 39; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 951, 10,  7,  183, 1, 3, 557074, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 567,  7, 11,  183, 1, 3, 604983, 16942.19, 0, 0.00, 1: 81; 2: 45; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 574,  8,  9,  183, 1, 3, 570278, 16942.19, 0, 0.00, 1: 86; 2: 35; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 985,  6, 12,  183, 1, 3, 570212, 16942.19, 0, 0.00, 1: 84; 2: 39; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 562,  8,  9,  183, 1, 3, 570443, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 554,  8,  9,  183, 1, 3, 570343, 16942.19, 0, 0.00, 1: 82; 2: 43; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 489,  7, 10,  183, 1, 3, 557172, 16942.19, 0, 0.00, 1: 84; 2: 39; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 495,  6, 13,  183, 1, 3, 610335, 16942.19, 0, 0.00, 1: 83; 2: 41; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 523, 10,  7,  183, 1, 3, 557165, 16942.19, 0, 0.00, 1: 86; 2: 35; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 763, 10,  7,  184, 1, 3, 557029, 16942.19, 0, 0.00, 1: 83; 2: 40; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 999,  6, 12,  184, 1, 3, 570467, 16942.19, 0, 0.00, 1: 83; 2: 40; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 845,  6, 12,  184, 1, 3, 570346, 16942.19, 0, 0.00, 1: 86; 2: 34; 3: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 220,  5, 15,  184, 1, 3, 590631, 16942.19, 10, 0.00, 1: 84; 2: 38; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 449,  7, 10,  184, 1, 3, 557201, 16942.19, 0, 0.00, 1: 81; 2: 44; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 861,  9,  8,  184, 1, 3, 570330, 16942.19, 0, 0.00, 1: 80; 2: 46; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 864, 10,  7,  184, 1, 3, 557056, 16942.19, 61, 0.00, 1: 84; 2: 38; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 998, 10,  7,  184, 1, 3, 557178, 16942.19, 0, 0.00, 1: 84; 2: 38; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 189,  7, 10,  184, 1, 3, 557120, 16942.19, 0, 0.00, 1: 83; 2: 40; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 873,  6, 13,  184, 1, 3, 610186, 16942.19, 0, 0.00, 1: 82; 2: 42; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 171,  7, 11,  184, 1, 3, 604957, 16942.19, 0, 0.00, 1: 82; 2: 42; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 906,  8,  9,  184, 1, 3, 570308, 16942.19, 0, 0.00, 1: 84; 2: 38; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 944,  9,  8,  184, 1, 3, 570223, 16942.19, 63, 0.00, 1: 84; 2: 38; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 635,  9,  8,  184, 1, 3, 570268, 16942.19, 0, 0.00, 1: 84; 2: 38; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 515,  7, 10,  184, 1, 3, 557179, 16942.19, 0, 0.00, 1: 83; 2: 40; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 529,  9,  8,  184, 1, 3, 570319, 16942.19, 0, 0.00, 1: 85; 2: 36; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 394,  9,  8,  184, 1, 3, 570288, 16942.19, 0, 0.00, 1: 84; 2: 38; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 382,  7, 10,  184, 1, 3, 557225, 16942.19, 0, 0.00, 1: 82; 2: 42; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 576,  6, 12,  184, 1, 3, 570361, 16942.19, 39, 0.00, 1: 84; 2: 38; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 500, 10,  7,  184, 1, 3, 557114, 16942.19, 60, 0.00, 1: 85; 2: 36; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 596,  7, 10,  184, 1, 3, 557151, 16942.19, 14, 0.00, 1: 83; 2: 40; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 603,  9,  8,  184, 1, 3, 570175, 16942.19, 0, 0.00, 1: 84; 2: 38; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 627,  7, 10,  184, 1, 3, 557204, 16942.19, 0, 0.00, 1: 83; 2: 40; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 263,  7, 10,  184, 1, 3, 557194, 16942.19, 0, 0.00, 1: 83; 2: 40; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 653,  8,  9,  184, 1, 3, 570371, 16942.19, 0, 0.00, 1: 82; 2: 42; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 660,  7, 10,  184, 1, 3, 557163, 16942.19, 31, 0.00, 1: 84; 2: 38; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 316, 10,  7,  184, 1, 3, 557169, 16942.19, 62, 0.00, 1: 85; 2: 36; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 312,  9,  8,  184, 1, 3, 570254, 16942.19, 20, 0.00, 1: 81; 2: 44; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 288,  8,  9,  184, 1, 3, 570317, 16942.19, 17, 0.00, 1: 80; 2: 46; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 676,  6, 12,  184, 1, 3, 570363, 16942.19, 34, 0.00, 1: 84; 2: 38; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 279,  9,  8,  184, 1, 3, 570234, 16942.19, 0, 0.00, 1: 86; 2: 34; 3: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 751,  9,  8,  184, 1, 3, 570175, 16942.19, 0, 0.00, 1: 82; 2: 42; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 756,  6, 13,  184, 1, 3, 610219, 16942.19, 48, 0.00, 1: 84; 2: 38; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo,   8, 10,  7,  184, 1, 3, 557118, 16942.19, 208, 0.00, 1: 85; 2: 36; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 115,  6, 13,  184, 1, 3, 609935, 16942.19, 0, 0.00, 1: 85; 2: 36; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo,  28,  6, 12,  184, 1, 3, 570297, 16942.19, 71, 0.00, 1: 84; 2: 38; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 141,  9,  8,  184, 1, 3, 570171, 16942.19, 0, 0.00, 1: 84; 2: 38; 3: 8; 
