Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
103(216)
Melhor resultado nxn: CD4_T_cell_signaling, 432, 14, 14,  500, 1, 3, 1583856, 33154.60, 29, 0.00, 1: 210; 2: 118; 3: 18; 
CD4_T_cell_signaling, 652, 15, 13,  511, 1, 3, 1568136, 33154.60, 102, 0.00, 1: 202; 2: 123; 3: 21; 
CD4_T_cell_signaling, 227, 12, 17,  511, 1, 3, 1626444, 33154.60, 0, 0.00, 1: 204; 2: 119; 3: 23; 
CD4_T_cell_signaling, 239, 11, 18,  512, 1, 3, 1595527, 33154.60, 0, 0.00, 1: 195; 2: 136; 3: 15; 
CD4_T_cell_signaling, 385, 12, 16,  512, 1, 3, 1539728, 33154.60, 0, 0.00, 1: 200; 2: 126; 3: 20; 
CD4_T_cell_signaling,   7, 12, 17,  512, 1, 3, 1626061, 33154.60, 0, 0.00, 1: 195; 2: 136; 3: 15; 
CD4_T_cell_signaling, 380, 10, 20,  512, 1, 3, 1606496, 33154.60, 186, 0.00, 1: 202; 2: 122; 3: 22; 
CD4_T_cell_signaling,  39,  9, 22,  512, 1, 3, 1595640, 33154.60, 0, 0.00, 1: 198; 2: 130; 3: 18; 
CD4_T_cell_signaling, 343, 14, 14,  512, 1, 3, 1583766, 33154.60, 0, 0.00, 1: 204; 2: 118; 3: 24; 
CD4_T_cell_signaling, 306,  8, 25,  512, 1, 3, 1606396, 33154.60, 0, 0.00, 1: 205; 2: 116; 3: 25; 
CD4_T_cell_signaling, 425, 11, 18,  512, 1, 3, 1595492, 33154.60, 0, 0.00, 1: 201; 2: 124; 3: 21; 
CD4_T_cell_signaling, 444, 13, 15,  512, 1, 3, 1568325, 33154.60, 155, 0.00, 1: 198; 2: 130; 3: 18; 
CD4_T_cell_signaling, 145, 11, 18,  512, 1, 3, 1595631, 33154.60, 0, 0.00, 1: 200; 2: 126; 3: 20; 
CD4_T_cell_signaling, 436, 12, 17,  512, 1, 3, 1626132, 33154.60, 1, 0.00, 1: 198; 2: 130; 3: 18; 
CD4_T_cell_signaling, 333, 10, 20,  512, 1, 3, 1606512, 33154.60, 0, 0.00, 1: 199; 2: 128; 3: 19; 
CD4_T_cell_signaling, 635, 15, 13,  513, 1, 3, 1568206, 33154.60, 0, 0.00, 1: 204; 2: 117; 3: 25; 
CD4_T_cell_signaling, 121, 10, 20,  513, 1, 3, 1606596, 33154.60, 0, 0.00, 1: 198; 2: 129; 3: 19; 
CD4_T_cell_signaling, 584, 13, 15,  513, 1, 3, 1568230, 33154.60, 38, 0.00, 1: 198; 2: 129; 3: 19; 
CD4_T_cell_signaling, 903, 16, 12,  513, 1, 3, 1539686, 33154.60, 0, 0.00, 1: 203; 2: 119; 3: 24; 
CD4_T_cell_signaling, 139, 14, 14,  513, 1, 3, 1583880, 33154.60, 0, 0.00, 1: 203; 2: 119; 3: 24; 
CD4_T_cell_signaling, 161, 10, 20,  513, 1, 3, 1606380, 33154.60, 0, 0.00, 1: 199; 2: 127; 3: 20; 
CD4_T_cell_signaling, 449, 13, 15,  513, 1, 3, 1568128, 33154.60, 0, 0.00, 1: 199; 2: 127; 3: 20; 
CD4_T_cell_signaling, 728,  9, 21,  513, 1, 3, 1527876, 33154.60, 48, 0.00, 1: 207; 2: 111; 3: 28; 
CD4_T_cell_signaling,  34, 10, 20,  513, 1, 3, 1606743, 33154.60, 0, 0.00, 1: 201; 2: 123; 3: 22; 
CD4_T_cell_signaling, 811,  9, 21,  514, 1, 3, 1527876, 33154.60, 0, 0.00, 1: 199; 2: 126; 3: 21; 
CD4_T_cell_signaling, 663, 14, 14,  514, 1, 3, 1583845, 33154.60, 0, 0.00, 1: 196; 2: 132; 3: 18; 
CD4_T_cell_signaling, 977, 12, 16,  514, 1, 3, 1539720, 33154.60, 0, 0.00, 1: 193; 2: 138; 3: 15; 
CD4_T_cell_signaling, 688, 13, 15,  514, 1, 3, 1568218, 33154.60, 43, 0.00, 1: 202; 2: 120; 3: 24; 
CD4_T_cell_signaling, 855, 12, 17,  514, 1, 3, 1626362, 33154.60, 0, 0.00, 1: 199; 2: 126; 3: 21; 
CD4_T_cell_signaling, 876, 14, 14,  514, 1, 3, 1584007, 33154.60, 65, 0.00, 1: 197; 2: 130; 3: 19; 
CD4_T_cell_signaling, 111,  9, 23,  514, 1, 3, 1649782, 33154.60, 0, 0.00, 1: 200; 2: 124; 3: 22; 
CD4_T_cell_signaling, 427,  8, 26,  514, 1, 3, 1664086, 33154.60, 0, 0.00, 1: 200; 2: 124; 3: 22; 
CD4_T_cell_signaling, 843, 10, 20,  515, 1, 3, 1606312, 33154.60, 0, 0.00, 1: 198; 2: 127; 3: 21; 
CD4_T_cell_signaling, 440,  9, 21,  515, 1, 3, 1527876, 33154.60, 31, 0.00, 1: 196; 2: 131; 3: 19; 
CD4_T_cell_signaling,  82, 12, 17,  515, 1, 3, 1626159, 33154.60, 0, 0.00, 1: 199; 2: 125; 3: 22; 
CD4_T_cell_signaling, 885, 11, 18,  515, 1, 3, 1595467, 33154.60, 0, 0.00, 1: 204; 2: 115; 3: 27; 
CD4_T_cell_signaling, 979, 12, 17,  515, 1, 3, 1626189, 33154.60, 0, 0.00, 1: 199; 2: 125; 3: 22; 
CD4_T_cell_signaling,   8,  9, 22,  515, 1, 3, 1595251, 33154.60, 128, 0.00, 1: 198; 2: 127; 3: 21; 
CD4_T_cell_signaling, 657, 14, 14,  515, 1, 3, 1583826, 33154.60, 0, 0.00, 1: 197; 2: 129; 3: 20; 
CD4_T_cell_signaling, 711, 10, 19,  516, 1, 3, 1526089, 33154.60, 0, 0.00, 1: 199; 2: 124; 3: 23; 
CD4_T_cell_signaling, 110,  8, 25,  516, 1, 3, 1606710, 33154.60, 0, 0.00, 1: 203; 2: 116; 3: 27; 
CD4_T_cell_signaling, 750, 13, 15,  516, 1, 3, 1568159, 33154.60, 0, 0.00, 1: 194; 2: 134; 3: 18; 
CD4_T_cell_signaling, 706, 16, 12,  516, 1, 3, 1539767, 33154.60, 0, 0.00, 1: 198; 2: 126; 3: 22; 
CD4_T_cell_signaling, 419, 15, 13,  516, 1, 3, 1568195, 33154.60, 0, 0.00, 1: 195; 2: 132; 3: 19; 
CD4_T_cell_signaling, 969, 12, 17,  516, 1, 3, 1625932, 33154.60, 0, 0.00, 1: 192; 2: 138; 3: 16; 
CD4_T_cell_signaling, 933,  9, 21,  517, 1, 3, 1527876, 33154.60, 0, 0.00, 1: 201; 2: 119; 3: 26; 
CD4_T_cell_signaling, 819, 16, 12,  517, 1, 3, 1539665, 33154.60, 0, 0.00, 1: 193; 2: 135; 3: 18; 
CD4_T_cell_signaling, 202,  9, 21,  517, 1, 3, 1527876, 33154.60, 0, 0.00, 1: 206; 2: 109; 3: 31; 
CD4_T_cell_signaling, 801,  9, 23,  517, 1, 3, 1649722, 33154.60, 0, 0.00, 1: 200; 2: 121; 3: 25; 
CD4_T_cell_signaling,  62,  8, 25,  517, 1, 3, 1606590, 33154.60, 0, 0.00, 1: 199; 2: 123; 3: 24; 
CD4_T_cell_signaling, 938, 16, 12,  517, 1, 3, 1539769, 33154.60, 0, 0.00, 1: 202; 2: 117; 3: 27; 
CD4_T_cell_signaling, 849, 16, 12,  518, 1, 3, 1539770, 33154.60, 0, 0.00, 1: 202; 2: 116; 3: 28; 
CD4_T_cell_signaling,  43, 12, 17,  518, 1, 3, 1626277, 33154.60, 0, 0.00, 1: 199; 2: 122; 3: 25; 
CD4_T_cell_signaling, 624, 13, 15,  518, 1, 3, 1568121, 33154.60, 39, 0.00, 1: 193; 2: 134; 3: 19; 
CD4_T_cell_signaling, 213, 10, 20,  518, 1, 3, 1606634, 33154.60, 0, 0.00, 1: 193; 2: 134; 3: 19; 
CD4_T_cell_signaling, 403, 10, 19,  518, 1, 3, 1526079, 33154.60, 0, 0.00, 1: 196; 2: 128; 3: 22; 
CD4_T_cell_signaling, 508, 12, 17,  518, 1, 3, 1626327, 33154.60, 78, 0.00, 1: 197; 2: 126; 3: 23; 
CD4_T_cell_signaling, 762, 15, 13,  518, 1, 3, 1568297, 33154.60, 0, 0.00, 1: 192; 2: 136; 3: 18; 
CD4_T_cell_signaling, 287,  9, 23,  518, 1, 3, 1649532, 33154.60, 0, 0.00, 1: 204; 2: 112; 3: 30; 
CD4_T_cell_signaling, 223,  9, 21,  518, 1, 3, 1527876, 33154.60, 0, 0.00, 1: 196; 2: 128; 3: 22; 
CD4_T_cell_signaling, 331, 11, 18,  519, 1, 3, 1595575, 33154.60, 0, 0.00, 1: 193; 2: 133; 3: 20; 
CD4_T_cell_signaling, 434, 15, 13,  519, 1, 3, 1568137, 33154.60, 0, 0.00, 1: 196; 2: 127; 3: 23; 
CD4_T_cell_signaling, 846, 10, 20,  519, 1, 3, 1606603, 33154.60, 0, 0.00, 1: 198; 2: 123; 3: 25; 
CD4_T_cell_signaling, 622,  8, 25,  519, 1, 3, 1606604, 33154.60, 0, 0.00, 1: 197; 2: 125; 3: 24; 
CD4_T_cell_signaling, 474, 12, 16,  519, 1, 3, 1539657, 33154.60, 0, 0.00, 1: 196; 2: 127; 3: 23; 
CD4_T_cell_signaling, 470,  8, 25,  519, 1, 3, 1606557, 33154.60, 0, 0.00, 1: 199; 2: 121; 3: 26; 
CD4_T_cell_signaling, 421, 14, 14,  519, 1, 3, 1583666, 33154.60, 0, 0.00, 1: 192; 2: 135; 3: 19; 
CD4_T_cell_signaling, 271, 10, 20,  520, 1, 3, 1606549, 33154.60, 0, 0.00, 1: 194; 2: 130; 3: 22; 
CD4_T_cell_signaling, 618, 16, 12,  520, 1, 3, 1539757, 33154.60, 0, 0.00, 1: 197; 2: 124; 3: 25; 
CD4_T_cell_signaling, 996,  8, 26,  520, 1, 3, 1664190, 33154.60, 108, 0.00, 1: 197; 2: 124; 3: 25; 
CD4_T_cell_signaling, 106, 16, 12,  520, 1, 3, 1539580, 33154.60, 0, 0.00, 1: 198; 2: 122; 3: 26; 
CD4_T_cell_signaling,  59, 15, 13,  520, 1, 3, 1568275, 33154.60, 0, 0.00, 1: 192; 2: 134; 3: 20; 
CD4_T_cell_signaling, 350, 13, 15,  520, 1, 3, 1568246, 33154.60, 0, 0.00, 1: 192; 2: 134; 3: 20; 
CD4_T_cell_signaling, 578, 15, 13,  520, 1, 3, 1568150, 33154.60, 0, 0.00, 1: 196; 2: 126; 3: 24; 
CD4_T_cell_signaling, 778, 13, 15,  520, 1, 3, 1568130, 33154.60, 0, 0.00, 1: 198; 2: 122; 3: 26; 
CD4_T_cell_signaling, 707, 13, 15,  520, 1, 3, 1568068, 33154.60, 0, 0.00, 1: 194; 2: 130; 3: 22; 
CD4_T_cell_signaling, 538, 15, 13,  521, 1, 3, 1568290, 33154.60, 0, 0.00, 1: 198; 2: 121; 3: 27; 
CD4_T_cell_signaling, 176,  8, 24,  521, 1, 3, 1539718, 33154.60, 13, 0.00, 1: 199; 2: 119; 3: 28; 
CD4_T_cell_signaling, 386,  9, 21,  521, 1, 3, 1527876, 33154.60, 0, 0.00, 1: 192; 2: 133; 3: 21; 
CD4_T_cell_signaling, 629,  8, 26,  521, 1, 3, 1664414, 33154.60, 0, 0.00, 1: 194; 2: 129; 3: 23; 
CD4_T_cell_signaling, 156, 15, 13,  522, 1, 3, 1568008, 33154.60, 13, 0.00, 1: 199; 2: 118; 3: 29; 
CD4_T_cell_signaling, 608,  9, 22,  522, 1, 3, 1595370, 33154.60, 39, 0.00, 1: 198; 2: 120; 3: 28; 
CD4_T_cell_signaling, 226, 13, 15,  522, 1, 3, 1568187, 33154.60, 0, 0.00, 1: 193; 2: 130; 3: 23; 
CD4_T_cell_signaling, 746, 16, 12,  522, 1, 3, 1539656, 33154.60, 0, 0.00, 1: 191; 2: 134; 3: 21; 
CD4_T_cell_signaling, 982, 10, 19,  522, 1, 3, 1526080, 33154.60, 0, 0.00, 1: 196; 2: 124; 3: 26; 
CD4_T_cell_signaling, 907,  9, 21,  522, 1, 3, 1527876, 33154.60, 0, 0.00, 1: 194; 2: 128; 3: 24; 
CD4_T_cell_signaling, 409, 16, 12,  522, 1, 3, 1539751, 33154.60, 0, 0.00, 1: 190; 2: 136; 3: 20; 
CD4_T_cell_signaling, 771, 13, 15,  522, 1, 3, 1568200, 33154.60, 0, 0.00, 1: 191; 2: 134; 3: 21; 
CD4_T_cell_signaling, 810,  8, 24,  522, 1, 3, 1539738, 33154.60, 0, 0.00, 1: 196; 2: 124; 3: 26; 
CD4_T_cell_signaling, 173,  8, 25,  523, 1, 3, 1606360, 33154.60, 0, 0.00, 1: 191; 2: 133; 3: 22; 
CD4_T_cell_signaling, 789,  8, 24,  523, 1, 3, 1539688, 33154.60, 0, 0.00, 1: 190; 2: 135; 3: 21; 
CD4_T_cell_signaling, 457, 10, 19,  523, 1, 3, 1526102, 33154.60, 0, 0.00, 1: 188; 2: 139; 3: 19; 
CD4_T_cell_signaling,  93, 15, 13,  524, 1, 3, 1568172, 33154.60, 0, 0.00, 1: 190; 2: 134; 3: 22; 
CD4_T_cell_signaling, 939,  8, 26,  525, 1, 3, 1664028, 33154.60, 0, 0.00, 1: 192; 2: 129; 3: 25; 
CD4_T_cell_signaling, 592, 16, 12,  525, 1, 3, 1539719, 33154.60, 39, 0.00, 1: 189; 2: 135; 3: 22; 
CD4_T_cell_signaling, 546, 10, 19,  525, 1, 3, 1526075, 33154.60, 0, 0.00, 1: 189; 2: 135; 3: 22; 
CD4_T_cell_signaling, 293,  8, 24,  525, 1, 3, 1539695, 33154.60, 0, 0.00, 1: 194; 2: 125; 3: 27; 
CD4_T_cell_signaling, 929, 10, 19,  525, 1, 3, 1526073, 33154.60, 0, 0.00, 1: 191; 2: 131; 3: 24; 
CD4_T_cell_signaling, 680, 10, 19,  525, 1, 3, 1526090, 33154.60, 42, 0.00, 1: 190; 2: 133; 3: 23; 
CD4_T_cell_signaling, 254,  8, 26,  525, 1, 3, 1664345, 33154.60, 0, 0.00, 1: 192; 2: 129; 3: 25; 
CD4_T_cell_signaling, 262,  9, 21,  526, 1, 3, 1527876, 33154.60, 0, 0.00, 1: 192; 2: 128; 3: 26; 
CD4_T_cell_signaling, 552, 10, 19,  526, 1, 3, 1526107, 33154.60, 34, 0.00, 1: 192; 2: 128; 3: 26; 
CD4_T_cell_signaling, 836, 14, 14,  526, 1, 3, 1583794, 33154.60, 58, 0.00, 1: 193; 2: 126; 3: 27; 
