Seed 1656949570
ARCH 0|F_ID 2|LIMIT 3
before: 
23(611)
Melhor resultado nxn: Glucose_Repression_Signaling_2009, 559,  9,  9,  170, 1, 3, 639198, 17907.34, 0, 0.00, 1: 55; 2: 38; 3: 13; 
Glucose_Repression_Signaling_2009, 178,  7, 12,  174, 1, 3, 658752, 17907.34, 0, 0.00, 1: 55; 2: 34; 3: 17; 
Glucose_Repression_Signaling_2009, 490,  9,  9,  174, 1, 3, 639053, 17907.34, 65, 0.00, 1: 60; 2: 24; 3: 22; 
Glucose_Repression_Signaling_2009, 123,  8, 10,  174, 1, 3, 634053, 17907.34, 0, 0.00, 1: 54; 2: 36; 3: 16; 
Glucose_Repression_Signaling_2009, 468,  7, 12,  175, 1, 3, 658670, 17907.34, 211, 0.00, 1: 56; 2: 31; 3: 19; 
Glucose_Repression_Signaling_2009, 534,  7, 11,  175, 1, 3, 613179, 17907.34, 0, 0.00, 1: 53; 2: 37; 3: 16; 
Glucose_Repression_Signaling_2009, 518,  8, 10,  175, 1, 3, 634038, 17907.34, 0, 0.00, 1: 51; 2: 41; 3: 14; 
Glucose_Repression_Signaling_2009, 174,  9,  9,  175, 1, 3, 639200, 17907.34, 0, 0.00, 1: 52; 2: 39; 3: 15; 
Glucose_Repression_Signaling_2009, 170,  8, 10,  175, 1, 3, 634037, 17907.34, 65, 0.00, 1: 53; 2: 37; 3: 16; 
Glucose_Repression_Signaling_2009, 134,  7, 11,  175, 1, 3, 613201, 17907.34, 0, 0.00, 1: 54; 2: 35; 3: 17; 
Glucose_Repression_Signaling_2009, 969, 11,  7,  175, 1, 3, 613219, 17907.34, 160, 0.00, 1: 54; 2: 35; 3: 17; 
Glucose_Repression_Signaling_2009,  49,  8, 10,  176, 1, 3, 634071, 17907.34, 154, 0.00, 1: 54; 2: 34; 3: 18; 
Glucose_Repression_Signaling_2009, 678,  7, 12,  176, 1, 3, 658687, 17907.34, 0, 0.00, 1: 57; 2: 28; 3: 21; 
Glucose_Repression_Signaling_2009, 639,  9,  9,  176, 1, 3, 639096, 17907.34, 0, 0.00, 1: 52; 2: 38; 3: 16; 
Glucose_Repression_Signaling_2009, 942, 10,  8,  176, 1, 3, 634083, 17907.34, 0, 0.00, 1: 49; 2: 44; 3: 13; 
Glucose_Repression_Signaling_2009, 288,  9,  9,  176, 1, 3, 639127, 17907.34, 6, 0.00, 1: 52; 2: 38; 3: 16; 
Glucose_Repression_Signaling_2009, 755, 11,  7,  176, 1, 3, 613178, 17907.34, 0, 0.00, 1: 54; 2: 34; 3: 18; 
Glucose_Repression_Signaling_2009, 916,  9,  9,  176, 1, 3, 639113, 17907.34, 211, 0.00, 1: 51; 2: 40; 3: 15; 
Glucose_Repression_Signaling_2009, 797, 10,  8,  176, 1, 3, 634050, 17907.34, 85, 0.00, 1: 50; 2: 42; 3: 14; 
Glucose_Repression_Signaling_2009, 802,  7, 12,  176, 1, 3, 658709, 17907.34, 0, 0.00, 1: 54; 2: 34; 3: 18; 
Glucose_Repression_Signaling_2009, 806,  7, 12,  176, 1, 3, 658797, 17907.34, 0, 0.00, 1: 54; 2: 34; 3: 18; 
Glucose_Repression_Signaling_2009, 181, 10,  8,  176, 1, 3, 634018, 17907.34, 0, 0.00, 1: 50; 2: 42; 3: 14; 
Glucose_Repression_Signaling_2009, 891,  7, 11,  176, 1, 3, 613197, 17907.34, 0, 0.00, 1: 53; 2: 36; 3: 17; 
Glucose_Repression_Signaling_2009, 867,  7, 11,  176, 1, 3, 613082, 17907.34, 0, 0.00, 1: 51; 2: 40; 3: 15; 
Glucose_Repression_Signaling_2009, 524, 10,  8,  176, 1, 3, 633938, 17907.34, 211, 0.00, 1: 56; 2: 30; 3: 20; 
Glucose_Repression_Signaling_2009, 540,  8, 10,  176, 1, 3, 634021, 17907.34, 211, 0.00, 1: 53; 2: 36; 3: 17; 
Glucose_Repression_Signaling_2009,  11,  7, 12,  176, 1, 3, 658748, 17907.34, 164, 0.00, 1: 55; 2: 32; 3: 19; 
Glucose_Repression_Signaling_2009, 984,  9,  9,  176, 1, 3, 639189, 17907.34, 200, 0.00, 1: 50; 2: 42; 3: 14; 
Glucose_Repression_Signaling_2009, 458, 11,  7,  176, 1, 3, 613144, 17907.34, 133, 0.00, 1: 55; 2: 32; 3: 19; 
Glucose_Repression_Signaling_2009,  45, 10,  8,  176, 1, 3, 634086, 17907.34, 115, 0.00, 1: 55; 2: 32; 3: 19; 
Glucose_Repression_Signaling_2009, 455, 10,  8,  176, 1, 3, 634066, 17907.34, 0, 0.00, 1: 54; 2: 34; 3: 18; 
Glucose_Repression_Signaling_2009, 505, 10,  8,  177, 1, 3, 634054, 17907.34, 0, 0.00, 1: 56; 2: 29; 3: 21; 
Glucose_Repression_Signaling_2009,  10,  9,  9,  177, 1, 3, 639075, 17907.34, 58, 0.00, 1: 51; 2: 39; 3: 16; 
Glucose_Repression_Signaling_2009, 896, 10,  8,  177, 1, 3, 634091, 17907.34, 96, 0.00, 1: 52; 2: 37; 3: 17; 
Glucose_Repression_Signaling_2009, 492,  7, 11,  177, 1, 3, 613142, 17907.34, 49, 0.00, 1: 52; 2: 37; 3: 17; 
Glucose_Repression_Signaling_2009, 696,  7, 12,  177, 1, 3, 658775, 17907.34, 0, 0.00, 1: 51; 2: 39; 3: 16; 
Glucose_Repression_Signaling_2009, 570,  9,  9,  177, 1, 3, 639130, 17907.34, 0, 0.00, 1: 52; 2: 37; 3: 17; 
Glucose_Repression_Signaling_2009, 845,  7, 12,  177, 1, 3, 658679, 17907.34, 85, 0.00, 1: 52; 2: 37; 3: 17; 
Glucose_Repression_Signaling_2009, 297,  8, 10,  177, 1, 3, 633980, 17907.34, 70, 0.00, 1: 50; 2: 41; 3: 15; 
Glucose_Repression_Signaling_2009,  62,  8, 10,  177, 1, 3, 634064, 17907.34, 0, 0.00, 1: 49; 2: 43; 3: 14; 
Glucose_Repression_Signaling_2009, 673,  8, 10,  177, 1, 3, 634046, 17907.34, 0, 0.00, 1: 51; 2: 39; 3: 16; 
Glucose_Repression_Signaling_2009, 510, 11,  7,  177, 1, 3, 613102, 17907.34, 0, 0.00, 1: 53; 2: 35; 3: 18; 
Glucose_Repression_Signaling_2009, 343,  9,  9,  177, 1, 3, 639125, 17907.34, 0, 0.00, 1: 56; 2: 29; 3: 21; 
Glucose_Repression_Signaling_2009, 511,  9,  9,  177, 1, 3, 639138, 17907.34, 0, 0.00, 1: 54; 2: 33; 3: 19; 
Glucose_Repression_Signaling_2009, 985,  7, 12,  178, 1, 3, 658703, 17907.34, 187, 0.00, 1: 58; 2: 24; 3: 24; 
Glucose_Repression_Signaling_2009,  83,  9,  9,  178, 1, 3, 639177, 17907.34, 0, 0.00, 1: 55; 2: 30; 3: 21; 
Glucose_Repression_Signaling_2009, 378,  7, 12,  178, 1, 3, 658650, 17907.34, 0, 0.00, 1: 54; 2: 32; 3: 20; 
Glucose_Repression_Signaling_2009, 753,  9,  9,  178, 1, 3, 639132, 17907.34, 0, 0.00, 1: 53; 2: 34; 3: 19; 
Glucose_Repression_Signaling_2009, 460, 11,  7,  178, 1, 3, 613177, 17907.34, 211, 0.00, 1: 52; 2: 36; 3: 18; 
Glucose_Repression_Signaling_2009, 543, 10,  8,  178, 1, 3, 634085, 17907.34, 0, 0.00, 1: 57; 2: 26; 3: 23; 
Glucose_Repression_Signaling_2009,  21, 10,  8,  178, 1, 3, 633971, 17907.34, 85, 0.00, 1: 52; 2: 36; 3: 18; 
Glucose_Repression_Signaling_2009,  90,  7, 12,  178, 1, 3, 658592, 17907.34, 97, 0.00, 1: 53; 2: 34; 3: 19; 
Glucose_Repression_Signaling_2009, 759, 11,  7,  178, 1, 3, 613198, 17907.34, 0, 0.00, 1: 50; 2: 40; 3: 16; 
Glucose_Repression_Signaling_2009,  52,  7, 11,  178, 1, 3, 613191, 17907.34, 211, 0.00, 1: 50; 2: 40; 3: 16; 
Glucose_Repression_Signaling_2009, 303,  7, 12,  178, 1, 3, 658691, 17907.34, 0, 0.00, 1: 55; 2: 30; 3: 21; 
Glucose_Repression_Signaling_2009, 541, 10,  8,  178, 1, 3, 634207, 17907.34, 85, 0.00, 1: 51; 2: 38; 3: 17; 
Glucose_Repression_Signaling_2009, 132,  7, 11,  178, 1, 3, 613199, 17907.34, 211, 0.00, 1: 52; 2: 36; 3: 18; 
Glucose_Repression_Signaling_2009, 214,  9,  9,  178, 1, 3, 639155, 17907.34, 0, 0.00, 1: 51; 2: 38; 3: 17; 
Glucose_Repression_Signaling_2009, 633,  8, 10,  178, 1, 3, 634012, 17907.34, 0, 0.00, 1: 51; 2: 38; 3: 17; 
Glucose_Repression_Signaling_2009, 100,  7, 11,  178, 1, 3, 613164, 17907.34, 0, 0.00, 1: 55; 2: 30; 3: 21; 
Glucose_Repression_Signaling_2009, 526,  6, 13,  178, 1, 3, 619526, 17907.34, 0, 0.00, 1: 52; 2: 36; 3: 18; 
Glucose_Repression_Signaling_2009, 238, 10,  8,  178, 1, 3, 634041, 17907.34, 32, 0.00, 1: 52; 2: 36; 3: 18; 
Glucose_Repression_Signaling_2009,   4, 10,  8,  178, 1, 3, 634032, 17907.34, 245, 0.00, 1: 50; 2: 40; 3: 16; 
Glucose_Repression_Signaling_2009, 944, 10,  8,  178, 1, 3, 634027, 17907.34, 40, 0.00, 1: 48; 2: 44; 3: 14; 
Glucose_Repression_Signaling_2009, 586,  9,  9,  178, 1, 3, 639147, 17907.34, 96, 0.00, 1: 55; 2: 30; 3: 21; 
Glucose_Repression_Signaling_2009, 563,  7, 11,  178, 1, 3, 613171, 17907.34, 0, 0.00, 1: 53; 2: 34; 3: 19; 
Glucose_Repression_Signaling_2009, 311,  9,  9,  178, 1, 3, 639143, 17907.34, 255, 0.00, 1: 53; 2: 34; 3: 19; 
Glucose_Repression_Signaling_2009,  27,  9,  9,  178, 1, 3, 639228, 17907.34, 197, 0.00, 1: 53; 2: 34; 3: 19; 
Glucose_Repression_Signaling_2009, 263,  8, 10,  178, 1, 3, 634017, 17907.34, 0, 0.00, 1: 56; 2: 28; 3: 22; 
Glucose_Repression_Signaling_2009, 717,  7, 12,  178, 1, 3, 658689, 17907.34, 0, 0.00, 1: 52; 2: 36; 3: 18; 
Glucose_Repression_Signaling_2009, 245,  7, 12,  178, 1, 3, 658635, 17907.34, 0, 0.00, 1: 50; 2: 40; 3: 16; 
Glucose_Repression_Signaling_2009, 863,  7, 12,  178, 1, 3, 658612, 17907.34, 0, 0.00, 1: 54; 2: 32; 3: 20; 
Glucose_Repression_Signaling_2009, 621,  8, 10,  178, 1, 3, 633938, 17907.34, 32, 0.00, 1: 53; 2: 34; 3: 19; 
Glucose_Repression_Signaling_2009, 751, 10,  8,  178, 1, 3, 634040, 17907.34, 0, 0.00, 1: 50; 2: 40; 3: 16; 
Glucose_Repression_Signaling_2009, 831,  9,  9,  179, 1, 3, 639141, 17907.34, 255, 0.00, 1: 50; 2: 39; 3: 17; 
Glucose_Repression_Signaling_2009, 824, 10,  8,  179, 1, 3, 634051, 17907.34, 0, 0.00, 1: 52; 2: 35; 3: 19; 
Glucose_Repression_Signaling_2009, 513, 10,  8,  179, 1, 3, 634040, 17907.34, 159, 0.00, 1: 51; 2: 37; 3: 18; 
Glucose_Repression_Signaling_2009, 486, 10,  8,  179, 1, 3, 634124, 17907.34, 0, 0.00, 1: 53; 2: 33; 3: 20; 
Glucose_Repression_Signaling_2009, 842, 11,  7,  179, 1, 3, 613202, 17907.34, 97, 0.00, 1: 52; 2: 35; 3: 19; 
Glucose_Repression_Signaling_2009, 480, 11,  7,  179, 1, 3, 613185, 17907.34, 7, 0.00, 1: 55; 2: 29; 3: 22; 
Glucose_Repression_Signaling_2009, 146,  7, 12,  179, 1, 3, 658704, 17907.34, 133, 0.00, 1: 50; 2: 39; 3: 17; 
Glucose_Repression_Signaling_2009, 235, 10,  8,  179, 1, 3, 634037, 17907.34, 116, 0.00, 1: 55; 2: 29; 3: 22; 
Glucose_Repression_Signaling_2009, 691,  8, 10,  179, 1, 3, 634033, 17907.34, 0, 0.00, 1: 53; 2: 33; 3: 20; 
Glucose_Repression_Signaling_2009, 350,  8, 10,  179, 1, 3, 634049, 17907.34, 0, 0.00, 1: 52; 2: 35; 3: 19; 
Glucose_Repression_Signaling_2009, 348,  9,  9,  179, 1, 3, 638951, 17907.34, 211, 0.00, 1: 51; 2: 37; 3: 18; 
Glucose_Repression_Signaling_2009, 665,  6, 14,  179, 1, 3, 658699, 17907.34, 186, 0.00, 1: 51; 2: 37; 3: 18; 
Glucose_Repression_Signaling_2009, 668,  8, 10,  179, 1, 3, 634096, 17907.34, 211, 0.00, 1: 49; 2: 41; 3: 16; 
Glucose_Repression_Signaling_2009, 312, 10,  8,  179, 1, 3, 634007, 17907.34, 0, 0.00, 1: 52; 2: 35; 3: 19; 
Glucose_Repression_Signaling_2009, 999,  7, 12,  179, 1, 3, 658712, 17907.34, 0, 0.00, 1: 50; 2: 39; 3: 17; 
Glucose_Repression_Signaling_2009, 295,  8, 10,  179, 1, 3, 634041, 17907.34, 0, 0.00, 1: 53; 2: 33; 3: 20; 
Glucose_Repression_Signaling_2009, 584,  8, 10,  179, 1, 3, 633965, 17907.34, 0, 0.00, 1: 51; 2: 37; 3: 18; 
Glucose_Repression_Signaling_2009, 792, 10,  8,  179, 1, 3, 634069, 17907.34, 8, 0.00, 1: 55; 2: 29; 3: 22; 
Glucose_Repression_Signaling_2009, 736,  8, 10,  179, 1, 3, 634184, 17907.34, 6, 0.00, 1: 54; 2: 31; 3: 21; 
Glucose_Repression_Signaling_2009, 244,  7, 12,  179, 1, 3, 658778, 17907.34, 61, 0.00, 1: 53; 2: 33; 3: 20; 
Glucose_Repression_Signaling_2009, 549,  9,  9,  179, 1, 3, 639164, 17907.34, 0, 0.00, 1: 53; 2: 33; 3: 20; 
Glucose_Repression_Signaling_2009, 739,  9,  9,  179, 1, 3, 639148, 17907.34, 0, 0.00, 1: 51; 2: 37; 3: 18; 
Glucose_Repression_Signaling_2009, 239, 10,  8,  179, 1, 3, 634045, 17907.34, 0, 0.00, 1: 53; 2: 33; 3: 20; 
Glucose_Repression_Signaling_2009, 215, 10,  8,  179, 1, 3, 633980, 17907.34, 0, 0.00, 1: 53; 2: 33; 3: 20; 
Glucose_Repression_Signaling_2009, 784,  8, 10,  179, 1, 3, 634044, 17907.34, 0, 0.00, 1: 53; 2: 33; 3: 20; 
Glucose_Repression_Signaling_2009, 790, 10,  8,  179, 1, 3, 634006, 17907.34, 0, 0.00, 1: 51; 2: 37; 3: 18; 
Glucose_Repression_Signaling_2009, 906,  9,  9,  179, 1, 3, 639119, 17907.34, 97, 0.00, 1: 50; 2: 39; 3: 17; 
Glucose_Repression_Signaling_2009, 104,  6, 13,  179, 1, 3, 619498, 17907.34, 32, 0.00, 1: 54; 2: 31; 3: 21; 
Glucose_Repression_Signaling_2009, 904,  7, 12,  179, 1, 3, 658626, 17907.34, 112, 0.00, 1: 55; 2: 29; 3: 22; 
Glucose_Repression_Signaling_2009, 113,  8, 10,  179, 1, 3, 634087, 17907.34, 0, 0.00, 1: 56; 2: 27; 3: 23; 
Glucose_Repression_Signaling_2009, 894, 10,  8,  179, 1, 3, 634024, 17907.34, 0, 0.00, 1: 53; 2: 33; 3: 20; 
Glucose_Repression_Signaling_2009,  74,  8, 10,  179, 1, 3, 633964, 17907.34, 0, 0.00, 1: 51; 2: 37; 3: 18; 
Glucose_Repression_Signaling_2009,  53,  7, 11,  179, 1, 3, 613172, 17907.34, 85, 0.00, 1: 50; 2: 39; 3: 17; 
Glucose_Repression_Signaling_2009, 893,  9,  9,  180, 1, 3, 639177, 17907.34, 0, 0.00, 1: 54; 2: 30; 3: 22; 
Glucose_Repression_Signaling_2009,  86, 10,  8,  180, 1, 3, 634042, 17907.34, 0, 0.00, 1: 55; 2: 28; 3: 23; 
Glucose_Repression_Signaling_2009, 962,  7, 12,  180, 1, 3, 658680, 17907.34, 97, 0.00, 1: 54; 2: 30; 3: 22; 
Glucose_Repression_Signaling_2009, 481,  9,  9,  180, 1, 3, 639142, 17907.34, 0, 0.00, 1: 54; 2: 30; 3: 22; 
Glucose_Repression_Signaling_2009, 110,  8, 10,  180, 1, 3, 634011, 17907.34, 0, 0.00, 1: 54; 2: 30; 3: 22; 
Glucose_Repression_Signaling_2009, 967,  7, 12,  180, 1, 3, 658725, 17907.34, 0, 0.00, 1: 53; 2: 32; 3: 21; 
Glucose_Repression_Signaling_2009, 666,  7, 12,  180, 1, 3, 658549, 17907.34, 97, 0.00, 1: 46; 2: 46; 3: 14; 
Glucose_Repression_Signaling_2009, 676,  7, 12,  180, 1, 3, 658709, 17907.34, 0, 0.00, 1: 52; 2: 34; 3: 20; 
Glucose_Repression_Signaling_2009, 290, 10,  8,  180, 1, 3, 634093, 17907.34, 0, 0.00, 1: 53; 2: 32; 3: 21; 
Glucose_Repression_Signaling_2009, 608,  7, 12,  180, 1, 3, 658578, 17907.34, 6, 0.00, 1: 47; 2: 44; 3: 15; 
Glucose_Repression_Signaling_2009, 195,  9,  9,  180, 1, 3, 639172, 17907.34, 196, 0.00, 1: 51; 2: 36; 3: 19; 
Glucose_Repression_Signaling_2009, 683,  6, 13,  180, 1, 3, 619526, 17907.34, 76, 0.00, 1: 51; 2: 36; 3: 19; 
Glucose_Repression_Signaling_2009, 613,  6, 14,  180, 1, 3, 658798, 17907.34, 0, 0.00, 1: 52; 2: 34; 3: 20; 
Glucose_Repression_Signaling_2009, 588, 10,  8,  180, 1, 3, 634043, 17907.34, 211, 0.00, 1: 52; 2: 34; 3: 20; 
Glucose_Repression_Signaling_2009, 414,  7, 11,  180, 1, 3, 613204, 17907.34, 0, 0.00, 1: 55; 2: 28; 3: 23; 
Glucose_Repression_Signaling_2009, 133, 11,  7,  180, 1, 3, 613187, 17907.34, 85, 0.00, 1: 52; 2: 34; 3: 20; 
Glucose_Repression_Signaling_2009, 366,  7, 11,  180, 1, 3, 613192, 17907.34, 0, 0.00, 1: 55; 2: 28; 3: 23; 
Glucose_Repression_Signaling_2009, 997,  9,  9,  180, 1, 3, 639203, 17907.34, 0, 0.00, 1: 51; 2: 36; 3: 19; 
Glucose_Repression_Signaling_2009, 998, 11,  7,  180, 1, 3, 613195, 17907.34, 0, 0.00, 1: 52; 2: 34; 3: 20; 
Glucose_Repression_Signaling_2009, 995,  7, 12,  181, 1, 3, 658687, 17907.34, 0, 0.00, 1: 54; 2: 29; 3: 23; 
Glucose_Repression_Signaling_2009, 131,  8, 10,  181, 1, 3, 634050, 17907.34, 196, 0.00, 1: 49; 2: 39; 3: 18; 
Glucose_Repression_Signaling_2009, 622,  8, 10,  181, 1, 3, 634119, 17907.34, 0, 0.00, 1: 52; 2: 33; 3: 21; 
Glucose_Repression_Signaling_2009, 553,  7, 12,  181, 1, 3, 658713, 17907.34, 71, 0.00, 1: 49; 2: 39; 3: 18; 
Glucose_Repression_Signaling_2009, 374,  7, 11,  181, 1, 3, 613186, 17907.34, 0, 0.00, 1: 54; 2: 29; 3: 23; 
Glucose_Repression_Signaling_2009,  22,  7, 11,  181, 1, 3, 613184, 17907.34, 0, 0.00, 1: 51; 2: 35; 3: 20; 
Glucose_Repression_Signaling_2009, 451,  7, 11,  181, 1, 3, 613181, 17907.34, 196, 0.00, 1: 53; 2: 31; 3: 22; 
Glucose_Repression_Signaling_2009, 166,  9,  9,  181, 1, 3, 639124, 17907.34, 0, 0.00, 1: 53; 2: 31; 3: 22; 
Glucose_Repression_Signaling_2009, 418, 11,  7,  181, 1, 3, 613183, 17907.34, 0, 0.00, 1: 53; 2: 31; 3: 22; 
Glucose_Repression_Signaling_2009, 162,  8, 10,  181, 1, 3, 634070, 17907.34, 0, 0.00, 1: 52; 2: 33; 3: 21; 
Glucose_Repression_Signaling_2009, 596,  8, 10,  181, 1, 3, 634055, 17907.34, 211, 0.00, 1: 50; 2: 37; 3: 19; 
Glucose_Repression_Signaling_2009,  48,  7, 12,  181, 1, 3, 658755, 17907.34, 128, 0.00, 1: 54; 2: 29; 3: 23; 
Glucose_Repression_Signaling_2009,  93, 10,  8,  181, 1, 3, 634058, 17907.34, 85, 0.00, 1: 50; 2: 37; 3: 19; 
Glucose_Repression_Signaling_2009, 994,  8, 10,  181, 1, 3, 634005, 17907.34, 0, 0.00, 1: 52; 2: 33; 3: 21; 
Glucose_Repression_Signaling_2009, 410,  7, 12,  181, 1, 3, 658647, 17907.34, 97, 0.00, 1: 53; 2: 31; 3: 22; 
Glucose_Repression_Signaling_2009, 409,  7, 12,  181, 1, 3, 658721, 17907.34, 185, 0.00, 1: 50; 2: 37; 3: 19; 
Glucose_Repression_Signaling_2009, 115,  6, 13,  181, 1, 3, 619310, 17907.34, 0, 0.00, 1: 52; 2: 33; 3: 21; 
Glucose_Repression_Signaling_2009, 376, 11,  7,  181, 1, 3, 613240, 17907.34, 0, 0.00, 1: 48; 2: 41; 3: 17; 
Glucose_Repression_Signaling_2009, 484,  8, 10,  181, 1, 3, 634033, 17907.34, 0, 0.00, 1: 48; 2: 41; 3: 17; 
Glucose_Repression_Signaling_2009, 854, 11,  7,  181, 1, 3, 613162, 17907.34, 0, 0.00, 1: 52; 2: 33; 3: 21; 
Glucose_Repression_Signaling_2009, 855,  7, 12,  181, 1, 3, 658700, 17907.34, 0, 0.00, 1: 54; 2: 29; 3: 23; 
Glucose_Repression_Signaling_2009, 972,  7, 12,  181, 1, 3, 658627, 17907.34, 211, 0.00, 1: 49; 2: 39; 3: 18; 
Glucose_Repression_Signaling_2009, 272,  7, 12,  181, 1, 3, 658757, 17907.34, 0, 0.00, 1: 51; 2: 35; 3: 20; 
Glucose_Repression_Signaling_2009, 594, 10,  8,  181, 1, 3, 633999, 17907.34, 96, 0.00, 1: 50; 2: 37; 3: 19; 
Glucose_Repression_Signaling_2009, 610, 10,  8,  182, 1, 3, 634076, 17907.34, 0, 0.00, 1: 52; 2: 32; 3: 22; 
Glucose_Repression_Signaling_2009, 686,  9,  9,  182, 1, 3, 639026, 17907.34, 0, 0.00, 1: 49; 2: 38; 3: 19; 
Glucose_Repression_Signaling_2009, 426, 10,  8,  182, 1, 3, 634036, 17907.34, 65, 0.00, 1: 52; 2: 32; 3: 22; 
Glucose_Repression_Signaling_2009, 795, 10,  8,  182, 1, 3, 633948, 17907.34, 197, 0.00, 1: 52; 2: 32; 3: 22; 
Glucose_Repression_Signaling_2009, 943, 10,  8,  182, 1, 3, 634018, 17907.34, 0, 0.00, 1: 51; 2: 34; 3: 21; 
Glucose_Repression_Signaling_2009, 248, 11,  7,  182, 1, 3, 613211, 17907.34, 0, 0.00, 1: 50; 2: 36; 3: 20; 
Glucose_Repression_Signaling_2009, 745,  7, 11,  182, 1, 3, 613184, 17907.34, 71, 0.00, 1: 52; 2: 32; 3: 22; 
Glucose_Repression_Signaling_2009, 254,  7, 11,  182, 1, 3, 613131, 17907.34, 0, 0.00, 1: 51; 2: 34; 3: 21; 
Glucose_Repression_Signaling_2009, 289,  7, 12,  182, 1, 3, 658598, 17907.34, 0, 0.00, 1: 46; 2: 44; 3: 16; 
Glucose_Repression_Signaling_2009, 695,  8, 10,  182, 1, 3, 634059, 17907.34, 0, 0.00, 1: 51; 2: 34; 3: 21; 
Glucose_Repression_Signaling_2009, 763, 11,  7,  182, 1, 3, 613174, 17907.34, 0, 0.00, 1: 51; 2: 34; 3: 21; 
Glucose_Repression_Signaling_2009, 929,  9,  9,  182, 1, 3, 639065, 17907.34, 0, 0.00, 1: 50; 2: 36; 3: 20; 
Glucose_Repression_Signaling_2009, 924, 10,  8,  182, 1, 3, 634047, 17907.34, 211, 0.00, 1: 49; 2: 38; 3: 19; 
Glucose_Repression_Signaling_2009, 979, 11,  7,  182, 1, 3, 613157, 17907.34, 197, 0.00, 1: 48; 2: 40; 3: 18; 
Glucose_Repression_Signaling_2009, 556,  7, 11,  182, 1, 3, 613193, 17907.34, 50, 0.00, 1: 52; 2: 32; 3: 22; 
Glucose_Repression_Signaling_2009,  96,  7, 12,  182, 1, 3, 658694, 17907.34, 6, 0.00, 1: 48; 2: 40; 3: 18; 
