Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
2(499)
Melhor resultado nxn: HGF_Signaling_in_Keratinocytes, 745,  7, 11,  127, 1, 2, 607250, 42480.03, 67, 0.00, 1: 79; 2: 24; 
HGF_Signaling_in_Keratinocytes, 358,  5, 15,  134, 1, 2, 592159, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes,  42,  6, 12,  134, 1, 2, 571220, 42480.03, 75, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 319,  8,  9,  134, 1, 2, 571224, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 419,  6, 13,  134, 1, 2, 612602, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 763, 10,  7,  134, 1, 2, 557658, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 751,  9,  8,  134, 1, 2, 571155, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes,  41,  6, 12,  134, 1, 2, 571270, 42480.03, 65, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 929,  8,  9,  134, 1, 2, 571133, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 386,  7, 11,  134, 1, 2, 607019, 42480.03, 134, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 859,  6, 13,  134, 1, 2, 611957, 42480.03, 103, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 653,  8,  9,  134, 1, 2, 571131, 42480.03, 85, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 866,  6, 12,  134, 1, 2, 571282, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 105,  6, 13,  134, 1, 2, 612767, 42480.03, 65, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 646,  7, 10,  134, 1, 2, 557588, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 256,  7, 10,  134, 1, 2, 557544, 42480.03, 160, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 641,  7, 10,  134, 1, 2, 557685, 42480.03, 73, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 545,  8,  9,  134, 1, 2, 571104, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 952,  6, 12,  134, 1, 2, 571203, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 560,  7, 11,  134, 1, 2, 606785, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 231,  9,  8,  134, 1, 2, 571173, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 531,  5, 15,  134, 1, 2, 592055, 42480.03, 103, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 572,  5, 14,  134, 1, 2, 557737, 42480.03, 1, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes,  86,  9,  8,  134, 1, 2, 571173, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 957,  8,  9,  134, 1, 2, 571300, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 991,  7, 11,  134, 1, 2, 606984, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes,  82, 10,  7,  134, 1, 2, 557539, 42480.03, 134, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 582,  7, 11,  134, 1, 2, 606562, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 583,  6, 13,  134, 1, 2, 612248, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 591,  6, 12,  134, 1, 2, 571203, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 242,  9,  8,  134, 1, 2, 571287, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes,  71,  6, 13,  134, 1, 2, 612224, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 486,  9,  8,  134, 1, 2, 571280, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 146,  6, 12,  134, 1, 2, 571235, 42480.03, 133, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 288,  8,  9,  134, 1, 2, 571134, 42480.03, 5, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 460, 10,  7,  134, 1, 2, 557654, 42480.03, 252, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 696,  6, 12,  134, 1, 2, 571025, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 219,  6, 13,  134, 1, 2, 612363, 42480.03, 103, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes,  62,  7, 10,  134, 1, 2, 557684, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 655,  6, 13,  134, 1, 2, 612325, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 276,  9,  8,  134, 1, 2, 571211, 42480.03, 252, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 667,  6, 12,  134, 1, 2, 571085, 42480.03, 103, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 515,  7, 10,  134, 1, 2, 557622, 42480.03, 103, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 661,  7, 10,  134, 1, 2, 557657, 42480.03, 85, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 508, 10,  7,  134, 1, 2, 557628, 42480.03, 2, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 117, 10,  7,  134, 1, 2, 557654, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 273,  6, 12,  134, 1, 2, 571203, 42480.03, 30, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 501,  5, 14,  134, 1, 2, 557623, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 941,  7, 10,  134, 1, 2, 557575, 42480.03, 77, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 278,  6, 13,  135, 1, 2, 612809, 42480.03, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes,   0,  5, 14,  135, 1, 2, 557678, 42480.03, 128, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 266,  7, 11,  135, 1, 2, 606624, 42480.03, 134, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 285,  6, 12,  135, 1, 2, 571219, 42480.03, 85, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 291,  6, 13,  135, 1, 2, 612292, 42480.03, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 797,  9,  8,  135, 1, 2, 571247, 42480.03, 85, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 845,  6, 12,  135, 1, 2, 571251, 42480.03, 85, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 308,  7, 10,  135, 1, 2, 557670, 42480.03, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 239,  9,  8,  135, 1, 2, 571348, 42480.03, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 844,  6, 13,  135, 1, 2, 612496, 42480.03, 252, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 317,  5, 15,  135, 1, 2, 592334, 42480.03, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 831,  8,  9,  135, 1, 2, 571233, 42480.03, 0, 0.00, 1: 71; 2: 32; 
