Seed 1656949570
ARCH 0|F_ID 1|LIMIT 4
before: 
4(202)
Melhor resultado nxn: Bortezomib_Responses_in_U266_Human_Myelo, 267,  9,  8,  228, 0, 4, 570342, 12440.03, 0, 0.00, 0: 1; 1: 62; 2: 41; 3: 20; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 978,  8,  9,  238, 0, 4, 570304, 12440.03, 0, 0.00, 0: 1; 1: 52; 2: 51; 3: 20; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo,  65,  7, 11,  238, 0, 4, 605014, 12440.03, 0, 0.00, 0: 1; 1: 53; 2: 50; 3: 19; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 532, 10,  7,  238, 0, 4, 557170, 12440.03, 39, 0.00, 0: 1; 1: 56; 2: 44; 3: 22; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 343,  8,  9,  238, 0, 4, 570287, 12440.03, 0, 0.00, 0: 1; 1: 57; 2: 43; 3: 21; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 836,  8,  9,  238, 0, 4, 570320, 12440.03, 30, 0.00, 0: 1; 1: 52; 2: 50; 3: 22; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,  86,  9,  8,  238, 0, 4, 570355, 12440.03, 0, 0.00, 0: 1; 1: 56; 2: 44; 3: 22; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 500, 10,  7,  238, 0, 4, 557183, 12440.03, 60, 0.00, 0: 1; 1: 52; 2: 53; 3: 16; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 394,  9,  8,  238, 0, 4, 570306, 12440.03, 0, 0.00, 0: 1; 1: 56; 2: 43; 3: 24; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 406, 10,  7,  239, 0, 4, 557186, 12440.03, 0, 0.00, 0: 1; 1: 55; 2: 43; 3: 26; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 543,  9,  8,  239, 0, 4, 570296, 12440.03, 0, 0.00, 0: 1; 1: 54; 2: 47; 3: 21; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 239,  9,  8,  239, 0, 4, 570280, 12440.03, 0, 0.00, 0: 1; 1: 54; 2: 47; 3: 21; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 755, 10,  7,  239, 0, 4, 557183, 12440.03, 0, 0.00, 0: 1; 1: 50; 2: 54; 3: 19; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 156,  9,  8,  239, 0, 4, 570290, 12440.03, 44, 0.00, 0: 1; 1: 51; 2: 52; 3: 20; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo,  14,  7, 11,  239, 0, 4, 604851, 12440.03, 0, 0.00, 0: 1; 1: 50; 2: 53; 3: 21; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 490,  8,  9,  239, 0, 4, 570347, 12440.03, 0, 0.00, 0: 1; 1: 53; 2: 48; 3: 22; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 320,  7, 11,  239, 0, 4, 605138, 12440.03, 21, 0.00, 0: 1; 1: 52; 2: 54; 3: 13; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 285,  6, 12,  239, 0, 4, 570297, 12440.03, 0, 0.00, 0: 1; 1: 57; 2: 42; 3: 22; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 554,  8,  9,  239, 0, 4, 570260, 12440.03, 0, 0.00, 0: 1; 1: 54; 2: 47; 3: 21; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 663,  8,  9,  240, 0, 4, 570278, 12440.03, 0, 0.00, 0: 1; 1: 53; 2: 50; 3: 17; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 356,  9,  8,  240, 0, 4, 570337, 12440.03, 16, 0.00, 0: 1; 1: 51; 2: 49; 3: 25; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 770,  6, 12,  240, 0, 4, 570149, 12440.03, 0, 0.00, 0: 1; 1: 54; 2: 48; 3: 18; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 153,  9,  8,  240, 0, 4, 570471, 12440.03, 0, 0.00, 0: 1; 1: 50; 2: 54; 3: 18; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 622,  7, 10,  240, 0, 4, 557146, 12440.03, 0, 0.00, 0: 1; 1: 49; 2: 52; 3: 25; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 415,  9,  8,  240, 0, 4, 570334, 12440.03, 0, 0.00, 0: 1; 1: 52; 2: 49; 3: 22; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 279,  9,  8,  240, 0, 4, 570279, 12440.03, 0, 0.00, 0: 1; 1: 53; 2: 49; 3: 19; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 987,  9,  8,  240, 0, 4, 570335, 12440.03, 0, 0.00, 0: 1; 1: 52; 2: 48; 3: 24; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 580,  7, 11,  240, 0, 4, 605041, 12440.03, 13, 0.00, 0: 1; 1: 53; 2: 48; 3: 21; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 222,  9,  8,  240, 0, 4, 570239, 12440.03, 0, 0.00, 0: 1; 1: 52; 2: 48; 3: 24; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 499, 10,  7,  240, 0, 4, 557137, 12440.03, 0, 0.00, 0: 1; 1: 48; 2: 57; 3: 18; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 644,  8,  9,  240, 0, 4, 570248, 12440.03, 64, 0.00, 0: 1; 1: 53; 2: 45; 3: 27; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 898,  7, 10,  240, 0, 4, 557166, 12440.03, 0, 0.00, 0: 1; 1: 47; 2: 57; 3: 21; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 867,  7, 11,  240, 0, 4, 604798, 12440.03, 0, 0.00, 0: 1; 1: 48; 2: 54; 3: 24; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 340, 10,  7,  240, 0, 4, 557170, 12440.03, 13, 0.00, 0: 1; 1: 54; 2: 46; 3: 22; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 292,  8,  9,  240, 0, 4, 570278, 12440.03, 15, 0.00, 0: 1; 1: 50; 2: 53; 3: 20; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 969, 10,  7,  240, 0, 4, 557081, 12440.03, 0, 0.00, 0: 1; 1: 55; 2: 46; 3: 19; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 466, 10,  7,  240, 0, 4, 557188, 12440.03, 0, 0.00, 0: 1; 1: 50; 2: 54; 3: 18; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 451,  7, 11,  240, 0, 4, 605155, 12440.03, 0, 0.00, 0: 1; 1: 53; 2: 48; 3: 21; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 735,  7, 11,  240, 0, 4, 605041, 12440.03, 0, 0.00, 0: 1; 1: 50; 2: 53; 3: 20; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 854, 10,  7,  241, 0, 4, 557138, 12440.03, 0, 0.00, 0: 1; 1: 54; 2: 46; 3: 21; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 699,  9,  8,  241, 0, 4, 570343, 12440.03, 0, 0.00, 0: 1; 1: 54; 2: 46; 3: 21; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 170,  7, 10,  241, 0, 4, 557120, 12440.03, 0, 0.00, 0: 1; 1: 52; 2: 50; 3: 19; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 103,  9,  8,  241, 0, 4, 570277, 12440.03, 0, 0.00, 0: 1; 1: 54; 2: 45; 3: 23; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 347,  9,  8,  241, 0, 4, 570314, 12440.03, 0, 0.00, 0: 1; 1: 49; 2: 51; 3: 26; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 354,  7, 11,  241, 0, 4, 604945, 12440.03, 0, 0.00, 0: 1; 1: 55; 2: 44; 3: 22; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 797,  9,  8,  241, 0, 4, 570329, 12440.03, 0, 0.00, 0: 1; 1: 51; 2: 50; 3: 22; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 217,  7, 11,  241, 0, 4, 604858, 12440.03, 0, 0.00, 0: 1; 1: 52; 2: 51; 3: 17; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 610,  9,  8,  241, 0, 4, 570374, 12440.03, 0, 0.00, 0: 1; 1: 52; 2: 48; 3: 23; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 652,  6, 13,  241, 0, 4, 610328, 12440.03, 51, 0.00, 0: 1; 1: 47; 2: 59; 3: 16; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 951, 10,  7,  241, 0, 4, 557177, 12440.03, 0, 0.00, 0: 1; 1: 54; 2: 46; 3: 21; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 290,  9,  8,  241, 0, 4, 570328, 12440.03, 0, 0.00, 0: 1; 1: 53; 2: 50; 3: 16; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 260,  7, 10,  241, 0, 4, 557187, 12440.03, 18, 0.00, 0: 1; 1: 58; 2: 38; 3: 25; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 994,  7, 10,  241, 0, 4, 557200, 12440.03, 0, 0.00, 0: 1; 1: 54; 2: 45; 3: 23; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 391,  7, 10,  241, 0, 4, 557185, 12440.03, 0, 0.00, 0: 1; 1: 51; 2: 52; 3: 18; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo,   7, 10,  7,  241, 0, 4, 557172, 12440.03, 0, 0.00, 0: 1; 1: 52; 2: 49; 3: 21; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 993,  7, 11,  242, 0, 4, 604967, 12440.03, 0, 0.00, 0: 1; 1: 53; 2: 46; 3: 23; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 331,  9,  8,  242, 0, 4, 570229, 12440.03, 0, 0.00, 0: 1; 1: 49; 2: 54; 3: 19; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 141,  9,  8,  242, 0, 4, 570336, 12440.03, 0, 0.00, 0: 1; 1: 49; 2: 51; 3: 25; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 189,  7, 10,  242, 0, 4, 557205, 12440.03, 0, 0.00, 0: 1; 1: 57; 2: 38; 3: 27; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 767,  7, 10,  242, 0, 4, 557170, 12440.03, 0, 0.00, 0: 1; 1: 53; 2: 47; 3: 21; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo,  44,  8,  9,  242, 0, 4, 570238, 12440.03, 61, 0.00, 0: 1; 1: 48; 2: 54; 3: 22; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 959,  7, 11,  242, 0, 4, 604978, 12440.03, 0, 0.00, 0: 1; 1: 54; 2: 43; 3: 26; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 245,  6, 12,  242, 0, 4, 570338, 12440.03, 0, 0.00, 0: 1; 1: 49; 2: 54; 3: 19; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 102, 10,  7,  242, 0, 4, 557157, 12440.03, 0, 0.00, 0: 1; 1: 54; 2: 44; 3: 24; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo,  35, 10,  7,  243, 0, 4, 557165, 12440.03, 0, 0.00, 0: 1; 1: 54; 2: 41; 3: 29; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,  89,  8,  9,  243, 0, 4, 570295, 12440.03, 0, 0.00, 0: 1; 1: 47; 2: 55; 3: 22; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 209,  7, 11,  243, 0, 4, 605177, 12440.03, 0, 0.00, 0: 1; 1: 54; 2: 42; 3: 27; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 132,  7, 11,  243, 0, 4, 604995, 12440.03, 4, 0.00, 0: 1; 1: 48; 2: 54; 3: 21; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 807,  8,  9,  243, 0, 4, 570501, 12440.03, 0, 0.00, 0: 1; 1: 47; 2: 57; 3: 18; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 563,  7, 11,  243, 0, 4, 605063, 12440.03, 0, 0.00, 0: 1; 1: 53; 2: 44; 3: 26; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 295,  7, 10,  243, 0, 4, 557213, 12440.03, 0, 0.00, 0: 1; 1: 47; 2: 54; 3: 24; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 893,  8,  9,  243, 0, 4, 570308, 12440.03, 0, 0.00, 0: 1; 1: 52; 2: 48; 3: 21; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 858,  7, 11,  243, 0, 4, 604990, 12440.03, 0, 0.00, 0: 1; 1: 50; 2: 47; 3: 29; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 570,  8,  9,  243, 0, 4, 570255, 12440.03, 0, 0.00, 0: 1; 1: 49; 2: 49; 3: 28; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 796,  6, 13,  243, 0, 4, 610390, 12440.03, 15, 0.00, 0: 1; 1: 55; 2: 42; 3: 24; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 110,  7, 10,  243, 0, 4, 557155, 12440.03, 0, 0.00, 0: 1; 1: 51; 2: 47; 3: 26; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 274,  6, 13,  243, 0, 4, 610237, 12440.03, 0, 0.00, 0: 1; 1: 55; 2: 45; 3: 18; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 628,  7, 10,  244, 0, 4, 557133, 12440.03, 42, 0.00, 0: 1; 1: 52; 2: 45; 3: 26; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 849, 10,  7,  244, 0, 4, 557185, 12440.03, 0, 0.00, 0: 1; 1: 46; 2: 56; 3: 22; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 482,  9,  8,  244, 0, 4, 570356, 12440.03, 0, 0.00, 0: 1; 1: 50; 2: 50; 3: 22; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 281,  6, 12,  244, 0, 4, 570282, 12440.03, 0, 0.00, 0: 1; 1: 51; 2: 50; 3: 19; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 478, 10,  7,  244, 0, 4, 557157, 12440.03, 0, 0.00, 0: 1; 1: 46; 2: 59; 3: 16; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 691,  7, 10,  244, 0, 4, 557193, 12440.03, 0, 0.00, 0: 1; 1: 51; 2: 50; 3: 19; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 263,  7, 10,  244, 0, 4, 557201, 12440.03, 0, 0.00, 0: 1; 1: 47; 2: 57; 3: 17; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo,  78,  7, 10,  244, 0, 4, 557167, 12440.03, 0, 0.00, 0: 1; 1: 49; 2: 51; 3: 23; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 815, 10,  7,  244, 0, 4, 557189, 12440.03, 0, 0.00, 0: 1; 1: 51; 2: 47; 3: 25; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 713,  7, 10,  244, 0, 4, 557194, 12440.03, 0, 0.00, 0: 1; 1: 50; 2: 48; 3: 26; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 214,  8,  9,  244, 0, 4, 570248, 12440.03, 0, 0.00, 0: 1; 1: 53; 2: 47; 3: 19; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 816,  9,  8,  244, 0, 4, 570248, 12440.03, 59, 0.00, 0: 1; 1: 54; 2: 41; 3: 28; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 953,  9,  8,  245, 0, 4, 570269, 12440.03, 0, 0.00, 0: 1; 1: 49; 2: 48; 3: 28; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 941,  7, 10,  245, 0, 4, 557123, 12440.03, 0, 0.00, 0: 1; 1: 50; 2: 47; 3: 27; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 254,  7, 11,  245, 0, 4, 605064, 12440.03, 0, 0.00, 0: 1; 1: 50; 2: 51; 3: 19; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 954,  7, 10,  245, 0, 4, 557184, 12440.03, 0, 0.00, 0: 1; 1: 50; 2: 48; 3: 25; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 695,  7, 10,  245, 0, 4, 557171, 12440.03, 0, 0.00, 0: 1; 1: 51; 2: 50; 3: 18; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 576,  6, 12,  245, 0, 4, 570285, 12440.03, 39, 0.00, 0: 1; 1: 54; 2: 45; 3: 19; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 182, 10,  7,  245, 0, 4, 557166, 12440.03, 0, 0.00, 0: 1; 1: 50; 2: 49; 3: 23; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo,  49,  7, 10,  245, 0, 4, 557175, 12440.03, 0, 0.00, 0: 1; 1: 50; 2: 47; 3: 27; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 979, 10,  7,  245, 0, 4, 557183, 12440.03, 0, 0.00, 0: 1; 1: 48; 2: 52; 3: 23; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 717,  6, 12,  246, 0, 4, 570285, 12440.03, 0, 0.00, 0: 1; 1: 53; 2: 43; 3: 25; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo,   6,  8,  9,  246, 0, 4, 570338, 12440.03, 0, 0.00, 0: 1; 1: 49; 2: 50; 3: 23; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo,  41,  6, 12,  246, 0, 4, 570266, 12440.03, 0, 0.00, 0: 1; 1: 48; 2: 54; 3: 18; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 460, 10,  7,  246, 0, 4, 557197, 12440.03, 66, 0.00, 0: 1; 1: 48; 2: 51; 3: 24; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 804, 10,  7,  246, 0, 4, 557144, 12440.03, 17, 0.00, 0: 1; 1: 51; 2: 49; 3: 19; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 777,  7, 10,  246, 0, 4, 557188, 12440.03, 0, 0.00, 0: 1; 1: 48; 2: 52; 3: 22; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 449,  7, 10,  246, 0, 4, 557221, 12440.03, 0, 0.00, 0: 1; 1: 47; 2: 53; 3: 23; 4: 6; 
