Seed 1656949570
ARCH 0|F_ID 3|LIMIT 3
before: 
3(591)
Melhor resultado nxn: Differentiation_of_T_lymphocytes, 549,  7,  8,  130, 0, 3, 439086, 30005.01, 0, 0.00, 0: 8; 1: 52; 2: 33; 3: 4; 
Differentiation_of_T_lymphocytes,  16,  9,  6,  135, 0, 3, 426083, 30005.01, 224, 0.00, 0: 8; 1: 49; 2: 34; 3: 6; 
Differentiation_of_T_lymphocytes, 304,  8,  7,  136, 0, 3, 439188, 30005.01, 18, 0.00, 0: 8; 1: 48; 2: 35; 3: 6; 
Differentiation_of_T_lymphocytes, 233,  8,  7,  136, 0, 3, 439142, 30005.01, 69, 0.00, 0: 8; 1: 49; 2: 33; 3: 7; 
Differentiation_of_T_lymphocytes, 160,  7,  8,  136, 0, 3, 439085, 30005.01, 6, 0.00, 0: 8; 1: 51; 2: 29; 3: 9; 
Differentiation_of_T_lymphocytes, 815,  9,  6,  136, 0, 3, 426014, 30005.01, 0, 0.00, 0: 8; 1: 47; 2: 37; 3: 5; 
Differentiation_of_T_lymphocytes, 920,  8,  7,  136, 0, 3, 439232, 30005.01, 152, 0.00, 0: 8; 1: 48; 2: 35; 3: 6; 
Differentiation_of_T_lymphocytes, 217,  7,  8,  136, 0, 3, 439251, 30005.01, 117, 0.00, 0: 8; 1: 46; 2: 39; 3: 4; 
Differentiation_of_T_lymphocytes, 232,  8,  7,  136, 0, 3, 439125, 30005.01, 32, 0.00, 0: 8; 1: 48; 2: 35; 3: 6; 
Differentiation_of_T_lymphocytes, 281,  6,  9,  136, 0, 3, 426109, 30005.01, 118, 0.00, 0: 8; 1: 48; 2: 35; 3: 6; 
Differentiation_of_T_lymphocytes, 931,  7,  8,  136, 0, 3, 439167, 30005.01, 0, 0.00, 0: 8; 1: 47; 2: 37; 3: 5; 
Differentiation_of_T_lymphocytes,   7,  7,  8,  136, 0, 3, 439239, 30005.01, 0, 0.00, 0: 8; 1: 48; 2: 35; 3: 6; 
Differentiation_of_T_lymphocytes,  89,  7,  8,  136, 0, 3, 439163, 30005.01, 117, 0.00, 0: 8; 1: 49; 2: 33; 3: 7; 
Differentiation_of_T_lymphocytes, 692,  9,  6,  136, 0, 3, 426071, 30005.01, 31, 0.00, 0: 8; 1: 50; 2: 31; 3: 8; 
Differentiation_of_T_lymphocytes, 772,  7,  8,  136, 0, 3, 439333, 30005.01, 221, 0.00, 0: 8; 1: 48; 2: 35; 3: 6; 
Differentiation_of_T_lymphocytes, 500,  8,  7,  136, 0, 3, 439166, 30005.01, 36, 0.00, 0: 8; 1: 48; 2: 35; 3: 6; 
Differentiation_of_T_lymphocytes, 324,  8,  7,  136, 0, 3, 439088, 30005.01, 221, 0.00, 0: 8; 1: 49; 2: 33; 3: 7; 
Differentiation_of_T_lymphocytes, 576,  8,  7,  136, 0, 3, 439168, 30005.01, 48, 0.00, 0: 8; 1: 47; 2: 37; 3: 5; 
Differentiation_of_T_lymphocytes, 538,  8,  7,  137, 0, 3, 439163, 30005.01, 2, 0.00, 0: 8; 1: 46; 2: 38; 3: 5; 
Differentiation_of_T_lymphocytes, 574,  7,  8,  137, 0, 3, 439148, 30005.01, 0, 0.00, 0: 8; 1: 47; 2: 36; 3: 6; 
Differentiation_of_T_lymphocytes, 614,  7,  8,  137, 0, 3, 439269, 30005.01, 0, 0.00, 0: 8; 1: 46; 2: 38; 3: 5; 
Differentiation_of_T_lymphocytes, 522,  5, 12,  137, 0, 3, 464178, 30005.01, 2, 0.00, 0: 8; 1: 50; 2: 30; 3: 9; 
Differentiation_of_T_lymphocytes, 802,  8,  7,  137, 0, 3, 439228, 30005.01, 0, 0.00, 0: 8; 1: 46; 2: 38; 3: 5; 
Differentiation_of_T_lymphocytes, 117,  9,  6,  137, 0, 3, 426022, 30005.01, 0, 0.00, 0: 8; 1: 44; 2: 42; 3: 3; 
Differentiation_of_T_lymphocytes, 467,  6,  9,  137, 0, 3, 426097, 30005.01, 60, 0.00, 0: 8; 1: 47; 2: 36; 3: 6; 
Differentiation_of_T_lymphocytes, 437,  7,  8,  137, 0, 3, 439192, 30005.01, 0, 0.00, 0: 8; 1: 46; 2: 38; 3: 5; 
Differentiation_of_T_lymphocytes, 164,  6,  9,  137, 0, 3, 426005, 30005.01, 0, 0.00, 0: 8; 1: 50; 2: 30; 3: 9; 
Differentiation_of_T_lymphocytes, 715,  7,  8,  137, 0, 3, 439249, 30005.01, 60, 0.00, 0: 8; 1: 45; 2: 40; 3: 4; 
Differentiation_of_T_lymphocytes, 987,  9,  6,  137, 0, 3, 426097, 30005.01, 60, 0.00, 0: 8; 1: 49; 2: 32; 3: 8; 
Differentiation_of_T_lymphocytes, 402,  7,  8,  137, 0, 3, 439160, 30005.01, 0, 0.00, 0: 8; 1: 48; 2: 34; 3: 7; 
Differentiation_of_T_lymphocytes, 110,  8,  7,  137, 0, 3, 439238, 30005.01, 0, 0.00, 0: 8; 1: 46; 2: 38; 3: 5; 
Differentiation_of_T_lymphocytes, 426,  6,  9,  137, 0, 3, 426089, 30005.01, 122, 0.00, 0: 8; 1: 50; 2: 30; 3: 9; 
Differentiation_of_T_lymphocytes, 454,  8,  7,  137, 0, 3, 439280, 30005.01, 0, 0.00, 0: 8; 1: 49; 2: 32; 3: 8; 
Differentiation_of_T_lymphocytes, 813,  7,  8,  137, 0, 3, 439176, 30005.01, 82, 0.00, 0: 8; 1: 49; 2: 32; 3: 8; 
Differentiation_of_T_lymphocytes, 661,  8,  7,  137, 0, 3, 439229, 30005.01, 85, 0.00, 0: 8; 1: 46; 2: 38; 3: 5; 
Differentiation_of_T_lymphocytes, 870,  7,  8,  137, 0, 3, 439202, 30005.01, 0, 0.00, 0: 8; 1: 49; 2: 32; 3: 8; 
Differentiation_of_T_lymphocytes, 554,  5, 12,  137, 0, 3, 464097, 30005.01, 70, 0.00, 0: 8; 1: 48; 2: 34; 3: 7; 
Differentiation_of_T_lymphocytes, 782,  7,  8,  137, 0, 3, 439217, 30005.01, 0, 0.00, 0: 8; 1: 47; 2: 36; 3: 6; 
Differentiation_of_T_lymphocytes, 376,  8,  7,  137, 0, 3, 439172, 30005.01, 0, 0.00, 0: 8; 1: 47; 2: 36; 3: 6; 
Differentiation_of_T_lymphocytes, 298,  6,  9,  137, 0, 3, 426039, 30005.01, 111, 0.00, 0: 8; 1: 46; 2: 38; 3: 5; 
Differentiation_of_T_lymphocytes, 129,  9,  6,  137, 0, 3, 426101, 30005.01, 56, 0.00, 0: 8; 1: 46; 2: 38; 3: 5; 
Differentiation_of_T_lymphocytes, 737,  6,  9,  137, 0, 3, 426066, 30005.01, 0, 0.00, 0: 8; 1: 48; 2: 34; 3: 7; 
Differentiation_of_T_lymphocytes, 771,  6,  9,  137, 0, 3, 426054, 30005.01, 60, 0.00, 0: 8; 1: 46; 2: 38; 3: 5; 
Differentiation_of_T_lymphocytes, 204,  9,  6,  137, 0, 3, 426026, 30005.01, 221, 0.00, 0: 8; 1: 45; 2: 40; 3: 4; 
Differentiation_of_T_lymphocytes, 900,  7,  8,  138, 0, 3, 439199, 30005.01, 221, 0.00, 0: 8; 1: 45; 2: 39; 3: 5; 
Differentiation_of_T_lymphocytes, 442,  8,  7,  138, 0, 3, 439006, 30005.01, 0, 0.00, 0: 8; 1: 47; 2: 35; 3: 7; 
Differentiation_of_T_lymphocytes, 460,  8,  7,  138, 0, 3, 439257, 30005.01, 221, 0.00, 0: 8; 1: 45; 2: 39; 3: 5; 
Differentiation_of_T_lymphocytes, 747,  6,  9,  138, 0, 3, 426097, 30005.01, 49, 0.00, 0: 8; 1: 47; 2: 35; 3: 7; 
Differentiation_of_T_lymphocytes, 390,  9,  6,  138, 0, 3, 426055, 30005.01, 0, 0.00, 0: 8; 1: 48; 2: 33; 3: 8; 
Differentiation_of_T_lymphocytes, 153,  8,  7,  138, 0, 3, 439223, 30005.01, 117, 0.00, 0: 8; 1: 46; 2: 37; 3: 6; 
Differentiation_of_T_lymphocytes, 436,  7,  8,  138, 0, 3, 439249, 30005.01, 4, 0.00, 0: 8; 1: 46; 2: 37; 3: 6; 
Differentiation_of_T_lymphocytes, 980,  5, 12,  138, 0, 3, 463946, 30005.01, 0, 0.00, 0: 8; 1: 47; 2: 35; 3: 7; 
Differentiation_of_T_lymphocytes, 843,  7,  8,  138, 0, 3, 439250, 30005.01, 60, 0.00, 0: 8; 1: 45; 2: 39; 3: 5; 
Differentiation_of_T_lymphocytes, 663,  7,  8,  138, 0, 3, 439223, 30005.01, 0, 0.00, 0: 8; 1: 45; 2: 39; 3: 5; 
Differentiation_of_T_lymphocytes, 178,  9,  6,  138, 0, 3, 426017, 30005.01, 0, 0.00, 0: 8; 1: 46; 2: 37; 3: 6; 
Differentiation_of_T_lymphocytes, 539,  8,  7,  138, 0, 3, 439270, 30005.01, 60, 0.00, 0: 8; 1: 48; 2: 33; 3: 8; 
Differentiation_of_T_lymphocytes, 479,  6,  9,  138, 0, 3, 426088, 30005.01, 0, 0.00, 0: 8; 1: 46; 2: 37; 3: 6; 
Differentiation_of_T_lymphocytes,  74,  5, 12,  138, 0, 3, 464108, 30005.01, 59, 0.00, 0: 8; 1: 48; 2: 33; 3: 8; 
Differentiation_of_T_lymphocytes, 328,  8,  7,  138, 0, 3, 439246, 30005.01, 32, 0.00, 0: 8; 1: 44; 2: 41; 3: 4; 
Differentiation_of_T_lymphocytes, 558,  8,  7,  138, 0, 3, 439190, 30005.01, 32, 0.00, 0: 8; 1: 49; 2: 31; 3: 9; 
Differentiation_of_T_lymphocytes, 552,  8,  7,  138, 0, 3, 439146, 30005.01, 32, 0.00, 0: 8; 1: 45; 2: 39; 3: 5; 
Differentiation_of_T_lymphocytes,  37,  8,  7,  138, 0, 3, 439090, 30005.01, 0, 0.00, 0: 8; 1: 45; 2: 39; 3: 5; 
Differentiation_of_T_lymphocytes, 810,  9,  6,  138, 0, 3, 426051, 30005.01, 76, 0.00, 0: 8; 1: 49; 2: 31; 3: 9; 
Differentiation_of_T_lymphocytes, 916,  8,  7,  138, 0, 3, 439291, 30005.01, 221, 0.00, 0: 8; 1: 47; 2: 35; 3: 7; 
Differentiation_of_T_lymphocytes, 477,  7,  8,  138, 0, 3, 439116, 30005.01, 85, 0.00, 0: 8; 1: 46; 2: 37; 3: 6; 
Differentiation_of_T_lymphocytes, 680,  8,  7,  138, 0, 3, 439109, 30005.01, 32, 0.00, 0: 8; 1: 47; 2: 35; 3: 7; 
Differentiation_of_T_lymphocytes, 508,  5, 11,  138, 0, 3, 432008, 30005.01, 2, 0.00, 0: 8; 1: 47; 2: 35; 3: 7; 
Differentiation_of_T_lymphocytes, 716,  7,  8,  138, 0, 3, 439290, 30005.01, 221, 0.00, 0: 8; 1: 46; 2: 37; 3: 6; 
Differentiation_of_T_lymphocytes, 400,  7,  8,  138, 0, 3, 439259, 30005.01, 0, 0.00, 0: 8; 1: 44; 2: 41; 3: 4; 
Differentiation_of_T_lymphocytes, 363,  6,  9,  138, 0, 3, 426080, 30005.01, 84, 0.00, 0: 8; 1: 49; 2: 31; 3: 9; 
Differentiation_of_T_lymphocytes, 493,  6,  9,  138, 0, 3, 426129, 30005.01, 32, 0.00, 0: 8; 1: 45; 2: 39; 3: 5; 
Differentiation_of_T_lymphocytes, 205,  8,  7,  138, 0, 3, 439182, 30005.01, 85, 0.00, 0: 8; 1: 46; 2: 37; 3: 6; 
Differentiation_of_T_lymphocytes, 904,  9,  6,  138, 0, 3, 426062, 30005.01, 128, 0.00, 0: 8; 1: 46; 2: 37; 3: 6; 
Differentiation_of_T_lymphocytes, 501,  7,  8,  138, 0, 3, 439391, 30005.01, 0, 0.00, 0: 8; 1: 45; 2: 39; 3: 5; 
Differentiation_of_T_lymphocytes, 726,  5, 10,  138, 0, 3, 395675, 30005.01, 0, 0.00, 0: 8; 1: 48; 2: 33; 3: 8; 
Differentiation_of_T_lymphocytes, 637,  7,  8,  138, 0, 3, 439219, 30005.01, 0, 0.00, 0: 8; 1: 46; 2: 37; 3: 6; 
Differentiation_of_T_lymphocytes, 409,  9,  6,  139, 0, 3, 425967, 30005.01, 118, 0.00, 0: 8; 1: 46; 2: 36; 3: 7; 
Differentiation_of_T_lymphocytes, 407,  5, 12,  139, 0, 3, 463814, 30005.01, 0, 0.00, 0: 8; 1: 47; 2: 34; 3: 8; 
Differentiation_of_T_lymphocytes, 151,  5, 10,  139, 0, 3, 395675, 30005.01, 0, 0.00, 0: 8; 1: 47; 2: 34; 3: 8; 
Differentiation_of_T_lymphocytes, 993,  9,  6,  139, 0, 3, 426079, 30005.01, 0, 0.00, 0: 8; 1: 47; 2: 34; 3: 8; 
Differentiation_of_T_lymphocytes,  17,  9,  6,  139, 0, 3, 426048, 30005.01, 116, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 845,  5, 12,  139, 0, 3, 463757, 30005.01, 85, 0.00, 0: 8; 1: 44; 2: 40; 3: 5; 
Differentiation_of_T_lymphocytes, 158,  5, 11,  139, 0, 3, 432185, 30005.01, 0, 0.00, 0: 8; 1: 46; 2: 36; 3: 7; 
Differentiation_of_T_lymphocytes, 234,  7,  8,  139, 0, 3, 439150, 30005.01, 111, 0.00, 0: 8; 1: 45; 2: 38; 3: 6; 
Differentiation_of_T_lymphocytes, 817,  6,  9,  139, 0, 3, 426126, 30005.01, 0, 0.00, 0: 8; 1: 45; 2: 38; 3: 6; 
Differentiation_of_T_lymphocytes, 606,  8,  7,  139, 0, 3, 439079, 30005.01, 0, 0.00, 0: 8; 1: 45; 2: 38; 3: 6; 
Differentiation_of_T_lymphocytes, 394,  9,  6,  139, 0, 3, 426052, 30005.01, 0, 0.00, 0: 8; 1: 47; 2: 34; 3: 8; 
Differentiation_of_T_lymphocytes, 229,  7,  8,  139, 0, 3, 439254, 30005.01, 0, 0.00, 0: 8; 1: 43; 2: 42; 3: 4; 
Differentiation_of_T_lymphocytes, 314,  6,  9,  139, 0, 3, 426123, 30005.01, 0, 0.00, 0: 8; 1: 44; 2: 40; 3: 5; 
Differentiation_of_T_lymphocytes, 800,  6,  9,  139, 0, 3, 426104, 30005.01, 7, 0.00, 0: 8; 1: 45; 2: 38; 3: 6; 
Differentiation_of_T_lymphocytes, 504,  7,  8,  139, 0, 3, 439192, 30005.01, 0, 0.00, 0: 8; 1: 47; 2: 34; 3: 8; 
Differentiation_of_T_lymphocytes, 622,  8,  7,  139, 0, 3, 439234, 30005.01, 0, 0.00, 0: 8; 1: 45; 2: 38; 3: 6; 
Differentiation_of_T_lymphocytes, 986,  9,  6,  139, 0, 3, 426017, 30005.01, 2, 0.00, 0: 8; 1: 46; 2: 36; 3: 7; 
Differentiation_of_T_lymphocytes, 398,  6,  9,  139, 0, 3, 426137, 30005.01, 0, 0.00, 0: 8; 1: 49; 2: 30; 3: 10; 
Differentiation_of_T_lymphocytes, 184,  6,  9,  139, 0, 3, 426088, 30005.01, 0, 0.00, 0: 8; 1: 45; 2: 38; 3: 6; 
Differentiation_of_T_lymphocytes, 355,  8,  7,  139, 0, 3, 439203, 30005.01, 0, 0.00, 0: 8; 1: 47; 2: 34; 3: 8; 
Differentiation_of_T_lymphocytes,  30,  7,  8,  139, 0, 3, 439223, 30005.01, 0, 0.00, 0: 8; 1: 45; 2: 38; 3: 6; 
Differentiation_of_T_lymphocytes, 109,  9,  6,  139, 0, 3, 426079, 30005.01, 0, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes,  79,  7,  8,  139, 0, 3, 439185, 30005.01, 0, 0.00, 0: 8; 1: 43; 2: 42; 3: 4; 
Differentiation_of_T_lymphocytes, 751,  8,  7,  139, 0, 3, 439275, 30005.01, 0, 0.00, 0: 8; 1: 51; 2: 26; 3: 12; 
Differentiation_of_T_lymphocytes, 752,  8,  7,  139, 0, 3, 439186, 30005.01, 8, 0.00, 0: 8; 1: 46; 2: 36; 3: 7; 
Differentiation_of_T_lymphocytes,  22,  7,  8,  139, 0, 3, 439233, 30005.01, 0, 0.00, 0: 8; 1: 47; 2: 34; 3: 8; 
Differentiation_of_T_lymphocytes, 753,  8,  7,  139, 0, 3, 439119, 30005.01, 0, 0.00, 0: 8; 1: 44; 2: 40; 3: 5; 
Differentiation_of_T_lymphocytes,  35,  8,  7,  139, 0, 3, 439206, 30005.01, 0, 0.00, 0: 8; 1: 47; 2: 34; 3: 8; 
Differentiation_of_T_lymphocytes, 514,  7,  8,  139, 0, 3, 439173, 30005.01, 2, 0.00, 0: 8; 1: 46; 2: 36; 3: 7; 
Differentiation_of_T_lymphocytes, 755,  7,  8,  139, 0, 3, 438989, 30005.01, 0, 0.00, 0: 8; 1: 45; 2: 38; 3: 6; 
Differentiation_of_T_lymphocytes, 287,  7,  8,  139, 0, 3, 439147, 30005.01, 0, 0.00, 0: 8; 1: 46; 2: 36; 3: 7; 
Differentiation_of_T_lymphocytes, 760,  7,  8,  139, 0, 3, 439102, 30005.01, 0, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 929,  5, 10,  139, 0, 3, 395675, 30005.01, 0, 0.00, 0: 8; 1: 46; 2: 36; 3: 7; 
Differentiation_of_T_lymphocytes, 377,  9,  6,  139, 0, 3, 425937, 30005.01, 0, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 899,  5, 10,  139, 0, 3, 395675, 30005.01, 60, 0.00, 0: 8; 1: 46; 2: 36; 3: 7; 
Differentiation_of_T_lymphocytes, 274,  5, 10,  139, 0, 3, 395675, 30005.01, 59, 0.00, 0: 8; 1: 46; 2: 36; 3: 7; 
Differentiation_of_T_lymphocytes, 686,  6,  9,  139, 0, 3, 426086, 30005.01, 32, 0.00, 0: 8; 1: 44; 2: 40; 3: 5; 
Differentiation_of_T_lymphocytes, 674,  5, 11,  139, 0, 3, 432164, 30005.01, 0, 0.00, 0: 8; 1: 45; 2: 38; 3: 6; 
Differentiation_of_T_lymphocytes, 975,  8,  7,  139, 0, 3, 439175, 30005.01, 0, 0.00, 0: 8; 1: 49; 2: 30; 3: 10; 
Differentiation_of_T_lymphocytes, 470,  8,  7,  139, 0, 3, 439277, 30005.01, 0, 0.00, 0: 8; 1: 50; 2: 28; 3: 11; 
Differentiation_of_T_lymphocytes, 543,  7,  8,  139, 0, 3, 439207, 30005.01, 0, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 727,  9,  6,  139, 0, 3, 426086, 30005.01, 0, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 137,  7,  8,  139, 0, 3, 439270, 30005.01, 56, 0.00, 0: 8; 1: 43; 2: 42; 3: 4; 
Differentiation_of_T_lymphocytes, 589,  7,  8,  139, 0, 3, 439163, 30005.01, 85, 0.00, 0: 8; 1: 48; 2: 32; 3: 9; 
Differentiation_of_T_lymphocytes, 620,  8,  7,  140, 0, 3, 439244, 30005.01, 103, 0.00, 0: 8; 1: 47; 2: 33; 3: 9; 
Differentiation_of_T_lymphocytes, 186,  7,  8,  140, 0, 3, 439284, 30005.01, 0, 0.00, 0: 8; 1: 45; 2: 37; 3: 7; 
Differentiation_of_T_lymphocytes, 823,  7,  8,  140, 0, 3, 439035, 30005.01, 0, 0.00, 0: 8; 1: 48; 2: 31; 3: 10; 
Differentiation_of_T_lymphocytes, 775,  9,  6,  140, 0, 3, 426133, 30005.01, 0, 0.00, 0: 8; 1: 46; 2: 35; 3: 8; 
Differentiation_of_T_lymphocytes,  93,  8,  7,  140, 0, 3, 439136, 30005.01, 85, 0.00, 0: 8; 1: 46; 2: 35; 3: 8; 
Differentiation_of_T_lymphocytes, 569,  7,  8,  140, 0, 3, 439246, 30005.01, 0, 0.00, 0: 8; 1: 44; 2: 39; 3: 6; 
Differentiation_of_T_lymphocytes,  78,  6,  9,  140, 0, 3, 426175, 30005.01, 0, 0.00, 0: 8; 1: 42; 2: 43; 3: 4; 
Differentiation_of_T_lymphocytes, 329,  6,  9,  140, 0, 3, 426134, 30005.01, 110, 0.00, 0: 8; 1: 43; 2: 41; 3: 5; 
