Seed 1656949570
ARCH 1|F_ID 3|LIMIT 3
before: 
2(776)
Melhor resultado nxn: Differentiation_of_T_lymphocytes, 793,  7,  8,  110, 1, 2, 439419, 28650.14, 72, 0.00, 1: 84; 2: 13; 
Differentiation_of_T_lymphocytes, 571,  7,  8,  112, 1, 2, 439443, 28650.14, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 859,  8,  7,  112, 1, 2, 438990, 28650.14, 14, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 603,  9,  6,  112, 1, 2, 426051, 28650.14, 14, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 807,  9,  6,  112, 1, 2, 426077, 28650.14, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 442,  8,  7,  112, 1, 2, 438873, 28650.14, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 724,  8,  7,  112, 1, 2, 438699, 28650.14, 62, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes,   7,  7,  8,  112, 1, 2, 439307, 28650.14, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes,  96,  5, 12,  112, 1, 2, 464200, 28650.14, 5, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 233,  8,  7,  112, 1, 2, 439589, 28650.14, 69, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 973,  7,  8,  112, 1, 2, 439011, 28650.14, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 449,  6,  9,  112, 1, 2, 426125, 28650.14, 62, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 347,  8,  7,  112, 1, 2, 439090, 28650.14, 14, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 506,  8,  7,  112, 1, 2, 438905, 28650.14, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 916,  8,  7,  112, 1, 2, 439392, 28650.14, 62, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 661,  8,  7,  112, 1, 2, 439347, 28650.14, 86, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 517,  7,  8,  112, 1, 2, 439220, 28650.14, 86, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 136,  8,  7,  112, 1, 2, 439218, 28650.14, 192, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 961,  5, 10,  113, 1, 2, 395675, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 381,  5, 11,  113, 1, 2, 432540, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 412,  5, 11,  113, 1, 2, 432409, 28650.14, 62, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 228,  6,  9,  113, 1, 2, 425883, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 241,  6,  9,  113, 1, 2, 425987, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 809,  5, 11,  113, 1, 2, 431914, 28650.14, 73, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 857,  8,  7,  113, 1, 2, 439027, 28650.14, 72, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 427,  7,  8,  113, 1, 2, 439260, 28650.14, 109, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 813,  7,  8,  113, 1, 2, 439407, 28650.14, 82, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 552,  8,  7,  113, 1, 2, 439260, 28650.14, 32, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 508,  5, 11,  113, 1, 2, 432100, 28650.14, 2, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 501,  7,  8,  113, 1, 2, 439250, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 505,  5, 11,  113, 1, 2, 432312, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 263,  9,  6,  113, 1, 2, 426032, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes,  87,  6,  9,  113, 1, 2, 425883, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 777,  7,  8,  113, 1, 2, 439169, 28650.14, 64, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes,  16,  9,  6,  113, 1, 2, 425981, 28650.14, 224, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 788,  5, 12,  113, 1, 2, 464273, 28650.14, 62, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 456,  8,  7,  113, 1, 2, 439316, 28650.14, 192, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 206,  7,  8,  113, 1, 2, 439366, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 737,  6,  9,  113, 1, 2, 425829, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 686,  6,  9,  113, 1, 2, 426106, 28650.14, 32, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 562,  7,  8,  113, 1, 2, 439171, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 174,  8,  7,  113, 1, 2, 439067, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 437,  7,  8,  113, 1, 2, 439534, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes,  37,  8,  7,  113, 1, 2, 439353, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 871,  6,  9,  113, 1, 2, 426299, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes,   8,  8,  7,  113, 1, 2, 439463, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 876,  7,  8,  113, 1, 2, 439376, 28650.14, 50, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes,  46,  6,  9,  113, 1, 2, 426118, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes,   5,  6,  9,  113, 1, 2, 426219, 28650.14, 127, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 563,  7,  8,  113, 1, 2, 438819, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 845,  5, 12,  113, 1, 2, 464072, 28650.14, 86, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 433,  6,  9,  113, 1, 2, 426181, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 715,  7,  8,  113, 1, 2, 439215, 28650.14, 14, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 730,  7,  8,  113, 1, 2, 439216, 28650.14, 171, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 369,  7,  8,  113, 1, 2, 438881, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 933,  5, 12,  113, 1, 2, 464145, 28650.14, 0, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 987,  9,  6,  113, 1, 2, 426309, 28650.14, 14, 0.00, 1: 81; 2: 16; 
Differentiation_of_T_lymphocytes, 197,  5, 12,  114, 1, 2, 464229, 28650.14, 86, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 116,  7,  8,  114, 1, 2, 439333, 28650.14, 29, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 865,  8,  7,  114, 1, 2, 439331, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 510,  5, 11,  114, 1, 2, 432147, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 201,  8,  7,  114, 1, 2, 439372, 28650.14, 237, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 117,  9,  6,  114, 1, 2, 426181, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 885,  5, 12,  114, 1, 2, 464142, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 237,  5, 11,  114, 1, 2, 432482, 28650.14, 115, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 785,  7,  8,  114, 1, 2, 439473, 28650.14, 64, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 685,  5, 12,  114, 1, 2, 464589, 28650.14, 82, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 120,  9,  6,  114, 1, 2, 426169, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 980,  5, 12,  114, 1, 2, 464023, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 768,  8,  7,  114, 1, 2, 439563, 28650.14, 240, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 494,  7,  8,  114, 1, 2, 439105, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 772,  7,  8,  114, 1, 2, 439442, 28650.14, 62, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 802,  8,  7,  114, 1, 2, 439260, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 217,  7,  8,  114, 1, 2, 439421, 28650.14, 69, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 677,  5, 11,  114, 1, 2, 432216, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 499,  5, 12,  114, 1, 2, 463866, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 500,  8,  7,  114, 1, 2, 439152, 28650.14, 36, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 185,  5, 11,  114, 1, 2, 432196, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 436,  7,  8,  114, 1, 2, 439182, 28650.14, 4, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 231,  8,  7,  114, 1, 2, 439660, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 232,  8,  7,  114, 1, 2, 438958, 28650.14, 32, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 177,  7,  8,  114, 1, 2, 438965, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 805,  7,  8,  114, 1, 2, 439126, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 806,  6,  9,  114, 1, 2, 426027, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 204,  9,  6,  114, 1, 2, 426245, 28650.14, 62, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 184,  6,  9,  114, 1, 2, 426261, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes,  39,  8,  7,  114, 1, 2, 439297, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 821,  8,  7,  114, 1, 2, 439089, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 654,  7,  8,  114, 1, 2, 439268, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 275,  6,  9,  114, 1, 2, 425932, 28650.14, 13, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 554,  5, 12,  114, 1, 2, 463610, 28650.14, 70, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 824,  7,  8,  114, 1, 2, 439276, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 558,  8,  7,  114, 1, 2, 439272, 28650.14, 32, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 887,  5, 12,  114, 1, 2, 463335, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 372,  8,  7,  114, 1, 2, 439273, 28650.14, 9, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes,  60,  6,  9,  114, 1, 2, 426307, 28650.14, 62, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 566,  9,  6,  114, 1, 2, 426124, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes,  52,  8,  7,  114, 1, 2, 439045, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 988,  7,  8,  114, 1, 2, 439210, 28650.14, 62, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 285,  8,  7,  114, 1, 2, 439159, 28650.14, 86, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 832,  7,  8,  114, 1, 2, 439274, 28650.14, 48, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 518,  9,  6,  114, 1, 2, 426108, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes,  36,  7,  8,  114, 1, 2, 439344, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 589,  7,  8,  114, 1, 2, 439449, 28650.14, 86, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 597,  8,  7,  114, 1, 2, 439208, 28650.14, 86, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes,  30,  7,  8,  114, 1, 2, 439275, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 872,  6,  9,  114, 1, 2, 426121, 28650.14, 32, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 600,  6,  9,  114, 1, 2, 426074, 28650.14, 88, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 836,  7,  8,  114, 1, 2, 439283, 28650.14, 62, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 605,  9,  6,  114, 1, 2, 426177, 28650.14, 86, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 304,  8,  7,  114, 1, 2, 439253, 28650.14, 18, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 633,  5, 11,  114, 1, 2, 432391, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 997,  6,  9,  114, 1, 2, 425769, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 329,  6,  9,  114, 1, 2, 426220, 28650.14, 62, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 314,  6,  9,  114, 1, 2, 425987, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 622,  8,  7,  114, 1, 2, 439266, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 271,  7,  8,  114, 1, 2, 438864, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 114,  6,  9,  114, 1, 2, 425978, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 924,  5, 12,  114, 1, 2, 464008, 28650.14, 62, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 244,  7,  8,  114, 1, 2, 439311, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 107,  8,  7,  114, 1, 2, 439260, 28650.14, 56, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 105,  9,  6,  114, 1, 2, 425929, 28650.14, 67, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 524,  7,  8,  114, 1, 2, 439299, 28650.14, 62, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 526,  8,  7,  114, 1, 2, 439093, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 528,  5, 11,  114, 1, 2, 432429, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 926,  6,  9,  114, 1, 2, 426044, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 402,  7,  8,  114, 1, 2, 439196, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 707,  9,  6,  114, 1, 2, 426147, 28650.14, 14, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 395,  8,  7,  114, 1, 2, 439277, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 754,  7,  8,  114, 1, 2, 439244, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 535,  9,  6,  114, 1, 2, 426044, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 817,  6,  9,  114, 1, 2, 426083, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 543,  7,  8,  114, 1, 2, 439102, 28650.14, 0, 0.00, 1: 80; 2: 17; 
Differentiation_of_T_lymphocytes, 443,  5, 12,  115, 1, 2, 464207, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 319,  7,  8,  115, 1, 2, 439082, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 236,  6,  9,  115, 1, 2, 426063, 28650.14, 101, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 931,  7,  8,  115, 1, 2, 439310, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 723,  9,  6,  115, 1, 2, 425877, 28650.14, 14, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 446,  5, 12,  115, 1, 2, 464305, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 422,  5, 12,  115, 1, 2, 463628, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 278,  5, 12,  115, 1, 2, 464198, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 337,  9,  6,  115, 1, 2, 426118, 28650.14, 62, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 239,  6,  9,  115, 1, 2, 426004, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 928,  7,  8,  115, 1, 2, 439426, 28650.14, 7, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 313,  5, 11,  115, 1, 2, 432135, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 729,  5, 12,  115, 1, 2, 463714, 28650.14, 71, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 383,  5, 11,  115, 1, 2, 431835, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 450,  7,  8,  115, 1, 2, 439266, 28650.14, 171, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 198,  5, 11,  115, 1, 2, 432202, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 219,  7,  8,  115, 1, 2, 439204, 28650.14, 14, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 757,  5, 10,  115, 1, 2, 395675, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 710,  8,  7,  115, 1, 2, 438955, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 361,  7,  8,  115, 1, 2, 439184, 28650.14, 71, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 356,  6,  9,  115, 1, 2, 426288, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 766,  6,  9,  115, 1, 2, 425981, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 214,  7,  8,  115, 1, 2, 439393, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 742,  5, 10,  115, 1, 2, 395675, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 704,  9,  6,  115, 1, 2, 426141, 28650.14, 176, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 720,  7,  8,  115, 1, 2, 439140, 28650.14, 192, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 760,  7,  8,  115, 1, 2, 439275, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 266,  7,  8,  115, 1, 2, 439346, 28650.14, 228, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 209,  6,  9,  115, 1, 2, 425838, 28650.14, 237, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 294,  5, 11,  115, 1, 2, 431979, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 874,  5, 11,  115, 1, 2, 432295, 28650.14, 76, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 268,  5, 11,  115, 1, 2, 432281, 28650.14, 62, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 296,  5, 12,  115, 1, 2, 463978, 28650.14, 32, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 410,  5, 11,  115, 1, 2, 432129, 28650.14, 171, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 109,  9,  6,  115, 1, 2, 425768, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 596,  8,  7,  115, 1, 2, 439264, 28650.14, 62, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes,  32,  5, 11,  115, 1, 2, 432400, 28650.14, 5, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 531,  5, 12,  115, 1, 2, 464192, 28650.14, 14, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 598,  7,  8,  115, 1, 2, 439219, 28650.14, 0, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 523,  5, 10,  115, 1, 2, 395675, 28650.14, 14, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 522,  5, 12,  115, 1, 2, 463757, 28650.14, 171, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 106,  5, 12,  115, 1, 2, 464144, 28650.14, 68, 0.00, 1: 79; 2: 18; 
Differentiation_of_T_lymphocytes, 108,  9,  6,  115, 1, 2, 426027, 28650.14, 32, 0.00, 1: 79; 2: 18; 
