Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
04(519)
Melhor resultado nxn: IGVH_mutations_in_chronic_lymphocytic_leukemia, 974, 10, 10,  236, 0, 4, 795976, 55407.78, 0, 0.00, 0: 25; 1: 48; 2: 48; 3: 24; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 101,  9, 11,  244, 0, 4, 785956, 55407.78, 0, 0.00, 0: 25; 1: 43; 2: 50; 3: 27; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 263, 11,  9,  244, 0, 4, 785967, 55407.78, 0, 0.00, 0: 25; 1: 46; 2: 48; 3: 22; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 301, 10, 10,  244, 0, 4, 795984, 55407.78, 0, 0.00, 0: 25; 1: 47; 2: 44; 3: 27; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  10, 11,  9,  245, 0, 4, 786186, 55407.78, 31, 0.00, 0: 25; 1: 41; 2: 51; 3: 30; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 602, 10, 10,  245, 0, 4, 796007, 55407.78, 0, 0.00, 0: 25; 1: 47; 2: 44; 3: 26; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 168, 11,  9,  245, 0, 4, 786245, 55407.78, 23, 0.00, 0: 25; 1: 47; 2: 41; 3: 32; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 607, 10, 10,  245, 0, 4, 795861, 55407.78, 0, 0.00, 0: 25; 1: 42; 2: 52; 3: 25; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  90, 12,  8,  245, 0, 4, 764484, 55407.78, 0, 0.00, 0: 25; 1: 43; 2: 50; 3: 26; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 293,  9, 11,  245, 0, 4, 786129, 55407.78, 0, 0.00, 0: 25; 1: 47; 2: 42; 3: 30; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 342, 10, 10,  245, 0, 4, 796027, 55407.78, 0, 0.00, 0: 25; 1: 43; 2: 51; 3: 24; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 177, 11,  9,  245, 0, 4, 786005, 55407.78, 0, 0.00, 0: 25; 1: 44; 2: 48; 3: 27; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 505,  8, 12,  245, 0, 4, 764368, 55407.78, 0, 0.00, 0: 25; 1: 43; 2: 49; 3: 28; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 765,  9, 11,  245, 0, 4, 786107, 55407.78, 0, 0.00, 0: 25; 1: 42; 2: 50; 3: 29; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 799, 10, 10,  245, 0, 4, 796100, 55407.78, 0, 0.00, 0: 25; 1: 42; 2: 52; 3: 25; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 473, 10, 10,  245, 0, 4, 795852, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 57; 3: 24; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 822, 11,  9,  245, 0, 4, 786059, 55407.78, 0, 0.00, 0: 25; 1: 40; 2: 56; 3: 23; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 373,  9, 11,  245, 0, 4, 786098, 55407.78, 0, 0.00, 0: 25; 1: 48; 2: 40; 3: 31; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 333,  8, 12,  245, 0, 4, 764408, 55407.78, 0, 0.00, 0: 25; 1: 46; 2: 47; 3: 23; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 449,  9, 11,  246, 0, 4, 786108, 55407.78, 0, 0.00, 0: 25; 1: 42; 2: 49; 3: 30; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 896, 11,  9,  246, 0, 4, 786176, 55407.78, 84, 0.00, 0: 25; 1: 44; 2: 45; 3: 32; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 755,  8, 12,  246, 0, 4, 764443, 55407.78, 0, 0.00, 0: 25; 1: 45; 2: 45; 3: 29; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 652, 10, 10,  246, 0, 4, 796105, 55407.78, 77, 0.00, 0: 25; 1: 44; 2: 48; 3: 26; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 712,  9, 11,  246, 0, 4, 786119, 55407.78, 62, 0.00, 0: 25; 1: 42; 2: 51; 3: 26; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 142, 10, 10,  246, 0, 4, 796091, 55407.78, 0, 0.00, 0: 25; 1: 45; 2: 46; 3: 27; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 862,  9, 11,  246, 0, 4, 786130, 55407.78, 0, 0.00, 0: 25; 1: 43; 2: 49; 3: 27; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 766, 11,  9,  246, 0, 4, 786094, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 55; 3: 27; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 778, 12,  8,  246, 0, 4, 764370, 55407.78, 0, 0.00, 0: 25; 1: 45; 2: 46; 3: 27; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 562,  9, 11,  246, 0, 4, 786101, 55407.78, 0, 0.00, 0: 25; 1: 43; 2: 47; 3: 31; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 455, 10, 10,  246, 0, 4, 796123, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 57; 3: 23; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 260, 11,  9,  246, 0, 4, 786087, 55407.78, 28, 0.00, 0: 25; 1: 40; 2: 54; 3: 26; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 709, 11,  9,  246, 0, 4, 786176, 55407.78, 0, 0.00, 0: 25; 1: 41; 2: 53; 3: 25; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 416, 10, 10,  246, 0, 4, 796114, 55407.78, 40, 0.00, 0: 25; 1: 45; 2: 44; 3: 31; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 989, 11,  9,  246, 0, 4, 786111, 55407.78, 0, 0.00, 0: 25; 1: 42; 2: 49; 3: 30; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 126, 10, 10,  247, 0, 4, 795976, 55407.78, 0, 0.00, 0: 25; 1: 41; 2: 52; 3: 26; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 594, 10, 10,  247, 0, 4, 795959, 55407.78, 0, 0.00, 0: 25; 1: 45; 2: 45; 3: 28; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 133, 11,  9,  247, 0, 4, 785881, 55407.78, 0, 0.00, 0: 25; 1: 45; 2: 42; 3: 34; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 663, 10, 10,  247, 0, 4, 796013, 55407.78, 0, 0.00, 0: 25; 1: 44; 2: 47; 3: 27; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 706, 10, 10,  247, 0, 4, 795973, 55407.78, 0, 0.00, 0: 25; 1: 43; 2: 49; 3: 26; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 271,  9, 11,  247, 0, 4, 786126, 55407.78, 0, 0.00, 0: 25; 1: 44; 2: 48; 3: 25; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 303,  9, 11,  247, 0, 4, 786083, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 55; 3: 26; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 211, 10, 10,  247, 0, 4, 796012, 55407.78, 0, 0.00, 0: 25; 1: 48; 2: 42; 3: 25; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 376,  8, 12,  247, 0, 4, 764438, 55407.78, 38, 0.00, 0: 25; 1: 44; 2: 47; 3: 27; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 508, 11,  9,  247, 0, 4, 786093, 55407.78, 3, 0.00, 0: 25; 1: 45; 2: 43; 3: 32; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 191, 11,  9,  247, 0, 4, 786086, 55407.78, 0, 0.00, 0: 25; 1: 43; 2: 50; 3: 24; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 865, 12,  8,  247, 0, 4, 764402, 55407.78, 0, 0.00, 0: 25; 1: 41; 2: 54; 3: 22; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  49,  8, 12,  248, 0, 4, 764446, 55407.78, 0, 0.00, 0: 25; 1: 44; 2: 47; 3: 26; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 496, 10, 10,  248, 0, 4, 796091, 55407.78, 46, 0.00, 0: 25; 1: 38; 2: 57; 3: 24; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 713, 10, 10,  248, 0, 4, 795986, 55407.78, 0, 0.00, 0: 25; 1: 43; 2: 45; 3: 33; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 413, 10, 10,  248, 0, 4, 796043, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 54; 3: 27; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 314, 12,  8,  248, 0, 4, 764394, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 54; 3: 27; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 863,  9, 11,  248, 0, 4, 786185, 55407.78, 0, 0.00, 0: 25; 1: 42; 2: 50; 3: 26; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 619, 12,  8,  248, 0, 4, 764373, 55407.78, 0, 0.00, 0: 25; 1: 47; 2: 41; 3: 29; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 149, 10, 10,  248, 0, 4, 795874, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 55; 3: 25; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 975,  9, 11,  248, 0, 4, 786059, 55407.78, 0, 0.00, 0: 25; 1: 41; 2: 52; 3: 25; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 630, 12,  8,  248, 0, 4, 764366, 55407.78, 0, 0.00, 0: 25; 1: 45; 2: 46; 3: 25; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 629,  9, 11,  248, 0, 4, 786106, 55407.78, 0, 0.00, 0: 25; 1: 42; 2: 51; 3: 24; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 290,  8, 12,  248, 0, 4, 764423, 55407.78, 0, 0.00, 0: 25; 1: 45; 2: 42; 3: 33; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 623, 11,  9,  248, 0, 4, 786090, 55407.78, 0, 0.00, 0: 25; 1: 44; 2: 45; 3: 30; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 193,  8, 12,  248, 0, 4, 764342, 55407.78, 0, 0.00, 0: 25; 1: 41; 2: 51; 3: 27; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 495, 12,  8,  248, 0, 4, 764351, 55407.78, 0, 0.00, 0: 25; 1: 41; 2: 52; 3: 25; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 605, 11,  9,  248, 0, 4, 786190, 55407.78, 0, 0.00, 0: 25; 1: 40; 2: 53; 3: 26; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 934, 11,  9,  248, 0, 4, 786182, 55407.78, 0, 0.00, 0: 25; 1: 43; 2: 48; 3: 27; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 472, 10, 10,  248, 0, 4, 796176, 55407.78, 43, 0.00, 0: 25; 1: 45; 2: 46; 3: 25; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 749, 11,  9,  248, 0, 4, 786230, 55407.78, 0, 0.00, 0: 25; 1: 44; 2: 44; 3: 32; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  83, 10, 10,  248, 0, 4, 795950, 55407.78, 0, 0.00, 0: 25; 1: 41; 2: 52; 3: 25; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 637, 11,  9,  248, 0, 4, 786100, 55407.78, 0, 0.00, 0: 25; 1: 41; 2: 50; 3: 29; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 294, 10, 10,  249, 0, 4, 796070, 55407.78, 0, 0.00, 0: 25; 1: 36; 2: 60; 3: 23; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 949, 11,  9,  249, 0, 4, 786025, 55407.78, 0, 0.00, 0: 25; 1: 40; 2: 50; 3: 31; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  58,  8, 12,  249, 0, 4, 764383, 55407.78, 0, 0.00, 0: 25; 1: 42; 2: 49; 3: 27; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 502, 12,  8,  249, 0, 4, 764410, 55407.78, 0, 0.00, 0: 25; 1: 42; 2: 47; 3: 31; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 979,  8, 12,  249, 0, 4, 764418, 55407.78, 0, 0.00, 0: 25; 1: 40; 2: 52; 3: 27; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 385, 12,  8,  249, 0, 4, 764311, 55407.78, 0, 0.00, 0: 25; 1: 42; 2: 48; 3: 29; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 726, 10, 10,  249, 0, 4, 796134, 55407.78, 0, 0.00, 0: 25; 1: 41; 2: 49; 3: 30; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 291, 11,  9,  249, 0, 4, 786099, 55407.78, 0, 0.00, 0: 25; 1: 44; 2: 45; 3: 29; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  32, 10, 10,  249, 0, 4, 796020, 55407.78, 4, 0.00, 0: 25; 1: 46; 2: 39; 3: 35; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 644, 12,  8,  249, 0, 4, 764399, 55407.78, 54, 0.00, 0: 25; 1: 41; 2: 52; 3: 24; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 579, 10, 10,  249, 0, 4, 795942, 55407.78, 0, 0.00, 0: 25; 1: 41; 2: 52; 3: 24; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 900, 12,  8,  249, 0, 4, 764365, 55407.78, 84, 0.00, 0: 25; 1: 40; 2: 53; 3: 25; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 950,  8, 12,  249, 0, 4, 764396, 55407.78, 0, 0.00, 0: 25; 1: 43; 2: 45; 3: 32; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 351, 10, 10,  249, 0, 4, 795995, 55407.78, 0, 0.00, 0: 25; 1: 43; 2: 45; 3: 32; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 627, 12,  8,  249, 0, 4, 764353, 55407.78, 0, 0.00, 0: 25; 1: 42; 2: 48; 3: 29; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 116, 12,  8,  249, 0, 4, 764327, 55407.78, 59, 0.00, 0: 25; 1: 41; 2: 50; 3: 28; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 902, 11,  9,  249, 0, 4, 786125, 55407.78, 0, 0.00, 0: 25; 1: 40; 2: 50; 3: 31; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 708,  9, 11,  249, 0, 4, 786259, 55407.78, 38, 0.00, 0: 25; 1: 42; 2: 49; 3: 27; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 454, 11,  9,  249, 0, 4, 786063, 55407.78, 0, 0.00, 0: 25; 1: 47; 2: 42; 3: 26; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 965,  8, 12,  249, 0, 4, 764377, 55407.78, 0, 0.00, 0: 25; 1: 44; 2: 44; 3: 31; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 267, 11,  9,  249, 0, 4, 786091, 55407.78, 0, 0.00, 0: 25; 1: 45; 2: 44; 3: 28; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 254, 12,  8,  250, 0, 4, 764435, 55407.78, 0, 0.00, 0: 25; 1: 44; 2: 44; 3: 30; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 601, 11,  9,  250, 0, 4, 786137, 55407.78, 0, 0.00, 0: 25; 1: 41; 2: 50; 3: 27; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 985, 11,  9,  250, 0, 4, 786124, 55407.78, 0, 0.00, 0: 25; 1: 41; 2: 49; 3: 29; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 693, 11,  9,  250, 0, 4, 786215, 55407.78, 0, 0.00, 0: 25; 1: 40; 2: 51; 3: 28; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 668, 12,  8,  250, 0, 4, 764325, 55407.78, 38, 0.00, 0: 25; 1: 45; 2: 42; 3: 31; 4: 7; 
