Seed 1656949570
ARCH 2|F_ID 2|LIMIT 3
before: 
3(1000)
Melhor resultado nxn: B_bronchiseptica_and_T_retortaeformis_coinfectio, 726,  6, 10,  188, 1, 3, 470520, 16882.14, 0, 0.00, 1: 86; 2: 45; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 256,  6, 10,  190, 1, 3, 470571, 16882.14, 7, 0.00, 1: 87; 2: 41; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 771,  6,  9,  190, 1, 3, 427869, 16882.14, 0, 0.00, 1: 86; 2: 43; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 989,  6, 10,  190, 1, 3, 470551, 16882.14, 0, 0.00, 1: 84; 2: 47; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 986,  9,  6,  190, 1, 3, 427869, 16882.14, 0, 0.00, 1: 86; 2: 43; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 244,  7,  8,  190, 1, 3, 442605, 16882.14, 38, 0.00, 1: 82; 2: 51; 3: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 139,  7,  8,  191, 1, 3, 442639, 16882.14, 0, 0.00, 1: 83; 2: 48; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  47,  6, 10,  191, 1, 3, 470466, 16882.14, 0, 0.00, 1: 82; 2: 50; 3: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 247,  6, 10,  191, 1, 3, 470485, 16882.14, 0, 0.00, 1: 86; 2: 42; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 447,  6, 10,  191, 1, 3, 470378, 16882.14, 0, 0.00, 1: 89; 2: 36; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 796,  5, 13,  191, 1, 3, 499362, 16882.14, 6, 0.00, 1: 83; 2: 48; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 941,  6, 10,  191, 1, 3, 470472, 16882.14, 0, 0.00, 1: 84; 2: 46; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 949,  6, 10,  191, 1, 3, 470474, 16882.14, 0, 0.00, 1: 86; 2: 42; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 642,  8,  7,  191, 1, 3, 442627, 16882.14, 0, 0.00, 1: 85; 2: 44; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  64,  6, 10,  191, 1, 3, 470424, 16882.14, 3, 0.00, 1: 84; 2: 46; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 148,  6, 10,  191, 1, 3, 470375, 16882.14, 12, 0.00, 1: 85; 2: 44; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 910,  5, 12,  191, 1, 3, 470473, 16882.14, 0, 0.00, 1: 87; 2: 40; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  60,  6,  9,  191, 1, 3, 427869, 16882.14, 6, 0.00, 1: 85; 2: 44; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 741,  6, 10,  191, 1, 3, 470417, 16882.14, 0, 0.00, 1: 89; 2: 36; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 517,  7,  8,  191, 1, 3, 442653, 16882.14, 0, 0.00, 1: 85; 2: 44; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 819,  9,  6,  191, 1, 3, 427869, 16882.14, 0, 0.00, 1: 86; 2: 42; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 329,  6,  9,  191, 1, 3, 427869, 16882.14, 0, 0.00, 1: 86; 2: 42; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 785,  7,  8,  191, 1, 3, 442648, 16882.14, 0, 0.00, 1: 85; 2: 44; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 997,  6,  9,  191, 1, 3, 427869, 16882.14, 0, 0.00, 1: 85; 2: 44; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  21,  6, 10,  191, 1, 3, 470379, 16882.14, 85, 0.00, 1: 82; 2: 50; 3: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 326,  9,  6,  191, 1, 3, 427869, 16882.14, 0, 0.00, 1: 84; 2: 46; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 496,  9,  6,  191, 1, 3, 427869, 16882.14, 21, 0.00, 1: 84; 2: 46; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 124,  6,  9,  191, 1, 3, 427869, 16882.14, 5, 0.00, 1: 83; 2: 48; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 415,  8,  7,  191, 1, 3, 442638, 16882.14, 0, 0.00, 1: 85; 2: 44; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 967,  9,  6,  191, 1, 3, 427869, 16882.14, 0, 0.00, 1: 85; 2: 44; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 693,  6, 10,  191, 1, 3, 470314, 16882.14, 0, 0.00, 1: 81; 2: 52; 3: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 553,  6, 10,  191, 1, 3, 470440, 16882.14, 0, 0.00, 1: 86; 2: 42; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  30,  7,  8,  191, 1, 3, 442659, 16882.14, 0, 0.00, 1: 88; 2: 38; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 608,  6, 10,  192, 1, 3, 470583, 16882.14, 26, 0.00, 1: 84; 2: 45; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 206,  7,  8,  192, 1, 3, 442650, 16882.14, 0, 0.00, 1: 82; 2: 49; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 708,  6, 10,  192, 1, 3, 470426, 16882.14, 6, 0.00, 1: 84; 2: 45; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 929,  6, 10,  192, 1, 3, 470458, 16882.14, 0, 0.00, 1: 81; 2: 51; 3: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 140,  8,  7,  192, 1, 3, 442634, 16882.14, 2, 0.00, 1: 84; 2: 45; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 424,  5, 11,  192, 1, 3, 434823, 16882.14, 16, 0.00, 1: 87; 2: 39; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 891,  9,  6,  192, 1, 3, 427869, 16882.14, 0, 0.00, 1: 85; 2: 43; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 420,  6, 10,  192, 1, 3, 470604, 16882.14, 24, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 243,  7,  8,  192, 1, 3, 442658, 16882.14, 0, 0.00, 1: 84; 2: 45; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 221,  6, 10,  192, 1, 3, 470508, 16882.14, 0, 0.00, 1: 80; 2: 53; 3: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 899,  6, 10,  192, 1, 3, 470476, 16882.14, 0, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 335,  5, 13,  192, 1, 3, 499430, 16882.14, 0, 0.00, 1: 85; 2: 43; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 219,  7,  8,  192, 1, 3, 442631, 16882.14, 0, 0.00, 1: 81; 2: 51; 3: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 913,  6, 10,  192, 1, 3, 470511, 16882.14, 0, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  87,  6,  9,  192, 1, 3, 427869, 16882.14, 0, 0.00, 1: 84; 2: 45; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 128,  6, 10,  192, 1, 3, 470484, 16882.14, 5, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 157,  6, 10,  192, 1, 3, 470371, 16882.14, 0, 0.00, 1: 85; 2: 43; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 172,  6, 10,  192, 1, 3, 470553, 16882.14, 41, 0.00, 1: 86; 2: 41; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 299,  8,  7,  192, 1, 3, 442621, 16882.14, 0, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 498,  9,  6,  192, 1, 3, 427869, 16882.14, 0, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 490,  7,  8,  192, 1, 3, 442672, 16882.14, 0, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 489,  5, 11,  192, 1, 3, 434808, 16882.14, 0, 0.00, 1: 86; 2: 41; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 742,  6, 10,  192, 1, 3, 470484, 16882.14, 0, 0.00, 1: 85; 2: 43; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 485,  6, 10,  192, 1, 3, 470374, 16882.14, 0, 0.00, 1: 82; 2: 49; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 292,  6, 10,  192, 1, 3, 470514, 16882.14, 38, 0.00, 1: 84; 2: 45; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 664,  5, 12,  192, 1, 3, 470339, 16882.14, 28, 0.00, 1: 87; 2: 39; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 982,  6, 10,  192, 1, 3, 470545, 16882.14, 0, 0.00, 1: 81; 2: 51; 3: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 836,  7,  8,  192, 1, 3, 442633, 16882.14, 32, 0.00, 1: 85; 2: 43; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 643,  6, 10,  192, 1, 3, 470508, 16882.14, 0, 0.00, 1: 84; 2: 45; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 747,  6,  9,  192, 1, 3, 427869, 16882.14, 0, 0.00, 1: 86; 2: 41; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 345,  6, 10,  192, 1, 3, 470514, 16882.14, 0, 0.00, 1: 85; 2: 43; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 578,  6, 10,  192, 1, 3, 470474, 16882.14, 0, 0.00, 1: 84; 2: 45; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 309,  6, 10,  192, 1, 3, 470532, 16882.14, 0, 0.00, 1: 87; 2: 39; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 151,  6, 10,  192, 1, 3, 470599, 16882.14, 0, 0.00, 1: 86; 2: 41; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 469,  6, 10,  192, 1, 3, 470477, 16882.14, 0, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 999,  6, 10,  192, 1, 3, 470474, 16882.14, 0, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 943,  6, 10,  192, 1, 3, 470441, 16882.14, 0, 0.00, 1: 86; 2: 41; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 641,  5, 13,  192, 1, 3, 499554, 16882.14, 0, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 821,  8,  7,  193, 1, 3, 442633, 16882.14, 0, 0.00, 1: 82; 2: 48; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 204,  9,  6,  193, 1, 3, 427869, 16882.14, 36, 0.00, 1: 80; 2: 52; 3: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 359,  6,  9,  193, 1, 3, 427869, 16882.14, 0, 0.00, 1: 86; 2: 40; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 173,  8,  7,  193, 1, 3, 442660, 16882.14, 0, 0.00, 1: 81; 2: 50; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 417,  6, 10,  193, 1, 3, 470402, 16882.14, 0, 0.00, 1: 82; 2: 48; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 116,  7,  8,  193, 1, 3, 442640, 16882.14, 30, 0.00, 1: 84; 2: 44; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 186,  7,  8,  193, 1, 3, 442647, 16882.14, 0, 0.00, 1: 86; 2: 40; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 876,  7,  8,  193, 1, 3, 442636, 16882.14, 24, 0.00, 1: 85; 2: 42; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 824,  7,  8,  193, 1, 3, 442649, 16882.14, 37, 0.00, 1: 87; 2: 38; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 222,  7,  8,  193, 1, 3, 442683, 16882.14, 0, 0.00, 1: 82; 2: 48; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 794,  6, 10,  193, 1, 3, 470469, 16882.14, 0, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 858,  6,  9,  193, 1, 3, 427869, 16882.14, 0, 0.00, 1: 84; 2: 44; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 688,  6,  9,  193, 1, 3, 427869, 16882.14, 31, 0.00, 1: 82; 2: 48; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 861,  9,  6,  193, 1, 3, 427869, 16882.14, 0, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 682,  5, 12,  193, 1, 3, 470333, 16882.14, 0, 0.00, 1: 86; 2: 40; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 347,  8,  7,  193, 1, 3, 442642, 16882.14, 0, 0.00, 1: 85; 2: 42; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 680,  8,  7,  193, 1, 3, 442692, 16882.14, 30, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 138,  7,  8,  193, 1, 3, 442686, 16882.14, 0, 0.00, 1: 84; 2: 44; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 390,  9,  6,  193, 1, 3, 427869, 16882.14, 0, 0.00, 1: 87; 2: 38; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 663,  7,  8,  193, 1, 3, 442675, 16882.14, 0, 0.00, 1: 81; 2: 50; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 621,  7,  8,  193, 1, 3, 442663, 16882.14, 0, 0.00, 1: 85; 2: 42; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 812,  6, 10,  193, 1, 3, 470492, 16882.14, 9, 0.00, 1: 84; 2: 44; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 620,  8,  7,  193, 1, 3, 442616, 16882.14, 22, 0.00, 1: 84; 2: 44; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 793,  7,  8,  193, 1, 3, 442626, 16882.14, 0, 0.00, 1: 79; 2: 54; 3: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 378,  6,  9,  193, 1, 3, 427869, 16882.14, 0, 0.00, 1: 85; 2: 42; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 375,  6, 10,  193, 1, 3, 470436, 16882.14, 0, 0.00, 1: 85; 2: 42; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 659,  9,  6,  193, 1, 3, 427869, 16882.14, 0, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 494,  7,  8,  193, 1, 3, 442649, 16882.14, 0, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 777,  7,  8,  193, 1, 3, 442568, 16882.14, 0, 0.00, 1: 85; 2: 42; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 704,  9,  6,  193, 1, 3, 427869, 16882.14, 31, 0.00, 1: 82; 2: 48; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  79,  7,  8,  193, 1, 3, 442687, 16882.14, 0, 0.00, 1: 81; 2: 50; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 543,  7,  8,  193, 1, 3, 442647, 16882.14, 0, 0.00, 1: 81; 2: 50; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 317,  6, 10,  193, 1, 3, 470519, 16882.14, 0, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 585,  7,  8,  193, 1, 3, 442677, 16882.14, 0, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 581,  6, 10,  193, 1, 3, 470488, 16882.14, 0, 0.00, 1: 80; 2: 52; 3: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 456,  8,  7,  193, 1, 3, 442643, 16882.14, 18, 0.00, 1: 81; 2: 50; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 457,  6, 10,  193, 1, 3, 470466, 16882.14, 0, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 977,  8,  7,  193, 1, 3, 442642, 16882.14, 0, 0.00, 1: 79; 2: 54; 3: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 492,  5, 11,  193, 1, 3, 434824, 16882.14, 18, 0.00, 1: 85; 2: 42; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 266,  7,  8,  193, 1, 3, 442642, 16882.14, 0, 0.00, 1: 84; 2: 44; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 475,  6, 10,  193, 1, 3, 470390, 16882.14, 0, 0.00, 1: 81; 2: 50; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 477,  7,  8,  193, 1, 3, 442661, 16882.14, 0, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 479,  6,  9,  193, 1, 3, 427869, 16882.14, 0, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 480,  5, 11,  193, 1, 3, 434796, 16882.14, 20, 0.00, 1: 85; 2: 42; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 718,  6, 10,  193, 1, 3, 470420, 16882.14, 0, 0.00, 1: 81; 2: 50; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 561,  5, 12,  193, 1, 3, 470353, 16882.14, 0, 0.00, 1: 85; 2: 42; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 782,  7,  8,  193, 1, 3, 442645, 16882.14, 0, 0.00, 1: 86; 2: 40; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 428,  6, 10,  193, 1, 3, 470437, 16882.14, 34, 0.00, 1: 84; 2: 44; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 430,  6,  9,  193, 1, 3, 427869, 16882.14, 0, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 108,  9,  6,  193, 1, 3, 427869, 16882.14, 29, 0.00, 1: 87; 2: 38; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 604,  6, 10,  193, 1, 3, 470452, 16882.14, 28, 0.00, 1: 84; 2: 44; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 427,  7,  8,  193, 1, 3, 442660, 16882.14, 0, 0.00, 1: 86; 2: 40; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 734,  5, 11,  193, 1, 3, 434831, 16882.14, 0, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 894,  7,  8,  193, 1, 3, 442650, 16882.14, 0, 0.00, 1: 81; 2: 50; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 102,  6, 10,  193, 1, 3, 470450, 16882.14, 0, 0.00, 1: 81; 2: 50; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 737,  6,  9,  193, 1, 3, 427869, 16882.14, 0, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,   5,  6,  9,  193, 1, 3, 427869, 16882.14, 127, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 779,  7,  8,  193, 1, 3, 442641, 16882.14, 0, 0.00, 1: 84; 2: 44; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 516,  8,  7,  193, 1, 3, 442666, 16882.14, 44, 0.00, 1: 82; 2: 48; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  88,  8,  7,  193, 1, 3, 442664, 16882.14, 4, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 778,  6,  9,  193, 1, 3, 427869, 16882.14, 0, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 817,  6,  9,  194, 1, 3, 427869, 16882.14, 0, 0.00, 1: 83; 2: 45; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 815,  9,  6,  194, 1, 3, 427869, 16882.14, 0, 0.00, 1: 83; 2: 45; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 740,  6,  9,  194, 1, 3, 427869, 16882.14, 1, 0.00, 1: 85; 2: 41; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 727,  9,  6,  194, 1, 3, 427869, 16882.14, 0, 0.00, 1: 81; 2: 49; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 352,  7,  8,  194, 1, 3, 442665, 16882.14, 14, 0.00, 1: 82; 2: 47; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 738,  6,  9,  194, 1, 3, 427869, 16882.14, 0, 0.00, 1: 84; 2: 43; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 194,  5, 12,  194, 1, 3, 470475, 16882.14, 0, 0.00, 1: 84; 2: 43; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 628,  8,  7,  194, 1, 3, 442675, 16882.14, 0, 0.00, 1: 84; 2: 43; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 820,  7,  8,  194, 1, 3, 442694, 16882.14, 10, 0.00, 1: 85; 2: 41; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 295,  6, 10,  194, 1, 3, 470445, 16882.14, 0, 0.00, 1: 84; 2: 43; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 675,  6,  9,  194, 1, 3, 427869, 16882.14, 0, 0.00, 1: 82; 2: 47; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 745,  6, 10,  194, 1, 3, 470516, 16882.14, 0, 0.00, 1: 80; 2: 51; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 746,  9,  6,  194, 1, 3, 427869, 16882.14, 0, 0.00, 1: 82; 2: 47; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 277,  6,  9,  194, 1, 3, 427869, 16882.14, 0, 0.00, 1: 83; 2: 45; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 765,  5, 13,  194, 1, 3, 499615, 16882.14, 0, 0.00, 1: 84; 2: 43; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 698,  6, 10,  194, 1, 3, 470336, 16882.14, 0, 0.00, 1: 79; 2: 53; 3: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 226,  5, 12,  194, 1, 3, 470512, 16882.14, 0, 0.00, 1: 82; 2: 47; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 325,  6,  9,  194, 1, 3, 427869, 16882.14, 0, 0.00, 1: 83; 2: 45; 3: 7; 
