Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
3(148)
Melhor resultado nxn: EGFR_&_ErbB_Signaling, 775, 12,  9,  336, 1, 3, 865794, 26664.03, 0, 0.00, 1: 133; 2: 79; 3: 15; 
EGFR_&_ErbB_Signaling, 223,  7, 15,  341, 1, 3, 840840, 26664.03, 0, 0.00, 1: 130; 2: 80; 3: 17; 
EGFR_&_ErbB_Signaling, 868,  8, 14,  341, 1, 3, 890957, 26664.03, 64, 0.00, 1: 129; 2: 82; 3: 16; 
EGFR_&_ErbB_Signaling, 841,  9, 12,  341, 1, 3, 865747, 26664.03, 0, 0.00, 1: 129; 2: 82; 3: 16; 
EGFR_&_ErbB_Signaling, 795,  9, 12,  341, 1, 3, 865735, 26664.03, 0, 0.00, 1: 131; 2: 78; 3: 18; 
EGFR_&_ErbB_Signaling, 416,  8, 14,  341, 1, 3, 890979, 26664.03, 21, 0.00, 1: 131; 2: 78; 3: 18; 
EGFR_&_ErbB_Signaling, 441, 11, 10,  341, 1, 3, 879026, 26664.03, 0, 0.00, 1: 128; 2: 84; 3: 15; 
EGFR_&_ErbB_Signaling, 760,  8, 14,  341, 1, 3, 890969, 26664.03, 33, 0.00, 1: 130; 2: 80; 3: 17; 
EGFR_&_ErbB_Signaling, 566, 12,  9,  341, 1, 3, 865816, 26664.03, 0, 0.00, 1: 132; 2: 76; 3: 19; 
EGFR_&_ErbB_Signaling, 568,  7, 16,  341, 1, 3, 890940, 26664.03, 26, 0.00, 1: 130; 2: 80; 3: 17; 
EGFR_&_ErbB_Signaling, 815,  7, 15,  342, 1, 3, 840840, 26664.03, 0, 0.00, 1: 126; 2: 87; 3: 14; 
EGFR_&_ErbB_Signaling, 985,  7, 16,  342, 1, 3, 891003, 26664.03, 0, 0.00, 1: 128; 2: 83; 3: 16; 
EGFR_&_ErbB_Signaling, 224,  8, 14,  342, 1, 3, 891184, 26664.03, 16, 0.00, 1: 131; 2: 77; 3: 19; 
EGFR_&_ErbB_Signaling, 240,  8, 14,  342, 1, 3, 891181, 26664.03, 16, 0.00, 1: 128; 2: 83; 3: 16; 
EGFR_&_ErbB_Signaling, 630,  8, 14,  342, 1, 3, 891099, 26664.03, 0, 0.00, 1: 133; 2: 73; 3: 21; 
EGFR_&_ErbB_Signaling, 663,  7, 17,  342, 1, 3, 940457, 26664.03, 0, 0.00, 1: 128; 2: 83; 3: 16; 
EGFR_&_ErbB_Signaling, 939,  8, 14,  342, 1, 3, 891121, 26664.03, 0, 0.00, 1: 130; 2: 79; 3: 18; 
EGFR_&_ErbB_Signaling, 679,  8, 14,  343, 1, 3, 891089, 26664.03, 0, 0.00, 1: 128; 2: 82; 3: 17; 
EGFR_&_ErbB_Signaling,  13,  8, 14,  343, 1, 3, 891118, 26664.03, 127, 0.00, 1: 133; 2: 72; 3: 22; 
EGFR_&_ErbB_Signaling, 827,  9, 12,  343, 1, 3, 865809, 26664.03, 0, 0.00, 1: 129; 2: 80; 3: 18; 
EGFR_&_ErbB_Signaling, 412,  7, 17,  343, 1, 3, 940461, 26664.03, 100, 0.00, 1: 131; 2: 76; 3: 20; 
EGFR_&_ErbB_Signaling, 430,  7, 15,  343, 1, 3, 840840, 26664.03, 0, 0.00, 1: 130; 2: 78; 3: 19; 
EGFR_&_ErbB_Signaling, 160,  8, 14,  343, 1, 3, 891055, 26664.03, 9, 0.00, 1: 131; 2: 76; 3: 20; 
EGFR_&_ErbB_Signaling, 637,  7, 17,  343, 1, 3, 940648, 26664.03, 0, 0.00, 1: 126; 2: 86; 3: 15; 
EGFR_&_ErbB_Signaling, 490, 10, 11,  343, 1, 3, 878996, 26664.03, 0, 0.00, 1: 125; 2: 88; 3: 14; 
EGFR_&_ErbB_Signaling, 480,  7, 17,  343, 1, 3, 940723, 26664.03, 23, 0.00, 1: 128; 2: 82; 3: 17; 
EGFR_&_ErbB_Signaling, 510, 10, 11,  343, 1, 3, 879238, 26664.03, 0, 0.00, 1: 132; 2: 74; 3: 21; 
EGFR_&_ErbB_Signaling, 735,  7, 17,  343, 1, 3, 940324, 26664.03, 0, 0.00, 1: 130; 2: 78; 3: 19; 
EGFR_&_ErbB_Signaling, 127, 12,  9,  344, 1, 3, 865845, 26664.03, 0, 0.00, 1: 127; 2: 83; 3: 17; 
EGFR_&_ErbB_Signaling, 136,  8, 13,  344, 1, 3, 830180, 26664.03, 7, 0.00, 1: 123; 2: 91; 3: 13; 
EGFR_&_ErbB_Signaling,   2, 11, 10,  344, 1, 3, 878954, 26664.03, 40, 0.00, 1: 129; 2: 79; 3: 19; 
EGFR_&_ErbB_Signaling, 790,  7, 16,  344, 1, 3, 891162, 26664.03, 0, 0.00, 1: 133; 2: 71; 3: 23; 
EGFR_&_ErbB_Signaling, 478,  7, 17,  344, 1, 3, 940769, 26664.03, 0, 0.00, 1: 129; 2: 79; 3: 19; 
EGFR_&_ErbB_Signaling, 977,  7, 16,  344, 1, 3, 891236, 26664.03, 0, 0.00, 1: 127; 2: 83; 3: 17; 
EGFR_&_ErbB_Signaling, 918,  9, 12,  344, 1, 3, 865828, 26664.03, 0, 0.00, 1: 133; 2: 71; 3: 23; 
EGFR_&_ErbB_Signaling, 516,  6, 19,  344, 1, 3, 908141, 26664.03, 35, 0.00, 1: 131; 2: 75; 3: 21; 
EGFR_&_ErbB_Signaling,  51,  8, 14,  344, 1, 3, 890916, 26664.03, 0, 0.00, 1: 129; 2: 79; 3: 19; 
EGFR_&_ErbB_Signaling, 973,  7, 17,  344, 1, 3, 940271, 26664.03, 0, 0.00, 1: 125; 2: 87; 3: 15; 
EGFR_&_ErbB_Signaling, 434,  7, 16,  344, 1, 3, 891066, 26664.03, 0, 0.00, 1: 127; 2: 83; 3: 17; 
EGFR_&_ErbB_Signaling, 717,  8, 14,  345, 1, 3, 891035, 26664.03, 0, 0.00, 1: 130; 2: 76; 3: 21; 
EGFR_&_ErbB_Signaling, 916,  6, 19,  345, 1, 3, 908194, 26664.03, 42, 0.00, 1: 131; 2: 74; 3: 22; 
EGFR_&_ErbB_Signaling, 550,  7, 15,  345, 1, 3, 840840, 26664.03, 0, 0.00, 1: 127; 2: 82; 3: 18; 
EGFR_&_ErbB_Signaling, 530,  7, 15,  345, 1, 3, 840840, 26664.03, 0, 0.00, 1: 131; 2: 74; 3: 22; 
EGFR_&_ErbB_Signaling,  21,  7, 16,  345, 1, 3, 890993, 26664.03, 85, 0.00, 1: 125; 2: 86; 3: 16; 
EGFR_&_ErbB_Signaling, 137, 10, 11,  345, 1, 3, 878883, 26664.03, 0, 0.00, 1: 125; 2: 86; 3: 16; 
EGFR_&_ErbB_Signaling, 495, 12,  9,  345, 1, 3, 865744, 26664.03, 0, 0.00, 1: 122; 2: 92; 3: 13; 
EGFR_&_ErbB_Signaling, 435,  7, 17,  345, 1, 3, 940628, 26664.03, 0, 0.00, 1: 130; 2: 76; 3: 21; 
EGFR_&_ErbB_Signaling, 391,  7, 16,  345, 1, 3, 890954, 26664.03, 0, 0.00, 1: 130; 2: 76; 3: 21; 
EGFR_&_ErbB_Signaling, 655,  7, 17,  345, 1, 3, 940548, 26664.03, 0, 0.00, 1: 133; 2: 70; 3: 24; 
EGFR_&_ErbB_Signaling, 319,  7, 17,  345, 1, 3, 940373, 26664.03, 0, 0.00, 1: 125; 2: 86; 3: 16; 
EGFR_&_ErbB_Signaling, 837, 11, 10,  345, 1, 3, 879096, 26664.03, 0, 0.00, 1: 123; 2: 90; 3: 14; 
EGFR_&_ErbB_Signaling, 640, 10, 11,  345, 1, 3, 879022, 26664.03, 29, 0.00, 1: 126; 2: 84; 3: 17; 
EGFR_&_ErbB_Signaling, 638,  7, 17,  345, 1, 3, 940876, 26664.03, 0, 0.00, 1: 126; 2: 84; 3: 17; 
EGFR_&_ErbB_Signaling, 854,  6, 19,  345, 1, 3, 908141, 26664.03, 0, 0.00, 1: 129; 2: 78; 3: 20; 
EGFR_&_ErbB_Signaling,  90,  7, 16,  346, 1, 3, 890844, 26664.03, 0, 0.00, 1: 132; 2: 71; 3: 24; 
EGFR_&_ErbB_Signaling, 360, 12,  9,  346, 1, 3, 865798, 26664.03, 21, 0.00, 1: 125; 2: 85; 3: 17; 
EGFR_&_ErbB_Signaling, 327,  6, 20,  346, 1, 3, 947486, 26664.03, 0, 0.00, 1: 127; 2: 81; 3: 19; 
EGFR_&_ErbB_Signaling, 723, 12,  9,  346, 1, 3, 865747, 26664.03, 0, 0.00, 1: 126; 2: 83; 3: 18; 
EGFR_&_ErbB_Signaling, 237,  8, 14,  346, 1, 3, 891078, 26664.03, 0, 0.00, 1: 123; 2: 89; 3: 15; 
EGFR_&_ErbB_Signaling, 445,  9, 12,  346, 1, 3, 865821, 26664.03, 0, 0.00, 1: 131; 2: 73; 3: 23; 
EGFR_&_ErbB_Signaling, 446,  6, 18,  346, 1, 3, 865773, 26664.03, 0, 0.00, 1: 129; 2: 77; 3: 21; 
EGFR_&_ErbB_Signaling, 502, 11, 10,  346, 1, 3, 879058, 26664.03, 0, 0.00, 1: 123; 2: 89; 3: 15; 
EGFR_&_ErbB_Signaling, 937,  8, 14,  346, 1, 3, 890959, 26664.03, 0, 0.00, 1: 129; 2: 77; 3: 21; 
EGFR_&_ErbB_Signaling, 754,  7, 17,  346, 1, 3, 940769, 26664.03, 0, 0.00, 1: 133; 2: 69; 3: 25; 
EGFR_&_ErbB_Signaling, 273,  7, 16,  346, 1, 3, 891041, 26664.03, 0, 0.00, 1: 124; 2: 87; 3: 16; 
EGFR_&_ErbB_Signaling, 650,  7, 17,  346, 1, 3, 940591, 26664.03, 0, 0.00, 1: 127; 2: 81; 3: 19; 
EGFR_&_ErbB_Signaling,  34, 10, 11,  346, 1, 3, 878992, 26664.03, 0, 0.00, 1: 124; 2: 87; 3: 16; 
EGFR_&_ErbB_Signaling,  19,  7, 15,  346, 1, 3, 840840, 26664.03, 202, 0.00, 1: 125; 2: 85; 3: 17; 
EGFR_&_ErbB_Signaling, 786, 10, 11,  346, 1, 3, 879094, 26664.03, 0, 0.00, 1: 123; 2: 89; 3: 15; 
EGFR_&_ErbB_Signaling,  63,  7, 17,  346, 1, 3, 940500, 26664.03, 0, 0.00, 1: 125; 2: 85; 3: 17; 
EGFR_&_ErbB_Signaling,  61, 11, 10,  347, 1, 3, 879193, 26664.03, 0, 0.00, 1: 126; 2: 82; 3: 19; 
EGFR_&_ErbB_Signaling,  79,  8, 14,  347, 1, 3, 891134, 26664.03, 0, 0.00, 1: 128; 2: 78; 3: 21; 
EGFR_&_ErbB_Signaling, 805, 10, 11,  347, 1, 3, 879000, 26664.03, 0, 0.00, 1: 125; 2: 84; 3: 18; 
EGFR_&_ErbB_Signaling,   3,  7, 17,  347, 1, 3, 940427, 26664.03, 188, 0.00, 1: 128; 2: 78; 3: 21; 
EGFR_&_ErbB_Signaling, 721, 10, 11,  347, 1, 3, 879077, 26664.03, 0, 0.00, 1: 132; 2: 70; 3: 25; 
EGFR_&_ErbB_Signaling, 912, 11, 10,  347, 1, 3, 879042, 26664.03, 43, 0.00, 1: 127; 2: 80; 3: 20; 
EGFR_&_ErbB_Signaling, 417, 11, 10,  347, 1, 3, 879008, 26664.03, 0, 0.00, 1: 126; 2: 82; 3: 19; 
EGFR_&_ErbB_Signaling, 708,  7, 16,  347, 1, 3, 891141, 26664.03, 89, 0.00, 1: 128; 2: 78; 3: 21; 
EGFR_&_ErbB_Signaling, 949,  6, 19,  347, 1, 3, 908077, 26664.03, 0, 0.00, 1: 127; 2: 80; 3: 20; 
EGFR_&_ErbB_Signaling, 816, 11, 10,  348, 1, 3, 879071, 26664.03, 35, 0.00, 1: 126; 2: 81; 3: 20; 
EGFR_&_ErbB_Signaling,   5,  7, 15,  348, 1, 3, 840840, 26664.03, 127, 0.00, 1: 125; 2: 83; 3: 19; 
EGFR_&_ErbB_Signaling, 771,  7, 15,  348, 1, 3, 840840, 26664.03, 0, 0.00, 1: 126; 2: 81; 3: 20; 
EGFR_&_ErbB_Signaling, 737,  6, 18,  348, 1, 3, 865824, 26664.03, 0, 0.00, 1: 126; 2: 81; 3: 20; 
EGFR_&_ErbB_Signaling, 439,  8, 13,  348, 1, 3, 830180, 26664.03, 0, 0.00, 1: 123; 2: 87; 3: 17; 
EGFR_&_ErbB_Signaling, 978,  8, 13,  348, 1, 3, 830180, 26664.03, 0, 0.00, 1: 122; 2: 89; 3: 16; 
EGFR_&_ErbB_Signaling, 247, 11, 10,  348, 1, 3, 879032, 26664.03, 0, 0.00, 1: 123; 2: 87; 3: 17; 
EGFR_&_ErbB_Signaling, 752,  8, 13,  348, 1, 3, 830180, 26664.03, 32, 0.00, 1: 129; 2: 75; 3: 23; 
EGFR_&_ErbB_Signaling, 333, 10, 11,  348, 1, 3, 879085, 26664.03, 0, 0.00, 1: 124; 2: 85; 3: 18; 
EGFR_&_ErbB_Signaling, 175, 11, 10,  348, 1, 3, 878814, 26664.03, 0, 0.00, 1: 126; 2: 81; 3: 20; 
EGFR_&_ErbB_Signaling, 265,  7, 15,  348, 1, 3, 840840, 26664.03, 0, 0.00, 1: 126; 2: 81; 3: 20; 
EGFR_&_ErbB_Signaling, 546,  7, 16,  348, 1, 3, 891086, 26664.03, 0, 0.00, 1: 124; 2: 85; 3: 18; 
EGFR_&_ErbB_Signaling, 765, 11, 10,  349, 1, 3, 879014, 26664.03, 0, 0.00, 1: 127; 2: 78; 3: 22; 
EGFR_&_ErbB_Signaling, 901,  8, 14,  349, 1, 3, 890990, 26664.03, 0, 0.00, 1: 130; 2: 72; 3: 25; 
EGFR_&_ErbB_Signaling, 643,  8, 13,  349, 1, 3, 830180, 26664.03, 0, 0.00, 1: 129; 2: 74; 3: 24; 
EGFR_&_ErbB_Signaling, 590, 11, 10,  349, 1, 3, 879034, 26664.03, 0, 0.00, 1: 128; 2: 76; 3: 23; 
EGFR_&_ErbB_Signaling, 415, 11, 10,  349, 1, 3, 879175, 26664.03, 0, 0.00, 1: 128; 2: 76; 3: 23; 
EGFR_&_ErbB_Signaling, 385, 11, 10,  349, 1, 3, 878966, 26664.03, 0, 0.00, 1: 125; 2: 82; 3: 20; 
EGFR_&_ErbB_Signaling,  17,  7, 15,  349, 1, 3, 840840, 26664.03, 181, 0.00, 1: 123; 2: 86; 3: 18; 
EGFR_&_ErbB_Signaling, 998, 12,  9,  349, 1, 3, 865800, 26664.03, 0, 0.00, 1: 126; 2: 80; 3: 21; 
EGFR_&_ErbB_Signaling, 850,  9, 12,  349, 1, 3, 865709, 26664.03, 0, 0.00, 1: 127; 2: 78; 3: 22; 
EGFR_&_ErbB_Signaling, 169,  7, 17,  349, 1, 3, 940706, 26664.03, 0, 0.00, 1: 122; 2: 88; 3: 17; 
EGFR_&_ErbB_Signaling, 887,  6, 18,  349, 1, 3, 865782, 26664.03, 0, 0.00, 1: 125; 2: 82; 3: 20; 
EGFR_&_ErbB_Signaling, 542,  7, 15,  349, 1, 3, 840840, 26664.03, 0, 0.00, 1: 125; 2: 82; 3: 20; 
EGFR_&_ErbB_Signaling, 232,  7, 16,  349, 1, 3, 891156, 26664.03, 16, 0.00, 1: 123; 2: 86; 3: 18; 
EGFR_&_ErbB_Signaling, 275,  7, 15,  350, 1, 3, 840840, 26664.03, 0, 0.00, 1: 125; 2: 81; 3: 21; 
EGFR_&_ErbB_Signaling, 929,  8, 13,  350, 1, 3, 830180, 26664.03, 0, 0.00, 1: 126; 2: 79; 3: 22; 
EGFR_&_ErbB_Signaling, 159,  7, 15,  350, 1, 3, 840840, 26664.03, 0, 0.00, 1: 130; 2: 71; 3: 26; 
EGFR_&_ErbB_Signaling,  68,  6, 18,  350, 1, 3, 865719, 26664.03, 31, 0.00, 1: 127; 2: 77; 3: 23; 
EGFR_&_ErbB_Signaling, 964,  7, 15,  350, 1, 3, 840840, 26664.03, 63, 0.00, 1: 122; 2: 87; 3: 18; 
EGFR_&_ErbB_Signaling, 361,  6, 20,  350, 1, 3, 947323, 26664.03, 0, 0.00, 1: 127; 2: 77; 3: 23; 
EGFR_&_ErbB_Signaling, 291, 10, 11,  351, 1, 3, 879085, 26664.03, 0, 0.00, 1: 126; 2: 78; 3: 23; 
EGFR_&_ErbB_Signaling, 270, 10, 11,  351, 1, 3, 879237, 26664.03, 0, 0.00, 1: 125; 2: 80; 3: 22; 
EGFR_&_ErbB_Signaling, 488, 11, 10,  351, 1, 3, 879019, 26664.03, 23, 0.00, 1: 125; 2: 80; 3: 22; 
EGFR_&_ErbB_Signaling, 559,  6, 19,  351, 1, 3, 908257, 26664.03, 0, 0.00, 1: 125; 2: 80; 3: 22; 
EGFR_&_ErbB_Signaling, 211,  8, 13,  352, 1, 3, 830180, 26664.03, 0, 0.00, 1: 125; 2: 79; 3: 23; 
EGFR_&_ErbB_Signaling, 298, 12,  9,  352, 1, 3, 865785, 26664.03, 0, 0.00, 1: 129; 2: 71; 3: 27; 
EGFR_&_ErbB_Signaling, 207,  7, 15,  352, 1, 3, 840840, 26664.03, 0, 0.00, 1: 127; 2: 75; 3: 25; 
EGFR_&_ErbB_Signaling, 885, 12,  9,  352, 1, 3, 865776, 26664.03, 0, 0.00, 1: 119; 2: 91; 3: 17; 
EGFR_&_ErbB_Signaling, 697,  8, 13,  352, 1, 3, 830180, 26664.03, 0, 0.00, 1: 121; 2: 87; 3: 19; 
EGFR_&_ErbB_Signaling, 662,  6, 20,  352, 1, 3, 947464, 26664.03, 0, 0.00, 1: 122; 2: 85; 3: 20; 
EGFR_&_ErbB_Signaling, 242,  8, 14,  353, 1, 3, 890993, 26664.03, 0, 0.00, 1: 125; 2: 78; 3: 24; 
EGFR_&_ErbB_Signaling, 986,  6, 18,  353, 1, 3, 865822, 26664.03, 0, 0.00, 1: 125; 2: 78; 3: 24; 
EGFR_&_ErbB_Signaling, 736, 11, 10,  354, 1, 3, 879109, 26664.03, 32, 0.00, 1: 119; 2: 89; 3: 19; 
EGFR_&_ErbB_Signaling, 975,  8, 13,  355, 1, 3, 830180, 26664.03, 0, 0.00, 1: 123; 2: 80; 3: 24; 
EGFR_&_ErbB_Signaling, 129,  6, 18,  357, 1, 3, 865771, 26664.03, 0, 0.00, 1: 117; 2: 90; 3: 20; 
EGFR_&_ErbB_Signaling, 825,  8, 14,  335, 1, 4, 891177, 26664.03, 0, 0.00, 1: 134; 2: 79; 3: 13; 4: 1; 
EGFR_&_ErbB_Signaling, 701,  9, 12,  336, 1, 4, 865746, 26664.03, 0, 0.00, 1: 131; 2: 84; 3: 11; 4: 1; 
EGFR_&_ErbB_Signaling, 520,  7, 17,  336, 1, 4, 940448, 26664.03, 25, 0.00, 1: 132; 2: 82; 3: 12; 4: 1; 
EGFR_&_ErbB_Signaling, 820, 10, 11,  337, 1, 4, 879026, 26664.03, 95, 0.00, 1: 136; 2: 74; 3: 15; 4: 2; 
EGFR_&_ErbB_Signaling, 581,  7, 16,  337, 1, 4, 891198, 26664.03, 0, 0.00, 1: 133; 2: 79; 3: 14; 4: 1; 
EGFR_&_ErbB_Signaling, 383,  8, 14,  337, 1, 4, 890961, 26664.03, 0, 0.00, 1: 132; 2: 81; 3: 13; 4: 1; 
EGFR_&_ErbB_Signaling, 200,  8, 14,  337, 1, 4, 891102, 26664.03, 14, 0.00, 1: 132; 2: 81; 3: 13; 4: 1; 
EGFR_&_ErbB_Signaling, 262, 12,  9,  338, 1, 4, 865779, 26664.03, 0, 0.00, 1: 136; 2: 73; 3: 16; 4: 2; 
EGFR_&_ErbB_Signaling, 271,  7, 17,  338, 1, 4, 940559, 26664.03, 0, 0.00, 1: 134; 2: 79; 3: 10; 4: 4; 
EGFR_&_ErbB_Signaling, 565,  7, 17,  338, 1, 4, 940457, 26664.03, 0, 0.00, 1: 138; 2: 68; 3: 20; 4: 1; 
EGFR_&_ErbB_Signaling, 598,  8, 14,  338, 1, 4, 891058, 26664.03, 0, 0.00, 1: 132; 2: 81; 3: 12; 4: 2; 
EGFR_&_ErbB_Signaling, 467,  9, 12,  338, 1, 4, 865773, 26664.03, 0, 0.00, 1: 130; 2: 84; 3: 12; 4: 1; 
EGFR_&_ErbB_Signaling, 368, 12,  9,  338, 1, 4, 865775, 26664.03, 21, 0.00, 1: 134; 2: 77; 3: 14; 4: 2; 
EGFR_&_ErbB_Signaling, 138,  7, 17,  339, 1, 4, 940529, 26664.03, 0, 0.00, 1: 133; 2: 77; 3: 16; 4: 1; 
EGFR_&_ErbB_Signaling, 130, 10, 11,  339, 1, 4, 878936, 26664.03, 0, 0.00, 1: 135; 2: 73; 3: 18; 4: 1; 
EGFR_&_ErbB_Signaling, 700, 10, 11,  339, 1, 4, 878934, 26664.03, 55, 0.00, 1: 138; 2: 68; 3: 19; 4: 2; 
EGFR_&_ErbB_Signaling, 248,  7, 17,  339, 1, 4, 940638, 26664.03, 16, 0.00, 1: 135; 2: 74; 3: 16; 4: 2; 
EGFR_&_ErbB_Signaling, 547,  9, 12,  339, 1, 4, 865813, 26664.03, 0, 0.00, 1: 132; 2: 80; 3: 13; 4: 2; 
EGFR_&_ErbB_Signaling, 576,  7, 16,  339, 1, 4, 890932, 26664.03, 26, 0.00, 1: 126; 2: 92; 3: 7; 4: 2; 
EGFR_&_ErbB_Signaling, 252,  7, 17,  339, 1, 4, 940632, 26664.03, 22, 0.00, 1: 133; 2: 77; 3: 16; 4: 1; 
EGFR_&_ErbB_Signaling, 497,  7, 16,  339, 1, 4, 891001, 26664.03, 0, 0.00, 1: 135; 2: 74; 3: 16; 4: 2; 
EGFR_&_ErbB_Signaling, 774,  7, 16,  339, 1, 4, 891039, 26664.03, 0, 0.00, 1: 132; 2: 79; 3: 15; 4: 1; 
EGFR_&_ErbB_Signaling, 757,  7, 16,  339, 1, 4, 890832, 26664.03, 0, 0.00, 1: 134; 2: 75; 3: 17; 4: 1; 
EGFR_&_ErbB_Signaling,  59, 11, 10,  339, 1, 4, 879000, 26664.03, 0, 0.00, 1: 129; 2: 85; 3: 12; 4: 1; 
EGFR_&_ErbB_Signaling, 607,  9, 12,  339, 1, 4, 865830, 26664.03, 0, 0.00, 1: 132; 2: 79; 3: 15; 4: 1; 
EGFR_&_ErbB_Signaling, 250,  9, 12,  340, 1, 4, 865750, 26664.03, 0, 0.00, 1: 133; 2: 76; 3: 17; 4: 1; 
EGFR_&_ErbB_Signaling, 400,  7, 17,  340, 1, 4, 940494, 26664.03, 21, 0.00, 1: 130; 2: 83; 3: 12; 4: 2; 
EGFR_&_ErbB_Signaling, 792,  8, 14,  340, 1, 4, 891088, 26664.03, 34, 0.00, 1: 132; 2: 79; 3: 14; 4: 2; 
EGFR_&_ErbB_Signaling, 436,  8, 14,  340, 1, 4, 890945, 26664.03, 99, 0.00, 1: 134; 2: 77; 3: 12; 4: 4; 
EGFR_&_ErbB_Signaling, 371, 10, 11,  340, 1, 4, 878992, 26664.03, 0, 0.00, 1: 130; 2: 82; 3: 14; 4: 1; 
EGFR_&_ErbB_Signaling, 950, 10, 11,  340, 1, 4, 879082, 26664.03, 0, 0.00, 1: 132; 2: 78; 3: 16; 4: 1; 
EGFR_&_ErbB_Signaling, 680, 11, 10,  340, 1, 4, 879027, 26664.03, 30, 0.00, 1: 134; 2: 76; 3: 14; 4: 3; 
EGFR_&_ErbB_Signaling, 357,  8, 14,  340, 1, 4, 891067, 26664.03, 0, 0.00, 1: 131; 2: 80; 3: 15; 4: 1; 
EGFR_&_ErbB_Signaling, 528,  7, 17,  340, 1, 4, 940579, 26664.03, 25, 0.00, 1: 137; 2: 68; 3: 21; 4: 1; 
EGFR_&_ErbB_Signaling, 496,  9, 12,  340, 1, 4, 865797, 26664.03, 24, 0.00, 1: 130; 2: 82; 3: 14; 4: 1; 
EGFR_&_ErbB_Signaling, 482,  9, 12,  340, 1, 4, 865780, 26664.03, 0, 0.00, 1: 133; 2: 76; 3: 17; 4: 1; 
EGFR_&_ErbB_Signaling,  36,  7, 17,  340, 1, 4, 940623, 26664.03, 83, 0.00, 1: 133; 2: 77; 3: 15; 4: 2; 
