Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
4(300)
Melhor resultado nxn: EGFR_&_ErbB_Signaling,  12,  8, 14,  495, 1, 4, 891073, 27200.04, 161, 0.00, 1: 77; 2: 66; 3: 50; 4: 34; 
EGFR_&_ErbB_Signaling, 305, 12,  9,  519, 1, 4, 865775, 27200.04, 0, 0.00, 1: 73; 2: 56; 3: 58; 4: 40; 
EGFR_&_ErbB_Signaling, 520,  7, 17,  519, 1, 4, 940498, 27200.04, 25, 0.00, 1: 68; 2: 65; 3: 55; 4: 39; 
EGFR_&_ErbB_Signaling, 670, 11, 10,  519, 1, 4, 879032, 27200.04, 0, 0.00, 1: 76; 2: 55; 3: 51; 4: 45; 
EGFR_&_ErbB_Signaling, 261,  8, 13,  519, 1, 4, 830180, 27200.04, 0, 0.00, 1: 75; 2: 52; 3: 60; 4: 40; 
EGFR_&_ErbB_Signaling, 240,  8, 14,  519, 1, 4, 891027, 27200.04, 16, 0.00, 1: 67; 2: 68; 3: 52; 4: 40; 
EGFR_&_ErbB_Signaling, 848,  8, 14,  520, 1, 4, 891030, 27200.04, 37, 0.00, 1: 73; 2: 59; 3: 51; 4: 44; 
EGFR_&_ErbB_Signaling, 702,  6, 20,  520, 1, 4, 947680, 27200.04, 0, 0.00, 1: 63; 2: 75; 3: 49; 4: 40; 
EGFR_&_ErbB_Signaling, 939,  8, 14,  520, 1, 4, 891078, 27200.04, 0, 0.00, 1: 71; 2: 66; 3: 43; 4: 47; 
EGFR_&_ErbB_Signaling, 344,  8, 14,  520, 1, 4, 891030, 27200.04, 20, 0.00, 1: 69; 2: 65; 3: 51; 4: 42; 
EGFR_&_ErbB_Signaling, 712,  7, 15,  520, 1, 4, 840840, 27200.04, 31, 0.00, 1: 67; 2: 70; 3: 47; 4: 43; 
EGFR_&_ErbB_Signaling, 818, 12,  9,  521, 1, 4, 865821, 27200.04, 0, 0.00, 1: 67; 2: 67; 3: 52; 4: 41; 
EGFR_&_ErbB_Signaling, 123, 11, 10,  521, 1, 4, 878991, 27200.04, 0, 0.00, 1: 64; 2: 70; 3: 55; 4: 38; 
EGFR_&_ErbB_Signaling, 533,  7, 16,  521, 1, 4, 891073, 27200.04, 0, 0.00, 1: 70; 2: 63; 3: 51; 4: 43; 
EGFR_&_ErbB_Signaling, 977,  7, 16,  521, 1, 4, 891043, 27200.04, 0, 0.00, 1: 72; 2: 60; 3: 51; 4: 44; 
EGFR_&_ErbB_Signaling, 247, 11, 10,  522, 1, 4, 879041, 27200.04, 0, 0.00, 1: 66; 2: 67; 3: 54; 4: 40; 
EGFR_&_ErbB_Signaling, 331,  6, 18,  522, 1, 4, 865805, 27200.04, 0, 0.00, 1: 64; 2: 70; 3: 54; 4: 39; 
EGFR_&_ErbB_Signaling,  49,  9, 12,  522, 1, 4, 865804, 27200.04, 0, 0.00, 1: 69; 2: 61; 3: 57; 4: 40; 
EGFR_&_ErbB_Signaling, 267, 11, 10,  523, 1, 4, 879067, 27200.04, 0, 0.00, 1: 65; 2: 62; 3: 66; 4: 34; 
EGFR_&_ErbB_Signaling,   7, 10, 11,  523, 1, 4, 879002, 27200.04, 0, 0.00, 1: 66; 2: 63; 3: 61; 4: 37; 
EGFR_&_ErbB_Signaling,   2, 11, 10,  523, 1, 4, 879072, 27200.04, 61, 0.00, 1: 75; 2: 53; 3: 54; 4: 45; 
EGFR_&_ErbB_Signaling, 829, 12,  9,  523, 1, 4, 865756, 27200.04, 0, 0.00, 1: 67; 2: 70; 3: 44; 4: 46; 
EGFR_&_ErbB_Signaling, 405,  7, 17,  523, 1, 4, 940617, 27200.04, 0, 0.00, 1: 68; 2: 64; 3: 53; 4: 42; 
EGFR_&_ErbB_Signaling, 542,  7, 15,  523, 1, 4, 840840, 27200.04, 0, 0.00, 1: 66; 2: 65; 3: 57; 4: 39; 
EGFR_&_ErbB_Signaling, 904,  9, 12,  523, 1, 4, 865805, 27200.04, 43, 0.00, 1: 68; 2: 63; 3: 55; 4: 41; 
EGFR_&_ErbB_Signaling, 999,  7, 16,  524, 1, 4, 891055, 27200.04, 0, 0.00, 1: 68; 2: 63; 3: 54; 4: 42; 
EGFR_&_ErbB_Signaling, 976, 11, 10,  524, 1, 4, 878981, 27200.04, 48, 0.00, 1: 68; 2: 59; 3: 62; 4: 38; 
EGFR_&_ErbB_Signaling, 755, 10, 11,  524, 1, 4, 879020, 27200.04, 0, 0.00, 1: 73; 2: 59; 3: 47; 4: 48; 
EGFR_&_ErbB_Signaling, 885, 12,  9,  524, 1, 4, 865784, 27200.04, 0, 0.00, 1: 68; 2: 67; 3: 46; 4: 46; 
EGFR_&_ErbB_Signaling, 842,  7, 17,  524, 1, 4, 940496, 27200.04, 0, 0.00, 1: 70; 2: 56; 3: 62; 4: 39; 
EGFR_&_ErbB_Signaling, 725, 11, 10,  524, 1, 4, 879027, 27200.04, 0, 0.00, 1: 68; 2: 61; 3: 58; 4: 40; 
EGFR_&_ErbB_Signaling, 382,  6, 20,  524, 1, 4, 947585, 27200.04, 0, 0.00, 1: 68; 2: 63; 3: 54; 4: 42; 
EGFR_&_ErbB_Signaling, 409,  9, 12,  524, 1, 4, 865803, 27200.04, 0, 0.00, 1: 70; 2: 61; 3: 52; 4: 44; 
EGFR_&_ErbB_Signaling, 117, 12,  9,  524, 1, 4, 865815, 27200.04, 0, 0.00, 1: 66; 2: 62; 3: 62; 4: 37; 
EGFR_&_ErbB_Signaling,  26,  6, 19,  524, 1, 4, 908274, 27200.04, 126, 0.00, 1: 66; 2: 66; 3: 54; 4: 41; 
EGFR_&_ErbB_Signaling, 321,  7, 16,  525, 1, 4, 891012, 27200.04, 0, 0.00, 1: 67; 2: 63; 3: 56; 4: 41; 
EGFR_&_ErbB_Signaling, 679,  8, 14,  525, 1, 4, 891083, 27200.04, 0, 0.00, 1: 73; 2: 58; 3: 48; 4: 48; 
EGFR_&_ErbB_Signaling, 680, 11, 10,  525, 1, 4, 879058, 27200.04, 30, 0.00, 1: 68; 2: 58; 3: 63; 4: 38; 
EGFR_&_ErbB_Signaling, 839, 11, 10,  525, 1, 4, 879051, 27200.04, 0, 0.00, 1: 72; 2: 57; 3: 53; 4: 45; 
EGFR_&_ErbB_Signaling, 393,  7, 16,  525, 1, 4, 891013, 27200.04, 0, 0.00, 1: 65; 2: 67; 3: 54; 4: 41; 
EGFR_&_ErbB_Signaling, 612, 10, 11,  525, 1, 4, 879068, 27200.04, 35, 0.00, 1: 66; 2: 66; 3: 53; 4: 42; 
EGFR_&_ErbB_Signaling, 837, 11, 10,  526, 1, 4, 879056, 27200.04, 0, 0.00, 1: 70; 2: 60; 3: 52; 4: 45; 
EGFR_&_ErbB_Signaling, 637,  7, 17,  526, 1, 4, 940436, 27200.04, 0, 0.00, 1: 68; 2: 59; 3: 60; 4: 40; 
EGFR_&_ErbB_Signaling, 229, 10, 11,  526, 1, 4, 879046, 27200.04, 0, 0.00, 1: 62; 2: 76; 3: 44; 4: 45; 
EGFR_&_ErbB_Signaling, 453,  9, 12,  526, 1, 4, 865729, 27200.04, 0, 0.00, 1: 70; 2: 62; 3: 48; 4: 47; 
EGFR_&_ErbB_Signaling, 661,  7, 16,  526, 1, 4, 891014, 27200.04, 0, 0.00, 1: 69; 2: 62; 3: 51; 4: 45; 
EGFR_&_ErbB_Signaling, 649,  8, 14,  526, 1, 4, 890750, 27200.04, 0, 0.00, 1: 64; 2: 72; 3: 46; 4: 45; 
EGFR_&_ErbB_Signaling,   6, 12,  9,  527, 1, 4, 865777, 27200.04, 0, 0.00, 1: 65; 2: 66; 3: 54; 4: 42; 
EGFR_&_ErbB_Signaling, 730, 10, 11,  527, 1, 4, 879020, 27200.04, 0, 0.00, 1: 66; 2: 65; 3: 53; 4: 43; 
EGFR_&_ErbB_Signaling, 155, 11, 10,  527, 1, 4, 879044, 27200.04, 0, 0.00, 1: 66; 2: 64; 3: 55; 4: 42; 
EGFR_&_ErbB_Signaling, 781,  6, 20,  528, 1, 4, 947877, 27200.04, 0, 0.00, 1: 63; 2: 74; 3: 43; 4: 47; 
EGFR_&_ErbB_Signaling, 191,  9, 12,  528, 1, 4, 865790, 27200.04, 0, 0.00, 1: 69; 2: 63; 3: 47; 4: 48; 
EGFR_&_ErbB_Signaling, 495, 12,  9,  528, 1, 4, 865744, 27200.04, 0, 0.00, 1: 68; 2: 59; 3: 58; 4: 42; 
EGFR_&_ErbB_Signaling, 525, 12,  9,  528, 1, 4, 865788, 27200.04, 0, 0.00, 1: 63; 2: 68; 3: 55; 4: 41; 
EGFR_&_ErbB_Signaling,  57,  8, 14,  528, 1, 4, 891051, 27200.04, 0, 0.00, 1: 67; 2: 60; 3: 59; 4: 41; 
EGFR_&_ErbB_Signaling, 805, 10, 11,  528, 1, 4, 879048, 27200.04, 0, 0.00, 1: 66; 2: 64; 3: 54; 4: 43; 
EGFR_&_ErbB_Signaling, 657, 10, 11,  528, 1, 4, 879006, 27200.04, 0, 0.00, 1: 65; 2: 66; 3: 53; 4: 43; 
EGFR_&_ErbB_Signaling, 717,  8, 14,  528, 1, 4, 891034, 27200.04, 0, 0.00, 1: 63; 2: 65; 3: 61; 4: 38; 
EGFR_&_ErbB_Signaling, 718, 11, 10,  528, 1, 4, 879010, 27200.04, 0, 0.00, 1: 66; 2: 64; 3: 54; 4: 43; 
EGFR_&_ErbB_Signaling, 143,  7, 16,  529, 1, 4, 891088, 27200.04, 0, 0.00, 1: 62; 2: 70; 3: 53; 4: 42; 
EGFR_&_ErbB_Signaling,  15, 12,  9,  529, 1, 4, 865857, 27200.04, 0, 0.00, 1: 66; 2: 60; 3: 61; 4: 40; 
EGFR_&_ErbB_Signaling, 892,  7, 17,  529, 1, 4, 940531, 27200.04, 0, 0.00, 1: 67; 2: 61; 3: 56; 4: 43; 
EGFR_&_ErbB_Signaling, 360, 12,  9,  529, 1, 4, 865763, 27200.04, 21, 0.00, 1: 68; 2: 58; 3: 59; 4: 42; 
EGFR_&_ErbB_Signaling, 889,  8, 14,  529, 1, 4, 891047, 27200.04, 0, 0.00, 1: 63; 2: 65; 3: 60; 4: 39; 
EGFR_&_ErbB_Signaling, 429,  9, 12,  529, 1, 4, 865797, 27200.04, 0, 0.00, 1: 67; 2: 61; 3: 56; 4: 43; 
EGFR_&_ErbB_Signaling,  89,  7, 17,  529, 1, 4, 940517, 27200.04, 0, 0.00, 1: 69; 2: 56; 3: 60; 4: 42; 
EGFR_&_ErbB_Signaling, 861,  9, 12,  529, 1, 4, 865773, 27200.04, 0, 0.00, 1: 66; 2: 61; 3: 59; 4: 41; 
EGFR_&_ErbB_Signaling, 299, 11, 10,  529, 1, 4, 879015, 27200.04, 0, 0.00, 1: 64; 2: 66; 3: 55; 4: 42; 
EGFR_&_ErbB_Signaling, 289, 11, 10,  529, 1, 4, 879001, 27200.04, 0, 0.00, 1: 67; 2: 59; 3: 60; 4: 41; 
EGFR_&_ErbB_Signaling, 731, 12,  9,  530, 1, 4, 865793, 27200.04, 0, 0.00, 1: 66; 2: 62; 3: 56; 4: 43; 
EGFR_&_ErbB_Signaling, 788,  7, 15,  530, 1, 4, 840840, 27200.04, 71, 0.00, 1: 64; 2: 70; 3: 46; 4: 47; 
EGFR_&_ErbB_Signaling, 784, 11, 10,  530, 1, 4, 878991, 27200.04, 34, 0.00, 1: 72; 2: 54; 3: 54; 4: 47; 
EGFR_&_ErbB_Signaling, 666, 11, 10,  530, 1, 4, 879044, 27200.04, 0, 0.00, 1: 69; 2: 58; 3: 55; 4: 45; 
EGFR_&_ErbB_Signaling, 713, 11, 10,  530, 1, 4, 879057, 27200.04, 0, 0.00, 1: 70; 2: 61; 3: 46; 4: 50; 
EGFR_&_ErbB_Signaling, 357,  8, 14,  530, 1, 4, 891035, 27200.04, 0, 0.00, 1: 72; 2: 55; 3: 52; 4: 48; 
EGFR_&_ErbB_Signaling, 929,  8, 13,  530, 1, 4, 830180, 27200.04, 0, 0.00, 1: 69; 2: 62; 3: 47; 4: 49; 
EGFR_&_ErbB_Signaling, 951,  6, 19,  531, 1, 4, 908205, 27200.04, 0, 0.00, 1: 65; 2: 58; 3: 66; 4: 38; 
EGFR_&_ErbB_Signaling, 626, 12,  9,  531, 1, 4, 865799, 27200.04, 0, 0.00, 1: 69; 2: 61; 3: 48; 4: 49; 
EGFR_&_ErbB_Signaling, 688, 12,  9,  531, 1, 4, 865788, 27200.04, 30, 0.00, 1: 68; 2: 61; 3: 51; 4: 47; 
EGFR_&_ErbB_Signaling, 791,  9, 12,  531, 1, 4, 865816, 27200.04, 0, 0.00, 1: 63; 2: 66; 3: 56; 4: 42; 
EGFR_&_ErbB_Signaling, 484,  9, 12,  531, 1, 4, 865800, 27200.04, 89, 0.00, 1: 64; 2: 62; 3: 61; 4: 40; 
EGFR_&_ErbB_Signaling, 209, 12,  9,  532, 1, 4, 865798, 27200.04, 0, 0.00, 1: 62; 2: 67; 3: 56; 4: 42; 
EGFR_&_ErbB_Signaling, 406, 12,  9,  532, 1, 4, 865796, 27200.04, 0, 0.00, 1: 64; 2: 60; 3: 64; 4: 39; 
EGFR_&_ErbB_Signaling, 336, 10, 11,  532, 1, 4, 879025, 27200.04, 20, 0.00, 1: 70; 2: 52; 3: 62; 4: 43; 
EGFR_&_ErbB_Signaling, 459, 10, 11,  532, 1, 4, 879038, 27200.04, 0, 0.00, 1: 55; 2: 76; 3: 59; 4: 37; 
EGFR_&_ErbB_Signaling, 415, 11, 10,  532, 1, 4, 879036, 27200.04, 0, 0.00, 1: 69; 2: 58; 3: 53; 4: 47; 
EGFR_&_ErbB_Signaling, 547,  9, 12,  532, 1, 4, 865777, 27200.04, 0, 0.00, 1: 65; 2: 59; 3: 63; 4: 40; 
EGFR_&_ErbB_Signaling, 514,  6, 20,  533, 1, 4, 947583, 27200.04, 0, 0.00, 1: 64; 2: 60; 3: 63; 4: 40; 
EGFR_&_ErbB_Signaling, 758,  6, 19,  533, 1, 4, 908176, 27200.04, 0, 0.00, 1: 60; 2: 69; 3: 57; 4: 41; 
EGFR_&_ErbB_Signaling, 695,  7, 16,  533, 1, 4, 890966, 27200.04, 0, 0.00, 1: 64; 2: 59; 3: 65; 4: 39; 
EGFR_&_ErbB_Signaling, 506,  7, 16,  533, 1, 4, 891022, 27200.04, 0, 0.00, 1: 67; 2: 56; 3: 62; 4: 42; 
EGFR_&_ErbB_Signaling, 526,  6, 19,  533, 1, 4, 908098, 27200.04, 0, 0.00, 1: 62; 2: 65; 3: 59; 4: 41; 
EGFR_&_ErbB_Signaling, 203, 11, 10,  533, 1, 4, 879033, 27200.04, 0, 0.00, 1: 61; 2: 66; 3: 60; 4: 40; 
EGFR_&_ErbB_Signaling, 376,  8, 13,  533, 1, 4, 830180, 27200.04, 21, 0.00, 1: 67; 2: 65; 3: 44; 4: 51; 
EGFR_&_ErbB_Signaling, 379,  8, 13,  533, 1, 4, 830180, 27200.04, 0, 0.00, 1: 66; 2: 59; 3: 59; 4: 43; 
EGFR_&_ErbB_Signaling, 403, 11, 10,  534, 1, 4, 878997, 27200.04, 0, 0.00, 1: 68; 2: 57; 3: 56; 4: 46; 
EGFR_&_ErbB_Signaling, 656,  6, 20,  534, 1, 4, 947562, 27200.04, 29, 0.00, 1: 62; 2: 66; 3: 56; 4: 43; 
EGFR_&_ErbB_Signaling,  97,  7, 16,  534, 1, 4, 891010, 27200.04, 0, 0.00, 1: 59; 2: 66; 3: 65; 4: 37; 
EGFR_&_ErbB_Signaling, 196,  7, 17,  534, 1, 4, 940491, 27200.04, 100, 0.00, 1: 63; 2: 64; 3: 57; 4: 43; 
EGFR_&_ErbB_Signaling, 973,  7, 17,  534, 1, 4, 940346, 27200.04, 0, 0.00, 1: 62; 2: 68; 3: 52; 4: 45; 
EGFR_&_ErbB_Signaling, 199,  7, 16,  534, 1, 4, 891021, 27200.04, 0, 0.00, 1: 67; 2: 57; 3: 59; 4: 44; 
EGFR_&_ErbB_Signaling, 114,  6, 18,  534, 1, 4, 865792, 27200.04, 0, 0.00, 1: 64; 2: 62; 3: 58; 4: 43; 
EGFR_&_ErbB_Signaling, 446,  6, 18,  535, 1, 4, 865798, 27200.04, 0, 0.00, 1: 61; 2: 67; 3: 56; 4: 43; 
EGFR_&_ErbB_Signaling, 243, 10, 11,  535, 1, 4, 879044, 27200.04, 0, 0.00, 1: 69; 2: 52; 3: 62; 4: 44; 
EGFR_&_ErbB_Signaling, 938,  7, 15,  535, 1, 4, 840840, 27200.04, 0, 0.00, 1: 66; 2: 61; 3: 53; 4: 47; 
EGFR_&_ErbB_Signaling, 918,  9, 12,  536, 1, 4, 865798, 27200.04, 0, 0.00, 1: 69; 2: 57; 3: 51; 4: 50; 
EGFR_&_ErbB_Signaling,  13,  8, 14,  537, 1, 4, 891040, 27200.04, 127, 0.00, 1: 68; 2: 55; 3: 57; 4: 47; 
EGFR_&_ErbB_Signaling,  22, 10, 11,  537, 1, 4, 879013, 27200.04, 0, 0.00, 1: 64; 2: 65; 3: 49; 4: 49; 
EGFR_&_ErbB_Signaling, 544, 12,  9,  537, 1, 4, 865750, 27200.04, 25, 0.00, 1: 64; 2: 61; 3: 57; 4: 45; 
EGFR_&_ErbB_Signaling, 700, 10, 11,  537, 1, 4, 879081, 27200.04, 55, 0.00, 1: 59; 2: 68; 3: 58; 4: 42; 
EGFR_&_ErbB_Signaling, 146, 11, 10,  537, 1, 4, 879014, 27200.04, 0, 0.00, 1: 69; 2: 62; 3: 40; 4: 56; 
EGFR_&_ErbB_Signaling, 483,  8, 14,  537, 1, 4, 890971, 27200.04, 0, 0.00, 1: 68; 2: 58; 3: 51; 4: 50; 
EGFR_&_ErbB_Signaling, 222,  8, 14,  538, 1, 4, 891041, 27200.04, 0, 0.00, 1: 70; 2: 52; 3: 56; 4: 49; 
EGFR_&_ErbB_Signaling, 363,  6, 18,  538, 1, 4, 865813, 27200.04, 0, 0.00, 1: 63; 2: 62; 3: 57; 4: 45; 
EGFR_&_ErbB_Signaling, 340, 10, 11,  538, 1, 4, 879043, 27200.04, 23, 0.00, 1: 67; 2: 61; 3: 47; 4: 52; 
EGFR_&_ErbB_Signaling, 288, 12,  9,  539, 1, 4, 865789, 27200.04, 19, 0.00, 1: 56; 2: 70; 3: 61; 4: 40; 
EGFR_&_ErbB_Signaling, 221, 11, 10,  539, 1, 4, 879019, 27200.04, 0, 0.00, 1: 69; 2: 54; 3: 54; 4: 50; 
EGFR_&_ErbB_Signaling, 783, 12,  9,  539, 1, 4, 865784, 27200.04, 0, 0.00, 1: 65; 2: 56; 3: 62; 4: 44; 
EGFR_&_ErbB_Signaling, 639,  7, 15,  539, 1, 4, 840840, 27200.04, 0, 0.00, 1: 64; 2: 62; 3: 53; 4: 48; 
EGFR_&_ErbB_Signaling, 635, 11, 10,  539, 1, 4, 879125, 27200.04, 0, 0.00, 1: 66; 2: 61; 3: 49; 4: 51; 
EGFR_&_ErbB_Signaling, 762,  6, 19,  539, 1, 4, 908236, 27200.04, 0, 0.00, 1: 64; 2: 62; 3: 53; 4: 48; 
EGFR_&_ErbB_Signaling, 606, 11, 10,  539, 1, 4, 879038, 27200.04, 0, 0.00, 1: 66; 2: 59; 3: 53; 4: 49; 
EGFR_&_ErbB_Signaling, 372, 11, 10,  539, 1, 4, 879016, 27200.04, 98, 0.00, 1: 65; 2: 60; 3: 54; 4: 48; 
