Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
3(951)
Melhor resultado nxn: EGFR_&_ErbB_Signaling, 367,  7, 16,  349, 1, 3, 891193, 75721.94, 0, 0.00, 1: 112; 2: 108; 3: 7; 
EGFR_&_ErbB_Signaling, 711, 11, 10,  359, 1, 3, 879092, 75721.94, 0, 0.00, 1: 108; 2: 106; 3: 13; 
EGFR_&_ErbB_Signaling, 841,  9, 12,  359, 1, 3, 865799, 75721.94, 0, 0.00, 1: 108; 2: 106; 3: 13; 
EGFR_&_ErbB_Signaling, 919,  7, 15,  359, 1, 3, 840840, 75721.94, 0, 0.00, 1: 110; 2: 102; 3: 15; 
EGFR_&_ErbB_Signaling, 508, 10, 11,  359, 1, 3, 879114, 75721.94, 89, 0.00, 1: 108; 2: 106; 3: 13; 
EGFR_&_ErbB_Signaling, 820, 10, 11,  359, 1, 3, 879035, 75721.94, 95, 0.00, 1: 108; 2: 106; 3: 13; 
EGFR_&_ErbB_Signaling, 885, 12,  9,  359, 1, 3, 865851, 75721.94, 0, 0.00, 1: 110; 2: 102; 3: 15; 
EGFR_&_ErbB_Signaling, 421,  7, 17,  359, 1, 3, 940352, 75721.94, 0, 0.00, 1: 107; 2: 108; 3: 12; 
EGFR_&_ErbB_Signaling, 599,  7, 17,  359, 1, 3, 940669, 75721.94, 0, 0.00, 1: 109; 2: 104; 3: 14; 
EGFR_&_ErbB_Signaling, 384,  8, 14,  359, 1, 3, 890983, 75721.94, 21, 0.00, 1: 110; 2: 102; 3: 15; 
EGFR_&_ErbB_Signaling, 208,  8, 14,  359, 1, 3, 891082, 75721.94, 14, 0.00, 1: 108; 2: 106; 3: 13; 
EGFR_&_ErbB_Signaling, 156,  7, 16,  359, 1, 3, 891150, 75721.94, 74, 0.00, 1: 109; 2: 104; 3: 14; 
EGFR_&_ErbB_Signaling, 681,  7, 17,  359, 1, 3, 940714, 75721.94, 0, 0.00, 1: 104; 2: 114; 3: 9; 
EGFR_&_ErbB_Signaling, 676,  6, 18,  359, 1, 3, 865831, 75721.94, 31, 0.00, 1: 109; 2: 104; 3: 14; 
EGFR_&_ErbB_Signaling, 626, 12,  9,  360, 1, 3, 865828, 75721.94, 0, 0.00, 1: 108; 2: 105; 3: 14; 
EGFR_&_ErbB_Signaling, 952,  7, 16,  360, 1, 3, 891037, 75721.94, 46, 0.00, 1: 108; 2: 105; 3: 14; 
EGFR_&_ErbB_Signaling, 237,  8, 14,  360, 1, 3, 891153, 75721.94, 0, 0.00, 1: 109; 2: 103; 3: 15; 
EGFR_&_ErbB_Signaling, 791,  9, 12,  360, 1, 3, 865876, 75721.94, 0, 0.00, 1: 103; 2: 115; 3: 9; 
EGFR_&_ErbB_Signaling, 832,  8, 14,  360, 1, 3, 891071, 75721.94, 37, 0.00, 1: 107; 2: 107; 3: 13; 
EGFR_&_ErbB_Signaling, 364,  8, 14,  360, 1, 3, 890792, 75721.94, 55, 0.00, 1: 110; 2: 101; 3: 16; 
EGFR_&_ErbB_Signaling, 371, 10, 11,  360, 1, 3, 879129, 75721.94, 0, 0.00, 1: 109; 2: 103; 3: 15; 
EGFR_&_ErbB_Signaling, 344,  8, 14,  360, 1, 3, 891025, 75721.94, 20, 0.00, 1: 110; 2: 101; 3: 16; 
EGFR_&_ErbB_Signaling, 389,  9, 12,  360, 1, 3, 865811, 75721.94, 0, 0.00, 1: 107; 2: 107; 3: 13; 
EGFR_&_ErbB_Signaling, 318,  7, 17,  360, 1, 3, 940352, 75721.94, 0, 0.00, 1: 107; 2: 107; 3: 13; 
EGFR_&_ErbB_Signaling, 434,  7, 16,  360, 1, 3, 891164, 75721.94, 0, 0.00, 1: 103; 2: 115; 3: 9; 
EGFR_&_ErbB_Signaling, 269,  8, 14,  360, 1, 3, 890672, 75721.94, 0, 0.00, 1: 109; 2: 103; 3: 15; 
EGFR_&_ErbB_Signaling, 835,  7, 17,  360, 1, 3, 940413, 75721.94, 0, 0.00, 1: 106; 2: 109; 3: 12; 
EGFR_&_ErbB_Signaling, 592,  9, 12,  360, 1, 3, 865838, 75721.94, 27, 0.00, 1: 105; 2: 111; 3: 11; 
EGFR_&_ErbB_Signaling, 241,  9, 12,  360, 1, 3, 865833, 75721.94, 0, 0.00, 1: 109; 2: 103; 3: 15; 
EGFR_&_ErbB_Signaling, 489,  8, 14,  360, 1, 3, 891163, 75721.94, 0, 0.00, 1: 109; 2: 103; 3: 15; 
EGFR_&_ErbB_Signaling, 566, 12,  9,  360, 1, 3, 865712, 75721.94, 0, 0.00, 1: 107; 2: 107; 3: 13; 
EGFR_&_ErbB_Signaling, 504,  8, 14,  360, 1, 3, 891221, 75721.94, 24, 0.00, 1: 109; 2: 103; 3: 15; 
EGFR_&_ErbB_Signaling, 209, 12,  9,  360, 1, 3, 865820, 75721.94, 0, 0.00, 1: 107; 2: 107; 3: 13; 
EGFR_&_ErbB_Signaling, 532,  7, 17,  360, 1, 3, 940671, 75721.94, 27, 0.00, 1: 108; 2: 105; 3: 14; 
EGFR_&_ErbB_Signaling, 562,  7, 17,  360, 1, 3, 940784, 75721.94, 0, 0.00, 1: 107; 2: 107; 3: 13; 
EGFR_&_ErbB_Signaling, 733, 11, 10,  360, 1, 3, 879045, 75721.94, 0, 0.00, 1: 110; 2: 101; 3: 16; 
EGFR_&_ErbB_Signaling,  64,  7, 16,  360, 1, 3, 891108, 75721.94, 6, 0.00, 1: 108; 2: 105; 3: 14; 
EGFR_&_ErbB_Signaling, 708,  7, 16,  360, 1, 3, 890704, 75721.94, 89, 0.00, 1: 108; 2: 105; 3: 14; 
EGFR_&_ErbB_Signaling, 692,  9, 12,  360, 1, 3, 865879, 75721.94, 24, 0.00, 1: 107; 2: 107; 3: 13; 
EGFR_&_ErbB_Signaling, 764,  7, 15,  360, 1, 3, 840840, 75721.94, 96, 0.00, 1: 108; 2: 105; 3: 14; 
EGFR_&_ErbB_Signaling, 687, 11, 10,  360, 1, 3, 878950, 75721.94, 0, 0.00, 1: 109; 2: 103; 3: 15; 
EGFR_&_ErbB_Signaling,  57,  8, 14,  360, 1, 3, 891222, 75721.94, 0, 0.00, 1: 109; 2: 103; 3: 15; 
EGFR_&_ErbB_Signaling, 675,  9, 12,  360, 1, 3, 865850, 75721.94, 0, 0.00, 1: 104; 2: 113; 3: 10; 
EGFR_&_ErbB_Signaling, 734,  6, 20,  360, 1, 3, 947735, 75721.94, 0, 0.00, 1: 108; 2: 105; 3: 14; 
EGFR_&_ErbB_Signaling, 755, 10, 11,  360, 1, 3, 879210, 75721.94, 0, 0.00, 1: 110; 2: 101; 3: 16; 
EGFR_&_ErbB_Signaling, 752,  8, 13,  360, 1, 3, 830180, 75721.94, 32, 0.00, 1: 107; 2: 107; 3: 13; 
EGFR_&_ErbB_Signaling,  88,  7, 16,  360, 1, 3, 890993, 75721.94, 6, 0.00, 1: 107; 2: 107; 3: 13; 
EGFR_&_ErbB_Signaling,  89,  7, 17,  360, 1, 3, 940578, 75721.94, 0, 0.00, 1: 109; 2: 103; 3: 15; 
EGFR_&_ErbB_Signaling, 480,  7, 17,  361, 1, 3, 940686, 75721.94, 23, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 471,  7, 15,  361, 1, 3, 840840, 75721.94, 0, 0.00, 1: 103; 2: 114; 3: 10; 
EGFR_&_ErbB_Signaling, 249,  9, 12,  361, 1, 3, 865747, 75721.94, 0, 0.00, 1: 110; 2: 100; 3: 17; 
EGFR_&_ErbB_Signaling, 247, 11, 10,  361, 1, 3, 879200, 75721.94, 0, 0.00, 1: 107; 2: 106; 3: 14; 
EGFR_&_ErbB_Signaling, 251,  8, 13,  361, 1, 3, 830180, 75721.94, 0, 0.00, 1: 109; 2: 102; 3: 16; 
EGFR_&_ErbB_Signaling, 265,  7, 15,  361, 1, 3, 840840, 75721.94, 0, 0.00, 1: 106; 2: 108; 3: 13; 
EGFR_&_ErbB_Signaling, 494,  8, 14,  361, 1, 3, 891232, 75721.94, 0, 0.00, 1: 110; 2: 100; 3: 17; 
EGFR_&_ErbB_Signaling, 234, 10, 11,  361, 1, 3, 878953, 75721.94, 0, 0.00, 1: 106; 2: 108; 3: 13; 
EGFR_&_ErbB_Signaling, 825,  8, 14,  361, 1, 3, 890907, 75721.94, 0, 0.00, 1: 106; 2: 108; 3: 13; 
EGFR_&_ErbB_Signaling, 222,  8, 14,  361, 1, 3, 890820, 75721.94, 0, 0.00, 1: 106; 2: 108; 3: 13; 
EGFR_&_ErbB_Signaling, 689,  7, 17,  361, 1, 3, 940746, 75721.94, 0, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 811,  9, 12,  361, 1, 3, 865804, 75721.94, 0, 0.00, 1: 105; 2: 110; 3: 12; 
EGFR_&_ErbB_Signaling, 528,  7, 17,  361, 1, 3, 940588, 75721.94, 25, 0.00, 1: 102; 2: 116; 3: 9; 
EGFR_&_ErbB_Signaling, 190,  8, 14,  361, 1, 3, 891146, 75721.94, 0, 0.00, 1: 111; 2: 98; 3: 18; 
EGFR_&_ErbB_Signaling, 556, 10, 11,  361, 1, 3, 879039, 75721.94, 22, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 557,  7, 17,  361, 1, 3, 940499, 75721.94, 0, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 186, 10, 11,  361, 1, 3, 879141, 75721.94, 0, 0.00, 1: 107; 2: 106; 3: 14; 
EGFR_&_ErbB_Signaling, 299, 11, 10,  361, 1, 3, 879051, 75721.94, 0, 0.00, 1: 105; 2: 110; 3: 12; 
EGFR_&_ErbB_Signaling, 754,  7, 17,  361, 1, 3, 940636, 75721.94, 0, 0.00, 1: 107; 2: 106; 3: 14; 
EGFR_&_ErbB_Signaling,   2, 11, 10,  361, 1, 3, 879215, 75721.94, 161, 0.00, 1: 106; 2: 108; 3: 13; 
EGFR_&_ErbB_Signaling, 870, 10, 11,  361, 1, 3, 878924, 75721.94, 0, 0.00, 1: 106; 2: 108; 3: 13; 
EGFR_&_ErbB_Signaling, 735,  7, 17,  361, 1, 3, 940572, 75721.94, 0, 0.00, 1: 107; 2: 106; 3: 14; 
EGFR_&_ErbB_Signaling, 337,  7, 15,  361, 1, 3, 840840, 75721.94, 0, 0.00, 1: 110; 2: 100; 3: 17; 
EGFR_&_ErbB_Signaling, 877,  9, 12,  361, 1, 3, 865886, 75721.94, 0, 0.00, 1: 106; 2: 108; 3: 13; 
EGFR_&_ErbB_Signaling, 859,  8, 13,  361, 1, 3, 830180, 75721.94, 0, 0.00, 1: 105; 2: 110; 3: 12; 
EGFR_&_ErbB_Signaling, 732, 11, 10,  361, 1, 3, 879126, 75721.94, 64, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 996,  8, 14,  361, 1, 3, 891324, 75721.94, 62, 0.00, 1: 106; 2: 108; 3: 13; 
EGFR_&_ErbB_Signaling, 316,  7, 17,  361, 1, 3, 940534, 75721.94, 26, 0.00, 1: 106; 2: 108; 3: 13; 
EGFR_&_ErbB_Signaling, 311, 10, 11,  361, 1, 3, 879132, 75721.94, 0, 0.00, 1: 109; 2: 102; 3: 16; 
EGFR_&_ErbB_Signaling, 423,  6, 19,  361, 1, 3, 908260, 75721.94, 0, 0.00, 1: 111; 2: 98; 3: 18; 
EGFR_&_ErbB_Signaling, 470,  7, 16,  361, 1, 3, 891152, 75721.94, 0, 0.00, 1: 104; 2: 112; 3: 11; 
EGFR_&_ErbB_Signaling, 441, 11, 10,  361, 1, 3, 879052, 75721.94, 0, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 889,  8, 14,  361, 1, 3, 891048, 75721.94, 0, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 288, 12,  9,  361, 1, 3, 865826, 75721.94, 19, 0.00, 1: 105; 2: 110; 3: 12; 
EGFR_&_ErbB_Signaling, 837, 11, 10,  361, 1, 3, 879047, 75721.94, 0, 0.00, 1: 107; 2: 106; 3: 14; 
EGFR_&_ErbB_Signaling, 462, 12,  9,  361, 1, 3, 865755, 75721.94, 0, 0.00, 1: 110; 2: 100; 3: 17; 
EGFR_&_ErbB_Signaling,  45,  7, 16,  361, 1, 3, 891171, 75721.94, 0, 0.00, 1: 105; 2: 110; 3: 12; 
EGFR_&_ErbB_Signaling, 267, 11, 10,  361, 1, 3, 879183, 75721.94, 0, 0.00, 1: 106; 2: 108; 3: 13; 
EGFR_&_ErbB_Signaling,  49,  9, 12,  361, 1, 3, 865782, 75721.94, 0, 0.00, 1: 106; 2: 108; 3: 13; 
EGFR_&_ErbB_Signaling, 631,  7, 16,  361, 1, 3, 890907, 75721.94, 0, 0.00, 1: 107; 2: 106; 3: 14; 
EGFR_&_ErbB_Signaling,  50,  8, 13,  361, 1, 3, 830180, 75721.94, 0, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 990,  8, 14,  361, 1, 3, 890953, 75721.94, 0, 0.00, 1: 104; 2: 112; 3: 11; 
EGFR_&_ErbB_Signaling, 643,  8, 13,  361, 1, 3, 830180, 75721.94, 0, 0.00, 1: 104; 2: 112; 3: 11; 
EGFR_&_ErbB_Signaling, 585, 10, 11,  361, 1, 3, 878988, 75721.94, 0, 0.00, 1: 105; 2: 110; 3: 12; 
EGFR_&_ErbB_Signaling, 783, 12,  9,  361, 1, 3, 865815, 75721.94, 0, 0.00, 1: 104; 2: 112; 3: 11; 
EGFR_&_ErbB_Signaling, 788,  7, 15,  361, 1, 3, 840840, 75721.94, 71, 0.00, 1: 105; 2: 110; 3: 12; 
EGFR_&_ErbB_Signaling, 620, 11, 10,  361, 1, 3, 879205, 75721.94, 29, 0.00, 1: 107; 2: 106; 3: 14; 
EGFR_&_ErbB_Signaling, 175, 11, 10,  361, 1, 3, 879135, 75721.94, 0, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 636,  6, 20,  361, 1, 3, 947736, 75721.94, 26, 0.00, 1: 107; 2: 106; 3: 14; 
EGFR_&_ErbB_Signaling, 572,  8, 14,  361, 1, 3, 891004, 75721.94, 71, 0.00, 1: 106; 2: 108; 3: 13; 
