Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
3(992)
Melhor resultado nxn: EGFR_&_ErbB_Signaling, 682,  9, 12,  339, 1, 3, 865815, 74000.52, 0, 0.00, 1: 123; 2: 96; 3: 8; 
EGFR_&_ErbB_Signaling, 220,  7, 17,  341, 1, 3, 940511, 74000.52, 74, 0.00, 1: 119; 2: 102; 3: 6; 
EGFR_&_ErbB_Signaling, 108,  7, 15,  341, 1, 3, 840840, 74000.52, 31, 0.00, 1: 125; 2: 90; 3: 12; 
EGFR_&_ErbB_Signaling,   6, 12,  9,  341, 1, 3, 865817, 74000.52, 0, 0.00, 1: 123; 2: 94; 3: 10; 
EGFR_&_ErbB_Signaling, 214, 10, 11,  341, 1, 3, 879100, 74000.52, 0, 0.00, 1: 124; 2: 92; 3: 11; 
EGFR_&_ErbB_Signaling, 427,  8, 14,  341, 1, 3, 891183, 74000.52, 0, 0.00, 1: 124; 2: 92; 3: 11; 
EGFR_&_ErbB_Signaling, 874,  7, 17,  341, 1, 3, 940783, 74000.52, 0, 0.00, 1: 123; 2: 94; 3: 10; 
EGFR_&_ErbB_Signaling, 208,  8, 14,  341, 1, 3, 891108, 74000.52, 14, 0.00, 1: 120; 2: 100; 3: 7; 
EGFR_&_ErbB_Signaling, 494,  8, 14,  341, 1, 3, 890911, 74000.52, 0, 0.00, 1: 121; 2: 98; 3: 8; 
EGFR_&_ErbB_Signaling, 655,  7, 17,  342, 1, 3, 940388, 74000.52, 0, 0.00, 1: 120; 2: 99; 3: 8; 
EGFR_&_ErbB_Signaling, 632,  7, 17,  342, 1, 3, 940714, 74000.52, 28, 0.00, 1: 122; 2: 95; 3: 10; 
EGFR_&_ErbB_Signaling, 835,  7, 17,  342, 1, 3, 940739, 74000.52, 0, 0.00, 1: 123; 2: 93; 3: 11; 
EGFR_&_ErbB_Signaling, 177,  8, 14,  342, 1, 3, 890892, 74000.52, 0, 0.00, 1: 123; 2: 93; 3: 11; 
EGFR_&_ErbB_Signaling, 124,  9, 12,  342, 1, 3, 865855, 74000.52, 23, 0.00, 1: 122; 2: 95; 3: 10; 
EGFR_&_ErbB_Signaling, 599,  7, 17,  342, 1, 3, 940496, 74000.52, 0, 0.00, 1: 124; 2: 91; 3: 12; 
EGFR_&_ErbB_Signaling, 641,  7, 16,  342, 1, 3, 890987, 74000.52, 0, 0.00, 1: 123; 2: 93; 3: 11; 
EGFR_&_ErbB_Signaling, 803,  9, 12,  342, 1, 3, 865815, 74000.52, 0, 0.00, 1: 121; 2: 97; 3: 9; 
EGFR_&_ErbB_Signaling, 538, 11, 10,  342, 1, 3, 879039, 74000.52, 0, 0.00, 1: 125; 2: 89; 3: 13; 
EGFR_&_ErbB_Signaling,  93,  7, 16,  342, 1, 3, 891194, 74000.52, 0, 0.00, 1: 121; 2: 97; 3: 9; 
EGFR_&_ErbB_Signaling, 713, 11, 10,  342, 1, 3, 879071, 74000.52, 0, 0.00, 1: 121; 2: 97; 3: 9; 
EGFR_&_ErbB_Signaling, 455,  8, 14,  342, 1, 3, 890813, 74000.52, 0, 0.00, 1: 119; 2: 101; 3: 7; 
EGFR_&_ErbB_Signaling, 529,  8, 14,  342, 1, 3, 891115, 74000.52, 0, 0.00, 1: 123; 2: 93; 3: 11; 
EGFR_&_ErbB_Signaling,  20,  7, 17,  342, 1, 3, 940425, 74000.52, 168, 0.00, 1: 120; 2: 99; 3: 8; 
EGFR_&_ErbB_Signaling, 754,  7, 17,  342, 1, 3, 940678, 74000.52, 0, 0.00, 1: 122; 2: 95; 3: 10; 
EGFR_&_ErbB_Signaling, 560,  7, 15,  343, 1, 3, 840840, 74000.52, 25, 0.00, 1: 122; 2: 94; 3: 11; 
EGFR_&_ErbB_Signaling, 373,  7, 17,  343, 1, 3, 940433, 74000.52, 0, 0.00, 1: 121; 2: 96; 3: 10; 
EGFR_&_ErbB_Signaling, 551,  7, 17,  343, 1, 3, 940516, 74000.52, 0, 0.00, 1: 121; 2: 96; 3: 10; 
EGFR_&_ErbB_Signaling, 387, 10, 11,  343, 1, 3, 878972, 74000.52, 0, 0.00, 1: 122; 2: 94; 3: 11; 
EGFR_&_ErbB_Signaling, 343, 10, 11,  343, 1, 3, 878938, 74000.52, 0, 0.00, 1: 122; 2: 94; 3: 11; 
EGFR_&_ErbB_Signaling, 906,  7, 17,  343, 1, 3, 940465, 74000.52, 0, 0.00, 1: 119; 2: 100; 3: 8; 
EGFR_&_ErbB_Signaling, 834,  8, 14,  343, 1, 3, 891074, 74000.52, 0, 0.00, 1: 117; 2: 104; 3: 6; 
EGFR_&_ErbB_Signaling, 910, 12,  9,  343, 1, 3, 865784, 74000.52, 0, 0.00, 1: 120; 2: 98; 3: 9; 
EGFR_&_ErbB_Signaling,  99,  6, 19,  343, 1, 3, 908030, 74000.52, 0, 0.00, 1: 122; 2: 94; 3: 11; 
EGFR_&_ErbB_Signaling, 100, 10, 11,  343, 1, 3, 879053, 74000.52, 26, 0.00, 1: 122; 2: 94; 3: 11; 
EGFR_&_ErbB_Signaling, 357,  8, 14,  343, 1, 3, 891155, 74000.52, 0, 0.00, 1: 119; 2: 100; 3: 8; 
EGFR_&_ErbB_Signaling,   0,  7, 16,  343, 1, 3, 891052, 74000.52, 144, 0.00, 1: 123; 2: 92; 3: 12; 
EGFR_&_ErbB_Signaling, 633,  8, 14,  343, 1, 3, 891085, 74000.52, 0, 0.00, 1: 120; 2: 98; 3: 9; 
EGFR_&_ErbB_Signaling, 998, 12,  9,  343, 1, 3, 865776, 74000.52, 0, 0.00, 1: 117; 2: 104; 3: 6; 
EGFR_&_ErbB_Signaling, 443,  9, 12,  343, 1, 3, 865692, 74000.52, 0, 0.00, 1: 118; 2: 102; 3: 7; 
EGFR_&_ErbB_Signaling, 793,  8, 14,  343, 1, 3, 890892, 74000.52, 0, 0.00, 1: 122; 2: 94; 3: 11; 
EGFR_&_ErbB_Signaling, 231, 11, 10,  343, 1, 3, 879208, 74000.52, 0, 0.00, 1: 122; 2: 94; 3: 11; 
EGFR_&_ErbB_Signaling, 649,  8, 14,  343, 1, 3, 890946, 74000.52, 0, 0.00, 1: 121; 2: 96; 3: 10; 
EGFR_&_ErbB_Signaling, 726,  7, 16,  343, 1, 3, 890959, 74000.52, 0, 0.00, 1: 123; 2: 92; 3: 12; 
EGFR_&_ErbB_Signaling, 772,  8, 14,  343, 1, 3, 891239, 74000.52, 88, 0.00, 1: 120; 2: 98; 3: 9; 
EGFR_&_ErbB_Signaling, 248,  7, 17,  343, 1, 3, 940193, 74000.52, 16, 0.00, 1: 123; 2: 92; 3: 12; 
EGFR_&_ErbB_Signaling, 260, 11, 10,  343, 1, 3, 879124, 74000.52, 21, 0.00, 1: 123; 2: 92; 3: 12; 
EGFR_&_ErbB_Signaling, 362,  7, 16,  344, 1, 3, 891055, 74000.52, 0, 0.00, 1: 119; 2: 99; 3: 9; 
EGFR_&_ErbB_Signaling, 561, 12,  9,  344, 1, 3, 865822, 74000.52, 0, 0.00, 1: 123; 2: 91; 3: 13; 
EGFR_&_ErbB_Signaling, 681,  7, 17,  344, 1, 3, 940601, 74000.52, 0, 0.00, 1: 120; 2: 97; 3: 10; 
EGFR_&_ErbB_Signaling, 687, 11, 10,  344, 1, 3, 879251, 74000.52, 0, 0.00, 1: 118; 2: 101; 3: 8; 
EGFR_&_ErbB_Signaling, 217,  7, 17,  344, 1, 3, 940451, 74000.52, 0, 0.00, 1: 117; 2: 103; 3: 7; 
EGFR_&_ErbB_Signaling, 732, 11, 10,  344, 1, 3, 879096, 74000.52, 64, 0.00, 1: 120; 2: 97; 3: 10; 
EGFR_&_ErbB_Signaling, 366, 12,  9,  344, 1, 3, 865742, 74000.52, 0, 0.00, 1: 115; 2: 107; 3: 5; 
EGFR_&_ErbB_Signaling, 696,  8, 14,  344, 1, 3, 891033, 74000.52, 31, 0.00, 1: 118; 2: 101; 3: 8; 
EGFR_&_ErbB_Signaling, 445,  9, 12,  344, 1, 3, 865782, 74000.52, 0, 0.00, 1: 120; 2: 97; 3: 10; 
EGFR_&_ErbB_Signaling, 563, 10, 11,  344, 1, 3, 878994, 74000.52, 0, 0.00, 1: 118; 2: 101; 3: 8; 
EGFR_&_ErbB_Signaling, 204,  9, 12,  344, 1, 3, 865768, 74000.52, 99, 0.00, 1: 117; 2: 103; 3: 7; 
EGFR_&_ErbB_Signaling, 675,  9, 12,  344, 1, 3, 865733, 74000.52, 0, 0.00, 1: 121; 2: 95; 3: 11; 
EGFR_&_ErbB_Signaling, 196,  7, 17,  344, 1, 3, 940273, 74000.52, 100, 0.00, 1: 119; 2: 99; 3: 9; 
EGFR_&_ErbB_Signaling, 654, 10, 11,  344, 1, 3, 879011, 74000.52, 0, 0.00, 1: 123; 2: 91; 3: 13; 
EGFR_&_ErbB_Signaling, 179,  7, 16,  344, 1, 3, 891278, 74000.52, 0, 0.00, 1: 122; 2: 93; 3: 12; 
EGFR_&_ErbB_Signaling, 652,  8, 13,  344, 1, 3, 830180, 74000.52, 89, 0.00, 1: 121; 2: 95; 3: 11; 
EGFR_&_ErbB_Signaling, 593, 11, 10,  344, 1, 3, 879098, 74000.52, 0, 0.00, 1: 119; 2: 99; 3: 9; 
EGFR_&_ErbB_Signaling, 169,  7, 17,  344, 1, 3, 940504, 74000.52, 0, 0.00, 1: 120; 2: 97; 3: 10; 
EGFR_&_ErbB_Signaling, 329,  9, 12,  344, 1, 3, 865844, 74000.52, 0, 0.00, 1: 120; 2: 97; 3: 10; 
EGFR_&_ErbB_Signaling, 780,  7, 16,  344, 1, 3, 890859, 74000.52, 94, 0.00, 1: 121; 2: 95; 3: 11; 
EGFR_&_ErbB_Signaling, 808,  7, 16,  344, 1, 3, 890946, 74000.52, 35, 0.00, 1: 123; 2: 91; 3: 13; 
EGFR_&_ErbB_Signaling, 797,  7, 16,  344, 1, 3, 891048, 74000.52, 0, 0.00, 1: 117; 2: 103; 3: 7; 
EGFR_&_ErbB_Signaling, 311, 10, 11,  344, 1, 3, 879074, 74000.52, 0, 0.00, 1: 118; 2: 101; 3: 8; 
EGFR_&_ErbB_Signaling, 544, 12,  9,  344, 1, 3, 865776, 74000.52, 25, 0.00, 1: 121; 2: 95; 3: 11; 
EGFR_&_ErbB_Signaling, 940,  7, 17,  344, 1, 3, 940709, 74000.52, 13, 0.00, 1: 123; 2: 91; 3: 13; 
EGFR_&_ErbB_Signaling, 528,  7, 17,  344, 1, 3, 940694, 74000.52, 25, 0.00, 1: 118; 2: 101; 3: 8; 
EGFR_&_ErbB_Signaling, 478,  7, 17,  344, 1, 3, 940644, 74000.52, 0, 0.00, 1: 119; 2: 99; 3: 9; 
EGFR_&_ErbB_Signaling, 957,  6, 19,  344, 1, 3, 908087, 74000.52, 0, 0.00, 1: 119; 2: 99; 3: 9; 
EGFR_&_ErbB_Signaling, 532,  7, 17,  344, 1, 3, 940477, 74000.52, 27, 0.00, 1: 122; 2: 93; 3: 12; 
EGFR_&_ErbB_Signaling,  30,  7, 17,  344, 1, 3, 940521, 74000.52, 0, 0.00, 1: 119; 2: 99; 3: 9; 
EGFR_&_ErbB_Signaling, 421,  7, 17,  344, 1, 3, 940696, 74000.52, 0, 0.00, 1: 120; 2: 97; 3: 10; 
EGFR_&_ErbB_Signaling,  42, 11, 10,  344, 1, 3, 879124, 74000.52, 0, 0.00, 1: 120; 2: 97; 3: 10; 
EGFR_&_ErbB_Signaling, 975,  8, 13,  344, 1, 3, 830180, 74000.52, 0, 0.00, 1: 120; 2: 97; 3: 10; 
EGFR_&_ErbB_Signaling, 485, 11, 10,  344, 1, 3, 879135, 74000.52, 0, 0.00, 1: 123; 2: 91; 3: 13; 
EGFR_&_ErbB_Signaling,  16, 12,  9,  344, 1, 3, 865803, 74000.52, 64, 0.00, 1: 121; 2: 95; 3: 11; 
EGFR_&_ErbB_Signaling, 128,  7, 16,  345, 1, 3, 891005, 74000.52, 7, 0.00, 1: 116; 2: 104; 3: 7; 
EGFR_&_ErbB_Signaling, 400,  7, 17,  345, 1, 3, 940706, 74000.52, 21, 0.00, 1: 119; 2: 98; 3: 10; 
EGFR_&_ErbB_Signaling, 195, 10, 11,  345, 1, 3, 879031, 74000.52, 0, 0.00, 1: 120; 2: 96; 3: 11; 
EGFR_&_ErbB_Signaling, 271,  7, 17,  345, 1, 3, 940635, 74000.52, 0, 0.00, 1: 118; 2: 100; 3: 9; 
EGFR_&_ErbB_Signaling, 401,  7, 17,  345, 1, 3, 940548, 74000.52, 0, 0.00, 1: 118; 2: 100; 3: 9; 
EGFR_&_ErbB_Signaling, 203, 11, 10,  345, 1, 3, 879093, 74000.52, 0, 0.00, 1: 117; 2: 102; 3: 8; 
EGFR_&_ErbB_Signaling,  55,  6, 19,  345, 1, 3, 908256, 74000.52, 0, 0.00, 1: 120; 2: 96; 3: 11; 
EGFR_&_ErbB_Signaling, 680, 11, 10,  345, 1, 3, 879067, 74000.52, 30, 0.00, 1: 121; 2: 94; 3: 12; 
EGFR_&_ErbB_Signaling, 510, 10, 11,  345, 1, 3, 879152, 74000.52, 0, 0.00, 1: 118; 2: 100; 3: 9; 
EGFR_&_ErbB_Signaling,  22, 10, 11,  345, 1, 3, 879016, 74000.52, 0, 0.00, 1: 119; 2: 98; 3: 10; 
EGFR_&_ErbB_Signaling, 595,  9, 12,  345, 1, 3, 865840, 74000.52, 0, 0.00, 1: 116; 2: 104; 3: 7; 
EGFR_&_ErbB_Signaling, 594,  9, 12,  345, 1, 3, 865812, 74000.52, 0, 0.00, 1: 119; 2: 98; 3: 10; 
EGFR_&_ErbB_Signaling, 972,  7, 16,  345, 1, 3, 891104, 74000.52, 40, 0.00, 1: 119; 2: 98; 3: 10; 
EGFR_&_ErbB_Signaling, 792,  8, 14,  345, 1, 3, 890615, 74000.52, 34, 0.00, 1: 120; 2: 96; 3: 11; 
EGFR_&_ErbB_Signaling, 171,  7, 17,  345, 1, 3, 940675, 74000.52, 0, 0.00, 1: 120; 2: 96; 3: 11; 
EGFR_&_ErbB_Signaling, 413,  8, 13,  345, 1, 3, 830180, 74000.52, 0, 0.00, 1: 119; 2: 98; 3: 10; 
EGFR_&_ErbB_Signaling, 946,  9, 12,  345, 1, 3, 865635, 74000.52, 0, 0.00, 1: 116; 2: 104; 3: 7; 
EGFR_&_ErbB_Signaling, 764,  7, 15,  345, 1, 3, 840840, 74000.52, 96, 0.00, 1: 116; 2: 104; 3: 7; 
EGFR_&_ErbB_Signaling, 635, 11, 10,  345, 1, 3, 879219, 74000.52, 0, 0.00, 1: 121; 2: 94; 3: 12; 
EGFR_&_ErbB_Signaling, 184, 12,  9,  345, 1, 3, 865732, 74000.52, 14, 0.00, 1: 116; 2: 104; 3: 7; 
EGFR_&_ErbB_Signaling, 941,  7, 16,  345, 1, 3, 890973, 74000.52, 0, 0.00, 1: 120; 2: 96; 3: 11; 
EGFR_&_ErbB_Signaling, 284,  7, 17,  345, 1, 3, 940712, 74000.52, 24, 0.00, 1: 117; 2: 102; 3: 8; 
EGFR_&_ErbB_Signaling, 318,  7, 17,  345, 1, 3, 940580, 74000.52, 0, 0.00, 1: 124; 2: 88; 3: 15; 
EGFR_&_ErbB_Signaling, 508, 10, 11,  345, 1, 3, 878954, 74000.52, 89, 0.00, 1: 120; 2: 96; 3: 11; 
EGFR_&_ErbB_Signaling, 628, 11, 10,  345, 1, 3, 879033, 74000.52, 23, 0.00, 1: 117; 2: 102; 3: 8; 
EGFR_&_ErbB_Signaling, 276,  7, 16,  345, 1, 3, 891096, 74000.52, 27, 0.00, 1: 119; 2: 98; 3: 10; 
EGFR_&_ErbB_Signaling, 881,  6, 19,  345, 1, 3, 908070, 74000.52, 0, 0.00, 1: 122; 2: 92; 3: 13; 
EGFR_&_ErbB_Signaling, 146, 11, 10,  345, 1, 3, 879153, 74000.52, 0, 0.00, 1: 119; 2: 98; 3: 10; 
EGFR_&_ErbB_Signaling, 624, 12,  9,  345, 1, 3, 865851, 74000.52, 28, 0.00, 1: 117; 2: 102; 3: 8; 
EGFR_&_ErbB_Signaling, 317,  8, 13,  345, 1, 3, 830180, 74000.52, 0, 0.00, 1: 121; 2: 94; 3: 12; 
EGFR_&_ErbB_Signaling, 843,  7, 17,  345, 1, 3, 940392, 74000.52, 0, 0.00, 1: 121; 2: 94; 3: 12; 
EGFR_&_ErbB_Signaling, 868,  8, 14,  345, 1, 3, 890873, 74000.52, 64, 0.00, 1: 117; 2: 102; 3: 8; 
EGFR_&_ErbB_Signaling, 905,  6, 20,  345, 1, 3, 947601, 74000.52, 0, 0.00, 1: 123; 2: 90; 3: 14; 
EGFR_&_ErbB_Signaling, 364,  8, 14,  345, 1, 3, 890960, 74000.52, 55, 0.00, 1: 120; 2: 96; 3: 11; 
EGFR_&_ErbB_Signaling, 247, 11, 10,  345, 1, 3, 879006, 74000.52, 0, 0.00, 1: 117; 2: 102; 3: 8; 
EGFR_&_ErbB_Signaling, 557,  7, 17,  345, 1, 3, 940629, 74000.52, 0, 0.00, 1: 119; 2: 98; 3: 10; 
EGFR_&_ErbB_Signaling, 249,  9, 12,  345, 1, 3, 865635, 74000.52, 0, 0.00, 1: 117; 2: 102; 3: 8; 
EGFR_&_ErbB_Signaling, 378,  9, 12,  345, 1, 3, 865841, 74000.52, 0, 0.00, 1: 121; 2: 94; 3: 12; 
EGFR_&_ErbB_Signaling, 393,  7, 16,  345, 1, 3, 891136, 74000.52, 0, 0.00, 1: 122; 2: 92; 3: 13; 
EGFR_&_ErbB_Signaling, 524,  8, 14,  345, 1, 3, 891142, 74000.52, 29, 0.00, 1: 118; 2: 100; 3: 9; 
EGFR_&_ErbB_Signaling, 242,  8, 14,  345, 1, 3, 891047, 74000.52, 0, 0.00, 1: 120; 2: 96; 3: 11; 
EGFR_&_ErbB_Signaling, 224,  8, 14,  345, 1, 3, 891026, 74000.52, 16, 0.00, 1: 121; 2: 94; 3: 12; 
EGFR_&_ErbB_Signaling, 715,  7, 17,  345, 1, 3, 940666, 74000.52, 0, 0.00, 1: 123; 2: 90; 3: 14; 
EGFR_&_ErbB_Signaling, 105, 12,  9,  345, 1, 3, 865789, 74000.52, 0, 0.00, 1: 119; 2: 98; 3: 10; 
EGFR_&_ErbB_Signaling, 973,  7, 17,  345, 1, 3, 940643, 74000.52, 0, 0.00, 1: 117; 2: 102; 3: 8; 
EGFR_&_ErbB_Signaling, 119,  7, 16,  345, 1, 3, 891265, 74000.52, 0, 0.00, 1: 120; 2: 96; 3: 11; 
EGFR_&_ErbB_Signaling, 118,  7, 17,  345, 1, 3, 940565, 74000.52, 0, 0.00, 1: 115; 2: 106; 3: 6; 
EGFR_&_ErbB_Signaling, 117, 12,  9,  345, 1, 3, 865864, 74000.52, 0, 0.00, 1: 121; 2: 94; 3: 12; 
EGFR_&_ErbB_Signaling, 344,  8, 14,  345, 1, 3, 891009, 74000.52, 20, 0.00, 1: 117; 2: 102; 3: 8; 
EGFR_&_ErbB_Signaling, 832,  8, 14,  345, 1, 3, 891160, 74000.52, 37, 0.00, 1: 117; 2: 102; 3: 8; 
EGFR_&_ErbB_Signaling, 842,  7, 17,  345, 1, 3, 940961, 74000.52, 0, 0.00, 1: 120; 2: 96; 3: 11; 
EGFR_&_ErbB_Signaling, 348,  7, 17,  345, 1, 3, 940578, 74000.52, 22, 0.00, 1: 121; 2: 94; 3: 12; 
EGFR_&_ErbB_Signaling,  83, 12,  9,  345, 1, 3, 865821, 74000.52, 0, 0.00, 1: 115; 2: 106; 3: 6; 
EGFR_&_ErbB_Signaling, 523,  6, 19,  345, 1, 3, 908205, 74000.52, 0, 0.00, 1: 122; 2: 92; 3: 13; 
EGFR_&_ErbB_Signaling, 691,  9, 12,  345, 1, 3, 865675, 74000.52, 0, 0.00, 1: 115; 2: 106; 3: 6; 
EGFR_&_ErbB_Signaling, 216,  8, 13,  345, 1, 3, 830180, 74000.52, 15, 0.00, 1: 121; 2: 94; 3: 12; 
EGFR_&_ErbB_Signaling, 773,  8, 14,  346, 1, 3, 890961, 74000.52, 0, 0.00, 1: 118; 2: 99; 3: 10; 
EGFR_&_ErbB_Signaling, 303,  8, 14,  346, 1, 3, 891057, 74000.52, 0, 0.00, 1: 115; 2: 105; 3: 7; 
EGFR_&_ErbB_Signaling, 181, 11, 10,  346, 1, 3, 879050, 74000.52, 0, 0.00, 1: 117; 2: 101; 3: 9; 
EGFR_&_ErbB_Signaling, 241,  9, 12,  346, 1, 3, 865828, 74000.52, 0, 0.00, 1: 122; 2: 91; 3: 14; 
EGFR_&_ErbB_Signaling, 448,  8, 13,  346, 1, 3, 830180, 74000.52, 21, 0.00, 1: 118; 2: 99; 3: 10; 
EGFR_&_ErbB_Signaling, 774,  7, 16,  346, 1, 3, 891072, 74000.52, 0, 0.00, 1: 118; 2: 99; 3: 10; 
EGFR_&_ErbB_Signaling, 766,  7, 15,  346, 1, 3, 840840, 74000.52, 0, 0.00, 1: 118; 2: 99; 3: 10; 
EGFR_&_ErbB_Signaling, 952,  7, 16,  346, 1, 3, 891132, 74000.52, 46, 0.00, 1: 121; 2: 93; 3: 13; 
EGFR_&_ErbB_Signaling, 705,  7, 16,  346, 1, 3, 891158, 74000.52, 0, 0.00, 1: 119; 2: 97; 3: 11; 
EGFR_&_ErbB_Signaling, 656,  6, 20,  346, 1, 3, 947476, 74000.52, 29, 0.00, 1: 121; 2: 93; 3: 13; 
EGFR_&_ErbB_Signaling, 989,  7, 16,  346, 1, 3, 891177, 74000.52, 0, 0.00, 1: 120; 2: 95; 3: 12; 
EGFR_&_ErbB_Signaling, 707, 12,  9,  346, 1, 3, 865854, 74000.52, 0, 0.00, 1: 117; 2: 101; 3: 9; 
EGFR_&_ErbB_Signaling, 442,  7, 16,  346, 1, 3, 891061, 74000.52, 0, 0.00, 1: 114; 2: 107; 3: 6; 
EGFR_&_ErbB_Signaling, 283, 12,  9,  346, 1, 3, 865880, 74000.52, 0, 0.00, 1: 115; 2: 105; 3: 7; 
EGFR_&_ErbB_Signaling, 710,  6, 19,  346, 1, 3, 908281, 74000.52, 0, 0.00, 1: 125; 2: 85; 3: 17; 
EGFR_&_ErbB_Signaling, 273,  7, 16,  346, 1, 3, 890856, 74000.52, 0, 0.00, 1: 116; 2: 103; 3: 8; 
EGFR_&_ErbB_Signaling, 222,  8, 14,  346, 1, 3, 890954, 74000.52, 0, 0.00, 1: 116; 2: 103; 3: 8; 
EGFR_&_ErbB_Signaling, 751,  7, 16,  346, 1, 3, 891073, 74000.52, 0, 0.00, 1: 118; 2: 99; 3: 10; 
EGFR_&_ErbB_Signaling, 748, 10, 11,  346, 1, 3, 879051, 74000.52, 66, 0.00, 1: 115; 2: 105; 3: 7; 
EGFR_&_ErbB_Signaling, 194,  6, 18,  346, 1, 3, 865874, 74000.52, 0, 0.00, 1: 124; 2: 87; 3: 16; 
EGFR_&_ErbB_Signaling, 255, 11, 10,  346, 1, 3, 878899, 74000.52, 0, 0.00, 1: 120; 2: 95; 3: 12; 
EGFR_&_ErbB_Signaling, 723, 12,  9,  346, 1, 3, 865698, 74000.52, 0, 0.00, 1: 117; 2: 101; 3: 9; 
EGFR_&_ErbB_Signaling, 743,  6, 18,  346, 1, 3, 865719, 74000.52, 0, 0.00, 1: 122; 2: 91; 3: 14; 
EGFR_&_ErbB_Signaling, 434,  7, 16,  346, 1, 3, 891173, 74000.52, 0, 0.00, 1: 120; 2: 95; 3: 12; 
EGFR_&_ErbB_Signaling, 818, 12,  9,  346, 1, 3, 865773, 74000.52, 0, 0.00, 1: 122; 2: 91; 3: 14; 
EGFR_&_ErbB_Signaling, 143,  7, 16,  346, 1, 3, 891196, 74000.52, 0, 0.00, 1: 117; 2: 101; 3: 9; 
EGFR_&_ErbB_Signaling, 622, 11, 10,  346, 1, 3, 878913, 74000.52, 0, 0.00, 1: 118; 2: 99; 3: 10; 
EGFR_&_ErbB_Signaling,  97,  7, 16,  346, 1, 3, 891007, 74000.52, 0, 0.00, 1: 119; 2: 97; 3: 11; 
EGFR_&_ErbB_Signaling, 138,  7, 17,  346, 1, 3, 940924, 74000.52, 0, 0.00, 1: 116; 2: 103; 3: 8; 
EGFR_&_ErbB_Signaling, 807, 12,  9,  346, 1, 3, 865784, 74000.52, 0, 0.00, 1: 120; 2: 95; 3: 12; 
EGFR_&_ErbB_Signaling, 614,  7, 17,  346, 1, 3, 940289, 74000.52, 0, 0.00, 1: 117; 2: 101; 3: 9; 
EGFR_&_ErbB_Signaling,  54,  9, 12,  346, 1, 3, 865713, 74000.52, 0, 0.00, 1: 118; 2: 99; 3: 10; 
EGFR_&_ErbB_Signaling, 330, 12,  9,  346, 1, 3, 865811, 74000.52, 0, 0.00, 1: 120; 2: 95; 3: 12; 
EGFR_&_ErbB_Signaling, 647,  8, 13,  346, 1, 3, 830180, 74000.52, 0, 0.00, 1: 118; 2: 99; 3: 10; 
EGFR_&_ErbB_Signaling, 908, 10, 11,  346, 1, 3, 879007, 74000.52, 49, 0.00, 1: 114; 2: 107; 3: 6; 
EGFR_&_ErbB_Signaling, 820, 10, 11,  346, 1, 3, 879021, 74000.52, 95, 0.00, 1: 120; 2: 95; 3: 12; 
EGFR_&_ErbB_Signaling, 565,  7, 17,  346, 1, 3, 940816, 74000.52, 0, 0.00, 1: 116; 2: 103; 3: 8; 
EGFR_&_ErbB_Signaling, 582,  8, 13,  346, 1, 3, 830180, 74000.52, 0, 0.00, 1: 121; 2: 93; 3: 13; 
EGFR_&_ErbB_Signaling, 825,  8, 14,  346, 1, 3, 891018, 74000.52, 0, 0.00, 1: 118; 2: 99; 3: 10; 
