Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
3(418)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network,  88,  8,  7,  137, 1, 3, 443520, 17788.86, 40, 0.00, 1: 72; 2: 28; 3: 3; 
MAPK_Cancer_Cell_Fate_Network,  15, 10,  6,  140, 1, 3, 473478, 17788.86, 0, 0.00, 1: 71; 2: 27; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 555,  7,  9,  140, 1, 3, 492665, 17788.86, 83, 0.00, 1: 71; 2: 27; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 776,  7,  9,  140, 1, 3, 492741, 17788.86, 32, 0.00, 1: 70; 2: 29; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 686,  7,  9,  140, 1, 3, 492490, 17788.86, 115, 0.00, 1: 72; 2: 25; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 342, 10,  6,  140, 1, 3, 473206, 17788.86, 0, 0.00, 1: 68; 2: 33; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 719,  7,  9,  140, 1, 3, 492980, 17788.86, 0, 0.00, 1: 73; 2: 23; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 737,  7,  9,  140, 1, 3, 492719, 17788.86, 0, 0.00, 1: 71; 2: 27; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 569,  7,  8,  140, 1, 3, 443520, 17788.86, 0, 0.00, 1: 72; 2: 25; 3: 6; 
MAPK_Cancer_Cell_Fate_Network,  72,  7,  9,  140, 1, 3, 492990, 17788.86, 16, 0.00, 1: 70; 2: 29; 3: 4; 
MAPK_Cancer_Cell_Fate_Network,  94,  8,  7,  141, 1, 3, 443520, 17788.86, 0, 0.00, 1: 69; 2: 30; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 534,  7,  9,  141, 1, 3, 492610, 17788.86, 0, 0.00, 1: 68; 2: 32; 3: 3; 
MAPK_Cancer_Cell_Fate_Network,  87,  7,  9,  141, 1, 3, 492725, 17788.86, 0, 0.00, 1: 70; 2: 28; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 518, 10,  6,  141, 1, 3, 473460, 17788.86, 0, 0.00, 1: 69; 2: 30; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 309,  6, 10,  141, 1, 3, 473598, 17788.86, 0, 0.00, 1: 69; 2: 30; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 898,  7,  9,  141, 1, 3, 492844, 17788.86, 60, 0.00, 1: 71; 2: 26; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 450,  7,  8,  141, 1, 3, 443520, 17788.86, 59, 0.00, 1: 66; 2: 36; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 694,  7,  8,  141, 1, 3, 443520, 17788.86, 32, 0.00, 1: 69; 2: 30; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 457,  6, 10,  141, 1, 3, 473447, 17788.86, 242, 0.00, 1: 66; 2: 36; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 230,  7,  9,  141, 1, 3, 492761, 17788.86, 0, 0.00, 1: 70; 2: 28; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 589,  7,  8,  141, 1, 3, 443520, 17788.86, 85, 0.00, 1: 70; 2: 28; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 814,  6, 10,  141, 1, 3, 473479, 17788.86, 0, 0.00, 1: 70; 2: 28; 3: 5; 
MAPK_Cancer_Cell_Fate_Network,   7,  7,  8,  141, 1, 3, 443520, 17788.86, 0, 0.00, 1: 71; 2: 26; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 287,  7,  8,  141, 1, 3, 443520, 17788.86, 0, 0.00, 1: 68; 2: 32; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 423,  6, 10,  141, 1, 3, 473340, 17788.86, 0, 0.00, 1: 72; 2: 24; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 352,  7,  8,  141, 1, 3, 443520, 17788.86, 6, 0.00, 1: 69; 2: 30; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 243,  7,  8,  141, 1, 3, 443520, 17788.86, 0, 0.00, 1: 68; 2: 32; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 632,  7,  8,  141, 1, 3, 443520, 17788.86, 0, 0.00, 1: 72; 2: 24; 3: 7; 
MAPK_Cancer_Cell_Fate_Network,  31,  7,  9,  141, 1, 3, 492650, 17788.86, 0, 0.00, 1: 69; 2: 30; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 760,  7,  8,  141, 1, 3, 443520, 17788.86, 0, 0.00, 1: 71; 2: 26; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 806,  7,  9,  141, 1, 3, 492659, 17788.86, 0, 0.00, 1: 67; 2: 34; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 932, 10,  6,  141, 1, 3, 473430, 17788.86, 0, 0.00, 1: 69; 2: 30; 3: 4; 
MAPK_Cancer_Cell_Fate_Network,   0,  6, 10,  142, 1, 3, 473579, 17788.86, 0, 0.00, 1: 67; 2: 33; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 800,  7,  9,  142, 1, 3, 492801, 17788.86, 5, 0.00, 1: 70; 2: 27; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 793,  7,  8,  142, 1, 3, 443520, 17788.86, 158, 0.00, 1: 68; 2: 31; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 119,  6, 10,  142, 1, 3, 473544, 17788.86, 0, 0.00, 1: 68; 2: 31; 3: 4; 
MAPK_Cancer_Cell_Fate_Network,  73,  7,  9,  142, 1, 3, 492751, 17788.86, 82, 0.00, 1: 68; 2: 31; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 182,  6, 10,  142, 1, 3, 473486, 17788.86, 255, 0.00, 1: 67; 2: 33; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 126,  8,  7,  142, 1, 3, 443520, 17788.86, 0, 0.00, 1: 70; 2: 27; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 135,  7,  9,  142, 1, 3, 492457, 17788.86, 0, 0.00, 1: 66; 2: 35; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 725,  6, 10,  142, 1, 3, 473535, 17788.86, 85, 0.00, 1: 70; 2: 27; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 876,  7,  8,  142, 1, 3, 443520, 17788.86, 82, 0.00, 1: 69; 2: 29; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 116,  7,  8,  142, 1, 3, 443520, 17788.86, 29, 0.00, 1: 66; 2: 35; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 872,  7,  9,  142, 1, 3, 492798, 17788.86, 32, 0.00, 1: 69; 2: 29; 3: 5; 
MAPK_Cancer_Cell_Fate_Network,  84,  6, 10,  142, 1, 3, 473607, 17788.86, 198, 0.00, 1: 68; 2: 31; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 772,  7,  8,  142, 1, 3, 443520, 17788.86, 198, 0.00, 1: 67; 2: 33; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 324,  8,  7,  142, 1, 3, 443520, 17788.86, 198, 0.00, 1: 67; 2: 33; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 837,  6, 10,  142, 1, 3, 473253, 17788.86, 85, 0.00, 1: 70; 2: 27; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 325,  7,  9,  142, 1, 3, 492815, 17788.86, 85, 0.00, 1: 67; 2: 33; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 337, 10,  6,  142, 1, 3, 473511, 17788.86, 229, 0.00, 1: 68; 2: 31; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 691, 10,  6,  142, 1, 3, 473450, 17788.86, 108, 0.00, 1: 70; 2: 27; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 533,  6, 10,  142, 1, 3, 473563, 17788.86, 0, 0.00, 1: 70; 2: 27; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 403,  8,  7,  142, 1, 3, 443520, 17788.86, 88, 0.00, 1: 70; 2: 27; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 587,  7,  8,  142, 1, 3, 443520, 17788.86, 88, 0.00, 1: 70; 2: 27; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 411,  7,  9,  142, 1, 3, 492953, 17788.86, 89, 0.00, 1: 70; 2: 27; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 563,  7,  8,  142, 1, 3, 443520, 17788.86, 0, 0.00, 1: 67; 2: 33; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 558,  8,  7,  142, 1, 3, 443520, 17788.86, 32, 0.00, 1: 67; 2: 33; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 556,  7,  8,  142, 1, 3, 443520, 17788.86, 80, 0.00, 1: 69; 2: 29; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 973,  7,  8,  142, 1, 3, 443520, 17788.86, 85, 0.00, 1: 71; 2: 25; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 622,  8,  7,  142, 1, 3, 443520, 17788.86, 0, 0.00, 1: 66; 2: 35; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 952,  6, 10,  142, 1, 3, 473608, 17788.86, 0, 0.00, 1: 70; 2: 27; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 231,  8,  7,  142, 1, 3, 443520, 17788.86, 0, 0.00, 1: 69; 2: 29; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 645,  7,  9,  142, 1, 3, 492957, 17788.86, 85, 0.00, 1: 68; 2: 31; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 521,  8,  7,  142, 1, 3, 443520, 17788.86, 0, 0.00, 1: 67; 2: 33; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 221,  6, 10,  142, 1, 3, 473434, 17788.86, 85, 0.00, 1: 67; 2: 33; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 378,  7,  9,  142, 1, 3, 492918, 17788.86, 0, 0.00, 1: 69; 2: 29; 3: 5; 
MAPK_Cancer_Cell_Fate_Network,  54,  7,  9,  142, 1, 3, 492843, 17788.86, 0, 0.00, 1: 69; 2: 29; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 701, 10,  6,  142, 1, 3, 473491, 17788.86, 0, 0.00, 1: 69; 2: 29; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 675,  7,  9,  142, 1, 3, 492849, 17788.86, 0, 0.00, 1: 67; 2: 33; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 693,  6, 10,  142, 1, 3, 473310, 17788.86, 115, 0.00, 1: 68; 2: 31; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 514,  7,  8,  142, 1, 3, 443520, 17788.86, 0, 0.00, 1: 69; 2: 29; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 619,  7,  9,  143, 1, 3, 492630, 17788.86, 70, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 295,  6, 10,  143, 1, 3, 473508, 17788.86, 0, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 546,  6, 10,  143, 1, 3, 473434, 17788.86, 0, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 549,  7,  8,  143, 1, 3, 443520, 17788.86, 0, 0.00, 1: 69; 2: 28; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 264, 10,  6,  143, 1, 3, 473402, 17788.86, 0, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 777,  7,  8,  143, 1, 3, 443520, 17788.86, 77, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 138,  7,  8,  143, 1, 3, 443520, 17788.86, 105, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 281,  7,  9,  143, 1, 3, 492635, 17788.86, 156, 0.00, 1: 69; 2: 28; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 345,  6, 10,  143, 1, 3, 473398, 17788.86, 157, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 792,  7,  8,  143, 1, 3, 443520, 17788.86, 232, 0.00, 1: 70; 2: 26; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 708,  6, 10,  143, 1, 3, 473521, 17788.86, 198, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 271,  7,  8,  143, 1, 3, 443520, 17788.86, 0, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 276,  6, 10,  143, 1, 3, 473310, 17788.86, 0, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 802,  8,  7,  143, 1, 3, 443520, 17788.86, 0, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 707, 10,  6,  143, 1, 3, 473426, 17788.86, 89, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 738,  7,  9,  143, 1, 3, 492877, 17788.86, 0, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 663,  7,  8,  143, 1, 3, 443520, 17788.86, 0, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 173,  8,  7,  143, 1, 3, 443520, 17788.86, 32, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 648,  7,  8,  143, 1, 3, 443520, 17788.86, 192, 0.00, 1: 70; 2: 26; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 490,  7,  8,  143, 1, 3, 443520, 17788.86, 78, 0.00, 1: 69; 2: 28; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 643,  6, 10,  143, 1, 3, 473347, 17788.86, 89, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 229,  7,  8,  143, 1, 3, 443520, 17788.86, 0, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 166, 10,  6,  143, 1, 3, 473286, 17788.86, 0, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 727, 10,  6,  143, 1, 3, 473409, 17788.86, 0, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 205,  8,  7,  143, 1, 3, 443520, 17788.86, 85, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 739, 10,  6,  143, 1, 3, 473459, 17788.86, 0, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 705,  8,  7,  143, 1, 3, 443520, 17788.86, 147, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 747,  7,  9,  143, 1, 3, 492727, 17788.86, 75, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 637,  7,  8,  143, 1, 3, 443520, 17788.86, 0, 0.00, 1: 70; 2: 26; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 634,  7,  8,  143, 1, 3, 443520, 17788.86, 0, 0.00, 1: 70; 2: 26; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 244,  7,  8,  143, 1, 3, 443520, 17788.86, 13, 0.00, 1: 69; 2: 28; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 626,  7,  9,  143, 1, 3, 492723, 17788.86, 255, 0.00, 1: 69; 2: 28; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 676, 10,  6,  143, 1, 3, 473367, 17788.86, 0, 0.00, 1: 69; 2: 28; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 404,  5, 13,  143, 1, 3, 504659, 17788.86, 198, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 854,  8,  7,  143, 1, 3, 443520, 17788.86, 0, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network,  37,  8,  7,  143, 1, 3, 443520, 17788.86, 0, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 909,  7,  8,  143, 1, 3, 443520, 17788.86, 85, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network,  33,  5, 13,  143, 1, 3, 504512, 17788.86, 0, 0.00, 1: 69; 2: 28; 3: 6; 
MAPK_Cancer_Cell_Fate_Network,  30,  7,  8,  143, 1, 3, 443520, 17788.86, 0, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 839,  6, 10,  143, 1, 3, 473402, 17788.86, 0, 0.00, 1: 70; 2: 26; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 353, 10,  6,  143, 1, 3, 473453, 17788.86, 0, 0.00, 1: 71; 2: 24; 3: 8; 
MAPK_Cancer_Cell_Fate_Network, 962,  7,  9,  143, 1, 3, 493048, 17788.86, 60, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network,  60,  7,  9,  143, 1, 3, 492321, 17788.86, 198, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network,  24, 10,  6,  143, 1, 3, 473308, 17788.86, 176, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 428,  6, 10,  143, 1, 3, 473546, 17788.86, 66, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 350,  7,  9,  143, 1, 3, 492587, 17788.86, 0, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 866,  8,  7,  143, 1, 3, 443520, 17788.86, 0, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 813,  7,  8,  143, 1, 3, 443520, 17788.86, 0, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 897,  6, 10,  143, 1, 3, 473306, 17788.86, 149, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 124,  7,  9,  143, 1, 3, 492685, 17788.86, 32, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 988,  7,  8,  143, 1, 3, 443520, 17788.86, 198, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network,  76,  7,  8,  143, 1, 3, 443520, 17788.86, 198, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 891, 10,  6,  143, 1, 3, 473508, 17788.86, 0, 0.00, 1: 66; 2: 34; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 413,  6, 10,  143, 1, 3, 473621, 17788.86, 85, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 442,  8,  7,  143, 1, 3, 443520, 17788.86, 0, 0.00, 1: 68; 2: 30; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 447,  6, 10,  143, 1, 3, 473463, 17788.86, 0, 0.00, 1: 67; 2: 32; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 195,  7,  8,  144, 1, 3, 443520, 17788.86, 88, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network,  45,  8,  7,  144, 1, 3, 443520, 17788.86, 0, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 222,  7,  8,  144, 1, 3, 443520, 17788.86, 0, 0.00, 1: 65; 2: 35; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 699,  6, 10,  144, 1, 3, 473457, 17788.86, 0, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 929,  6, 10,  144, 1, 3, 473428, 17788.86, 0, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 924,  5, 12,  144, 1, 3, 473472, 17788.86, 198, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 203,  8,  7,  144, 1, 3, 443520, 17788.86, 88, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 916,  8,  7,  144, 1, 3, 443520, 17788.86, 198, 0.00, 1: 65; 2: 35; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 578,  6, 10,  144, 1, 3, 473542, 17788.86, 104, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 900,  7,  8,  144, 1, 3, 443520, 17788.86, 198, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 687,  6, 10,  144, 1, 3, 473600, 17788.86, 116, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 677,  5, 11,  144, 1, 3, 435105, 17788.86, 0, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 208,  7,  8,  144, 1, 3, 443520, 17788.86, 144, 0.00, 1: 66; 2: 33; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 692, 10,  6,  144, 1, 3, 473352, 17788.86, 117, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 199,  6, 10,  144, 1, 3, 473285, 17788.86, 0, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network,  21,  6, 10,  144, 1, 3, 473402, 17788.86, 85, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 992,  5, 12,  144, 1, 3, 473569, 17788.86, 5, 0.00, 1: 70; 2: 25; 3: 8; 
MAPK_Cancer_Cell_Fate_Network, 989,  6, 10,  144, 1, 3, 473311, 17788.86, 85, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 987, 10,  6,  144, 1, 3, 473455, 17788.86, 89, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 986, 10,  6,  144, 1, 3, 473369, 17788.86, 60, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 552,  8,  7,  144, 1, 3, 443520, 17788.86, 32, 0.00, 1: 66; 2: 33; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 551,  7,  8,  144, 1, 3, 443520, 17788.86, 0, 0.00, 1: 65; 2: 35; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 613,  6, 10,  144, 1, 3, 473373, 17788.86, 0, 0.00, 1: 64; 2: 37; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 289,  5, 13,  144, 1, 3, 504579, 17788.86, 0, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 616,  5, 12,  144, 1, 3, 473622, 17788.86, 32, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 547,  7,  9,  144, 1, 3, 492614, 17788.86, 0, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 974, 10,  6,  144, 1, 3, 473404, 17788.86, 0, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 930, 10,  6,  144, 1, 3, 473507, 17788.86, 0, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 429,  5, 12,  144, 1, 3, 473452, 17788.86, 32, 0.00, 1: 65; 2: 35; 3: 3; 
