Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
4(987)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network,  73,  7,  9,  178, 1, 4, 492805, 18288.16, 162, 0.00, 1: 54; 2: 28; 3: 16; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 475,  6, 10,  183, 1, 4, 473472, 18288.16, 86, 0.00, 1: 49; 2: 34; 3: 14; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 581,  6, 10,  183, 1, 4, 473454, 18288.16, 85, 0.00, 1: 52; 2: 29; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 534,  7,  9,  183, 1, 4, 492834, 18288.16, 0, 0.00, 1: 51; 2: 30; 3: 16; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 962,  7,  9,  183, 1, 4, 492841, 18288.16, 75, 0.00, 1: 49; 2: 34; 3: 14; 4: 6; 
MAPK_Cancer_Cell_Fate_Network,  35,  8,  7,  183, 1, 4, 443520, 18288.16, 0, 0.00, 1: 52; 2: 30; 3: 13; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 645,  7,  9,  183, 1, 4, 492676, 18288.16, 85, 0.00, 1: 49; 2: 33; 3: 16; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 325,  7,  9,  183, 1, 4, 492784, 18288.16, 85, 0.00, 1: 51; 2: 31; 3: 14; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 719,  7,  9,  183, 1, 4, 492850, 18288.16, 0, 0.00, 1: 48; 2: 37; 3: 11; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 516,  8,  7,  183, 1, 4, 443520, 18288.16, 0, 0.00, 1: 51; 2: 31; 3: 14; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 263, 10,  6,  184, 1, 4, 473395, 18288.16, 0, 0.00, 1: 53; 2: 27; 3: 15; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 464,  7,  9,  184, 1, 4, 492808, 18288.16, 176, 0.00, 1: 51; 2: 31; 3: 13; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 776,  7,  9,  184, 1, 4, 492789, 18288.16, 32, 0.00, 1: 48; 2: 37; 3: 10; 4: 8; 
MAPK_Cancer_Cell_Fate_Network,  71,  7,  9,  184, 1, 4, 492859, 18288.16, 0, 0.00, 1: 50; 2: 31; 3: 16; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 917,  6, 10,  184, 1, 4, 473383, 18288.16, 85, 0.00, 1: 52; 2: 28; 3: 16; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 579,  6, 10,  184, 1, 4, 473416, 18288.16, 85, 0.00, 1: 52; 2: 29; 3: 14; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 482,  7,  9,  184, 1, 4, 492784, 18288.16, 0, 0.00, 1: 47; 2: 36; 3: 15; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 745,  6, 10,  184, 1, 4, 473381, 18288.16, 69, 0.00, 1: 51; 2: 33; 3: 9; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 243,  7,  8,  184, 1, 4, 443520, 18288.16, 0, 0.00, 1: 50; 2: 29; 3: 20; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 547,  7,  9,  184, 1, 4, 492800, 18288.16, 0, 0.00, 1: 51; 2: 31; 3: 13; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 457,  6, 10,  184, 1, 4, 473453, 18288.16, 66, 0.00, 1: 52; 2: 30; 3: 12; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 367,  6, 10,  184, 1, 4, 473464, 18288.16, 0, 0.00, 1: 49; 2: 34; 3: 13; 4: 7; 
MAPK_Cancer_Cell_Fate_Network,  54,  7,  9,  184, 1, 4, 492717, 18288.16, 0, 0.00, 1: 52; 2: 29; 3: 14; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 740,  7,  9,  184, 1, 4, 492762, 18288.16, 0, 0.00, 1: 52; 2: 29; 3: 14; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 166, 10,  6,  184, 1, 4, 473428, 18288.16, 0, 0.00, 1: 51; 2: 32; 3: 11; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 614,  7,  8,  184, 1, 4, 443520, 18288.16, 0, 0.00, 1: 57; 2: 21; 3: 15; 4: 10; 
MAPK_Cancer_Cell_Fate_Network,   5,  7,  9,  184, 1, 4, 492811, 18288.16, 127, 0.00, 1: 49; 2: 34; 3: 13; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 607,  7,  9,  184, 1, 4, 492675, 18288.16, 0, 0.00, 1: 51; 2: 31; 3: 13; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 722,  6, 10,  184, 1, 4, 473417, 18288.16, 75, 0.00, 1: 55; 2: 22; 3: 19; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 699,  6, 10,  184, 1, 4, 473402, 18288.16, 0, 0.00, 1: 49; 2: 33; 3: 15; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 286,  7,  9,  184, 1, 4, 492830, 18288.16, 0, 0.00, 1: 48; 2: 34; 3: 16; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 129, 10,  6,  185, 1, 4, 473422, 18288.16, 84, 0.00, 1: 50; 2: 30; 3: 17; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 603, 10,  6,  185, 1, 4, 473434, 18288.16, 86, 0.00, 1: 50; 2: 32; 3: 13; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 124,  7,  9,  185, 1, 4, 492709, 18288.16, 32, 0.00, 1: 52; 2: 31; 3: 9; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 137,  7,  8,  185, 1, 4, 443520, 18288.16, 84, 0.00, 1: 52; 2: 30; 3: 11; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 128,  6, 10,  185, 1, 4, 473474, 18288.16, 64, 0.00, 1: 51; 2: 30; 3: 14; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 143,  6, 10,  185, 1, 4, 473464, 18288.16, 0, 0.00, 1: 52; 2: 27; 3: 17; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 918,  7,  9,  185, 1, 4, 492842, 18288.16, 0, 0.00, 1: 45; 2: 39; 3: 14; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 611,  7,  8,  185, 1, 4, 443520, 18288.16, 0, 0.00, 1: 51; 2: 29; 3: 16; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 705,  8,  7,  185, 1, 4, 443520, 18288.16, 227, 0.00, 1: 51; 2: 31; 3: 12; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 206,  7,  8,  185, 1, 4, 443520, 18288.16, 0, 0.00, 1: 50; 2: 31; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 205,  8,  7,  185, 1, 4, 443520, 18288.16, 85, 0.00, 1: 50; 2: 32; 3: 13; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 624, 10,  6,  185, 1, 4, 473385, 18288.16, 255, 0.00, 1: 48; 2: 35; 3: 13; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 449,  7,  9,  185, 1, 4, 492889, 18288.16, 66, 0.00, 1: 50; 2: 30; 3: 17; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 375,  6, 10,  185, 1, 4, 473478, 18288.16, 0, 0.00, 1: 48; 2: 33; 3: 17; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 849,  7,  9,  185, 1, 4, 492774, 18288.16, 88, 0.00, 1: 51; 2: 28; 3: 18; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 150,  7,  9,  185, 1, 4, 492990, 18288.16, 0, 0.00, 1: 50; 2: 31; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 112,  7,  9,  185, 1, 4, 492713, 18288.16, 28, 0.00, 1: 49; 2: 33; 3: 14; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 899,  6, 10,  185, 1, 4, 473451, 18288.16, 86, 0.00, 1: 50; 2: 31; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 872,  7,  9,  185, 1, 4, 492743, 18288.16, 32, 0.00, 1: 48; 2: 35; 3: 13; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 578,  6, 10,  185, 1, 4, 473373, 18288.16, 120, 0.00, 1: 51; 2: 29; 3: 16; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 441,  6, 10,  185, 1, 4, 473453, 18288.16, 0, 0.00, 1: 51; 2: 29; 3: 16; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 398,  7,  9,  185, 1, 4, 492847, 18288.16, 0, 0.00, 1: 53; 2: 26; 3: 16; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 394, 10,  6,  185, 1, 4, 473378, 18288.16, 120, 0.00, 1: 49; 2: 32; 3: 16; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 470,  8,  7,  185, 1, 4, 443520, 18288.16, 0, 0.00, 1: 44; 2: 40; 3: 15; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 287,  7,  8,  185, 1, 4, 443520, 18288.16, 0, 0.00, 1: 51; 2: 30; 3: 14; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 737,  7,  9,  185, 1, 4, 492623, 18288.16, 0, 0.00, 1: 50; 2: 32; 3: 13; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 543,  7,  8,  185, 1, 4, 443520, 18288.16, 0, 0.00, 1: 46; 2: 36; 3: 17; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 302,  7,  9,  185, 1, 4, 492734, 18288.16, 111, 0.00, 1: 51; 2: 31; 3: 12; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 246,  8,  7,  185, 1, 4, 443520, 18288.16, 0, 0.00, 1: 49; 2: 33; 3: 14; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 241,  7,  9,  185, 1, 4, 492787, 18288.16, 0, 0.00, 1: 51; 2: 29; 3: 16; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 747,  7,  9,  185, 1, 4, 492681, 18288.16, 75, 0.00, 1: 50; 2: 32; 3: 13; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 540,  7,  9,  185, 1, 4, 492821, 18288.16, 237, 0.00, 1: 52; 2: 27; 3: 17; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 820,  7,  8,  186, 1, 4, 443520, 18288.16, 0, 0.00, 1: 48; 2: 35; 3: 12; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 433,  7,  9,  186, 1, 4, 492685, 18288.16, 0, 0.00, 1: 49; 2: 32; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 265, 10,  6,  186, 1, 4, 473452, 18288.16, 0, 0.00, 1: 50; 2: 31; 3: 14; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 533,  6, 10,  186, 1, 4, 473240, 18288.16, 0, 0.00, 1: 52; 2: 28; 3: 14; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 886,  6, 10,  186, 1, 4, 473461, 18288.16, 0, 0.00, 1: 49; 2: 33; 3: 13; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 743, 10,  6,  186, 1, 4, 473380, 18288.16, 0, 0.00, 1: 48; 2: 34; 3: 14; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 186,  7,  8,  186, 1, 4, 443520, 18288.16, 0, 0.00, 1: 50; 2: 32; 3: 12; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 744, 10,  6,  186, 1, 4, 473391, 18288.16, 32, 0.00, 1: 52; 2: 27; 3: 16; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 320,  7,  9,  186, 1, 4, 492625, 18288.16, 0, 0.00, 1: 53; 2: 26; 3: 15; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 334,  7,  8,  186, 1, 4, 443520, 18288.16, 0, 0.00, 1: 49; 2: 31; 3: 17; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 631,  6, 10,  186, 1, 4, 473606, 18288.16, 255, 0.00, 1: 50; 2: 29; 3: 18; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 620,  8,  7,  186, 1, 4, 443520, 18288.16, 82, 0.00, 1: 50; 2: 31; 3: 14; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 604,  6, 10,  186, 1, 4, 473430, 18288.16, 237, 0.00, 1: 51; 2: 30; 3: 13; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 527, 10,  6,  186, 1, 4, 473473, 18288.16, 0, 0.00, 1: 57; 2: 19; 3: 17; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 493,  7,  9,  186, 1, 4, 492865, 18288.16, 100, 0.00, 1: 49; 2: 32; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 839,  6, 10,  186, 1, 4, 473365, 18288.16, 0, 0.00, 1: 51; 2: 29; 3: 15; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 840, 10,  6,  186, 1, 4, 473411, 18288.16, 48, 0.00, 1: 48; 2: 34; 3: 14; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 975,  8,  7,  186, 1, 4, 443520, 18288.16, 0, 0.00, 1: 47; 2: 32; 3: 21; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 974, 10,  6,  186, 1, 4, 473419, 18288.16, 0, 0.00, 1: 51; 2: 28; 3: 17; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 298,  7,  9,  186, 1, 4, 492867, 18288.16, 112, 0.00, 1: 44; 2: 37; 3: 20; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 658,  6, 10,  186, 1, 4, 473412, 18288.16, 75, 0.00, 1: 48; 2: 32; 3: 18; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 236,  7,  9,  186, 1, 4, 492755, 18288.16, 32, 0.00, 1: 51; 2: 29; 3: 15; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 857,  8,  7,  186, 1, 4, 443520, 18288.16, 239, 0.00, 1: 47; 2: 32; 3: 21; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 785,  7,  8,  186, 1, 4, 443520, 18288.16, 157, 0.00, 1: 47; 2: 35; 3: 15; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 858,  7,  9,  186, 1, 4, 492681, 18288.16, 75, 0.00, 1: 50; 2: 33; 3: 10; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 358,  6, 10,  186, 1, 4, 473491, 18288.16, 0, 0.00, 1: 47; 2: 35; 3: 15; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 644, 10,  6,  186, 1, 4, 473395, 18288.16, 237, 0.00, 1: 52; 2: 26; 3: 18; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 460,  8,  7,  186, 1, 4, 443520, 18288.16, 237, 0.00, 1: 47; 2: 35; 3: 15; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 928,  7,  8,  186, 1, 4, 443520, 18288.16, 16, 0.00, 1: 51; 2: 30; 3: 13; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 751,  8,  7,  186, 1, 4, 443520, 18288.16, 0, 0.00, 1: 51; 2: 28; 3: 17; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 256,  6, 10,  186, 1, 4, 473434, 18288.16, 0, 0.00, 1: 50; 2: 27; 3: 22; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 903,  7,  9,  186, 1, 4, 492589, 18288.16, 0, 0.00, 1: 47; 2: 35; 3: 15; 4: 6; 
MAPK_Cancer_Cell_Fate_Network,  45,  8,  7,  186, 1, 4, 443520, 18288.16, 0, 0.00, 1: 48; 2: 31; 3: 20; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 746, 10,  6,  186, 1, 4, 473393, 18288.16, 76, 0.00, 1: 51; 2: 31; 3: 11; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 479,  7,  9,  186, 1, 4, 492780, 18288.16, 0, 0.00, 1: 47; 2: 35; 3: 15; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 959,  8,  7,  186, 1, 4, 443520, 18288.16, 0, 0.00, 1: 48; 2: 33; 3: 16; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 411,  7,  9,  186, 1, 4, 492811, 18288.16, 86, 0.00, 1: 47; 2: 32; 3: 21; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 230,  7,  9,  186, 1, 4, 492761, 18288.16, 0, 0.00, 1: 52; 2: 29; 3: 12; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 317,  6, 10,  187, 1, 4, 473431, 18288.16, 0, 0.00, 1: 51; 2: 28; 3: 16; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 314,  7,  9,  187, 1, 4, 492814, 18288.16, 0, 0.00, 1: 50; 2: 30; 3: 15; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 329,  7,  9,  187, 1, 4, 492755, 18288.16, 53, 0.00, 1: 47; 2: 34; 3: 16; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 724,  8,  7,  187, 1, 4, 443520, 18288.16, 237, 0.00, 1: 48; 2: 33; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 326, 10,  6,  187, 1, 4, 473498, 18288.16, 0, 0.00, 1: 45; 2: 37; 3: 16; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 852,  7,  9,  187, 1, 4, 492683, 18288.16, 237, 0.00, 1: 45; 2: 38; 3: 14; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 504,  7,  8,  187, 1, 4, 443520, 18288.16, 0, 0.00, 1: 51; 2: 28; 3: 16; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 850, 10,  6,  187, 1, 4, 473424, 18288.16, 75, 0.00, 1: 50; 2: 29; 3: 17; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 730,  7,  8,  187, 1, 4, 443520, 18288.16, 75, 0.00, 1: 51; 2: 29; 3: 14; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 617,  8,  7,  187, 1, 4, 443520, 18288.16, 69, 0.00, 1: 48; 2: 33; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 159, 10,  6,  187, 1, 4, 473413, 18288.16, 0, 0.00, 1: 52; 2: 26; 3: 17; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 827, 10,  6,  187, 1, 4, 473398, 18288.16, 0, 0.00, 1: 48; 2: 33; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 339,  7,  9,  187, 1, 4, 492731, 18288.16, 85, 0.00, 1: 48; 2: 34; 3: 13; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 818,  7,  9,  187, 1, 4, 492684, 18288.16, 0, 0.00, 1: 47; 2: 35; 3: 14; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 816,  6, 10,  187, 1, 4, 473444, 18288.16, 0, 0.00, 1: 48; 2: 33; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 806,  7,  9,  187, 1, 4, 492696, 18288.16, 0, 0.00, 1: 50; 2: 29; 3: 17; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 347,  8,  7,  187, 1, 4, 443520, 18288.16, 86, 0.00, 1: 53; 2: 25; 3: 16; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 752,  8,  7,  187, 1, 4, 443520, 18288.16, 0, 0.00, 1: 48; 2: 31; 3: 19; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 351, 10,  6,  187, 1, 4, 473440, 18288.16, 0, 0.00, 1: 46; 2: 36; 3: 15; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 244,  7,  8,  187, 1, 4, 443520, 18288.16, 13, 0.00, 1: 51; 2: 26; 3: 20; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 762,  6, 10,  187, 1, 4, 473472, 18288.16, 0, 0.00, 1: 44; 2: 38; 3: 17; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 648,  7,  8,  187, 1, 4, 443520, 18288.16, 192, 0.00, 1: 47; 2: 34; 3: 16; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 654,  7,  8,  187, 1, 4, 443520, 18288.16, 0, 0.00, 1: 53; 2: 25; 3: 16; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 957,  6, 10,  187, 1, 4, 473486, 18288.16, 0, 0.00, 1: 49; 2: 29; 3: 20; 4: 5; 
MAPK_Cancer_Cell_Fate_Network,  93,  8,  7,  187, 1, 4, 443520, 18288.16, 85, 0.00, 1: 49; 2: 31; 3: 16; 4: 7; 
MAPK_Cancer_Cell_Fate_Network,  92, 10,  6,  187, 1, 4, 473405, 18288.16, 237, 0.00, 1: 48; 2: 32; 3: 17; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 569,  7,  8,  187, 1, 4, 443520, 18288.16, 0, 0.00, 1: 48; 2: 32; 3: 17; 4: 6; 
MAPK_Cancer_Cell_Fate_Network,  50,  8,  7,  187, 1, 4, 443520, 18288.16, 0, 0.00, 1: 49; 2: 32; 3: 14; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 952,  6, 10,  187, 1, 4, 473449, 18288.16, 0, 0.00, 1: 47; 2: 35; 3: 14; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 107,  8,  7,  187, 1, 4, 443520, 18288.16, 49, 0.00, 1: 50; 2: 29; 3: 17; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 549,  7,  8,  187, 1, 4, 443520, 18288.16, 0, 0.00, 1: 47; 2: 35; 3: 14; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 545,  7,  9,  187, 1, 4, 492813, 18288.16, 0, 0.00, 1: 51; 2: 29; 3: 14; 4: 9; 
MAPK_Cancer_Cell_Fate_Network,  36,  7,  8,  187, 1, 4, 443520, 18288.16, 0, 0.00, 1: 49; 2: 33; 3: 12; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 960, 10,  6,  187, 1, 4, 473458, 18288.16, 176, 0.00, 1: 46; 2: 38; 3: 11; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 415,  8,  7,  187, 1, 4, 443520, 18288.16, 0, 0.00, 1: 48; 2: 33; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 496, 10,  6,  187, 1, 4, 473386, 18288.16, 97, 0.00, 1: 47; 2: 34; 3: 16; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 126,  8,  7,  187, 1, 4, 443520, 18288.16, 0, 0.00, 1: 45; 2: 37; 3: 16; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 991, 10,  6,  187, 1, 4, 473416, 18288.16, 0, 0.00, 1: 56; 2: 19; 3: 19; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 860,  6, 10,  187, 1, 4, 473385, 18288.16, 237, 0.00, 1: 49; 2: 31; 3: 16; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 117, 10,  6,  187, 1, 4, 473442, 18288.16, 0, 0.00, 1: 48; 2: 33; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 355,  8,  7,  188, 1, 4, 443520, 18288.16, 0, 0.00, 1: 50; 2: 29; 3: 16; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 997,  7,  9,  188, 1, 4, 492789, 18288.16, 0, 0.00, 1: 50; 2: 31; 3: 12; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 359,  7,  9,  188, 1, 4, 492767, 18288.16, 0, 0.00, 1: 49; 2: 30; 3: 17; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 555,  7,  9,  188, 1, 4, 492740, 18288.16, 83, 0.00, 1: 47; 2: 36; 3: 11; 4: 9; 
MAPK_Cancer_Cell_Fate_Network,  60,  7,  9,  188, 1, 4, 492818, 18288.16, 237, 0.00, 1: 47; 2: 33; 3: 17; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 234,  7,  8,  188, 1, 4, 443520, 18288.16, 84, 0.00, 1: 47; 2: 32; 3: 19; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 363,  7,  9,  188, 1, 4, 492866, 18288.16, 76, 0.00, 1: 49; 2: 29; 3: 19; 4: 6; 
MAPK_Cancer_Cell_Fate_Network,  64,  6, 10,  188, 1, 4, 473561, 18288.16, 0, 0.00, 1: 50; 2: 28; 3: 18; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 777,  7,  8,  188, 1, 4, 443520, 18288.16, 157, 0.00, 1: 53; 2: 26; 3: 13; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 778,  7,  9,  188, 1, 4, 492777, 18288.16, 119, 0.00, 1: 44; 2: 38; 3: 16; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 216,  6, 10,  188, 1, 4, 473460, 18288.16, 168, 0.00, 1: 52; 2: 26; 3: 16; 4: 9; 
MAPK_Cancer_Cell_Fate_Network,  78,  7,  9,  188, 1, 4, 492682, 18288.16, 0, 0.00, 1: 48; 2: 32; 3: 16; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 454,  8,  7,  188, 1, 4, 443520, 18288.16, 0, 0.00, 1: 51; 2: 28; 3: 15; 4: 9; 
