Seed 1656949570
ARCH 0|F_ID 2|LIMIT 3
before: 
03(883)
Melhor resultado nxn: Treatment_of_Castration-Resistant_Prostate_Ca, 503,  7,  7,  101, 1, 3, 381964, 12166.34, 0, 0.00, 1: 37; 2: 20; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 362,  6,  8,  106, 1, 3, 375648, 12166.34, 90, 0.00, 1: 37; 2: 15; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 431,  7,  7,  106, 1, 3, 381943, 12166.34, 101, 0.00, 1: 36; 2: 17; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 398,  7,  7,  106, 1, 3, 381940, 12166.34, 0, 0.00, 1: 33; 2: 23; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 796,  7,  7,  106, 1, 3, 381929, 12166.34, 241, 0.00, 1: 34; 2: 21; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 137,  7,  7,  106, 1, 3, 381865, 12166.34, 100, 0.00, 1: 35; 2: 19; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 564,  6,  8,  106, 1, 3, 375634, 12166.34, 1, 0.00, 1: 33; 2: 23; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 617,  7,  7,  106, 1, 3, 381971, 12166.34, 66, 0.00, 1: 35; 2: 19; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca,  40,  6,  8,  106, 1, 3, 375644, 12166.34, 32, 0.00, 1: 32; 2: 25; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 876,  7,  7,  106, 1, 3, 381936, 12166.34, 32, 0.00, 1: 37; 2: 15; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 592,  6,  8,  106, 1, 3, 375596, 12166.34, 80, 0.00, 1: 32; 2: 25; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 163,  8,  6,  106, 1, 3, 375669, 12166.34, 0, 0.00, 1: 36; 2: 17; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca,   5,  7,  7,  106, 1, 3, 381974, 12166.34, 127, 0.00, 1: 35; 2: 19; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 569,  7,  7,  106, 1, 3, 382012, 12166.34, 0, 0.00, 1: 36; 2: 17; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 181,  8,  6,  106, 1, 3, 375560, 12166.34, 0, 0.00, 1: 35; 2: 19; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 550,  7,  7,  106, 1, 3, 381963, 12166.34, 0, 0.00, 1: 32; 2: 25; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 150,  6,  8,  106, 1, 3, 375645, 12166.34, 0, 0.00, 1: 36; 2: 17; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 186,  7,  7,  107, 1, 3, 381960, 12166.34, 0, 0.00, 1: 34; 2: 20; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 467,  6,  8,  107, 1, 3, 375684, 12166.34, 42, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 853,  6,  8,  107, 1, 3, 375873, 12166.34, 85, 0.00, 1: 32; 2: 24; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 115,  7,  7,  107, 1, 3, 381963, 12166.34, 0, 0.00, 1: 35; 2: 18; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca,  77,  7,  7,  107, 1, 3, 381951, 12166.34, 85, 0.00, 1: 35; 2: 18; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 831,  7,  7,  107, 1, 3, 381971, 12166.34, 0, 0.00, 1: 35; 2: 18; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 254,  7,  7,  107, 1, 3, 381975, 12166.34, 0, 0.00, 1: 33; 2: 22; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 712,  7,  7,  107, 1, 3, 381934, 12166.34, 144, 0.00, 1: 33; 2: 22; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 408,  7,  7,  107, 1, 3, 381916, 12166.34, 120, 0.00, 1: 33; 2: 22; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 104,  7,  7,  107, 1, 3, 381953, 12166.34, 32, 0.00, 1: 33; 2: 22; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 394,  8,  6,  107, 1, 3, 375645, 12166.34, 75, 0.00, 1: 33; 2: 22; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 192,  7,  7,  107, 1, 3, 382025, 12166.34, 0, 0.00, 1: 33; 2: 22; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 375,  7,  7,  107, 1, 3, 381985, 12166.34, 0, 0.00, 1: 34; 2: 20; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 773,  8,  6,  107, 1, 3, 375644, 12166.34, 85, 0.00, 1: 34; 2: 20; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 682,  6,  8,  107, 1, 3, 375672, 12166.34, 68, 0.00, 1: 34; 2: 20; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 737,  8,  6,  107, 1, 3, 375523, 12166.34, 0, 0.00, 1: 32; 2: 24; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 207,  7,  7,  107, 1, 3, 381974, 12166.34, 0, 0.00, 1: 35; 2: 18; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 286,  7,  7,  107, 1, 3, 381998, 12166.34, 0, 0.00, 1: 34; 2: 20; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 937,  8,  6,  107, 1, 3, 375652, 12166.34, 69, 0.00, 1: 36; 2: 16; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 699,  6,  8,  107, 1, 3, 375660, 12166.34, 0, 0.00, 1: 34; 2: 20; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 700,  7,  7,  107, 1, 3, 381983, 12166.34, 1, 0.00, 1: 32; 2: 24; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 489,  8,  6,  107, 1, 3, 375663, 12166.34, 66, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 718,  8,  6,  107, 1, 3, 375660, 12166.34, 0, 0.00, 1: 36; 2: 16; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 524,  8,  6,  107, 1, 3, 375611, 12166.34, 0, 0.00, 1: 33; 2: 22; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 967,  8,  6,  107, 1, 3, 375626, 12166.34, 0, 0.00, 1: 35; 2: 18; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 521,  7,  7,  107, 1, 3, 381964, 12166.34, 0, 0.00, 1: 33; 2: 22; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 304,  8,  6,  107, 1, 3, 375638, 12166.34, 32, 0.00, 1: 34; 2: 20; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca,  65,  7,  7,  107, 1, 3, 381938, 12166.34, 132, 0.00, 1: 33; 2: 22; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca,  32,  6,  8,  107, 1, 3, 375545, 12166.34, 3, 0.00, 1: 34; 2: 20; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 784,  8,  6,  107, 1, 3, 375632, 12166.34, 208, 0.00, 1: 34; 2: 20; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 958,  7,  7,  108, 1, 3, 381972, 12166.34, 0, 0.00, 1: 33; 2: 21; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 669,  5, 10,  108, 1, 3, 388918, 12166.34, 85, 0.00, 1: 34; 2: 19; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 139,  6,  8,  108, 1, 3, 375649, 12166.34, 41, 0.00, 1: 34; 2: 19; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 914,  6,  8,  108, 1, 3, 375648, 12166.34, 75, 0.00, 1: 32; 2: 23; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 775,  9,  5,  108, 1, 3, 355063, 12166.34, 0, 0.00, 1: 32; 2: 23; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 270,  7,  7,  108, 1, 3, 381933, 12166.34, 0, 0.00, 1: 33; 2: 21; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 265,  7,  7,  108, 1, 3, 381916, 12166.34, 10, 0.00, 1: 34; 2: 19; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 108,  7,  7,  108, 1, 3, 381926, 12166.34, 32, 0.00, 1: 36; 2: 15; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 798,  7,  7,  108, 1, 3, 381908, 12166.34, 0, 0.00, 1: 33; 2: 21; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 889,  8,  6,  108, 1, 3, 375604, 12166.34, 0, 0.00, 1: 32; 2: 23; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 339,  6,  8,  108, 1, 3, 375621, 12166.34, 42, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 337,  7,  7,  108, 1, 3, 381999, 12166.34, 10, 0.00, 1: 33; 2: 21; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 336,  7,  7,  108, 1, 3, 381913, 12166.34, 144, 0.00, 1: 35; 2: 17; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 950,  7,  7,  108, 1, 3, 381952, 12166.34, 0, 0.00, 1: 32; 2: 23; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 179,  6,  8,  108, 1, 3, 375653, 12166.34, 0, 0.00, 1: 32; 2: 23; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 190,  8,  6,  108, 1, 3, 375631, 12166.34, 0, 0.00, 1: 34; 2: 19; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 511,  7,  7,  108, 1, 3, 381871, 12166.34, 0, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca,  53,  7,  7,  108, 1, 3, 381915, 12166.34, 85, 0.00, 1: 33; 2: 21; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 221,  8,  6,  108, 1, 3, 375660, 12166.34, 85, 0.00, 1: 35; 2: 17; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 994,  8,  6,  108, 1, 3, 375650, 12166.34, 0, 0.00, 1: 33; 2: 21; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 935,  8,  6,  108, 1, 3, 375649, 12166.34, 0, 0.00, 1: 33; 2: 21; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 555,  8,  6,  108, 1, 3, 375696, 12166.34, 76, 0.00, 1: 36; 2: 15; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 695,  6,  8,  108, 1, 3, 375662, 12166.34, 0, 0.00, 1: 36; 2: 15; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 922,  7,  7,  108, 1, 3, 381959, 12166.34, 75, 0.00, 1: 32; 2: 23; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 242,  8,  6,  108, 1, 3, 375670, 12166.34, 0, 0.00, 1: 32; 2: 23; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca,  69,  6,  8,  108, 1, 3, 375776, 12166.34, 85, 0.00, 1: 33; 2: 21; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca,  71,  9,  5,  108, 1, 3, 355046, 12166.34, 0, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 245,  6,  8,  108, 1, 3, 375715, 12166.34, 0, 0.00, 1: 34; 2: 19; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 568,  6,  8,  108, 1, 3, 375662, 12166.34, 0, 0.00, 1: 33; 2: 21; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 444,  8,  6,  108, 1, 3, 375633, 12166.34, 2, 0.00, 1: 32; 2: 23; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 863,  8,  6,  108, 1, 3, 375622, 12166.34, 0, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 436,  5, 10,  108, 1, 3, 388851, 12166.34, 0, 0.00, 1: 35; 2: 17; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 961,  7,  7,  108, 1, 3, 381985, 12166.34, 100, 0.00, 1: 33; 2: 21; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 571,  6,  8,  108, 1, 3, 375624, 12166.34, 0, 0.00, 1: 34; 2: 19; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 428,  7,  7,  108, 1, 3, 381999, 12166.34, 114, 0.00, 1: 31; 2: 25; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 751,  6,  8,  108, 1, 3, 375656, 12166.34, 109, 0.00, 1: 34; 2: 19; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 758,  7,  7,  108, 1, 3, 381936, 12166.34, 0, 0.00, 1: 32; 2: 23; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 198,  7,  7,  108, 1, 3, 381943, 12166.34, 0, 0.00, 1: 33; 2: 21; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 381,  8,  6,  108, 1, 3, 375790, 12166.34, 0, 0.00, 1: 33; 2: 21; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 609,  7,  7,  108, 1, 3, 381917, 12166.34, 0, 0.00, 1: 32; 2: 23; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 206,  7,  7,  109, 1, 3, 381944, 12166.34, 0, 0.00, 1: 32; 2: 22; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 667,  6,  8,  109, 1, 3, 375635, 12166.34, 42, 0.00, 1: 36; 2: 14; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 177,  8,  6,  109, 1, 3, 375630, 12166.34, 0, 0.00, 1: 34; 2: 18; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 594,  6,  8,  109, 1, 3, 375622, 12166.34, 75, 0.00, 1: 34; 2: 18; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 931,  6,  8,  109, 1, 3, 375614, 12166.34, 0, 0.00, 1: 35; 2: 16; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 519,  6,  8,  109, 1, 3, 375662, 12166.34, 0, 0.00, 1: 31; 2: 24; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 711,  8,  6,  109, 1, 3, 375623, 12166.34, 0, 0.00, 1: 35; 2: 16; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 927,  7,  7,  109, 1, 3, 381930, 12166.34, 0, 0.00, 1: 33; 2: 20; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 538,  8,  6,  109, 1, 3, 375650, 12166.34, 75, 0.00, 1: 33; 2: 20; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 690,  8,  6,  109, 1, 3, 375620, 12166.34, 105, 0.00, 1: 33; 2: 20; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 589,  6,  8,  109, 1, 3, 375658, 12166.34, 85, 0.00, 1: 32; 2: 22; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 685,  8,  6,  109, 1, 3, 375629, 12166.34, 45, 0.00, 1: 30; 2: 26; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 498,  6,  8,  109, 1, 3, 375658, 12166.34, 0, 0.00, 1: 33; 2: 20; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 684,  7,  7,  109, 1, 3, 381960, 12166.34, 50, 0.00, 1: 35; 2: 16; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 607,  6,  8,  109, 1, 3, 375419, 12166.34, 0, 0.00, 1: 33; 2: 20; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 621,  6,  8,  109, 1, 3, 375701, 12166.34, 50, 0.00, 1: 32; 2: 22; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 623,  8,  6,  109, 1, 3, 375598, 12166.34, 32, 0.00, 1: 32; 2: 22; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 628,  8,  6,  109, 1, 3, 375627, 12166.34, 5, 0.00, 1: 31; 2: 24; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 644,  7,  7,  109, 1, 3, 381991, 12166.34, 0, 0.00, 1: 33; 2: 20; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 647,  9,  5,  109, 1, 3, 355028, 12166.34, 0, 0.00, 1: 33; 2: 20; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 659,  5,  9,  109, 1, 3, 355039, 12166.34, 0, 0.00, 1: 32; 2: 22; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 412,  9,  5,  109, 1, 3, 355052, 12166.34, 241, 0.00, 1: 35; 2: 16; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 888,  5,  9,  109, 1, 3, 355065, 12166.34, 0, 0.00, 1: 34; 2: 18; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 297,  6,  8,  109, 1, 3, 375667, 12166.34, 65, 0.00, 1: 33; 2: 20; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 342,  8,  6,  109, 1, 3, 375673, 12166.34, 0, 0.00, 1: 31; 2: 24; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 347,  8,  6,  109, 1, 3, 375622, 12166.34, 42, 0.00, 1: 35; 2: 16; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 358,  7,  7,  109, 1, 3, 381933, 12166.34, 0, 0.00, 1: 32; 2: 22; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 359,  7,  7,  109, 1, 3, 381950, 12166.34, 0, 0.00, 1: 36; 2: 14; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 365,  8,  6,  109, 1, 3, 375600, 12166.34, 50, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 385,  8,  6,  109, 1, 3, 375629, 12166.34, 10, 0.00, 1: 33; 2: 20; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 291,  7,  7,  109, 1, 3, 381908, 12166.34, 0, 0.00, 1: 33; 2: 20; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 417,  5, 10,  109, 1, 3, 388933, 12166.34, 0, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 434,  6,  8,  109, 1, 3, 375629, 12166.34, 32, 0.00, 1: 34; 2: 18; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 452,  5, 10,  109, 1, 3, 388877, 12166.34, 241, 0.00, 1: 32; 2: 22; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 465,  9,  5,  109, 1, 3, 355051, 12166.34, 11, 0.00, 1: 31; 2: 24; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 736,  8,  6,  109, 1, 3, 375652, 12166.34, 13, 0.00, 1: 31; 2: 24; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 473,  7,  7,  109, 1, 3, 381966, 12166.34, 19, 0.00, 1: 31; 2: 24; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 726,  6,  8,  109, 1, 3, 375628, 12166.34, 0, 0.00, 1: 30; 2: 26; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 898,  6,  8,  109, 1, 3, 375700, 12166.34, 75, 0.00, 1: 32; 2: 22; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 851,  6,  8,  109, 1, 3, 375645, 12166.34, 41, 0.00, 1: 33; 2: 20; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca,  37,  6,  8,  109, 1, 3, 375634, 12166.34, 0, 0.00, 1: 31; 2: 24; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca,  85,  7,  7,  109, 1, 3, 381950, 12166.34, 85, 0.00, 1: 34; 2: 18; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 832,  8,  6,  109, 1, 3, 375613, 12166.34, 112, 0.00, 1: 34; 2: 18; 3: 13; 
