Seed 1656949570
ARCH 0|F_ID 3|LIMIT 3
before: 
23(627)
Melhor resultado nxn: Treatment_of_Castration-Resistant_Prostate_Ca, 721,  7,  7,  103, 1, 3, 382033, 26748.27, 235, 0.00, 1: 33; 2: 26; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 988,  8,  6,  106, 1, 3, 375552, 26748.27, 29, 0.00, 1: 28; 2: 33; 3: 4; 
Treatment_of_Castration-Resistant_Prostate_Ca, 516,  7,  7,  106, 1, 3, 381891, 26748.27, 0, 0.00, 1: 29; 2: 31; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca,  87,  7,  7,  106, 1, 3, 381967, 26748.27, 0, 0.00, 1: 28; 2: 33; 3: 4; 
Treatment_of_Castration-Resistant_Prostate_Ca, 618,  7,  7,  106, 1, 3, 382050, 26748.27, 75, 0.00, 1: 30; 2: 29; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 268,  6,  8,  106, 1, 3, 375696, 26748.27, 29, 0.00, 1: 30; 2: 29; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 612,  7,  7,  106, 1, 3, 381928, 26748.27, 0, 0.00, 1: 28; 2: 33; 3: 4; 
Treatment_of_Castration-Resistant_Prostate_Ca, 186,  7,  7,  106, 1, 3, 381867, 26748.27, 0, 0.00, 1: 30; 2: 29; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 297,  6,  8,  106, 1, 3, 375585, 26748.27, 65, 0.00, 1: 32; 2: 25; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 751,  6,  8,  106, 1, 3, 375625, 26748.27, 109, 0.00, 1: 30; 2: 29; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 938,  7,  7,  106, 1, 3, 381937, 26748.27, 71, 0.00, 1: 33; 2: 23; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 736,  8,  6,  106, 1, 3, 375503, 26748.27, 13, 0.00, 1: 31; 2: 27; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 585,  7,  7,  106, 1, 3, 382037, 26748.27, 235, 0.00, 1: 30; 2: 29; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 909,  6,  8,  106, 1, 3, 375692, 26748.27, 86, 0.00, 1: 33; 2: 23; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 579,  6,  8,  106, 1, 3, 375646, 26748.27, 82, 0.00, 1: 29; 2: 31; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca,  32,  6,  8,  106, 1, 3, 375535, 26748.27, 3, 0.00, 1: 30; 2: 29; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 971,  7,  7,  106, 1, 3, 382036, 26748.27, 82, 0.00, 1: 29; 2: 31; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 346,  7,  7,  107, 1, 3, 381891, 26748.27, 208, 0.00, 1: 29; 2: 30; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca,  99,  7,  7,  107, 1, 3, 382007, 26748.27, 0, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 434,  6,  8,  107, 1, 3, 375594, 26748.27, 32, 0.00, 1: 30; 2: 28; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 726,  6,  8,  107, 1, 3, 375698, 26748.27, 0, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 937,  8,  6,  107, 1, 3, 375583, 26748.27, 69, 0.00, 1: 30; 2: 28; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca,  65,  7,  7,  107, 1, 3, 381901, 26748.27, 100, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 385,  8,  6,  107, 1, 3, 375611, 26748.27, 234, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 866,  8,  6,  107, 1, 3, 375696, 26748.27, 0, 0.00, 1: 30; 2: 28; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 108,  7,  7,  107, 1, 3, 381917, 26748.27, 32, 0.00, 1: 28; 2: 32; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 931,  6,  8,  107, 1, 3, 375664, 26748.27, 0, 0.00, 1: 28; 2: 32; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 109,  6,  8,  107, 1, 3, 375565, 26748.27, 0, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 986,  8,  6,  107, 1, 3, 375658, 26748.27, 208, 0.00, 1: 30; 2: 28; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 162,  6,  8,  107, 1, 3, 375569, 26748.27, 0, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 221,  8,  6,  107, 1, 3, 375654, 26748.27, 86, 0.00, 1: 30; 2: 28; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 227,  7,  7,  107, 1, 3, 381964, 26748.27, 0, 0.00, 1: 29; 2: 30; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 230,  8,  6,  107, 1, 3, 375737, 26748.27, 0, 0.00, 1: 29; 2: 30; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 238,  8,  6,  107, 1, 3, 375670, 26748.27, 80, 0.00, 1: 29; 2: 30; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 809,  7,  7,  107, 1, 3, 381996, 26748.27, 69, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca,  17,  7,  7,  107, 1, 3, 382029, 26748.27, 241, 0.00, 1: 30; 2: 28; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 794,  8,  6,  107, 1, 3, 375625, 26748.27, 208, 0.00, 1: 29; 2: 30; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 175,  8,  6,  107, 1, 3, 375569, 26748.27, 0, 0.00, 1: 30; 2: 28; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 574,  7,  7,  107, 1, 3, 381931, 26748.27, 0, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 569,  7,  7,  107, 1, 3, 381965, 26748.27, 0, 0.00, 1: 29; 2: 30; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 710,  7,  7,  107, 1, 3, 381964, 26748.27, 0, 0.00, 1: 32; 2: 24; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 555,  8,  6,  107, 1, 3, 375495, 26748.27, 76, 0.00, 1: 29; 2: 30; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 949,  7,  7,  107, 1, 3, 382008, 26748.27, 0, 0.00, 1: 32; 2: 24; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca,  61,  8,  6,  107, 1, 3, 375604, 26748.27, 86, 0.00, 1: 29; 2: 30; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 364,  8,  6,  107, 1, 3, 375718, 26748.27, 54, 0.00, 1: 31; 2: 26; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 358,  7,  7,  107, 1, 3, 381990, 26748.27, 0, 0.00, 1: 29; 2: 30; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 357,  8,  6,  107, 1, 3, 375564, 26748.27, 0, 0.00, 1: 28; 2: 32; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 916,  7,  7,  107, 1, 3, 381847, 26748.27, 29, 0.00, 1: 29; 2: 30; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 853,  6,  8,  107, 1, 3, 375773, 26748.27, 86, 0.00, 1: 30; 2: 28; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 758,  7,  7,  108, 1, 3, 381990, 26748.27, 0, 0.00, 1: 32; 2: 23; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 365,  8,  6,  108, 1, 3, 375600, 26748.27, 50, 0.00, 1: 31; 2: 25; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 237,  8,  6,  108, 1, 3, 375643, 26748.27, 83, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 982,  7,  7,  108, 1, 3, 382028, 26748.27, 0, 0.00, 1: 29; 2: 29; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 832,  8,  6,  108, 1, 3, 375540, 26748.27, 112, 0.00, 1: 28; 2: 31; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 179,  6,  8,  108, 1, 3, 375731, 26748.27, 0, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 177,  8,  6,  108, 1, 3, 375610, 26748.27, 0, 0.00, 1: 29; 2: 29; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 176,  6,  8,  108, 1, 3, 375613, 26748.27, 10, 0.00, 1: 28; 2: 31; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 349,  7,  7,  108, 1, 3, 382124, 26748.27, 86, 0.00, 1: 28; 2: 31; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 826,  7,  7,  108, 1, 3, 382032, 26748.27, 0, 0.00, 1: 28; 2: 31; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 662,  6,  8,  108, 1, 3, 375718, 26748.27, 0, 0.00, 1: 29; 2: 29; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 314,  7,  7,  108, 1, 3, 381865, 26748.27, 0, 0.00, 1: 28; 2: 31; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 760,  8,  6,  108, 1, 3, 375702, 26748.27, 0, 0.00, 1: 27; 2: 33; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 373,  9,  5,  108, 1, 3, 355035, 26748.27, 0, 0.00, 1: 31; 2: 25; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 344,  8,  6,  108, 1, 3, 375564, 26748.27, 56, 0.00, 1: 31; 2: 25; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 161,  6,  8,  108, 1, 3, 375609, 26748.27, 0, 0.00, 1: 29; 2: 29; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 876,  7,  7,  108, 1, 3, 381966, 26748.27, 32, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 398,  7,  7,  108, 1, 3, 381873, 26748.27, 0, 0.00, 1: 29; 2: 29; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 343,  7,  7,  108, 1, 3, 381978, 26748.27, 0, 0.00, 1: 28; 2: 31; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 613,  6,  8,  108, 1, 3, 375585, 26748.27, 0, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 586,  7,  7,  108, 1, 3, 382114, 26748.27, 208, 0.00, 1: 25; 2: 37; 3: 3; 
Treatment_of_Castration-Resistant_Prostate_Ca, 907,  8,  6,  108, 1, 3, 375649, 26748.27, 82, 0.00, 1: 28; 2: 31; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca,  23,  7,  7,  108, 1, 3, 381899, 26748.27, 0, 0.00, 1: 28; 2: 31; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 602,  6,  8,  108, 1, 3, 375695, 26748.27, 208, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 728,  7,  7,  108, 1, 3, 381920, 26748.27, 184, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca,  80,  7,  7,  108, 1, 3, 381912, 26748.27, 160, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 568,  6,  8,  108, 1, 3, 375588, 26748.27, 0, 0.00, 1: 32; 2: 23; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 491,  6,  8,  108, 1, 3, 375566, 26748.27, 68, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 564,  6,  8,  108, 1, 3, 375542, 26748.27, 1, 0.00, 1: 33; 2: 21; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 445,  6,  8,  108, 1, 3, 375599, 26748.27, 0, 0.00, 1: 28; 2: 31; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 983,  8,  6,  108, 1, 3, 375640, 26748.27, 0, 0.00, 1: 29; 2: 29; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 537,  6,  8,  108, 1, 3, 375675, 26748.27, 243, 0.00, 1: 28; 2: 31; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 747,  7,  7,  108, 1, 3, 381987, 26748.27, 120, 0.00, 1: 31; 2: 25; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 682,  6,  8,  108, 1, 3, 375601, 26748.27, 68, 0.00, 1: 30; 2: 27; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 466,  7,  7,  108, 1, 3, 381938, 26748.27, 208, 0.00, 1: 28; 2: 31; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 623,  8,  6,  108, 1, 3, 375678, 26748.27, 32, 0.00, 1: 29; 2: 29; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 168,  7,  7,  109, 1, 3, 381895, 26748.27, 32, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 553,  8,  6,  109, 1, 3, 375641, 26748.27, 66, 0.00, 1: 30; 2: 26; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 304,  8,  6,  109, 1, 3, 375760, 26748.27, 32, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 171,  9,  5,  109, 1, 3, 355046, 26748.27, 95, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 712,  7,  7,  109, 1, 3, 382025, 26748.27, 144, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 790,  6,  8,  109, 1, 3, 375592, 26748.27, 0, 0.00, 1: 25; 2: 36; 3: 4; 
Treatment_of_Castration-Resistant_Prostate_Ca,  35,  7,  7,  109, 1, 3, 381962, 26748.27, 0, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 155,  8,  6,  109, 1, 3, 375578, 26748.27, 82, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 352,  8,  6,  109, 1, 3, 375670, 26748.27, 9, 0.00, 1: 27; 2: 32; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 912,  8,  6,  109, 1, 3, 375750, 26748.27, 80, 0.00, 1: 26; 2: 34; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 558,  8,  6,  109, 1, 3, 375532, 26748.27, 0, 0.00, 1: 30; 2: 26; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 302,  5, 10,  109, 1, 3, 388863, 26748.27, 54, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 889,  8,  6,  109, 1, 3, 375701, 26748.27, 0, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 607,  6,  8,  109, 1, 3, 375659, 26748.27, 0, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 282,  6,  8,  109, 1, 3, 375649, 26748.27, 208, 0.00, 1: 30; 2: 26; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 797,  6,  8,  109, 1, 3, 375622, 26748.27, 86, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca,  18,  7,  7,  109, 1, 3, 381871, 26748.27, 208, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 187,  6,  8,  109, 1, 3, 375535, 26748.27, 0, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca,  15,  9,  5,  109, 1, 3, 355023, 26748.27, 0, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 622,  8,  6,  109, 1, 3, 375575, 26748.27, 48, 0.00, 1: 27; 2: 32; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 808,  6,  8,  109, 1, 3, 375781, 26748.27, 32, 0.00, 1: 30; 2: 26; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 254,  7,  7,  109, 1, 3, 381934, 26748.27, 0, 0.00, 1: 31; 2: 24; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 812,  5, 10,  109, 1, 3, 389006, 26748.27, 82, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 901,  8,  6,  109, 1, 3, 375711, 26748.27, 86, 0.00, 1: 26; 2: 34; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 644,  7,  7,  109, 1, 3, 381864, 26748.27, 0, 0.00, 1: 27; 2: 32; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 214,  7,  7,  109, 1, 3, 381918, 26748.27, 0, 0.00, 1: 27; 2: 32; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 213,  7,  7,  109, 1, 3, 381955, 26748.27, 86, 0.00, 1: 30; 2: 26; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 112,  8,  6,  109, 1, 3, 375679, 26748.27, 28, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 504,  8,  6,  109, 1, 3, 375631, 26748.27, 0, 0.00, 1: 26; 2: 34; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca,  77,  7,  7,  109, 1, 3, 381919, 26748.27, 86, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 394,  8,  6,  109, 1, 3, 375654, 26748.27, 208, 0.00, 1: 27; 2: 32; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca,  82,  7,  7,  109, 1, 3, 381957, 26748.27, 208, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 490,  7,  7,  109, 1, 3, 381965, 26748.27, 65, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 382,  6,  8,  109, 1, 3, 375726, 26748.27, 0, 0.00, 1: 25; 2: 36; 3: 4; 
Treatment_of_Castration-Resistant_Prostate_Ca, 488,  8,  6,  109, 1, 3, 375637, 26748.27, 32, 0.00, 1: 26; 2: 34; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 375,  7,  7,  109, 1, 3, 381976, 26748.27, 0, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 517,  7,  7,  109, 1, 3, 382019, 26748.27, 0, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 880,  8,  6,  109, 1, 3, 375731, 26748.27, 32, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 457,  6,  8,  109, 1, 3, 375733, 26748.27, 235, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca,  97,  6,  8,  109, 1, 3, 375619, 26748.27, 0, 0.00, 1: 24; 2: 38; 3: 3; 
Treatment_of_Castration-Resistant_Prostate_Ca, 356,  8,  6,  109, 1, 3, 375661, 26748.27, 0, 0.00, 1: 27; 2: 32; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca,  56,  7,  7,  109, 1, 3, 382047, 26748.27, 0, 0.00, 1: 28; 2: 30; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 535,  7,  7,  109, 1, 3, 382089, 26748.27, 0, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 449,  8,  6,  109, 1, 3, 375598, 26748.27, 235, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 720,  8,  6,  109, 1, 3, 375671, 26748.27, 144, 0.00, 1: 29; 2: 28; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 361,  6,  8,  109, 1, 3, 375656, 26748.27, 65, 0.00, 1: 27; 2: 32; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 362,  6,  8,  109, 1, 3, 375608, 26748.27, 90, 0.00, 1: 26; 2: 34; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 685,  8,  6,  110, 1, 3, 375568, 26748.27, 45, 0.00, 1: 30; 2: 25; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 211,  9,  5,  110, 1, 3, 355043, 26748.27, 82, 0.00, 1: 28; 2: 29; 3: 8; 
