Seed 1656949570
ARCH 2|F_ID 3|LIMIT 3
before: 
02(547)
Melhor resultado nxn: Guard_Cell_Abscisic_Acid_Signaling, 927,  7,  7,   98, 1, 2, 383630, 32131.54, 0, 0.00, 1: 58; 2: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 866,  8,  6,  100, 1, 2, 376813, 32131.54, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 550,  7,  7,  100, 1, 2, 383900, 32131.54, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 630,  5, 10,  100, 1, 2, 390753, 32131.54, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 358,  7,  7,  100, 1, 2, 383815, 32131.54, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 567,  7,  7,  100, 1, 2, 383433, 32131.54, 255, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 987,  8,  6,  101, 1, 2, 376994, 32131.54, 241, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 967,  8,  6,  101, 1, 2, 376937, 32131.54, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling,  69,  6,  8,  101, 1, 2, 377225, 32131.54, 86, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 428,  7,  7,  101, 1, 2, 383486, 32131.54, 111, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 444,  8,  6,  101, 1, 2, 377127, 32131.54, 2, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 172,  5,  9,  101, 1, 2, 355410, 32131.54, 49, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 282,  6,  8,  101, 1, 2, 377024, 32131.54, 210, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 763,  7,  7,  101, 1, 2, 383739, 32131.54, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 281,  4, 12,  101, 1, 2, 376973, 32131.54, 223, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 931,  6,  8,  101, 1, 2, 377000, 32131.54, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling,  85,  7,  7,  101, 1, 2, 383837, 32131.54, 86, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 854,  7,  7,  101, 1, 2, 383651, 32131.54, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 875,  6,  8,  101, 1, 2, 376884, 32131.54, 112, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 441,  5, 10,  101, 1, 2, 390969, 32131.54, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 561,  9,  5,  101, 1, 2, 355410, 32131.54, 255, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 459,  7,  7,  101, 1, 2, 383387, 32131.54, 241, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 254,  7,  7,  101, 1, 2, 383491, 32131.54, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 635,  5, 10,  101, 1, 2, 390703, 32131.54, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 725,  5, 10,  101, 1, 2, 390696, 32131.54, 86, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 552,  9,  5,  101, 1, 2, 355410, 32131.54, 32, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 470,  6,  8,  101, 1, 2, 377116, 32131.54, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 245,  6,  8,  101, 1, 2, 377234, 32131.54, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 206,  7,  7,  101, 1, 2, 383780, 32131.54, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 958,  7,  7,  101, 1, 2, 383439, 32131.54, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 682,  6,  8,  101, 1, 2, 376999, 32131.54, 97, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 662,  6,  8,  101, 1, 2, 376854, 32131.54, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 538,  8,  6,  101, 1, 2, 377005, 32131.54, 210, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 832,  8,  6,  101, 1, 2, 376958, 32131.54, 144, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 809,  7,  7,  101, 1, 2, 383675, 32131.54, 67, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 992,  5, 10,  101, 1, 2, 390649, 32131.54, 4, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 816,  5, 10,  101, 1, 2, 390968, 32131.54, 32, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 359,  7,  7,  101, 1, 2, 383343, 32131.54, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 367,  6,  8,  101, 1, 2, 376781, 32131.54, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 800,  7,  7,  101, 1, 2, 383528, 32131.54, 9, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling,   7,  7,  7,  102, 1, 2, 383714, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 711,  8,  6,  102, 1, 2, 377074, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 714,  4, 12,  102, 1, 2, 377067, 32131.54, 210, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 718,  8,  6,  102, 1, 2, 376946, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 830,  9,  5,  102, 1, 2, 355410, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 152,  7,  7,  102, 1, 2, 383613, 32131.54, 88, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 253,  8,  6,  102, 1, 2, 377038, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 735,  9,  5,  102, 1, 2, 355410, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 982,  7,  7,  102, 1, 2, 383748, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 751,  6,  8,  102, 1, 2, 377043, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,   6,  5,  9,  102, 1, 2, 355410, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 265,  7,  7,  102, 1, 2, 383514, 32131.54, 215, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 888,  5,  9,  102, 1, 2, 355410, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 569,  7,  7,  102, 1, 2, 383497, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 617,  7,  7,  102, 1, 2, 383451, 32131.54, 67, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 886,  7,  7,  102, 1, 2, 383641, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 343,  7,  7,  102, 1, 2, 383666, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 128,  4, 12,  102, 1, 2, 377096, 32131.54, 80, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 528,  5,  9,  102, 1, 2, 355410, 32131.54, 224, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 524,  8,  6,  102, 1, 2, 376739, 32131.54, 37, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 521,  7,  7,  102, 1, 2, 383787, 32131.54, 216, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 669,  5, 10,  102, 1, 2, 391093, 32131.54, 86, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 137,  7,  7,  102, 1, 2, 383534, 32131.54, 83, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 511,  7,  7,  102, 1, 2, 383656, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 679,  5, 10,  102, 1, 2, 391051, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 974,  9,  5,  102, 1, 2, 355410, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  17,  7,  7,  102, 1, 2, 383751, 32131.54, 222, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 362,  6,  8,  102, 1, 2, 377006, 32131.54, 99, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 710,  7,  7,  102, 1, 2, 383493, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 501,  4, 12,  102, 1, 2, 377052, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  11,  5, 10,  102, 1, 2, 390906, 32131.54, 36, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 481,  5,  9,  102, 1, 2, 355410, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  19,  7,  7,  102, 1, 2, 383619, 32131.54, 241, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  10,  9,  5,  102, 1, 2, 355410, 32131.54, 121, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 705,  6,  8,  102, 1, 2, 376831, 32131.54, 218, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 978,  5,  9,  102, 1, 2, 355410, 32131.54, 210, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 118,  5,  9,  102, 1, 2, 355410, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 203,  8,  6,  102, 1, 2, 377012, 32131.54, 241, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  42,  8,  6,  102, 1, 2, 376969, 32131.54, 66, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 414,  5,  9,  102, 1, 2, 355410, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 299,  8,  6,  102, 1, 2, 376984, 32131.54, 66, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 286,  7,  7,  102, 1, 2, 383587, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 288,  5,  9,  102, 1, 2, 355410, 32131.54, 6, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  70,  6,  8,  102, 1, 2, 376896, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 799,  8,  6,  102, 1, 2, 377081, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 797,  6,  8,  102, 1, 2, 376992, 32131.54, 86, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 415,  5, 10,  102, 1, 2, 390977, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 579,  6,  8,  102, 1, 2, 377072, 32131.54, 241, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 289,  8,  6,  102, 1, 2, 377050, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 313,  7,  7,  102, 1, 2, 383752, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  62,  6,  8,  102, 1, 2, 376986, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 292,  7,  7,  102, 1, 2, 383764, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 293,  6,  8,  102, 1, 2, 377044, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 876,  7,  7,  102, 1, 2, 383736, 32131.54, 111, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 784,  8,  6,  102, 1, 2, 377151, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 386,  9,  5,  102, 1, 2, 355410, 32131.54, 210, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 405,  9,  5,  102, 1, 2, 355410, 32131.54, 86, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  87,  7,  7,  102, 1, 2, 383584, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 994,  8,  6,  102, 1, 2, 377114, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 808,  6,  8,  102, 1, 2, 376964, 32131.54, 32, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 440,  4, 12,  102, 1, 2, 376786, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 434,  6,  8,  102, 1, 2, 376819, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 277,  5, 10,  102, 1, 2, 391048, 32131.54, 86, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 346,  7,  7,  102, 1, 2, 383659, 32131.54, 210, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 793,  5, 10,  102, 1, 2, 390513, 32131.54, 225, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 972,  4, 12,  102, 1, 2, 377013, 32131.54, 37, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 609,  7,  7,  102, 1, 2, 383384, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  77,  7,  7,  102, 1, 2, 383536, 32131.54, 86, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 355,  6,  8,  102, 1, 2, 376994, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 874,  9,  5,  102, 1, 2, 355410, 32131.54, 101, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  76,  6,  8,  102, 1, 2, 377079, 32131.54, 37, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 383,  5, 10,  102, 1, 2, 390914, 32131.54, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 360,  9,  5,  103, 1, 2, 355410, 32131.54, 32, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 531,  7,  7,  103, 1, 2, 383912, 32131.54, 241, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 174,  9,  5,  103, 1, 2, 355410, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 179,  6,  8,  103, 1, 2, 377025, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 965,  5,  9,  103, 1, 2, 355410, 32131.54, 86, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 940,  5,  9,  103, 1, 2, 355410, 32131.54, 49, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 915,  7,  7,  103, 1, 2, 383684, 32131.54, 241, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 181,  8,  6,  103, 1, 2, 376823, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 183,  8,  6,  103, 1, 2, 377095, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 339,  6,  8,  103, 1, 2, 377120, 32131.54, 241, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 586,  7,  7,  103, 1, 2, 383788, 32131.54, 210, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 555,  8,  6,  103, 1, 2, 377073, 32131.54, 83, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 198,  7,  7,  103, 1, 2, 383555, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 557,  5,  9,  103, 1, 2, 355410, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 356,  8,  6,  103, 1, 2, 376766, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 188,  7,  7,  103, 1, 2, 383752, 32131.54, 37, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 342,  8,  6,  103, 1, 2, 377081, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 945,  8,  6,  103, 1, 2, 377050, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 285,  5, 10,  103, 1, 2, 391000, 32131.54, 86, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 261,  9,  5,  103, 1, 2, 355410, 32131.54, 86, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 453,  6,  8,  103, 1, 2, 376747, 32131.54, 86, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 267,  8,  6,  103, 1, 2, 377090, 32131.54, 241, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 381,  8,  6,  103, 1, 2, 376939, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 271,  5,  9,  103, 1, 2, 355410, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 278,  5,  9,  103, 1, 2, 355410, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 280,  5,  9,  103, 1, 2, 355410, 32131.54, 216, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 382,  6,  8,  103, 1, 2, 377055, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 458,  7,  7,  103, 1, 2, 383646, 32131.54, 210, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 385,  8,  6,  103, 1, 2, 376899, 32131.54, 216, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 290,  4, 12,  103, 1, 2, 377020, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 417,  5, 10,  103, 1, 2, 390834, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 932,  8,  6,  103, 1, 2, 377089, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 304,  8,  6,  103, 1, 2, 376774, 32131.54, 4, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 396,  5, 10,  103, 1, 2, 390848, 32131.54, 37, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 392,  4, 11,  103, 1, 2, 347182, 32131.54, 80, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 918,  6,  8,  103, 1, 2, 376665, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 934,  5, 10,  103, 1, 2, 390766, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 462,  5,  9,  103, 1, 2, 355410, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 368,  5,  9,  103, 1, 2, 355410, 32131.54, 13, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 463,  7,  7,  103, 1, 2, 383515, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 250,  6,  8,  103, 1, 2, 377061, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 926,  5, 10,  103, 1, 2, 390920, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 388,  6,  8,  103, 1, 2, 377095, 32131.54, 37, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 366,  5,  9,  103, 1, 2, 355410, 32131.54, 32, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 244,  8,  6,  103, 1, 2, 377196, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 491,  6,  8,  103, 1, 2, 377049, 32131.54, 114, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 233,  9,  5,  103, 1, 2, 355410, 32131.54, 65, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 502,  5, 10,  103, 1, 2, 390446, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 227,  7,  7,  103, 1, 2, 383607, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 226,  5,  9,  103, 1, 2, 355410, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 509,  5,  9,  103, 1, 2, 355410, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling,  23,  7,  7,  103, 1, 2, 383561, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 668,  5, 10,  103, 1, 2, 390640, 32131.54, 37, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 139,  6,  8,  103, 1, 2, 376937, 32131.54, 241, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 865,  5,  9,  103, 1, 2, 355410, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 845,  6,  8,  103, 1, 2, 377068, 32131.54, 86, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 672,  5, 10,  103, 1, 2, 390920, 32131.54, 7, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 133,  9,  5,  103, 1, 2, 355410, 32131.54, 86, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 685,  8,  6,  103, 1, 2, 377062, 32131.54, 99, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 126,  7,  7,  103, 1, 2, 383545, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling,  13,  8,  6,  103, 1, 2, 377090, 32131.54, 127, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 896,  8,  6,  103, 1, 2, 376941, 32131.54, 80, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 117,  5,  9,  103, 1, 2, 355410, 32131.54, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 868,  5, 10,  103, 1, 2, 390874, 32131.54, 0, 0.00, 1: 53; 2: 25; 
