Seed 1656949570
ARCH 1|F_ID 3|LIMIT 3
before: 
02(715)
Melhor resultado nxn: Guard_Cell_Abscisic_Acid_Signaling, 958,  7,  7,   91, 1, 2, 383712, 29591.63, 0, 0.00, 1: 65; 2: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 524,  8,  6,   97, 1, 2, 377118, 29591.63, 154, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 533,  6,  8,   97, 1, 2, 376876, 29591.63, 85, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 324,  7,  7,   97, 1, 2, 383677, 29591.63, 154, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 519,  6,  8,   97, 1, 2, 376908, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 268,  6,  8,   97, 1, 2, 377086, 29591.63, 154, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 589,  6,  8,   97, 1, 2, 377107, 29591.63, 85, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 337,  7,  7,   97, 1, 2, 383841, 29591.63, 55, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 261,  9,  5,   97, 1, 2, 355410, 29591.63, 85, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 525,  5,  9,   97, 1, 2, 355410, 29591.63, 85, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 531,  7,  7,   97, 1, 2, 383790, 29591.63, 189, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 279,  4, 12,   97, 1, 2, 377045, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 317,  5,  9,   97, 1, 2, 355410, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 582,  5,  9,   97, 1, 2, 355410, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 984,  5,  9,   97, 1, 2, 355410, 29591.63, 152, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 487,  9,  5,   97, 1, 2, 355410, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 316,  9,  5,   97, 1, 2, 355410, 29591.63, 2, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 545,  7,  7,   97, 1, 2, 383805, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 309,  9,  5,   97, 1, 2, 355410, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 282,  6,  8,   97, 1, 2, 376992, 29591.63, 197, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 176,  6,  8,   97, 1, 2, 376778, 29591.63, 10, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 198,  7,  7,   97, 1, 2, 383690, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 407,  5,  9,   97, 1, 2, 355410, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 960,  6,  8,   97, 1, 2, 376869, 29591.63, 160, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 194,  8,  6,   97, 1, 2, 376888, 29591.63, 197, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 409,  4, 12,   97, 1, 2, 376941, 29591.63, 64, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 190,  8,  6,   97, 1, 2, 377163, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 424,  9,  5,   97, 1, 2, 355410, 29591.63, 32, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 213,  7,  7,   97, 1, 2, 383836, 29591.63, 85, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 181,  8,  6,   97, 1, 2, 376985, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 179,  6,  8,   97, 1, 2, 376904, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 446,  5, 10,   97, 1, 2, 390955, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 153,  6,  8,   97, 1, 2, 377071, 29591.63, 63, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 372,  8,  6,   97, 1, 2, 377086, 29591.63, 12, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 976,  5, 10,   97, 1, 2, 390748, 29591.63, 176, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 467,  6,  8,   97, 1, 2, 377021, 29591.63, 189, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 357,  8,  6,   97, 1, 2, 377134, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 477,  6,  8,   97, 1, 2, 377159, 29591.63, 85, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 355,  6,  8,   97, 1, 2, 377094, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 352,  8,  6,   97, 1, 2, 376961, 29591.63, 7, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 350,  5, 10,   97, 1, 2, 390535, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 488,  8,  6,   97, 1, 2, 376813, 29591.63, 32, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 162,  6,  8,   97, 1, 2, 376978, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 490,  7,  7,   97, 1, 2, 383693, 29591.63, 116, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling,  19,  7,  7,   97, 1, 2, 383614, 29591.63, 189, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling,  12,  8,  6,   97, 1, 2, 377092, 29591.63, 12, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 752,  9,  5,   97, 1, 2, 355410, 29591.63, 64, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling,  62,  6,  8,   97, 1, 2, 376950, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 751,  6,  8,   97, 1, 2, 376845, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 665,  8,  6,   97, 1, 2, 377084, 29591.63, 65, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 667,  6,  8,   97, 1, 2, 376853, 29591.63, 189, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling,  93,  6,  8,   97, 1, 2, 376954, 29591.63, 85, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 743,  8,  6,   97, 1, 2, 377080, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling,  92,  5, 10,   97, 1, 2, 390752, 29591.63, 154, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling,  91,  9,  5,   97, 1, 2, 355410, 29591.63, 189, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 683,  4, 11,   97, 1, 2, 347182, 29591.63, 50, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 687,  5, 10,   97, 1, 2, 390851, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 688,  9,  5,   97, 1, 2, 355410, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 871,  9,  5,   97, 1, 2, 355410, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling,  97,  6,  8,   97, 1, 2, 377149, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 704,  4, 12,   97, 1, 2, 376989, 29591.63, 192, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 927,  7,  7,   97, 1, 2, 383659, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 710,  7,  7,   97, 1, 2, 383804, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 737,  8,  6,   97, 1, 2, 376823, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 865,  5,  9,   97, 1, 2, 355410, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling,  22,  7,  7,   97, 1, 2, 383565, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling,  38,  5, 10,   97, 1, 2, 390947, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling,  23,  7,  7,   97, 1, 2, 383872, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 732,  8,  6,   97, 1, 2, 377108, 29591.63, 154, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 734,  6,  8,   97, 1, 2, 377040, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling,  69,  6,  8,   97, 1, 2, 377060, 29591.63, 85, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 854,  7,  7,   97, 1, 2, 383486, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 849,  7,  7,   97, 1, 2, 383346, 29591.63, 57, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 120,  9,  5,   97, 1, 2, 355410, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 986,  8,  6,   97, 1, 2, 377066, 29591.63, 197, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 115,  7,  7,   97, 1, 2, 383734, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 786,  7,  7,   97, 1, 2, 383481, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 999,  4, 12,   97, 1, 2, 377095, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 629,  8,  6,   97, 1, 2, 377066, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 761,  9,  5,   97, 1, 2, 355410, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 909,  6,  8,   97, 1, 2, 377013, 29591.63, 85, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 907,  8,  6,   97, 1, 2, 376876, 29591.63, 189, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 111,  5,  9,   97, 1, 2, 355410, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling,  11,  5, 10,   97, 1, 2, 390719, 29591.63, 247, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 904,  4, 12,   97, 1, 2, 377011, 29591.63, 112, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling,  56,  7,  7,   97, 1, 2, 383520, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 108,  7,  7,   97, 1, 2, 383769, 29591.63, 49, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 760,  8,  6,   97, 1, 2, 377180, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 902,  4, 12,   97, 1, 2, 377113, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 781,  6,  8,   97, 1, 2, 377109, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 901,  8,  6,   97, 1, 2, 377031, 29591.63, 85, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 987,  8,  6,   97, 1, 2, 376815, 29591.63, 189, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 104,  7,  7,   97, 1, 2, 383619, 29591.63, 32, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 651,  5, 10,   97, 1, 2, 390901, 29591.63, 189, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 102,  7,  7,   97, 1, 2, 383826, 29591.63, 0, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 814,  6,  8,   97, 1, 2, 377013, 29591.63, 114, 0.00, 1: 59; 2: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 789,  5,  9,   98, 1, 2, 355410, 29591.63, 0, 0.00, 1: 58; 2: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 827,  4, 12,   98, 1, 2, 376911, 29591.63, 0, 0.00, 1: 58; 2: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 378,  6,  8,   98, 1, 2, 376968, 29591.63, 0, 0.00, 1: 58; 2: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 377,  7,  7,   98, 1, 2, 383130, 29591.63, 0, 0.00, 1: 58; 2: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 375,  7,  7,   98, 1, 2, 383717, 29591.63, 0, 0.00, 1: 58; 2: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 361,  6,  8,   98, 1, 2, 377069, 29591.63, 65, 0.00, 1: 58; 2: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 798,  7,  7,   98, 1, 2, 383696, 29591.63, 0, 0.00, 1: 58; 2: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 364,  8,  6,   98, 1, 2, 376984, 29591.63, 105, 0.00, 1: 58; 2: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 328,  9,  5,   98, 1, 2, 355410, 29591.63, 176, 0.00, 1: 58; 2: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 894,  5, 10,   98, 1, 2, 390867, 29591.63, 0, 0.00, 1: 58; 2: 20; 
Guard_Cell_Abscisic_Acid_Signaling,   0,  6,  8,   98, 1, 2, 377006, 29591.63, 0, 0.00, 1: 58; 2: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 265,  7,  7,   98, 1, 2, 383487, 29591.63, 55, 0.00, 1: 58; 2: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 269,  5, 10,   98, 1, 2, 390611, 29591.63, 85, 0.00, 1: 58; 2: 20; 
