Seed 1656949570
ARCH 0|F_ID 3|LIMIT 3
before: 
93(377)
Melhor resultado nxn: Guard_Cell_Abscisic_Acid_Signaling, 473,  7,  7,  126, 1, 3, 383595, 32649.12, 64, 0.00, 1: 38; 2: 32; 3: 8; 
Guard_Cell_Abscisic_Acid_Signaling, 538,  8,  6,  128, 1, 3, 377020, 32649.12, 147, 0.00, 1: 40; 2: 26; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 428,  7,  7,  128, 1, 3, 383579, 32649.12, 111, 0.00, 1: 37; 2: 32; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling, 489,  8,  6,  128, 1, 3, 377020, 32649.12, 65, 0.00, 1: 36; 2: 34; 3: 8; 
Guard_Cell_Abscisic_Acid_Signaling, 533,  6,  8,  128, 1, 3, 376983, 32649.12, 85, 0.00, 1: 35; 2: 36; 3: 7; 
Guard_Cell_Abscisic_Acid_Signaling,  17,  7,  7,  128, 1, 3, 383632, 32649.12, 62, 0.00, 1: 39; 2: 28; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 511,  7,  7,  128, 1, 3, 383563, 32649.12, 0, 0.00, 1: 37; 2: 32; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling, 519,  6,  8,  128, 1, 3, 376982, 32649.12, 0, 0.00, 1: 38; 2: 30; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 721,  7,  7,  129, 1, 3, 383612, 32649.12, 58, 0.00, 1: 38; 2: 29; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 403,  8,  6,  129, 1, 3, 377049, 32649.12, 127, 0.00, 1: 35; 2: 35; 3: 8; 
Guard_Cell_Abscisic_Acid_Signaling, 398,  7,  7,  129, 1, 3, 383618, 32649.12, 0, 0.00, 1: 38; 2: 29; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 790,  6,  8,  129, 1, 3, 376948, 32649.12, 0, 0.00, 1: 38; 2: 29; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 114,  5, 10,  129, 1, 3, 390826, 32649.12, 0, 0.00, 1: 39; 2: 27; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 987,  8,  6,  129, 1, 3, 377048, 32649.12, 127, 0.00, 1: 37; 2: 31; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 796,  7,  7,  129, 1, 3, 383654, 32649.12, 143, 0.00, 1: 37; 2: 31; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 986,  8,  6,  129, 1, 3, 377025, 32649.12, 147, 0.00, 1: 39; 2: 27; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 718,  8,  6,  129, 1, 3, 377035, 32649.12, 0, 0.00, 1: 37; 2: 31; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 224,  5, 10,  129, 1, 3, 390688, 32649.12, 7, 0.00, 1: 36; 2: 33; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling, 389,  6,  8,  129, 1, 3, 376976, 32649.12, 85, 0.00, 1: 38; 2: 29; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 253,  8,  6,  129, 1, 3, 376907, 32649.12, 0, 0.00, 1: 36; 2: 33; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling, 339,  6,  8,  129, 1, 3, 376964, 32649.12, 127, 0.00, 1: 38; 2: 29; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 944,  8,  6,  129, 1, 3, 377009, 32649.12, 11, 0.00, 1: 38; 2: 29; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 343,  7,  7,  129, 1, 3, 383564, 32649.12, 0, 0.00, 1: 35; 2: 35; 3: 8; 
Guard_Cell_Abscisic_Acid_Signaling, 550,  7,  7,  129, 1, 3, 383713, 32649.12, 0, 0.00, 1: 37; 2: 31; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 982,  7,  7,  129, 1, 3, 383506, 32649.12, 0, 0.00, 1: 37; 2: 31; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 584,  8,  6,  129, 1, 3, 376985, 32649.12, 32, 0.00, 1: 38; 2: 29; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 364,  8,  6,  129, 1, 3, 377094, 32649.12, 105, 0.00, 1: 36; 2: 33; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling, 372,  8,  6,  129, 1, 3, 376903, 32649.12, 12, 0.00, 1: 38; 2: 29; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling,  97,  6,  8,  129, 1, 3, 376982, 32649.12, 0, 0.00, 1: 39; 2: 27; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 612,  7,  7,  129, 1, 3, 383658, 32649.12, 0, 0.00, 1: 38; 2: 29; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 466,  7,  7,  129, 1, 3, 383589, 32649.12, 147, 0.00, 1: 38; 2: 29; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 748,  7,  7,  129, 1, 3, 383598, 32649.12, 77, 0.00, 1: 38; 2: 29; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 896,  8,  6,  129, 1, 3, 377002, 32649.12, 80, 0.00, 1: 38; 2: 29; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 237,  8,  6,  129, 1, 3, 376913, 32649.12, 99, 0.00, 1: 37; 2: 31; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 513,  5, 10,  130, 1, 3, 390863, 32649.12, 56, 0.00, 1: 37; 2: 30; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 110,  6,  8,  130, 1, 3, 377038, 32649.12, 0, 0.00, 1: 35; 2: 34; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling, 708,  6,  8,  130, 1, 3, 376989, 32649.12, 143, 0.00, 1: 37; 2: 30; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 854,  7,  7,  130, 1, 3, 383514, 32649.12, 0, 0.00, 1: 35; 2: 34; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling, 514,  6,  8,  130, 1, 3, 377015, 32649.12, 147, 0.00, 1: 38; 2: 28; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 965,  5,  9,  130, 1, 3, 355410, 32649.12, 85, 0.00, 1: 41; 2: 22; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 529,  8,  6,  130, 1, 3, 376911, 32649.12, 56, 0.00, 1: 34; 2: 36; 3: 8; 
Guard_Cell_Abscisic_Acid_Signaling, 935,  8,  6,  130, 1, 3, 376982, 32649.12, 0, 0.00, 1: 38; 2: 28; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 531,  7,  7,  130, 1, 3, 383633, 32649.12, 127, 0.00, 1: 35; 2: 34; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling, 203,  8,  6,  130, 1, 3, 376999, 32649.12, 127, 0.00, 1: 38; 2: 28; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 889,  8,  6,  130, 1, 3, 376983, 32649.12, 0, 0.00, 1: 37; 2: 30; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 394,  8,  6,  130, 1, 3, 376920, 32649.12, 147, 0.00, 1: 39; 2: 26; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 385,  8,  6,  130, 1, 3, 376939, 32649.12, 56, 0.00, 1: 38; 2: 28; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 265,  7,  7,  130, 1, 3, 383588, 32649.12, 55, 0.00, 1: 38; 2: 28; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 270,  7,  7,  130, 1, 3, 383614, 32649.12, 0, 0.00, 1: 38; 2: 28; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 617,  7,  7,  130, 1, 3, 383612, 32649.12, 67, 0.00, 1: 37; 2: 30; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 381,  8,  6,  130, 1, 3, 377063, 32649.12, 0, 0.00, 1: 37; 2: 30; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 308,  8,  6,  130, 1, 3, 377006, 32649.12, 16, 0.00, 1: 34; 2: 36; 3: 8; 
Guard_Cell_Abscisic_Acid_Signaling, 559,  7,  7,  130, 1, 3, 383694, 32649.12, 0, 0.00, 1: 38; 2: 28; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling,  63,  5,  9,  130, 1, 3, 355410, 32649.12, 0, 0.00, 1: 38; 2: 28; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 847,  6,  8,  130, 1, 3, 376984, 32649.12, 0, 0.00, 1: 36; 2: 32; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 817,  5, 10,  130, 1, 3, 390651, 32649.12, 0, 0.00, 1: 37; 2: 30; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 931,  6,  8,  131, 1, 3, 377097, 32649.12, 0, 0.00, 1: 34; 2: 35; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling, 176,  6,  8,  131, 1, 3, 376956, 32649.12, 10, 0.00, 1: 35; 2: 33; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 950,  7,  7,  131, 1, 3, 383647, 32649.12, 0, 0.00, 1: 35; 2: 33; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 852,  7,  7,  131, 1, 3, 383584, 32649.12, 143, 0.00, 1: 36; 2: 31; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 227,  7,  7,  131, 1, 3, 383614, 32649.12, 0, 0.00, 1: 35; 2: 33; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 733,  5, 10,  131, 1, 3, 390916, 32649.12, 85, 0.00, 1: 35; 2: 33; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 171,  9,  5,  131, 1, 3, 355410, 32649.12, 73, 0.00, 1: 36; 2: 31; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 337,  7,  7,  131, 1, 3, 383596, 32649.12, 55, 0.00, 1: 35; 2: 33; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 773,  8,  6,  131, 1, 3, 377007, 32649.12, 0, 0.00, 1: 38; 2: 27; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 949,  7,  7,  131, 1, 3, 383626, 32649.12, 0, 0.00, 1: 34; 2: 35; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling, 483,  8,  6,  131, 1, 3, 377005, 32649.12, 0, 0.00, 1: 33; 2: 37; 3: 8; 
Guard_Cell_Abscisic_Acid_Signaling, 238,  8,  6,  131, 1, 3, 376953, 32649.12, 32, 0.00, 1: 36; 2: 31; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling,  12,  8,  6,  131, 1, 3, 377086, 32649.12, 106, 0.00, 1: 37; 2: 29; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 254,  7,  7,  131, 1, 3, 383575, 32649.12, 0, 0.00, 1: 38; 2: 27; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 408,  7,  7,  131, 1, 3, 383661, 32649.12, 88, 0.00, 1: 38; 2: 27; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 579,  6,  8,  131, 1, 3, 376930, 32649.12, 127, 0.00, 1: 35; 2: 33; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 955,  9,  5,  131, 1, 3, 355410, 32649.12, 0, 0.00, 1: 35; 2: 33; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 388,  6,  8,  131, 1, 3, 377005, 32649.12, 143, 0.00, 1: 38; 2: 27; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 572,  8,  6,  131, 1, 3, 376932, 32649.12, 1, 0.00, 1: 35; 2: 33; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 808,  6,  8,  131, 1, 3, 377007, 32649.12, 32, 0.00, 1: 37; 2: 29; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 963,  5,  9,  131, 1, 3, 355410, 32649.12, 127, 0.00, 1: 36; 2: 31; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 602,  6,  8,  131, 1, 3, 377049, 32649.12, 147, 0.00, 1: 36; 2: 31; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 206,  7,  7,  131, 1, 3, 383627, 32649.12, 0, 0.00, 1: 37; 2: 29; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 545,  7,  7,  131, 1, 3, 383618, 32649.12, 0, 0.00, 1: 35; 2: 33; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 534,  5,  9,  131, 1, 3, 355410, 32649.12, 0, 0.00, 1: 35; 2: 33; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 607,  6,  8,  131, 1, 3, 376955, 32649.12, 0, 0.00, 1: 34; 2: 35; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling, 478,  5,  9,  131, 1, 3, 355410, 32649.12, 0, 0.00, 1: 35; 2: 33; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 182,  5,  9,  131, 1, 3, 355410, 32649.12, 0, 0.00, 1: 35; 2: 33; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling,  77,  7,  7,  131, 1, 3, 383664, 32649.12, 85, 0.00, 1: 35; 2: 33; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 964,  7,  7,  131, 1, 3, 383655, 32649.12, 143, 0.00, 1: 36; 2: 31; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 569,  7,  7,  132, 1, 3, 383561, 32649.12, 0, 0.00, 1: 34; 2: 34; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 416,  5, 10,  132, 1, 3, 390626, 32649.12, 9, 0.00, 1: 35; 2: 32; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling,  13,  8,  6,  132, 1, 3, 377024, 32649.12, 127, 0.00, 1: 33; 2: 36; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling, 901,  8,  6,  132, 1, 3, 376980, 32649.12, 85, 0.00, 1: 37; 2: 28; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling,  29,  6,  8,  132, 1, 3, 376983, 32649.12, 85, 0.00, 1: 34; 2: 34; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 516,  7,  7,  132, 1, 3, 383570, 32649.12, 143, 0.00, 1: 36; 2: 30; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 138,  5,  9,  132, 1, 3, 355410, 32649.12, 146, 0.00, 1: 34; 2: 34; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling,  11,  5, 10,  132, 1, 3, 390898, 32649.12, 58, 0.00, 1: 33; 2: 36; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling, 158,  5, 10,  132, 1, 3, 390824, 32649.12, 0, 0.00, 1: 36; 2: 30; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 649,  5, 10,  132, 1, 3, 390619, 32649.12, 184, 0.00, 1: 35; 2: 32; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 166,  9,  5,  132, 1, 3, 355410, 32649.12, 0, 0.00, 1: 34; 2: 34; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling,  35,  7,  7,  132, 1, 3, 383557, 32649.12, 0, 0.00, 1: 34; 2: 34; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 397,  5, 10,  132, 1, 3, 390934, 32649.12, 85, 0.00, 1: 34; 2: 34; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 809,  7,  7,  132, 1, 3, 383641, 32649.12, 67, 0.00, 1: 34; 2: 34; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 212,  8,  6,  132, 1, 3, 376974, 32649.12, 143, 0.00, 1: 35; 2: 32; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling,  18,  7,  7,  132, 1, 3, 383615, 32649.12, 147, 0.00, 1: 34; 2: 34; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 661,  6,  8,  132, 1, 3, 376960, 32649.12, 85, 0.00, 1: 37; 2: 28; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 664,  5,  9,  132, 1, 3, 355410, 32649.12, 88, 0.00, 1: 36; 2: 30; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 380,  5,  9,  132, 1, 3, 355410, 32649.12, 2, 0.00, 1: 35; 2: 32; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 375,  7,  7,  132, 1, 3, 383353, 32649.12, 0, 0.00, 1: 33; 2: 36; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling, 679,  5, 10,  132, 1, 3, 390761, 32649.12, 0, 0.00, 1: 35; 2: 32; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 451,  9,  5,  132, 1, 3, 355410, 32649.12, 127, 0.00, 1: 36; 2: 30; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling,  99,  7,  7,  132, 1, 3, 383630, 32649.12, 0, 0.00, 1: 34; 2: 34; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 304,  8,  6,  132, 1, 3, 377013, 32649.12, 4, 0.00, 1: 34; 2: 34; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 930,  9,  5,  132, 1, 3, 355410, 32649.12, 0, 0.00, 1: 35; 2: 32; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 456,  9,  5,  132, 1, 3, 355410, 32649.12, 160, 0.00, 1: 39; 2: 24; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 745,  5,  9,  132, 1, 3, 355410, 32649.12, 67, 0.00, 1: 35; 2: 32; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 627,  5, 10,  132, 1, 3, 390732, 32649.12, 32, 0.00, 1: 35; 2: 32; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 853,  6,  8,  132, 1, 3, 376923, 32649.12, 85, 0.00, 1: 36; 2: 30; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 115,  7,  7,  132, 1, 3, 383585, 32649.12, 0, 0.00, 1: 35; 2: 32; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 628,  8,  6,  132, 1, 3, 377057, 32649.12, 0, 0.00, 1: 34; 2: 34; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 822,  6,  8,  132, 1, 3, 376975, 32649.12, 0, 0.00, 1: 35; 2: 32; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 926,  5, 10,  132, 1, 3, 390621, 32649.12, 0, 0.00, 1: 36; 2: 30; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 465,  9,  5,  132, 1, 3, 355410, 32649.12, 56, 0.00, 1: 38; 2: 26; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 439,  9,  5,  132, 1, 3, 355410, 32649.12, 0, 0.00, 1: 36; 2: 30; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling,  83,  9,  5,  132, 1, 3, 355410, 32649.12, 127, 0.00, 1: 35; 2: 32; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 632,  9,  5,  132, 1, 3, 355410, 32649.12, 0, 0.00, 1: 35; 2: 32; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 606,  5, 10,  133, 1, 3, 390798, 32649.12, 0, 0.00, 1: 35; 2: 31; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 445,  6,  8,  133, 1, 3, 376883, 32649.12, 0, 0.00, 1: 34; 2: 33; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 490,  7,  7,  133, 1, 3, 383562, 32649.12, 116, 0.00, 1: 34; 2: 33; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 942,  5, 10,  133, 1, 3, 390863, 32649.12, 0, 0.00, 1: 33; 2: 35; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling,  60,  8,  6,  133, 1, 3, 376977, 32649.12, 143, 0.00, 1: 37; 2: 27; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 747,  7,  7,  133, 1, 3, 383735, 32649.12, 73, 0.00, 1: 33; 2: 35; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 230,  8,  6,  133, 1, 3, 377006, 32649.12, 0, 0.00, 1: 33; 2: 35; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 215,  5, 10,  133, 1, 3, 390841, 32649.12, 0, 0.00, 1: 33; 2: 35; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 758,  7,  7,  133, 1, 3, 383545, 32649.12, 0, 0.00, 1: 32; 2: 37; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling, 727,  6,  8,  133, 1, 3, 376902, 32649.12, 0, 0.00, 1: 34; 2: 33; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 461,  9,  5,  133, 1, 3, 355410, 32649.12, 85, 0.00, 1: 34; 2: 33; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 922,  7,  7,  133, 1, 3, 383634, 32649.12, 147, 0.00, 1: 31; 2: 39; 3: 8; 
Guard_Cell_Abscisic_Acid_Signaling, 190,  8,  6,  133, 1, 3, 377002, 32649.12, 0, 0.00, 1: 37; 2: 27; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 382,  6,  8,  133, 1, 3, 376866, 32649.12, 0, 0.00, 1: 36; 2: 29; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 996,  8,  6,  133, 1, 3, 376894, 32649.12, 0, 0.00, 1: 35; 2: 31; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling,  78,  5, 10,  133, 1, 3, 390595, 32649.12, 0, 0.00, 1: 36; 2: 29; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 300,  9,  5,  133, 1, 3, 355410, 32649.12, 49, 0.00, 1: 35; 2: 31; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 376,  5,  9,  133, 1, 3, 355410, 32649.12, 0, 0.00, 1: 35; 2: 31; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling,  82,  7,  7,  133, 1, 3, 383619, 32649.12, 146, 0.00, 1: 34; 2: 33; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 743,  8,  6,  133, 1, 3, 376994, 32649.12, 0, 0.00, 1: 34; 2: 33; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 126,  7,  7,  133, 1, 3, 383597, 32649.12, 0, 0.00, 1: 35; 2: 31; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 509,  5,  9,  133, 1, 3, 355410, 32649.12, 0, 0.00, 1: 36; 2: 29; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 789,  5,  9,  133, 1, 3, 355410, 32649.12, 0, 0.00, 1: 34; 2: 33; 3: 11; 
