Seed 1656949570
ARCH 2|F_ID 3|LIMIT 3
before: 
82(513)
Melhor resultado nxn: Glucose_Repression_Signaling_2009, 545,  9,  9,  134, 1, 2, 639361, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 170,  8, 10,  134, 1, 2, 634083, 43280.14, 65, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 910,  9,  9,  134, 1, 2, 638815, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 631,  7, 12,  134, 1, 2, 658841, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 905,  6, 14,  134, 1, 2, 658918, 43280.14, 224, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 702, 10,  8,  134, 1, 2, 634118, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 896, 10,  8,  134, 1, 2, 633927, 43280.14, 96, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 893,  9,  9,  134, 1, 2, 639432, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 751, 10,  8,  134, 1, 2, 633916, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009,  96,  7, 12,  134, 1, 2, 658679, 43280.14, 6, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 879, 10,  8,  134, 1, 2, 633864, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 350,  8, 10,  134, 1, 2, 634215, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 259,  8, 10,  134, 1, 2, 634044, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 269,  7, 12,  134, 1, 2, 658567, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 311,  9,  9,  134, 1, 2, 639221, 43280.14, 255, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 316, 11,  7,  134, 1, 2, 613213, 43280.14, 2, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 415, 10,  8,  134, 1, 2, 634200, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 960,  7, 12,  134, 1, 2, 658214, 43280.14, 160, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 315,  9,  9,  134, 1, 2, 638811, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009,   6,  9,  9,  134, 1, 2, 639262, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 289,  7, 12,  134, 1, 2, 659069, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 310, 10,  8,  135, 1, 2, 633926, 43280.14, 255, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 367, 10,  8,  135, 1, 2, 634315, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 704,  8, 10,  135, 1, 2, 634163, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 706, 11,  7,  135, 1, 2, 613021, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 725, 10,  8,  135, 1, 2, 634070, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 119,  8, 10,  135, 1, 2, 634205, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 313,  9,  9,  135, 1, 2, 639094, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 113,  8, 10,  135, 1, 2, 634262, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 777,  8, 10,  135, 1, 2, 634057, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 805,  9,  9,  135, 1, 2, 638942, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 356, 10,  8,  135, 1, 2, 634121, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 808,  7, 12,  135, 1, 2, 658968, 43280.14, 32, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009,  93, 10,  8,  135, 1, 2, 634014, 43280.14, 85, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009,  83,  9,  9,  135, 1, 2, 639052, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 564,  7, 12,  135, 1, 2, 659009, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 248, 11,  7,  135, 1, 2, 613228, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 257,  7, 12,  135, 1, 2, 658796, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 445,  6, 14,  135, 1, 2, 658792, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 492,  7, 11,  135, 1, 2, 613279, 43280.14, 49, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 437,  8, 10,  135, 1, 2, 634386, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 999,  7, 12,  135, 1, 2, 658993, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 555,  8, 10,  135, 1, 2, 634161, 43280.14, 76, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 432,  6, 14,  135, 1, 2, 658701, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 653,  9,  9,  135, 1, 2, 638885, 43280.14, 85, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 570,  9,  9,  135, 1, 2, 639591, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 429,  8, 10,  135, 1, 2, 633974, 43280.14, 48, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 285,  7, 12,  135, 1, 2, 658778, 43280.14, 85, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 394, 10,  8,  135, 1, 2, 634166, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 382,  8, 10,  135, 1, 2, 633502, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 639,  9,  9,  135, 1, 2, 639075, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 256,  8, 10,  135, 1, 2, 634061, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 642,  7, 11,  135, 1, 2, 613191, 43280.14, 205, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 953, 10,  8,  135, 1, 2, 633871, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 987, 10,  8,  135, 1, 2, 633827, 43280.14, 233, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 954,  8, 10,  135, 1, 2, 633994, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 961,  6, 13,  135, 1, 2, 619635, 43280.14, 224, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009,  21, 10,  8,  135, 1, 2, 634209, 43280.14, 85, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009,  64, 10,  8,  135, 1, 2, 634117, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 908,  9,  9,  135, 1, 2, 639319, 43280.14, 250, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 902, 10,  8,  135, 1, 2, 633954, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009,  15,  9,  9,  135, 1, 2, 639170, 43280.14, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 204, 10,  8,  136, 1, 2, 634184, 43280.14, 250, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 610, 10,  8,  136, 1, 2, 633754, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 456,  7, 11,  136, 1, 2, 613335, 43280.14, 64, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 260,  8, 10,  136, 1, 2, 633829, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 773,  6, 14,  136, 1, 2, 658772, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 885,  6, 13,  136, 1, 2, 619528, 43280.14, 255, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 288,  9,  9,  136, 1, 2, 639429, 43280.14, 6, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 918,  7, 12,  136, 1, 2, 658604, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 920,  7, 12,  136, 1, 2, 657962, 43280.14, 136, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 567,  7, 11,  136, 1, 2, 613218, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009,  10,  9,  9,  136, 1, 2, 639665, 43280.14, 115, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 421,  9,  9,  136, 1, 2, 639303, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 573,  8, 10,  136, 1, 2, 633943, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 208, 10,  8,  136, 1, 2, 634105, 43280.14, 48, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 140, 11,  7,  136, 1, 2, 613202, 43280.14, 250, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 303,  7, 12,  136, 1, 2, 658726, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 957,  9,  9,  136, 1, 2, 638944, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 894, 10,  8,  136, 1, 2, 634090, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 272,  7, 12,  136, 1, 2, 658948, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 417, 10,  8,  136, 1, 2, 633960, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 298,  6, 13,  136, 1, 2, 619278, 43280.14, 66, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 275, 11,  7,  136, 1, 2, 613284, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 712, 11,  7,  136, 1, 2, 613236, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 295,  8, 10,  136, 1, 2, 634220, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 532, 11,  7,  136, 1, 2, 613160, 43280.14, 250, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 496,  8, 10,  136, 1, 2, 634032, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 347, 10,  8,  136, 1, 2, 634158, 43280.14, 233, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 156, 10,  8,  136, 1, 2, 634180, 43280.14, 250, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 230,  7, 12,  136, 1, 2, 658509, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 283,  6, 13,  136, 1, 2, 619325, 43280.14, 233, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 242, 10,  8,  136, 1, 2, 634134, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 874,  7, 11,  136, 1, 2, 613298, 43280.14, 65, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009,  49,  8, 10,  136, 1, 2, 634082, 43280.14, 218, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009,  74,  8, 10,  136, 1, 2, 634493, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 845,  7, 12,  136, 1, 2, 658473, 43280.14, 85, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 222, 10,  8,  136, 1, 2, 634234, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 343,  9,  9,  136, 1, 2, 639150, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 162,  8, 10,  136, 1, 2, 633906, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 490,  9,  9,  136, 1, 2, 639262, 43280.14, 65, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 537,  6, 14,  136, 1, 2, 659011, 43280.14, 250, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 355,  6, 14,  136, 1, 2, 658604, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 474,  7, 11,  136, 1, 2, 613174, 43280.14, 206, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 812,  7, 12,  136, 1, 2, 658695, 43280.14, 55, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009,  65,  7, 11,  136, 1, 2, 612988, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 669,  6, 14,  136, 1, 2, 658670, 43280.14, 85, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 959,  7, 11,  136, 1, 2, 613208, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 210,  6, 13,  136, 1, 2, 619530, 43280.14, 243, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 318, 11,  7,  136, 1, 2, 613169, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 615, 10,  8,  136, 1, 2, 634056, 43280.14, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 657,  9,  9,  137, 1, 2, 638921, 43280.14, 223, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 640,  7, 11,  137, 1, 2, 613284, 43280.14, 64, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 638,  9,  9,  137, 1, 2, 638667, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009,  45, 10,  8,  137, 1, 2, 634184, 43280.14, 115, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 603, 10,  8,  137, 1, 2, 634213, 43280.14, 233, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 606,  7, 12,  137, 1, 2, 658642, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 282, 10,  8,  137, 1, 2, 633506, 43280.14, 206, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 175,  8, 10,  137, 1, 2, 633913, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009,  42,  7, 12,  137, 1, 2, 658867, 43280.14, 79, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 551,  9,  9,  137, 1, 2, 639367, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 237,  7, 12,  137, 1, 2, 658432, 43280.14, 112, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 940, 11,  7,  137, 1, 2, 613019, 43280.14, 55, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009,  31,  9,  9,  137, 1, 2, 639081, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 503,  7, 11,  137, 1, 2, 613237, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 505, 10,  8,  137, 1, 2, 634344, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 485,  6, 14,  137, 1, 2, 658650, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 244,  7, 12,  137, 1, 2, 658733, 43280.14, 61, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 524, 10,  8,  137, 1, 2, 634082, 43280.14, 250, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 529, 10,  8,  137, 1, 2, 634197, 43280.14, 223, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 543, 10,  8,  137, 1, 2, 634030, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 548,  7, 11,  137, 1, 2, 613383, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 951, 11,  7,  137, 1, 2, 613174, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 179,  7, 12,  137, 1, 2, 658837, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 557, 11,  7,  137, 1, 2, 613258, 43280.14, 32, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 201, 10,  8,  137, 1, 2, 634185, 43280.14, 3, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 263,  8, 10,  137, 1, 2, 634043, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 264, 10,  8,  137, 1, 2, 633985, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 451,  7, 11,  137, 1, 2, 613159, 43280.14, 232, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009,  39, 11,  7,  137, 1, 2, 613041, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 194,  6, 14,  137, 1, 2, 658930, 43280.14, 243, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 189,  8, 10,  137, 1, 2, 633932, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 444,  8, 10,  137, 1, 2, 634177, 43280.14, 2, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 184,  7, 11,  137, 1, 2, 613285, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 182, 11,  7,  137, 1, 2, 612996, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 598,  7, 12,  137, 1, 2, 658951, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009,  89,  9,  9,  137, 1, 2, 639324, 43280.14, 248, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 889,  8, 10,  137, 1, 2, 634110, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 369, 10,  8,  137, 1, 2, 634179, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 985,  7, 12,  137, 1, 2, 659046, 43280.14, 251, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 888,  6, 13,  137, 1, 2, 619664, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 903,  7, 12,  137, 1, 2, 658880, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 312, 10,  8,  137, 1, 2, 634392, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 770,  7, 12,  137, 1, 2, 658670, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 990,  6, 14,  137, 1, 2, 658939, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009,  61,  7, 12,  137, 1, 2, 658917, 43280.14, 85, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 783,  7, 11,  137, 1, 2, 613236, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 795, 10,  8,  137, 1, 2, 633907, 43280.14, 233, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009,  62,  8, 10,  137, 1, 2, 634013, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 882,  7, 11,  137, 1, 2, 613121, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009,  94,  9,  9,  137, 1, 2, 639293, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 763, 11,  7,  137, 1, 2, 612985, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 998, 11,  7,  137, 1, 2, 613382, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009,  87,  7, 11,  137, 1, 2, 613116, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 821, 10,  8,  137, 1, 2, 634104, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 348,  9,  9,  137, 1, 2, 639298, 43280.14, 250, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 825,  7, 12,  137, 1, 2, 658799, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009,  82, 11,  7,  137, 1, 2, 613023, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 832,  6, 14,  137, 1, 2, 658956, 43280.14, 32, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 834,  6, 14,  137, 1, 2, 658565, 43280.14, 206, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 836,  9,  9,  137, 1, 2, 639134, 43280.14, 250, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 837,  7, 12,  137, 1, 2, 658733, 43280.14, 85, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 838,  9,  9,  137, 1, 2, 639443, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 326, 10,  8,  137, 1, 2, 634128, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 342,  8, 10,  137, 1, 2, 634134, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 335,  6, 13,  137, 1, 2, 619666, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009,  14,  7, 11,  137, 1, 2, 613346, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 967,  7, 12,  137, 1, 2, 659352, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 687,  7, 12,  137, 1, 2, 658390, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 681,  9,  9,  137, 1, 2, 638985, 43280.14, 71, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 676,  7, 12,  137, 1, 2, 658469, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 748,  9,  9,  137, 1, 2, 639291, 43280.14, 53, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 292,  9,  9,  137, 1, 2, 639074, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 134,  7, 11,  137, 1, 2, 613193, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 675,  7, 12,  137, 1, 2, 658489, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 407, 11,  7,  137, 1, 2, 613214, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 131,  8, 10,  137, 1, 2, 634132, 43280.14, 232, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 673,  8, 10,  137, 1, 2, 633856, 43280.14, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 425, 10,  8,  137, 1, 2, 634141, 43280.14, 71, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 646,  8, 10,  137, 1, 2, 634027, 43280.14, 0, 0.00, 1: 75; 2: 31; 
