Seed 1656949570
ARCH 0|F_ID 3|LIMIT 3
before: 
33(415)
Melhor resultado nxn: Glucose_Repression_Signaling_2009, 805,  9,  9,  169, 1, 3, 639193, 45171.35, 0, 0.00, 1: 52; 2: 45; 3: 9; 
Glucose_Repression_Signaling_2009, 147,  9,  9,  172, 1, 3, 639310, 45171.35, 53, 0.00, 1: 50; 2: 46; 3: 10; 
Glucose_Repression_Signaling_2009, 978,  9,  9,  172, 1, 3, 639318, 45171.35, 150, 0.00, 1: 52; 2: 42; 3: 12; 
Glucose_Repression_Signaling_2009, 748,  9,  9,  172, 1, 3, 638921, 45171.35, 53, 0.00, 1: 53; 2: 40; 3: 13; 
Glucose_Repression_Signaling_2009, 175,  8, 10,  173, 1, 3, 634087, 45171.35, 0, 0.00, 1: 49; 2: 47; 3: 10; 
Glucose_Repression_Signaling_2009, 797, 10,  8,  173, 1, 3, 633991, 45171.35, 85, 0.00, 1: 53; 2: 39; 3: 14; 
Glucose_Repression_Signaling_2009, 887,  7, 12,  173, 1, 3, 658775, 45171.35, 255, 0.00, 1: 51; 2: 43; 3: 12; 
Glucose_Repression_Signaling_2009, 639,  9,  9,  173, 1, 3, 639181, 45171.35, 0, 0.00, 1: 49; 2: 47; 3: 10; 
Glucose_Repression_Signaling_2009, 131,  8, 10,  173, 1, 3, 633969, 45171.35, 53, 0.00, 1: 50; 2: 45; 3: 11; 
Glucose_Repression_Signaling_2009, 111,  6, 13,  173, 1, 3, 619535, 45171.35, 0, 0.00, 1: 52; 2: 41; 3: 13; 
Glucose_Repression_Signaling_2009, 982,  9,  9,  173, 1, 3, 639230, 45171.35, 0, 0.00, 1: 53; 2: 39; 3: 14; 
Glucose_Repression_Signaling_2009,   4, 10,  8,  173, 1, 3, 633950, 45171.35, 247, 0.00, 1: 50; 2: 45; 3: 11; 
Glucose_Repression_Signaling_2009, 505, 10,  8,  173, 1, 3, 634078, 45171.35, 0, 0.00, 1: 48; 2: 49; 3: 9; 
Glucose_Repression_Signaling_2009, 335,  6, 13,  173, 1, 3, 619493, 45171.35, 0, 0.00, 1: 52; 2: 41; 3: 13; 
Glucose_Repression_Signaling_2009, 170,  8, 10,  173, 1, 3, 633976, 45171.35, 65, 0.00, 1: 48; 2: 49; 3: 9; 
Glucose_Repression_Signaling_2009,  18,  9,  9,  173, 1, 3, 639294, 45171.35, 150, 0.00, 1: 51; 2: 43; 3: 12; 
Glucose_Repression_Signaling_2009,  59, 10,  8,  173, 1, 3, 634118, 45171.35, 0, 0.00, 1: 51; 2: 43; 3: 12; 
Glucose_Repression_Signaling_2009, 741,  9,  9,  173, 1, 3, 639083, 45171.35, 0, 0.00, 1: 49; 2: 47; 3: 10; 
Glucose_Repression_Signaling_2009, 807,  9,  9,  174, 1, 3, 639265, 45171.35, 0, 0.00, 1: 48; 2: 48; 3: 10; 
Glucose_Repression_Signaling_2009, 906,  9,  9,  174, 1, 3, 639155, 45171.35, 150, 0.00, 1: 49; 2: 46; 3: 11; 
Glucose_Repression_Signaling_2009, 896, 10,  8,  174, 1, 3, 634211, 45171.35, 96, 0.00, 1: 47; 2: 50; 3: 9; 
Glucose_Repression_Signaling_2009, 893,  9,  9,  174, 1, 3, 639212, 45171.35, 0, 0.00, 1: 52; 2: 40; 3: 14; 
Glucose_Repression_Signaling_2009, 789,  9,  9,  174, 1, 3, 639041, 45171.35, 0, 0.00, 1: 49; 2: 46; 3: 11; 
Glucose_Repression_Signaling_2009, 621,  8, 10,  174, 1, 3, 634152, 45171.35, 32, 0.00, 1: 49; 2: 46; 3: 11; 
Glucose_Repression_Signaling_2009, 132,  7, 11,  174, 1, 3, 613198, 45171.35, 169, 0.00, 1: 48; 2: 48; 3: 10; 
Glucose_Repression_Signaling_2009, 753,  9,  9,  174, 1, 3, 639247, 45171.35, 0, 0.00, 1: 49; 2: 46; 3: 11; 
Glucose_Repression_Signaling_2009, 880,  7, 12,  174, 1, 3, 658935, 45171.35, 52, 0.00, 1: 50; 2: 44; 3: 12; 
Glucose_Repression_Signaling_2009,  77,  9,  9,  174, 1, 3, 639218, 45171.35, 0, 0.00, 1: 52; 2: 40; 3: 14; 
Glucose_Repression_Signaling_2009, 863,  7, 12,  174, 1, 3, 658572, 45171.35, 0, 0.00, 1: 50; 2: 44; 3: 12; 
Glucose_Repression_Signaling_2009, 151,  9,  9,  174, 1, 3, 639135, 45171.35, 0, 0.00, 1: 49; 2: 46; 3: 11; 
Glucose_Repression_Signaling_2009, 659,  9,  9,  174, 1, 3, 639176, 45171.35, 54, 0.00, 1: 50; 2: 44; 3: 12; 
Glucose_Repression_Signaling_2009, 676,  7, 12,  174, 1, 3, 658803, 45171.35, 0, 0.00, 1: 49; 2: 46; 3: 11; 
Glucose_Repression_Signaling_2009, 166,  9,  9,  174, 1, 3, 639151, 45171.35, 0, 0.00, 1: 46; 2: 52; 3: 8; 
Glucose_Repression_Signaling_2009, 700, 11,  7,  174, 1, 3, 613118, 45171.35, 1, 0.00, 1: 49; 2: 46; 3: 11; 
Glucose_Repression_Signaling_2009, 821, 10,  8,  174, 1, 3, 633885, 45171.35, 0, 0.00, 1: 49; 2: 46; 3: 11; 
Glucose_Repression_Signaling_2009, 825,  7, 12,  174, 1, 3, 658698, 45171.35, 0, 0.00, 1: 49; 2: 46; 3: 11; 
Glucose_Repression_Signaling_2009, 608,  7, 12,  174, 1, 3, 658678, 45171.35, 6, 0.00, 1: 51; 2: 42; 3: 13; 
Glucose_Repression_Signaling_2009,  21, 10,  8,  174, 1, 3, 634031, 45171.35, 85, 0.00, 1: 48; 2: 48; 3: 10; 
Glucose_Repression_Signaling_2009, 292,  9,  9,  174, 1, 3, 639419, 45171.35, 0, 0.00, 1: 52; 2: 40; 3: 14; 
Glucose_Repression_Signaling_2009, 272,  7, 12,  174, 1, 3, 658663, 45171.35, 0, 0.00, 1: 48; 2: 48; 3: 10; 
Glucose_Repression_Signaling_2009,  31,  9,  9,  174, 1, 3, 639123, 45171.35, 0, 0.00, 1: 48; 2: 48; 3: 10; 
Glucose_Repression_Signaling_2009, 464, 11,  7,  174, 1, 3, 613334, 45171.35, 64, 0.00, 1: 49; 2: 46; 3: 11; 
Glucose_Repression_Signaling_2009, 482, 10,  8,  174, 1, 3, 633973, 45171.35, 0, 0.00, 1: 50; 2: 44; 3: 12; 
Glucose_Repression_Signaling_2009, 257,  7, 12,  174, 1, 3, 658762, 45171.35, 0, 0.00, 1: 50; 2: 44; 3: 12; 
Glucose_Repression_Signaling_2009, 375,  9,  9,  174, 1, 3, 639261, 45171.35, 0, 0.00, 1: 50; 2: 44; 3: 12; 
Glucose_Repression_Signaling_2009, 308,  8, 10,  174, 1, 3, 633945, 45171.35, 255, 0.00, 1: 50; 2: 44; 3: 12; 
Glucose_Repression_Signaling_2009, 934,  6, 14,  174, 1, 3, 658932, 45171.35, 0, 0.00, 1: 54; 2: 36; 3: 16; 
Glucose_Repression_Signaling_2009, 534,  7, 11,  174, 1, 3, 613213, 45171.35, 0, 0.00, 1: 49; 2: 46; 3: 11; 
Glucose_Repression_Signaling_2009,  48,  7, 12,  174, 1, 3, 658807, 45171.35, 128, 0.00, 1: 50; 2: 44; 3: 12; 
Glucose_Repression_Signaling_2009, 563,  7, 11,  174, 1, 3, 613242, 45171.35, 0, 0.00, 1: 50; 2: 44; 3: 12; 
Glucose_Repression_Signaling_2009, 264, 10,  8,  175, 1, 3, 634124, 45171.35, 0, 0.00, 1: 51; 2: 41; 3: 14; 
Glucose_Repression_Signaling_2009, 643, 11,  7,  175, 1, 3, 613190, 45171.35, 54, 0.00, 1: 49; 2: 45; 3: 12; 
Glucose_Repression_Signaling_2009, 342,  8, 10,  175, 1, 3, 633973, 45171.35, 0, 0.00, 1: 48; 2: 47; 3: 11; 
Glucose_Repression_Signaling_2009, 382,  8, 10,  175, 1, 3, 634046, 45171.35, 0, 0.00, 1: 49; 2: 45; 3: 12; 
Glucose_Repression_Signaling_2009, 903,  7, 12,  175, 1, 3, 658838, 45171.35, 0, 0.00, 1: 49; 2: 45; 3: 12; 
Glucose_Repression_Signaling_2009, 622,  8, 10,  175, 1, 3, 634142, 45171.35, 0, 0.00, 1: 50; 2: 43; 3: 13; 
Glucose_Repression_Signaling_2009, 594, 10,  8,  175, 1, 3, 633966, 45171.35, 149, 0.00, 1: 49; 2: 45; 3: 12; 
Glucose_Repression_Signaling_2009, 459,  9,  9,  175, 1, 3, 639040, 45171.35, 53, 0.00, 1: 49; 2: 45; 3: 12; 
Glucose_Repression_Signaling_2009, 446, 10,  8,  175, 1, 3, 634010, 45171.35, 0, 0.00, 1: 45; 2: 53; 3: 8; 
Glucose_Repression_Signaling_2009, 282, 10,  8,  175, 1, 3, 633978, 45171.35, 150, 0.00, 1: 50; 2: 43; 3: 13; 
Glucose_Repression_Signaling_2009, 109,  8, 10,  175, 1, 3, 634126, 45171.35, 32, 0.00, 1: 48; 2: 47; 3: 11; 
Glucose_Repression_Signaling_2009, 957,  9,  9,  175, 1, 3, 639003, 45171.35, 0, 0.00, 1: 50; 2: 43; 3: 13; 
Glucose_Repression_Signaling_2009, 816, 10,  8,  175, 1, 3, 634066, 45171.35, 0, 0.00, 1: 49; 2: 45; 3: 12; 
Glucose_Repression_Signaling_2009, 972,  7, 12,  175, 1, 3, 658770, 45171.35, 169, 0.00, 1: 51; 2: 41; 3: 14; 
Glucose_Repression_Signaling_2009,  64, 10,  8,  175, 1, 3, 634171, 45171.35, 0, 0.00, 1: 47; 2: 49; 3: 10; 
Glucose_Repression_Signaling_2009, 260,  8, 10,  175, 1, 3, 634116, 45171.35, 0, 0.00, 1: 52; 2: 39; 3: 15; 
Glucose_Repression_Signaling_2009, 580,  7, 11,  175, 1, 3, 613167, 45171.35, 169, 0.00, 1: 47; 2: 49; 3: 10; 
Glucose_Repression_Signaling_2009, 924, 10,  8,  175, 1, 3, 634107, 45171.35, 169, 0.00, 1: 49; 2: 45; 3: 12; 
Glucose_Repression_Signaling_2009, 507,  8, 10,  175, 1, 3, 634125, 45171.35, 0, 0.00, 1: 51; 2: 41; 3: 14; 
Glucose_Repression_Signaling_2009, 310, 10,  8,  175, 1, 3, 634072, 45171.35, 255, 0.00, 1: 52; 2: 39; 3: 15; 
Glucose_Repression_Signaling_2009, 353,  7, 11,  175, 1, 3, 613226, 45171.35, 0, 0.00, 1: 51; 2: 41; 3: 14; 
Glucose_Repression_Signaling_2009, 350,  8, 10,  175, 1, 3, 633984, 45171.35, 0, 0.00, 1: 49; 2: 45; 3: 12; 
Glucose_Repression_Signaling_2009, 644,  9,  9,  175, 1, 3, 639125, 45171.35, 169, 0.00, 1: 50; 2: 43; 3: 13; 
Glucose_Repression_Signaling_2009,  78,  8, 10,  175, 1, 3, 633988, 45171.35, 0, 0.00, 1: 50; 2: 43; 3: 13; 
Glucose_Repression_Signaling_2009, 347, 10,  8,  175, 1, 3, 633756, 45171.35, 54, 0.00, 1: 52; 2: 39; 3: 15; 
Glucose_Repression_Signaling_2009,  47,  7, 11,  175, 1, 3, 613159, 45171.35, 0, 0.00, 1: 49; 2: 45; 3: 12; 
Glucose_Repression_Signaling_2009, 344, 10,  8,  176, 1, 3, 634134, 45171.35, 72, 0.00, 1: 50; 2: 42; 3: 14; 
Glucose_Repression_Signaling_2009, 751, 10,  8,  176, 1, 3, 634079, 45171.35, 0, 0.00, 1: 45; 2: 52; 3: 9; 
Glucose_Repression_Signaling_2009, 767,  8, 10,  176, 1, 3, 633958, 45171.35, 0, 0.00, 1: 53; 2: 36; 3: 17; 
Glucose_Repression_Signaling_2009, 745,  7, 11,  176, 1, 3, 613187, 45171.35, 71, 0.00, 1: 50; 2: 42; 3: 14; 
Glucose_Repression_Signaling_2009, 326, 10,  8,  176, 1, 3, 634064, 45171.35, 0, 0.00, 1: 47; 2: 48; 3: 11; 
Glucose_Repression_Signaling_2009, 719, 11,  7,  176, 1, 3, 613221, 45171.35, 0, 0.00, 1: 54; 2: 34; 3: 18; 
Glucose_Repression_Signaling_2009, 417, 10,  8,  176, 1, 3, 634015, 45171.35, 0, 0.00, 1: 50; 2: 42; 3: 14; 
Glucose_Repression_Signaling_2009, 436,  7, 12,  176, 1, 3, 658859, 45171.35, 0, 0.00, 1: 50; 2: 42; 3: 14; 
Glucose_Repression_Signaling_2009, 697,  9,  9,  176, 1, 3, 639099, 45171.35, 0, 0.00, 1: 50; 2: 42; 3: 14; 
Glucose_Repression_Signaling_2009, 254,  7, 11,  176, 1, 3, 613199, 45171.35, 0, 0.00, 1: 50; 2: 42; 3: 14; 
Glucose_Repression_Signaling_2009, 253,  8, 10,  176, 1, 3, 634043, 45171.35, 0, 0.00, 1: 49; 2: 44; 3: 13; 
Glucose_Repression_Signaling_2009, 653,  9,  9,  176, 1, 3, 639169, 45171.35, 85, 0.00, 1: 52; 2: 38; 3: 16; 
Glucose_Repression_Signaling_2009, 529, 10,  8,  176, 1, 3, 634033, 45171.35, 223, 0.00, 1: 49; 2: 44; 3: 13; 
Glucose_Repression_Signaling_2009, 649,  8, 10,  176, 1, 3, 634038, 45171.35, 223, 0.00, 1: 47; 2: 48; 3: 11; 
Glucose_Repression_Signaling_2009, 648,  9,  9,  176, 1, 3, 639232, 45171.35, 112, 0.00, 1: 48; 2: 46; 3: 12; 
Glucose_Repression_Signaling_2009, 646,  8, 10,  176, 1, 3, 634179, 45171.35, 0, 0.00, 1: 47; 2: 48; 3: 11; 
Glucose_Repression_Signaling_2009, 642,  7, 11,  176, 1, 3, 613144, 45171.35, 149, 0.00, 1: 51; 2: 40; 3: 15; 
Glucose_Repression_Signaling_2009, 567,  7, 11,  176, 1, 3, 613259, 45171.35, 0, 0.00, 1: 48; 2: 46; 3: 12; 
Glucose_Repression_Signaling_2009, 633,  8, 10,  176, 1, 3, 634090, 45171.35, 0, 0.00, 1: 48; 2: 46; 3: 12; 
Glucose_Repression_Signaling_2009, 600,  9,  9,  176, 1, 3, 639224, 45171.35, 72, 0.00, 1: 50; 2: 42; 3: 14; 
Glucose_Repression_Signaling_2009, 812,  7, 12,  176, 1, 3, 658926, 45171.35, 55, 0.00, 1: 46; 2: 50; 3: 10; 
Glucose_Repression_Signaling_2009, 997,  9,  9,  176, 1, 3, 639195, 45171.35, 0, 0.00, 1: 49; 2: 44; 3: 13; 
Glucose_Repression_Signaling_2009, 948,  7, 12,  176, 1, 3, 658888, 45171.35, 61, 0.00, 1: 48; 2: 46; 3: 12; 
Glucose_Repression_Signaling_2009, 916,  9,  9,  176, 1, 3, 639216, 45171.35, 169, 0.00, 1: 50; 2: 42; 3: 14; 
Glucose_Repression_Signaling_2009, 898,  8, 10,  176, 1, 3, 634035, 45171.35, 150, 0.00, 1: 48; 2: 46; 3: 12; 
Glucose_Repression_Signaling_2009, 795, 10,  8,  176, 1, 3, 634151, 45171.35, 54, 0.00, 1: 47; 2: 48; 3: 11; 
Glucose_Repression_Signaling_2009, 890, 10,  8,  176, 1, 3, 634064, 45171.35, 0, 0.00, 1: 48; 2: 46; 3: 12; 
Glucose_Repression_Signaling_2009,  26,  9,  9,  176, 1, 3, 639101, 45171.35, 150, 0.00, 1: 49; 2: 44; 3: 13; 
Glucose_Repression_Signaling_2009,   7, 11,  7,  176, 1, 3, 613213, 45171.35, 0, 0.00, 1: 48; 2: 46; 3: 12; 
Glucose_Repression_Signaling_2009, 814,  7, 12,  176, 1, 3, 658672, 45171.35, 0, 0.00, 1: 49; 2: 44; 3: 13; 
Glucose_Repression_Signaling_2009, 799,  7, 12,  176, 1, 3, 658808, 45171.35, 0, 0.00, 1: 53; 2: 36; 3: 17; 
Glucose_Repression_Signaling_2009, 932, 10,  8,  176, 1, 3, 634092, 45171.35, 0, 0.00, 1: 47; 2: 48; 3: 11; 
Glucose_Repression_Signaling_2009,  93, 10,  8,  176, 1, 3, 634136, 45171.35, 85, 0.00, 1: 46; 2: 50; 3: 10; 
Glucose_Repression_Signaling_2009, 704,  8, 10,  177, 1, 3, 634054, 45171.35, 0, 0.00, 1: 50; 2: 41; 3: 15; 
Glucose_Repression_Signaling_2009, 503,  7, 11,  177, 1, 3, 613265, 45171.35, 0, 0.00, 1: 48; 2: 45; 3: 13; 
Glucose_Repression_Signaling_2009, 837,  7, 12,  177, 1, 3, 658627, 45171.35, 85, 0.00, 1: 49; 2: 43; 3: 14; 
Glucose_Repression_Signaling_2009,  81,  9,  9,  177, 1, 3, 639263, 45171.35, 0, 0.00, 1: 50; 2: 41; 3: 15; 
Glucose_Repression_Signaling_2009, 158, 10,  8,  177, 1, 3, 634113, 45171.35, 0, 0.00, 1: 52; 2: 37; 3: 17; 
Glucose_Repression_Signaling_2009, 261,  7, 11,  177, 1, 3, 613098, 45171.35, 0, 0.00, 1: 46; 2: 49; 3: 11; 
Glucose_Repression_Signaling_2009, 678,  7, 12,  177, 1, 3, 658742, 45171.35, 0, 0.00, 1: 49; 2: 43; 3: 14; 
Glucose_Repression_Signaling_2009, 533,  8, 10,  177, 1, 3, 633989, 45171.35, 85, 0.00, 1: 48; 2: 45; 3: 13; 
Glucose_Repression_Signaling_2009, 123,  8, 10,  177, 1, 3, 633916, 45171.35, 0, 0.00, 1: 48; 2: 45; 3: 13; 
Glucose_Repression_Signaling_2009,  54,  7, 12,  177, 1, 3, 658664, 45171.35, 0, 0.00, 1: 46; 2: 49; 3: 11; 
Glucose_Repression_Signaling_2009, 313,  9,  9,  177, 1, 3, 639167, 45171.35, 0, 0.00, 1: 51; 2: 39; 3: 16; 
Glucose_Repression_Signaling_2009, 584,  8, 10,  177, 1, 3, 634102, 45171.35, 0, 0.00, 1: 52; 2: 37; 3: 17; 
Glucose_Repression_Signaling_2009, 889,  8, 10,  177, 1, 3, 634086, 45171.35, 0, 0.00, 1: 50; 2: 41; 3: 15; 
Glucose_Repression_Signaling_2009, 217,  7, 11,  177, 1, 3, 613228, 45171.35, 248, 0.00, 1: 49; 2: 43; 3: 14; 
Glucose_Repression_Signaling_2009, 905,  6, 14,  177, 1, 3, 658730, 45171.35, 224, 0.00, 1: 51; 2: 39; 3: 16; 
Glucose_Repression_Signaling_2009, 603, 10,  8,  177, 1, 3, 634065, 45171.35, 54, 0.00, 1: 49; 2: 43; 3: 14; 
Glucose_Repression_Signaling_2009, 618, 11,  7,  177, 1, 3, 613186, 45171.35, 65, 0.00, 1: 52; 2: 37; 3: 17; 
Glucose_Repression_Signaling_2009, 267, 10,  8,  177, 1, 3, 634074, 45171.35, 0, 0.00, 1: 48; 2: 45; 3: 13; 
Glucose_Repression_Signaling_2009, 381, 10,  8,  177, 1, 3, 634075, 45171.35, 0, 0.00, 1: 49; 2: 43; 3: 14; 
Glucose_Repression_Signaling_2009, 721, 11,  7,  177, 1, 3, 613231, 45171.35, 0, 0.00, 1: 48; 2: 45; 3: 13; 
Glucose_Repression_Signaling_2009, 126,  7, 11,  177, 1, 3, 613356, 45171.35, 0, 0.00, 1: 47; 2: 47; 3: 12; 
Glucose_Repression_Signaling_2009, 449,  8, 10,  177, 1, 3, 634108, 45171.35, 221, 0.00, 1: 49; 2: 43; 3: 14; 
Glucose_Repression_Signaling_2009,  27,  9,  9,  178, 1, 3, 639143, 45171.35, 54, 0.00, 1: 43; 2: 54; 3: 9; 
Glucose_Repression_Signaling_2009, 544,  7, 11,  178, 1, 3, 613142, 45171.35, 6, 0.00, 1: 46; 2: 48; 3: 12; 
Glucose_Repression_Signaling_2009, 315,  9,  9,  178, 1, 3, 639209, 45171.35, 0, 0.00, 1: 47; 2: 46; 3: 13; 
Glucose_Repression_Signaling_2009, 855,  7, 12,  178, 1, 3, 658616, 45171.35, 0, 0.00, 1: 46; 2: 48; 3: 12; 
Glucose_Repression_Signaling_2009, 858,  7, 11,  178, 1, 3, 613262, 45171.35, 150, 0.00, 1: 45; 2: 50; 3: 11; 
Glucose_Repression_Signaling_2009, 551,  9,  9,  178, 1, 3, 639197, 45171.35, 0, 0.00, 1: 47; 2: 46; 3: 13; 
Glucose_Repression_Signaling_2009, 861, 10,  8,  178, 1, 3, 634195, 45171.35, 85, 0.00, 1: 45; 2: 50; 3: 11; 
Glucose_Repression_Signaling_2009, 186, 11,  7,  178, 1, 3, 613162, 45171.35, 0, 0.00, 1: 49; 2: 42; 3: 15; 
Glucose_Repression_Signaling_2009,  17,  9,  9,  178, 1, 3, 639100, 45171.35, 247, 0.00, 1: 45; 2: 50; 3: 11; 
Glucose_Repression_Signaling_2009, 578, 10,  8,  178, 1, 3, 633984, 45171.35, 149, 0.00, 1: 47; 2: 46; 3: 13; 
Glucose_Repression_Signaling_2009, 134,  7, 11,  178, 1, 3, 613182, 45171.35, 0, 0.00, 1: 47; 2: 46; 3: 13; 
Glucose_Repression_Signaling_2009, 437,  8, 10,  178, 1, 3, 633969, 45171.35, 0, 0.00, 1: 48; 2: 44; 3: 14; 
Glucose_Repression_Signaling_2009, 945,  8, 10,  178, 1, 3, 634016, 45171.35, 0, 0.00, 1: 49; 2: 42; 3: 15; 
Glucose_Repression_Signaling_2009, 195,  9,  9,  178, 1, 3, 639162, 45171.35, 53, 0.00, 1: 47; 2: 46; 3: 13; 
Glucose_Repression_Signaling_2009, 590, 10,  8,  178, 1, 3, 634068, 45171.35, 0, 0.00, 1: 45; 2: 50; 3: 11; 
Glucose_Repression_Signaling_2009,   8, 11,  7,  178, 1, 3, 613175, 45171.35, 128, 0.00, 1: 47; 2: 46; 3: 13; 
Glucose_Repression_Signaling_2009, 627,  8, 10,  178, 1, 3, 634024, 45171.35, 0, 0.00, 1: 49; 2: 42; 3: 15; 
Glucose_Repression_Signaling_2009, 409,  7, 12,  178, 1, 3, 658916, 45171.35, 249, 0.00, 1: 48; 2: 44; 3: 14; 
Glucose_Repression_Signaling_2009,  60, 10,  8,  178, 1, 3, 634189, 45171.35, 169, 0.00, 1: 47; 2: 46; 3: 13; 
Glucose_Repression_Signaling_2009, 792, 10,  8,  178, 1, 3, 634131, 45171.35, 8, 0.00, 1: 49; 2: 42; 3: 15; 
Glucose_Repression_Signaling_2009, 110,  8, 10,  178, 1, 3, 634164, 45171.35, 0, 0.00, 1: 48; 2: 44; 3: 14; 
Glucose_Repression_Signaling_2009, 336,  7, 11,  178, 1, 3, 613214, 45171.35, 16, 0.00, 1: 46; 2: 48; 3: 12; 
Glucose_Repression_Signaling_2009,  37,  8, 10,  178, 1, 3, 634036, 45171.35, 0, 0.00, 1: 46; 2: 48; 3: 12; 
Glucose_Repression_Signaling_2009, 813,  7, 11,  178, 1, 3, 613210, 45171.35, 32, 0.00, 1: 51; 2: 38; 3: 17; 
Glucose_Repression_Signaling_2009, 498,  8, 10,  178, 1, 3, 634018, 45171.35, 0, 0.00, 1: 48; 2: 44; 3: 14; 
Glucose_Repression_Signaling_2009,  39, 11,  7,  178, 1, 3, 613149, 45171.35, 0, 0.00, 1: 49; 2: 42; 3: 15; 
Glucose_Repression_Signaling_2009, 938, 11,  7,  178, 1, 3, 613211, 45171.35, 76, 0.00, 1: 45; 2: 50; 3: 11; 
Glucose_Repression_Signaling_2009, 717,  7, 12,  178, 1, 3, 658772, 45171.35, 0, 0.00, 1: 47; 2: 46; 3: 13; 
Glucose_Repression_Signaling_2009, 493, 10,  8,  178, 1, 3, 633979, 45171.35, 49, 0.00, 1: 48; 2: 44; 3: 14; 
Glucose_Repression_Signaling_2009, 944, 10,  8,  178, 1, 3, 634248, 45171.35, 40, 0.00, 1: 44; 2: 52; 3: 10; 
Glucose_Repression_Signaling_2009, 263,  8, 10,  178, 1, 3, 633970, 45171.35, 0, 0.00, 1: 46; 2: 48; 3: 12; 
