Seed 1656949570
ARCH 2|F_ID 1|LIMIT 4
before: 
3(647)
Melhor resultado nxn: EGFR_&_ErbB_Signaling, 513,  8, 14,  350, 1, 3, 891013, 22578.03, 0, 0.00, 1: 120; 2: 91; 3: 16; 
EGFR_&_ErbB_Signaling, 682,  9, 12,  358, 1, 3, 865743, 22578.03, 0, 0.00, 1: 109; 2: 105; 3: 13; 
EGFR_&_ErbB_Signaling,  54,  9, 12,  358, 1, 3, 865870, 22578.03, 0, 0.00, 1: 111; 2: 101; 3: 15; 
EGFR_&_ErbB_Signaling, 160,  8, 14,  358, 1, 3, 891004, 22578.03, 9, 0.00, 1: 113; 2: 97; 3: 17; 
EGFR_&_ErbB_Signaling, 163, 11, 10,  358, 1, 3, 878911, 22578.03, 0, 0.00, 1: 109; 2: 105; 3: 13; 
EGFR_&_ErbB_Signaling, 947,  7, 17,  358, 1, 3, 939900, 22578.03, 0, 0.00, 1: 109; 2: 105; 3: 13; 
EGFR_&_ErbB_Signaling, 732, 11, 10,  358, 1, 3, 879144, 22578.03, 64, 0.00, 1: 110; 2: 103; 3: 14; 
EGFR_&_ErbB_Signaling, 457,  7, 16,  358, 1, 3, 891035, 22578.03, 0, 0.00, 1: 110; 2: 103; 3: 14; 
EGFR_&_ErbB_Signaling, 624, 12,  9,  358, 1, 3, 865768, 22578.03, 28, 0.00, 1: 110; 2: 103; 3: 14; 
EGFR_&_ErbB_Signaling, 596, 11, 10,  358, 1, 3, 879052, 22578.03, 89, 0.00, 1: 110; 2: 103; 3: 14; 
EGFR_&_ErbB_Signaling, 869, 11, 10,  359, 1, 3, 879114, 22578.03, 0, 0.00, 1: 110; 2: 102; 3: 15; 
EGFR_&_ErbB_Signaling, 985,  7, 16,  359, 1, 3, 891118, 22578.03, 0, 0.00, 1: 110; 2: 102; 3: 15; 
EGFR_&_ErbB_Signaling, 311, 10, 11,  359, 1, 3, 879181, 22578.03, 0, 0.00, 1: 110; 2: 102; 3: 15; 
EGFR_&_ErbB_Signaling,  20,  7, 17,  359, 1, 3, 940689, 22578.03, 251, 0.00, 1: 108; 2: 106; 3: 13; 
EGFR_&_ErbB_Signaling, 111,  7, 17,  359, 1, 3, 940426, 22578.03, 0, 0.00, 1: 112; 2: 98; 3: 17; 
EGFR_&_ErbB_Signaling, 542,  7, 15,  359, 1, 3, 840840, 22578.03, 0, 0.00, 1: 110; 2: 102; 3: 15; 
EGFR_&_ErbB_Signaling,   5,  7, 15,  359, 1, 3, 840840, 22578.03, 127, 0.00, 1: 110; 2: 102; 3: 15; 
EGFR_&_ErbB_Signaling, 850,  9, 12,  359, 1, 3, 865869, 22578.03, 0, 0.00, 1: 106; 2: 110; 3: 11; 
EGFR_&_ErbB_Signaling, 593, 11, 10,  359, 1, 3, 879109, 22578.03, 0, 0.00, 1: 111; 2: 100; 3: 16; 
EGFR_&_ErbB_Signaling, 898,  9, 12,  359, 1, 3, 865823, 22578.03, 0, 0.00, 1: 109; 2: 104; 3: 14; 
EGFR_&_ErbB_Signaling, 842,  7, 17,  359, 1, 3, 940639, 22578.03, 0, 0.00, 1: 107; 2: 108; 3: 12; 
EGFR_&_ErbB_Signaling,  89,  7, 17,  359, 1, 3, 940543, 22578.03, 0, 0.00, 1: 110; 2: 102; 3: 15; 
EGFR_&_ErbB_Signaling, 691,  9, 12,  359, 1, 3, 865822, 22578.03, 0, 0.00, 1: 110; 2: 102; 3: 15; 
EGFR_&_ErbB_Signaling, 528,  7, 17,  359, 1, 3, 940830, 22578.03, 25, 0.00, 1: 111; 2: 100; 3: 16; 
EGFR_&_ErbB_Signaling, 802,  7, 16,  359, 1, 3, 891082, 22578.03, 0, 0.00, 1: 108; 2: 106; 3: 13; 
EGFR_&_ErbB_Signaling, 801,  8, 14,  359, 1, 3, 891147, 22578.03, 0, 0.00, 1: 110; 2: 102; 3: 15; 
EGFR_&_ErbB_Signaling, 774,  7, 16,  359, 1, 3, 890933, 22578.03, 0, 0.00, 1: 110; 2: 102; 3: 15; 
EGFR_&_ErbB_Signaling, 798, 10, 11,  359, 1, 3, 879164, 22578.03, 0, 0.00, 1: 110; 2: 102; 3: 15; 
EGFR_&_ErbB_Signaling, 470,  7, 16,  359, 1, 3, 891091, 22578.03, 0, 0.00, 1: 113; 2: 96; 3: 18; 
EGFR_&_ErbB_Signaling, 417, 11, 10,  359, 1, 3, 879077, 22578.03, 0, 0.00, 1: 115; 2: 92; 3: 20; 
EGFR_&_ErbB_Signaling, 405,  7, 17,  359, 1, 3, 940468, 22578.03, 0, 0.00, 1: 112; 2: 98; 3: 17; 
EGFR_&_ErbB_Signaling, 404,  8, 13,  359, 1, 3, 830180, 22578.03, 103, 0.00, 1: 107; 2: 108; 3: 12; 
EGFR_&_ErbB_Signaling, 401,  7, 17,  359, 1, 3, 940557, 22578.03, 0, 0.00, 1: 109; 2: 104; 3: 14; 
EGFR_&_ErbB_Signaling, 400,  7, 17,  359, 1, 3, 940781, 22578.03, 21, 0.00, 1: 106; 2: 110; 3: 11; 
EGFR_&_ErbB_Signaling, 786, 10, 11,  359, 1, 3, 879109, 22578.03, 0, 0.00, 1: 111; 2: 100; 3: 16; 
EGFR_&_ErbB_Signaling, 840,  9, 12,  359, 1, 3, 865784, 22578.03, 37, 0.00, 1: 106; 2: 110; 3: 11; 
EGFR_&_ErbB_Signaling, 489,  8, 14,  359, 1, 3, 891045, 22578.03, 0, 0.00, 1: 110; 2: 102; 3: 15; 
EGFR_&_ErbB_Signaling,  81, 10, 11,  359, 1, 3, 879006, 22578.03, 0, 0.00, 1: 113; 2: 96; 3: 18; 
EGFR_&_ErbB_Signaling, 153,  7, 16,  360, 1, 3, 891005, 22578.03, 0, 0.00, 1: 107; 2: 107; 3: 13; 
EGFR_&_ErbB_Signaling, 496,  9, 12,  360, 1, 3, 865815, 22578.03, 24, 0.00, 1: 110; 2: 101; 3: 16; 
EGFR_&_ErbB_Signaling, 939,  8, 14,  360, 1, 3, 891153, 22578.03, 0, 0.00, 1: 107; 2: 107; 3: 13; 
EGFR_&_ErbB_Signaling, 627,  8, 14,  360, 1, 3, 891101, 22578.03, 0, 0.00, 1: 107; 2: 107; 3: 13; 
EGFR_&_ErbB_Signaling, 677,  7, 17,  360, 1, 3, 940694, 22578.03, 0, 0.00, 1: 109; 2: 103; 3: 15; 
EGFR_&_ErbB_Signaling, 789, 12,  9,  360, 1, 3, 865803, 22578.03, 0, 0.00, 1: 109; 2: 103; 3: 15; 
EGFR_&_ErbB_Signaling, 635, 11, 10,  360, 1, 3, 879112, 22578.03, 0, 0.00, 1: 108; 2: 105; 3: 14; 
EGFR_&_ErbB_Signaling, 936,  9, 12,  360, 1, 3, 865799, 22578.03, 45, 0.00, 1: 107; 2: 107; 3: 13; 
EGFR_&_ErbB_Signaling, 920,  7, 16,  360, 1, 3, 891162, 22578.03, 43, 0.00, 1: 107; 2: 107; 3: 13; 
EGFR_&_ErbB_Signaling, 499,  7, 15,  360, 1, 3, 840840, 22578.03, 0, 0.00, 1: 109; 2: 103; 3: 15; 
EGFR_&_ErbB_Signaling, 509,  7, 17,  360, 1, 3, 940394, 22578.03, 0, 0.00, 1: 110; 2: 101; 3: 16; 
EGFR_&_ErbB_Signaling, 504,  8, 14,  360, 1, 3, 891055, 22578.03, 24, 0.00, 1: 108; 2: 105; 3: 14; 
EGFR_&_ErbB_Signaling, 721, 10, 11,  360, 1, 3, 878928, 22578.03, 0, 0.00, 1: 110; 2: 101; 3: 16; 
EGFR_&_ErbB_Signaling, 166, 12,  9,  360, 1, 3, 865781, 22578.03, 0, 0.00, 1: 109; 2: 103; 3: 15; 
EGFR_&_ErbB_Signaling, 753,  6, 19,  360, 1, 3, 908124, 22578.03, 0, 0.00, 1: 113; 2: 95; 3: 19; 
EGFR_&_ErbB_Signaling, 843,  7, 17,  360, 1, 3, 940711, 22578.03, 0, 0.00, 1: 108; 2: 105; 3: 14; 
EGFR_&_ErbB_Signaling, 373,  7, 17,  360, 1, 3, 940706, 22578.03, 0, 0.00, 1: 109; 2: 103; 3: 15; 
EGFR_&_ErbB_Signaling, 835,  7, 17,  360, 1, 3, 940684, 22578.03, 0, 0.00, 1: 104; 2: 113; 3: 10; 
EGFR_&_ErbB_Signaling, 532,  7, 17,  360, 1, 3, 940367, 22578.03, 27, 0.00, 1: 113; 2: 95; 3: 19; 
EGFR_&_ErbB_Signaling, 538, 11, 10,  360, 1, 3, 879013, 22578.03, 0, 0.00, 1: 107; 2: 107; 3: 13; 
EGFR_&_ErbB_Signaling, 329,  9, 12,  360, 1, 3, 865901, 22578.03, 0, 0.00, 1: 104; 2: 113; 3: 10; 
EGFR_&_ErbB_Signaling, 772,  8, 14,  360, 1, 3, 891057, 22578.03, 88, 0.00, 1: 110; 2: 101; 3: 16; 
EGFR_&_ErbB_Signaling, 321,  7, 16,  360, 1, 3, 891041, 22578.03, 0, 0.00, 1: 110; 2: 101; 3: 16; 
EGFR_&_ErbB_Signaling, 515,  9, 12,  360, 1, 3, 865678, 22578.03, 0, 0.00, 1: 110; 2: 101; 3: 16; 
EGFR_&_ErbB_Signaling, 562,  7, 17,  360, 1, 3, 940847, 22578.03, 0, 0.00, 1: 108; 2: 105; 3: 14; 
EGFR_&_ErbB_Signaling, 897,  7, 16,  360, 1, 3, 890885, 22578.03, 0, 0.00, 1: 111; 2: 99; 3: 17; 
EGFR_&_ErbB_Signaling, 888,  8, 13,  360, 1, 3, 830180, 22578.03, 41, 0.00, 1: 109; 2: 103; 3: 15; 
EGFR_&_ErbB_Signaling, 257,  7, 16,  360, 1, 3, 891061, 22578.03, 0, 0.00, 1: 108; 2: 105; 3: 14; 
EGFR_&_ErbB_Signaling, 704,  9, 12,  360, 1, 3, 865788, 22578.03, 31, 0.00, 1: 104; 2: 113; 3: 10; 
EGFR_&_ErbB_Signaling, 424,  7, 17,  360, 1, 3, 940399, 22578.03, 21, 0.00, 1: 112; 2: 97; 3: 18; 
EGFR_&_ErbB_Signaling, 583,  7, 17,  360, 1, 3, 940099, 22578.03, 0, 0.00, 1: 108; 2: 105; 3: 14; 
EGFR_&_ErbB_Signaling, 592,  9, 12,  360, 1, 3, 865890, 22578.03, 27, 0.00, 1: 105; 2: 111; 3: 11; 
EGFR_&_ErbB_Signaling, 429,  9, 12,  360, 1, 3, 865766, 22578.03, 0, 0.00, 1: 110; 2: 101; 3: 16; 
EGFR_&_ErbB_Signaling, 512,  7, 17,  360, 1, 3, 940843, 22578.03, 24, 0.00, 1: 108; 2: 105; 3: 14; 
EGFR_&_ErbB_Signaling, 240,  8, 14,  360, 1, 3, 891300, 22578.03, 16, 0.00, 1: 108; 2: 105; 3: 14; 
EGFR_&_ErbB_Signaling, 803,  9, 12,  360, 1, 3, 865801, 22578.03, 0, 0.00, 1: 107; 2: 107; 3: 13; 
EGFR_&_ErbB_Signaling,  22, 10, 11,  360, 1, 3, 879038, 22578.03, 0, 0.00, 1: 109; 2: 103; 3: 15; 
EGFR_&_ErbB_Signaling,  72, 12,  9,  360, 1, 3, 865719, 22578.03, 6, 0.00, 1: 108; 2: 105; 3: 14; 
EGFR_&_ErbB_Signaling,  18, 10, 11,  360, 1, 3, 879104, 22578.03, 52, 0.00, 1: 109; 2: 103; 3: 15; 
EGFR_&_ErbB_Signaling,  83, 12,  9,  360, 1, 3, 865773, 22578.03, 0, 0.00, 1: 108; 2: 105; 3: 14; 
EGFR_&_ErbB_Signaling, 953, 11, 10,  360, 1, 3, 879096, 22578.03, 0, 0.00, 1: 110; 2: 101; 3: 16; 
EGFR_&_ErbB_Signaling, 138,  7, 17,  360, 1, 3, 940620, 22578.03, 0, 0.00, 1: 110; 2: 101; 3: 16; 
EGFR_&_ErbB_Signaling,  51,  8, 14,  360, 1, 3, 891001, 22578.03, 0, 0.00, 1: 108; 2: 105; 3: 14; 
EGFR_&_ErbB_Signaling, 127, 12,  9,  360, 1, 3, 865751, 22578.03, 0, 0.00, 1: 114; 2: 93; 3: 20; 
EGFR_&_ErbB_Signaling, 135,  7, 15,  360, 1, 3, 840840, 22578.03, 0, 0.00, 1: 107; 2: 107; 3: 13; 
EGFR_&_ErbB_Signaling, 761, 12,  9,  361, 1, 3, 865774, 22578.03, 0, 0.00, 1: 110; 2: 100; 3: 17; 
EGFR_&_ErbB_Signaling, 958,  7, 15,  361, 1, 3, 840840, 22578.03, 0, 0.00, 1: 105; 2: 110; 3: 12; 
EGFR_&_ErbB_Signaling, 125,  7, 17,  361, 1, 3, 940423, 22578.03, 0, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 441, 11, 10,  361, 1, 3, 878938, 22578.03, 0, 0.00, 1: 110; 2: 100; 3: 17; 
EGFR_&_ErbB_Signaling, 996,  8, 14,  361, 1, 3, 891019, 22578.03, 62, 0.00, 1: 106; 2: 108; 3: 13; 
EGFR_&_ErbB_Signaling, 800,  7, 15,  361, 1, 3, 840840, 22578.03, 35, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 454,  6, 19,  361, 1, 3, 908288, 22578.03, 0, 0.00, 1: 113; 2: 94; 3: 20; 
EGFR_&_ErbB_Signaling, 965,  8, 13,  361, 1, 3, 830180, 22578.03, 0, 0.00, 1: 111; 2: 98; 3: 18; 
EGFR_&_ErbB_Signaling, 744,  9, 12,  361, 1, 3, 865775, 22578.03, 32, 0.00, 1: 106; 2: 108; 3: 13; 
EGFR_&_ErbB_Signaling, 462, 12,  9,  361, 1, 3, 865792, 22578.03, 0, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 795,  9, 12,  361, 1, 3, 865671, 22578.03, 0, 0.00, 1: 105; 2: 110; 3: 12; 
EGFR_&_ErbB_Signaling, 739, 12,  9,  361, 1, 3, 865675, 22578.03, 0, 0.00, 1: 105; 2: 110; 3: 12; 
EGFR_&_ErbB_Signaling, 857,  8, 13,  361, 1, 3, 830180, 22578.03, 0, 0.00, 1: 115; 2: 90; 3: 22; 
EGFR_&_ErbB_Signaling, 184, 12,  9,  361, 1, 3, 865744, 22578.03, 14, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 748, 10, 11,  361, 1, 3, 878813, 22578.03, 66, 0.00, 1: 111; 2: 98; 3: 18; 
EGFR_&_ErbB_Signaling, 258,  7, 16,  361, 1, 3, 891182, 22578.03, 0, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 381,  8, 14,  361, 1, 3, 891060, 22578.03, 0, 0.00, 1: 112; 2: 96; 3: 19; 
EGFR_&_ErbB_Signaling, 951,  6, 19,  361, 1, 3, 908261, 22578.03, 0, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 262, 12,  9,  361, 1, 3, 865865, 22578.03, 0, 0.00, 1: 106; 2: 108; 3: 13; 
EGFR_&_ErbB_Signaling, 267, 11, 10,  361, 1, 3, 879173, 22578.03, 0, 0.00, 1: 105; 2: 110; 3: 12; 
EGFR_&_ErbB_Signaling, 117, 12,  9,  361, 1, 3, 865799, 22578.03, 0, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 118,  7, 17,  361, 1, 3, 940557, 22578.03, 0, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 754,  7, 17,  361, 1, 3, 940458, 22578.03, 0, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 806,  9, 12,  361, 1, 3, 865851, 22578.03, 0, 0.00, 1: 110; 2: 100; 3: 17; 
EGFR_&_ErbB_Signaling, 630,  8, 14,  361, 1, 3, 891162, 22578.03, 0, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling,  85,  6, 19,  361, 1, 3, 908064, 22578.03, 0, 0.00, 1: 113; 2: 94; 3: 20; 
EGFR_&_ErbB_Signaling, 813, 10, 11,  361, 1, 3, 879039, 22578.03, 0, 0.00, 1: 109; 2: 102; 3: 16; 
EGFR_&_ErbB_Signaling, 416,  8, 14,  361, 1, 3, 891262, 22578.03, 21, 0.00, 1: 111; 2: 98; 3: 18; 
EGFR_&_ErbB_Signaling, 712,  7, 15,  361, 1, 3, 840840, 22578.03, 31, 0.00, 1: 110; 2: 100; 3: 17; 
EGFR_&_ErbB_Signaling, 316,  7, 17,  361, 1, 3, 940823, 22578.03, 26, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 221, 11, 10,  361, 1, 3, 878959, 22578.03, 0, 0.00, 1: 109; 2: 102; 3: 16; 
EGFR_&_ErbB_Signaling, 779,  6, 20,  361, 1, 3, 947675, 22578.03, 0, 0.00, 1: 107; 2: 106; 3: 14; 
EGFR_&_ErbB_Signaling, 524,  8, 14,  361, 1, 3, 891167, 22578.03, 29, 0.00, 1: 106; 2: 108; 3: 13; 
EGFR_&_ErbB_Signaling, 968,  6, 19,  361, 1, 3, 908125, 22578.03, 47, 0.00, 1: 111; 2: 98; 3: 18; 
EGFR_&_ErbB_Signaling, 132,  7, 17,  361, 1, 3, 940522, 22578.03, 22, 0.00, 1: 106; 2: 108; 3: 13; 
EGFR_&_ErbB_Signaling, 679,  8, 14,  361, 1, 3, 891097, 22578.03, 0, 0.00, 1: 110; 2: 100; 3: 17; 
EGFR_&_ErbB_Signaling, 867,  7, 17,  361, 1, 3, 940643, 22578.03, 0, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 658, 11, 10,  361, 1, 3, 879043, 22578.03, 0, 0.00, 1: 108; 2: 104; 3: 15; 
EGFR_&_ErbB_Signaling, 720,  8, 14,  361, 1, 3, 891310, 22578.03, 32, 0.00, 1: 106; 2: 108; 3: 13; 
