Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
3(792)
Melhor resultado nxn: EGFR_&_ErbB_Signaling, 901,  8, 14,  336, 1, 3, 891074, 21421.00, 0, 0.00, 1: 130; 2: 85; 3: 12; 
EGFR_&_ErbB_Signaling, 663,  7, 17,  341, 1, 3, 940376, 21421.00, 0, 0.00, 1: 128; 2: 84; 3: 15; 
EGFR_&_ErbB_Signaling, 695,  7, 16,  341, 1, 3, 890977, 21421.00, 0, 0.00, 1: 126; 2: 88; 3: 13; 
EGFR_&_ErbB_Signaling,  43,  8, 14,  341, 1, 3, 891067, 21421.00, 0, 0.00, 1: 126; 2: 88; 3: 13; 
EGFR_&_ErbB_Signaling, 696,  8, 14,  341, 1, 3, 891133, 21421.00, 31, 0.00, 1: 121; 2: 98; 3: 8; 
EGFR_&_ErbB_Signaling, 791,  9, 12,  341, 1, 3, 865787, 21421.00, 0, 0.00, 1: 128; 2: 84; 3: 15; 
EGFR_&_ErbB_Signaling, 246,  7, 16,  341, 1, 3, 891197, 21421.00, 0, 0.00, 1: 122; 2: 96; 3: 9; 
EGFR_&_ErbB_Signaling, 300, 12,  9,  341, 1, 3, 865826, 21421.00, 22, 0.00, 1: 126; 2: 88; 3: 13; 
EGFR_&_ErbB_Signaling, 279,  9, 12,  341, 1, 3, 865811, 21421.00, 0, 0.00, 1: 123; 2: 94; 3: 10; 
EGFR_&_ErbB_Signaling, 307,  7, 17,  341, 1, 3, 940584, 21421.00, 0, 0.00, 1: 124; 2: 92; 3: 11; 
EGFR_&_ErbB_Signaling, 271,  7, 17,  341, 1, 3, 940571, 21421.00, 0, 0.00, 1: 124; 2: 92; 3: 11; 
EGFR_&_ErbB_Signaling, 205,  7, 16,  341, 1, 3, 890868, 21421.00, 0, 0.00, 1: 123; 2: 94; 3: 10; 
EGFR_&_ErbB_Signaling, 410,  8, 14,  341, 1, 3, 891041, 21421.00, 0, 0.00, 1: 126; 2: 88; 3: 13; 
EGFR_&_ErbB_Signaling, 480,  7, 17,  341, 1, 3, 940803, 21421.00, 23, 0.00, 1: 125; 2: 90; 3: 12; 
EGFR_&_ErbB_Signaling, 412,  7, 17,  341, 1, 3, 940482, 21421.00, 100, 0.00, 1: 125; 2: 90; 3: 12; 
EGFR_&_ErbB_Signaling, 421,  7, 17,  341, 1, 3, 940506, 21421.00, 0, 0.00, 1: 122; 2: 96; 3: 9; 
EGFR_&_ErbB_Signaling, 434,  7, 16,  341, 1, 3, 891092, 21421.00, 0, 0.00, 1: 124; 2: 92; 3: 11; 
EGFR_&_ErbB_Signaling, 438,  7, 17,  341, 1, 3, 940374, 21421.00, 0, 0.00, 1: 124; 2: 92; 3: 11; 
EGFR_&_ErbB_Signaling,  24, 12,  9,  341, 1, 3, 865747, 21421.00, 64, 0.00, 1: 126; 2: 88; 3: 13; 
EGFR_&_ErbB_Signaling, 123, 11, 10,  342, 1, 3, 879094, 21421.00, 0, 0.00, 1: 124; 2: 91; 3: 12; 
EGFR_&_ErbB_Signaling, 748, 10, 11,  342, 1, 3, 879082, 21421.00, 66, 0.00, 1: 126; 2: 87; 3: 14; 
EGFR_&_ErbB_Signaling, 708,  7, 16,  342, 1, 3, 890550, 21421.00, 89, 0.00, 1: 123; 2: 93; 3: 11; 
EGFR_&_ErbB_Signaling, 705,  7, 16,  342, 1, 3, 891141, 21421.00, 0, 0.00, 1: 122; 2: 95; 3: 10; 
EGFR_&_ErbB_Signaling, 233,  8, 13,  342, 1, 3, 830180, 21421.00, 0, 0.00, 1: 124; 2: 91; 3: 12; 
EGFR_&_ErbB_Signaling, 221, 11, 10,  342, 1, 3, 879083, 21421.00, 0, 0.00, 1: 120; 2: 99; 3: 8; 
EGFR_&_ErbB_Signaling, 599,  7, 17,  342, 1, 3, 940511, 21421.00, 0, 0.00, 1: 125; 2: 89; 3: 13; 
EGFR_&_ErbB_Signaling, 215,  8, 14,  342, 1, 3, 890913, 21421.00, 0, 0.00, 1: 125; 2: 89; 3: 13; 
EGFR_&_ErbB_Signaling, 594,  9, 12,  342, 1, 3, 865779, 21421.00, 0, 0.00, 1: 122; 2: 95; 3: 10; 
EGFR_&_ErbB_Signaling, 318,  7, 17,  342, 1, 3, 940319, 21421.00, 0, 0.00, 1: 121; 2: 97; 3: 9; 
EGFR_&_ErbB_Signaling, 395,  7, 16,  342, 1, 3, 891094, 21421.00, 0, 0.00, 1: 126; 2: 87; 3: 14; 
EGFR_&_ErbB_Signaling, 568,  7, 16,  342, 1, 3, 891031, 21421.00, 26, 0.00, 1: 121; 2: 97; 3: 9; 
EGFR_&_ErbB_Signaling, 860,  8, 13,  342, 1, 3, 830180, 21421.00, 8, 0.00, 1: 123; 2: 93; 3: 11; 
EGFR_&_ErbB_Signaling, 845,  9, 12,  342, 1, 3, 865815, 21421.00, 0, 0.00, 1: 124; 2: 91; 3: 12; 
EGFR_&_ErbB_Signaling, 972,  7, 16,  342, 1, 3, 891118, 21421.00, 40, 0.00, 1: 122; 2: 95; 3: 10; 
EGFR_&_ErbB_Signaling,  10,  7, 17,  342, 1, 3, 940556, 21421.00, 211, 0.00, 1: 123; 2: 93; 3: 11; 
EGFR_&_ErbB_Signaling, 939,  8, 14,  342, 1, 3, 891207, 21421.00, 0, 0.00, 1: 121; 2: 97; 3: 9; 
EGFR_&_ErbB_Signaling, 443,  9, 12,  343, 1, 3, 865797, 21421.00, 0, 0.00, 1: 123; 2: 92; 3: 12; 
EGFR_&_ErbB_Signaling, 506,  7, 16,  343, 1, 3, 890904, 21421.00, 0, 0.00, 1: 122; 2: 94; 3: 11; 
EGFR_&_ErbB_Signaling, 598,  8, 14,  343, 1, 3, 891091, 21421.00, 0, 0.00, 1: 124; 2: 90; 3: 13; 
EGFR_&_ErbB_Signaling, 498,  9, 12,  343, 1, 3, 865823, 21421.00, 0, 0.00, 1: 120; 2: 98; 3: 9; 
EGFR_&_ErbB_Signaling, 758,  6, 19,  343, 1, 3, 908430, 21421.00, 0, 0.00, 1: 122; 2: 94; 3: 11; 
EGFR_&_ErbB_Signaling, 493,  9, 12,  343, 1, 3, 865732, 21421.00, 0, 0.00, 1: 121; 2: 96; 3: 10; 
EGFR_&_ErbB_Signaling, 750, 12,  9,  343, 1, 3, 865785, 21421.00, 0, 0.00, 1: 117; 2: 104; 3: 6; 
EGFR_&_ErbB_Signaling, 483,  8, 14,  343, 1, 3, 891189, 21421.00, 0, 0.00, 1: 120; 2: 98; 3: 9; 
EGFR_&_ErbB_Signaling, 841,  9, 12,  343, 1, 3, 865763, 21421.00, 0, 0.00, 1: 124; 2: 90; 3: 13; 
EGFR_&_ErbB_Signaling, 661,  7, 16,  343, 1, 3, 891199, 21421.00, 0, 0.00, 1: 122; 2: 94; 3: 11; 
EGFR_&_ErbB_Signaling,  89,  7, 17,  343, 1, 3, 940572, 21421.00, 0, 0.00, 1: 124; 2: 90; 3: 13; 
EGFR_&_ErbB_Signaling, 110,  7, 16,  343, 1, 3, 890980, 21421.00, 0, 0.00, 1: 122; 2: 94; 3: 11; 
EGFR_&_ErbB_Signaling, 717,  8, 14,  343, 1, 3, 890881, 21421.00, 0, 0.00, 1: 121; 2: 96; 3: 10; 
EGFR_&_ErbB_Signaling, 193, 12,  9,  343, 1, 3, 865809, 21421.00, 0, 0.00, 1: 126; 2: 86; 3: 15; 
EGFR_&_ErbB_Signaling, 384,  8, 14,  343, 1, 3, 891057, 21421.00, 21, 0.00, 1: 121; 2: 96; 3: 10; 
EGFR_&_ErbB_Signaling, 352,  8, 14,  343, 1, 3, 890965, 21421.00, 20, 0.00, 1: 123; 2: 92; 3: 12; 
EGFR_&_ErbB_Signaling, 202,  9, 12,  343, 1, 3, 865737, 21421.00, 0, 0.00, 1: 122; 2: 94; 3: 11; 
EGFR_&_ErbB_Signaling, 134,  7, 17,  343, 1, 3, 940667, 21421.00, 0, 0.00, 1: 121; 2: 96; 3: 10; 
EGFR_&_ErbB_Signaling, 579,  7, 16,  343, 1, 3, 891163, 21421.00, 0, 0.00, 1: 118; 2: 102; 3: 7; 
EGFR_&_ErbB_Signaling, 562,  7, 17,  343, 1, 3, 940678, 21421.00, 0, 0.00, 1: 119; 2: 100; 3: 8; 
EGFR_&_ErbB_Signaling, 581,  7, 16,  343, 1, 3, 891240, 21421.00, 0, 0.00, 1: 122; 2: 94; 3: 11; 
EGFR_&_ErbB_Signaling, 561, 12,  9,  343, 1, 3, 865847, 21421.00, 0, 0.00, 1: 118; 2: 102; 3: 7; 
EGFR_&_ErbB_Signaling,  58,  8, 14,  343, 1, 3, 891112, 21421.00, 0, 0.00, 1: 126; 2: 86; 3: 15; 
EGFR_&_ErbB_Signaling,  59, 11, 10,  343, 1, 3, 879192, 21421.00, 0, 0.00, 1: 118; 2: 102; 3: 7; 
EGFR_&_ErbB_Signaling, 273,  7, 16,  343, 1, 3, 891184, 21421.00, 0, 0.00, 1: 119; 2: 100; 3: 8; 
EGFR_&_ErbB_Signaling,  51,  8, 14,  343, 1, 3, 891170, 21421.00, 0, 0.00, 1: 127; 2: 84; 3: 16; 
EGFR_&_ErbB_Signaling, 533,  7, 16,  343, 1, 3, 891196, 21421.00, 0, 0.00, 1: 122; 2: 94; 3: 11; 
EGFR_&_ErbB_Signaling,  64,  7, 16,  343, 1, 3, 890930, 21421.00, 6, 0.00, 1: 125; 2: 88; 3: 14; 
EGFR_&_ErbB_Signaling, 132,  7, 17,  343, 1, 3, 940633, 21421.00, 22, 0.00, 1: 126; 2: 86; 3: 15; 
EGFR_&_ErbB_Signaling, 877,  9, 12,  343, 1, 3, 865793, 21421.00, 0, 0.00, 1: 123; 2: 92; 3: 12; 
EGFR_&_ErbB_Signaling, 798, 10, 11,  343, 1, 3, 879100, 21421.00, 0, 0.00, 1: 121; 2: 96; 3: 10; 
EGFR_&_ErbB_Signaling, 989,  7, 16,  343, 1, 3, 891074, 21421.00, 0, 0.00, 1: 125; 2: 88; 3: 14; 
EGFR_&_ErbB_Signaling, 795,  9, 12,  343, 1, 3, 865735, 21421.00, 0, 0.00, 1: 120; 2: 98; 3: 9; 
EGFR_&_ErbB_Signaling, 825,  8, 14,  343, 1, 3, 891051, 21421.00, 0, 0.00, 1: 120; 2: 98; 3: 9; 
EGFR_&_ErbB_Signaling, 783, 12,  9,  343, 1, 3, 865786, 21421.00, 0, 0.00, 1: 124; 2: 90; 3: 13; 
EGFR_&_ErbB_Signaling, 999,  7, 16,  344, 1, 3, 890974, 21421.00, 0, 0.00, 1: 119; 2: 99; 3: 9; 
EGFR_&_ErbB_Signaling, 572,  8, 14,  344, 1, 3, 891023, 21421.00, 71, 0.00, 1: 119; 2: 99; 3: 9; 
EGFR_&_ErbB_Signaling, 689,  7, 17,  344, 1, 3, 940712, 21421.00, 0, 0.00, 1: 124; 2: 89; 3: 14; 
EGFR_&_ErbB_Signaling, 381,  8, 14,  344, 1, 3, 890987, 21421.00, 0, 0.00, 1: 119; 2: 99; 3: 9; 
EGFR_&_ErbB_Signaling, 393,  7, 16,  344, 1, 3, 891112, 21421.00, 0, 0.00, 1: 119; 2: 99; 3: 9; 
EGFR_&_ErbB_Signaling, 644,  7, 15,  344, 1, 3, 840840, 21421.00, 71, 0.00, 1: 122; 2: 93; 3: 12; 
EGFR_&_ErbB_Signaling, 637,  7, 17,  344, 1, 3, 940681, 21421.00, 0, 0.00, 1: 122; 2: 93; 3: 12; 
EGFR_&_ErbB_Signaling, 492, 10, 11,  344, 1, 3, 879080, 21421.00, 35, 0.00, 1: 125; 2: 87; 3: 15; 
EGFR_&_ErbB_Signaling, 160,  8, 14,  344, 1, 3, 890941, 21421.00, 9, 0.00, 1: 120; 2: 97; 3: 10; 
EGFR_&_ErbB_Signaling, 524,  8, 14,  344, 1, 3, 891103, 21421.00, 29, 0.00, 1: 117; 2: 103; 3: 7; 
EGFR_&_ErbB_Signaling, 701,  9, 12,  344, 1, 3, 865769, 21421.00, 0, 0.00, 1: 121; 2: 95; 3: 11; 
EGFR_&_ErbB_Signaling, 252,  7, 17,  344, 1, 3, 940417, 21421.00, 22, 0.00, 1: 124; 2: 89; 3: 14; 
EGFR_&_ErbB_Signaling, 267, 11, 10,  344, 1, 3, 879147, 21421.00, 0, 0.00, 1: 120; 2: 97; 3: 10; 
EGFR_&_ErbB_Signaling, 235,  6, 20,  344, 1, 3, 947813, 21421.00, 0, 0.00, 1: 121; 2: 95; 3: 11; 
EGFR_&_ErbB_Signaling, 824,  8, 14,  344, 1, 3, 890894, 21421.00, 36, 0.00, 1: 123; 2: 91; 3: 13; 
EGFR_&_ErbB_Signaling, 801,  8, 14,  344, 1, 3, 891209, 21421.00, 0, 0.00, 1: 118; 2: 101; 3: 8; 
EGFR_&_ErbB_Signaling, 283, 12,  9,  344, 1, 3, 865763, 21421.00, 0, 0.00, 1: 123; 2: 91; 3: 13; 
EGFR_&_ErbB_Signaling, 285, 11, 10,  344, 1, 3, 878890, 21421.00, 0, 0.00, 1: 121; 2: 95; 3: 11; 
EGFR_&_ErbB_Signaling, 773,  8, 14,  344, 1, 3, 890903, 21421.00, 0, 0.00, 1: 119; 2: 99; 3: 9; 
EGFR_&_ErbB_Signaling, 228,  9, 12,  344, 1, 3, 865753, 21421.00, 27, 0.00, 1: 118; 2: 101; 3: 8; 
EGFR_&_ErbB_Signaling, 287,  7, 17,  344, 1, 3, 940820, 21421.00, 0, 0.00, 1: 123; 2: 91; 3: 13; 
EGFR_&_ErbB_Signaling,  79,  8, 14,  344, 1, 3, 891259, 21421.00, 0, 0.00, 1: 124; 2: 89; 3: 14; 
EGFR_&_ErbB_Signaling, 222,  8, 14,  344, 1, 3, 891062, 21421.00, 0, 0.00, 1: 121; 2: 95; 3: 11; 
EGFR_&_ErbB_Signaling, 827,  9, 12,  344, 1, 3, 865822, 21421.00, 0, 0.00, 1: 124; 2: 89; 3: 14; 
EGFR_&_ErbB_Signaling, 741,  6, 19,  344, 1, 3, 908435, 21421.00, 0, 0.00, 1: 124; 2: 89; 3: 14; 
EGFR_&_ErbB_Signaling, 740,  9, 12,  344, 1, 3, 865748, 21421.00, 10, 0.00, 1: 121; 2: 95; 3: 11; 
EGFR_&_ErbB_Signaling, 739, 12,  9,  344, 1, 3, 865798, 21421.00, 0, 0.00, 1: 122; 2: 93; 3: 12; 
EGFR_&_ErbB_Signaling, 962,  9, 12,  344, 1, 3, 865847, 21421.00, 0, 0.00, 1: 121; 2: 95; 3: 11; 
EGFR_&_ErbB_Signaling, 958,  7, 15,  344, 1, 3, 840840, 21421.00, 0, 0.00, 1: 122; 2: 93; 3: 12; 
EGFR_&_ErbB_Signaling, 885, 12,  9,  345, 1, 3, 865862, 21421.00, 0, 0.00, 1: 118; 2: 100; 3: 9; 
EGFR_&_ErbB_Signaling, 424,  7, 17,  345, 1, 3, 940596, 21421.00, 21, 0.00, 1: 122; 2: 92; 3: 13; 
EGFR_&_ErbB_Signaling, 554,  7, 15,  345, 1, 3, 840840, 21421.00, 0, 0.00, 1: 122; 2: 92; 3: 13; 
EGFR_&_ErbB_Signaling, 251,  8, 13,  345, 1, 3, 830180, 21421.00, 0, 0.00, 1: 122; 2: 92; 3: 13; 
EGFR_&_ErbB_Signaling, 367,  7, 16,  345, 1, 3, 890989, 21421.00, 0, 0.00, 1: 117; 2: 102; 3: 8; 
EGFR_&_ErbB_Signaling, 258,  7, 16,  345, 1, 3, 890987, 21421.00, 0, 0.00, 1: 122; 2: 92; 3: 13; 
EGFR_&_ErbB_Signaling, 365, 11, 10,  345, 1, 3, 879088, 21421.00, 0, 0.00, 1: 120; 2: 96; 3: 11; 
EGFR_&_ErbB_Signaling,   3,  7, 17,  345, 1, 3, 940528, 21421.00, 24, 0.00, 1: 117; 2: 102; 3: 8; 
EGFR_&_ErbB_Signaling, 321,  7, 16,  345, 1, 3, 891022, 21421.00, 0, 0.00, 1: 120; 2: 96; 3: 11; 
EGFR_&_ErbB_Signaling, 549, 10, 11,  345, 1, 3, 879067, 21421.00, 0, 0.00, 1: 122; 2: 92; 3: 13; 
EGFR_&_ErbB_Signaling, 990,  8, 14,  345, 1, 3, 891212, 21421.00, 0, 0.00, 1: 118; 2: 100; 3: 9; 
EGFR_&_ErbB_Signaling, 316,  7, 17,  345, 1, 3, 940736, 21421.00, 26, 0.00, 1: 122; 2: 92; 3: 13; 
EGFR_&_ErbB_Signaling, 985,  7, 16,  345, 1, 3, 891182, 21421.00, 0, 0.00, 1: 124; 2: 88; 3: 15; 
EGFR_&_ErbB_Signaling, 388,  7, 16,  345, 1, 3, 890880, 21421.00, 9, 0.00, 1: 120; 2: 96; 3: 11; 
EGFR_&_ErbB_Signaling, 284,  7, 17,  345, 1, 3, 940573, 21421.00, 24, 0.00, 1: 121; 2: 94; 3: 12; 
EGFR_&_ErbB_Signaling, 190,  8, 14,  345, 1, 3, 891081, 21421.00, 0, 0.00, 1: 120; 2: 96; 3: 11; 
EGFR_&_ErbB_Signaling, 313, 10, 11,  345, 1, 3, 879079, 21421.00, 0, 0.00, 1: 121; 2: 94; 3: 12; 
EGFR_&_ErbB_Signaling, 167,  7, 17,  345, 1, 3, 940607, 21421.00, 0, 0.00, 1: 123; 2: 90; 3: 14; 
EGFR_&_ErbB_Signaling,  18, 10, 11,  345, 1, 3, 878981, 21421.00, 92, 0.00, 1: 119; 2: 98; 3: 10; 
EGFR_&_ErbB_Signaling, 217,  7, 17,  345, 1, 3, 940680, 21421.00, 0, 0.00, 1: 119; 2: 98; 3: 10; 
EGFR_&_ErbB_Signaling, 219, 10, 11,  345, 1, 3, 879077, 21421.00, 0, 0.00, 1: 124; 2: 88; 3: 15; 
EGFR_&_ErbB_Signaling, 478,  7, 17,  345, 1, 3, 940587, 21421.00, 0, 0.00, 1: 122; 2: 92; 3: 13; 
EGFR_&_ErbB_Signaling, 466, 10, 11,  345, 1, 3, 879171, 21421.00, 0, 0.00, 1: 119; 2: 98; 3: 10; 
EGFR_&_ErbB_Signaling, 464,  7, 15,  345, 1, 3, 840840, 21421.00, 22, 0.00, 1: 121; 2: 94; 3: 12; 
EGFR_&_ErbB_Signaling, 822,  9, 12,  345, 1, 3, 865873, 21421.00, 0, 0.00, 1: 120; 2: 96; 3: 11; 
EGFR_&_ErbB_Signaling, 108,  7, 15,  345, 1, 3, 840840, 21421.00, 31, 0.00, 1: 124; 2: 88; 3: 15; 
EGFR_&_ErbB_Signaling, 679,  8, 14,  345, 1, 3, 891257, 21421.00, 0, 0.00, 1: 118; 2: 100; 3: 9; 
EGFR_&_ErbB_Signaling, 839, 11, 10,  345, 1, 3, 879038, 21421.00, 0, 0.00, 1: 121; 2: 94; 3: 12; 
EGFR_&_ErbB_Signaling, 703,  6, 20,  345, 1, 3, 947747, 21421.00, 0, 0.00, 1: 124; 2: 88; 3: 15; 
EGFR_&_ErbB_Signaling, 118,  7, 17,  345, 1, 3, 940553, 21421.00, 0, 0.00, 1: 122; 2: 92; 3: 13; 
EGFR_&_ErbB_Signaling, 627,  8, 14,  345, 1, 3, 891090, 21421.00, 0, 0.00, 1: 121; 2: 94; 3: 12; 
EGFR_&_ErbB_Signaling,  45,  7, 16,  345, 1, 3, 891016, 21421.00, 0, 0.00, 1: 118; 2: 100; 3: 9; 
EGFR_&_ErbB_Signaling, 835,  7, 17,  345, 1, 3, 940247, 21421.00, 0, 0.00, 1: 120; 2: 96; 3: 11; 
EGFR_&_ErbB_Signaling, 720,  8, 14,  345, 1, 3, 891047, 21421.00, 32, 0.00, 1: 124; 2: 88; 3: 15; 
EGFR_&_ErbB_Signaling, 723, 12,  9,  345, 1, 3, 865607, 21421.00, 0, 0.00, 1: 115; 2: 106; 3: 6; 
EGFR_&_ErbB_Signaling, 733, 11, 10,  345, 1, 3, 879072, 21421.00, 0, 0.00, 1: 123; 2: 90; 3: 14; 
EGFR_&_ErbB_Signaling, 752,  8, 13,  345, 1, 3, 830180, 21421.00, 32, 0.00, 1: 120; 2: 96; 3: 11; 
EGFR_&_ErbB_Signaling, 761, 12,  9,  345, 1, 3, 865681, 21421.00, 0, 0.00, 1: 118; 2: 100; 3: 9; 
EGFR_&_ErbB_Signaling, 861,  9, 12,  345, 1, 3, 865627, 21421.00, 0, 0.00, 1: 120; 2: 96; 3: 11; 
EGFR_&_ErbB_Signaling, 808,  7, 16,  345, 1, 3, 891191, 21421.00, 35, 0.00, 1: 121; 2: 94; 3: 12; 
EGFR_&_ErbB_Signaling, 803,  9, 12,  345, 1, 3, 865733, 21421.00, 0, 0.00, 1: 120; 2: 96; 3: 11; 
EGFR_&_ErbB_Signaling,  61, 11, 10,  345, 1, 3, 879023, 21421.00, 0, 0.00, 1: 122; 2: 92; 3: 13; 
EGFR_&_ErbB_Signaling, 274,  6, 19,  346, 1, 3, 908224, 21421.00, 0, 0.00, 1: 123; 2: 89; 3: 15; 
EGFR_&_ErbB_Signaling, 691,  9, 12,  346, 1, 3, 865747, 21421.00, 0, 0.00, 1: 120; 2: 95; 3: 12; 
EGFR_&_ErbB_Signaling, 387, 10, 11,  346, 1, 3, 879015, 21421.00, 0, 0.00, 1: 118; 2: 99; 3: 10; 
EGFR_&_ErbB_Signaling, 816, 11, 10,  346, 1, 3, 878985, 21421.00, 35, 0.00, 1: 120; 2: 95; 3: 12; 
EGFR_&_ErbB_Signaling, 681,  7, 17,  346, 1, 3, 940291, 21421.00, 0, 0.00, 1: 117; 2: 101; 3: 9; 
EGFR_&_ErbB_Signaling, 814,  7, 16,  346, 1, 3, 891082, 21421.00, 0, 0.00, 1: 118; 2: 99; 3: 10; 
EGFR_&_ErbB_Signaling, 257,  7, 16,  346, 1, 3, 891187, 21421.00, 0, 0.00, 1: 118; 2: 99; 3: 10; 
EGFR_&_ErbB_Signaling, 811,  9, 12,  346, 1, 3, 865703, 21421.00, 0, 0.00, 1: 119; 2: 97; 3: 11; 
EGFR_&_ErbB_Signaling, 355,  7, 16,  346, 1, 3, 890893, 21421.00, 0, 0.00, 1: 118; 2: 99; 3: 10; 
EGFR_&_ErbB_Signaling,  57,  8, 14,  346, 1, 3, 890975, 21421.00, 0, 0.00, 1: 120; 2: 95; 3: 12; 
EGFR_&_ErbB_Signaling, 706,  7, 15,  346, 1, 3, 840840, 21421.00, 0, 0.00, 1: 121; 2: 93; 3: 13; 
EGFR_&_ErbB_Signaling, 351,  7, 15,  346, 1, 3, 840840, 21421.00, 0, 0.00, 1: 122; 2: 91; 3: 14; 
EGFR_&_ErbB_Signaling, 766,  7, 15,  346, 1, 3, 840840, 21421.00, 0, 0.00, 1: 122; 2: 91; 3: 14; 
EGFR_&_ErbB_Signaling, 730, 10, 11,  346, 1, 3, 879125, 21421.00, 0, 0.00, 1: 122; 2: 91; 3: 14; 
EGFR_&_ErbB_Signaling, 218,  7, 17,  346, 1, 3, 940391, 21421.00, 0, 0.00, 1: 122; 2: 91; 3: 14; 
EGFR_&_ErbB_Signaling, 797,  7, 16,  346, 1, 3, 891154, 21421.00, 0, 0.00, 1: 117; 2: 101; 3: 9; 
EGFR_&_ErbB_Signaling, 305, 12,  9,  346, 1, 3, 865799, 21421.00, 0, 0.00, 1: 122; 2: 91; 3: 14; 
EGFR_&_ErbB_Signaling,  69,  7, 16,  346, 1, 3, 890946, 21421.00, 0, 0.00, 1: 123; 2: 89; 3: 15; 
EGFR_&_ErbB_Signaling, 757,  7, 16,  346, 1, 3, 891064, 21421.00, 0, 0.00, 1: 124; 2: 87; 3: 16; 
EGFR_&_ErbB_Signaling, 224,  8, 14,  346, 1, 3, 891055, 21421.00, 16, 0.00, 1: 120; 2: 95; 3: 12; 
EGFR_&_ErbB_Signaling,  70,  7, 16,  346, 1, 3, 890872, 21421.00, 0, 0.00, 1: 121; 2: 93; 3: 13; 
EGFR_&_ErbB_Signaling, 286,  7, 15,  346, 1, 3, 840840, 21421.00, 0, 0.00, 1: 126; 2: 83; 3: 18; 
EGFR_&_ErbB_Signaling, 787,  8, 14,  346, 1, 3, 890964, 21421.00, 0, 0.00, 1: 118; 2: 99; 3: 10; 
EGFR_&_ErbB_Signaling, 548,  7, 17,  346, 1, 3, 940726, 21421.00, 23, 0.00, 1: 121; 2: 93; 3: 13; 
EGFR_&_ErbB_Signaling, 528,  7, 17,  346, 1, 3, 940679, 21421.00, 25, 0.00, 1: 120; 2: 95; 3: 12; 
EGFR_&_ErbB_Signaling, 161,  6, 20,  346, 1, 3, 948043, 21421.00, 0, 0.00, 1: 123; 2: 89; 3: 15; 
