Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
53(788)
Melhor resultado nxn: CD4_T_cell_signaling,  81, 14, 14,  496, 1, 3, 1583841, 110173.38, 0, 0.00, 1: 205; 2: 132; 3: 9; 
CD4_T_cell_signaling, 429, 13, 15,  503, 1, 3, 1568141, 110173.38, 0, 0.00, 1: 201; 2: 133; 3: 12; 
CD4_T_cell_signaling, 665, 10, 19,  503, 1, 3, 1526106, 110173.38, 0, 0.00, 1: 198; 2: 139; 3: 9; 
CD4_T_cell_signaling, 646, 10, 20,  503, 1, 3, 1606446, 110173.38, 0, 0.00, 1: 207; 2: 121; 3: 18; 
CD4_T_cell_signaling, 263, 13, 15,  503, 1, 3, 1568105, 110173.38, 0, 0.00, 1: 198; 2: 139; 3: 9; 
CD4_T_cell_signaling, 619, 11, 18,  503, 1, 3, 1595638, 110173.38, 0, 0.00, 1: 201; 2: 133; 3: 12; 
CD4_T_cell_signaling, 144, 14, 14,  503, 1, 3, 1583850, 110173.38, 11, 0.00, 1: 204; 2: 127; 3: 15; 
CD4_T_cell_signaling, 308, 13, 15,  503, 1, 3, 1568164, 110173.38, 80, 0.00, 1: 201; 2: 133; 3: 12; 
CD4_T_cell_signaling, 523,  9, 22,  503, 1, 3, 1595673, 110173.38, 0, 0.00, 1: 201; 2: 133; 3: 12; 
CD4_T_cell_signaling, 310, 11, 18,  503, 1, 3, 1595444, 110173.38, 0, 0.00, 1: 198; 2: 139; 3: 9; 
CD4_T_cell_signaling, 878,  9, 23,  503, 1, 3, 1649141, 110173.38, 0, 0.00, 1: 205; 2: 125; 3: 16; 
CD4_T_cell_signaling, 105, 11, 18,  503, 1, 3, 1595476, 110173.38, 0, 0.00, 1: 203; 2: 129; 3: 14; 
CD4_T_cell_signaling,  42,  9, 22,  503, 1, 3, 1595479, 110173.38, 0, 0.00, 1: 205; 2: 125; 3: 16; 
CD4_T_cell_signaling, 122, 16, 12,  503, 1, 3, 1539721, 110173.38, 0, 0.00, 1: 204; 2: 127; 3: 15; 
CD4_T_cell_signaling, 825, 12, 17,  503, 1, 3, 1626209, 110173.38, 0, 0.00, 1: 202; 2: 131; 3: 13; 
CD4_T_cell_signaling, 773, 14, 14,  503, 1, 3, 1583830, 110173.38, 0, 0.00, 1: 204; 2: 127; 3: 15; 
CD4_T_cell_signaling, 466, 12, 17,  503, 1, 3, 1626072, 110173.38, 0, 0.00, 1: 200; 2: 135; 3: 11; 
CD4_T_cell_signaling, 384, 12, 17,  503, 1, 3, 1626112, 110173.38, 24, 0.00, 1: 206; 2: 123; 3: 17; 
CD4_T_cell_signaling, 482, 11, 18,  503, 1, 3, 1595637, 110173.38, 0, 0.00, 1: 199; 2: 137; 3: 10; 
CD4_T_cell_signaling, 364, 14, 14,  503, 1, 3, 1583800, 110173.38, 152, 0.00, 1: 206; 2: 123; 3: 17; 
CD4_T_cell_signaling, 349, 15, 13,  503, 1, 3, 1568199, 110173.38, 0, 0.00, 1: 198; 2: 139; 3: 9; 
CD4_T_cell_signaling, 582, 12, 16,  504, 1, 3, 1539740, 110173.38, 0, 0.00, 1: 201; 2: 132; 3: 13; 
CD4_T_cell_signaling, 591, 16, 12,  504, 1, 3, 1539680, 110173.38, 0, 0.00, 1: 199; 2: 136; 3: 11; 
CD4_T_cell_signaling, 379, 12, 16,  504, 1, 3, 1539727, 110173.38, 0, 0.00, 1: 207; 2: 120; 3: 19; 
CD4_T_cell_signaling, 303, 12, 17,  504, 1, 3, 1626391, 110173.38, 0, 0.00, 1: 208; 2: 118; 3: 20; 
CD4_T_cell_signaling, 387,  9, 23,  504, 1, 3, 1649291, 110173.38, 0, 0.00, 1: 210; 2: 114; 3: 22; 
CD4_T_cell_signaling, 210, 11, 18,  504, 1, 3, 1595548, 110173.38, 0, 0.00, 1: 200; 2: 134; 3: 12; 
CD4_T_cell_signaling, 626,  9, 21,  504, 1, 3, 1527876, 110173.38, 0, 0.00, 1: 200; 2: 134; 3: 12; 
CD4_T_cell_signaling, 115,  9, 23,  504, 1, 3, 1649432, 110173.38, 0, 0.00, 1: 209; 2: 116; 3: 21; 
CD4_T_cell_signaling, 565,  9, 23,  504, 1, 3, 1649710, 110173.38, 0, 0.00, 1: 203; 2: 128; 3: 15; 
CD4_T_cell_signaling, 734,  8, 26,  504, 1, 3, 1664476, 110173.38, 0, 0.00, 1: 200; 2: 134; 3: 12; 
CD4_T_cell_signaling,  60, 11, 18,  504, 1, 3, 1595652, 110173.38, 15, 0.00, 1: 200; 2: 134; 3: 12; 
CD4_T_cell_signaling, 772,  9, 23,  504, 1, 3, 1649507, 110173.38, 57, 0.00, 1: 203; 2: 128; 3: 15; 
CD4_T_cell_signaling, 722, 12, 16,  504, 1, 3, 1539707, 110173.38, 0, 0.00, 1: 202; 2: 130; 3: 14; 
CD4_T_cell_signaling,   9, 12, 16,  504, 1, 3, 1539695, 110173.38, 17, 0.00, 1: 203; 2: 128; 3: 15; 
CD4_T_cell_signaling, 948, 16, 12,  504, 1, 3, 1539735, 110173.38, 69, 0.00, 1: 202; 2: 130; 3: 14; 
CD4_T_cell_signaling, 861, 11, 18,  504, 1, 3, 1595583, 110173.38, 0, 0.00, 1: 205; 2: 124; 3: 17; 
CD4_T_cell_signaling, 854,  9, 22,  504, 1, 3, 1595445, 110173.38, 0, 0.00, 1: 206; 2: 122; 3: 18; 
CD4_T_cell_signaling,  71, 11, 18,  504, 1, 3, 1595422, 110173.38, 0, 0.00, 1: 202; 2: 130; 3: 14; 
CD4_T_cell_signaling, 764, 13, 15,  504, 1, 3, 1568245, 110173.38, 169, 0.00, 1: 202; 2: 130; 3: 14; 
CD4_T_cell_signaling, 924, 11, 18,  505, 1, 3, 1595432, 110173.38, 178, 0.00, 1: 206; 2: 121; 3: 19; 
CD4_T_cell_signaling, 676, 16, 12,  505, 1, 3, 1539587, 110173.38, 80, 0.00, 1: 204; 2: 125; 3: 17; 
CD4_T_cell_signaling, 516,  9, 22,  505, 1, 3, 1595476, 110173.38, 92, 0.00, 1: 200; 2: 133; 3: 13; 
CD4_T_cell_signaling, 526, 15, 13,  505, 1, 3, 1568167, 110173.38, 0, 0.00, 1: 197; 2: 139; 3: 10; 
CD4_T_cell_signaling, 921, 10, 20,  505, 1, 3, 1606313, 110173.38, 0, 0.00, 1: 203; 2: 127; 3: 16; 
CD4_T_cell_signaling, 925, 11, 18,  505, 1, 3, 1595484, 110173.38, 0, 0.00, 1: 200; 2: 133; 3: 13; 
CD4_T_cell_signaling, 755, 12, 17,  505, 1, 3, 1626271, 110173.38, 0, 0.00, 1: 207; 2: 119; 3: 20; 
CD4_T_cell_signaling, 541, 11, 18,  505, 1, 3, 1595618, 110173.38, 0, 0.00, 1: 205; 2: 123; 3: 18; 
CD4_T_cell_signaling, 542, 16, 12,  505, 1, 3, 1539720, 110173.38, 0, 0.00, 1: 206; 2: 121; 3: 19; 
CD4_T_cell_signaling, 777, 10, 20,  505, 1, 3, 1606849, 110173.38, 0, 0.00, 1: 211; 2: 111; 3: 24; 
CD4_T_cell_signaling, 719, 16, 12,  505, 1, 3, 1539755, 110173.38, 0, 0.00, 1: 201; 2: 131; 3: 14; 
CD4_T_cell_signaling, 792,  9, 23,  505, 1, 3, 1649432, 110173.38, 56, 0.00, 1: 206; 2: 121; 3: 19; 
CD4_T_cell_signaling,   3,  9, 23,  505, 1, 3, 1649682, 110173.38, 241, 0.00, 1: 207; 2: 119; 3: 20; 
CD4_T_cell_signaling, 331, 11, 18,  505, 1, 3, 1595509, 110173.38, 0, 0.00, 1: 201; 2: 131; 3: 14; 
CD4_T_cell_signaling, 824,  9, 23,  505, 1, 3, 1649906, 110173.38, 60, 0.00, 1: 205; 2: 123; 3: 18; 
CD4_T_cell_signaling, 631,  9, 22,  505, 1, 3, 1595658, 110173.38, 0, 0.00, 1: 202; 2: 129; 3: 15; 
CD4_T_cell_signaling, 180,  9, 22,  505, 1, 3, 1595548, 110173.38, 14, 0.00, 1: 205; 2: 123; 3: 18; 
CD4_T_cell_signaling, 383, 14, 14,  505, 1, 3, 1583799, 110173.38, 0, 0.00, 1: 204; 2: 125; 3: 17; 
CD4_T_cell_signaling, 774, 10, 19,  506, 1, 3, 1526103, 110173.38, 0, 0.00, 1: 198; 2: 136; 3: 12; 
CD4_T_cell_signaling, 455,  9, 23,  506, 1, 3, 1649460, 110173.38, 0, 0.00, 1: 201; 2: 130; 3: 15; 
CD4_T_cell_signaling, 790, 15, 13,  506, 1, 3, 1568201, 110173.38, 0, 0.00, 1: 198; 2: 136; 3: 12; 
CD4_T_cell_signaling, 884, 12, 16,  506, 1, 3, 1539758, 110173.38, 65, 0.00, 1: 199; 2: 134; 3: 13; 
CD4_T_cell_signaling, 857,  9, 22,  506, 1, 3, 1595490, 110173.38, 0, 0.00, 1: 198; 2: 136; 3: 12; 
CD4_T_cell_signaling, 259, 10, 20,  506, 1, 3, 1606405, 110173.38, 0, 0.00, 1: 198; 2: 136; 3: 12; 
CD4_T_cell_signaling,  55, 15, 13,  506, 1, 3, 1568111, 110173.38, 0, 0.00, 1: 200; 2: 132; 3: 14; 
CD4_T_cell_signaling, 636, 14, 14,  506, 1, 3, 1583680, 110173.38, 64, 0.00, 1: 199; 2: 134; 3: 13; 
CD4_T_cell_signaling, 681, 14, 14,  506, 1, 3, 1583740, 110173.38, 0, 0.00, 1: 201; 2: 130; 3: 15; 
CD4_T_cell_signaling, 988, 14, 14,  506, 1, 3, 1583697, 110173.38, 72, 0.00, 1: 204; 2: 124; 3: 18; 
CD4_T_cell_signaling, 222,  9, 23,  506, 1, 3, 1649223, 110173.38, 0, 0.00, 1: 200; 2: 132; 3: 14; 
CD4_T_cell_signaling, 959, 12, 16,  506, 1, 3, 1539754, 110173.38, 0, 0.00, 1: 200; 2: 132; 3: 14; 
CD4_T_cell_signaling, 232, 12, 16,  506, 1, 3, 1539706, 110173.38, 16, 0.00, 1: 202; 2: 128; 3: 16; 
CD4_T_cell_signaling, 551, 14, 14,  506, 1, 3, 1583730, 110173.38, 0, 0.00, 1: 201; 2: 130; 3: 15; 
CD4_T_cell_signaling,  95,  8, 25,  506, 1, 3, 1606531, 110173.38, 0, 0.00, 1: 208; 2: 116; 3: 22; 
CD4_T_cell_signaling,  13, 14, 14,  506, 1, 3, 1583767, 110173.38, 127, 0.00, 1: 199; 2: 134; 3: 13; 
CD4_T_cell_signaling, 504, 12, 17,  506, 1, 3, 1626281, 110173.38, 33, 0.00, 1: 200; 2: 132; 3: 14; 
CD4_T_cell_signaling, 164, 16, 12,  507, 1, 3, 1539750, 110173.38, 132, 0.00, 1: 200; 2: 131; 3: 15; 
CD4_T_cell_signaling, 953, 15, 13,  507, 1, 3, 1568241, 110173.38, 0, 0.00, 1: 200; 2: 131; 3: 15; 
CD4_T_cell_signaling, 911,  9, 22,  507, 1, 3, 1595633, 110173.38, 0, 0.00, 1: 200; 2: 131; 3: 15; 
CD4_T_cell_signaling, 890, 15, 13,  507, 1, 3, 1568115, 110173.38, 0, 0.00, 1: 201; 2: 129; 3: 16; 
CD4_T_cell_signaling, 148,  8, 25,  507, 1, 3, 1606589, 110173.38, 8, 0.00, 1: 205; 2: 121; 3: 20; 
CD4_T_cell_signaling, 328,  9, 22,  507, 1, 3, 1595570, 110173.38, 20, 0.00, 1: 195; 2: 141; 3: 10; 
CD4_T_cell_signaling, 214, 14, 14,  507, 1, 3, 1583789, 110173.38, 0, 0.00, 1: 199; 2: 133; 3: 14; 
CD4_T_cell_signaling, 871, 11, 18,  507, 1, 3, 1595437, 110173.38, 0, 0.00, 1: 198; 2: 135; 3: 13; 
CD4_T_cell_signaling, 258, 12, 16,  507, 1, 3, 1539751, 110173.38, 0, 0.00, 1: 192; 2: 147; 3: 7; 
CD4_T_cell_signaling, 859, 15, 13,  507, 1, 3, 1568055, 110173.38, 0, 0.00, 1: 201; 2: 129; 3: 16; 
CD4_T_cell_signaling, 183, 13, 15,  507, 1, 3, 1568202, 110173.38, 0, 0.00, 1: 197; 2: 137; 3: 12; 
CD4_T_cell_signaling, 658, 12, 16,  507, 1, 3, 1539657, 110173.38, 0, 0.00, 1: 198; 2: 135; 3: 13; 
CD4_T_cell_signaling, 697, 10, 19,  507, 1, 3, 1526087, 110173.38, 0, 0.00, 1: 200; 2: 131; 3: 15; 
CD4_T_cell_signaling, 630, 10, 20,  507, 1, 3, 1606649, 110173.38, 0, 0.00, 1: 202; 2: 127; 3: 17; 
CD4_T_cell_signaling, 419, 15, 13,  507, 1, 3, 1568108, 110173.38, 0, 0.00, 1: 199; 2: 133; 3: 14; 
CD4_T_cell_signaling, 733, 12, 16,  507, 1, 3, 1539691, 110173.38, 0, 0.00, 1: 195; 2: 141; 3: 10; 
CD4_T_cell_signaling, 475, 10, 19,  507, 1, 3, 1526099, 110173.38, 0, 0.00, 1: 196; 2: 139; 3: 11; 
CD4_T_cell_signaling, 596,  8, 25,  507, 1, 3, 1606636, 110173.38, 110, 0.00, 1: 206; 2: 119; 3: 21; 
CD4_T_cell_signaling, 703, 10, 20,  507, 1, 3, 1606784, 110173.38, 0, 0.00, 1: 198; 2: 135; 3: 13; 
CD4_T_cell_signaling,  52, 12, 16,  508, 1, 3, 1539724, 110173.38, 35, 0.00, 1: 193; 2: 144; 3: 9; 
CD4_T_cell_signaling,  49, 13, 15,  508, 1, 3, 1568186, 110173.38, 0, 0.00, 1: 200; 2: 130; 3: 16; 
CD4_T_cell_signaling, 915, 10, 20,  508, 1, 3, 1606562, 110173.38, 0, 0.00, 1: 199; 2: 132; 3: 15; 
CD4_T_cell_signaling, 161, 10, 20,  508, 1, 3, 1606650, 110173.38, 0, 0.00, 1: 196; 2: 138; 3: 12; 
CD4_T_cell_signaling, 977, 12, 16,  508, 1, 3, 1539719, 110173.38, 0, 0.00, 1: 195; 2: 140; 3: 11; 
CD4_T_cell_signaling, 307, 10, 20,  508, 1, 3, 1606634, 110173.38, 0, 0.00, 1: 196; 2: 138; 3: 12; 
CD4_T_cell_signaling,   0, 10, 19,  508, 1, 3, 1526092, 110173.38, 128, 0.00, 1: 200; 2: 130; 3: 16; 
CD4_T_cell_signaling, 518, 13, 15,  508, 1, 3, 1568087, 110173.38, 0, 0.00, 1: 205; 2: 120; 3: 21; 
CD4_T_cell_signaling,  59, 15, 13,  508, 1, 3, 1568223, 110173.38, 0, 0.00, 1: 200; 2: 130; 3: 16; 
CD4_T_cell_signaling, 949, 15, 13,  508, 1, 3, 1568195, 110173.38, 0, 0.00, 1: 200; 2: 130; 3: 16; 
CD4_T_cell_signaling, 305, 11, 18,  508, 1, 3, 1595484, 110173.38, 0, 0.00, 1: 201; 2: 128; 3: 17; 
CD4_T_cell_signaling, 778, 13, 15,  508, 1, 3, 1568273, 110173.38, 0, 0.00, 1: 196; 2: 138; 3: 12; 
CD4_T_cell_signaling, 882, 12, 16,  508, 1, 3, 1539713, 110173.38, 0, 0.00, 1: 205; 2: 120; 3: 21; 
CD4_T_cell_signaling, 204, 11, 18,  508, 1, 3, 1595626, 110173.38, 138, 0.00, 1: 200; 2: 130; 3: 16; 
CD4_T_cell_signaling, 196, 12, 17,  508, 1, 3, 1626095, 110173.38, 11, 0.00, 1: 200; 2: 130; 3: 16; 
CD4_T_cell_signaling, 804, 12, 17,  508, 1, 3, 1626272, 110173.38, 58, 0.00, 1: 194; 2: 142; 3: 10; 
CD4_T_cell_signaling, 186, 12, 17,  508, 1, 3, 1625928, 110173.38, 0, 0.00, 1: 203; 2: 124; 3: 19; 
CD4_T_cell_signaling, 348, 14, 14,  508, 1, 3, 1583827, 110173.38, 133, 0.00, 1: 198; 2: 134; 3: 14; 
CD4_T_cell_signaling,  36, 10, 20,  508, 1, 3, 1606296, 110173.38, 54, 0.00, 1: 197; 2: 136; 3: 13; 
CD4_T_cell_signaling, 500,  9, 22,  509, 1, 3, 1595619, 110173.38, 33, 0.00, 1: 202; 2: 125; 3: 19; 
CD4_T_cell_signaling, 724,  9, 22,  509, 1, 3, 1595656, 110173.38, 182, 0.00, 1: 205; 2: 119; 3: 22; 
CD4_T_cell_signaling, 632, 10, 20,  509, 1, 3, 1606409, 110173.38, 39, 0.00, 1: 197; 2: 135; 3: 14; 
CD4_T_cell_signaling, 717, 12, 17,  509, 1, 3, 1626299, 110173.38, 0, 0.00, 1: 199; 2: 131; 3: 16; 
CD4_T_cell_signaling, 707, 13, 15,  509, 1, 3, 1568339, 110173.38, 0, 0.00, 1: 197; 2: 135; 3: 14; 
CD4_T_cell_signaling, 205, 15, 13,  509, 1, 3, 1568238, 110173.38, 0, 0.00, 1: 203; 2: 123; 3: 20; 
CD4_T_cell_signaling, 191, 16, 12,  509, 1, 3, 1539692, 110173.38, 0, 0.00, 1: 198; 2: 133; 3: 15; 
CD4_T_cell_signaling, 370,  9, 22,  509, 1, 3, 1595538, 110173.38, 0, 0.00, 1: 204; 2: 121; 3: 21; 
CD4_T_cell_signaling, 552, 10, 19,  509, 1, 3, 1526119, 110173.38, 34, 0.00, 1: 199; 2: 131; 3: 16; 
CD4_T_cell_signaling, 529,  9, 23,  509, 1, 3, 1649609, 110173.38, 0, 0.00, 1: 200; 2: 129; 3: 17; 
CD4_T_cell_signaling, 238, 11, 18,  509, 1, 3, 1595548, 110173.38, 0, 0.00, 1: 197; 2: 135; 3: 14; 
CD4_T_cell_signaling, 244, 12, 17,  509, 1, 3, 1626269, 110173.38, 34, 0.00, 1: 199; 2: 131; 3: 16; 
CD4_T_cell_signaling, 478, 12, 17,  509, 1, 3, 1626288, 110173.38, 0, 0.00, 1: 199; 2: 131; 3: 16; 
CD4_T_cell_signaling, 283, 11, 18,  509, 1, 3, 1595645, 110173.38, 0, 0.00, 1: 198; 2: 133; 3: 15; 
CD4_T_cell_signaling, 286, 11, 18,  509, 1, 3, 1595657, 110173.38, 0, 0.00, 1: 201; 2: 127; 3: 18; 
CD4_T_cell_signaling, 439, 15, 13,  509, 1, 3, 1568048, 110173.38, 0, 0.00, 1: 198; 2: 133; 3: 15; 
CD4_T_cell_signaling, 435, 10, 20,  509, 1, 3, 1606581, 110173.38, 0, 0.00, 1: 201; 2: 127; 3: 18; 
CD4_T_cell_signaling, 315, 14, 14,  509, 1, 3, 1583832, 110173.38, 0, 0.00, 1: 195; 2: 139; 3: 12; 
CD4_T_cell_signaling, 324,  8, 25,  509, 1, 3, 1606678, 110173.38, 20, 0.00, 1: 201; 2: 127; 3: 18; 
CD4_T_cell_signaling, 816, 15, 13,  509, 1, 3, 1567974, 110173.38, 59, 0.00, 1: 199; 2: 131; 3: 16; 
CD4_T_cell_signaling, 344,  9, 23,  509, 1, 3, 1649307, 110173.38, 22, 0.00, 1: 198; 2: 133; 3: 15; 
CD4_T_cell_signaling, 836, 14, 14,  509, 1, 3, 1583781, 110173.38, 58, 0.00, 1: 198; 2: 133; 3: 15; 
CD4_T_cell_signaling, 366,  9, 21,  509, 1, 3, 1527876, 110173.38, 0, 0.00, 1: 199; 2: 131; 3: 16; 
CD4_T_cell_signaling, 112,  8, 24,  509, 1, 3, 1539736, 110173.38, 9, 0.00, 1: 203; 2: 123; 3: 20; 
CD4_T_cell_signaling,  23, 10, 19,  509, 1, 3, 1526111, 110173.38, 0, 0.00, 1: 196; 2: 137; 3: 13; 
CD4_T_cell_signaling, 118, 12, 17,  509, 1, 3, 1626322, 110173.38, 0, 0.00, 1: 207; 2: 115; 3: 24; 
CD4_T_cell_signaling, 502, 10, 19,  510, 1, 3, 1526094, 110173.38, 0, 0.00, 1: 197; 2: 134; 3: 15; 
CD4_T_cell_signaling, 316, 12, 17,  510, 1, 3, 1626447, 110173.38, 100, 0.00, 1: 197; 2: 134; 3: 15; 
CD4_T_cell_signaling, 436, 12, 17,  510, 1, 3, 1626007, 110173.38, 1, 0.00, 1: 199; 2: 130; 3: 17; 
CD4_T_cell_signaling, 494,  8, 26,  510, 1, 3, 1664231, 110173.38, 0, 0.00, 1: 195; 2: 138; 3: 13; 
CD4_T_cell_signaling, 121, 10, 20,  510, 1, 3, 1606675, 110173.38, 0, 0.00, 1: 199; 2: 130; 3: 17; 
CD4_T_cell_signaling,  82, 12, 17,  510, 1, 3, 1626040, 110173.38, 0, 0.00, 1: 195; 2: 138; 3: 13; 
CD4_T_cell_signaling, 741, 10, 19,  510, 1, 3, 1526105, 110173.38, 0, 0.00, 1: 193; 2: 142; 3: 11; 
CD4_T_cell_signaling, 207, 13, 15,  510, 1, 3, 1568216, 110173.38, 0, 0.00, 1: 201; 2: 126; 3: 19; 
CD4_T_cell_signaling, 660, 10, 20,  510, 1, 3, 1606560, 110173.38, 88, 0.00, 1: 199; 2: 130; 3: 17; 
CD4_T_cell_signaling, 742, 12, 16,  510, 1, 3, 1539732, 110173.38, 0, 0.00, 1: 197; 2: 134; 3: 15; 
CD4_T_cell_signaling, 845, 16, 12,  510, 1, 3, 1539722, 110173.38, 0, 0.00, 1: 203; 2: 122; 3: 21; 
CD4_T_cell_signaling, 405,  9, 23,  510, 1, 3, 1648964, 110173.38, 0, 0.00, 1: 198; 2: 132; 3: 16; 
CD4_T_cell_signaling, 168, 12, 16,  510, 1, 3, 1539755, 110173.38, 13, 0.00, 1: 197; 2: 134; 3: 15; 
