Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
193(640)
Melhor resultado nxn: CD4_T_cell_signaling, 990, 14, 14,  530, 1, 3, 1583733, 112548.32, 0, 0.00, 1: 183; 2: 142; 3: 21; 
CD4_T_cell_signaling, 859, 15, 13,  532, 1, 3, 1568187, 112548.32, 0, 0.00, 1: 181; 2: 144; 3: 21; 
CD4_T_cell_signaling, 951,  9, 22,  532, 1, 3, 1595574, 112548.32, 0, 0.00, 1: 183; 2: 140; 3: 23; 
CD4_T_cell_signaling, 938, 16, 12,  532, 1, 3, 1539742, 112548.32, 0, 0.00, 1: 181; 2: 144; 3: 21; 
CD4_T_cell_signaling, 530, 11, 18,  532, 1, 3, 1595682, 112548.32, 0, 0.00, 1: 184; 2: 138; 3: 24; 
CD4_T_cell_signaling, 924, 11, 18,  533, 1, 3, 1595520, 112548.32, 178, 0.00, 1: 176; 2: 153; 3: 17; 
CD4_T_cell_signaling, 111,  9, 23,  533, 1, 3, 1649886, 112548.32, 0, 0.00, 1: 180; 2: 145; 3: 21; 
CD4_T_cell_signaling, 380, 10, 20,  533, 1, 3, 1606590, 112548.32, 186, 0.00, 1: 181; 2: 143; 3: 22; 
CD4_T_cell_signaling, 610,  9, 23,  533, 1, 3, 1649471, 112548.32, 0, 0.00, 1: 186; 2: 133; 3: 27; 
CD4_T_cell_signaling, 776, 11, 18,  533, 1, 3, 1595491, 112548.32, 54, 0.00, 1: 180; 2: 145; 3: 21; 
CD4_T_cell_signaling,  56,  9, 23,  533, 1, 3, 1649664, 112548.32, 5, 0.00, 1: 178; 2: 149; 3: 19; 
CD4_T_cell_signaling,  63, 12, 17,  534, 1, 3, 1626148, 112548.32, 0, 0.00, 1: 178; 2: 148; 3: 20; 
CD4_T_cell_signaling, 861, 11, 18,  534, 1, 3, 1595626, 112548.32, 0, 0.00, 1: 175; 2: 154; 3: 17; 
CD4_T_cell_signaling, 687,  9, 22,  534, 1, 3, 1595509, 112548.32, 0, 0.00, 1: 183; 2: 138; 3: 25; 
CD4_T_cell_signaling, 347, 15, 13,  534, 1, 3, 1568105, 112548.32, 0, 0.00, 1: 178; 2: 148; 3: 20; 
CD4_T_cell_signaling, 518, 13, 15,  534, 1, 3, 1568174, 112548.32, 0, 0.00, 1: 180; 2: 144; 3: 22; 
CD4_T_cell_signaling, 819, 16, 12,  534, 1, 3, 1539756, 112548.32, 0, 0.00, 1: 174; 2: 156; 3: 16; 
CD4_T_cell_signaling, 755, 12, 17,  534, 1, 3, 1626258, 112548.32, 0, 0.00, 1: 175; 2: 154; 3: 17; 
CD4_T_cell_signaling, 438, 10, 20,  534, 1, 3, 1606540, 112548.32, 0, 0.00, 1: 180; 2: 144; 3: 22; 
CD4_T_cell_signaling, 969, 12, 17,  535, 1, 3, 1626222, 112548.32, 0, 0.00, 1: 174; 2: 155; 3: 17; 
CD4_T_cell_signaling, 307, 10, 20,  535, 1, 3, 1606475, 112548.32, 0, 0.00, 1: 186; 2: 131; 3: 29; 
CD4_T_cell_signaling, 730, 10, 20,  535, 1, 3, 1606504, 112548.32, 0, 0.00, 1: 176; 2: 151; 3: 19; 
CD4_T_cell_signaling, 523,  9, 22,  535, 1, 3, 1595503, 112548.32, 0, 0.00, 1: 179; 2: 145; 3: 22; 
CD4_T_cell_signaling, 994, 10, 20,  535, 1, 3, 1606333, 112548.32, 0, 0.00, 1: 178; 2: 147; 3: 21; 
CD4_T_cell_signaling, 777, 10, 20,  535, 1, 3, 1606510, 112548.32, 0, 0.00, 1: 178; 2: 147; 3: 21; 
CD4_T_cell_signaling, 218, 12, 17,  535, 1, 3, 1626361, 112548.32, 0, 0.00, 1: 184; 2: 135; 3: 27; 
CD4_T_cell_signaling, 795, 11, 18,  535, 1, 3, 1595610, 112548.32, 0, 0.00, 1: 178; 2: 147; 3: 21; 
CD4_T_cell_signaling, 226, 13, 15,  535, 1, 3, 1568183, 112548.32, 0, 0.00, 1: 180; 2: 143; 3: 23; 
CD4_T_cell_signaling, 376,  9, 22,  535, 1, 3, 1595616, 112548.32, 24, 0.00, 1: 179; 2: 145; 3: 22; 
CD4_T_cell_signaling, 248, 12, 17,  535, 1, 3, 1626254, 112548.32, 16, 0.00, 1: 179; 2: 145; 3: 22; 
CD4_T_cell_signaling, 825, 12, 17,  535, 1, 3, 1626421, 112548.32, 0, 0.00, 1: 181; 2: 141; 3: 24; 
CD4_T_cell_signaling, 257,  9, 22,  535, 1, 3, 1595494, 112548.32, 0, 0.00, 1: 175; 2: 153; 3: 18; 
CD4_T_cell_signaling, 310, 11, 18,  536, 1, 3, 1595496, 112548.32, 0, 0.00, 1: 178; 2: 146; 3: 22; 
CD4_T_cell_signaling,  94, 10, 19,  536, 1, 3, 1526053, 112548.32, 0, 0.00, 1: 175; 2: 152; 3: 19; 
CD4_T_cell_signaling, 674, 12, 17,  536, 1, 3, 1626251, 112548.32, 0, 0.00, 1: 174; 2: 154; 3: 18; 
CD4_T_cell_signaling, 697, 10, 19,  536, 1, 3, 1526088, 112548.32, 0, 0.00, 1: 175; 2: 152; 3: 19; 
CD4_T_cell_signaling, 703, 10, 20,  536, 1, 3, 1606529, 112548.32, 0, 0.00, 1: 174; 2: 154; 3: 18; 
CD4_T_cell_signaling, 588, 11, 18,  536, 1, 3, 1595556, 112548.32, 125, 0.00, 1: 176; 2: 150; 3: 20; 
CD4_T_cell_signaling, 142, 12, 17,  536, 1, 3, 1626305, 112548.32, 0, 0.00, 1: 185; 2: 132; 3: 29; 
CD4_T_cell_signaling, 752,  9, 22,  536, 1, 3, 1595201, 112548.32, 52, 0.00, 1: 179; 2: 144; 3: 23; 
CD4_T_cell_signaling, 227, 12, 17,  536, 1, 3, 1626132, 112548.32, 0, 0.00, 1: 176; 2: 150; 3: 20; 
CD4_T_cell_signaling, 419, 15, 13,  536, 1, 3, 1568139, 112548.32, 0, 0.00, 1: 179; 2: 144; 3: 23; 
CD4_T_cell_signaling,   2, 10, 19,  536, 1, 3, 1526110, 112548.32, 222, 0.00, 1: 174; 2: 154; 3: 18; 
CD4_T_cell_signaling,  45, 15, 13,  536, 1, 3, 1568209, 112548.32, 0, 0.00, 1: 173; 2: 156; 3: 17; 
CD4_T_cell_signaling,  64, 15, 13,  536, 1, 3, 1568081, 112548.32, 6, 0.00, 1: 171; 2: 160; 3: 15; 
CD4_T_cell_signaling, 502, 10, 19,  537, 1, 3, 1526108, 112548.32, 0, 0.00, 1: 175; 2: 151; 3: 20; 
CD4_T_cell_signaling, 242,  9, 23,  537, 1, 3, 1649907, 112548.32, 0, 0.00, 1: 174; 2: 153; 3: 19; 
CD4_T_cell_signaling, 645, 16, 12,  537, 1, 3, 1539704, 112548.32, 0, 0.00, 1: 174; 2: 153; 3: 19; 
CD4_T_cell_signaling, 364, 14, 14,  537, 1, 3, 1583749, 112548.32, 152, 0.00, 1: 178; 2: 145; 3: 23; 
CD4_T_cell_signaling, 243, 10, 20,  537, 1, 3, 1606351, 112548.32, 0, 0.00, 1: 174; 2: 153; 3: 19; 
CD4_T_cell_signaling, 436, 12, 17,  537, 1, 3, 1625854, 112548.32, 1, 0.00, 1: 177; 2: 147; 3: 22; 
CD4_T_cell_signaling, 625, 12, 17,  537, 1, 3, 1626156, 112548.32, 0, 0.00, 1: 181; 2: 139; 3: 26; 
CD4_T_cell_signaling, 794, 10, 19,  537, 1, 3, 1526099, 112548.32, 0, 0.00, 1: 172; 2: 157; 3: 17; 
CD4_T_cell_signaling, 737, 11, 18,  537, 1, 3, 1595484, 112548.32, 0, 0.00, 1: 176; 2: 149; 3: 21; 
CD4_T_cell_signaling,  19,  9, 21,  537, 1, 3, 1527876, 112548.32, 6, 0.00, 1: 179; 2: 143; 3: 24; 
CD4_T_cell_signaling, 944, 11, 18,  537, 1, 3, 1595623, 112548.32, 71, 0.00, 1: 182; 2: 137; 3: 27; 
CD4_T_cell_signaling, 879,  9, 23,  537, 1, 3, 1649677, 112548.32, 0, 0.00, 1: 175; 2: 151; 3: 20; 
CD4_T_cell_signaling, 633, 10, 20,  537, 1, 3, 1606545, 112548.32, 0, 0.00, 1: 181; 2: 139; 3: 26; 
CD4_T_cell_signaling,  23, 10, 19,  537, 1, 3, 1526067, 112548.32, 0, 0.00, 1: 172; 2: 157; 3: 17; 
CD4_T_cell_signaling, 174, 10, 19,  538, 1, 3, 1526099, 112548.32, 0, 0.00, 1: 175; 2: 150; 3: 21; 
CD4_T_cell_signaling, 434, 15, 13,  538, 1, 3, 1568177, 112548.32, 0, 0.00, 1: 174; 2: 152; 3: 20; 
CD4_T_cell_signaling, 575, 12, 16,  538, 1, 3, 1539723, 112548.32, 0, 0.00, 1: 177; 2: 146; 3: 23; 
CD4_T_cell_signaling, 267, 15, 13,  538, 1, 3, 1568230, 112548.32, 0, 0.00, 1: 175; 2: 150; 3: 21; 
CD4_T_cell_signaling, 116, 10, 20,  538, 1, 3, 1606389, 112548.32, 21, 0.00, 1: 167; 2: 166; 3: 13; 
CD4_T_cell_signaling, 394, 11, 18,  538, 1, 3, 1595678, 112548.32, 0, 0.00, 1: 176; 2: 148; 3: 22; 
CD4_T_cell_signaling, 939,  8, 26,  538, 1, 3, 1664428, 112548.32, 0, 0.00, 1: 176; 2: 148; 3: 22; 
CD4_T_cell_signaling, 483, 14, 14,  538, 1, 3, 1583780, 112548.32, 0, 0.00, 1: 173; 2: 154; 3: 19; 
CD4_T_cell_signaling, 785, 14, 14,  538, 1, 3, 1583802, 112548.32, 0, 0.00, 1: 177; 2: 146; 3: 23; 
CD4_T_cell_signaling, 774, 10, 19,  538, 1, 3, 1526109, 112548.32, 0, 0.00, 1: 178; 2: 144; 3: 24; 
CD4_T_cell_signaling, 660, 10, 20,  538, 1, 3, 1606654, 112548.32, 88, 0.00, 1: 176; 2: 148; 3: 22; 
CD4_T_cell_signaling, 304, 10, 19,  538, 1, 3, 1526085, 112548.32, 18, 0.00, 1: 175; 2: 150; 3: 21; 
CD4_T_cell_signaling, 439, 15, 13,  538, 1, 3, 1568162, 112548.32, 0, 0.00, 1: 174; 2: 152; 3: 20; 
CD4_T_cell_signaling,  49, 13, 15,  538, 1, 3, 1568127, 112548.32, 0, 0.00, 1: 172; 2: 156; 3: 18; 
CD4_T_cell_signaling, 727, 16, 12,  538, 1, 3, 1539629, 112548.32, 0, 0.00, 1: 177; 2: 146; 3: 23; 
CD4_T_cell_signaling, 298, 11, 18,  538, 1, 3, 1595606, 112548.32, 0, 0.00, 1: 174; 2: 152; 3: 20; 
CD4_T_cell_signaling, 682, 16, 12,  538, 1, 3, 1539736, 112548.32, 0, 0.00, 1: 177; 2: 146; 3: 23; 
CD4_T_cell_signaling, 870,  9, 23,  538, 1, 3, 1649645, 112548.32, 0, 0.00, 1: 180; 2: 140; 3: 26; 
CD4_T_cell_signaling, 818, 16, 12,  538, 1, 3, 1539691, 112548.32, 0, 0.00, 1: 173; 2: 154; 3: 19; 
CD4_T_cell_signaling, 287,  9, 23,  538, 1, 3, 1649793, 112548.32, 0, 0.00, 1: 188; 2: 124; 3: 34; 
CD4_T_cell_signaling, 635, 15, 13,  538, 1, 3, 1568193, 112548.32, 0, 0.00, 1: 171; 2: 158; 3: 17; 
CD4_T_cell_signaling, 634, 10, 20,  538, 1, 3, 1606405, 112548.32, 0, 0.00, 1: 175; 2: 150; 3: 21; 
CD4_T_cell_signaling, 528, 10, 20,  538, 1, 3, 1606574, 112548.32, 33, 0.00, 1: 180; 2: 140; 3: 26; 
CD4_T_cell_signaling, 141, 11, 18,  539, 1, 3, 1595203, 112548.32, 0, 0.00, 1: 177; 2: 145; 3: 24; 
CD4_T_cell_signaling, 428,  8, 25,  539, 1, 3, 1606282, 112548.32, 152, 0.00, 1: 180; 2: 139; 3: 27; 
CD4_T_cell_signaling, 991,  9, 21,  539, 1, 3, 1527876, 112548.32, 0, 0.00, 1: 171; 2: 157; 3: 18; 
CD4_T_cell_signaling, 445,  8, 24,  539, 1, 3, 1539714, 112548.32, 0, 0.00, 1: 177; 2: 145; 3: 24; 
CD4_T_cell_signaling, 244, 12, 17,  539, 1, 3, 1626319, 112548.32, 34, 0.00, 1: 175; 2: 149; 3: 22; 
CD4_T_cell_signaling, 478, 12, 17,  539, 1, 3, 1626513, 112548.32, 0, 0.00, 1: 175; 2: 149; 3: 22; 
CD4_T_cell_signaling, 540, 13, 15,  539, 1, 3, 1568217, 112548.32, 96, 0.00, 1: 175; 2: 149; 3: 22; 
CD4_T_cell_signaling, 569,  9, 23,  539, 1, 3, 1649450, 112548.32, 0, 0.00, 1: 176; 2: 147; 3: 23; 
CD4_T_cell_signaling,  43, 12, 17,  539, 1, 3, 1626433, 112548.32, 0, 0.00, 1: 180; 2: 139; 3: 27; 
CD4_T_cell_signaling, 747, 13, 15,  539, 1, 3, 1568014, 112548.32, 0, 0.00, 1: 175; 2: 149; 3: 22; 
CD4_T_cell_signaling, 340, 12, 17,  539, 1, 3, 1626248, 112548.32, 24, 0.00, 1: 177; 2: 145; 3: 24; 
CD4_T_cell_signaling,  34, 10, 20,  539, 1, 3, 1606369, 112548.32, 0, 0.00, 1: 175; 2: 149; 3: 22; 
CD4_T_cell_signaling, 984, 10, 19,  539, 1, 3, 1526093, 112548.32, 74, 0.00, 1: 176; 2: 147; 3: 23; 
CD4_T_cell_signaling, 964, 13, 15,  539, 1, 3, 1568153, 112548.32, 70, 0.00, 1: 175; 2: 149; 3: 22; 
CD4_T_cell_signaling, 509,  9, 23,  539, 1, 3, 1649637, 112548.32, 0, 0.00, 1: 171; 2: 157; 3: 18; 
CD4_T_cell_signaling, 362, 10, 19,  539, 1, 3, 1526087, 112548.32, 0, 0.00, 1: 176; 2: 147; 3: 23; 
CD4_T_cell_signaling, 684,  9, 23,  539, 1, 3, 1649607, 112548.32, 129, 0.00, 1: 178; 2: 143; 3: 25; 
CD4_T_cell_signaling,  40, 14, 14,  539, 1, 3, 1583750, 112548.32, 3, 0.00, 1: 170; 2: 159; 3: 17; 
CD4_T_cell_signaling, 377, 16, 12,  539, 1, 3, 1539704, 112548.32, 0, 0.00, 1: 170; 2: 159; 3: 17; 
CD4_T_cell_signaling, 382, 10, 20,  539, 1, 3, 1606353, 112548.32, 0, 0.00, 1: 177; 2: 145; 3: 24; 
CD4_T_cell_signaling, 271, 10, 20,  539, 1, 3, 1606376, 112548.32, 0, 0.00, 1: 173; 2: 153; 3: 20; 
CD4_T_cell_signaling, 948, 16, 12,  539, 1, 3, 1539754, 112548.32, 69, 0.00, 1: 174; 2: 151; 3: 21; 
CD4_T_cell_signaling, 709, 11, 18,  539, 1, 3, 1595512, 112548.32, 0, 0.00, 1: 170; 2: 159; 3: 17; 
CD4_T_cell_signaling, 987, 11, 18,  539, 1, 3, 1595572, 112548.32, 0, 0.00, 1: 172; 2: 155; 3: 19; 
CD4_T_cell_signaling, 527, 11, 18,  540, 1, 3, 1595590, 112548.32, 0, 0.00, 1: 174; 2: 150; 3: 22; 
CD4_T_cell_signaling, 889, 10, 20,  540, 1, 3, 1606581, 112548.32, 0, 0.00, 1: 173; 2: 152; 3: 21; 
CD4_T_cell_signaling, 995, 16, 12,  540, 1, 3, 1539687, 112548.32, 0, 0.00, 1: 171; 2: 156; 3: 19; 
CD4_T_cell_signaling, 510, 12, 17,  540, 1, 3, 1626472, 112548.32, 0, 0.00, 1: 177; 2: 144; 3: 25; 
CD4_T_cell_signaling, 902,  9, 23,  540, 1, 3, 1649607, 112548.32, 0, 0.00, 1: 176; 2: 146; 3: 24; 
CD4_T_cell_signaling, 514,  9, 23,  540, 1, 3, 1649540, 112548.32, 0, 0.00, 1: 169; 2: 160; 3: 17; 
CD4_T_cell_signaling, 877, 16, 12,  540, 1, 3, 1539711, 112548.32, 0, 0.00, 1: 172; 2: 154; 3: 20; 
CD4_T_cell_signaling, 905, 14, 14,  540, 1, 3, 1583775, 112548.32, 0, 0.00, 1: 176; 2: 146; 3: 24; 
CD4_T_cell_signaling, 138, 10, 20,  540, 1, 3, 1606360, 112548.32, 0, 0.00, 1: 176; 2: 146; 3: 24; 
CD4_T_cell_signaling, 875, 14, 14,  540, 1, 3, 1583722, 112548.32, 0, 0.00, 1: 182; 2: 134; 3: 30; 
CD4_T_cell_signaling, 229,  9, 23,  540, 1, 3, 1649422, 112548.32, 0, 0.00, 1: 177; 2: 144; 3: 25; 
CD4_T_cell_signaling, 560,  9, 21,  540, 1, 3, 1527876, 112548.32, 36, 0.00, 1: 172; 2: 154; 3: 20; 
CD4_T_cell_signaling, 232, 12, 16,  540, 1, 3, 1539700, 112548.32, 16, 0.00, 1: 177; 2: 144; 3: 25; 
CD4_T_cell_signaling,  70, 12, 16,  540, 1, 3, 1539733, 112548.32, 0, 0.00, 1: 173; 2: 152; 3: 21; 
CD4_T_cell_signaling, 868, 10, 20,  540, 1, 3, 1606584, 112548.32, 162, 0.00, 1: 175; 2: 148; 3: 23; 
CD4_T_cell_signaling, 328,  9, 22,  540, 1, 3, 1595446, 112548.32, 20, 0.00, 1: 170; 2: 158; 3: 18; 
CD4_T_cell_signaling, 836, 14, 14,  540, 1, 3, 1583555, 112548.32, 58, 0.00, 1: 170; 2: 158; 3: 18; 
CD4_T_cell_signaling,  80, 15, 13,  540, 1, 3, 1568103, 112548.32, 8, 0.00, 1: 177; 2: 144; 3: 25; 
CD4_T_cell_signaling, 326, 11, 18,  541, 1, 3, 1595334, 112548.32, 0, 0.00, 1: 175; 2: 147; 3: 24; 
CD4_T_cell_signaling, 208,  9, 23,  541, 1, 3, 1649505, 112548.32, 15, 0.00, 1: 174; 2: 149; 3: 23; 
CD4_T_cell_signaling, 339,  9, 21,  541, 1, 3, 1527876, 112548.32, 0, 0.00, 1: 171; 2: 155; 3: 20; 
CD4_T_cell_signaling, 369,  9, 23,  541, 1, 3, 1649884, 112548.32, 0, 0.00, 1: 175; 2: 147; 3: 24; 
CD4_T_cell_signaling, 288,  8, 24,  541, 1, 3, 1539722, 112548.32, 18, 0.00, 1: 175; 2: 147; 3: 24; 
CD4_T_cell_signaling, 378, 16, 12,  541, 1, 3, 1539717, 112548.32, 0, 0.00, 1: 176; 2: 145; 3: 25; 
CD4_T_cell_signaling, 803, 16, 12,  541, 1, 3, 1539674, 112548.32, 0, 0.00, 1: 169; 2: 159; 3: 18; 
CD4_T_cell_signaling, 799, 16, 12,  541, 1, 3, 1539706, 112548.32, 0, 0.00, 1: 175; 2: 147; 3: 24; 
CD4_T_cell_signaling, 490, 14, 14,  541, 1, 3, 1583533, 112548.32, 0, 0.00, 1: 173; 2: 151; 3: 22; 
CD4_T_cell_signaling, 259, 10, 20,  541, 1, 3, 1606656, 112548.32, 0, 0.00, 1: 175; 2: 147; 3: 24; 
CD4_T_cell_signaling, 863,  9, 22,  541, 1, 3, 1595591, 112548.32, 0, 0.00, 1: 175; 2: 147; 3: 24; 
CD4_T_cell_signaling, 193, 16, 12,  541, 1, 3, 1539663, 112548.32, 0, 0.00, 1: 170; 2: 157; 3: 19; 
CD4_T_cell_signaling, 221, 10, 19,  541, 1, 3, 1526105, 112548.32, 0, 0.00, 1: 172; 2: 153; 3: 21; 
CD4_T_cell_signaling, 542, 16, 12,  541, 1, 3, 1539700, 112548.32, 0, 0.00, 1: 179; 2: 139; 3: 28; 
CD4_T_cell_signaling, 589, 10, 20,  541, 1, 3, 1606565, 112548.32, 0, 0.00, 1: 171; 2: 155; 3: 20; 
CD4_T_cell_signaling, 152, 15, 13,  541, 1, 3, 1568206, 112548.32, 12, 0.00, 1: 174; 2: 149; 3: 23; 
CD4_T_cell_signaling, 627, 10, 20,  541, 1, 3, 1606390, 112548.32, 0, 0.00, 1: 174; 2: 149; 3: 23; 
CD4_T_cell_signaling, 722, 12, 16,  541, 1, 3, 1539721, 112548.32, 0, 0.00, 1: 171; 2: 155; 3: 20; 
CD4_T_cell_signaling, 931,  9, 23,  541, 1, 3, 1649673, 112548.32, 0, 0.00, 1: 180; 2: 137; 3: 29; 
CD4_T_cell_signaling, 658, 12, 16,  541, 1, 3, 1539700, 112548.32, 0, 0.00, 1: 178; 2: 141; 3: 27; 
CD4_T_cell_signaling, 966, 12, 16,  541, 1, 3, 1539670, 112548.32, 0, 0.00, 1: 173; 2: 151; 3: 22; 
CD4_T_cell_signaling, 829, 11, 18,  542, 1, 3, 1595614, 112548.32, 0, 0.00, 1: 173; 2: 150; 3: 23; 
CD4_T_cell_signaling, 550, 11, 18,  542, 1, 3, 1595517, 112548.32, 0, 0.00, 1: 170; 2: 156; 3: 20; 
CD4_T_cell_signaling, 338, 14, 14,  542, 1, 3, 1583662, 112548.32, 0, 0.00, 1: 172; 2: 152; 3: 22; 
CD4_T_cell_signaling, 462, 13, 15,  542, 1, 3, 1568138, 112548.32, 0, 0.00, 1: 171; 2: 154; 3: 21; 
CD4_T_cell_signaling, 735,  8, 26,  542, 1, 3, 1663812, 112548.32, 0, 0.00, 1: 176; 2: 144; 3: 26; 
CD4_T_cell_signaling, 734,  8, 26,  542, 1, 3, 1664403, 112548.32, 0, 0.00, 1: 175; 2: 146; 3: 25; 
CD4_T_cell_signaling, 733, 12, 16,  542, 1, 3, 1539722, 112548.32, 0, 0.00, 1: 172; 2: 152; 3: 22; 
CD4_T_cell_signaling, 215,  9, 23,  542, 1, 3, 1649881, 112548.32, 0, 0.00, 1: 170; 2: 156; 3: 20; 
CD4_T_cell_signaling, 357, 14, 14,  542, 1, 3, 1583719, 112548.32, 0, 0.00, 1: 172; 2: 152; 3: 22; 
CD4_T_cell_signaling, 871, 11, 18,  542, 1, 3, 1595397, 112548.32, 0, 0.00, 1: 174; 2: 148; 3: 24; 
CD4_T_cell_signaling, 815, 16, 12,  542, 1, 3, 1539651, 112548.32, 0, 0.00, 1: 175; 2: 146; 3: 25; 
CD4_T_cell_signaling, 952,  9, 22,  542, 1, 3, 1595730, 112548.32, 71, 0.00, 1: 177; 2: 142; 3: 27; 
CD4_T_cell_signaling, 583,  9, 23,  542, 1, 3, 1649716, 112548.32, 0, 0.00, 1: 172; 2: 152; 3: 22; 
CD4_T_cell_signaling, 613, 10, 19,  542, 1, 3, 1526073, 112548.32, 0, 0.00, 1: 177; 2: 142; 3: 27; 
CD4_T_cell_signaling, 855, 12, 17,  542, 1, 3, 1626478, 112548.32, 0, 0.00, 1: 174; 2: 148; 3: 24; 
CD4_T_cell_signaling, 319, 14, 14,  542, 1, 3, 1583804, 112548.32, 0, 0.00, 1: 172; 2: 152; 3: 22; 
CD4_T_cell_signaling, 756, 15, 13,  542, 1, 3, 1568112, 112548.32, 36, 0.00, 1: 173; 2: 150; 3: 23; 
CD4_T_cell_signaling, 512, 10, 20,  543, 1, 3, 1606575, 112548.32, 33, 0.00, 1: 172; 2: 151; 3: 23; 
CD4_T_cell_signaling, 459, 14, 14,  543, 1, 3, 1583797, 112548.32, 0, 0.00, 1: 176; 2: 143; 3: 27; 
CD4_T_cell_signaling, 529,  9, 23,  543, 1, 3, 1649744, 112548.32, 0, 0.00, 1: 176; 2: 143; 3: 27; 
CD4_T_cell_signaling, 446, 11, 18,  543, 1, 3, 1595539, 112548.32, 0, 0.00, 1: 178; 2: 139; 3: 29; 
CD4_T_cell_signaling, 505,  9, 23,  543, 1, 3, 1649842, 112548.32, 0, 0.00, 1: 176; 2: 143; 3: 27; 
CD4_T_cell_signaling,  78, 13, 15,  543, 1, 3, 1568132, 112548.32, 0, 0.00, 1: 171; 2: 153; 3: 22; 
CD4_T_cell_signaling, 873, 15, 13,  543, 1, 3, 1568280, 112548.32, 0, 0.00, 1: 167; 2: 161; 3: 18; 
