Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
13(156)
Melhor resultado nxn: IGVH_mutations_in_chronic_lymphocytic_leukemia, 465, 10, 10,  190, 1, 3, 796130, 24388.44, 0, 0.00, 1: 114; 2: 32; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 744, 11,  9,  196, 1, 3, 786187, 24388.44, 67, 0.00, 1: 109; 2: 36; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 205, 11,  9,  196, 1, 3, 786142, 24388.44, 0, 0.00, 1: 109; 2: 36; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 215,  8, 12,  196, 1, 3, 764323, 24388.44, 0, 0.00, 1: 111; 2: 32; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 636,  8, 12,  196, 1, 3, 764468, 24388.44, 50, 0.00, 1: 112; 2: 30; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 651, 10, 10,  196, 1, 3, 796115, 24388.44, 0, 0.00, 1: 113; 2: 28; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  43, 11,  9,  196, 1, 3, 786140, 24388.44, 0, 0.00, 1: 107; 2: 40; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 985, 11,  9,  196, 1, 3, 785987, 24388.44, 0, 0.00, 1: 110; 2: 34; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 122,  9, 11,  197, 1, 3, 786051, 24388.44, 0, 0.00, 1: 113; 2: 27; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 542,  8, 12,  197, 1, 3, 764426, 24388.44, 0, 0.00, 1: 111; 2: 31; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 906, 10, 10,  197, 1, 3, 796080, 24388.44, 0, 0.00, 1: 110; 2: 33; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 898, 11,  9,  197, 1, 3, 785961, 24388.44, 0, 0.00, 1: 113; 2: 27; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 373,  9, 11,  197, 1, 3, 786138, 24388.44, 0, 0.00, 1: 109; 2: 35; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 594, 10, 10,  197, 1, 3, 795989, 24388.44, 0, 0.00, 1: 109; 2: 35; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 601, 11,  9,  197, 1, 3, 785926, 24388.44, 0, 0.00, 1: 109; 2: 35; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 684,  9, 11,  197, 1, 3, 786141, 24388.44, 57, 0.00, 1: 111; 2: 31; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 126, 10, 10,  197, 1, 3, 796101, 24388.44, 0, 0.00, 1: 109; 2: 35; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 207,  7, 15,  197, 1, 3, 826390, 24388.44, 0, 0.00, 1: 113; 2: 27; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 127,  8, 12,  197, 1, 3, 764483, 24388.44, 0, 0.00, 1: 111; 2: 31; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 956,  8, 12,  197, 1, 3, 764404, 24388.44, 77, 0.00, 1: 109; 2: 35; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 614, 10, 10,  197, 1, 3, 796033, 24388.44, 0, 0.00, 1: 109; 2: 35; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 661,  7, 14,  197, 1, 3, 780959, 24388.44, 0, 0.00, 1: 107; 2: 39; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 846, 10, 10,  197, 1, 3, 796011, 24388.44, 0, 0.00, 1: 109; 2: 35; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 427, 11,  9,  197, 1, 3, 786144, 24388.44, 0, 0.00, 1: 109; 2: 35; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 855,  8, 12,  197, 1, 3, 764388, 24388.44, 0, 0.00, 1: 110; 2: 33; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 937,  9, 11,  197, 1, 3, 786101, 24388.44, 0, 0.00, 1: 109; 2: 35; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 893, 12,  8,  198, 1, 3, 764457, 24388.44, 0, 0.00, 1: 111; 2: 30; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 973, 12,  8,  198, 1, 3, 764388, 24388.44, 0, 0.00, 1: 112; 2: 28; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 372,  8, 12,  198, 1, 3, 764434, 24388.44, 37, 0.00, 1: 110; 2: 32; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 100,  7, 15,  198, 1, 3, 826772, 24388.44, 30, 0.00, 1: 111; 2: 30; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 583, 10, 10,  198, 1, 3, 796191, 24388.44, 0, 0.00, 1: 108; 2: 36; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 799, 10, 10,  198, 1, 3, 795969, 24388.44, 0, 0.00, 1: 109; 2: 34; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 924,  8, 12,  198, 1, 3, 764414, 24388.44, 86, 0.00, 1: 112; 2: 28; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 277,  8, 12,  198, 1, 3, 764346, 24388.44, 0, 0.00, 1: 108; 2: 36; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 480, 10, 10,  198, 1, 3, 796060, 24388.44, 45, 0.00, 1: 111; 2: 30; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 303,  9, 11,  198, 1, 3, 786173, 24388.44, 0, 0.00, 1: 108; 2: 36; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 833,  8, 12,  198, 1, 3, 764503, 24388.44, 0, 0.00, 1: 105; 2: 42; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 307,  9, 11,  198, 1, 3, 786196, 24388.44, 0, 0.00, 1: 111; 2: 30; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 206, 10, 10,  198, 1, 3, 796120, 24388.44, 0, 0.00, 1: 109; 2: 34; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 479,  9, 11,  198, 1, 3, 786275, 24388.44, 0, 0.00, 1: 111; 2: 30; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 706, 10, 10,  198, 1, 3, 796037, 24388.44, 0, 0.00, 1: 112; 2: 28; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 929,  7, 15,  199, 1, 3, 826568, 24388.44, 0, 0.00, 1: 107; 2: 37; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 746,  7, 14,  199, 1, 3, 780715, 24388.44, 0, 0.00, 1: 110; 2: 31; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 702, 11,  9,  199, 1, 3, 785857, 24388.44, 0, 0.00, 1: 111; 2: 29; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 634,  8, 12,  199, 1, 3, 764371, 24388.44, 0, 0.00, 1: 108; 2: 35; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 959, 12,  8,  199, 1, 3, 764360, 24388.44, 0, 0.00, 1: 109; 2: 33; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 142, 10, 10,  199, 1, 3, 796162, 24388.44, 0, 0.00, 1: 107; 2: 37; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 538, 11,  9,  199, 1, 3, 786053, 24388.44, 0, 0.00, 1: 107; 2: 37; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  15,  8, 12,  199, 1, 3, 764392, 24388.44, 0, 0.00, 1: 108; 2: 35; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 758,  7, 13,  199, 1, 3, 728910, 24388.44, 0, 0.00, 1: 107; 2: 37; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 928,  7, 15,  199, 1, 3, 826661, 24388.44, 86, 0.00, 1: 110; 2: 31; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 991,  7, 13,  199, 1, 3, 728910, 24388.44, 0, 0.00, 1: 109; 2: 33; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 254, 12,  8,  199, 1, 3, 764260, 24388.44, 0, 0.00, 1: 109; 2: 33; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 873, 12,  8,  199, 1, 3, 764365, 24388.44, 0, 0.00, 1: 109; 2: 33; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  56, 12,  8,  199, 1, 3, 764392, 24388.44, 10, 0.00, 1: 110; 2: 31; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 191, 11,  9,  199, 1, 3, 786011, 24388.44, 0, 0.00, 1: 111; 2: 29; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 314, 12,  8,  199, 1, 3, 764310, 24388.44, 0, 0.00, 1: 112; 2: 27; 3: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 500, 11,  9,  199, 1, 3, 786183, 24388.44, 72, 0.00, 1: 110; 2: 31; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 717, 10, 10,  200, 1, 3, 796246, 24388.44, 0, 0.00, 1: 109; 2: 32; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 521,  7, 15,  200, 1, 3, 826924, 24388.44, 0, 0.00, 1: 108; 2: 34; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 503,  9, 11,  200, 1, 3, 785919, 24388.44, 0, 0.00, 1: 105; 2: 40; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 402,  7, 15,  200, 1, 3, 826788, 24388.44, 0, 0.00, 1: 108; 2: 34; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 252,  7, 13,  200, 1, 3, 728910, 24388.44, 72, 0.00, 1: 108; 2: 34; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 671,  8, 12,  200, 1, 3, 764405, 24388.44, 0, 0.00, 1: 106; 2: 38; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 485,  8, 12,  200, 1, 3, 764360, 24388.44, 0, 0.00, 1: 108; 2: 34; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 629,  9, 11,  200, 1, 3, 786137, 24388.44, 0, 0.00, 1: 110; 2: 30; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 425,  8, 12,  200, 1, 3, 764415, 24388.44, 0, 0.00, 1: 110; 2: 30; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 143,  8, 12,  200, 1, 3, 764330, 24388.44, 0, 0.00, 1: 106; 2: 38; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 755,  8, 12,  200, 1, 3, 764206, 24388.44, 0, 0.00, 1: 109; 2: 32; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 351, 10, 10,  200, 1, 3, 796031, 24388.44, 0, 0.00, 1: 108; 2: 34; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 180,  9, 11,  200, 1, 3, 786166, 24388.44, 19, 0.00, 1: 110; 2: 30; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  96, 12,  8,  200, 1, 3, 764540, 24388.44, 14, 0.00, 1: 109; 2: 32; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  34, 11,  9,  200, 1, 3, 786203, 24388.44, 0, 0.00, 1: 106; 2: 38; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 912,  8, 12,  200, 1, 3, 764479, 24388.44, 85, 0.00, 1: 110; 2: 30; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 975,  9, 11,  201, 1, 3, 786112, 24388.44, 0, 0.00, 1: 109; 2: 31; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 282, 11,  9,  201, 1, 3, 786152, 24388.44, 0, 0.00, 1: 106; 2: 37; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 139, 10, 10,  201, 1, 3, 795968, 24388.44, 0, 0.00, 1: 109; 2: 31; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 658,  7, 13,  201, 1, 3, 728910, 24388.44, 0, 0.00, 1: 108; 2: 33; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 444,  6, 17,  201, 1, 3, 805359, 24388.44, 41, 0.00, 1: 107; 2: 35; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 305, 11,  9,  201, 1, 3, 785995, 24388.44, 0, 0.00, 1: 106; 2: 37; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 934, 11,  9,  201, 1, 3, 786219, 24388.44, 0, 0.00, 1: 108; 2: 33; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 513,  7, 13,  201, 1, 3, 728910, 24388.44, 0, 0.00, 1: 105; 2: 39; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 156,  8, 12,  201, 1, 3, 764280, 24388.44, 3, 0.00, 1: 108; 2: 33; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 804,  7, 13,  201, 1, 3, 728910, 24388.44, 90, 0.00, 1: 107; 2: 35; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  69,  9, 11,  201, 1, 3, 786126, 24388.44, 0, 0.00, 1: 110; 2: 29; 3: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 375, 12,  8,  201, 1, 3, 764439, 24388.44, 0, 0.00, 1: 106; 2: 37; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 813,  7, 13,  201, 1, 3, 728910, 24388.44, 0, 0.00, 1: 109; 2: 31; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 104, 12,  8,  201, 1, 3, 764352, 24388.44, 14, 0.00, 1: 109; 2: 31; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 979,  8, 12,  201, 1, 3, 764502, 24388.44, 0, 0.00, 1: 108; 2: 33; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 927,  7, 13,  201, 1, 3, 728910, 24388.44, 0, 0.00, 1: 107; 2: 35; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 385, 12,  8,  202, 1, 3, 764477, 24388.44, 0, 0.00, 1: 101; 2: 46; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 808,  8, 12,  202, 1, 3, 764292, 24388.44, 75, 0.00, 1: 112; 2: 24; 3: 14; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  45, 12,  8,  202, 1, 3, 764481, 24388.44, 0, 0.00, 1: 109; 2: 30; 3: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 720,  7, 14,  202, 1, 3, 780779, 24388.44, 65, 0.00, 1: 108; 2: 32; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 511, 11,  9,  202, 1, 3, 786143, 24388.44, 0, 0.00, 1: 105; 2: 38; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 528,  7, 13,  202, 1, 3, 728910, 24388.44, 48, 0.00, 1: 109; 2: 30; 3: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 874,  7, 13,  202, 1, 3, 728910, 24388.44, 0, 0.00, 1: 106; 2: 36; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 275,  8, 12,  202, 1, 3, 764396, 24388.44, 0, 0.00, 1: 107; 2: 34; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 318,  7, 14,  202, 1, 3, 780876, 24388.44, 0, 0.00, 1: 110; 2: 28; 3: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 214,  7, 13,  202, 1, 3, 728910, 24388.44, 0, 0.00, 1: 108; 2: 32; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 414, 12,  8,  202, 1, 3, 764398, 24388.44, 0, 0.00, 1: 108; 2: 32; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  66,  7, 13,  202, 1, 3, 728910, 24388.44, 0, 0.00, 1: 109; 2: 30; 3: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 458,  9, 11,  203, 1, 3, 786227, 24388.44, 0, 0.00, 1: 102; 2: 43; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 623, 11,  9,  203, 1, 3, 786114, 24388.44, 0, 0.00, 1: 109; 2: 29; 3: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 181,  6, 16,  203, 1, 3, 764293, 24388.44, 0, 0.00, 1: 109; 2: 29; 3: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 994,  7, 14,  203, 1, 3, 780780, 24388.44, 0, 0.00, 1: 108; 2: 31; 3: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 158,  7, 15,  203, 1, 3, 826849, 24388.44, 0, 0.00, 1: 107; 2: 33; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 257, 12,  8,  203, 1, 3, 764348, 24388.44, 0, 0.00, 1: 106; 2: 35; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 643,  7, 13,  203, 1, 3, 728910, 24388.44, 0, 0.00, 1: 108; 2: 31; 3: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 703, 12,  8,  203, 1, 3, 764365, 24388.44, 0, 0.00, 1: 108; 2: 31; 3: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 858,  7, 15,  203, 1, 3, 826863, 24388.44, 0, 0.00, 1: 106; 2: 35; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 919, 12,  8,  204, 1, 3, 764465, 24388.44, 0, 0.00, 1: 105; 2: 36; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 250,  6, 18,  204, 1, 3, 845658, 24388.44, 0, 0.00, 1: 110; 2: 26; 3: 14; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 889,  7, 14,  205, 1, 3, 780663, 24388.44, 0, 0.00, 1: 106; 2: 33; 3: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 129, 11,  9,  205, 1, 3, 786180, 24388.44, 0, 0.00, 1: 107; 2: 31; 3: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 783,  6, 16,  205, 1, 3, 764372, 24388.44, 0, 0.00, 1: 109; 2: 27; 3: 14; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 148,  9, 11,  205, 1, 3, 786255, 24388.44, 63, 0.00, 1: 105; 2: 35; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 950,  8, 12,  206, 1, 3, 764465, 24388.44, 0, 0.00, 1: 103; 2: 38; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 730,  6, 18,  206, 1, 3, 846501, 24388.44, 0, 0.00, 1: 106; 2: 32; 3: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 154,  9, 11,  189, 1, 4, 786034, 24388.44, 0, 0.00, 1: 117; 2: 28; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 455, 10, 10,  191, 1, 4, 796135, 24388.44, 0, 0.00, 1: 114; 2: 32; 3: 3; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 818,  8, 12,  192, 1, 4, 764327, 24388.44, 0, 0.00, 1: 114; 2: 31; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 208, 11,  9,  192, 1, 4, 786174, 24388.44, 26, 0.00, 1: 113; 2: 33; 3: 3; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 784, 10, 10,  192, 1, 4, 795960, 24388.44, 75, 0.00, 1: 115; 2: 29; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 676,  7, 15,  193, 1, 4, 827099, 24388.44, 62, 0.00, 1: 115; 2: 28; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 943,  8, 12,  193, 1, 4, 764319, 24388.44, 0, 0.00, 1: 114; 2: 30; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  74,  9, 11,  193, 1, 4, 786161, 24388.44, 0, 0.00, 1: 115; 2: 28; 3: 6; 4: 1; 
