Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
03(279)
Melhor resultado nxn: IGVH_mutations_in_chronic_lymphocytic_leukemia, 609, 10, 10,  186, 1, 3, 796171, 20046.63, 0, 0.00, 1: 116; 2: 32; 3: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 123, 10, 10,  187, 1, 3, 795937, 20046.63, 0, 0.00, 1: 115; 2: 33; 3: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 133, 11,  9,  187, 1, 3, 786203, 20046.63, 0, 0.00, 1: 117; 2: 29; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 200, 10, 10,  187, 1, 3, 795999, 20046.63, 25, 0.00, 1: 118; 2: 27; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 506, 11,  9,  187, 1, 3, 786288, 20046.63, 0, 0.00, 1: 119; 2: 25; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 203, 10, 10,  187, 1, 3, 796010, 20046.63, 0, 0.00, 1: 116; 2: 31; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 177, 11,  9,  187, 1, 3, 785853, 20046.63, 0, 0.00, 1: 115; 2: 33; 3: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 776, 11,  9,  187, 1, 3, 785953, 20046.63, 74, 0.00, 1: 116; 2: 31; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 493, 10, 10,  187, 1, 3, 795879, 20046.63, 0, 0.00, 1: 118; 2: 27; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 817,  7, 14,  188, 1, 3, 780852, 20046.63, 0, 0.00, 1: 117; 2: 28; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 140,  9, 11,  188, 1, 3, 786164, 20046.63, 10, 0.00, 1: 118; 2: 26; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 155,  7, 13,  188, 1, 3, 728910, 20046.63, 0, 0.00, 1: 116; 2: 30; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 741, 11,  9,  188, 1, 3, 785916, 20046.63, 0, 0.00, 1: 114; 2: 34; 3: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 722, 10, 10,  188, 1, 3, 795815, 20046.63, 0, 0.00, 1: 116; 2: 30; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 421, 10, 10,  188, 1, 3, 795471, 20046.63, 0, 0.00, 1: 117; 2: 28; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 551, 10, 10,  188, 1, 3, 796034, 20046.63, 0, 0.00, 1: 116; 2: 30; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 122,  9, 11,  188, 1, 3, 786252, 20046.63, 0, 0.00, 1: 116; 2: 30; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 605, 11,  9,  188, 1, 3, 786143, 20046.63, 0, 0.00, 1: 117; 2: 28; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 916,  8, 12,  188, 1, 3, 764087, 20046.63, 43, 0.00, 1: 116; 2: 30; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  44, 10, 10,  188, 1, 3, 795997, 20046.63, 7, 0.00, 1: 118; 2: 26; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 940, 10, 10,  188, 1, 3, 795868, 20046.63, 34, 0.00, 1: 117; 2: 28; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 398,  8, 12,  188, 1, 3, 764506, 20046.63, 0, 0.00, 1: 117; 2: 28; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  52,  8, 12,  189, 1, 3, 764478, 20046.63, 16, 0.00, 1: 114; 2: 33; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 503,  9, 11,  189, 1, 3, 786094, 20046.63, 0, 0.00, 1: 115; 2: 31; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 342, 10, 10,  189, 1, 3, 796179, 20046.63, 0, 0.00, 1: 115; 2: 31; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 724, 10, 10,  189, 1, 3, 796062, 20046.63, 64, 0.00, 1: 114; 2: 33; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 899, 11,  9,  189, 1, 3, 786011, 20046.63, 0, 0.00, 1: 114; 2: 33; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 726, 10, 10,  189, 1, 3, 795917, 20046.63, 0, 0.00, 1: 114; 2: 33; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 763, 11,  9,  189, 1, 3, 785966, 20046.63, 0, 0.00, 1: 119; 2: 23; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 146,  9, 11,  189, 1, 3, 786008, 20046.63, 0, 0.00, 1: 115; 2: 31; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 500, 11,  9,  189, 1, 3, 786088, 20046.63, 72, 0.00, 1: 115; 2: 31; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 536,  8, 12,  189, 1, 3, 764387, 20046.63, 48, 0.00, 1: 115; 2: 31; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 307,  9, 11,  189, 1, 3, 786296, 20046.63, 0, 0.00, 1: 116; 2: 29; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 213, 10, 10,  189, 1, 3, 796235, 20046.63, 0, 0.00, 1: 118; 2: 25; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 226, 11,  9,  189, 1, 3, 786106, 20046.63, 0, 0.00, 1: 117; 2: 27; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  20, 11,  9,  189, 1, 3, 785774, 20046.63, 111, 0.00, 1: 116; 2: 29; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 836,  9, 11,  189, 1, 3, 786097, 20046.63, 5, 0.00, 1: 113; 2: 35; 3: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 835,  9, 11,  189, 1, 3, 786183, 20046.63, 0, 0.00, 1: 113; 2: 35; 3: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 508, 11,  9,  189, 1, 3, 786150, 20046.63, 3, 0.00, 1: 113; 2: 35; 3: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 405, 12,  8,  189, 1, 3, 764224, 20046.63, 0, 0.00, 1: 115; 2: 31; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 687, 10, 10,  189, 1, 3, 796102, 20046.63, 0, 0.00, 1: 115; 2: 31; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  94, 12,  8,  190, 1, 3, 764347, 20046.63, 0, 0.00, 1: 113; 2: 34; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 334, 11,  9,  190, 1, 3, 785965, 20046.63, 0, 0.00, 1: 116; 2: 28; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 367,  9, 11,  190, 1, 3, 786149, 20046.63, 0, 0.00, 1: 116; 2: 28; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 363,  8, 12,  190, 1, 3, 764460, 20046.63, 0, 0.00, 1: 113; 2: 34; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 863,  9, 11,  190, 1, 3, 786096, 20046.63, 0, 0.00, 1: 114; 2: 32; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 549, 10, 10,  190, 1, 3, 796161, 20046.63, 0, 0.00, 1: 116; 2: 28; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 126, 10, 10,  190, 1, 3, 795848, 20046.63, 0, 0.00, 1: 113; 2: 34; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 125,  8, 12,  190, 1, 3, 764254, 20046.63, 0, 0.00, 1: 114; 2: 32; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 966, 10, 10,  190, 1, 3, 796181, 20046.63, 0, 0.00, 1: 115; 2: 30; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 617,  8, 12,  190, 1, 3, 764494, 20046.63, 0, 0.00, 1: 114; 2: 32; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 401, 10, 10,  190, 1, 3, 796244, 20046.63, 0, 0.00, 1: 113; 2: 34; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 532, 12,  8,  190, 1, 3, 764435, 20046.63, 82, 0.00, 1: 116; 2: 28; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 542,  8, 12,  190, 1, 3, 764362, 20046.63, 0, 0.00, 1: 116; 2: 28; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 961,  7, 15,  190, 1, 3, 826889, 20046.63, 0, 0.00, 1: 117; 2: 26; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 275,  8, 12,  190, 1, 3, 764420, 20046.63, 0, 0.00, 1: 114; 2: 32; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  34, 11,  9,  190, 1, 3, 786134, 20046.63, 0, 0.00, 1: 115; 2: 30; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 935,  8, 12,  190, 1, 3, 764414, 20046.63, 0, 0.00, 1: 117; 2: 26; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 514,  8, 12,  190, 1, 3, 764372, 20046.63, 0, 0.00, 1: 116; 2: 28; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 109,  7, 15,  190, 1, 3, 826360, 20046.63, 0, 0.00, 1: 116; 2: 28; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 820, 12,  8,  190, 1, 3, 764250, 20046.63, 71, 0.00, 1: 112; 2: 36; 3: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 183, 10, 10,  190, 1, 3, 796062, 20046.63, 0, 0.00, 1: 115; 2: 30; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 301, 10, 10,  190, 1, 3, 796016, 20046.63, 0, 0.00, 1: 115; 2: 30; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 603,  8, 12,  190, 1, 3, 764481, 20046.63, 0, 0.00, 1: 115; 2: 30; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 175, 12,  8,  190, 1, 3, 764377, 20046.63, 0, 0.00, 1: 116; 2: 28; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 607, 10, 10,  190, 1, 3, 795737, 20046.63, 0, 0.00, 1: 115; 2: 30; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 666, 12,  8,  190, 1, 3, 764476, 20046.63, 0, 0.00, 1: 116; 2: 28; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 893, 12,  8,  190, 1, 3, 764283, 20046.63, 0, 0.00, 1: 114; 2: 32; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 180,  9, 11,  190, 1, 3, 786195, 20046.63, 19, 0.00, 1: 114; 2: 32; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 264,  8, 12,  190, 1, 3, 764261, 20046.63, 29, 0.00, 1: 116; 2: 28; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 399, 12,  8,  190, 1, 3, 764375, 20046.63, 0, 0.00, 1: 114; 2: 32; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 993,  7, 15,  191, 1, 3, 826681, 20046.63, 0, 0.00, 1: 115; 2: 29; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 215,  8, 12,  191, 1, 3, 764357, 20046.63, 0, 0.00, 1: 115; 2: 29; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 574, 12,  8,  191, 1, 3, 764334, 20046.63, 0, 0.00, 1: 118; 2: 23; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 653, 11,  9,  191, 1, 3, 786094, 20046.63, 0, 0.00, 1: 114; 2: 31; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 280, 11,  9,  191, 1, 3, 786273, 20046.63, 30, 0.00, 1: 114; 2: 31; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 654,  9, 11,  191, 1, 3, 786271, 20046.63, 0, 0.00, 1: 113; 2: 33; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 718,  7, 14,  191, 1, 3, 780736, 20046.63, 0, 0.00, 1: 117; 2: 25; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 709, 11,  9,  191, 1, 3, 785849, 20046.63, 0, 0.00, 1: 113; 2: 33; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 176, 10, 10,  191, 1, 3, 796114, 20046.63, 23, 0.00, 1: 113; 2: 33; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 696, 12,  8,  191, 1, 3, 764486, 20046.63, 58, 0.00, 1: 114; 2: 31; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 996, 11,  9,  191, 1, 3, 786201, 20046.63, 6, 0.00, 1: 117; 2: 25; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 285, 11,  9,  191, 1, 3, 786057, 20046.63, 0, 0.00, 1: 113; 2: 33; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 702, 11,  9,  191, 1, 3, 786071, 20046.63, 0, 0.00, 1: 115; 2: 29; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 365,  9, 11,  191, 1, 3, 785903, 20046.63, 0, 0.00, 1: 115; 2: 29; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 684,  9, 11,  191, 1, 3, 786367, 20046.63, 57, 0.00, 1: 113; 2: 33; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 132,  9, 11,  191, 1, 3, 786238, 20046.63, 21, 0.00, 1: 112; 2: 35; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 750,  7, 15,  191, 1, 3, 826861, 20046.63, 0, 0.00, 1: 116; 2: 27; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 755,  8, 12,  191, 1, 3, 764347, 20046.63, 0, 0.00, 1: 113; 2: 33; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 115, 11,  9,  191, 1, 3, 786211, 20046.63, 0, 0.00, 1: 116; 2: 27; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 211, 10, 10,  191, 1, 3, 796069, 20046.63, 0, 0.00, 1: 112; 2: 35; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 300, 10, 10,  191, 1, 3, 796133, 20046.63, 31, 0.00, 1: 113; 2: 33; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 142, 10, 10,  191, 1, 3, 796005, 20046.63, 0, 0.00, 1: 114; 2: 31; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 692, 11,  9,  191, 1, 3, 785967, 20046.63, 38, 0.00, 1: 112; 2: 35; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 555,  9, 11,  191, 1, 3, 786073, 20046.63, 0, 0.00, 1: 116; 2: 27; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  32, 10, 10,  191, 1, 3, 795915, 20046.63, 4, 0.00, 1: 117; 2: 25; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 538, 11,  9,  191, 1, 3, 785976, 20046.63, 0, 0.00, 1: 116; 2: 27; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  65,  7, 14,  191, 1, 3, 780746, 20046.63, 0, 0.00, 1: 115; 2: 29; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 417,  9, 11,  191, 1, 3, 786099, 20046.63, 0, 0.00, 1: 116; 2: 27; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 541,  9, 11,  191, 1, 3, 786264, 20046.63, 0, 0.00, 1: 114; 2: 31; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 461, 12,  8,  191, 1, 3, 764530, 20046.63, 0, 0.00, 1: 114; 2: 31; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 847, 10, 10,  191, 1, 3, 795811, 20046.63, 0, 0.00, 1: 117; 2: 25; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 846, 10, 10,  191, 1, 3, 795799, 20046.63, 0, 0.00, 1: 115; 2: 29; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 462,  9, 11,  191, 1, 3, 786176, 20046.63, 0, 0.00, 1: 115; 2: 29; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 947,  8, 12,  191, 1, 3, 764394, 20046.63, 0, 0.00, 1: 115; 2: 29; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 533, 10, 10,  191, 1, 3, 796227, 20046.63, 0, 0.00, 1: 113; 2: 33; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  28, 11,  9,  191, 1, 3, 785614, 20046.63, 111, 0.00, 1: 114; 2: 31; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 599, 10, 10,  191, 1, 3, 796152, 20046.63, 0, 0.00, 1: 114; 2: 31; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 930,  7, 14,  191, 1, 3, 780848, 20046.63, 0, 0.00, 1: 113; 2: 33; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 324, 10, 10,  191, 1, 3, 796135, 20046.63, 66, 0.00, 1: 113; 2: 33; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 472, 10, 10,  191, 1, 3, 795616, 20046.63, 43, 0.00, 1: 113; 2: 33; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 262, 11,  9,  191, 1, 3, 786232, 20046.63, 0, 0.00, 1: 112; 2: 35; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 735, 12,  8,  192, 1, 3, 764215, 20046.63, 0, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 510, 10, 10,  192, 1, 3, 795916, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 747, 11,  9,  192, 1, 3, 786214, 20046.63, 0, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 209, 11,  9,  192, 1, 3, 786107, 20046.63, 0, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 889,  7, 14,  192, 1, 3, 780713, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 504,  8, 12,  192, 1, 3, 764521, 20046.63, 46, 0.00, 1: 115; 2: 28; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 423,  8, 12,  192, 1, 3, 764436, 20046.63, 0, 0.00, 1: 116; 2: 26; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 762,  7, 15,  192, 1, 3, 826689, 20046.63, 0, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 958,  9, 11,  192, 1, 3, 786214, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 636,  8, 12,  192, 1, 3, 764436, 20046.63, 50, 0.00, 1: 116; 2: 26; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  70,  8, 12,  192, 1, 3, 764469, 20046.63, 0, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  71,  8, 12,  192, 1, 3, 764400, 20046.63, 0, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 294, 10, 10,  192, 1, 3, 795800, 20046.63, 0, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 956,  8, 12,  192, 1, 3, 764430, 20046.63, 77, 0.00, 1: 112; 2: 34; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 291, 11,  9,  192, 1, 3, 786135, 20046.63, 0, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 715,  7, 14,  192, 1, 3, 780814, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 714, 10, 10,  192, 1, 3, 795942, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 293,  9, 11,  192, 1, 3, 786123, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 711,  7, 15,  192, 1, 3, 826771, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 949, 11,  9,  192, 1, 3, 785856, 20046.63, 0, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 915,  8, 12,  192, 1, 3, 764290, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 413, 10, 10,  192, 1, 3, 796116, 20046.63, 0, 0.00, 1: 111; 2: 36; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 668, 12,  8,  192, 1, 3, 764298, 20046.63, 38, 0.00, 1: 115; 2: 28; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 921,  9, 11,  192, 1, 3, 786081, 20046.63, 0, 0.00, 1: 116; 2: 26; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 862,  9, 11,  192, 1, 3, 786007, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 439, 12,  8,  192, 1, 3, 764315, 20046.63, 0, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  75,  9, 11,  192, 1, 3, 785944, 20046.63, 0, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 803,  9, 11,  192, 1, 3, 785926, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 861, 12,  8,  192, 1, 3, 764295, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 271,  9, 11,  192, 1, 3, 786181, 20046.63, 0, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 873, 12,  8,  192, 1, 3, 764460, 20046.63, 0, 0.00, 1: 111; 2: 36; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 567, 11,  9,  192, 1, 3, 786171, 20046.63, 0, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 786, 11,  9,  192, 1, 3, 785797, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  80, 12,  8,  192, 1, 3, 764156, 20046.63, 12, 0.00, 1: 116; 2: 26; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  97,  8, 12,  192, 1, 3, 764406, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 135,  9, 11,  192, 1, 3, 786142, 20046.63, 0, 0.00, 1: 112; 2: 34; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 473, 10, 10,  192, 1, 3, 795833, 20046.63, 0, 0.00, 1: 118; 2: 22; 3: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 938,  7, 15,  193, 1, 3, 826764, 20046.63, 0, 0.00, 1: 113; 2: 31; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 810, 12,  8,  193, 1, 3, 764423, 20046.63, 0, 0.00, 1: 110; 2: 37; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 516,  7, 15,  193, 1, 3, 826703, 20046.63, 0, 0.00, 1: 113; 2: 31; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 848, 11,  9,  193, 1, 3, 786170, 20046.63, 78, 0.00, 1: 111; 2: 35; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  47,  8, 12,  193, 1, 3, 764401, 20046.63, 0, 0.00, 1: 114; 2: 29; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 526,  8, 12,  193, 1, 3, 764203, 20046.63, 0, 0.00, 1: 112; 2: 33; 3: 5; 
