Seed 1656949570
ARCH 1|F_ID 1|LIMIT 3
before: 
22(516)
Melhor resultado nxn: Glucose_Repression_Signaling_2009,  44,  9,  9,  127, 1, 2, 639230, 16081.55, 70, 0.00, 1: 85; 2: 21; 
Glucose_Repression_Signaling_2009, 181, 10,  8,  130, 1, 2, 634130, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 179,  7, 12,  130, 1, 2, 658731, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 591,  7, 12,  130, 1, 2, 658779, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 537,  6, 14,  130, 1, 2, 658581, 16081.55, 234, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 297,  8, 10,  130, 1, 2, 634141, 16081.55, 70, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 770,  7, 12,  130, 1, 2, 658642, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009,  54,  7, 12,  130, 1, 2, 658523, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 289,  7, 12,  130, 1, 2, 658978, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 588, 10,  8,  130, 1, 2, 634129, 16081.55, 187, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 606,  7, 12,  130, 1, 2, 658620, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 292,  9,  9,  130, 1, 2, 639302, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 522,  6, 14,  131, 1, 2, 659000, 16081.55, 45, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 553,  7, 12,  131, 1, 2, 658903, 16081.55, 71, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 861, 10,  8,  131, 1, 2, 634072, 16081.55, 85, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 549,  9,  9,  131, 1, 2, 639159, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 446, 10,  8,  131, 1, 2, 634018, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 118, 11,  7,  131, 1, 2, 613238, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 540,  8, 10,  131, 1, 2, 634068, 16081.55, 187, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 466, 11,  7,  131, 1, 2, 613331, 16081.55, 82, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 129,  8, 10,  131, 1, 2, 634203, 16081.55, 254, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 321, 10,  8,  131, 1, 2, 634226, 16081.55, 126, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 204, 10,  8,  131, 1, 2, 634156, 16081.55, 187, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 212,  6, 14,  131, 1, 2, 658648, 16081.55, 187, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 998, 11,  7,  131, 1, 2, 613207, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 189,  8, 10,  131, 1, 2, 633836, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 223,  7, 11,  131, 1, 2, 613278, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 183,  8, 10,  131, 1, 2, 634004, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 264, 10,  8,  131, 1, 2, 634309, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 180,  7, 12,  131, 1, 2, 658526, 16081.55, 45, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 993,  7, 11,  131, 1, 2, 613294, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 174,  9,  9,  131, 1, 2, 639234, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 282, 10,  8,  131, 1, 2, 633862, 16081.55, 46, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 987, 10,  8,  131, 1, 2, 633840, 16081.55, 139, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 436,  7, 12,  131, 1, 2, 659145, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 331, 10,  8,  131, 1, 2, 634169, 16081.55, 138, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 342,  8, 10,  131, 1, 2, 633815, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 965,  7, 11,  131, 1, 2, 613059, 16081.55, 85, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 157, 11,  7,  131, 1, 2, 613297, 16081.55, 85, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 376, 11,  7,  131, 1, 2, 613280, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 382,  8, 10,  131, 1, 2, 633827, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 386,  7, 11,  131, 1, 2, 613239, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 409,  7, 12,  131, 1, 2, 658839, 16081.55, 233, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 410,  7, 12,  131, 1, 2, 658806, 16081.55, 46, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 411,  6, 14,  131, 1, 2, 658851, 16081.55, 139, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 431,  7, 11,  131, 1, 2, 613186, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 558, 10,  8,  131, 1, 2, 633729, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 737, 10,  8,  131, 1, 2, 633919, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 699, 10,  8,  131, 1, 2, 634261, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 765,  6, 14,  131, 1, 2, 658659, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 898,  8, 10,  131, 1, 2, 634141, 16081.55, 46, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 776, 10,  8,  131, 1, 2, 634219, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 674, 11,  7,  131, 1, 2, 613063, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 779,  8, 10,  131, 1, 2, 634183, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 663,  9,  9,  131, 1, 2, 639450, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 922,  7, 11,  131, 1, 2, 613096, 16081.55, 46, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 657,  9,  9,  131, 1, 2, 639140, 16081.55, 207, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 923, 10,  8,  131, 1, 2, 633972, 16081.55, 139, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 650,  6, 13,  131, 1, 2, 619510, 16081.55, 45, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 802,  7, 12,  131, 1, 2, 658481, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 876,  9,  9,  131, 1, 2, 639220, 16081.55, 56, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 927,  9,  9,  131, 1, 2, 639092, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 596,  8, 10,  131, 1, 2, 634064, 16081.55, 187, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 857, 11,  7,  131, 1, 2, 613192, 16081.55, 235, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 618, 11,  7,  131, 1, 2, 613169, 16081.55, 65, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 931, 10,  8,  131, 1, 2, 633881, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 854, 11,  7,  131, 1, 2, 613128, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 562,  9,  9,  131, 1, 2, 639146, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 868,  8, 10,  131, 1, 2, 634010, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 561, 11,  7,  131, 1, 2, 613271, 16081.55, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 621,  8, 10,  131, 1, 2, 634278, 16081.55, 32, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 751, 10,  8,  132, 1, 2, 634092, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 281,  7, 12,  132, 1, 2, 658971, 16081.55, 233, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 752, 11,  7,  132, 1, 2, 613212, 16081.55, 22, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 723,  6, 13,  132, 1, 2, 619441, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 555,  8, 10,  132, 1, 2, 633932, 16081.55, 76, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 748,  9,  9,  132, 1, 2, 639279, 16081.55, 53, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 972,  7, 12,  132, 1, 2, 658641, 16081.55, 187, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 500, 11,  7,  132, 1, 2, 613147, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 728,  7, 11,  132, 1, 2, 613220, 16081.55, 200, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 832,  6, 14,  132, 1, 2, 658925, 16081.55, 32, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 276, 10,  8,  132, 1, 2, 634072, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 272,  7, 12,  132, 1, 2, 658593, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 863,  7, 12,  132, 1, 2, 658454, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 265,  9,  9,  132, 1, 2, 639399, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 790, 10,  8,  132, 1, 2, 633933, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 215, 10,  8,  132, 1, 2, 633892, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 894, 10,  8,  132, 1, 2, 634167, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 849, 11,  7,  132, 1, 2, 613224, 16081.55, 208, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 818, 11,  7,  132, 1, 2, 613299, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 825,  7, 12,  132, 1, 2, 658674, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 254,  7, 11,  132, 1, 2, 613089, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 235, 10,  8,  132, 1, 2, 633973, 16081.55, 116, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 837,  7, 12,  132, 1, 2, 658337, 16081.55, 85, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 484,  8, 10,  132, 1, 2, 634056, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 651,  6, 14,  132, 1, 2, 658833, 16081.55, 139, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 644,  9,  9,  132, 1, 2, 639198, 16081.55, 187, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 449,  8, 10,  132, 1, 2, 634246, 16081.55, 205, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 451,  7, 11,  132, 1, 2, 613295, 16081.55, 138, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 924, 10,  8,  132, 1, 2, 633858, 16081.55, 187, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 455, 10,  8,  132, 1, 2, 634009, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 642,  7, 11,  132, 1, 2, 613328, 16081.55, 45, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 480, 11,  7,  132, 1, 2, 613049, 16081.55, 7, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 422, 11,  7,  132, 1, 2, 613136, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 490,  9,  9,  132, 1, 2, 639505, 16081.55, 65, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 503,  7, 11,  132, 1, 2, 613158, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 619,  6, 13,  132, 1, 2, 619366, 16081.55, 76, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 515,  8, 10,  132, 1, 2, 634152, 16081.55, 139, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 523, 11,  7,  132, 1, 2, 613159, 16081.55, 139, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 524, 10,  8,  132, 1, 2, 634077, 16081.55, 187, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 541, 10,  8,  132, 1, 2, 634067, 16081.55, 85, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 717,  7, 12,  132, 1, 2, 658381, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 417, 10,  8,  132, 1, 2, 634181, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 672,  8, 10,  132, 1, 2, 634114, 16081.55, 6, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 677,  7, 11,  132, 1, 2, 612980, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 678,  7, 12,  132, 1, 2, 658635, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 687,  7, 12,  132, 1, 2, 658640, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 690,  6, 14,  132, 1, 2, 658166, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 375,  9,  9,  132, 1, 2, 639140, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 692,  7, 12,  132, 1, 2, 658766, 16081.55, 19, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 695,  8, 10,  132, 1, 2, 634102, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 353,  7, 11,  132, 1, 2, 613228, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 959,  7, 11,  132, 1, 2, 613216, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 702, 10,  8,  132, 1, 2, 634310, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 706, 11,  7,  132, 1, 2, 613143, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 338,  6, 14,  132, 1, 2, 658746, 16081.55, 82, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 711,  6, 14,  132, 1, 2, 658667, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009,  11,  7, 12,  132, 1, 2, 658626, 16081.55, 126, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009,  90,  7, 12,  132, 1, 2, 658153, 16081.55, 46, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009,  47,  7, 11,  132, 1, 2, 613191, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009,  52,  7, 11,  132, 1, 2, 612874, 16081.55, 187, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 156, 10,  8,  132, 1, 2, 633963, 16081.55, 187, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 169, 11,  7,  132, 1, 2, 613103, 16081.55, 67, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 128,  6, 14,  132, 1, 2, 658930, 16081.55, 224, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009,  58, 10,  8,  132, 1, 2, 634185, 16081.55, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009,  59, 10,  8,  132, 1, 2, 634149, 16081.55, 0, 0.00, 1: 80; 2: 26; 
