Seed 1656949570
ARCH 2|F_ID 1|LIMIT 3
before: 
72(320)
Melhor resultado nxn: Glucose_Repression_Signaling_2009, 392,  9,  9,  133, 1, 2, 638832, 17031.17, 0, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 814,  7, 12,  135, 1, 2, 658776, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 426, 10,  8,  135, 1, 2, 633934, 17031.17, 65, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 356, 10,  8,  135, 1, 2, 634069, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 657,  9,  9,  135, 1, 2, 639064, 17031.17, 239, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 319,  9,  9,  135, 1, 2, 639204, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 838,  9,  9,  135, 1, 2, 639340, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 669,  6, 14,  135, 1, 2, 658808, 17031.17, 85, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 851,  8, 10,  135, 1, 2, 634261, 17031.17, 222, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 417, 10,  8,  135, 1, 2, 634258, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 384,  7, 12,  135, 1, 2, 658740, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 604,  9,  9,  135, 1, 2, 639081, 17031.17, 224, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 867,  7, 11,  135, 1, 2, 613322, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 313,  9,  9,  135, 1, 2, 638937, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 590, 10,  8,  135, 1, 2, 634122, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 997,  9,  9,  135, 1, 2, 639094, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 716, 11,  7,  135, 1, 2, 613202, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 256,  8, 10,  135, 1, 2, 633984, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 498,  8, 10,  135, 1, 2, 633854, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 245,  7, 12,  135, 1, 2, 659028, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 736,  8, 10,  135, 1, 2, 634039, 17031.17, 6, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 702, 10,  8,  135, 1, 2, 634115, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 247,  8, 10,  135, 1, 2, 634028, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 953, 10,  8,  135, 1, 2, 634044, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009,  26,  9,  9,  135, 1, 2, 638851, 17031.17, 231, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 483,  6, 14,  135, 1, 2, 658673, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 389,  7, 12,  136, 1, 2, 658996, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 273,  7, 12,  136, 1, 2, 659016, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 600,  9,  9,  136, 1, 2, 639448, 17031.17, 72, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 123,  8, 10,  136, 1, 2, 634138, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009,  24,  9,  9,  136, 1, 2, 639398, 17031.17, 208, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 477,  6, 14,  136, 1, 2, 658549, 17031.17, 85, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 972,  7, 12,  136, 1, 2, 658648, 17031.17, 224, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 511,  9,  9,  136, 1, 2, 639062, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 103, 10,  8,  136, 1, 2, 634101, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009,  35, 11,  7,  136, 1, 2, 613105, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009,  28,  7, 12,  136, 1, 2, 658879, 17031.17, 224, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 858,  7, 11,  136, 1, 2, 613113, 17031.17, 231, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 854, 11,  7,  136, 1, 2, 613183, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 315,  9,  9,  136, 1, 2, 639155, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 265,  9,  9,  136, 1, 2, 639418, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 659,  9,  9,  136, 1, 2, 639246, 17031.17, 222, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 369, 10,  8,  136, 1, 2, 633931, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 255,  6, 14,  136, 1, 2, 658985, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 150,  7, 12,  136, 1, 2, 658845, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 152,  6, 13,  136, 1, 2, 619600, 17031.17, 136, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 361,  6, 14,  136, 1, 2, 658828, 17031.17, 71, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 784,  8, 10,  136, 1, 2, 634125, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 818, 11,  7,  136, 1, 2, 613164, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 489,  8, 10,  136, 1, 2, 633916, 17031.17, 71, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 789,  9,  9,  136, 1, 2, 639117, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 803,  7, 12,  136, 1, 2, 658664, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 943, 10,  8,  136, 1, 2, 634234, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 558, 10,  8,  136, 1, 2, 633990, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 942, 10,  8,  136, 1, 2, 634016, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 561, 11,  7,  136, 1, 2, 613139, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009,  45, 10,  8,  136, 1, 2, 634311, 17031.17, 115, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 679,  6, 14,  136, 1, 2, 658866, 17031.17, 0, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009,  48,  7, 12,  136, 1, 2, 659022, 17031.17, 128, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009,  89,  9,  9,  136, 1, 2, 639123, 17031.17, 8, 0.00, 1: 76; 2: 30; 
Glucose_Repression_Signaling_2009, 505, 10,  8,  137, 1, 2, 634328, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 189,  8, 10,  137, 1, 2, 634269, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 605,  7, 11,  137, 1, 2, 613313, 17031.17, 85, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 132,  7, 11,  137, 1, 2, 613088, 17031.17, 224, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 326, 10,  8,  137, 1, 2, 634179, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 714,  8, 10,  137, 1, 2, 634109, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 538, 10,  8,  137, 1, 2, 634169, 17031.17, 231, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 924, 10,  8,  137, 1, 2, 633953, 17031.17, 224, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 555,  8, 10,  137, 1, 2, 633885, 17031.17, 76, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 161,  8, 10,  137, 1, 2, 634112, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 615, 10,  8,  137, 1, 2, 634099, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 815, 11,  7,  137, 1, 2, 613278, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 617, 11,  7,  137, 1, 2, 613292, 17031.17, 71, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 486, 10,  8,  137, 1, 2, 633913, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 230,  7, 12,  137, 1, 2, 658831, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 938, 11,  7,  137, 1, 2, 613263, 17031.17, 76, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 292,  9,  9,  137, 1, 2, 638948, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 620,  7, 12,  137, 1, 2, 658791, 17031.17, 51, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009,  54,  7, 12,  137, 1, 2, 658829, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 831,  9,  9,  137, 1, 2, 639047, 17031.17, 255, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 993,  7, 11,  137, 1, 2, 613301, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 146,  7, 12,  137, 1, 2, 658996, 17031.17, 11, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 991,  7, 11,  137, 1, 2, 613125, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 506,  8, 10,  137, 1, 2, 634097, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 827,  6, 14,  137, 1, 2, 658851, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 741,  9,  9,  137, 1, 2, 639186, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 323,  6, 13,  137, 1, 2, 619605, 17031.17, 222, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 459,  9,  9,  137, 1, 2, 639222, 17031.17, 222, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 825,  7, 12,  137, 1, 2, 658701, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 431,  7, 11,  137, 1, 2, 613193, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 578, 10,  8,  137, 1, 2, 634029, 17031.17, 229, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 998, 11,  7,  137, 1, 2, 613132, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 665,  6, 14,  137, 1, 2, 658646, 17031.17, 10, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 579, 10,  8,  137, 1, 2, 634211, 17031.17, 222, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 100,  7, 11,  137, 1, 2, 613105, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 582,  7, 11,  137, 1, 2, 613192, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009,  92,  6, 14,  137, 1, 2, 658799, 17031.17, 224, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 687,  7, 12,  137, 1, 2, 659342, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 664,  6, 13,  137, 1, 2, 619622, 17031.17, 136, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 518,  8, 10,  137, 1, 2, 634241, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 407, 11,  7,  137, 1, 2, 613209, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 406, 11,  7,  137, 1, 2, 613273, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 513, 10,  8,  137, 1, 2, 634123, 17031.17, 239, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 772, 10,  8,  137, 1, 2, 633944, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 336,  7, 11,  137, 1, 2, 613141, 17031.17, 16, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 661,  8, 10,  137, 1, 2, 634129, 17031.17, 85, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 592,  7, 12,  137, 1, 2, 658799, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 755, 11,  7,  137, 1, 2, 613068, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 944, 10,  8,  137, 1, 2, 634121, 17031.17, 40, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 595, 10,  8,  137, 1, 2, 633937, 17031.17, 222, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 110,  8, 10,  137, 1, 2, 634023, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 129,  8, 10,  137, 1, 2, 634357, 17031.17, 30, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 776, 10,  8,  137, 1, 2, 634356, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 290, 10,  8,  137, 1, 2, 634044, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 560,  7, 11,  137, 1, 2, 613193, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 203,  7, 12,  137, 1, 2, 659195, 17031.17, 222, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 314, 11,  7,  137, 1, 2, 612974, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009,  79,  7, 12,  137, 1, 2, 658724, 17031.17, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 706, 11,  7,  138, 1, 2, 613164, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 187,  6, 14,  138, 1, 2, 658635, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 797, 10,  8,  138, 1, 2, 634115, 17031.17, 85, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 231, 10,  8,  138, 1, 2, 634103, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 737, 10,  8,  138, 1, 2, 633905, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 325,  6, 14,  138, 1, 2, 658660, 17031.17, 85, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 227, 11,  7,  138, 1, 2, 613258, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 192,  6, 13,  138, 1, 2, 619614, 17031.17, 48, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 748,  9,  9,  138, 1, 2, 639228, 17031.17, 53, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 279, 10,  8,  138, 1, 2, 634148, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 751, 10,  8,  138, 1, 2, 634149, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 295,  8, 10,  138, 1, 2, 634179, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 674, 11,  7,  138, 1, 2, 613166, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 496,  8, 10,  138, 1, 2, 634039, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 282, 10,  8,  138, 1, 2, 633941, 17031.17, 231, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 303,  7, 12,  138, 1, 2, 658700, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 524, 10,  8,  138, 1, 2, 633902, 17031.17, 224, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009,  37,  8, 10,  138, 1, 2, 634089, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 378,  7, 12,  138, 1, 2, 658502, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 470,  8, 10,  138, 1, 2, 634230, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 959,  7, 11,  138, 1, 2, 613222, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 863,  7, 12,  138, 1, 2, 658183, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 596,  8, 10,  138, 1, 2, 633900, 17031.17, 224, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 887,  7, 12,  138, 1, 2, 658780, 17031.17, 255, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 109,  8, 10,  138, 1, 2, 634200, 17031.17, 32, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 589,  8, 10,  138, 1, 2, 634135, 17031.17, 85, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 643, 11,  7,  138, 1, 2, 613108, 17031.17, 222, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009,  53,  7, 11,  138, 1, 2, 613149, 17031.17, 85, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 566,  7, 11,  138, 1, 2, 613183, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009,  90,  7, 12,  138, 1, 2, 658176, 17031.17, 231, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009,  65,  7, 11,  138, 1, 2, 613334, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 913,  6, 13,  138, 1, 2, 619650, 17031.17, 240, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 446, 10,  8,  138, 1, 2, 633873, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 441,  8, 10,  138, 1, 2, 633920, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 439,  6, 13,  138, 1, 2, 619420, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 927,  9,  9,  138, 1, 2, 638990, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 978,  9,  9,  138, 1, 2, 639246, 17031.17, 230, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 344, 10,  8,  138, 1, 2, 633946, 17031.17, 72, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 342,  8, 10,  138, 1, 2, 634150, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 350,  8, 10,  138, 1, 2, 633978, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 639,  9,  9,  138, 1, 2, 639286, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 484,  8, 10,  138, 1, 2, 633973, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 623, 10,  8,  138, 1, 2, 634024, 17031.17, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 362,  6, 14,  138, 1, 2, 658833, 17031.17, 65, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009,  33,  8, 10,  138, 1, 2, 634075, 17031.17, 0, 0.00, 1: 74; 2: 32; 
