Seed 1656949570
ARCH 0|F_ID 1|LIMIT 3
before: 
4(255)
Melhor resultado nxn: B_bronchiseptica_and_T_retortaeformis_coinfectio, 375,  6, 10,  237, 0, 4, 470467, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 50; 3: 23; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 806,  6,  9,  243, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 55; 3: 16; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 952,  6, 10,  243, 0, 4, 470483, 11992.95, 43, 0.00, 0: 6; 1: 51; 2: 44; 3: 32; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 206,  7,  8,  243, 0, 4, 442697, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 55; 3: 19; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 359,  6,  9,  243, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 49; 3: 19; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 182,  6, 10,  243, 0, 4, 470526, 11992.95, 0, 0.00, 0: 6; 1: 55; 2: 43; 3: 22; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 352,  7,  8,  243, 0, 4, 442643, 11992.95, 14, 0.00, 0: 6; 1: 50; 2: 52; 3: 19; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 177,  7,  8,  243, 0, 4, 442655, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 52; 3: 22; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 231,  8,  7,  244, 0, 4, 442613, 11992.95, 0, 0.00, 0: 6; 1: 53; 2: 45; 3: 23; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 482,  6,  9,  244, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 51; 3: 23; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 774,  8,  7,  244, 0, 4, 442691, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 52; 3: 21; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 556,  7,  8,  244, 0, 4, 442634, 11992.95, 18, 0.00, 0: 6; 1: 48; 2: 54; 3: 20; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 949,  6, 10,  244, 0, 4, 470539, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 53; 3: 22; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 708,  6, 10,  244, 0, 4, 470506, 11992.95, 6, 0.00, 0: 6; 1: 48; 2: 51; 3: 26; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 663,  7,  8,  244, 0, 4, 442641, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 55; 3: 24; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 299,  8,  7,  244, 0, 4, 442641, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 50; 3: 16; 4: 11; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 409,  9,  6,  244, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 52; 3: 27; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 117,  9,  6,  244, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 53; 2: 44; 3: 25; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 358,  6, 10,  244, 0, 4, 470446, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 48; 3: 20; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 929,  6, 10,  244, 0, 4, 470360, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 52; 3: 24; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 591,  9,  6,  245, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 52; 3: 20; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 710,  8,  7,  245, 0, 4, 442659, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 55; 3: 17; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 584,  9,  6,  245, 0, 4, 427869, 11992.95, 24, 0.00, 0: 6; 1: 49; 2: 50; 3: 24; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 325,  6,  9,  245, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 52; 3: 23; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 586,  8,  7,  245, 0, 4, 442600, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 49; 3: 23; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 866,  8,  7,  245, 0, 4, 442677, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 49; 3: 26; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 976,  6, 10,  245, 0, 4, 470429, 11992.95, 45, 0.00, 0: 6; 1: 46; 2: 55; 3: 23; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 317,  6, 10,  245, 0, 4, 470468, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 54; 3: 22; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 498,  9,  6,  245, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 46; 3: 23; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 141,  6,  9,  245, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 52; 3: 26; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 467,  6,  9,  245, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 45; 3: 25; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 456,  8,  7,  245, 0, 4, 442607, 11992.95, 18, 0.00, 0: 6; 1: 48; 2: 52; 3: 23; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 753,  8,  7,  245, 0, 4, 442655, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 55; 3: 23; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 440,  6,  9,  245, 0, 4, 427869, 11992.95, 18, 0.00, 0: 6; 1: 49; 2: 52; 3: 20; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 931,  7,  8,  245, 0, 4, 442644, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 54; 3: 19; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  50,  8,  7,  245, 0, 4, 442609, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 52; 3: 23; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 693,  6, 10,  245, 0, 4, 470526, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 52; 3: 23; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 780,  6, 10,  245, 0, 4, 470493, 11992.95, 40, 0.00, 0: 6; 1: 52; 2: 45; 3: 25; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 942,  6, 10,  245, 0, 4, 470570, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 52; 3: 20; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 621,  7,  8,  245, 0, 4, 442656, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 47; 3: 24; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 675,  6,  9,  245, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 54; 2: 43; 3: 23; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  22,  7,  8,  245, 0, 4, 442665, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 51; 3: 19; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 286,  6,  9,  246, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 53; 3: 29; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 339,  6,  9,  246, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 54; 3: 24; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 506,  8,  7,  246, 0, 4, 442672, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 50; 3: 23; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 454,  8,  7,  246, 0, 4, 442693, 11992.95, 0, 0.00, 0: 6; 1: 54; 2: 41; 3: 26; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 304,  8,  7,  246, 0, 4, 442651, 11992.95, 9, 0.00, 0: 6; 1: 49; 2: 52; 3: 19; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 110,  8,  7,  246, 0, 4, 442624, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 50; 3: 26; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 417,  6, 10,  246, 0, 4, 470478, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 50; 3: 23; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 165,  6, 10,  246, 0, 4, 470404, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 52; 3: 25; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 648,  7,  8,  246, 0, 4, 442625, 11992.95, 27, 0.00, 0: 6; 1: 48; 2: 51; 3: 24; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 862,  8,  7,  246, 0, 4, 442640, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 55; 3: 22; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 854,  8,  7,  246, 0, 4, 442670, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 54; 3: 21; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 739,  9,  6,  246, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 48; 3: 24; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 837,  6, 10,  246, 0, 4, 470381, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 48; 3: 27; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 728,  6,  9,  246, 0, 4, 427869, 11992.95, 32, 0.00, 0: 6; 1: 52; 2: 44; 3: 26; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  62,  8,  7,  246, 0, 4, 442666, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 51; 3: 30; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 957,  6, 10,  246, 0, 4, 470490, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 53; 3: 23; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 727,  9,  6,  246, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 45; 3: 27; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 972,  6, 10,  247, 0, 4, 470437, 11992.95, 1, 0.00, 0: 6; 1: 45; 2: 56; 3: 22; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 873,  6, 10,  247, 0, 4, 470511, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 49; 3: 30; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 469,  6, 10,  247, 0, 4, 470563, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 50; 3: 25; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 143,  6, 10,  247, 0, 4, 470503, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 51; 3: 23; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 762,  6, 10,  247, 0, 4, 470469, 11992.95, 0, 0.00, 0: 6; 1: 53; 2: 42; 3: 26; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 262,  9,  6,  247, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 51; 3: 26; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 272,  8,  7,  247, 0, 4, 442662, 11992.95, 8, 0.00, 0: 6; 1: 43; 2: 59; 3: 22; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  36,  7,  8,  247, 0, 4, 442638, 11992.95, 36, 0.00, 0: 6; 1: 48; 2: 51; 3: 23; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 402,  7,  8,  247, 0, 4, 442661, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 48; 3: 26; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 897,  6, 10,  247, 0, 4, 470455, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 51; 3: 26; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 884,  8,  7,  247, 0, 4, 442652, 11992.95, 21, 0.00, 0: 6; 1: 47; 2: 54; 3: 20; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 361,  7,  8,  247, 0, 4, 442665, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 45; 3: 29; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,   5,  6,  9,  247, 0, 4, 427869, 11992.95, 127, 0.00, 0: 6; 1: 51; 2: 48; 3: 20; 4: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 720,  7,  8,  247, 0, 4, 442679, 11992.95, 31, 0.00, 0: 6; 1: 50; 2: 45; 3: 29; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 730,  7,  8,  247, 0, 4, 442671, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 48; 3: 26; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 589,  7,  8,  247, 0, 4, 442700, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 56; 3: 22; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 575,  8,  7,  247, 0, 4, 442619, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 53; 3: 22; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 986,  9,  6,  247, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 45; 3: 29; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 180,  6, 10,  247, 0, 4, 470605, 11992.95, 32, 0.00, 0: 6; 1: 44; 2: 57; 3: 23; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 166,  9,  6,  247, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 48; 3: 23; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 537,  6, 10,  247, 0, 4, 470346, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 46; 3: 24; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 604,  6, 10,  247, 0, 4, 470438, 11992.95, 28, 0.00, 0: 6; 1: 44; 2: 57; 3: 23; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 686,  6,  9,  247, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 49; 3: 24; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 533,  6, 10,  247, 0, 4, 470523, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 49; 3: 27; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  60,  6,  9,  247, 0, 4, 427869, 11992.95, 6, 0.00, 0: 6; 1: 47; 2: 51; 3: 26; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 999,  6, 10,  248, 0, 4, 470548, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 53; 3: 21; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 377,  9,  6,  248, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 49; 3: 26; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 704,  9,  6,  248, 0, 4, 427869, 11992.95, 31, 0.00, 0: 6; 1: 42; 2: 60; 3: 22; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 865,  8,  7,  248, 0, 4, 442697, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 53; 3: 24; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 900,  7,  8,  248, 0, 4, 442660, 11992.95, 44, 0.00, 0: 6; 1: 44; 2: 60; 3: 16; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 395,  8,  7,  248, 0, 4, 442600, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 51; 3: 19; 4: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 706,  9,  6,  248, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 47; 3: 27; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 909,  7,  8,  248, 0, 4, 442703, 11992.95, 0, 0.00, 0: 6; 1: 44; 2: 57; 3: 22; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 926,  6,  9,  248, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 50; 3: 18; 4: 11; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 569,  7,  8,  248, 0, 4, 442663, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 54; 3: 22; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 943,  6, 10,  248, 0, 4, 470612, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 46; 3: 26; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 758,  8,  7,  248, 0, 4, 442716, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 51; 3: 22; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 886,  6, 10,  249, 0, 4, 470437, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 50; 3: 26; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 337,  9,  6,  249, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 51; 3: 27; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 966,  6, 10,  249, 0, 4, 470548, 11992.95, 0, 0.00, 0: 6; 1: 43; 2: 58; 3: 22; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 969,  7,  8,  249, 0, 4, 442694, 11992.95, 0, 0.00, 0: 6; 1: 41; 2: 59; 3: 26; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 211,  6, 10,  249, 0, 4, 470584, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 56; 3: 20; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 880,  9,  6,  249, 0, 4, 427869, 11992.95, 38, 0.00, 0: 6; 1: 48; 2: 46; 3: 31; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 642,  8,  7,  249, 0, 4, 442660, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 49; 3: 28; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 374,  5, 13,  249, 0, 4, 499347, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 54; 3: 21; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 394,  9,  6,  249, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 53; 3: 20; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 597,  8,  7,  249, 0, 4, 442701, 11992.95, 0, 0.00, 0: 6; 1: 53; 2: 39; 3: 30; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 695,  6, 10,  249, 0, 4, 470656, 11992.95, 0, 0.00, 0: 6; 1: 43; 2: 57; 3: 24; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 411,  6,  9,  249, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 42; 2: 58; 3: 25; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 415,  8,  7,  249, 0, 4, 442678, 11992.95, 0, 0.00, 0: 6; 1: 43; 2: 59; 3: 20; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 799,  9,  6,  249, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 45; 3: 24; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 794,  6, 10,  249, 0, 4, 470359, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 53; 3: 20; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 792,  7,  8,  249, 0, 4, 442587, 11992.95, 35, 0.00, 0: 6; 1: 49; 2: 49; 3: 22; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 777,  7,  8,  249, 0, 4, 442695, 11992.95, 0, 0.00, 0: 6; 1: 44; 2: 56; 3: 23; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 433,  6,  9,  249, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 44; 2: 53; 3: 29; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 549,  7,  8,  249, 0, 4, 442641, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 51; 3: 21; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,   0,  6, 10,  249, 0, 4, 470434, 11992.95, 224, 0.00, 0: 6; 1: 44; 2: 55; 3: 25; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 732,  5, 13,  250, 0, 4, 499455, 11992.95, 20, 0.00, 0: 6; 1: 48; 2: 47; 3: 28; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 500,  8,  7,  250, 0, 4, 442687, 11992.95, 48, 0.00, 0: 6; 1: 44; 2: 56; 3: 22; 4: 7; 
