Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
74(1000)
Melhor resultado nxn: CD4_T_cell_signaling, 361, 14, 14,  519, 1, 4, 1583799, 45211.48, 0, 0.00, 1: 211; 2: 105; 3: 22; 4: 8; 
CD4_T_cell_signaling,  28, 12, 17,  522, 1, 4, 1626156, 45211.48, 151, 0.00, 1: 212; 2: 99; 3: 28; 4: 7; 
CD4_T_cell_signaling, 495, 11, 18,  522, 1, 4, 1595522, 45211.48, 0, 0.00, 1: 208; 2: 106; 3: 26; 4: 6; 
CD4_T_cell_signaling, 615, 11, 18,  522, 1, 4, 1595427, 45211.48, 0, 0.00, 1: 207; 2: 109; 3: 23; 4: 7; 
CD4_T_cell_signaling, 965, 12, 16,  522, 1, 4, 1539737, 45211.48, 0, 0.00, 1: 213; 2: 99; 3: 25; 4: 9; 
CD4_T_cell_signaling, 107, 15, 13,  523, 1, 4, 1568158, 45211.48, 0, 0.00, 1: 206; 2: 108; 3: 27; 4: 5; 
CD4_T_cell_signaling, 340, 12, 17,  523, 1, 4, 1626180, 45211.48, 24, 0.00, 1: 212; 2: 94; 3: 37; 4: 3; 
CD4_T_cell_signaling, 774, 10, 19,  523, 1, 4, 1526109, 45211.48, 0, 0.00, 1: 212; 2: 95; 3: 35; 4: 4; 
CD4_T_cell_signaling, 861, 11, 18,  523, 1, 4, 1595375, 45211.48, 0, 0.00, 1: 207; 2: 105; 3: 30; 4: 4; 
CD4_T_cell_signaling, 514,  9, 23,  523, 1, 4, 1649555, 45211.48, 0, 0.00, 1: 215; 2: 94; 3: 28; 4: 9; 
CD4_T_cell_signaling, 446, 11, 18,  523, 1, 4, 1595394, 45211.48, 0, 0.00, 1: 212; 2: 101; 3: 23; 4: 10; 
CD4_T_cell_signaling, 671, 13, 15,  523, 1, 4, 1568127, 45211.48, 0, 0.00, 1: 204; 2: 113; 3: 23; 4: 6; 
CD4_T_cell_signaling, 594, 11, 18,  523, 1, 4, 1595447, 45211.48, 0, 0.00, 1: 210; 2: 100; 3: 31; 4: 5; 
CD4_T_cell_signaling, 152, 15, 13,  524, 1, 4, 1568153, 45211.48, 12, 0.00, 1: 217; 2: 90; 3: 29; 4: 10; 
CD4_T_cell_signaling, 741, 10, 19,  524, 1, 4, 1526094, 45211.48, 0, 0.00, 1: 213; 2: 95; 3: 31; 4: 7; 
CD4_T_cell_signaling, 218, 12, 17,  524, 1, 4, 1625975, 45211.48, 0, 0.00, 1: 205; 2: 110; 3: 25; 4: 6; 
CD4_T_cell_signaling, 261, 12, 16,  524, 1, 4, 1539724, 45211.48, 0, 0.00, 1: 210; 2: 101; 3: 28; 4: 7; 
CD4_T_cell_signaling, 394, 11, 18,  524, 1, 4, 1595612, 45211.48, 0, 0.00, 1: 204; 2: 109; 3: 30; 4: 3; 
CD4_T_cell_signaling, 557, 12, 17,  524, 1, 4, 1625941, 45211.48, 0, 0.00, 1: 208; 2: 106; 3: 24; 4: 8; 
CD4_T_cell_signaling, 384, 12, 17,  524, 1, 4, 1625997, 45211.48, 24, 0.00, 1: 205; 2: 109; 3: 27; 4: 5; 
CD4_T_cell_signaling, 235,  9, 23,  524, 1, 4, 1649353, 45211.48, 0, 0.00, 1: 205; 2: 110; 3: 25; 4: 6; 
CD4_T_cell_signaling, 835, 10, 20,  524, 1, 4, 1606432, 45211.48, 0, 0.00, 1: 208; 2: 106; 3: 24; 4: 8; 
CD4_T_cell_signaling, 954, 13, 15,  525, 1, 4, 1568247, 45211.48, 0, 0.00, 1: 207; 2: 108; 3: 22; 4: 9; 
CD4_T_cell_signaling, 348, 14, 14,  525, 1, 4, 1583871, 45211.48, 133, 0.00, 1: 205; 2: 109; 3: 26; 4: 6; 
CD4_T_cell_signaling,  78, 13, 15,  525, 1, 4, 1567981, 45211.48, 0, 0.00, 1: 215; 2: 94; 3: 26; 4: 11; 
CD4_T_cell_signaling, 844, 15, 13,  525, 1, 4, 1568163, 45211.48, 130, 0.00, 1: 203; 2: 113; 3: 24; 4: 6; 
CD4_T_cell_signaling, 117, 16, 12,  525, 1, 4, 1539738, 45211.48, 0, 0.00, 1: 204; 2: 110; 3: 27; 4: 5; 
CD4_T_cell_signaling, 347, 15, 13,  525, 1, 4, 1568105, 45211.48, 0, 0.00, 1: 206; 2: 107; 3: 27; 4: 6; 
CD4_T_cell_signaling, 960, 16, 12,  525, 1, 4, 1539665, 45211.48, 71, 0.00, 1: 204; 2: 110; 3: 27; 4: 5; 
CD4_T_cell_signaling, 612,  9, 23,  525, 1, 4, 1649624, 45211.48, 26, 0.00, 1: 207; 2: 103; 3: 32; 4: 4; 
CD4_T_cell_signaling, 564, 12, 17,  525, 1, 4, 1626128, 45211.48, 156, 0.00, 1: 212; 2: 96; 3: 31; 4: 7; 
CD4_T_cell_signaling, 511, 14, 14,  526, 1, 4, 1583758, 45211.48, 0, 0.00, 1: 206; 2: 105; 3: 30; 4: 5; 
CD4_T_cell_signaling, 527, 11, 18,  526, 1, 4, 1595306, 45211.48, 0, 0.00, 1: 209; 2: 99; 3: 33; 4: 5; 
CD4_T_cell_signaling, 536, 15, 13,  526, 1, 4, 1568100, 45211.48, 33, 0.00, 1: 207; 2: 104; 3: 29; 4: 6; 
CD4_T_cell_signaling, 105, 11, 18,  526, 1, 4, 1595433, 45211.48, 0, 0.00, 1: 208; 2: 102; 3: 30; 4: 6; 
CD4_T_cell_signaling, 179,  9, 22,  526, 1, 4, 1595603, 45211.48, 0, 0.00, 1: 204; 2: 112; 3: 22; 4: 8; 
CD4_T_cell_signaling, 385, 12, 16,  526, 1, 4, 1539690, 45211.48, 0, 0.00, 1: 204; 2: 113; 3: 20; 4: 9; 
CD4_T_cell_signaling, 396, 16, 12,  526, 1, 4, 1539706, 45211.48, 141, 0.00, 1: 208; 2: 101; 3: 32; 4: 5; 
CD4_T_cell_signaling, 689, 14, 14,  526, 1, 4, 1583761, 45211.48, 0, 0.00, 1: 207; 2: 104; 3: 29; 4: 6; 
CD4_T_cell_signaling, 951,  9, 22,  526, 1, 4, 1595489, 45211.48, 0, 0.00, 1: 212; 2: 98; 3: 26; 4: 10; 
CD4_T_cell_signaling, 268, 14, 14,  526, 1, 4, 1583735, 45211.48, 120, 0.00, 1: 200; 2: 117; 3: 24; 4: 5; 
CD4_T_cell_signaling, 242,  9, 23,  526, 1, 4, 1649601, 45211.48, 0, 0.00, 1: 204; 2: 109; 3: 28; 4: 5; 
CD4_T_cell_signaling, 890, 15, 13,  526, 1, 4, 1568196, 45211.48, 0, 0.00, 1: 212; 2: 96; 3: 30; 4: 8; 
CD4_T_cell_signaling, 335, 15, 13,  526, 1, 4, 1568083, 45211.48, 0, 0.00, 1: 207; 2: 106; 3: 25; 4: 8; 
CD4_T_cell_signaling, 161, 10, 20,  527, 1, 4, 1606390, 45211.48, 0, 0.00, 1: 209; 2: 101; 3: 28; 4: 8; 
CD4_T_cell_signaling, 914,  9, 23,  527, 1, 4, 1649772, 45211.48, 0, 0.00, 1: 206; 2: 106; 3: 27; 4: 7; 
CD4_T_cell_signaling, 919, 16, 12,  527, 1, 4, 1539718, 45211.48, 0, 0.00, 1: 206; 2: 102; 3: 35; 4: 3; 
CD4_T_cell_signaling, 377, 16, 12,  527, 1, 4, 1539766, 45211.48, 0, 0.00, 1: 211; 2: 96; 3: 32; 4: 7; 
CD4_T_cell_signaling, 346,  9, 23,  527, 1, 4, 1649934, 45211.48, 0, 0.00, 1: 209; 2: 100; 3: 30; 4: 7; 
CD4_T_cell_signaling, 903, 16, 12,  527, 1, 4, 1539701, 45211.48, 0, 0.00, 1: 203; 2: 114; 3: 20; 4: 9; 
CD4_T_cell_signaling, 160, 12, 17,  527, 1, 4, 1626220, 45211.48, 13, 0.00, 1: 210; 2: 98; 3: 31; 4: 7; 
CD4_T_cell_signaling, 949, 15, 13,  527, 1, 4, 1568211, 45211.48, 0, 0.00, 1: 213; 2: 95; 3: 28; 4: 10; 
CD4_T_cell_signaling, 759,  9, 22,  527, 1, 4, 1595644, 45211.48, 0, 0.00, 1: 207; 2: 107; 3: 22; 4: 10; 
CD4_T_cell_signaling, 623,  9, 23,  527, 1, 4, 1649760, 45211.48, 0, 0.00, 1: 205; 2: 109; 3: 24; 4: 8; 
CD4_T_cell_signaling, 762, 15, 13,  527, 1, 4, 1568118, 45211.48, 0, 0.00, 1: 209; 2: 100; 3: 30; 4: 7; 
CD4_T_cell_signaling, 490, 14, 14,  527, 1, 4, 1583743, 45211.48, 0, 0.00, 1: 208; 2: 102; 3: 29; 4: 7; 
CD4_T_cell_signaling, 400,  9, 23,  527, 1, 4, 1649422, 45211.48, 25, 0.00, 1: 206; 2: 106; 3: 27; 4: 7; 
CD4_T_cell_signaling, 883, 15, 13,  527, 1, 4, 1568178, 45211.48, 0, 0.00, 1: 211; 2: 98; 3: 28; 4: 9; 
CD4_T_cell_signaling, 410, 12, 17,  527, 1, 4, 1626266, 45211.48, 0, 0.00, 1: 199; 2: 119; 3: 22; 4: 6; 
CD4_T_cell_signaling, 663, 14, 14,  527, 1, 4, 1583635, 45211.48, 0, 0.00, 1: 200; 2: 115; 3: 27; 4: 4; 
CD4_T_cell_signaling, 863,  9, 22,  527, 1, 4, 1595574, 45211.48, 0, 0.00, 1: 201; 2: 113; 3: 28; 4: 4; 
CD4_T_cell_signaling, 825, 12, 17,  527, 1, 4, 1626153, 45211.48, 0, 0.00, 1: 206; 2: 105; 3: 29; 4: 6; 
CD4_T_cell_signaling, 829, 11, 18,  527, 1, 4, 1595537, 45211.48, 0, 0.00, 1: 211; 2: 98; 3: 28; 4: 9; 
CD4_T_cell_signaling, 973, 10, 20,  527, 1, 4, 1606354, 45211.48, 0, 0.00, 1: 202; 2: 114; 3: 23; 4: 7; 
CD4_T_cell_signaling, 226, 13, 15,  527, 1, 4, 1568097, 45211.48, 0, 0.00, 1: 201; 2: 113; 3: 28; 4: 4; 
CD4_T_cell_signaling, 704, 13, 15,  528, 1, 4, 1568165, 45211.48, 45, 0.00, 1: 206; 2: 104; 3: 30; 4: 6; 
CD4_T_cell_signaling, 489, 10, 20,  528, 1, 4, 1606247, 45211.48, 0, 0.00, 1: 208; 2: 100; 3: 32; 4: 6; 
CD4_T_cell_signaling, 120,  9, 21,  528, 1, 4, 1527876, 45211.48, 10, 0.00, 1: 204; 2: 107; 3: 30; 4: 5; 
CD4_T_cell_signaling, 621, 10, 20,  528, 1, 4, 1606370, 45211.48, 0, 0.00, 1: 204; 2: 106; 3: 32; 4: 4; 
CD4_T_cell_signaling, 586, 10, 19,  528, 1, 4, 1526083, 45211.48, 0, 0.00, 1: 204; 2: 108; 3: 28; 4: 6; 
CD4_T_cell_signaling, 517, 14, 14,  528, 1, 4, 1583743, 45211.48, 0, 0.00, 1: 203; 2: 110; 3: 27; 4: 6; 
CD4_T_cell_signaling, 202,  9, 21,  528, 1, 4, 1527876, 45211.48, 0, 0.00, 1: 206; 2: 104; 3: 30; 4: 6; 
CD4_T_cell_signaling, 503,  8, 26,  528, 1, 4, 1664105, 45211.48, 0, 0.00, 1: 213; 2: 93; 3: 31; 4: 9; 
CD4_T_cell_signaling, 957, 10, 19,  528, 1, 4, 1526086, 45211.48, 0, 0.00, 1: 204; 2: 108; 3: 28; 4: 6; 
CD4_T_cell_signaling, 486, 11, 18,  528, 1, 4, 1595571, 45211.48, 0, 0.00, 1: 202; 2: 110; 3: 30; 4: 4; 
CD4_T_cell_signaling, 477, 14, 14,  528, 1, 4, 1583750, 45211.48, 0, 0.00, 1: 204; 2: 109; 3: 26; 4: 7; 
CD4_T_cell_signaling, 471, 11, 18,  528, 1, 4, 1595446, 45211.48, 0, 0.00, 1: 209; 2: 97; 3: 35; 4: 5; 
CD4_T_cell_signaling, 238, 11, 18,  528, 1, 4, 1595475, 45211.48, 0, 0.00, 1: 208; 2: 104; 3: 24; 4: 10; 
CD4_T_cell_signaling, 418, 12, 17,  528, 1, 4, 1626348, 45211.48, 0, 0.00, 1: 204; 2: 112; 3: 20; 4: 10; 
CD4_T_cell_signaling, 416, 14, 14,  528, 1, 4, 1583775, 45211.48, 27, 0.00, 1: 208; 2: 100; 3: 32; 4: 6; 
CD4_T_cell_signaling, 381,  9, 23,  528, 1, 4, 1649682, 45211.48, 0, 0.00, 1: 199; 2: 118; 3: 23; 4: 6; 
CD4_T_cell_signaling, 374, 12, 16,  528, 1, 4, 1539684, 45211.48, 0, 0.00, 1: 210; 2: 96; 3: 34; 4: 6; 
CD4_T_cell_signaling, 318, 12, 17,  528, 1, 4, 1626033, 45211.48, 0, 0.00, 1: 208; 2: 104; 3: 24; 4: 10; 
CD4_T_cell_signaling, 880, 16, 12,  528, 1, 4, 1539699, 45211.48, 67, 0.00, 1: 206; 2: 104; 3: 30; 4: 6; 
CD4_T_cell_signaling, 803, 16, 12,  528, 1, 4, 1539735, 45211.48, 0, 0.00, 1: 206; 2: 105; 3: 28; 4: 7; 
CD4_T_cell_signaling, 850,  9, 21,  528, 1, 4, 1527876, 45211.48, 0, 0.00, 1: 209; 2: 98; 3: 33; 4: 6; 
CD4_T_cell_signaling, 877, 16, 12,  528, 1, 4, 1539659, 45211.48, 0, 0.00, 1: 208; 2: 101; 3: 30; 4: 7; 
CD4_T_cell_signaling, 464, 16, 12,  529, 1, 4, 1539699, 45211.48, 31, 0.00, 1: 208; 2: 99; 3: 33; 4: 6; 
CD4_T_cell_signaling, 431,  9, 21,  529, 1, 4, 1527876, 45211.48, 0, 0.00, 1: 211; 2: 95; 3: 32; 4: 8; 
CD4_T_cell_signaling, 676, 16, 12,  529, 1, 4, 1539684, 45211.48, 80, 0.00, 1: 203; 2: 108; 3: 30; 4: 5; 
CD4_T_cell_signaling, 432, 14, 14,  529, 1, 4, 1583841, 45211.48, 29, 0.00, 1: 199; 2: 117; 3: 24; 4: 6; 
CD4_T_cell_signaling, 243, 10, 20,  529, 1, 4, 1606578, 45211.48, 0, 0.00, 1: 201; 2: 112; 3: 28; 4: 5; 
CD4_T_cell_signaling,  92,  8, 24,  529, 1, 4, 1539723, 45211.48, 32, 0.00, 1: 200; 2: 114; 3: 27; 4: 5; 
CD4_T_cell_signaling, 456, 12, 16,  529, 1, 4, 1539726, 45211.48, 31, 0.00, 1: 205; 2: 106; 3: 28; 4: 7; 
CD4_T_cell_signaling, 310, 11, 18,  529, 1, 4, 1595480, 45211.48, 0, 0.00, 1: 206; 2: 102; 3: 33; 4: 5; 
CD4_T_cell_signaling, 859, 15, 13,  529, 1, 4, 1568135, 45211.48, 0, 0.00, 1: 213; 2: 92; 3: 32; 4: 9; 
CD4_T_cell_signaling, 223,  9, 21,  529, 1, 4, 1527876, 45211.48, 0, 0.00, 1: 207; 2: 105; 3: 24; 4: 10; 
CD4_T_cell_signaling, 498, 13, 15,  529, 1, 4, 1568115, 45211.48, 0, 0.00, 1: 208; 2: 102; 3: 27; 4: 9; 
CD4_T_cell_signaling, 801,  9, 23,  529, 1, 4, 1649637, 45211.48, 0, 0.00, 1: 210; 2: 100; 3: 25; 4: 11; 
CD4_T_cell_signaling,  66, 10, 19,  529, 1, 4, 1526074, 45211.48, 0, 0.00, 1: 203; 2: 107; 3: 32; 4: 4; 
CD4_T_cell_signaling, 142, 12, 17,  529, 1, 4, 1626258, 45211.48, 0, 0.00, 1: 209; 2: 97; 3: 34; 4: 6; 
CD4_T_cell_signaling, 101, 13, 15,  529, 1, 4, 1568241, 45211.48, 0, 0.00, 1: 210; 2: 97; 3: 31; 4: 8; 
CD4_T_cell_signaling, 408, 13, 15,  529, 1, 4, 1568266, 45211.48, 26, 0.00, 1: 210; 2: 94; 3: 37; 4: 5; 
CD4_T_cell_signaling, 979, 12, 17,  529, 1, 4, 1626019, 45211.48, 0, 0.00, 1: 213; 2: 89; 3: 38; 4: 6; 
CD4_T_cell_signaling, 300, 13, 15,  529, 1, 4, 1568136, 45211.48, 91, 0.00, 1: 203; 2: 109; 3: 28; 4: 6; 
CD4_T_cell_signaling, 403, 10, 19,  529, 1, 4, 1526088, 45211.48, 0, 0.00, 1: 211; 2: 96; 3: 30; 4: 9; 
CD4_T_cell_signaling, 905, 14, 14,  529, 1, 4, 1583738, 45211.48, 0, 0.00, 1: 211; 2: 96; 3: 30; 4: 9; 
CD4_T_cell_signaling, 911,  9, 22,  529, 1, 4, 1595362, 45211.48, 0, 0.00, 1: 206; 2: 105; 3: 27; 4: 8; 
CD4_T_cell_signaling, 421, 14, 14,  529, 1, 4, 1583780, 45211.48, 0, 0.00, 1: 200; 2: 115; 3: 25; 4: 6; 
CD4_T_cell_signaling, 289,  9, 22,  529, 1, 4, 1595381, 45211.48, 0, 0.00, 1: 206; 2: 106; 3: 25; 4: 9; 
CD4_T_cell_signaling, 351, 13, 15,  529, 1, 4, 1568157, 45211.48, 0, 0.00, 1: 208; 2: 102; 3: 27; 4: 9; 
CD4_T_cell_signaling, 796, 15, 13,  530, 1, 4, 1568278, 45211.48, 55, 0.00, 1: 209; 2: 98; 3: 31; 4: 8; 
CD4_T_cell_signaling, 721, 12, 17,  530, 1, 4, 1625922, 45211.48, 0, 0.00, 1: 208; 2: 105; 3: 20; 4: 13; 
CD4_T_cell_signaling, 529,  9, 23,  530, 1, 4, 1649877, 45211.48, 0, 0.00, 1: 210; 2: 96; 3: 32; 4: 8; 
CD4_T_cell_signaling, 534,  9, 21,  530, 1, 4, 1527876, 45211.48, 0, 0.00, 1: 209; 2: 98; 3: 31; 4: 8; 
CD4_T_cell_signaling, 187, 14, 14,  530, 1, 4, 1583778, 45211.48, 0, 0.00, 1: 206; 2: 107; 3: 22; 4: 11; 
CD4_T_cell_signaling,  59, 15, 13,  530, 1, 4, 1568113, 45211.48, 0, 0.00, 1: 212; 2: 93; 3: 32; 4: 9; 
CD4_T_cell_signaling, 569,  9, 23,  530, 1, 4, 1649355, 45211.48, 0, 0.00, 1: 208; 2: 100; 3: 30; 4: 8; 
CD4_T_cell_signaling,  79, 12, 17,  530, 1, 4, 1626100, 45211.48, 0, 0.00, 1: 208; 2: 100; 3: 30; 4: 8; 
CD4_T_cell_signaling, 773, 14, 14,  530, 1, 4, 1583810, 45211.48, 0, 0.00, 1: 207; 2: 104; 3: 25; 4: 10; 
CD4_T_cell_signaling, 158,  9, 23,  530, 1, 4, 1649814, 45211.48, 0, 0.00, 1: 203; 2: 109; 3: 27; 4: 7; 
CD4_T_cell_signaling, 966, 12, 16,  530, 1, 4, 1539737, 45211.48, 0, 0.00, 1: 204; 2: 107; 3: 28; 4: 7; 
CD4_T_cell_signaling, 508, 12, 17,  530, 1, 4, 1626095, 45211.48, 78, 0.00, 1: 209; 2: 97; 3: 33; 4: 7; 
CD4_T_cell_signaling, 198, 10, 20,  530, 1, 4, 1606567, 45211.48, 0, 0.00, 1: 203; 2: 111; 3: 23; 4: 9; 
CD4_T_cell_signaling, 831, 14, 14,  530, 1, 4, 1583710, 45211.48, 0, 0.00, 1: 201; 2: 112; 3: 27; 4: 6; 
CD4_T_cell_signaling,   7, 12, 17,  530, 1, 4, 1626039, 45211.48, 0, 0.00, 1: 211; 2: 93; 3: 35; 4: 7; 
CD4_T_cell_signaling, 213, 10, 20,  530, 1, 4, 1606422, 45211.48, 0, 0.00, 1: 203; 2: 108; 3: 29; 4: 6; 
CD4_T_cell_signaling, 468, 12, 17,  530, 1, 4, 1626053, 45211.48, 21, 0.00, 1: 213; 2: 91; 3: 33; 4: 9; 
CD4_T_cell_signaling, 362, 10, 19,  530, 1, 4, 1526098, 45211.48, 0, 0.00, 1: 198; 2: 117; 3: 26; 4: 5; 
CD4_T_cell_signaling, 927, 14, 14,  530, 1, 4, 1583720, 45211.48, 0, 0.00, 1: 204; 2: 104; 3: 34; 4: 4; 
CD4_T_cell_signaling, 269, 12, 17,  530, 1, 4, 1626121, 45211.48, 0, 0.00, 1: 207; 2: 99; 3: 35; 4: 5; 
CD4_T_cell_signaling, 438, 10, 20,  530, 1, 4, 1606385, 45211.48, 0, 0.00, 1: 207; 2: 104; 3: 25; 4: 10; 
CD4_T_cell_signaling, 878,  9, 23,  530, 1, 4, 1649474, 45211.48, 0, 0.00, 1: 208; 2: 101; 3: 28; 4: 9; 
CD4_T_cell_signaling, 139, 14, 14,  530, 1, 4, 1583695, 45211.48, 0, 0.00, 1: 198; 2: 120; 3: 20; 4: 8; 
CD4_T_cell_signaling, 708, 10, 19,  530, 1, 4, 1526110, 45211.48, 155, 0.00, 1: 200; 2: 116; 3: 22; 4: 8; 
CD4_T_cell_signaling, 653, 14, 14,  531, 1, 4, 1583655, 45211.48, 0, 0.00, 1: 200; 2: 115; 3: 23; 4: 8; 
CD4_T_cell_signaling, 480, 12, 17,  531, 1, 4, 1626257, 45211.48, 32, 0.00, 1: 205; 2: 105; 3: 28; 4: 8; 
CD4_T_cell_signaling, 578, 15, 13,  531, 1, 4, 1568175, 45211.48, 0, 0.00, 1: 210; 2: 97; 3: 29; 4: 10; 
CD4_T_cell_signaling, 435, 10, 20,  531, 1, 4, 1606476, 45211.48, 0, 0.00, 1: 208; 2: 98; 3: 33; 4: 7; 
CD4_T_cell_signaling, 147, 14, 14,  531, 1, 4, 1583740, 45211.48, 0, 0.00, 1: 206; 2: 103; 3: 29; 4: 8; 
CD4_T_cell_signaling, 657, 14, 14,  531, 1, 4, 1583594, 45211.48, 0, 0.00, 1: 204; 2: 109; 3: 23; 4: 10; 
CD4_T_cell_signaling, 894,  9, 23,  531, 1, 4, 1649675, 45211.48, 0, 0.00, 1: 204; 2: 104; 3: 33; 4: 5; 
CD4_T_cell_signaling, 326, 11, 18,  531, 1, 4, 1595523, 45211.48, 0, 0.00, 1: 205; 2: 105; 3: 28; 4: 8; 
CD4_T_cell_signaling, 497, 12, 16,  531, 1, 4, 1539698, 45211.48, 0, 0.00, 1: 202; 2: 110; 3: 27; 4: 7; 
CD4_T_cell_signaling, 716, 12, 17,  531, 1, 4, 1626101, 45211.48, 47, 0.00, 1: 209; 2: 94; 3: 38; 4: 5; 
CD4_T_cell_signaling, 436, 12, 17,  531, 1, 4, 1625949, 45211.48, 1, 0.00, 1: 204; 2: 107; 3: 27; 4: 8; 
CD4_T_cell_signaling, 299, 12, 16,  531, 1, 4, 1539758, 45211.48, 0, 0.00, 1: 207; 2: 102; 3: 28; 4: 9; 
CD4_T_cell_signaling, 426, 11, 18,  531, 1, 4, 1595487, 45211.48, 0, 0.00, 1: 203; 2: 106; 3: 32; 4: 5; 
CD4_T_cell_signaling, 632, 10, 20,  531, 1, 4, 1606572, 45211.48, 39, 0.00, 1: 202; 2: 108; 3: 31; 4: 5; 
CD4_T_cell_signaling, 382, 10, 20,  531, 1, 4, 1606318, 45211.48, 0, 0.00, 1: 206; 2: 105; 3: 25; 4: 10; 
CD4_T_cell_signaling,  58,  9, 23,  531, 1, 4, 1649540, 45211.48, 0, 0.00, 1: 205; 2: 103; 3: 32; 4: 6; 
CD4_T_cell_signaling, 635, 15, 13,  531, 1, 4, 1568149, 45211.48, 0, 0.00, 1: 203; 2: 111; 3: 22; 4: 10; 
CD4_T_cell_signaling, 505,  9, 23,  531, 1, 4, 1649707, 45211.48, 0, 0.00, 1: 207; 2: 101; 3: 30; 4: 8; 
CD4_T_cell_signaling, 245, 12, 17,  531, 1, 4, 1626204, 45211.48, 0, 0.00, 1: 204; 2: 105; 3: 31; 4: 6; 
CD4_T_cell_signaling, 308, 13, 15,  531, 1, 4, 1568251, 45211.48, 80, 0.00, 1: 201; 2: 110; 3: 30; 4: 5; 
CD4_T_cell_signaling, 697, 10, 19,  531, 1, 4, 1526102, 45211.48, 0, 0.00, 1: 203; 2: 108; 3: 28; 4: 7; 
CD4_T_cell_signaling, 607,  9, 21,  531, 1, 4, 1527876, 45211.48, 0, 0.00, 1: 204; 2: 108; 3: 25; 4: 9; 
CD4_T_cell_signaling, 319, 14, 14,  531, 1, 4, 1583839, 45211.48, 0, 0.00, 1: 203; 2: 109; 3: 26; 4: 8; 
CD4_T_cell_signaling, 229,  9, 23,  531, 1, 4, 1649470, 45211.48, 0, 0.00, 1: 204; 2: 106; 3: 29; 4: 7; 
CD4_T_cell_signaling, 675, 16, 12,  531, 1, 4, 1539726, 45211.48, 0, 0.00, 1: 206; 2: 104; 3: 27; 4: 9; 
CD4_T_cell_signaling, 360, 11, 18,  532, 1, 4, 1595535, 45211.48, 24, 0.00, 1: 202; 2: 108; 3: 30; 4: 6; 
