Seed 1656949570
ARCH 2|F_ID 0|LIMIT 3
before: 
3(297)
Melhor resultado nxn: B_bronchiseptica_and_T_retortaeformis_coinfectio, 157,  6, 10,  189, 1, 3, 469954, 12208.51, 0, 0.00, 1: 86; 2: 44; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 133,  6,  9,  192, 1, 3, 427869, 12208.51, 0, 0.00, 1: 82; 2: 49; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  62,  8,  7,  192, 1, 3, 442645, 12208.51, 0, 0.00, 1: 84; 2: 45; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 585,  7,  8,  192, 1, 3, 442630, 12208.51, 0, 0.00, 1: 84; 2: 45; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 427,  7,  8,  192, 1, 3, 442200, 12208.51, 0, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 265,  9,  6,  192, 1, 3, 427869, 12208.51, 0, 0.00, 1: 85; 2: 43; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 110,  8,  7,  192, 1, 3, 442700, 12208.51, 0, 0.00, 1: 82; 2: 49; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 846,  7,  8,  192, 1, 3, 442723, 12208.51, 0, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 342,  9,  6,  192, 1, 3, 427869, 12208.51, 0, 0.00, 1: 82; 2: 49; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 246,  8,  7,  192, 1, 3, 442603, 12208.51, 0, 0.00, 1: 82; 2: 49; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 399,  6,  9,  192, 1, 3, 427869, 12208.51, 0, 0.00, 1: 86; 2: 41; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 816,  6, 10,  192, 1, 3, 470292, 12208.51, 37, 0.00, 1: 85; 2: 43; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 811,  9,  6,  192, 1, 3, 427869, 12208.51, 0, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 216,  6, 10,  192, 1, 3, 470448, 12208.51, 7, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 906,  7,  8,  192, 1, 3, 442657, 12208.51, 0, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  38,  7,  8,  192, 1, 3, 442727, 12208.51, 0, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 757,  6, 10,  192, 1, 3, 470699, 12208.51, 0, 0.00, 1: 82; 2: 49; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 752,  8,  7,  192, 1, 3, 442670, 12208.51, 32, 0.00, 1: 82; 2: 49; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 236,  6,  9,  193, 1, 3, 427869, 12208.51, 21, 0.00, 1: 82; 2: 48; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 128,  6, 10,  193, 1, 3, 470330, 12208.51, 5, 0.00, 1: 87; 2: 38; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 500,  8,  7,  193, 1, 3, 442637, 12208.51, 48, 0.00, 1: 86; 2: 40; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 471,  9,  6,  193, 1, 3, 427869, 12208.51, 0, 0.00, 1: 81; 2: 50; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 113,  5, 12,  193, 1, 3, 470715, 12208.51, 0, 0.00, 1: 85; 2: 42; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 542,  9,  6,  193, 1, 3, 427869, 12208.51, 0, 0.00, 1: 84; 2: 44; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 456,  8,  7,  193, 1, 3, 442518, 12208.51, 18, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 543,  7,  8,  193, 1, 3, 442698, 12208.51, 0, 0.00, 1: 87; 2: 38; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 454,  8,  7,  193, 1, 3, 442663, 12208.51, 0, 0.00, 1: 84; 2: 44; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 554,  5, 12,  193, 1, 3, 470654, 12208.51, 0, 0.00, 1: 85; 2: 42; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 566,  9,  6,  193, 1, 3, 427869, 12208.51, 0, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  45,  8,  7,  193, 1, 3, 442512, 12208.51, 0, 0.00, 1: 87; 2: 38; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 847,  9,  6,  193, 1, 3, 427869, 12208.51, 0, 0.00, 1: 85; 2: 42; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 852,  6,  9,  193, 1, 3, 427869, 12208.51, 51, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 862,  8,  7,  193, 1, 3, 442771, 12208.51, 0, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 866,  8,  7,  193, 1, 3, 442300, 12208.51, 0, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 817,  6,  9,  193, 1, 3, 427869, 12208.51, 0, 0.00, 1: 82; 2: 48; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 894,  7,  8,  193, 1, 3, 442536, 12208.51, 0, 0.00, 1: 86; 2: 40; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 812,  6, 10,  193, 1, 3, 470676, 12208.51, 9, 0.00, 1: 85; 2: 42; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 808,  6, 10,  193, 1, 3, 470501, 12208.51, 37, 0.00, 1: 85; 2: 42; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 788,  5, 12,  193, 1, 3, 470509, 12208.51, 0, 0.00, 1: 86; 2: 40; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 760,  7,  8,  193, 1, 3, 442703, 12208.51, 33, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 753,  8,  7,  193, 1, 3, 442579, 12208.51, 0, 0.00, 1: 83; 2: 46; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 749,  6, 10,  193, 1, 3, 470258, 12208.51, 0, 0.00, 1: 86; 2: 40; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 747,  6,  9,  193, 1, 3, 427869, 12208.51, 0, 0.00, 1: 87; 2: 38; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  15,  9,  6,  193, 1, 3, 427869, 12208.51, 0, 0.00, 1: 81; 2: 50; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 943,  6, 10,  193, 1, 3, 470925, 12208.51, 0, 0.00, 1: 82; 2: 48; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 953,  8,  7,  193, 1, 3, 442604, 12208.51, 0, 0.00, 1: 84; 2: 44; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 597,  8,  7,  193, 1, 3, 442789, 12208.51, 0, 0.00, 1: 86; 2: 40; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  51,  5, 11,  193, 1, 3, 434863, 12208.51, 0, 0.00, 1: 85; 2: 42; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 622,  8,  7,  193, 1, 3, 442848, 12208.51, 0, 0.00, 1: 86; 2: 40; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 986,  9,  6,  193, 1, 3, 427869, 12208.51, 0, 0.00, 1: 86; 2: 40; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 694,  7,  8,  193, 1, 3, 442534, 12208.51, 0, 0.00, 1: 81; 2: 50; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 690,  6, 10,  193, 1, 3, 470217, 12208.51, 0, 0.00, 1: 82; 2: 48; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 589,  7,  8,  194, 1, 3, 442691, 12208.51, 0, 0.00, 1: 82; 2: 47; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 266,  7,  8,  194, 1, 3, 442670, 12208.51, 0, 0.00, 1: 82; 2: 47; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 854,  8,  7,  194, 1, 3, 442805, 12208.51, 0, 0.00, 1: 83; 2: 45; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 264,  9,  6,  194, 1, 3, 427869, 12208.51, 8, 0.00, 1: 82; 2: 47; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 151,  6, 10,  194, 1, 3, 470440, 12208.51, 0, 0.00, 1: 82; 2: 47; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 978,  5, 13,  194, 1, 3, 500019, 12208.51, 0, 0.00, 1: 80; 2: 51; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 175,  8,  7,  194, 1, 3, 442842, 12208.51, 0, 0.00, 1: 81; 2: 49; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 962,  6,  9,  194, 1, 3, 427869, 12208.51, 0, 0.00, 1: 83; 2: 45; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 241,  6,  9,  194, 1, 3, 427869, 12208.51, 0, 0.00, 1: 82; 2: 47; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 203,  8,  7,  194, 1, 3, 442523, 12208.51, 0, 0.00, 1: 84; 2: 43; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 204,  9,  6,  194, 1, 3, 427869, 12208.51, 36, 0.00, 1: 81; 2: 49; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 901,  5, 11,  194, 1, 3, 434632, 12208.51, 0, 0.00, 1: 85; 2: 41; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 999,  6, 10,  194, 1, 3, 470689, 12208.51, 0, 0.00, 1: 85; 2: 41; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 905,  7,  8,  194, 1, 3, 442579, 12208.51, 0, 0.00, 1: 83; 2: 45; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 926,  6,  9,  194, 1, 3, 427869, 12208.51, 0, 0.00, 1: 81; 2: 49; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 739,  9,  6,  194, 1, 3, 427869, 12208.51, 0, 0.00, 1: 81; 2: 49; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 569,  7,  8,  194, 1, 3, 442821, 12208.51, 0, 0.00, 1: 81; 2: 49; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 628,  8,  7,  194, 1, 3, 442821, 12208.51, 0, 0.00, 1: 81; 2: 49; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 544,  6,  9,  194, 1, 3, 427869, 12208.51, 22, 0.00, 1: 87; 2: 37; 3: 11; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 631,  6, 10,  194, 1, 3, 470090, 12208.51, 0, 0.00, 1: 84; 2: 43; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 525,  5, 12,  194, 1, 3, 471040, 12208.51, 0, 0.00, 1: 86; 2: 39; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 704,  9,  6,  194, 1, 3, 427869, 12208.51, 31, 0.00, 1: 82; 2: 47; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 711,  6, 10,  194, 1, 3, 469867, 12208.51, 0, 0.00, 1: 82; 2: 47; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 719,  6,  9,  194, 1, 3, 427869, 12208.51, 0, 0.00, 1: 83; 2: 45; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 492,  5, 11,  194, 1, 3, 434861, 12208.51, 18, 0.00, 1: 83; 2: 45; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 479,  6,  9,  194, 1, 3, 427869, 12208.51, 0, 0.00, 1: 84; 2: 43; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 731,  5, 12,  194, 1, 3, 469796, 12208.51, 0, 0.00, 1: 82; 2: 47; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 837,  6, 10,  194, 1, 3, 470231, 12208.51, 0, 0.00, 1: 81; 2: 49; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 458,  5, 13,  194, 1, 3, 499564, 12208.51, 0, 0.00, 1: 83; 2: 45; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 743,  9,  6,  194, 1, 3, 427869, 12208.51, 0, 0.00, 1: 85; 2: 41; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 424,  5, 11,  194, 1, 3, 434808, 12208.51, 16, 0.00, 1: 86; 2: 39; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 402,  7,  8,  194, 1, 3, 442418, 12208.51, 0, 0.00, 1: 81; 2: 49; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 398,  6,  9,  194, 1, 3, 427869, 12208.51, 0, 0.00, 1: 84; 2: 43; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 393,  5, 13,  194, 1, 3, 499487, 12208.51, 0, 0.00, 1: 83; 2: 45; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 388,  8,  7,  194, 1, 3, 442169, 12208.51, 25, 0.00, 1: 83; 2: 45; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 832,  7,  8,  194, 1, 3, 442607, 12208.51, 37, 0.00, 1: 81; 2: 49; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 356,  6,  9,  194, 1, 3, 427869, 12208.51, 22, 0.00, 1: 80; 2: 51; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 344,  5, 11,  194, 1, 3, 434863, 12208.51, 13, 0.00, 1: 86; 2: 39; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  39,  8,  7,  194, 1, 3, 442652, 12208.51, 0, 0.00, 1: 80; 2: 51; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 116,  7,  8,  194, 1, 3, 442377, 12208.51, 30, 0.00, 1: 85; 2: 41; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  59,  5, 13,  194, 1, 3, 498803, 12208.51, 0, 0.00, 1: 86; 2: 39; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  12,  5, 11,  194, 1, 3, 434794, 12208.51, 82, 0.00, 1: 86; 2: 39; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  72,  6,  9,  194, 1, 3, 427869, 12208.51, 3, 0.00, 1: 84; 2: 43; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,   8,  8,  7,  194, 1, 3, 442774, 12208.51, 224, 0.00, 1: 81; 2: 49; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 104,  5, 13,  194, 1, 3, 498570, 12208.51, 4, 0.00, 1: 88; 2: 35; 3: 12; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 179,  8,  7,  195, 1, 3, 442639, 12208.51, 0, 0.00, 1: 83; 2: 44; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 770,  5, 11,  195, 1, 3, 434811, 12208.51, 0, 0.00, 1: 86; 2: 38; 3: 11; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 762,  6, 10,  195, 1, 3, 470803, 12208.51, 0, 0.00, 1: 85; 2: 40; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 759,  5, 13,  195, 1, 3, 498991, 12208.51, 0, 0.00, 1: 81; 2: 48; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 165,  6, 10,  195, 1, 3, 470641, 12208.51, 0, 0.00, 1: 84; 2: 42; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 775,  9,  6,  195, 1, 3, 427869, 12208.51, 0, 0.00, 1: 81; 2: 48; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 751,  8,  7,  195, 1, 3, 442611, 12208.51, 0, 0.00, 1: 84; 2: 42; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 778,  6,  9,  195, 1, 3, 427869, 12208.51, 0, 0.00, 1: 83; 2: 44; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 729,  5, 12,  195, 1, 3, 470541, 12208.51, 0, 0.00, 1: 85; 2: 40; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 803,  6,  9,  195, 1, 3, 427869, 12208.51, 0, 0.00, 1: 83; 2: 44; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 713,  5, 13,  195, 1, 3, 500344, 12208.51, 0, 0.00, 1: 84; 2: 42; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 199,  6, 10,  195, 1, 3, 470413, 12208.51, 0, 0.00, 1: 81; 2: 48; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 671,  6,  9,  195, 1, 3, 427869, 12208.51, 0, 0.00, 1: 83; 2: 44; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 126,  8,  7,  195, 1, 3, 442592, 12208.51, 0, 0.00, 1: 80; 2: 50; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  66,  5, 13,  195, 1, 3, 497204, 12208.51, 0, 0.00, 1: 84; 2: 42; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 559,  5, 13,  195, 1, 3, 499123, 12208.51, 0, 0.00, 1: 82; 2: 46; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 553,  6, 10,  195, 1, 3, 470612, 12208.51, 0, 0.00, 1: 81; 2: 48; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 548,  5, 11,  195, 1, 3, 434877, 12208.51, 15, 0.00, 1: 84; 2: 42; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 476,  8,  7,  195, 1, 3, 442838, 12208.51, 37, 0.00, 1: 84; 2: 42; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 475,  6, 10,  195, 1, 3, 470792, 12208.51, 0, 0.00, 1: 81; 2: 48; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 449,  6,  9,  195, 1, 3, 427869, 12208.51, 0, 0.00, 1: 82; 2: 46; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 432,  5, 11,  195, 1, 3, 434862, 12208.51, 18, 0.00, 1: 84; 2: 42; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 420,  6, 10,  195, 1, 3, 470408, 12208.51, 24, 0.00, 1: 82; 2: 46; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 415,  8,  7,  195, 1, 3, 442828, 12208.51, 0, 0.00, 1: 79; 2: 52; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 377,  9,  6,  195, 1, 3, 427869, 12208.51, 0, 0.00, 1: 81; 2: 48; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 375,  6, 10,  195, 1, 3, 470407, 12208.51, 0, 0.00, 1: 78; 2: 54; 3: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 331,  5, 12,  195, 1, 3, 470321, 12208.51, 0, 0.00, 1: 81; 2: 48; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 324,  8,  7,  195, 1, 3, 442578, 12208.51, 8, 0.00, 1: 82; 2: 46; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 965,  5, 13,  195, 1, 3, 499481, 12208.51, 0, 0.00, 1: 80; 2: 50; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 845,  5, 12,  195, 1, 3, 470554, 12208.51, 0, 0.00, 1: 85; 2: 40; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 909,  7,  8,  195, 1, 3, 442647, 12208.51, 0, 0.00, 1: 83; 2: 44; 3: 8; 
