Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
03(220)
Melhor resultado nxn: IGVH_mutations_in_chronic_lymphocytic_leukemia, 292, 10, 10,  185, 1, 3, 796125, 18030.87, 9, 0.00, 1: 120; 2: 25; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 115, 11,  9,  188, 1, 3, 786473, 18030.87, 0, 0.00, 1: 115; 2: 32; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 702, 11,  9,  188, 1, 3, 786553, 18030.87, 0, 0.00, 1: 115; 2: 32; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 692, 11,  9,  188, 1, 3, 785959, 18030.87, 38, 0.00, 1: 113; 2: 36; 3: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 974, 10, 10,  189, 1, 3, 795873, 18030.87, 0, 0.00, 1: 117; 2: 27; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 484,  8, 12,  189, 1, 3, 764313, 18030.87, 44, 0.00, 1: 116; 2: 29; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,   7, 10, 10,  189, 1, 3, 796614, 18030.87, 0, 0.00, 1: 115; 2: 31; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 209, 11,  9,  189, 1, 3, 786117, 18030.87, 0, 0.00, 1: 118; 2: 25; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 305, 11,  9,  189, 1, 3, 785974, 18030.87, 0, 0.00, 1: 116; 2: 29; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 215,  8, 12,  189, 1, 3, 764408, 18030.87, 0, 0.00, 1: 116; 2: 29; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 979,  8, 12,  189, 1, 3, 764471, 18030.87, 0, 0.00, 1: 115; 2: 31; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 144, 12,  8,  189, 1, 3, 763935, 18030.87, 21, 0.00, 1: 116; 2: 29; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 594, 10, 10,  189, 1, 3, 796374, 18030.87, 0, 0.00, 1: 114; 2: 33; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 218, 11,  9,  189, 1, 3, 785902, 18030.87, 0, 0.00, 1: 115; 2: 31; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 608,  8, 12,  189, 1, 3, 764572, 18030.87, 49, 0.00, 1: 117; 2: 27; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 684,  9, 11,  189, 1, 3, 785790, 18030.87, 57, 0.00, 1: 114; 2: 33; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  95, 11,  9,  189, 1, 3, 786417, 18030.87, 0, 0.00, 1: 118; 2: 25; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 140,  9, 11,  189, 1, 3, 786276, 18030.87, 10, 0.00, 1: 116; 2: 29; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 396, 10, 10,  189, 1, 3, 796394, 18030.87, 58, 0.00, 1: 117; 2: 27; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 282, 11,  9,  189, 1, 3, 786251, 18030.87, 0, 0.00, 1: 114; 2: 33; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 949, 11,  9,  189, 1, 3, 785940, 18030.87, 0, 0.00, 1: 115; 2: 31; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 567, 11,  9,  190, 1, 3, 786182, 18030.87, 0, 0.00, 1: 115; 2: 30; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  65,  7, 14,  190, 1, 3, 780789, 18030.87, 0, 0.00, 1: 115; 2: 30; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 859,  7, 14,  190, 1, 3, 780874, 18030.87, 0, 0.00, 1: 119; 2: 22; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 124,  8, 12,  190, 1, 3, 764599, 18030.87, 3, 0.00, 1: 113; 2: 34; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 708,  9, 11,  190, 1, 3, 786056, 18030.87, 38, 0.00, 1: 115; 2: 30; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 550,  8, 12,  190, 1, 3, 764474, 18030.87, 0, 0.00, 1: 116; 2: 28; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 999,  7, 15,  190, 1, 3, 827095, 18030.87, 0, 0.00, 1: 114; 2: 32; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  77,  7, 14,  190, 1, 3, 780421, 18030.87, 0, 0.00, 1: 119; 2: 22; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 835,  9, 11,  190, 1, 3, 786037, 18030.87, 0, 0.00, 1: 115; 2: 30; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  79, 12,  8,  190, 1, 3, 764465, 18030.87, 0, 0.00, 1: 114; 2: 32; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 157,  7, 13,  190, 1, 3, 728910, 18030.87, 0, 0.00, 1: 115; 2: 30; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  83, 10, 10,  190, 1, 3, 796143, 18030.87, 0, 0.00, 1: 114; 2: 32; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 111, 10, 10,  190, 1, 3, 796036, 18030.87, 0, 0.00, 1: 117; 2: 26; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 601, 11,  9,  190, 1, 3, 785556, 18030.87, 0, 0.00, 1: 117; 2: 26; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 153, 10, 10,  190, 1, 3, 795726, 18030.87, 0, 0.00, 1: 116; 2: 28; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  99,  9, 11,  190, 1, 3, 786314, 18030.87, 0, 0.00, 1: 114; 2: 32; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 765,  9, 11,  190, 1, 3, 786220, 18030.87, 0, 0.00, 1: 116; 2: 28; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 764,  9, 11,  190, 1, 3, 785942, 18030.87, 56, 0.00, 1: 114; 2: 32; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 420, 11,  9,  190, 1, 3, 785781, 18030.87, 10, 0.00, 1: 113; 2: 34; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 271,  9, 11,  190, 1, 3, 786103, 18030.87, 0, 0.00, 1: 115; 2: 30; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 503,  9, 11,  190, 1, 3, 786498, 18030.87, 0, 0.00, 1: 113; 2: 34; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 985, 11,  9,  190, 1, 3, 785577, 18030.87, 0, 0.00, 1: 114; 2: 32; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  27, 12,  8,  190, 1, 3, 764174, 18030.87, 188, 0.00, 1: 116; 2: 28; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  48, 10, 10,  190, 1, 3, 796077, 18030.87, 7, 0.00, 1: 111; 2: 38; 3: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 358,  7, 14,  190, 1, 3, 780810, 18030.87, 0, 0.00, 1: 115; 2: 30; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 966, 10, 10,  190, 1, 3, 795712, 18030.87, 0, 0.00, 1: 116; 2: 28; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 975,  9, 11,  191, 1, 3, 785120, 18030.87, 0, 0.00, 1: 115; 2: 29; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 632, 10, 10,  191, 1, 3, 795479, 18030.87, 50, 0.00, 1: 113; 2: 33; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 640,  9, 11,  191, 1, 3, 786402, 18030.87, 51, 0.00, 1: 116; 2: 27; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 101,  9, 11,  191, 1, 3, 786255, 18030.87, 0, 0.00, 1: 114; 2: 31; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 940, 10, 10,  191, 1, 3, 796309, 18030.87, 34, 0.00, 1: 114; 2: 31; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 285, 11,  9,  191, 1, 3, 786256, 18030.87, 0, 0.00, 1: 113; 2: 33; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 375, 12,  8,  191, 1, 3, 764486, 18030.87, 0, 0.00, 1: 112; 2: 35; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 675,  8, 12,  191, 1, 3, 764457, 18030.87, 0, 0.00, 1: 116; 2: 27; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 353, 11,  9,  191, 1, 3, 785562, 18030.87, 0, 0.00, 1: 116; 2: 27; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 301, 10, 10,  191, 1, 3, 796810, 18030.87, 0, 0.00, 1: 116; 2: 27; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 175, 12,  8,  191, 1, 3, 764715, 18030.87, 0, 0.00, 1: 115; 2: 29; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  10, 11,  9,  191, 1, 3, 785999, 18030.87, 196, 0.00, 1: 115; 2: 29; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 743, 10, 10,  191, 1, 3, 795685, 18030.87, 0, 0.00, 1: 114; 2: 31; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 303,  9, 11,  191, 1, 3, 786198, 18030.87, 0, 0.00, 1: 115; 2: 29; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 116, 12,  8,  191, 1, 3, 764319, 18030.87, 59, 0.00, 1: 117; 2: 25; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 703, 12,  8,  191, 1, 3, 764413, 18030.87, 0, 0.00, 1: 114; 2: 31; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,   8, 12,  8,  191, 1, 3, 764419, 18030.87, 0, 0.00, 1: 113; 2: 33; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 133, 11,  9,  191, 1, 3, 786083, 18030.87, 0, 0.00, 1: 113; 2: 33; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 324, 10, 10,  191, 1, 3, 795854, 18030.87, 66, 0.00, 1: 113; 2: 33; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 131, 12,  8,  191, 1, 3, 764527, 18030.87, 0, 0.00, 1: 116; 2: 27; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 722, 10, 10,  191, 1, 3, 796274, 18030.87, 0, 0.00, 1: 115; 2: 29; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 465, 10, 10,  191, 1, 3, 796522, 18030.87, 0, 0.00, 1: 116; 2: 27; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 900, 12,  8,  191, 1, 3, 764551, 18030.87, 84, 0.00, 1: 115; 2: 29; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 915,  8, 12,  191, 1, 3, 764552, 18030.87, 0, 0.00, 1: 113; 2: 33; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 203, 10, 10,  191, 1, 3, 796665, 18030.87, 0, 0.00, 1: 113; 2: 33; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 796, 12,  8,  191, 1, 3, 764363, 18030.87, 61, 0.00, 1: 116; 2: 27; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 541,  9, 11,  191, 1, 3, 786201, 18030.87, 0, 0.00, 1: 116; 2: 27; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 452,  9, 11,  191, 1, 3, 785387, 18030.87, 34, 0.00, 1: 114; 2: 31; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 213, 10, 10,  191, 1, 3, 795630, 18030.87, 0, 0.00, 1: 112; 2: 35; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 579, 10, 10,  191, 1, 3, 795554, 18030.87, 0, 0.00, 1: 115; 2: 29; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 496, 10, 10,  191, 1, 3, 795608, 18030.87, 46, 0.00, 1: 114; 2: 31; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 848, 11,  9,  191, 1, 3, 785421, 18030.87, 78, 0.00, 1: 112; 2: 35; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 423,  8, 12,  191, 1, 3, 764301, 18030.87, 0, 0.00, 1: 115; 2: 29; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  34, 11,  9,  191, 1, 3, 785978, 18030.87, 0, 0.00, 1: 114; 2: 31; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  56, 12,  8,  191, 1, 3, 764450, 18030.87, 10, 0.00, 1: 114; 2: 31; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 472, 10, 10,  191, 1, 3, 796386, 18030.87, 43, 0.00, 1: 114; 2: 31; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 512,  8, 12,  191, 1, 3, 764230, 18030.87, 46, 0.00, 1: 114; 2: 31; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  32, 10, 10,  191, 1, 3, 796422, 18030.87, 4, 0.00, 1: 113; 2: 33; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 308,  7, 13,  192, 1, 3, 728910, 18030.87, 33, 0.00, 1: 116; 2: 26; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 493, 10, 10,  192, 1, 3, 796537, 18030.87, 0, 0.00, 1: 114; 2: 30; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 501,  8, 12,  192, 1, 3, 764495, 18030.87, 0, 0.00, 1: 115; 2: 28; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 458,  9, 11,  192, 1, 3, 786212, 18030.87, 0, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 326, 12,  8,  192, 1, 3, 764211, 18030.87, 0, 0.00, 1: 117; 2: 24; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 139, 10, 10,  192, 1, 3, 795956, 18030.87, 0, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 314, 12,  8,  192, 1, 3, 763771, 18030.87, 0, 0.00, 1: 111; 2: 36; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 219,  8, 12,  192, 1, 3, 764332, 18030.87, 0, 0.00, 1: 112; 2: 34; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 491, 10, 10,  192, 1, 3, 795762, 18030.87, 0, 0.00, 1: 114; 2: 30; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 206, 10, 10,  192, 1, 3, 796922, 18030.87, 0, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 349, 12,  8,  192, 1, 3, 764184, 18030.87, 0, 0.00, 1: 115; 2: 28; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 202,  9, 11,  192, 1, 3, 785945, 18030.87, 0, 0.00, 1: 111; 2: 36; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 663, 10, 10,  192, 1, 3, 796758, 18030.87, 0, 0.00, 1: 111; 2: 36; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 428,  8, 12,  192, 1, 3, 764358, 18030.87, 40, 0.00, 1: 112; 2: 34; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 427, 11,  9,  192, 1, 3, 786082, 18030.87, 0, 0.00, 1: 114; 2: 30; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 412, 11,  9,  192, 1, 3, 786583, 18030.87, 77, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 413, 10, 10,  192, 1, 3, 796179, 18030.87, 0, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 267, 11,  9,  192, 1, 3, 786095, 18030.87, 0, 0.00, 1: 114; 2: 30; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 528,  7, 13,  192, 1, 3, 728910, 18030.87, 48, 0.00, 1: 114; 2: 30; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 177, 11,  9,  192, 1, 3, 786126, 18030.87, 0, 0.00, 1: 111; 2: 36; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 609, 10, 10,  192, 1, 3, 795568, 18030.87, 0, 0.00, 1: 115; 2: 28; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 128,  7, 14,  192, 1, 3, 781016, 18030.87, 21, 0.00, 1: 112; 2: 34; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,   9, 10, 10,  192, 1, 3, 795513, 18030.87, 64, 0.00, 1: 114; 2: 30; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 727, 10, 10,  192, 1, 3, 795723, 18030.87, 0, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  13, 11,  9,  192, 1, 3, 786378, 18030.87, 127, 0.00, 1: 115; 2: 28; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  74,  9, 11,  192, 1, 3, 785825, 18030.87, 0, 0.00, 1: 114; 2: 30; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 117, 12,  8,  192, 1, 3, 764347, 18030.87, 0, 0.00, 1: 111; 2: 36; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 935,  8, 12,  192, 1, 3, 764028, 18030.87, 0, 0.00, 1: 114; 2: 30; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 899, 11,  9,  192, 1, 3, 786543, 18030.87, 0, 0.00, 1: 115; 2: 28; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 735, 12,  8,  192, 1, 3, 764704, 18030.87, 0, 0.00, 1: 113; 2: 32; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 942,  8, 12,  193, 1, 3, 764316, 18030.87, 0, 0.00, 1: 115; 2: 27; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 426,  7, 13,  193, 1, 3, 728910, 18030.87, 0, 0.00, 1: 115; 2: 27; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 666, 12,  8,  193, 1, 3, 764518, 18030.87, 0, 0.00, 1: 112; 2: 33; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 277,  8, 12,  193, 1, 3, 764508, 18030.87, 0, 0.00, 1: 113; 2: 31; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 398,  8, 12,  193, 1, 3, 764521, 18030.87, 0, 0.00, 1: 113; 2: 31; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 102,  7, 15,  193, 1, 3, 827375, 18030.87, 0, 0.00, 1: 113; 2: 31; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 638, 12,  8,  193, 1, 3, 764329, 18030.87, 0, 0.00, 1: 115; 2: 27; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 786, 11,  9,  193, 1, 3, 786368, 18030.87, 0, 0.00, 1: 110; 2: 37; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 471,  8, 12,  193, 1, 3, 764439, 18030.87, 0, 0.00, 1: 116; 2: 25; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 891,  8, 12,  193, 1, 3, 764680, 18030.87, 0, 0.00, 1: 112; 2: 33; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 197,  7, 13,  193, 1, 3, 728910, 18030.87, 0, 0.00, 1: 113; 2: 31; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 571, 10, 10,  193, 1, 3, 795973, 18030.87, 0, 0.00, 1: 112; 2: 33; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 551, 10, 10,  193, 1, 3, 796083, 18030.87, 0, 0.00, 1: 111; 2: 35; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 543, 12,  8,  193, 1, 3, 764424, 18030.87, 0, 0.00, 1: 112; 2: 33; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 847, 10, 10,  193, 1, 3, 795991, 18030.87, 0, 0.00, 1: 115; 2: 27; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 864,  8, 12,  193, 1, 3, 764550, 18030.87, 80, 0.00, 1: 114; 2: 29; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 687, 10, 10,  193, 1, 3, 796247, 18030.87, 0, 0.00, 1: 111; 2: 35; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 362,  8, 12,  193, 1, 3, 764629, 18030.87, 0, 0.00, 1: 114; 2: 29; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 844, 11,  9,  194, 1, 3, 786226, 18030.87, 72, 0.00, 1: 110; 2: 36; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 588,  7, 13,  194, 1, 3, 728910, 18030.87, 54, 0.00, 1: 114; 2: 28; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 480, 10, 10,  194, 1, 3, 796498, 18030.87, 45, 0.00, 1: 112; 2: 32; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 605, 11,  9,  194, 1, 3, 785969, 18030.87, 0, 0.00, 1: 110; 2: 36; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 245, 11,  9,  194, 1, 3, 785493, 18030.87, 0, 0.00, 1: 110; 2: 36; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 460,  8, 12,  194, 1, 3, 763845, 18030.87, 45, 0.00, 1: 111; 2: 34; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 259,  7, 15,  194, 1, 3, 826441, 18030.87, 0, 0.00, 1: 115; 2: 26; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 562,  9, 11,  194, 1, 3, 786040, 18030.87, 0, 0.00, 1: 113; 2: 30; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 356, 11,  9,  194, 1, 3, 785844, 18030.87, 81, 0.00, 1: 112; 2: 32; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 174,  6, 17,  194, 1, 3, 804115, 18030.87, 0, 0.00, 1: 113; 2: 30; 3: 7; 
