Seed 1656949570
ARCH 1|F_ID 0|LIMIT 3
before: 
62(284)
Melhor resultado nxn: Treatment_of_Castration-Resistant_Prostate_Ca, 431,  7,  7,   76, 1, 2, 382047, 9161.15, 101, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca,  59,  5, 10,   77, 1, 2, 388274, 9161.15, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 112,  8,  6,   77, 1, 2, 375993, 9161.15, 28, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 909,  6,  8,   77, 1, 2, 375824, 9161.15, 85, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 428,  7,  7,   77, 1, 2, 382283, 9161.15, 114, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 298,  5,  9,   77, 1, 2, 355117, 9161.15, 90, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 665,  8,  6,   77, 1, 2, 375447, 9161.15, 100, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 308,  8,  6,   77, 1, 2, 376011, 9161.15, 25, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 503,  7,  7,   77, 1, 2, 381180, 9161.15, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 200,  5, 10,   77, 1, 2, 388460, 9161.15, 16, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 217,  5,  9,   77, 1, 2, 355120, 9161.15, 98, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 594,  6,  8,   77, 1, 2, 375532, 9161.15, 24, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca,  22,  7,  7,   77, 1, 2, 381869, 9161.15, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 866,  8,  6,   77, 1, 2, 375565, 9161.15, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 960,  6,  8,   77, 1, 2, 375549, 9161.15, 32, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca,  40,  6,  8,   77, 1, 2, 375307, 9161.15, 32, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 221,  8,  6,   77, 1, 2, 376003, 9161.15, 85, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 222,  5, 10,   77, 1, 2, 389444, 9161.15, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 457,  6,  8,   77, 1, 2, 375695, 9161.15, 91, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 876,  7,  7,   77, 1, 2, 381753, 9161.15, 32, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 155,  8,  6,   77, 1, 2, 376296, 9161.15, 238, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca,   5,  7,  7,   77, 1, 2, 382169, 9161.15, 127, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 606,  5, 10,   77, 1, 2, 388755, 9161.15, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 852,  7,  7,   77, 1, 2, 382236, 9161.15, 219, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 630,  5, 10,   77, 1, 2, 388607, 9161.15, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 268,  6,  8,   77, 1, 2, 375516, 9161.15, 219, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 172,  5,  9,   77, 1, 2, 354841, 9161.15, 65, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 192,  7,  7,   78, 1, 2, 381970, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 185,  7,  7,   78, 1, 2, 381889, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 330,  9,  5,   78, 1, 2, 355003, 9161.15, 24, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 340,  7,  7,   78, 1, 2, 382292, 9161.15, 219, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 339,  6,  8,   78, 1, 2, 375492, 9161.15, 238, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 891,  5,  9,   78, 1, 2, 355101, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 346,  7,  7,   78, 1, 2, 381604, 9161.15, 24, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 700,  7,  7,   78, 1, 2, 382468, 9161.15, 1, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca,  89,  5,  9,   78, 1, 2, 355043, 9161.15, 98, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 837,  8,  6,   78, 1, 2, 375884, 9161.15, 85, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 350,  5, 10,   78, 1, 2, 389000, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 558,  8,  6,   78, 1, 2, 375943, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 571,  6,  8,   78, 1, 2, 375332, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 820,  7,  7,   78, 1, 2, 382295, 9161.15, 7, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 545,  7,  7,   78, 1, 2, 381396, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 548,  5,  9,   78, 1, 2, 355130, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 207,  7,  7,   78, 1, 2, 382134, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 146,  8,  6,   78, 1, 2, 375925, 9161.15, 144, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 144,  5, 10,   78, 1, 2, 388210, 9161.15, 112, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 289,  8,  6,   78, 1, 2, 375121, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 120,  9,  5,   78, 1, 2, 355138, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 801,  5, 10,   78, 1, 2, 389205, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 775,  9,  5,   78, 1, 2, 355118, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 756,  5,  9,   78, 1, 2, 355118, 9161.15, 32, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 512,  9,  5,   78, 1, 2, 355124, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 267,  8,  6,   78, 1, 2, 375999, 9161.15, 238, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 585,  7,  7,   78, 1, 2, 381944, 9161.15, 91, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 269,  5, 10,   78, 1, 2, 389308, 9161.15, 85, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 436,  5, 10,   78, 1, 2, 389089, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 969,  9,  5,   78, 1, 2, 355102, 9161.15, 180, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca,  15,  9,  5,   78, 1, 2, 355045, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 448,  9,  5,   78, 1, 2, 355000, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 607,  6,  8,   78, 1, 2, 375855, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 445,  6,  8,   78, 1, 2, 375771, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 616,  5, 10,   78, 1, 2, 389120, 9161.15, 32, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 438,  5,  9,   78, 1, 2, 355145, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 656,  6,  8,   78, 1, 2, 375437, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca,  53,  7,  7,   78, 1, 2, 382225, 9161.15, 85, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 475,  5, 10,   78, 1, 2, 389260, 9161.15, 238, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 359,  7,  7,   78, 1, 2, 382191, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 466,  7,  7,   78, 1, 2, 381366, 9161.15, 24, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca,  36,  9,  5,   78, 1, 2, 354709, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 961,  7,  7,   78, 1, 2, 381400, 9161.15, 180, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 938,  7,  7,   78, 1, 2, 381449, 9161.15, 71, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 492,  7,  7,   78, 1, 2, 382116, 9161.15, 32, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 945,  8,  6,   78, 1, 2, 375419, 9161.15, 66, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 644,  7,  7,   78, 1, 2, 381962, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 385,  8,  6,   78, 1, 2, 375534, 9161.15, 90, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 618,  7,  7,   78, 1, 2, 382151, 9161.15, 75, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 915,  7,  7,   78, 1, 2, 381342, 9161.15, 238, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 916,  7,  7,   78, 1, 2, 381552, 9161.15, 219, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 980,  7,  7,   78, 1, 2, 381514, 9161.15, 219, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 367,  6,  8,   78, 1, 2, 375840, 9161.15, 52, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 621,  6,  8,   78, 1, 2, 375527, 9161.15, 50, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 487,  9,  5,   78, 1, 2, 355121, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 382,  6,  8,   78, 1, 2, 375533, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 383,  5, 10,   78, 1, 2, 388999, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 485,  5, 10,   78, 1, 2, 388954, 9161.15, 0, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca,  68,  5, 10,   78, 1, 2, 389163, 9161.15, 219, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 459,  7,  7,   78, 1, 2, 381591, 9161.15, 238, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 460,  7,  7,   78, 1, 2, 381630, 9161.15, 219, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca,  10,  9,  5,   78, 1, 2, 355133, 9161.15, 133, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 925,  9,  5,   78, 1, 2, 355032, 9161.15, 85, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 602,  6,  8,   78, 1, 2, 375555, 9161.15, 24, 0.00, 1: 52; 2: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 612,  7,  7,   79, 1, 2, 381992, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 226,  5,  9,   79, 1, 2, 355121, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 463,  7,  7,   79, 1, 2, 381831, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 220,  5,  9,   79, 1, 2, 355116, 9161.15, 219, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 809,  7,  7,   79, 1, 2, 381968, 9161.15, 69, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 218,  9,  5,   79, 1, 2, 355143, 9161.15, 24, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 613,  6,  8,   79, 1, 2, 375590, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 265,  7,  7,   79, 1, 2, 382054, 9161.15, 90, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 810,  6,  8,   79, 1, 2, 374874, 9161.15, 70, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 211,  9,  5,   79, 1, 2, 355048, 9161.15, 238, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 472,  5,  9,   79, 1, 2, 355135, 9161.15, 184, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 597,  5,  9,   79, 1, 2, 355131, 9161.15, 85, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 478,  5,  9,   79, 1, 2, 354936, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 596,  5, 10,   79, 1, 2, 388530, 9161.15, 219, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 840,  6,  8,   79, 1, 2, 375737, 9161.15, 144, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 789,  5,  9,   79, 1, 2, 355075, 9161.15, 85, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 300,  9,  5,   79, 1, 2, 355055, 9161.15, 53, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 360,  9,  5,   79, 1, 2, 355152, 9161.15, 32, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 986,  8,  6,   79, 1, 2, 375698, 9161.15, 24, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 376,  5,  9,   79, 1, 2, 354901, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 679,  5, 10,   79, 1, 2, 389043, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 671,  5,  9,   79, 1, 2, 354938, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 731,  5,  9,   79, 1, 2, 355111, 9161.15, 238, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 733,  5, 10,   79, 1, 2, 389443, 9161.15, 85, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 317,  5,  9,   79, 1, 2, 355142, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 667,  6,  8,   79, 1, 2, 375915, 9161.15, 238, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 305,  5,  9,   79, 1, 2, 355141, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 393,  6,  8,   79, 1, 2, 375179, 9161.15, 90, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 304,  8,  6,   79, 1, 2, 375752, 9161.15, 32, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 509,  5,  9,   79, 1, 2, 354984, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 394,  8,  6,   79, 1, 2, 375233, 9161.15, 24, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 800,  7,  7,   79, 1, 2, 382327, 9161.15, 6, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 396,  5, 10,   79, 1, 2, 388455, 9161.15, 219, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 664,  5,  9,   79, 1, 2, 355143, 9161.15, 120, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 404,  9,  5,   79, 1, 2, 355068, 9161.15, 219, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 287,  9,  5,   79, 1, 2, 355126, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 285,  5, 10,   79, 1, 2, 389084, 9161.15, 85, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 511,  7,  7,   79, 1, 2, 381177, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 752,  9,  5,   79, 1, 2, 355013, 9161.15, 117, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 648,  9,  5,   79, 1, 2, 355087, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 582,  5,  9,   79, 1, 2, 355114, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 414,  5,  9,   79, 1, 2, 354706, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 781,  6,  8,   79, 1, 2, 375930, 9161.15, 85, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 253,  8,  6,   79, 1, 2, 375708, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 513,  5, 10,   79, 1, 2, 388920, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 239,  8,  6,   79, 1, 2, 375901, 9161.15, 32, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 954,  5, 10,   79, 1, 2, 388476, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 856,  9,  5,   79, 1, 2, 355086, 9161.15, 56, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 113,  5, 10,   79, 1, 2, 388962, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca,  72,  9,  5,   79, 1, 2, 355070, 9161.15, 160, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca,  69,  6,  8,   79, 1, 2, 375832, 9161.15, 85, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca,  63,  5,  9,   79, 1, 2, 355038, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 115,  7,  7,   79, 1, 2, 382117, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca,  60,  8,  6,   79, 1, 2, 375933, 9161.15, 219, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 939,  5, 10,   79, 1, 2, 389610, 9161.15, 70, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca,  46,  5, 10,   79, 1, 2, 388961, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 524,  8,  6,   79, 1, 2, 375484, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 117,  5,  9,   79, 1, 2, 355097, 9161.15, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 942,  5, 10,   79, 1, 2, 389358, 9161.15, 69, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca,  77,  7,  7,   79, 1, 2, 382272, 9161.15, 85, 0.00, 1: 51; 2: 14; 
